Thu Aug 27 05:25:28 PDT 2015 --  Don't be someone's side effect.
Mon Jan 19 09:08:35 PST 2015 --  There seems to be much sense in nonsense ..!
Mon Jan 19 04:41:20 PST 2015 --  Haha! Fab! http://fb.me/1OD8GQ6DR 
Sun Jan 18 23:47:03 PST 2015 --  Behavior of an #Aquarius can be unpredictable. You will never be bored with us.
Mon Jan 19 00:23:57 PST 2015 --  He will know you're not okay when you don't want him to, but will not know when you want him to.
Sun Jan 18 01:20:48 PST 2015 --  'I have a boyfriend' trend started by Karishma Tanna.
Sun Jan 18 21:39:14 PST 2015 --  I Am Never Sure About What I Want But I Am Always Sure About What I Don't Want.
Sat Jan 17 20:16:33 PST 2015 --  Beautiful life comes with lots of terms & conditions applied..!!!
Sun Jan 18 20:19:38 PST 2015 --  <3 http://fb.me/42TLlmjFp 
Fri Jan 16 21:45:05 PST 2015 --  Can't wait for Barack Obama to come to India and suddenly join BJP.
Fri Jan 16 02:34:01 PST 2015 --  Everyone is joining Bjp,,Obama next
Thu Jan 15 01:33:22 PST 2015 --  AAP should join BJP to win the elections.
Fri Jan 16 02:32:26 PST 2015 --  Ho! Ho! Registrations for #MumbaiSecretSanta Party closes in 15 mins. At 4.15. RSVP here: http://mumbaisantaparty.doattend.com  @atHoppipola #PartySanta
Thu Jan 15 22:54:14 PST 2015 --  When we firmly decide, “I can do it!” we can break through the walls of self-imposed limitations.
Thu Jan 15 22:31:40 PST 2015 --  Sense of humor is a big turn on
Thu Jan 15 20:22:16 PST 2015 --  I guess I could wear uggs, too. Let's find out how deep this rabbit hole goes.
Thu Jan 15 20:47:00 PST 2015 --  Never mistake an #Aquarian's kindness for weakness. Never mistake their silence for fear.
Thu Jan 15 21:17:01 PST 2015 --  #Aquarians sense of humor is often well-developed and unique.
Thu Jan 15 21:00:17 PST 2015 --  @InfoMumbai @smart_mumbaikar @PartyHarDrivers #Friends don't let friends #DrinkandDrive pic.twitter.com/gHoGg8zDNU
Thu Jan 15 04:19:04 PST 2015 --  What's with these call us now Whatsapp messages ! Who do I call Right now to get them off??
Wed Jan 14 23:47:02 PST 2015 --  #Aquarius can have very intense feelings but they will never let their feelings cloud their judgement and thoughts.
Wed Jan 14 22:17:05 PST 2015 --  Most of the time #Aquarius gives a fuck about everyone, but they just do and say what they want.
Wed Jan 14 00:21:10 PST 2015 --  http://instagram.com/p/x09Q2jv8io/ 
Mon Jan 12 04:47:02 PST 2015 --  #Aquarius are afraid to get to emotionally attached, so they give things time and a proper think through.
Mon Jan 12 05:17:07 PST 2015 --  An #Aquarius has an imagination so wide and complicated, it is hard for them to explain what they feel and see exactly.
Tue Jan 13 04:13:45 PST 2015 --  What made Farah Khan make a dud like Happy New Year is #WhatGoogleDoesntKnow
Sun Sep 14 00:11:43 PDT 2014 --  Hey Indian society, marriageless love is better than loveless marriage.
Tue Jan 13 02:30:02 PST 2015 --  'Who let the dogs out' is #WhatGoogleDoesntKnow yet!!
Tue Jan 13 02:17:02 PST 2015 --  If you cant keep a secret you won't get along well with an #Aquarian.
Tue Jan 13 02:22:19 PST 2015 --  #WhatGoogleDoesntKnow now TRENDING is #WhatGoogleDoesntKnow
Tue Jan 13 02:12:46 PST 2015 --  #WhatGoogleDoesntKnow is Albert Pinto Ko Gussa Kyu Aata Hai?
Tue Jan 13 01:49:28 PST 2015 --  The real reason why SRK endorses Kenstar's 'ÓIL FREE' oxyfryer.....must know the perils of too much oil. pic.twitter.com/dCCk1lr7tj
Tue Jan 13 02:08:36 PST 2015 --  The only thing #WhatGoogleDoesntKnow is Why Dis Kolaveri Di ?
Mon Jan 12 09:45:30 PST 2015 --  Generally, strangers can become best friends just as easy as best friends can become strangers.
Mon Jan 12 03:22:02 PST 2015 --  People who are meant to be together find their way back, they may take a few detours, but they're never lost.
Mon Jan 12 02:54:20 PST 2015 --  9gag's video http://instagram.com/p/xv7uUJDJ3I/  this is you @cutedeepss
Sun Jan 11 22:45:51 PST 2015 --  I have so much of you in my
Sat Jan 10 08:59:44 PST 2015 --  "My brother was a Muslim. He was killed by people who pretend to be Muslims" http://bbc.in/1xPaVhN  #CharlieHebdo pic.twitter.com/szC0po7I51
Sun Jan 11 22:14:06 PST 2015 --  http://fb.me/7dCVkce6u 
Sat Jan 10 10:09:20 PST 2015 --  Keep Calm Keep Posing ;) http://fb.me/6Wb0sNnWH 
Sat Jan 10 09:40:33 PST 2015 --  Just Chuck It in the Fuck It bucket and move on.
Sat Jan 10 02:16:45 PST 2015 --  Be careful when you blindly follow the masses, sometimes the M is silent
Fri Jan 09 19:15:10 PST 2015 --  Never make assumptions about anyone, you will be wrong, it's just a matter of how wrong.
Fri Jan 09 20:33:04 PST 2015 --  “ @UberFacts: According to one study, distracted walking can be more dangerous than distracted driving.”
Fri Jan 09 20:32:13 PST 2015 --  JUST being true to your own feelings in this world of pretence is Commendable enough.
Wed Jan 07 00:13:13 PST 2015 --  The only time Indians would consider four children, when the first three are girls.
Wed Jan 07 07:16:51 PST 2015 --  Asked a butcher why most of them are Muslims? He said its a religion of piece
Thu Jan 08 22:55:35 PST 2015 --  pic.twitter.com/5zVSuXASbj
Wed Jan 07 21:52:53 PST 2015 --  7 billion people. 14 billion faces.
Wed Jan 07 21:52:00 PST 2015 --  ME!! @UberFacts Cherophobia is the fear of being too happy because "something tragic" will happen.
Wed Jan 07 21:47:01 PST 2015 --  #Aquarius don't like to be told what they should be doing. They know what they want, where they are doing to get it.
Wed Jan 07 09:25:14 PST 2015 --  An Apple a day, will keep ANYONE away.. if thrown hard enough.
Wed Jan 07 01:16:09 PST 2015 --  A real man does not promise, he commits. A true woman does not demand, she thanks.
Wed Jan 07 00:17:03 PST 2015 --  Faking a smile is the most painful lie for #Aquarius but the most effective way to hide from all the questions.
Tue Jan 06 23:18:32 PST 2015 --  Fuck your religion. Fuck your conversions. Show me a religion which says rape and kill children who attends school.
Tue Jan 06 20:24:31 PST 2015 --  We are all in the same game. Just different levels. Dealing with the same hell. Just different devils.
Tue Jan 06 03:26:28 PST 2015 --  It's crazy how much can change in a year.
Tue Jan 06 02:28:50 PST 2015 --  We all need each other.
Mon Jan 05 13:44:27 PST 2015 --  Just... pic.twitter.com/6Fs4LdVgcx
Mon Jan 05 23:06:13 PST 2015 --  :D :P :D :P :D :P :D :P :D :P http://instagram.com/p/xgOU6MP8oV/ 
Mon Jan 05 21:17:09 PST 2015 --  #Aquarians have no hesitation to listen to your problems and help out even when they have problems of their own.
Mon Jan 05 21:19:02 PST 2015 --  Stop waiting for the perfect moment. Take the moment you have and make it perfect.
Sat Jan 03 02:16:40 PST 2015 --  After buying a smartphone, I have stopped worrying about misplacing my phone at home!!! . Coz It is always plugged to the charger :\
Sun Jan 04 23:17:12 PST 2015 --  #Aquarius are pro at sniffing out the bullshit.
Sun Jan 04 23:03:50 PST 2015 --  Dear @VodafoneIN Need to surrender all d sim cards at our work place due to its poor service. Kindly suggest the steps to do this needful.
Tue Dec 16 01:49:08 PST 2014 --  This is why documentaries like Planet Earth have everything about animals and nothing about people. We're best forgotten
Wed Sep 17 23:53:15 PDT 2014 --  केजरी ~ मोदी जी ..... Xi Jinping को बोलो की मेरा झाड़ू वापस करे, वरना रायता फैला दूंगा !! pic.twitter.com/jijF2Nm0dV
Sat Jan 03 00:17:01 PST 2015 --  When it comes to being a sucker for love don't even try an #Aquarian
Thu Dec 04 11:22:20 PST 2014 --  Thanks for wasting my time. - A love story
Thu Dec 04 03:28:40 PST 2014 --  Problems pic.twitter.com/Za0uzDfyZ3
Thu Dec 04 03:47:00 PST 2014 --  #Aquarius are not afraid of doing crazy things in public when they are with their best friends.
Sat Nov 29 04:00:52 PST 2014 --  The only thing more pissing off than the way Indians get spoken to at airports abroad is the way most of us behave to warrant that treatment
Sat Nov 29 23:23:19 PST 2014 --  "Instinct is a marvellous thing. It can neither be explained nor ignored." - Agatha Christie
Mon Dec 01 22:17:09 PST 2014 --  If you are lucky enough to become an #Aquarius best friend, then you are the love of their life.
Mon Dec 01 18:50:26 PST 2014 --  Not even half way through the week and I'm already tired of it: pic.twitter.com/pBFnMe2h5j
Mon Dec 01 21:17:14 PST 2014 --  #Aquarius possess a lively, biting wit and have a way with words that goes far beyond ordinary chitter-chatter.
Mon Dec 01 19:13:24 PST 2014 --  RT if you're crazy
Mon Dec 01 21:47:05 PST 2014 --  #Aquarians don't forgive so easily. Good luck ever getting their trust back.
Mon Dec 01 21:40:11 PST 2014 --  3 step guide to becoming a Twitter Celeb: 1. Always stay tuned into a news channel. 2. Always stay logged in to Twitter. 3. Quit your job
Sun Nov 30 20:18:45 PST 2014 --  Each episode of the TV show "The Big Bang Theory" is filmed in front of a real audience. No laugh track is used.
Sun Nov 30 21:28:14 PST 2014 --  Did you know your body is actually designed to get 4 hours of sleep twice per day instead of 8 hours once?
Sat Nov 29 00:55:35 PST 2014 --  I just love to drive through small roads and this amazing view. @tatanano_tweets that's our amazing #nano pic.twitter.com/b8kWhPdmU1
Sat Nov 29 01:17:03 PST 2014 --  Though #Aquarius are heartless they do love for real.
Fri Nov 28 03:30:19 PST 2014 --  Real goals pic.twitter.com/lhzbJVLeFF
Tue Nov 25 09:44:43 PST 2014 --  Sleep and music are the best cure for everything in life.
Tue Nov 25 09:47:12 PST 2014 --  An #Aquarius is a comfortable shoulder to cry on. They'll always welcome you with open arms.
Wed Nov 26 20:51:19 PST 2014 --  The only stereotypical women thing I will admit to is overthinking. Anything. And everything.
Wed Nov 26 00:26:01 PST 2014 --  "I will friendzone him but if he likes another chick more, I'll call her a slut" #WomenDialogue
Wed Nov 19 18:07:04 PST 2014 --  You don't have a soul. You are a soul , you have a body
Wed Nov 19 01:17:03 PST 2014 --  #Aquarians need plenty of fresh air, sleep, and regular exercise, but many fail to ensure they have enough of these.
Tue Nov 18 02:01:11 PST 2014 --  Some shots to deal wid #dimaagkashot kinda day..! http://instagram.com/p/viXZbpv8h7/ 
Mon Nov 17 03:53:05 PST 2014 --  pic.twitter.com/DZQJacMlGR
Mon Nov 17 00:54:13 PST 2014 --  I have to say that the more you listen to @PMOIndia the more you want to believe he can make the changes we so desperately need. #CommanMan
Mon Nov 17 00:58:22 PST 2014 --  I am feeling helpless.. I couldn't stop the release of Happy New Year & Humshakals! pic.twitter.com/QTMB82yzgM
Mon Nov 17 01:11:29 PST 2014 --  Teacher -"What is the name of Myanmar capital" ? Student -"nahi pata" Teacher -"Correct, It is spelled as Nay Pyi Taw"
Mon Nov 17 01:47:15 PST 2014 --  You can hardly see how sad and heartbroken #Aquarians are because they are always cheerful on the out side.
Mon Nov 17 02:34:26 PST 2014 --  Left because I was right.
Sun Nov 16 20:47:30 PST 2014 --  #Aquarius are intellectual and when they do fall in love, it's usually with a person who makes them think and laugh
Sun Nov 16 21:17:00 PST 2014 --  #Aquarians likes dressing simple but neat.
Fri Nov 14 02:17:07 PST 2014 --  #Aquarians are known for their fascinating aura and thrilling sex appeal
Thu Nov 13 21:28:50 PST 2014 --  Good morning to those who don't want to wish me good morning.
Thu Nov 13 01:00:20 PST 2014 --  This is how we drive. pic.twitter.com/k7Pg6QtbIZ
Thu Nov 13 01:17:15 PST 2014 --  #Aquarius will love you for who you are and not for what you have or who you've been with
Thu Nov 13 01:30:32 PST 2014 --  Society today: Skinny = anorexic, thick = obese, virgin = too good, non-virgin = slut, friendly = fake, quiet = rude.
Thu Nov 13 01:42:32 PST 2014 --  #me pic.twitter.com/rxHEMGyGKY
Wed Nov 12 21:17:09 PST 2014 --  Singing helps reduce feelings of depression and anxiety, increases the oxygen flow to your lungs and helps you have better posture.
Wed Nov 12 21:17:02 PST 2014 --  An #Aquarius has a unique charm about them that intrigues many people.
Wed Nov 12 11:43:27 PST 2014 --  Kim Kardashian WhatsApp status ~ Last Butt at
Wed Nov 12 19:52:49 PST 2014 --  नरेन्द्र मोदी के अच्छे दिन प्यार की तरह है , एहसास सब को हो रहा है लेकिन दिख किसी को नही रहा है !!
Mon Nov 10 01:45:20 PST 2014 --  Haanji! pic.twitter.com/jnCCPIhtUn
Sun Nov 09 05:14:52 PST 2014 --  It’s so frustrating to have only people around you who don’t take anything seriously and joke around all the time.
Sun Nov 09 04:38:21 PST 2014 --  Finally our Suryakant has decided to give up on his happiness.. :p Happy Engagement buddy 󾌬 #yaarkisagai http://fb.me/1INT7OlAi 
Sun Nov 09 01:10:24 PST 2014 --  http://fb.me/6PlBCpo5g 
Fri Nov 07 23:44:01 PST 2014 --  Cuz nthng can beat dis combo to deal wid sudden strokes of hunger work! http://instagram.com/p/vIXwGqP8gd/ 
Tue Oct 07 09:30:11 PDT 2014 --  Green screen during production and actual movie, side-by-side pic.twitter.com/f3N4UEEBET
Sun Dec 16 08:49:28 PST 2012 --  Don't flatter yourself Twitter, I was already wasting my life before I found you.
Fri Nov 07 21:30:09 PST 2014 --  Psychology says: The more loyal you are, the more disappointment you encounter and experience.
Fri Nov 07 10:30:26 PST 2014 --  Home is where before you hug your Wife, Your mobile hugs the WiFi.
Fri Nov 07 21:17:01 PST 2014 --  #Aquarians are friendly and sociable, but secretly you are shy and insecure .
Fri Nov 07 20:29:51 PST 2014 --  http://fb.me/1QGg6xupB 
Fri Nov 07 02:09:43 PST 2014 --  Happiness is having one of your favourites (Bruschetta) WITH one of your favourites (sssshhhh :p) http://fb.me/1qsAkXfkc 
Wed Nov 05 09:28:58 PST 2014 --  Ummmm... Yeah :) http://instagram.com/p/vBsTviv8py/ 
Tue Nov 04 01:47:04 PST 2014 --  When offended, betrayed, or taken advantage of, an #Aquarius will experience an immediate change in how they feel towards the other person
Mon Nov 03 01:17:05 PST 2014 --  #postmeal #gyaan http://instagram.com/p/u7qbXGP8he/ 
Sun Nov 02 09:42:46 PST 2014 --  Jiji :) #sibling #love #family #bff #life #fun #instagood #instalove http://instagram.com/p/u5_gG0v8ue/ 
Fri Oct 31 04:50:49 PDT 2014 --  #quietclose :p @ Mall Of The Emirates, Dubai http://instagram.com/p/u0NowpP8jq/ 
Tue Oct 28 10:34:59 PDT 2014 --  Let's cruise it up!! @ Dhow Cruise - Dubai Creek http://instagram.com/p/utGo04P8vx/ 
Sun Oct 26 07:21:04 PDT 2014 --  Just posted a photo @ The Dubai Mall And Burj Khalifa Fountain http://instagram.com/p/unm21MP8uH/ 
Thu Oct 23 22:50:24 PDT 2014 --  Happiest Bdae my 'Beersutra' (as I fondly call her :p).. You are spl in lot many ways.. :* Have a supa one wid n... http://fb.me/4hjPfVzdJ 
