Sat Jul 25 16:00:03 PDT 2015 --  Time to see what this suit can do. @Marvel's #AntMan is now playing. pic.twitter.com/1ET7aCbAhD
Tue Jun 03 22:37:51 PDT 2014 --  You can catch up on sleep after #CMAFest is over! "RT @DanAndShay: #CMAFest2014! Too excited to sleep!"
Tue Jun 03 22:23:36 PDT 2014 --  Who will be watching or attending the #CMTawards tomorrow night? @CMT pic.twitter.com/5sJK10VzL5
Tue Jun 03 18:49:27 PDT 2014 --  Listening to @TyHerndoncom on the drive to #Nashville for #CMAFest2014!!
Sat May 31 17:27:36 PDT 2014 --  Anyone in the Edison, NJ area interested in becoming a pool lifeguard this summer? #lifeguard #newjersey #edison
Tue May 13 05:20:01 PDT 2014 --  Happy #NCIS season finale day everyone! Special episode tonight, honoring the late great Ralph Waite. I've heard it's fantastic.
Tue May 13 17:55:00 PDT 2014 --  Thank you #RalphWaite #NCIS
Tue May 13 17:54:15 PDT 2014 --  Love this pic of @PauleyP and Mark. Great scene. #NCIS pic.twitter.com/bpqDEykY0D
Tue May 13 17:53:11 PDT 2014 --  Gibbs can kill a man 56 different ways with a gun. Only one of those ways uses a bullet. #NCIS
Wed May 07 13:18:23 PDT 2014 --  Part 1 of CM9 finale airs tonight. As a public service announcement, I would like to remind all of you to breath at the end. #CriminalMinds
Fri May 02 08:13:12 PDT 2014 --  Retweet & follow @CMAFestVIP if you want a custom guitar pick! 5 winners will be chosen at random! #CMAFest #VIP pic.twitter.com/wCIOuJVNvk
Wed Apr 30 03:57:08 PDT 2014 --  "On Wednesdays, we wear pink." #MeanGirls10thAnniversary #MeanGirls #10YearsOfMeanGirls
Tue Apr 29 16:45:15 PDT 2014 --  Tonight's new #NCIS very important episode about homelessness and homeless veterans starts on East Coast in 15 minutes
Tue Apr 01 00:53:10 PDT 2014 --  contrary to popular belief, bananas generally do not wear pajamas.
Sun Apr 20 20:49:46 PDT 2014 --  A fellow Makes a Make-A-Wish and it comes true, meets David Foster and grants many more of his own.. Work well done. Go rest now Kevin Sharp
Sun Apr 20 16:30:58 PDT 2014 --  Sorry to hear of the passing of Kevin Sharp. And praying for his family & friends. But he's loving Heaven on this Easter Sunday.
Sun Apr 20 18:40:18 PDT 2014 --  Country singer Kevin Sharp, 43, has died from “complications due to cancer,” his mother said. http://cnn.it/1rcmHfe 
Sun Apr 20 17:48:03 PDT 2014 --  RIP Kevin Sharp -- You were an amazing person and an inspiration to many. You will be missed. #NobodyKnows #KevinSharp #RIP
Sun Apr 20 10:45:45 PDT 2014 --  Very sad to report that country singer Kevin Sharp has passed away...#1 hit Nobody Knows...He was 43 http://www.kevinsharp.com 
Sun Apr 20 17:30:09 PDT 2014 --  From Kevin Sharp website. pic.twitter.com/XSr2heXrBF
Sun Apr 20 17:27:52 PDT 2014 --  Country music singer Kevin Sharp has died at age 43 http://cbsn.ws/1lscfTr 
Thu Apr 17 16:43:31 PDT 2014 --  7 Weeks to #CMAFest! Any #CountryMusic fans ready to get this P-A-R-T-Y started?! RT if you are! pic.twitter.com/GN95EgyRYF
Tue Apr 15 18:56:37 PDT 2014 --  The undertone ways that Densi communicates makes me happy #NCISLA
Tue Apr 15 18:55:19 PDT 2014 --  A Wonder Woman Sports Bra and Superman Underwear. Yep. Densi are definitely made for each other #NCISLA
Mon Apr 14 15:00:09 PDT 2014 --  Tomorrow morning at 9:42 AM ET, join us in commemorating Jackie Robinson Day with a @twitter thank you. #Jackie42 pic.twitter.com/cm89gqIqr2
Sat Apr 12 18:36:01 PDT 2014 --  guys.. every day this week days is gonna be the same backwards.. 4/12/14 4/13/14 4/14/14 4/15/14 4/16/14 4/17/14 4/18/14 4/19/14
Sun Apr 13 10:52:28 PDT 2014 --  http://southpawww.tumblr.com 
Sun Apr 13 07:32:01 PDT 2014 --  Harry Potter fans: I wanna go to Hogwarts. Narnia fans: I wanna go to Narnia. Hunger Games fans: Nope I'm good.
Sun Apr 13 10:02:39 PDT 2014 --  We went a little crazy but we never got caught. #AlanJackson
Sun Apr 13 09:45:52 PDT 2014 --  When you change to a Pam Tillis station on Pandora, but the second song that plays is Garth Brooks anyway. Pandora, you know me so well. <3
Mon Apr 07 11:25:28 PDT 2014 --  Thanks to ER, Scrubs and Grey's Anatomy, I'm pretty sure I can perform most medical procedures.
Tue Apr 08 04:21:09 PDT 2014 --  You know you've got too much going on when, on Monday night, you dream it's the weekend & you forgot to do everything that had to be done.
Sun Apr 06 19:52:13 PDT 2014 --  ACMs on @CBS http://bit.ly/1mpUZKY  - Hanging out backstage at the #ACMs with  @tycom pic.twitter.com/dvfKuFzEJy
Sun Apr 06 19:58:19 PDT 2014 --  Entertainer of the Year: GEORGE STRAIT!!!! All hail the King of Country! I'm so happy for him! :) #classiccountry #ACMAwards
Sun Apr 06 19:58:10 PDT 2014 --  And King George ends his career as entertainer of the year! So happy for Mr. Strait #ACMAwards
Sun Apr 06 19:58:00 PDT 2014 --  Chris O'Donnell and LL Cool J just announced the award for entertainer of the year goes to George Strait. #acmawards
Sun Apr 06 19:57:45 PDT 2014 --  ACM Entertainer of the Year: King George Strait! #ACMAwards @GotCountry
Sun Apr 06 19:57:39 PDT 2014 --  King George wins the ACM Country Music Entertainer of the Year Award!! #GeorgeStrait #ACMAwards http://instagram.com/p/meQEh6NJFp/ 
Sun Apr 06 19:54:58 PDT 2014 --  @rascalflatts If you're going to lip sync, I'd rather you just not sing or be on stage. You're better than that. #ACMs #ACMAwards @ACMawards
Sun Apr 06 19:54:59 PDT 2014 --  Garth on the #ACMAwards without performing... Not cool, ACM. Not cool.
Sun Apr 06 19:54:33 PDT 2014 --  99% sure there was lip synching just now. This is not allowed.
Sun Apr 06 19:45:33 PDT 2014 --  For my birthday, I would like this serenade please. #CMchat
Sun Apr 06 19:42:26 PDT 2014 --  But I wanted Garth to sing! #ACMAwards #ACMs
Sun Apr 06 19:40:24 PDT 2014 --  Garth Brooks on the #ACMs NOW!
Sun Apr 06 19:40:39 PDT 2014 --  Garth. Brooks. 'Nuff said. #ACMs
Sun Apr 06 18:41:54 PDT 2014 --  Did u see #NCISLA stars @llcoolj & @chrisodonnell on the #ACMs red carpet? See more here: http://bit.ly/1mREwzt  pic.twitter.com/MdydBjNaaT
Sun Apr 06 18:26:30 PDT 2014 --  The 2014 @ACMawards New Artsit of The Year Winner - @JustinColeMoore #ACMs
Sun Apr 06 18:22:30 PDT 2014 --  I'd like to ask you all to take a moment of silence to appreciate the perfection that is "Play It Again." Bow your heads please. #CMchat
Sun Apr 06 18:06:52 PDT 2014 --  Brian Kelley from @FLAGALine had on a garth Brooks shirt. How cool is that? #ACMAwards
Sun Apr 06 18:05:32 PDT 2014 --  Congratulations @FLAGALine Vocal Duo of the Year. #cruise #ACMAwards
Sun Apr 06 18:05:16 PDT 2014 --  George is like no no, don't get me involved in your trouble... #ACMAwards
Sun Apr 06 17:24:17 PDT 2014 --  Why are the CMAs trending when we're watching the #ACMAwards tonight?
Sun Apr 06 17:19:33 PDT 2014 --  The people trending #CMAs do realize they're watching the #ACMAwards right now, right?
Sun Apr 06 17:19:33 PDT 2014 --  Look what's trending #ACMs #Bluke #LukeBryan #BlakeShelton pic.twitter.com/lLZzaUFaPY
Sun Apr 06 17:16:09 PDT 2014 --  Twitter is one big family watching the #ACMs right now
Sun Apr 06 17:06:28 PDT 2014 --  Ohhh Luke Bryan is looking FINE as HELL tonight #ACMs
Sun Apr 06 17:05:13 PDT 2014 --  You've waited, and NOW... BLUKE is here!!! #ACMs
Sun Apr 06 16:43:20 PDT 2014 --  First award of the night - Vocal Event of the Year - @mirandalambert and @KeithUrban "We Were Us"! #CMchat
Sun Apr 06 17:04:33 PDT 2014 --  ACM NIGHT!!!!!! We are coming up in a couple minutes to play "Stay"!! Gonna see how much fire and pyro we can set off!!! :)
Sun Apr 06 17:00:24 PDT 2014 --  Turn it up! It's #chainsaw time. Let's get loud! Love, k/r/n #ACMs
Sun Apr 06 16:58:16 PDT 2014 --  RT if you're ready for the show! Listen to all the action on @NASHFM947NY @ACMawards #ACMs pic.twitter.com/cz8I5uGX5a
Sun Mar 30 13:09:12 PDT 2014 --  iCloud has made getting a new phone painless. Set up in less than 10 minutes!
Sat Mar 29 19:02:57 PDT 2014 --  “ @millerg6: Science teachers supervising??? pic.twitter.com/gk4TKE4Z4a” @jedipadmaster @DaretoChem
Sat Mar 29 15:51:08 PDT 2014 --  When I'm home alone I eat tri-color pasta one color at a time.... and it feels great.
Sat Mar 29 16:25:58 PDT 2014 --  This place is so fancy, every time you take a sip of water, the waiter comes over to refill it. @SAM_ANTICSx @Jess2589 @s0uthpawww
Sat Mar 29 04:44:00 PDT 2014 --  A comparison of the original Bloom's terms to the revised Bloom's terms #satchat pic.twitter.com/pphdRychsW
Fri Mar 28 13:21:06 PDT 2014 --  Patricia Polacco at #RRWC2014. pic.twitter.com/5cXKvhqR6Y
Fri Mar 28 13:25:39 PDT 2014 --  Patricia Polacco with her Keeping Quilt. #RRWC2014 pic.twitter.com/kt04qUwgpi
Fri Mar 28 07:34:17 PDT 2014 --  Watch #AchmedSavesAmerica TONIGHT on @CMT at 10/9c! pic.twitter.com/unOGajgscG
Wed Mar 26 18:20:05 PDT 2014 --  "This is so much better than watching TV like a Muggle!" -Raj #Raj #BigBangTheory
Wed Mar 26 09:00:22 PDT 2014 --  pic.twitter.com/xSa4DmMUkY
Wed Mar 26 03:09:54 PDT 2014 --  RT @EdisonElem: James Monroe @ Middlesex County College! pic.twitter.com/up7q62Wust #njed
Wed Mar 26 01:56:56 PDT 2014 --  Life on planet earth is so very, very strange.
Tue Mar 25 02:48:33 PDT 2014 --  We need to TREND #NCIS tomorrow for the #NCISNoLa show in New Orleans with Scott Bakula! All #NCISers Do IT! Let's do it!
Mon Mar 24 07:00:00 PDT 2014 --  NJ Elem. School Destroyed By Fire. To make donations get 411 here: http://www.edison.k12.nj.us/site/default.aspx?PageID=1 … | #njed #edchat | PLS RT
Sun Mar 23 23:22:36 PDT 2014 --  Sighting by Chinese Plane Is Latest in Hunt for Missing Jet http://nyti.ms/1hdSDue 
Sat Mar 22 14:24:40 PDT 2014 --  20 yrs is a long time! Goes by fast pic.twitter.com/NHQckyeh2z
Thu Mar 20 01:21:18 PDT 2014 --  If debris from #MH370 is found, what would happen next? http://cnn.it/1gC3rBt 
Wed Mar 19 14:54:25 PDT 2014 --  We're playing #CMAFEST!!!! See you in Nashville on Friday, June 6th!
Wed Mar 19 15:22:04 PDT 2014 --  Girl Meets World has A LOT to live up to, but this is a hell of a start. #BoyMeetsWorld pic.twitter.com/ho2aRkoSUs
Tue Mar 18 17:57:15 PDT 2014 --  Ahh, Gibbs to the rescue. But still that Palmer thing killed me. #NCIS
Mon Mar 17 06:55:28 PDT 2014 --  We live at a time when all can be seen and watched. Also a time when a Boeing 777 can disappear without a trace. It's a bit of a riddle
Sun Mar 16 02:43:06 PDT 2014 --  Number of countries involved in #MH370 search jumped from 14 to 25, Malaysian official says. http://cnn.it/1iReDxk  pic.twitter.com/uq5ubroZ13
Sat Mar 15 16:23:38 PDT 2014 --  Official: U.S. intelligence is leaning toward theory that pilots are responsible for fate of Flight 370. http://cnn.it/1o5bdu6 
Sat Mar 15 00:04:11 PDT 2014 --  Malaysian #Flight370 confirmed a hijacking? God Bless and Help us all. Prayers for the victims and families. Crying.
Mon Mar 10 13:24:01 PDT 2014 --  These Amber Alerts on your phone are terrifying. I be thinking aliens are trying to make contact.
Sat Mar 08 08:40:43 PST 2014 --  This is the Saddest Pic I've ever seen. #MH370 #MalaysiaAirlines pic.twitter.com/09JN2Xp8X0
Sat Mar 08 08:00:19 PST 2014 --  Informed speculation from the facts so far: Malaysia Airlines missing flight #MH370 Questions & Answers pic.twitter.com/b8qUUzIbOQ
Sat Mar 08 12:49:29 PST 2014 --  Just learning about the #Malaysia plane. Horrific. Report about stolen passports adds to worry. http://www.nbcnews.com/storyline/missing-jet/stolen-passports-prompt-terror-concerns-missing-jet-officials-say-n47861 …
Fri Mar 07 11:24:13 PST 2014 --  Join us for STEM Day in Edison, Sat. Apr. 26th! This workshop is for administrators and teachers interested in iSTEM. http://www.edison.k12.nj.us/Page/5691 
Sat Mar 01 13:49:47 PST 2014 --  RT if you're going to the @GeorgeStrait concert tonight!
Tue Feb 25 17:53:21 PST 2014 --  Sorry kids, still shooting so can't tweet w/ ya! But... PSA: DO NOT drink every time someone says "clown" for risk of alcohol poisoning.
Tue Feb 25 16:01:39 PST 2014 --  Who do I love? The #NCIS & #NCISLA fans who are helping tell the world we are NEW TONIGHT! Don't miss it. #THANKS4BEINGBESTFANSEVER
Mon Feb 24 15:05:36 PST 2014 --  Is Taco Bell's new breakfast menu the start of the fast food wars from Demolition Man? YES. YES IT IS. http://www.uproxx.com/webculture/2014/02/taco-bells-breakfast-waffle-taco-finally-released-mcdonalds-demolition-man/ …
Mon Feb 24 16:02:52 PST 2014 --  Every time Taco Bell announces a new "food" I think of the movie Demolition Man.
Wed Feb 19 16:06:43 PST 2014 --  Cory: "Okay well come on, stand by the fence. Your best advice always came right here from the fence." #boymeetsworld pic.twitter.com/IWxvkWwdWS
Tue Feb 18 17:12:12 PST 2014 --  The intervention is turning on Spencer! #PrettyLittleLiars #AriaFindsOut #SpencerSpeedFreak
Tue Feb 18 17:03:14 PST 2014 --  Knowing that Ezra's A, everything he says takes on a second meaning. #PrettyLittleLiars #AriaFindsOut
Tue Feb 18 17:00:35 PST 2014 --  I'm trying to get reAdy for tonight because Aria finds out thAt EzrA is A.. I'm kinda freAking out. This is insAne ! So CrAzy. @ABCFpll
Tue Feb 18 17:01:02 PST 2014 --  #PrettyLittleLiars #AriaFindsOut Right now!
Sun Feb 16 14:14:15 PST 2014 --  I don't think I completely washed out my conditioner this morning so I'm gonna throw on some sweats call this day a win.
Thu Feb 13 19:37:10 PST 2014 --  R.I.P. 'The Waltons' Patriarch Ralph Waite - http://Deadline.com  http://www.deadline.com/2014/02/ralph-waite-dead-the-waltons-papa-john/ … via @deadline
Thu Feb 13 06:49:25 PST 2014 --  There cannot possibly be any more snow in the sky. We're snowed out already this winter. Make it stop.
Tue Feb 11 03:07:47 PST 2014 --  Breaking News: Shirley Temple Black, Former Child Star, Dies at 85 http://nyti.ms/Zf40cq 
Tue Feb 11 02:51:36 PST 2014 --  Corrects: Shirley Temple Black, the former child star who later became a U.S. ambassador, has died at 85.
Tue Feb 11 02:44:08 PST 2014 --  #BREAKING Reports: Shirley Temple dies at 85 http://usatoday.com 
Sat Feb 08 14:54:20 PST 2014 --  “ @scando331: pretty excited tonight is finally happening. @Jess2589 @krosko21 @s0uthpawww @jescountrymusic #girlsnight” Yay!!!
Thu Feb 06 15:32:15 PST 2014 --  Garth Brooks is gonna drop an album on us out of nowhere, I'm callin it. And it's going to break record sales.
Thu Feb 06 12:00:48 PST 2014 --  Tonight, we bid farewell to a legend. Don’t miss @jayleno’s final episode with @BillyCrystal and Garth Brooks at 11:35/10:35.
Thu Feb 06 12:15:16 PST 2014 --  34 years ago today, @gjpossum recorded "He Stopped Loving Her Today" in Nashville. #classic
Wed Feb 05 18:59:15 PST 2014 --  Loved having Emily back even if it was for one episode. #CM200
Wed Feb 05 18:59:08 PST 2014 --  These people need to learn: you can't beat JJ. #CM200 #CriminalMinds
Wed Feb 05 18:56:23 PST 2014 --  THAT WAS ONE HEART STOMPING EPISODE #CriminalMinds200
Wed Feb 05 17:27:11 PST 2014 --  Love Dragon Breeder! I just bred a Love Dragon in DragonVale! Visit my park to check it out! http://bit.ly/A7Dtgj 
Sun Feb 02 17:44:08 PST 2014 --  I think Seattle will win but Denver will get the snitch. #SuperBowI
Sun Feb 02 05:38:13 PST 2014 --  Happy Superbowl Sunday!!
Sat Jan 25 17:40:13 PST 2014 --  congrats to my pal @LukeBryanOnline playing first of two sold out shows at madison square garden tonight. @thegarden. badass bro!!
Tue Jan 21 17:58:33 PST 2014 --  Whyyy are #NCIS and #NCISLA reruns tonight???
Tue Jan 21 12:50:17 PST 2014 --  Guess who's back!! #ncis pic.twitter.com/DIl6JRXzv8
Sat Jan 18 17:57:17 PST 2014 --  "Ooh Mark Harmon. He's a dreamboat." -Raj #bigbangtheory #ncis
Fri Jan 17 03:16:26 PST 2014 --  RIP, Professor. #gilligansisland #russelljohnson
Tue Jan 14 17:04:20 PST 2014 --  Bishop's cheese puff defense is the most genius thing I've ever heard. And now I want cheese puffs. #NCIS
Tue Jan 14 18:14:59 PST 2014 --  "Cheese puffs are the perfect food to support the linkage between new info and stuff already stored in the brain." #ncis #bishop
Tue Jan 14 04:09:15 PST 2014 --  Clearly I'm just not meant to have a latte this week. Two Dunkins in two days & both machines were broken. #sigh
Mon Jan 13 16:10:31 PST 2014 --  iTunes session releases tonight at midnight. We may or may not have recorded "Friends in Low Places"......
Thu Jan 02 18:07:33 PST 2014 --  Copperhead Road is still cooler than u. This song will not ever get old.
Sat Dec 28 18:33:29 PST 2013 --  Gift Dragon Breeder! I just bred a Gift Dragon in DragonVale! Visit my park to check it out! http://bit.ly/A7Dtgj 
Fri Dec 27 04:56:21 PST 2013 --  Ruin Dragon Breeder! I just bred a Ruin Dragon in DragonVale! Visit my park to check it out! http://bit.ly/A7Dtgj 
Thu Dec 26 06:23:32 PST 2013 --  "He had a dozen roses & a bottle of wine. If he was lookin' to surprise us, he was doin' fine." #PapaLovedMama #GarthBrooks
Sat Dec 21 16:56:31 PST 2013 --  RIP Claire Davis. Fly with the angels.
Sat Dec 21 08:54:10 PST 2013 --  Crypt Dragon Breeder! I just bred a Crypt Dragon in DragonVale! Visit my park to check it out! http://bit.ly/A7Dtgj 
Sun Feb 03 11:05:15 PST 2013 --  Hermione asks Harry if he needs his toothbrush. Leave it to the daughter of dentists to be worried about cavities at a time like this.
Wed Jan 30 09:37:22 PST 2013 --  I'm a little miffed that Dumbledore didn't include me in his will after all we'd been through. He knew I wanted his T-Swift records.
Tue Jan 29 19:06:28 PST 2013 --  Harry got the first Snitch that he caught and is a little disappointed. I BET IT WON'T COME UP AGAIN AT AN IMPORTANT TIME.
Sat Jan 26 10:57:06 PST 2013 --  Ron's like "The amount of books you're bringing could comfortably populate Beast's library" and Hermione's like "I will cut you."
Thu Dec 05 17:29:42 PST 2013 --  Go @carrieunderwood go!
Mon Dec 02 13:29:43 PST 2013 --  #whatevershesgot
Fri Nov 29 21:37:50 PST 2013 --  #GarthBrooks show on @CBS is amazing. He's singing the history of music. What? I'm glued. Wow he's SO talented and funny!
Wed Nov 27 23:22:35 PST 2013 --  New StilaBabe09 video! Holiday Giveaway!!! http://youtu.be/oa3ATYqrh6A  via @youtube
Fri Nov 29 20:01:56 PST 2013 --  AND IT'S THE LIVE VERSION! #GarthBrooks
Fri Nov 29 20:02:00 PST 2013 --  Oh the mysterious 3rd verse! #kissmyass #friendsinlowplaces #GarthBrooks
Fri Nov 29 20:00:37 PST 2013 --  Blame it all on my roots, I showed up in boots and ruined your black tie affair. #GarthBrooks #FriendsInLowPlaces
Fri Nov 29 19:59:45 PST 2013 --  FRIENDS IN LOW PLACES! #GarthBrooks
Fri Nov 29 19:54:14 PST 2013 --  #Shameless WITH NO MUSIC. But it's your world now, I can't refuse. I've never had so much to lose... I'm SHAMELESS! #GarthBrooks
Fri Nov 29 19:49:52 PST 2013 --  #GarthBrooks #HopeFloats When the rain is blowing in your face, and the whole world is on your case ... To Make You Feel My Love <3
Fri Nov 29 19:40:43 PST 2013 --  He's right, though. You sing songs as a kid & have NO IDEA what they're about. #GarthBrooks
Fri Nov 29 19:35:00 PST 2013 --  #GarthBrooks So tell that someone that you love just what you're thinking of, if tomorrow never comes. #IfTomorrowNeverComes
Fri Nov 29 19:25:48 PST 2013 --  Oh the look on #GarthBrooks face just now #priceless
Fri Nov 29 19:25:49 PST 2013 --  Garth Brooks live alone with a guitar is better than most people live with bands and back up #legend
Fri Nov 29 19:26:17 PST 2013 --  How cute are Garth Brooks and Trisha Yearwood?! Seriously adorable!
Fri Nov 29 19:24:17 PST 2013 --  Love how animated #GarthBrooks is...can't fake passion like that.
Fri Nov 29 18:51:32 PST 2013 --  Loving this #GarthBrooks special! Saw the show in Vegas a few years ago...so much joy and love for music! #Inspired #FellowOkie
Fri Nov 29 19:19:24 PST 2013 --  I just want the Garth Brooks to my Trisha Yearwood
Fri Nov 29 19:01:29 PST 2013 --  Garth Brooks has more swag then he knows what to do with
Fri Nov 29 19:01:32 PST 2013 --  Remember when the Thunder Rolls video was too violent and controversial to air on CMT? #GarthBrooks
Fri Nov 29 18:32:41 PST 2013 --  Garth Brooks has lost his mind and it's utterly fantastic. I really need to go to Vegas.
Fri Nov 29 18:24:12 PST 2013 --  If Garth Brooks ever makes a comeback tour I will pay whatever price to see him preform. That man is the best performer to ever play #amazin
Fri Nov 29 18:20:58 PST 2013 --  Based on this CBS special, Garth Brooks’ show in Vegas is just him with a guitar having a midlife crisis every night.
Fri Nov 29 18:21:00 PST 2013 --  "The hipper I feel, the whiter I'm going to appear." #GarthBrooks
Fri Nov 29 18:21:57 PST 2013 --  Lol Garth brooks is one crazy mother fucker but he could put a baby to sleep with that voice at the same time
Fri Nov 29 18:21:57 PST 2013 --  Only Garth Brooks can pull off the starched carpenter jeans and hiking boots on stage. #stud
Fri Nov 29 18:13:11 PST 2013 --  Garth brooks concert on CBS tonight. It's lovely. And oddly comedic.
Fri Nov 29 18:13:13 PST 2013 --  Man, I miss music like Garth Brooks sang! Had meaning to it and always hit a soft spot.
Fri Nov 29 18:16:48 PST 2013 --  Watching Garth Brooks' special is really reminding me why he is my all time favorite country artist
Fri Nov 29 18:05:16 PST 2013 --  Fun Fact - Garth Brooks' debut album was released on THE DAY I was born. April 12, 1989.
Fri Nov 29 18:04:38 PST 2013 --  THE BEGINNING: 1989 "Much Too Young (To Feel This Damn Old) #GarthBrooks
Fri Nov 29 04:29:29 PST 2013 --  Trust Garth Brooks.
Tue Nov 26 08:41:15 PST 2013 --  We have #GarthBrooks in the house at #omgInsider today! Hit RT if YOU wish he was on Twitter - he's on our show tonight!
Fri Nov 29 04:26:41 PST 2013 --  Garth Brooks has partnered with CBS for a live broadcast of his final performance at the Wynn Las Vegas on Nov.... http://fb.me/1PzNi6AWN 
Thu Nov 28 16:28:12 PST 2013 --  Everyone else is fighting over tvs and iPad, and I'm just here like, " I like Garth Brooks" #couldntwait
Thu Nov 28 15:12:51 PST 2013 --  Thankful for Garth Brooks being on TV tomorrow night!!
Thu Nov 28 15:51:30 PST 2013 --  Shoutout to the #garthbrooks fandom. There are 3 of us in my #walmart going after the box sets. We stand in a sea of tv-seekers #BlackFriday
Thu Nov 28 15:53:10 PST 2013 --  Everyone is in line for the tablets and handled games, while I have my hands on Garth Brooks the box set all by my lonesome self
Wed Nov 27 20:03:15 PST 2013 --  Be miserable. Or motivate yourself. Whatever has to be done, it's always your choice.
Tue Nov 26 18:58:12 PST 2013 --  The ending to NCIS Los Angeles tonight was very sad
Tue Nov 26 18:58:48 PST 2013 --  I can't forgive Hetty & Granger for this.
Tue Nov 26 18:57:08 PST 2013 --  OMG NO. You can't build that up & then pull the rug out from underneath me. NO.
Tue Nov 26 18:55:39 PST 2013 --  #Densi #Densi #Densi
Tue Nov 26 18:20:13 PST 2013 --  @NCISLA_CBS yeah that was pretty Awesome fight! Theme song of the episode is #NoShot.
Tue Nov 26 18:05:47 PST 2013 --  First 3minutes of @NCISLA_CBS and I am loving @ericcolsen & @DanielaRuah !!!
Tue Nov 26 16:54:35 PST 2013 --  Wait... there's no #NCIS tonight?? This is not okay.
Tue Nov 26 16:50:52 PST 2013 --  I would like to talk to the idiot who replaced NCIS with Rudolph The Red Nosed Reindeer for tonight
Sat Nov 23 17:29:11 PST 2013 --  Roses are white Nightlock is blue It’s called Catching Fire Not Hunger Games 2
Fri Nov 22 14:30:04 PST 2013 --  Who's #CatchingFire tonight?? Yeah, I'm a #fangirl ;) @TheHungerGames
Mon Nov 18 16:01:34 PST 2013 --  Light Dragon Breeder! I just bred a Light Dragon in DragonVale! Visit my park to check it out! http://bit.ly/A7Dtgj 
Mon Nov 18 16:01:11 PST 2013 --  Dark Dragon Breeder! I just bred a Dark Dragon in DragonVale! Visit my park to check it out! http://bit.ly/A7Dtgj 
Mon Nov 18 05:02:04 PST 2013 --  You aren't wealthy until you have something money can't buy. #GarthBrooks
Sat Nov 16 07:55:50 PST 2013 --  The wizards of DragonVale gave me a unique decoration for assisting the return of dark dragons! http://bit.ly/A7Dtgj 
Fri Nov 15 17:33:32 PST 2013 --  Greatest city in the world? Today, San Fran, you are. http://www.cnn.com/video/data/2.0/video/us/2013/11/15/dnt-simon-batkid-dream-gotham-city-rescue.cnn.html?c=homepage-t …
Sat Nov 09 17:01:22 PST 2013 --  IT'S ON!! #BlameItAllOnMyRoots #GarthBrooks
Wed Nov 06 18:53:00 PST 2013 --  It's so sweet. Everyone she ever opened for presented it. @rascalflatts @FaithHill @TheTimMcGraw @GeorgeStrait @KeithUrban @BradPaisley
Wed Nov 06 18:50:52 PST 2013 --  "Congratulations on this well-deserved Pineapple Award........ Pinnacle Award." - @TheEllenShow
Wed Nov 06 18:50:21 PST 2013 --  You learn something new every day: the Pinnacle Award has only been given to 2 artists EVER. Garth Brooks & Taylor Swift.
Wed Nov 06 18:49:21 PST 2013 --  Congratulations @taylorswift13 on receiving the Pinnacle Award! You deserve it. #CMAawards
Wed Nov 06 17:38:18 PST 2013 --  YES!!!!! I Drive Your Truck wins Song of the Year!! <3 That song deserves this.
Wed Nov 06 17:37:34 PST 2013 --  So jealous of @lucyhale - she's presenting with @jakeowen !!!!! #CMAawards
Wed Nov 06 17:16:02 PST 2013 --  Baby, you a CMA! Single Of the Year goes to “Cruise” by @FLAGALine! #CMAawards
Wed Nov 06 17:10:56 PST 2013 --  "Twerking is...Have you ever been to a @LukeBryanOnline concert?" says @carrieunderwood when @BradPaisley said he "twerked" his back!
Wed Nov 06 17:11:35 PST 2013 --  Brad Paisley thanked Taylor Swift for growing up in front of us & never once humping a teddy bear or gyrating with Beetlejuice. #CMAawards
Wed Nov 06 17:10:34 PST 2013 --  Obamacare by morning... Why's this taking so long? "I started signing up last Thursday.. and I'm almost done!" #AmarilloByMorning #Spoof
Wed Nov 06 17:08:22 PST 2013 --  "Enjoy your Thanksgiving together." #WhyCantWeBeFriends @kelly_clarkson && @reba
Wed Nov 06 17:06:36 PST 2013 --  THEY HUGGED!! #WhyCantWeBeFriends @LukeBryanOnline && @zacbrownband
Wed Nov 06 17:02:14 PST 2013 --  #CMAAwards time!! @LukeBryanOnline is excellent, as always <3
Wed Nov 06 05:51:29 PST 2013 --  @HunterParrish so cool being part of #HellOfAView last night! I hope our ( @OGSurfandSkate ) wetsuits helped you out!!
Tue Nov 05 23:38:19 PST 2013 --  While I still have time I'd like to wish my TV husband of 14 years, @BenSavage, a happy anniversary. Thanks for lunch today, handsome. :)
Tue Nov 05 21:39:03 PST 2013 --  #Wisdom pic.twitter.com/dCOjRx5a2G
Mon Nov 04 09:19:55 PST 2013 --  Watch @Jason_Aldean on @CountryMusic's #CMAawards Nov 6 @ABCNetwork, and ENTER TO WIN A TRIP to next year’s show! http://go2w.in/CMA-10 
Sun Nov 03 17:01:23 PST 2013 --  Finally!! My copy of @MelissaJoanHart's book Melissa Explains It All has arrived!!!! Goodnight everyone, I'll be reading!!
Thu Oct 24 18:46:12 PDT 2013 --  The man who offers an insult writes it in sand, but for the man who receives it, it's chiseled in bronze. ~Giovannino Guareschi #njed
Sat Oct 12 06:03:19 PDT 2013 --  "If you think you can or can't you are probably right." great keynote from @TeacherCast #edtechnj
Tue Oct 08 16:07:57 PDT 2013 --  Meanwhile in America: Voldemort has taken over, beginning to hide Horcruxes. Muggles still covering it up, calling it a government shutdown.
