Fri Aug 28 21:17:27 PDT 2015 --  Get you a woman who loves you the way Beyoncé loves Lebron James pic.twitter.com/hNsNV8UK22
Fri Aug 07 10:29:05 PDT 2015 --  pic.twitter.com/rE4QuKdhRY
Fri Aug 07 10:10:19 PDT 2015 --  pic.twitter.com/i8tIJA9o9P
Fri Aug 07 09:23:53 PDT 2015 --  Hey you. (Yeah, you!) Are you up for some Friday fun? Retweet for a chance to win a PF Swag Bag!
Fri Aug 07 09:12:59 PDT 2015 --  That's a good issue to have. RT @brihart_: The fact that I'm researching PhD programs is an issue.
Fri Aug 07 08:50:52 PDT 2015 --  I feel like every big black girl can sing
Thu Aug 06 19:56:48 PDT 2015 --  The beginning of body party was like pic.twitter.com/wRcFwK8mHM
Thu Aug 06 17:40:35 PDT 2015 --  Solange Instagram is dope and yall barely even like her pics Unless she's in it
Thu Aug 06 16:15:08 PDT 2015 --  After escaping from prison in Bibb County, 2 days after Christmas in 1981, police captured Willie Austin yesterday. pic.twitter.com/lYzh5A5jHa
Thu Aug 06 14:54:22 PDT 2015 --  Had to #Repost 🏾🏾🏾 #TheCarShout https://instagram.com/p/6DseBJgN_M/ 
Thu Aug 06 13:45:29 PDT 2015 --  Ohhh!!!! Everybody claiming they trill, a boss, a king... NEGATIVE!! #GetYourWeightUp 🏽 https://instagram.com/p/6Dkm0_oKW9/ 
Thu Aug 06 14:05:26 PDT 2015 --  I need a Toyota Tundra in my life. Black on black.
Thu Aug 06 13:06:57 PDT 2015 --  Bibb Co sheriffs arrested this woman for improper use of emergency service, dialing 911 about 150 times since June. pic.twitter.com/NdzzhHhLyJ
Thu Aug 06 12:01:05 PDT 2015 --  When they have to swipe your card a second time and t goes through pic.twitter.com/K5NpsmD7oC
