Fri Aug 21 15:26:09 PDT 2015 --  pic.twitter.com/377Y8UV8zj
Tue Aug 28 11:48:04 PDT 2012 --  Visit our website for updates on our operations and Hurricane Isaac http://exxonmobil.co/SBhVJD 
Mon Aug 27 12:33:43 PDT 2012 --  يااااساااتر شكلي بانام برى البيت الاتفاق جابو قوووول ... الوالده معصّبه #الهلال_الاتفاق
Mon Aug 27 12:28:39 PDT 2012 --  ياللللطيف امي صايره هلاليه متعصّبه انا ماتي متحمس مع المباره وهيه صايره مُحلِله ههههه #الهلال_الاتفاق
Mon Aug 27 11:49:34 PDT 2012 --  قووووووول. على السكاتي ... صوره مع التحيه للقناه الرياضيه .. #الهلال_الاتفاق
Mon Aug 27 11:17:35 PDT 2012 --  رجل كبير في السن يعول ستة من افراد عائلته وزوجته يحتاج ٣٦٠٠ ريال مصاريف منزليه ومدرسية يسكن الرياض لمن يرغب التواصل معه والوقوف عليه. ريتويت
Mon Aug 27 04:56:55 PDT 2012 --  مسائكم رضى من رب العالمين @RT24RT
Sun Aug 26 01:26:38 PDT 2012 --  It's 2012. Why can't I download food yet?
Sat Aug 25 15:07:11 PDT 2012 --  فندق في اليابان تم هجره سنه ١٩٩٧ ، ولم يعرف السبب حتي الان ٣ #معلومات pic.twitter.com/fCw33dP2
Sat Aug 25 15:05:22 PDT 2012 --  فندق في اليابان تم هجره سنه ١٩٩٧ ، ولم يعرف السبب حتي الان #معلومات pic.twitter.com/GB4yr1V9
Sat Aug 25 14:36:13 PDT 2012 --  شاهد خبث اليهود إقلب كلمة [ماكدونالدز] تطلع معاك (زدلانودكام) وهي كلمة مالها أي معنى ويعطيك العافيه على حماسك الزائد
Sat Aug 25 14:30:44 PDT 2012 --  Samsung told to pay Apple $1bn. #samsung #apple http://www.bbc.co.uk/news/technology-19377261 …
Sat Aug 25 09:42:42 PDT 2012 --  Apple and Samsung get Korea ban http://www.bbc.co.uk/news/business-19364875 …
Sat Aug 25 02:26:22 PDT 2012 --  #اوصف_اول_يوم_لك_بالدوام كأنه فيلم إباحي بس + 16 ما فيه الا تبويس
Fri Aug 24 23:45:14 PDT 2012 --  حضر مصري دعاء السديس بمكة فبكى بدعائه بعد خروجه شاهد الشيخ مع سواقة راكب البانوراما فسأل:هي دي للشيخ؟،قالوا نعم. قال:أمال بيعيط ليه؟=))
Fri Aug 24 06:28:10 PDT 2012 --  علمتني الحياه :ان بعض الأشخــاص مثل الكرة تضعه فوق رأسك، يقع ... !! ترميه بعيدا"، يعــــــود إليك ... !! و لكن عندما تضعه تحـت قدميك... يثبت
Thu Aug 23 23:00:47 PDT 2012 --  قـــمـــه الــولـــــيه : لمن تبطل محادثه واحد بالغلط وأنت حـاقره صارلك 3 ايــام !! KaaaaaaaaaaaaaaK =))
Thu Aug 23 22:41:43 PDT 2012 --  I just ousted @mkchef as the mayor of Layali Turki on @foursquare! http://4sq.com/c1z1Pi 
Thu Aug 23 22:41:43 PDT 2012 --  I just unlocked the "Fresh Brew" badge on @foursquare for checking in at coffee shops! http://4sq.com/O7HL5f 
Thu Aug 23 22:33:19 PDT 2012 --  لا تجادل الانثى فإن غلبتك احتقرتك وان غلبتها كرهتك فانطم أبرك لك =))
Thu Aug 23 22:30:47 PDT 2012 --  Coke dealers. Always sticking their business in other people's noses
Thu Aug 23 22:19:51 PDT 2012 --  RT @_a7madd: ‏​راعي البيت يكسب اكثر من الملعب ΡɪČ  http://is.gd/VRTwma 
Thu Aug 23 22:15:24 PDT 2012 --  محملين تويتر ووآتس اب ويسمعون اغاني ويصورون ويتكلمون طول الوقت فيه وآخر شي يقولون البطاريه تخلص بسرعه !! وش البطاريه اللي ماتستحي @RT24RT
Thu Aug 23 22:10:13 PDT 2012 --  سوريا : قوات الأسد تقتحم مشفى بدرعا..وتعتقل الجرحى”
Thu Aug 23 22:15:01 PDT 2012 --  امرأة تبيع طفلها مقابل شاحنة مستعملة http://goo.gl/IC7zh 
Thu Aug 23 09:51:11 PDT 2012 --  http://twitpic.com/akdeuw  - بنايه غريبه فوقها ببت مقلوب في فينا - النمسا
Thu Aug 23 22:01:57 PDT 2012 --  صباح الخير ...
Thu Aug 23 21:33:13 PDT 2012 --  “ @khalidalazme1: “@GmazaQ8: @khalidalazme1 pic.twitter.com/PqpRr4nr” اوووووم الهياااااط .. شكله هاجري
Thu Aug 23 21:30:04 PDT 2012 --  الحين لما ذبانة تدخل طيارة والطيارة تروح لندن مثلا، لما تنزل تعرف تسولف مع الذبانات الثانيات؟ ولا بالاشارة؟
Thu Aug 23 21:14:13 PDT 2012 --  سيأتي يوم تتمنى نشرها مليار مره !! pic.twitter.com/CrYOvbjq
Thu Aug 23 21:13:03 PDT 2012 --  تصدقون هذا اسمه " بوديقارد " وانا من 12 سنه احسبه بوردقا ~ ~ ! http://lockerz.com/s/235623404 
Thu Aug 23 21:02:46 PDT 2012 --  النظرة الشريرية الخبيثية .. انا متأكده البزر صار له شيء http://lockerz.com/s/236798631 
Thu Aug 23 18:51:21 PDT 2012 --  إذا لم تشعر أبدا بالخوف، أو بالإحراج، أو بالجرح، فأنت أبدا لم تجازف
Thu Aug 23 18:05:21 PDT 2012 --  أحيانا نحاول دفع الباب لفتحه فنفشل ! فنحاول بالقوة ثم نكتشف أنه يفتح في الإتجاه الآخر كذلك المشاكل تحل بالعقل لا بالقوة”
Thu Aug 23 18:26:16 PDT 2012 --  المناطق السياحية تسجّل أعلى نسب إشغال منذ سنوات http://dlvr.it/22sFRY 
Thu Aug 23 18:44:53 PDT 2012 --  قمة النبل ،قمة الذوق، وقمة العطاء : أن تضع الخلاف جانبًا عند احتياج شخصٍ ما.. لك
Thu Aug 23 18:37:18 PDT 2012 --  متى تحس انك جايب العيد ؟ لما تكتب تويتة وتشوف الفلورز ينقصون الله لا يجيب هاليوم يا رب
Wed Aug 22 07:01:33 PDT 2012 --  If you friend request me on facebook and your profile picture is a car, I will assume you're a transformer.
Thu Aug 23 18:32:52 PDT 2012 --  Somebody died last night, but I didn't, somebody didn't wake up this morning, but I did, I'm not lucky, I'm blessed, retweet if you are too.
Wed Aug 22 18:20:30 PDT 2012 --  I wish I had a delete button in my life. To delete some people, some memories, and some feelings.
Wed Aug 22 16:20:42 PDT 2012 --  Throwing your phone in anger... then checking if its still okay.
Thu Aug 23 18:00:58 PDT 2012 --  xý + y +8 [(x + 2y ý = a-z] + 2x ? + (- 2z = 2. 4) + 10y - 5Z ?= k= 9 TRUST ME, You need this in life.
Thu Aug 23 17:50:55 PDT 2012 --  تم ​بيع كأس (قلاص) شربت منه ليدي غاغا بـ 75 الف دولار ! شدعوه حلجها مطرز بألماس ! #منو يبي باجي الفيمتو مالـي بـ٢٥٠ فلس شربـت منه جغمتين =))
Thu Aug 23 17:42:54 PDT 2012 --  R: is for red. Red: is for blood. Blood: is for heart. Heart: is for love. Love: is for you. You: is for me. Me: is you. ((( I #Love You )))
Thu Aug 23 17:17:17 PDT 2012 --  #متى_نصبح_دولة_متقدمة ؟ إذا صار الوزير ما يموت وهو لسى في وزارته..
Thu Aug 23 17:21:19 PDT 2012 --  #متى_نصبح_دولة_متقدمة ؟ إذا ما صار فيه شبوك
Thu Aug 23 17:48:17 PDT 2012 --  I just unlocked the "School Night" badge on @foursquare for checking in after 3am on a school night! http://4sq.com/StOmLr 
Tue Aug 21 23:05:01 PDT 2012 --  Billion dollar beauty http://www.abb.com/cawp/seitp202/bedc41ffa090c993c1257a2c004617cb.aspx …
Tue Aug 21 21:28:35 PDT 2012 --  كيـف يفنى مـا كتبناه بنار وخططناه بسُهدٍ ودموع يـشـهـد الليل عليـه والنهار والجريح المتواري في الضلوع #بوح
Tue Aug 21 22:52:29 PDT 2012 --  I just unlocked the "Explorer" badge on @foursquare for checking in to twenty-five different places! http://4sq.com/NGre7s 
Tue Aug 21 20:14:21 PDT 2012 --  اللهم ما أصبح بي من نعمة أو بأحد من خلقك فمنك وحدك لا شريك لك، فلك الحمد ولك الشكر
Tue Aug 21 18:37:20 PDT 2012 --  صحيفة الاقتصادية: الأسر السعودية تنفق 13 مليار ريال على العيد
Tue Aug 21 08:29:03 PDT 2012 --  I just unlocked the "Super User" badge on @foursquare for checking in thirty times in a month! http://4sq.com/OVkve3 
Mon Aug 20 19:10:01 PDT 2012 --  لـو حـبـك مـخـفـر ادشـه سـكـران =D
Mon Aug 20 17:34:09 PDT 2012 --  بعض الشباب اذا يبون يطلبون من ماكدونالدز قيف مي واحد ماك تشيكن دياي #يا غبي التشيكن يعني دياي
Mon Aug 20 08:41:19 PDT 2012 --  ‎مصطفى‏: م=مدرسه ص=صف ط=طابور ف=فصل ى=يدرس ‎ يخرب‏ بيتك حتى اسمك يحب المدرسه‏
Mon Aug 20 08:31:24 PDT 2012 --  السعر السوقي لشركة آبل ٦١٩ مليار هذا يعادل أحتياطي الأجيال ل لثلاث دول خليجية مجتمعة . #ارقام_كبيرة ويطلعلك الخبير يقول آبل شركة فاشلة !
Mon Aug 20 07:58:36 PDT 2012 --  للتذكير : تيم كوك يقابل رئيس سامسونج اليوم للبحث عن قضاياهما حول برائات الآختراع .
Mon Aug 20 07:45:00 PDT 2012 --  حقق حلمك وامتلك بوغاتي فيرون http://goo.gl/Yl1zC 
Mon Aug 20 06:55:02 PDT 2012 --  ​‏​‏​في A في A في A في A في A في A في A في A في A في A في A في A مصرين متجمعين عند حادث
Mon Aug 20 05:22:51 PDT 2012 --  قمة الغباء : يشوفك تغسل سيارتك!ويسألك: قاعد تغسل السيارة؟ لا والله بس قاعد اسقيها عشان تكبر وتصير باص ‎# ههههههه
Sun Aug 19 21:27:20 PDT 2012 --  لو كانت الدنيا سهلة لوجدتنا جميعاً ملوك وحكماء مميزين لكنها شقاء فمن يجهل يفشل ومن يعمل ينل فلن تجد النجاح يرمى كالرمال بل لؤلؤ تبذل له لتصل
Sun Aug 19 16:23:17 PDT 2012 --  هذا نفنوف ولا تحميلة جاهل ؟؟؟ - http://twitpic.com/al1gkl 
Sun Aug 19 16:27:12 PDT 2012 --  اعلان وفاة &quot;مايباخ&quot; رسمياً http://www.arabmotors.tv/ar/news/%D8%A7%D8%B9%D9%84%D8%A7%D9%86-%D9%88%D9%81%D8%A7%D8%A9-%D9%85%D8%A7%D9%8A%D8%A8%D8%A7%D8%AE-%D8%B1%D8%B3%D9%85%D9%8A%D8%A7%D9%8B … via @arabmotorstv
Sun Aug 19 14:44:42 PDT 2012 --  هذا هاتف من آبل عام ١٩٨٣ http://img.ly/meOi 
Sun Aug 19 13:10:29 PDT 2012 --  ودي اسـوي نسخـه ثانيـه منـي و اخليهـا مـع اهلـي و اطلـع انـا اشـوف حياتـي ليمتئ وانااا البنت المؤدبه آڵڵۑ ماتسوي اشياءات عيب
Sun Aug 19 12:38:25 PDT 2012 --  @7asriy كل عام وانت بخير وعساكم من عواده
Sun Aug 19 09:58:38 PDT 2012 --  يا جماعه ما تعرفون احد يبيع فلوس؟ ‎:)‏
Sun Aug 19 09:27:49 PDT 2012 --  ماك جكن يتمشى في البر طلع له صقر .. قام يصرخ : وااااااي أمريكان إيقل XD
Sun Aug 19 09:22:10 PDT 2012 --  أمس رحت للدكتور قال فين الألم قلت له ألم رصاص ولا حبر مالكم بالطويله انا الحين بريل وحده Kaaaaaaaaaak
Sun Aug 19 08:02:49 PDT 2012 --  سعادة العاملين تســاوي سعادة العملاء تســاوي سعادة المساهمين.
Sat Aug 18 20:47:57 PDT 2012 --  من اهم خطوات العيد عند البنت .. شحن الكانون =))! @RT24RT
Sat Aug 18 20:38:11 PDT 2012 --  كل ماتبقى عالدوام الرسمي ١٦٨ ساعة وثلاث دقايق و٢٣ ثانية * هذه الحقيقة ولا نقدر نقول غير الحقيقة
Sat Aug 18 18:28:40 PDT 2012 --  مراحل سيارات الشاب >> الابتدائي: فراري متوسط: لمبرقيني ثنوي: بنتلي يوم شراء السيارة: شروكي ١٩٩٩
Sat Aug 18 06:24:24 PDT 2012 --  واحد يغرق في البحر شاف محشش قاله تكفى طلعنى قال استغفر ربك هذا يومك =)) =)) =d هههههههههههههههههه=))
Fri Aug 17 18:48:55 PDT 2012 --  “ @M7MMD_AL7ISOON السنة الماضية كنت (درباوي حنس, طعس) و الحين شيخ من شيوخ قحطان كل عآم وانت بخير وتقبل الله منك http://twitter.com/M7MMD_AL7ISOON/status/236634955323699200/photo/1pic.twitter.com/reegiNCZ ” خخخ
Fri Aug 17 17:56:01 PDT 2012 --  حكمه محشش :تبي الناس تذكرك دايــمن ؟! تسلف منهم واسحب عليهم مستحيل ينسونك
Fri Aug 17 17:54:37 PDT 2012 --  ​أبي شخص لاشافني معصبه يقولي: آوششش جبت لج ورق عنب و مكس ردبول وباسكن روبنز وماك وكتكات وكل شي ينوكل!!
Fri Aug 17 17:29:28 PDT 2012 --  ي فلورزاتي الاعزاء يرضيكم ادقرر عند رقم ٥٠٠٠ :( < بنيه فقيره مسكينه خدامتنا منحاشه ومالقيت بدله عيد < شكو أإأبـْيے ارتفع فووق فووق
Fri Aug 17 17:06:54 PDT 2012 --  هل تعلم أن أنثى النسر تموت بعد الذكر مباشره ! إلا أن النسرة الكويتية تقضي عليك وعلى اهلك والفريج وتالي تراجع التأمينات تأخذ معاشك
Fri Aug 17 17:03:46 PDT 2012 --  خلصت الاختراعات ؟!!! http://po.st/wXxKAo  وييييييع
Fri Aug 17 15:22:23 PDT 2012 --  حبّيت اشارككم بالمقوله عذي والفائده تعمْ ان شاء الله للجميع ... #العيد pic.twitter.com/NXJK71tD
Fri Aug 17 13:25:28 PDT 2012 --  والله يا أنا تعبان بالحيل مرر
Fri Aug 17 13:23:00 PDT 2012 --  تعلموا الصدق قبل العشق لأن العبث بالمشاعر أبشع جريمة
Fri Aug 17 11:21:38 PDT 2012 --  I still remember the Malaysian lawyer tweeting, racing to take the court order to airport, trying to show ban on flying Hamza back 2 #Saudi.
Fri Aug 17 11:04:04 PDT 2012 --  Of the 10 fastest-growing occupations in the U.S., 8 are #STEM related. Learn more http://www.letssolvethis.com 
Fri Aug 17 07:02:48 PDT 2012 --  الويل لامة عشائرها أقوى من شرعيتها.
Fri Aug 17 07:29:54 PDT 2012 --  تذكـر : إذا دعتك قدرتك إلى ظلم الناس .. ف تذكر قدرة الله عليك
Fri Aug 17 02:35:13 PDT 2012 --  بالمدرسة لابد من وجود ذٰلك الشخص المُتفلسِف إلي بحصه البدنيّه عباله داش بطوله أوليمبيات ‎# حقيقه‏
Thu Aug 16 09:29:01 PDT 2012 --  ههههههههههههه ضابطينها pic.twitter.com/2Emj70aZ
Thu Aug 16 08:57:35 PDT 2012 --  تعجل قبل أن يرحل رمضان قلنا تمهل فالأجر فينا قد هل والمساجد من أهلها تجل كم تمنيت لو طال العمل وكانت السنين رمضان الأمل رمضان لاترحل تمهل
Thu Aug 16 08:26:55 PDT 2012 --  في #الحرم المدني: أهل #المدينة يتسابقون أيهم يفوز بأفطار الزائرين للحرم..كم هو رائع هذا الكرم المدني..
Thu Aug 16 07:00:51 PDT 2012 --  المتفائل: أرى ضوءا في نهاية النفق المتشائم: ولماذا لا يكون ضوء حافلة مسرعة باتجاهنا ترجمة بتصرف كبير من أقوال غريبة pic.twitter.com/J6ynyv2r
Wed Aug 15 13:23:20 PDT 2012 --  Thanks for the mentions and RTs @Christeffanie @gjcolville @bayu_icak @AbimanyuRaden @Marce_GSJ @OfficialRachman @McHypeMedia @icanicen
Wed Aug 15 12:07:54 PDT 2012 --  #اختراق_أرامكو تذكرت مقولة واحد من شيبان الحسا وهو موظف ارامكاوي قديم .. يقول: اييييه .. راحت ايامك يابوكبوس!
Wed Aug 15 07:23:44 PDT 2012 --  الفرق بين العولمة والعالمية http://fb.me/1fAD9XhwJ 
Wed Aug 15 07:19:26 PDT 2012 --  Check out some travel moments from @dashberlin. What was your favorite travel moment ever? pic.twitter.com/jO1iIq7T
Wed Aug 15 05:23:34 PDT 2012 --  ماذا ينتظر بشار الأسد ... هل يريد .. أرض قاحله بدون بشر .. ووطن بلا شعب ...!!
Wed Aug 15 06:28:16 PDT 2012 --  @RT24RT كل ما يتعلق بالصداع وأنواعه وعلاجاته http://twitmail.com/Ut4 
Wed Aug 15 05:00:30 PDT 2012 --  Survey reveals majority of industry intend to invest to meet environmental compliance obligations #ABB #measureup http://ow.ly/cN7GA 
Mon Aug 13 23:15:50 PDT 2012 --  تعب شديييد (@ ABB King Fahad Road Office) http://4sq.com/QZifSc 
Mon Aug 13 11:39:07 PDT 2012 --  I'm at Caribou Coffee (Riyadh) http://4sq.com/Nu9pZD 
Mon Aug 13 10:45:59 PDT 2012 --  كذا حلووووين حاطين شعار ال ABB (@ ABB King Fahad Road Office) http://4sq.com/Qv0TZ5 
Mon Aug 13 10:45:59 PDT 2012 --  I just unlocked the "Local" badge on @foursquare for checking in three times at the same place in one week! http://4sq.com/Qv0RAr 
Mon Aug 13 10:41:10 PDT 2012 --  Mom i love you (@ CHANEL شأنيل) http://4sq.com/MU1rNl 
Mon Aug 13 02:21:25 PDT 2012 --  I'm at IKEA ايكيا (Riyadh, Riyadh Province) http://4sq.com/P6SezO 
Mon Aug 13 02:21:25 PDT 2012 --  I just unlocked the "Adventurer" badge on @foursquare for checking in to ten different places! http://4sq.com/P6SfDX 
Sun Aug 12 14:09:48 PDT 2012 --  اصعب شي بالحياة انك تراقب ذبانه =))
Sun Aug 12 11:55:54 PDT 2012 --  I'm at Rabwa Compound (Riyadh) http://4sq.com/MSy73X 
Sun Aug 12 10:56:02 PDT 2012 --  Some urgent issues ... Need to replay (@ ABB King Fahad Road Office) http://4sq.com/OjreOD 
Sun Aug 12 08:38:18 PDT 2012 --  مرسي يحيل طنطاوي وعنان للتقاعد على خلفية تفجيرات سيناء http://sabq.org/eemfde 
Sun Aug 12 08:19:28 PDT 2012 --  محمد مرسي يعلن إلغاء الإعلان الدستوري المكمل (بطل يامرسي)
Sun Aug 12 07:43:36 PDT 2012 --  والتختيييم عنده ... اوووف تعبت (@ آني و داني) http://4sq.com/PaQSmU 
Sun Aug 12 07:37:19 PDT 2012 --  واحلى فقده هههههه (@ فوال بابصيل) http://4sq.com/RKAKLr 
Sun Aug 12 07:36:13 PDT 2012 --   (@ 50 Fruits ٥٠ فاكهه) http://4sq.com/MRDgZY 
Sat Aug 11 14:00:42 PDT 2012 --  اي احد يعرف عائله عليهم إيجارات متأخره عندهم حكم طرد.حولهم للمحتسب ٠٥٣٨٤٤٢٨٤٥ احمد عبدالله النهدي أرجوكم انشروه اذا انت غير محتاج غيرك محتاج
Sat Aug 11 18:08:14 PDT 2012 --  ودّي اخذ اجازه ... والله تعباااان ٣ سنوات ما اخذت اجازه .
Sat Aug 11 14:44:18 PDT 2012 --  With abid hahahaha (@ Rimal Restaurant & Shisha) http://4sq.com/PMUec9 
Sat Aug 11 06:21:00 PDT 2012 --  زلزالين قوتهم 6.2 و6.3 درجة يضربان مدينة تبريز الإيرانية ولا أنباء عن أضرار أو خسائر حتى الآن ... ويتوقع أن تكون كبيرة #kuwait #عرب #الكويت
Sat Aug 11 00:43:05 PDT 2012 --  I'm at ABB King Fahad Road Office http://4sq.com/N2hQuv 
Fri Aug 10 12:16:19 PDT 2012 --   (@ فرايديز Friday's) http://4sq.com/N00I8J 
Fri Aug 10 09:27:41 PDT 2012 --  واحلى شاي اخضر  (@ Caribou Coffee) http://4sq.com/MZnzRI 
Fri Aug 10 06:46:51 PDT 2012 --  “ @abuturke11: اضغط على الصورة دبل وتكبر المسجد الحرام بتقنية الجيجا بان http://www.gigapan.com/mobile/iOS/1.0/?id=109851 … صورةٌ مذهلةٌ”
Thu Aug 09 11:18:56 PDT 2012 --  Green tea with jasmine flowers  (@ Café du jardin) http://4sq.com/QiA5LG 
Thu Aug 09 11:18:56 PDT 2012 --  I just unlocked the "Newbie" badge on @foursquare for checking in for the first time! http://4sq.com/QiA7TU 
Thu Aug 09 09:22:01 PDT 2012 --  وزنها ١٨٠٣٢١٦٧ و كاتبه " دلوعه و محد قدي " ولك إنتي صحن مندي سحاره افندي مطعم هندي .. بس هم نرجع و نقول ليش ما قريت الرقم !! XD
Wed Aug 08 18:04:48 PDT 2012 --  ههههههههههههههههههههههه اجل " أهـــا أنزح وراك " يمين بالله اني فقعت من الضحك يوم سمعتها
Mon Aug 06 07:52:54 PDT 2012 --  I like it http://www.youtube.com/watch?v=YzJHzmkgEvI&feature=youtube_gdata_player …
Sat Aug 04 22:33:22 PDT 2012 --  #MyHealthyFriend is @ ______ . Who do you look to for healthy motivation?
Sun Aug 05 07:39:07 PDT 2012 --  والله يا انا طااافي
Sun Aug 05 07:30:43 PDT 2012 --  يااالطييف لو العصر يشد حيله ... كمّل ٢٤ ساعه صاير فتره العصريه يوم مو فتره
Sun Aug 05 05:10:43 PDT 2012 --  معلومه: إذا شربت كوب من الماء ولم يتبقئ منه شي .. فاعلم انك شربت الماء كله محشش مثقف
Sun Aug 05 04:43:42 PDT 2012 --  يا جماعه الواحد ما يلحق اليوم كم رمضان؟؟؟ اخاف جانا العيد!! الله يحسن الخاتمه بس
Thu Aug 02 21:06:19 PDT 2012 --  يارب اللي يرسل هالصوره يجيه الرزق طول العمر من حيث لا يحتسب ويوفقه ويستر عليه و يعطي ما يتمنى ... pic.twitter.com/eMwtSvxp
Sat Jul 28 16:49:44 PDT 2012 --  عزيزتي البنت الكويتية دامج تحطين مكياج الصبح والظهر والعصر والمغرب والعشا ! صج صج ما تشتاقين حق ويهج؟ =))!
Sat Jul 28 13:27:43 PDT 2012 --  لا يؤسفني أنك كذبت علي .. لكن الذي يؤسفني أنني لن أصدقك مرة أخرى .. نيتشه @rt_emirati @retwetta @kuw_lover @rt24rt @rt_m18 @rtgoodrt #حكمة
Wed Jul 25 18:30:24 PDT 2012 --  هناك فرق كبيييير بين #الفهاوه و #الثواره !!
Thu Jul 26 16:46:41 PDT 2012 --  #الفهاوه طبع لا يجيده سوا الاشخاص المركزين كحال أمي وهي تخوض معركه مع المطبخ #قلمي #بوح
Sat Jul 28 13:25:01 PDT 2012 --  #الفهاوه لها دور ف الحياه وانا الان كمّلت ٢٤ ساعه مفهّي ولله الحمد
Fri Jul 27 13:52:39 PDT 2012 --  “Golf Pro Phil Mickelson Aiming to Boost U.S. #STEM Achievement” via @educationweek http://bit.ly/OecgZL  @SendMyTeacher
Fri Jul 27 13:41:01 PDT 2012 --  There's more to #oil fields than meets the eye: A Tribute to the Kern River Oil Field: http://spr.ly/6012TOhg  (via @Alexepstein)
Thu Jul 26 22:33:15 PDT 2012 --  @tritonal hope u guys are ready for @sutraoc. This place is rocking already
Mon Jul 23 07:39:43 PDT 2012 --  مهما تعبت وأرهقتك أمور الحياة فقط قل [ الحمدللـه على كل حال ] . . وتذكر دائماً : أن هناك من هو أقل منك حظ وحيلة !!
Mon Jul 23 06:36:20 PDT 2012 --  محشش وقفوه الشرطة قال له الشرطي هات الرخصة ، قال أي حشيش طال عمرك ؟؟  فضح نفسه
Sat Jul 21 04:30:13 PDT 2012 --  هذا أول ضحية من ضحايا السفرة الرمضانية . http://p.twimg.com/AyQq-01CUAEzNHS.jpg …
Fri Jul 20 07:22:01 PDT 2012 --  سمبوسه نويتلا http://store3.up-00.com/July12/3Rd42958.jpg … سووها البنات. @Retweetek @RT3RB @Retweetlek @rtw_q8 @RT24RT @Et9al
Thu Jul 19 07:26:30 PDT 2012 --  أزمة الكهرباء تلقي بظلالها على قرى في بيشة http://sabq.org/2Okfde 
Thu Jul 19 06:53:57 PDT 2012 --  عزيزي الخليجي: إن ابتسامة موظفة الاستقبال أو مضيفة الطيران هو جزء من عملها .. ولا يعني بأي حال من الأحوال إنها انهبلت عليك ياتوم كروز!!
Thu Jul 19 02:58:33 PDT 2012 --  متي تسمع أغنية حلوة ؟؟ لما بتنزل من السيارة =))
Thu Jul 19 02:57:26 PDT 2012 --  أيام أول ابتدائي لما كان يشوف أحد قدة يسأل: أي درس وصلتوا فالقراءة؟ =))
Thu Jul 19 02:56:07 PDT 2012 --  هل تعلم اذا سمعت هاتفك يرن فهناك احد متصل عليك؟ اللهم زدني علما ‎:$‏=))
Thu Jul 19 02:45:45 PDT 2012 --  بقريح .. كلمة لها معنى عميق .. اقولها عند سماعي لموت اي طاغية
Thu Jul 19 02:40:28 PDT 2012 --  @RT24RT أصعب أنواع الانتظار هو انتظار غير المنتظر < مافهمتها بس حسيتها قويه قلت أحطها علشان تحسون إني حكيم "
Thu Jul 19 02:39:08 PDT 2012 --  نيويورك تايمز: إسرائيل تستعد لضرب المنشآت الكيماوية في سوريا
Thu Jul 19 02:36:27 PDT 2012 --  قبل رمضان رتووووووويت pic.twitter.com/IQ5xMR4Q
Thu Jul 19 02:32:40 PDT 2012 --  محشش يشرب بيبسي على الصبح قاله خويه : أحد يشرب بيبسي على الصبح رد المحشش : الله وأكبر ، يعني بطني يدري الساعه كم الحين 
Thu Jul 19 02:22:07 PDT 2012 --  @RT24RT سؤال : متى يصبح رمضان في فصل الشتاء؟ pic.twitter.com/GSRSF6oQ
Thu Jul 19 02:23:52 PDT 2012 --  علامات آلمصري اذا گذب ؛- - بص حضرتك - آنت معايــا؟ - واخد بالك؟! - بؤلك ايه؟! هههههه
Thu Jul 19 02:10:34 PDT 2012 --  اسم مستر بن الحقيقي هو روان! ‎ #ألحمدالله‏ مو ساره ولا حصه ‎:)
Thu Jul 19 02:04:29 PDT 2012 --  سألني صديقي ذات يوم هل جربت الحب؟ فقلت له لا جربت الفستق بس الزبده من يومها وحنا سلام من بعيد بس =))
Wed Jul 18 12:54:10 PDT 2012 --  @EngSalehqa @rabee_et @alzamil_bader @rabee_et @banderbinnaseer يالله يالحبيب لم الغسيل pic.twitter.com/2nT1UzRe
Mon Jul 16 20:42:18 PDT 2012 --  & Whenever I get asked about my plans, everyone says "wow, impressive, I know it's hard to get accepted these days". DAMMIT I KNOW ALREADY.
Sun Jul 15 05:00:52 PDT 2012 --  ماتدري هل هي اسطوانه اكسجين او اسطوانه غآز في محل #تميس pic.twitter.com/LCMzzbLt
Sat Jul 07 02:27:08 PDT 2012 --  المعنى الحقيقي لكلمة ... ( برب حبيبي مشغوله شوي ) هههههههههههههههههههههاااايي . pic.twitter.com/c8fUa5PI
Tue Jul 03 05:40:46 PDT 2012 --  Britain probes Bahrain bomb plot @a0sindi http://www.bbc.co.uk/news/world-middle-east-18680185 …
Tue Jul 03 05:38:52 PDT 2012 --  UN ends Saudi dissident sanctions http://www.bbc.co.uk/news/world-middle-east-18688045 …
Fri Jun 29 15:10:27 PDT 2012 --  ياحظ حكومتنا فينا والله
Wed Jun 27 05:06:07 PDT 2012 --  قمة الانفصام . . لما أحد ينام عليك بالشارع و انت توك مبلش نشيدة السب يرفع إيده و يسلم عليك و تبتسم له و تقول له لا حبيبي ما صار شي
Sun Jun 24 12:09:04 PDT 2012 --  إذا أردت أن تتعلم دون أن تخطئ فذلك يعني أنك لا تريد أن تتعلم !
Sun Jun 24 08:53:18 PDT 2012 --  ABB's offering for Burj Khalifa, the world's tallest building http://www.youtube.com/watch?v=1MVQEEk60xM&sns=tw … via @youtube
Tue Jun 19 00:01:19 PDT 2012 --  اليوم هوَ الغد الذي كنت قلقا منه بالأمس , ف هل تراه يستحق كل ذلك القلق ؟ - ديل كارنيجي
Mon Jun 18 23:55:49 PDT 2012 --  ومن مساوء الصدف تفجئت بواحد من الدكاتره الي درسوني ف الجامعه وكل عاده ولا كأني اعرفه
Mon Jun 18 23:53:31 PDT 2012 --  اكتشفت هذا الصباح اهم موظف ف البنك هو السيكيورتي(يعبئ كل الطلبات ويطبع كل المستندات ويحرس البنك ويوزع الارقام)وباقي الموظفين ليش يداومون ؟
Mon Jun 18 23:20:57 PDT 2012 --  محششين مسوين أمسية ثقافية بعنوان نجيب محفوظ والا مانجيبه؟
