Thu Aug 27 01:18:43 PDT 2015 --  8 people followed me and 11 people unfollowed me // automatically checked by http://fllwrs.com 
Sun Aug 16 08:15:49 PDT 2015 --  नमस्‍कार। आकाशवाणी से प्रस्‍तुत है समाचार संध्‍या। मुख्य समाचार : http://on.fb.me/1JbouxL 
Sun Aug 16 08:26:18 PDT 2015 --  All India Radio presents #NEWS At Nine The Headlines : http://on.fb.me/1IVMHVe 
Sun Aug 16 09:50:30 PDT 2015 --  Never give up. Never, never give up!. We shall go on to the end. – Winston Churchill
Sat Aug 15 17:30:09 PDT 2015 --  Love is.... pic.twitter.com/aGSwZMfmk7
Sat Aug 15 20:40:05 PDT 2015 --  Be sure.... pic.twitter.com/q45vv7v1Or
Sat Aug 15 23:30:32 PDT 2015 --  If you.... pic.twitter.com/uu3hYTAWMj
Sun Aug 16 07:40:07 PDT 2015 --  If a.... pic.twitter.com/VbZsrU7lAf
Sun Aug 16 09:30:14 PDT 2015 --  It takes..... pic.twitter.com/QqCLal7veE
Sat Aug 15 20:48:37 PDT 2015 --  ‘શોલે’ ફિલ્મના 40 વર્ષ બાદ આજે પણ લોકો મને ‘બસંતી’ કહીને બોલાવે છેઃ હેમા માલિની #Sholay #HemaMalini pic.twitter.com/cwXd7t9212
Sun Aug 16 05:10:31 PDT 2015 --  #ModiInUAE અબુ ધાબીના પ્રિન્સે એરપોર્ટ પર જઈ PMનું સ્વાગત કર્યું, મોદીએ તેમનો આભાર માન્યો http://goo.gl/217qxW  pic.twitter.com/lTAWETLJGM
Sun Aug 16 06:52:17 PDT 2015 --  #ModiInUAE ૩૪ વર્ષ પછી ભારતના વડા પ્રધાન યુએઈમાં. પાટવી કુંવર મોદીને તેડવા ગયા (ફોટોગેલરી)... http://goo.gl/e2OmfO  pic.twitter.com/MFHnFV3WlC
Sun Aug 16 04:30:45 PDT 2015 --  I deeply appreciate kind gesture of His Highness Sheikh Mohammed bin Zayed Al Nahyan, who received me at the airport pic.twitter.com/TjGBVHM3ld
Sun Aug 16 04:24:42 PDT 2015 --  Hello UAE. I am very optimistic about this visit. I am confident the outcomes of the visit will boost India-UAE ties pic.twitter.com/50b4atyIZP
Sun Aug 16 00:44:09 PDT 2015 --  Leaving for UAE. You can find all latest updates about my visit here. http://www.narendramodi.in/uae_home  pic.twitter.com/IUwjzjN84r
Sun Aug 16 00:43:34 PDT 2015 --  MP civic poll results are gladdening. I thank people of MP for reposing their trust in BJP. I salute efforts of Karyakartas & party leaders.
Sat Aug 15 23:27:13 PDT 2015 --  15th Aug; Empire State Towr USA went Tricolour. This is NaMo effect. Nation is Proud of u Hon'ble PM @narendramodi ji pic.twitter.com/spLrWEVZxr
Sat Aug 15 23:43:51 PDT 2015 --  बिहार में आज भी प्याज 30₹ किलो बिक रहा है अगर @ArvindKejriwal चाहे तो यहाँ से ले जाये। लेकिन मुफ़्त नहीं मिलेगी pic.twitter.com/V2Uc2rtdhe
Sun Aug 16 05:30:18 PDT 2015 --  Better to... pic.twitter.com/XU77xGRQad
Sun Aug 16 07:14:02 PDT 2015 --  आप सभी परिवर्तन रैली के अगले पड़ाव पर १८ अगस्त २०१५ को १ बजे, पटेल मैदान, सहरसा (बिहार) में आमंत्रित हैं| pic.twitter.com/aDpzHw8qOS
Sun Aug 16 06:42:12 PDT 2015 --  Congratulations to @NSaina on winning Silver at World Badminton Championship.Wish you all the best for Gold next time.India is proud of you!
Sun Aug 16 06:19:06 PDT 2015 --  Special health camps will be organised in Van Vasahati areas for health checkup and vaccination of van-mandli women workers & children.
Sun Aug 16 06:18:32 PDT 2015 --  Gujarat is the 1st state to take this historic initiative which carries forward Prime Minister @narendramodi vision of #SabkaSaathSabkaVikas
Sun Aug 16 06:17:30 PDT 2015 --  Van Bandhus will be able to pass land to the legal heir & also avail loan apart from getting assistance under various welfare schemes of GoG
Sun Aug 16 06:16:30 PDT 2015 --  Following their entry in 7/12, Van Bandhus will get all rights & benefits similar to that of farmers; initiated the process from Khedbrahma.
Sun Aug 16 06:16:00 PDT 2015 --  Names of Van Bandhus who have been given land rights under Forest Rights Act will now be entered in 7/12 (Land Record of Rights).
Sun Aug 16 06:15:12 PDT 2015 --  Hospital having capacity of 150 beds will also have dialysis center; giving major relief to ailing patients from traveling to nearby cities.
Sun Aug 16 06:14:40 PDT 2015 --  With aim to provide best healthcare facilities, dedicated sub-district hospital equipped with modern amenities at Khedbrahma in Sabarkantha.
Sun Aug 16 02:42:04 PDT 2015 --  We discussed about strengthening ties between Guj & Israel by collaborating in areas of water conservation, education & post harvest mgmnt.
Sat Aug 15 23:52:18 PDT 2015 --  वर्ल्ड चैम्पियनशिप के फाइनल में पहुंची साइना, 55 मिनट में जीता मैच http://www.bhaskar.com/news-ht/SPO-OTH-BAD-badminton-world-championship-semis-saina-makes-history-by-beating-fanetri-21-17--5084927.html … @NSaina #CheerForSaina pic.twitter.com/NgBKdxPiZC
Thu Aug 13 23:45:21 PDT 2015 --  Saputara: Centerpiece of this hill resort is its lake, having boating facilities and lakeside recreational activities pic.twitter.com/Bj5dljKYyo
Sun Aug 16 00:00:13 PDT 2015 --  Here is my interview with @KhaleejTimes. http://khaleejtimes.com/narendra-modi-visits-uae/india-and-uae-are-top-priority-for-each-other-modi …
Sat Aug 15 21:55:30 PDT 2015 --  (10/10) EXCLUSIVE: #IndianPM Narendra #Modi talks to Khaleej Times ahead of #UAE visit - http://bit.ly/1IRA0Ne  pic.twitter.com/txs74CZJSf
Sat Aug 15 21:31:31 PDT 2015 --  (4/10) EXCLUSIVE: #IndianPM Narendra #Modi talks to Khaleej Times ahead of #UAE visit - http://bit.ly/1IRA0Ne  pic.twitter.com/HOEjCdQt5M
Sat Aug 15 21:19:37 PDT 2015 --  (1/10) EXCLUSIVE: #IndianPM Narendra #Modi talks to Khaleej Times ahead of #UAE visit - http://bit.ly/1IRA0Ne  pic.twitter.com/GEs6CCJ5Kl
Sat Aug 15 22:34:33 PDT 2015 --  Sharing selected snippets from my speech at the Red Fort yesterday. http://jan-sampark.nic.in/jansampark/images/campaign/2015/16-Aug/index.html …
Sat Aug 15 19:50:49 PDT 2015 --  Spoke to Delhi CM Shri @ArvindKejriwal & wished him on his birthday. My prayers for his long life and good health.
Sat Aug 15 23:04:42 PDT 2015 --  Highlights of Prime Minister narendramodi 's interview to khaleejtimes ahead of #ModiInUAE visit pic.twitter.com/RzLxLC2rIY
Sat Aug 15 09:10:35 PDT 2015 --  AUDIO : #NewsAnalysis -A discussion on “Prime Minister’s address to the nation on Independence Day”. https://soundcloud.com/allindiaradionews/news-analysis-a-discussion-on-prime-ministers-address-to-the-nation-on-independence-day …
Sat Aug 15 08:47:57 PDT 2015 --  श्रव्य : नमस्‍कार। आकाशवाणी से प्रस्‍तुत है समाचार संध्‍या। मुख्य समाचार। #IDaywithAIR https://soundcloud.com/allindiaradionews/3jezsf72assd …
Sat Aug 15 08:45:27 PDT 2015 --  सुनिए : सामयिकी : “स्वतंत्रता दिवस पर प्रधानमंत्री का संदेश ” पर एक बातचीत। #IDaywithAIR https://soundcloud.com/allindiaradionews/carn7taocrdu …
Sat Aug 15 09:09:49 PDT 2015 --  Listen to All India Radio's #NEWS At Nine bulletin headlines @SoundCloud ​ https://soundcloud.com/allindiaradionews/news-at-nine-the-headlines-66 …
Fri Aug 14 06:18:35 PDT 2015 --  #Yahoo યાહૂએ ભારતમાં લાઈવટેક્સ્ટ એપ્લિકેશન લોન્ચ કરી http://goo.gl/LJJ2fo  pic.twitter.com/W4n34NIlFz
Fri Aug 14 18:47:42 PDT 2015 --  સર્ચ એન્જીન ગૂગલ ઉપર પણ છવાયો છે ભારતના સ્વાતંત્ર્ય દિવસની ઊજવણીનો રંગ. ડૂડલ પર દેખાડી છે દાંડી કૂચ. #Google pic.twitter.com/qOBnjJ05wk
Fri Aug 14 19:13:17 PDT 2015 --  આપણી આઝાદી માટે પોતાના જીવનનું બલિદાન આપનાર દેશના બહાદુરોને હું કોટિ કોટિ વંદન કરું છું: વડા પ્રધાન મોદી #HappyIndependenceDay
Fri Aug 14 20:02:17 PDT 2015 --  રાષ્ટ્ર આત્મવિશ્વાસ અને સંકલ્પથી ચાલે છેઃ મોદી #HappyIndependenceDay #narendramodi
Fri Aug 14 20:02:36 PDT 2015 --  ભ્રષ્ટાચાર દેશમાં ઉધઈની જેમ લાગુ પડ્યો છે. દેશને ભ્રષ્ટાચાર-મુક્ત કરી શકાય એમ છેઃ મોદી #HappyIndependenceDay pic.twitter.com/pn7ucwJxS8
Fri Aug 14 23:47:32 PDT 2015 --  આનંદીબહેન પટેલે 69મા સ્વાતંત્રતા દિન નિમિત્તે રાષ્ટ્રધ્વજને વંદન કર્યું #IndependenceDay pic.twitter.com/4XmYefZc5A
Fri Aug 14 18:48:56 PDT 2015 --  20 people followed me and 7 people unfollowed me // automatically checked by http://fllwrs.com 
Fri Aug 14 07:42:00 PDT 2015 --  The deliberate & forcible disruption of Parliament by Congress was a cynical ploy to sabotage India's economic growth http://bit.ly/1UELDfU 
Fri Aug 14 06:44:55 PDT 2015 --  State level workshops of Pt. Deendayal Upadhyay Prashikshan Mahabhiyan. #MahaTraining pic.twitter.com/vbYh8K3mxi
Fri Aug 14 04:18:11 PDT 2015 --  The Congress party is reluctant to reconcile itself in opposition: Shri @rsprasad - https://www.youtube.com/watch?v=YikIZR2fDf8 …
Thu Aug 13 22:28:19 PDT 2015 --  क्यों नहीं चली संसद? https://www.youtube.com/watch?v=Luse6DO-j2g …
Fri Aug 14 07:31:43 PDT 2015 --  An insightful address by Rashtrapati ji on the eve of Independence Day. @RashtrapatiBhvn http://nm4.in/1Ms0by9 
Fri Aug 14 06:19:40 PDT 2015 --  Met Iran's Foreign Minister Dr. Javad Zarif. We had extensive & fruitful discussions on India-Iran relations. http://nm4.in/1J7P2jt  @JZarif
Fri Aug 14 09:29:54 PDT 2015 --  लोकतंत्र मे " दम " नहीं जनता के लिऐ दर्द कितना है यह मायने रखता है @nanditathhakur @manojsirsa @upma23 @ModiBharosa pic.twitter.com/LtzGiP501J
Fri Aug 14 09:33:45 PDT 2015 --  https://twitter.com/paragdr/status/632226680480792577 … @parthesh_99 @parthusoni @neelshah31790 @PathanAsmakhan @manishpatelbjp @DhrumilBJP @chotivalebaba @samirvarier
Fri Aug 14 09:51:21 PDT 2015 --  " Difference between a Leader and Politician " pic.twitter.com/yKI2inhwLL
Fri Aug 14 10:09:07 PDT 2015 --  Good News :) Petrol & Diesel prices slashed !! pic.twitter.com/KCJuxeDd2K
Fri Aug 14 09:41:04 PDT 2015 --  मिलिए टेलीग्राफ के फोटो पत्रकार प्रेम सिंह से जिन्होंने राहुल बाबा की लिखित स्पीच को कैप्चर किया था. @narendramodi_FC pic.twitter.com/yREWgkVz4T
Fri Aug 14 06:04:51 PDT 2015 --  On this pious occasion of Independence Day, I once again extend my greetings to all, resolve to do something for the society-says Hon CM
Fri Aug 14 06:03:47 PDT 2015 --  193 Van Vasahati (Forest habitat) villages hv been declared Revenue Villages so that Vanbandhus gets benefits of various government schemes
Fri Aug 14 06:02:59 PDT 2015 --  Under Mukya Mantri Gruh Awas Yojana, Gujarat Government has constructed over 2, 20,000 residential units as part of the Sadar Awas Yojana
Fri Aug 14 06:02:14 PDT 2015 --  Till now d Govt has screened over 43 lakh children, out of which 828children have been treated with plastic surgeries
Fri Aug 14 06:01:10 PDT 2015 --  Free daibetes tests, mammography, tests for breast and cervical cancer are conducted across 10,000 Health Centres in the State.
Fri Aug 14 06:00:40 PDT 2015 --  There are 69 universities and research centres and a network of over 700 that facilitate valuable education n skills
Fri Aug 14 05:59:55 PDT 2015 --  We respect women prowess and r dedicated to provide equal status to them through continuous and innovative effort towards women Empowerment
Fri Aug 14 05:59:14 PDT 2015 --  Gujarat has taken the right steps in the direction of the path carved by them. We are moving ahead towards ‘Surajya’, Good Governance
Thu Aug 13 19:24:25 PDT 2015 --  @rajans0208 @rjaggrawal @ramsa_b @pandey_braj @Mannubill @bjpkamal @subhash30501217 @MahaveerM_ @samarjeet_n pic.twitter.com/B1kFt5BVVR
Tue Aug 11 09:20:42 PDT 2015 --  रोम राज्य(इटली) से चला 'काठ का घोड़ा' भारत आते-आते 'काठ का उल्लू' बन गया । इसमें राहुल की क्या गलती ?...उसे स्नेह दें..सांत्वना दें!
Thu Aug 13 20:52:19 PDT 2015 --  @vineetksingh21 @ani30oct @DainikBhaskar pic.twitter.com/Gllr01UJEk
Thu Aug 13 06:47:24 PDT 2015 --  pic.twitter.com/MYqrDq9Dpx
Wed Aug 12 06:46:05 PDT 2015 --  मजबूरी में गधे को भी बाप बोलना पड़ जाता है, कांग्रेसियों ने आउल को नेता बना के इस बात को सिद्ध कर दिया ....
Thu Aug 13 20:55:09 PDT 2015 --  Fake friends believe in rumors. Real friends believe in you.
Thu Aug 13 20:54:58 PDT 2015 --  Here's the weather forecast for today in #ITWeather https://amp.twimg.com/v/eb9db881-b41f-4654-8e38-bc0145357c6f …
Thu Aug 13 20:53:05 PDT 2015 --  You will never change your life until you change something you do daily.
Thu Aug 13 19:33:48 PDT 2015 --  ।। सुप्रभातम् ।। pic.twitter.com/PmsR4bsdND
Thu Aug 13 20:50:49 PDT 2015 --  Preparation of Celebration >>> 69th Independence Day pic.twitter.com/nHfnOu3AkJ
Tue Aug 04 09:53:08 PDT 2015 --  21 Ways to Get Inspired ( #Infographic) http://mf.tt/9VeAT  via @graphlib pic.twitter.com/875APXb9IT
Wed Aug 05 09:57:09 PDT 2015 --  How to Force Start Your Entrepreneurial Journey @neilpatel http://mf.tt/naasz  via @Inc pic.twitter.com/j9YpYJdatW
Thu Aug 06 09:53:08 PDT 2015 --  What Happens in a #Twitter Minute? #(Infographic) http://mf.tt/vF4AB  via @graphlib pic.twitter.com/L81YjoKQ33
Fri Aug 07 09:56:08 PDT 2015 --  5 Simple Ways You Can Add Hours To Your Day by @michaeldsimmons http://mf.tt/CILkB  via @Entrepreneur pic.twitter.com/nnS1m0jhqZ
Mon Aug 10 09:55:09 PDT 2015 --  The 7-minute rule for business presentations @jmbrandonbb #theseven http://mf.tt/EV6hG  via @Inc pic.twitter.com/yAdbFlCvhf
Tue Aug 11 09:53:07 PDT 2015 --  3 skills every tech entrepreneur should have @ajalumnify http://mf.tt/1HLH7  via @Inc pic.twitter.com/38OJtZ8mzo
Sat Jul 25 03:05:13 PDT 2015 --  Things are changing in the old continent #virtualreality #VC #entrepreneurship #founding http://ow.ly/Q1Fjn  pic.twitter.com/I7u8VUebfI
Wed Aug 12 09:53:09 PDT 2015 --  10 Things the Smartest People Never Do @jeff_haden http://mf.tt/DLBZk  via @Inc pic.twitter.com/shcNdVYuFg
Wed Aug 12 09:55:09 PDT 2015 --  Create Killer Infographics in 9 Steps ( #infographic) by @KristinPiombino http://mf.tt/HQorv  via @Entrepreneur pic.twitter.com/0CcbPvwZhs
Thu Aug 13 09:55:09 PDT 2015 --  3 ways to increase team morale @ajalumnify http://mf.tt/bfBwq  via @Inc pic.twitter.com/EBt7XmLgxt
Thu Apr 02 23:47:35 PDT 2015 --  pic.twitter.com/WloTwBhS7U
Mon Aug 10 04:36:05 PDT 2015 --  जैसे-जैसे चुनाव नजदीक आ रहा है, जदयू और राजद का जनाधार तेजी से खिसक रहा है - http://bit.ly/1P0Dfnk 
Tue Aug 11 00:14:23 PDT 2015 --  राजनीति में हाशिये पर खड़ी कांग्रेस अब तक पिछले लोकसभा चुनावों में मिली करारी हार को पचा नहीं पाई है http://bit.ly/1DEYgnc  @PrakashJavdekar
Tue Aug 11 03:47:33 PDT 2015 --  श्री नरेन्द्र मोदी ने सरकार चलाने के संस्कार में परिवर्तन लाने का कार्य किया है: श्री अमित शाह http://bit.ly/1J0XtwP  pic.twitter.com/eNC34RJMUR
Wed Aug 12 05:40:54 PDT 2015 --  Intervention: Discussion on Adjournment Motion: Smt. @SushmaSwaraj in Lok Sabha - https://www.youtube.com/watch?v=86BiOGHUF0Q …
Wed Aug 12 09:49:31 PDT 2015 --  Discussion on Adjournment Motion: Shri @arunjaitley in Lok Sabha https://www.youtube.com/watch?v=FBL1NRtax-c …
Thu May 28 21:47:14 PDT 2015 --  बेटी को बचाये, बेटी को पढ़ाये, स्वच्छ भारत करके दिखाए #SaalEkShuruaatAnek #MyCleanIndia https://amp.twimg.com/v/101884ab-e231-4fed-9a84-15ad9c1a1ccc …
Mon Jun 29 10:03:57 PDT 2015 --  Selfie with my loveable daughter #betibachaobetipadhao @narendramodi @amitshah4bjp @anandibenpatel @zeal1992 pic.twitter.com/sn0u8r8E74
Sun Jul 05 23:57:19 PDT 2015 --  मुस्कुरा के देखो तो सारा जहाँ रंगीन है। वर्ना भीगी पलकों से तो आईना भी धुंधला दिखता है।। pic.twitter.com/C46KFB59LB
Sun Jul 19 06:03:25 PDT 2015 --  pic.twitter.com/s6AelqAPsY
Fri Jul 31 01:31:06 PDT 2015 --  @amitshah4bjp @BJP4Vasna @sunnyshah93 @neelshah31790 @IKJadejaBJP गुरुपूर्णिमा की कोटि कोटि शुभकामनाये. pic.twitter.com/wAQxNaJXNe
Wed Aug 12 23:20:10 PDT 2015 --  It is matter of grt joy that Guinness Book of World Records has recognized achievements of PAHAL scheme. Congrats to PM @narendramodi & GoI!
Thu Aug 13 01:37:18 PDT 2015 --  A committee comprising of ministers & representatives of industrial houses will be formed to take forward #SkillIndia mission in Gujarat.
Thu Aug 13 01:35:56 PDT 2015 --  Held meeting with representatives of Industrial houses to enhance implementation of Skill Development Program in Guj pic.twitter.com/vq0rhJs35j
Thu Aug 13 01:36:40 PDT 2015 --  Appealed industrial houses to support state govt in harnessing skills of our youth & generating work force that can compete in global market
Sun Aug 09 09:00:41 PDT 2015 --  આદરણીય @anandibenpatel ના નેતૃત્વમાં ગતિશીલ ગુજરાત સરકાર નો વનવાસી બાંધવો માટે દેશભરમાં સૌ પ્રથમવાર અભૂતપૂર્વ નિર્ણય.. pic.twitter.com/C1xpHZe4q1
Tue Aug 11 23:22:19 PDT 2015 --  करोड़पति बनने के लिए 25 की उम्र है सबसे मुफीद, ऐसे करें निवेश की शुरुआत http://money.bhaskar.com/news/MON-PERS-FINP-want-to-become-crorepati-after-retirement-then-start-investing-early-5081031-NOR.html … pic.twitter.com/t8eC0j47M9
Wed Aug 12 00:32:19 PDT 2015 --  Alphabet नाम रखने से पहले नहीं किया GOOGLE? डोमेन से लेकर टि्वटर हैंडल तक बुक http://www.bhaskar.com/news-ht/GAD-LAT-google-might-face-copyright-issues-with-new-name-alphabet-5081751-NOR.html … pic.twitter.com/9U0p6JCSxt
Mon Aug 10 12:07:07 PDT 2015 --  Attending a press conference with Hon.Union minister of environment,forests and climate change Shri @PrakashJavdekar pic.twitter.com/xbzMoJH8wi
Wed Aug 05 06:29:33 PDT 2015 --  If you have the power to make someone happy, do it. The world needs more of that.
Mon Aug 10 07:21:43 PDT 2015 --  #AAPkaJungleRaj https://twitter.com/iamdsp1/status/630743884042100737 …
Mon Aug 10 05:43:41 PDT 2015 --  East delhi MP @MaheishGirri ji Wrote2 LG & NDMC Chairman regarding renaming of Aurangzeb Road as #APJAbdulKalam Road. pic.twitter.com/PMki0sTmnp
Mon Aug 10 01:13:53 PDT 2015 --  बिहार की जनता संकल्प ले कि जंगलराज बिहार छोड़कर जाएगा और यहां बीजेपी के नेतृत्व में राजग की सरकार बने: श्री अमित शाह http://bit.ly/1IDCJaQ 
Mon Aug 10 07:00:26 PDT 2015 --  Except Congress Party every political party was interested that the house must start functioning: Shri @arunjaitley https://www.youtube.com/watch?v=QoQcZ_84HeY …
Sat Aug 08 02:45:12 PDT 2015 --  भारत छोड़ो आंदोलन में भाग लेने वाले महान देश भक्तों को शत् शत् नमन | 8 अगस्त, 1942 pic.twitter.com/oobk7kl49J
Wed Aug 05 00:12:01 PDT 2015 --  मा.मुख्यमंत्रीश्री द्वारा महिला समृध्धि योजना के अंतर्गत महिलाओ को चेक वितरण कार्यक्रम | #WomenEmpowerment pic.twitter.com/kypHrxzjCO
Mon Aug 10 03:25:18 PDT 2015 --  India has one of the youngest populations in the world with 60% youth demographic
Mon Aug 10 01:13:28 PDT 2015 --  #WorldLionDay #Gir #PrideOfGujarat pic.twitter.com/FL26dkHXvQ
Mon Aug 10 00:30:24 PDT 2015 --  Harappan-era beads, glazed ware found in #Bharuch district #Gujarat http://goo.gl/7Fp0Kk 
Mon Aug 10 00:17:45 PDT 2015 --  Book on CM @anandibenpatel's 1-Year Tenure as Gujarat Chief Minister released. Details here - http://www.ndtv.com/india-news/book-on-anandiben-patels-1-year-tenure-as-gujarat-chief-minister-released-1205501 …
Fri Aug 07 00:30:37 PDT 2015 --  #StatueOfUnity #WorldsTallestStatue pic.twitter.com/g4idj3bsNE
Sun Aug 09 23:20:36 PDT 2015 --  #Gujarat to host international fitness convention
Sun Aug 09 21:34:52 PDT 2015 --  Lion population in Gir increases fourfold http://dnai.in/cQ5m  pic.twitter.com/VlYIC7PQdh
Mon Aug 10 07:51:34 PDT 2015 --  News of another attack in Kabul is very saddening. Such attacks are unpardonable & deeply distressing. Condolences to families of deceased.
Sun Aug 09 21:11:32 PDT 2015 --  I pray that the injured recover quickly. I spoke to CM Raghubar Das ji on the incident.
Sun Aug 09 21:10:22 PDT 2015 --  Pained at loss of lives due to the stampede in Jharkhand. My thoughts & prayers are with the families of the deceased in this hour of grief
Mon Aug 10 03:56:49 PDT 2015 --  When Guj observes Women Empowerment Fortnight, experience of being with women achievers of Guj & India on 2 consecutive days is exhilarating
Mon Aug 10 03:56:30 PDT 2015 --  Had a wonderful time interacting with women achievers whose inspiring stories reflect determination & abilities of women in our country.
Mon Aug 10 03:55:56 PDT 2015 --  Joined the launch event of @FocusNewsIndia show #AbKeBarasMoheBitiyaHiDijo amid women who have carved name for themselves in various areas.
Sun Aug 09 20:13:44 PDT 2015 --  रंगो से भरपूर ज़िंदगी ..!! खुशियों की पहचान है ये रंग ..!! pic.twitter.com/TGiaszucyE
Mon Jul 20 00:01:46 PDT 2015 --  Want to #Skill a person who deserves to have a better life? Come, #GiftASkill to them > https://goo.gl/GwuRB3  pic.twitter.com/Hl5gASTu08
Sun Aug 09 20:16:28 PDT 2015 --  In silence, nature keeps painting beauty.. pic.twitter.com/qdMg4CLI96
Sun Aug 09 20:50:02 PDT 2015 --  30 Best Quotes About Success http://buff.ly/1MeH0Gs 
Sun Aug 09 20:51:05 PDT 2015 --  @jiyasingh111 @iammamta29 @CUCKOO111111111 @jojoawana @Dil_mai @muskaandhami @rajat_rajat0 @lovi7 Gud mrngHappy day pic.twitter.com/m3kAu9mOX8
Sun Aug 09 20:53:04 PDT 2015 --  Every accomplishment pic.twitter.com/CK1SD9sVTI
Sun Aug 09 11:40:20 PDT 2015 --  #GundiAlka की चोट का सच #YoAlkaSoFarji @iSupportNamo @tajinderbagga @jnsbmi @upma23 @iPraveenDixit @upadhyaysbjp pic.twitter.com/SZQxp39MlE
Sun Aug 09 20:54:30 PDT 2015 --  "चार वेदों का अर्थ न जानो तो कोई बात नहीं,परन्तु समझदारी, जवाबदारी, वफादारी और ईमानदारी इन चार शब्दों का मर्म जानो तो भी जीवन सार्थक हो जाए!
Sun Aug 09 20:52:02 PDT 2015 --  अगर इबादत नहीं कर सकते, तो गुनाह भी मत करो ! #हर_हर_महादेव pic.twitter.com/YhiKxsaFrn
Sun Aug 09 18:03:35 PDT 2015 --  कर्पूरगौरं करुणावतारं संसारसारं भुजगेन्द्रहारम् । सदा बसन्तं हृदयारबिन्दे भबं भवानीसहितं नमामि ॥ ~~सुप्रभात~~ pic.twitter.com/tybRe8vq4E
Sun Aug 09 19:36:43 PDT 2015 --  पावन श्रावन मास के द्वितीय सोमवार पर आपके समस्त परिवार को हारदिक शुभ-कामनायें√ बाबा महादेव सभी के सब मनोरथ पूर्ण करें pic.twitter.com/QqceOLKOxJ
Sun Aug 09 19:02:04 PDT 2015 --  Media seems to be obsessed with Porn.. https://twitter.com/indianexpress/status/630557718986670080 …
Sun Aug 09 18:56:41 PDT 2015 --  मुख पर तेज है, अंग भभूति, गले सर्प की माला माथे चंद्रमा, जटा में गंगा, शिव का रूप निराला ~ऊँ नम: शिवाय~ शुभ सोमवार pic.twitter.com/KuKswS3VtF
Sun Aug 09 19:38:37 PDT 2015 --  प्रचंडं प्रकृष्टं प्रगर्भ परेशं अखंडं अजं भानुकोटिप्रकाशं त्रय शूल निर्मूलनं शूलपाणि भजेsहं भवानीपति भावगम्यं शिवोहम् pic.twitter.com/1Ccswkc5xr
Sun Aug 09 03:27:37 PDT 2015 --  अनेकता में एकता ही हमारी शान हैं इसलिए तो मेरा भारत महान हैं. #deshprem100
Sun Aug 09 09:23:33 PDT 2015 --  आज के युवाओ में देशप्रेम की भावना बहुत कम हो गई है। इसलिए देशप्रेम का ज्ञान देने के लिए स्कूलो में देशप्रेम का एक विषय होना चाहिए ।
Sat Aug 08 20:40:09 PDT 2015 --  #EditorsGuild condemns I&B Ministry's show cause notices to three TV news channels LISTEN: https://soundcloud.com/allindiaradionews/editors-guild-condemns-ib-ministrys-show-cause-notices-to-three-tv-news-channels …
Sat Aug 08 20:40:55 PDT 2015 --  Won't invite J&K speaker to Commonwealth Conference: #Pakistan LISTEN: https://soundcloud.com/allindiaradionews/wont-invite-jk-speaker-to-commonwealth-conference-pakistan … @SoundCloud
Sat Aug 08 20:41:36 PDT 2015 --  #Jammu & #Kashmir: 1 Jawan killed, 2 injured in anti infiltration ops LISTEN:- https://soundcloud.com/allindiaradionews/jammu-kashmir-1-jawan-killed-2-injured-in-anti-infiltration-ops …
Sat Aug 08 20:42:36 PDT 2015 --  नमस्‍कार, आकाशवाणी से प्रस्तुत है, #समाचार प्रभात LISTEN: https://soundcloud.com/allindiaradionews/wlilgvztyl9z … #SoundCloud
