Fri Aug 28 15:37:33 PDT 2015 --  Do I? Or I don't? (Gaara x reader) Modern love story http://quotev.com/story/6730143 
Sun Apr 05 18:37:52 PDT 2015 --  I got Kazuka Mitarashi on "What is your naruto shippuden life? [VERY DETAILED]" http://quotev.com/quiz/3187551 
Sun Apr 05 18:28:35 PDT 2015 --  Omg Ari define boys Writer: dumb human beings that are so fucking blind that they don't know how fragile a girl is. Yeah troublesome
Sun Apr 05 18:24:14 PDT 2015 --  "She sighs" im so lonely rn
Sun Apr 05 10:51:22 PDT 2015 --  Happy Easter everyone! Love this throwback of Kourtney, Khloe and Me with our daddy finishing an Easter egg hunt! pic.twitter.com/PZnVWAFB1M
Sun Apr 05 09:37:04 PDT 2015 --  Seven Deadly Sins [Yandere!Sasuke x Reader] http://quotev.com/story/5997510 
Sun Apr 05 05:51:51 PDT 2015 --  Tonight, We're Alive (Marshall Lee Songfic) http://quotev.com/story/5447464 
Sat Apr 04 20:57:16 PDT 2015 --  Parental Guidance [KnB] http://quotev.com/story/5657442 
Sat Apr 04 20:55:13 PDT 2015 --  I got ~Feisty/Sarcastic~ on "What Do Boys See In You?" http://quotev.com/quiz/6085668 
Sat Apr 04 20:47:33 PDT 2015 --  I got HE LOVES YOU! <3 on "Does your crush like you back? :)" http://quotev.com/quiz/2178754 
Sat Apr 04 20:45:42 PDT 2015 --  I got Who ? on "What Do Boys Think Of You?" http://quotev.com/quiz/856449 
Sat Apr 04 20:42:46 PDT 2015 --  I got 22 on "What age will you find your soulmate(Includes a story on when it happens!)" http://quotev.com/quiz/1504885 
Sat Apr 04 20:40:17 PDT 2015 --  I got Jet Black! :O on "What Hair Color Should You Have? -Rainbow only-" http://quotev.com/quiz/6174247 
Sat Apr 04 20:34:38 PDT 2015 --  I got Yes! on "Is someone crushing on you?" http://quotev.com/quiz/1680899 
Sat Apr 04 20:30:49 PDT 2015 --  I got Definitely Girlfriend Material! on "Are you Girlfriend Material?" http://quotev.com/quiz/6143085 
Sat Apr 04 20:26:20 PDT 2015 --  I got Cocky Guys on "What Type Of Guys are you Usually Attracted To" http://quotev.com/quiz/6039112 
Sat Apr 04 20:25:14 PDT 2015 --  I got Cocky Guys on "What Type Of Guys are you Usually Attracted To" http://quotev.com/quiz/6039112 
Sat Apr 04 20:19:42 PDT 2015 --  I got You Are Type...O on "Which Blood Type are you?" http://quotev.com/quiz/2315238 
Sat Apr 04 18:57:07 PDT 2015 --  1999 http://quotev.com/story/6160175 
Sat Apr 04 18:47:53 PDT 2015 --  Konoha High School! ((Reader x various.)) http://quotev.com/story/6135727 
Sat Apr 04 13:08:06 PDT 2015 --  Light My Fire (Sasuke x Reader) http://quotev.com/story/5816496 
Sat Apr 04 07:04:14 PDT 2015 --  My 17 Years Old Boyfriend http://quotev.com/story/6077974 
Sat Apr 04 01:25:34 PDT 2015 --  What Hurts the Most.... (Reader X Sasuke Uchiha LS) http://quotev.com/story/5425063 
Fri Apr 03 19:18:13 PDT 2015 --  Majoring in Love (a Modern! Gaara x Reader) http://quotev.com/story/6218508 
Fri Apr 03 19:07:01 PDT 2015 --  Family Love Game http://quotev.com/story/5567005 
Fri Apr 03 18:21:58 PDT 2015 --  1-800-FANGIRL (Sasuke x Reader) http://quotev.com/story/6044927 
Fri Apr 03 12:53:37 PDT 2015 --  I NEED 1,000 RETWEETS!!! Help us out cause we're all failing math. pic.twitter.com/r5o6SEG1YM
Fri Apr 03 18:08:15 PDT 2015 --  I got Kourtney Kardashian on "Which Kardashian sister are you?" http://quotev.com/quiz/557656 
Fri Apr 03 18:01:34 PDT 2015 --  Kissing in the Rain [Itachi Uchiha] http://quotev.com/story/6217945 
Fri Feb 06 21:44:30 PST 2015 --  Which joggers are better? Favorite for left Retweet for right Get these at http://HydrohsClothing.Com  pic.twitter.com/gL5LnJSrTS
Fri Apr 03 17:48:08 PDT 2015 --  Beach time
Fri Apr 03 15:30:51 PDT 2015 --  Married to Sasuke Uchiha (readerxsasuke) http://quotev.com/story/5746203 
Fri Apr 03 10:25:05 PDT 2015 --  If It Means Alot To You (Yandere! Sasuke X Reader) http://quotev.com/story/6093844 
Fri Apr 03 10:20:49 PDT 2015 --  ɪɴɴᴏᴄᴇɴᴛ [ʏᴀɴᴅᴇʀᴇ! sᴀsᴜᴋᴇ ᴜᴄʜɪʜᴀ] http://quotev.com/story/5819510 
Fri Apr 03 10:11:24 PDT 2015 --  Why me! (Sasuke x reader) http://quotev.com/story/6205392 
Fri Apr 03 05:33:06 PDT 2015 --  Konoha's Algebra Teacher! (Sasuke!Vampire x Reader!) http://quotev.com/story/5985063 
Fri Apr 03 05:29:51 PDT 2015 --  Tonight, We're Alive (Marshall Lee Songfic) http://quotev.com/story/5447464 
Thu Apr 02 17:49:48 PDT 2015 --  Mental Break - Itachi Uchiha http://quotev.com/story/5953449 
Thu Apr 02 17:34:35 PDT 2015 --  Cherry blossoms along the Meguro River are also excellent :) It was just like tunnel of cherry blossoms! pic.twitter.com/QiTI1KrN66
Thu Apr 02 17:32:09 PDT 2015 --  pic.twitter.com/sKdx3hxgjW
Thu Apr 02 17:02:33 PDT 2015 --  pic.twitter.com/C7cgzhuu8D
Thu Apr 02 16:24:17 PDT 2015 --  I got Kisame on "Who's your Akatsuki Boyfriend?" http://quotev.com/quiz/6150369 
Thu Apr 02 16:18:44 PDT 2015 --  I got You got mysterious girl Yuki on "Your Anime Self (girls only, sorry boys.)" http://quotev.com/quiz/6205193 
Thu Apr 02 14:39:02 PDT 2015 --  In an Instant (Modern Deidara X Reader ) http://quotev.com/story/5955646 
Thu Apr 02 10:24:56 PDT 2015 --  I got Afraid on "Why are you still single?" http://quotev.com/quiz/1474265 
Thu Apr 02 10:17:47 PDT 2015 --  I got Class Clown on "What type of boy will fall in love with you? ;)" http://quotev.com/quiz/6153206 
Wed Apr 01 18:30:11 PDT 2015 --  Accidentally In Love (Modern!Sasuke x Reader) http://quotev.com/story/6175693 
Wed Apr 01 18:18:50 PDT 2015 --  Maid [Modern Sasuke] http://quotev.com/story/5883107 
Wed Apr 01 18:14:38 PDT 2015 --  If It Means Alot To You (Yandere! Sasuke X Reader) http://quotev.com/story/6093844 
Wed Apr 01 18:10:21 PDT 2015 --  Every beat counts http://quotev.com/story/5964547 
Wed Apr 01 18:05:09 PDT 2015 --  Konoha's Algebra Teacher! (Sasuke!Vampire x Reader!) http://quotev.com/story/5985063 
Wed Apr 01 17:58:51 PDT 2015 --  Kissing in the Rain [Itachi Uchiha] http://quotev.com/story/6217945 
Wed Apr 01 16:42:49 PDT 2015 --  The Empress [Emperor Sasuke X Princess Reader x Concubine Sakura] http://quotev.com/story/6049475 
Wed Apr 01 10:07:39 PDT 2015 --  Once Upon A Fairytail [Sasuke x Reader] http://quotev.com/story/5874251 
Wed Apr 01 06:11:50 PDT 2015 --  Konoha High (Deidara Modern Love Story) http://quotev.com/story/4575609 
Wed Apr 01 05:35:59 PDT 2015 --  Time Stand Still (Dark! Itachi X Reader) http://quotev.com/story/5752677 
Tue Mar 31 15:17:38 PDT 2015 --  1-800-FANGIRL (Sasuke x Reader) http://quotev.com/story/6044927 
Tue Mar 31 15:13:42 PDT 2015 --  My 17 Years Old Boyfriend http://quotev.com/story/6077974 
Tue Mar 31 15:11:04 PDT 2015 --  Changing (Ex! Itachi X Reader X Gang Leader! Sasuke) http://quotev.com/story/6103645 
Tue Mar 31 04:35:08 PDT 2015 --  Light My Fire (Sasuke x Reader) http://quotev.com/story/5816496 
Mon Mar 30 16:21:44 PDT 2015 --  Konoha High (Deidara Modern Love Story) http://quotev.com/story/4575609 
Mon Mar 30 16:19:34 PDT 2015 --  Shipwrecked [Sasuke x Reader] http://quotev.com/story/5352605 
Mon Mar 30 16:12:28 PDT 2015 --  I'm In Love With My Best Friend http://quotev.com/story/6162202 
Mon Mar 30 15:52:50 PDT 2015 --  Married to Sasuke Uchiha (readerxsasuke) http://quotev.com/story/5746203 
Mon Mar 30 05:36:14 PDT 2015 --  Konoha's Algebra Teacher! (Sasuke!Vampire x Reader!) http://quotev.com/story/5985063 
Mon Mar 30 05:34:02 PDT 2015 --  Accidentally In Love (Modern!Sasuke x Reader) http://quotev.com/story/6175693 
Sun Mar 29 12:51:59 PDT 2015 --  Accidentally In Love (Modern!Sasuke x Reader) http://quotev.com/story/6175693 
Sun Mar 29 09:23:56 PDT 2015 --  Konoha High School http://quotev.com/story/5959065 
