Fri Aug 28 16:49:06 PDT 2015 --  Ho Ho Ho, bald ist wieder #Weihnachten! Keine 117 Tage mehr.
Wed Aug 19 11:10:01 PDT 2015 --  Auf ins norwegische Kaff Skien. Scheiß auf Mailand, Madrid oder London. Das kann jeder! #NURderBVB #RoadToBasel pic.twitter.com/EncsqlW2ls
Wed Aug 19 09:48:08 PDT 2015 --  Liebe Frauen, wenn er euch betrunken schreibt das er euch liebt, dann freut euch anstatt zu antworten "du bist doch betrunken.".
Mon Jun 01 23:44:38 PDT 2015 --  Sobald ich ein Piratenschiff mit WLAN finde bin ich ja sowas von weg hier.
Wed Aug 19 07:41:40 PDT 2015 --  Gerade auf Kotzbook... #CSU pic.twitter.com/Nw31yzx2LR
Wed Aug 19 07:13:00 PDT 2015 --  Der @BVB muss im Play-off-Hinspiel der @EuropaLeague morgen auf @woodyinho verzichten. Mehr in den Splittern -> http://bit.ly/BL-Splitter_19-08-2015 …
Wed Aug 19 05:30:20 PDT 2015 --  Borussen wer will das auch noch alles von euch sehen???? #Followerpower https://twitter.com/mine1909/status/633977570812424192 …
Tue Aug 18 15:02:03 PDT 2015 --  Die Ablösesumme, die Manchester United für Bastian #Schweinsteiger an die Bayern überweisen musste, betrug lediglich €9m, meldet SPORTBILD.
Tue Aug 18 14:47:23 PDT 2015 --  Die @madameherzl0s hat komische Fantasien.
Tue Aug 18 14:39:43 PDT 2015 --  Erstmal Sommerpause, dann um die Flüchtlinge kümmern. Wahnsinn
Tue Aug 18 07:42:29 PDT 2015 --  . @TanteHuhni Gut geklaut https://twitter.com/FARD45/status/632253866269089792?s=03 …
Tue Aug 18 06:20:52 PDT 2015 --  Erotischer wird's heute nicht mehr pic.twitter.com/8EVTTSPR3Z
Mon Aug 17 10:59:27 PDT 2015 --  Mein Supermarkt führt jetzt das Fleischimitat des Veggie-Imitats eines Fleischproduktes… Kannste dir nicht ausdenken. pic.twitter.com/NhMPKMJVt3
Tue Aug 18 06:08:02 PDT 2015 --  Incredible tribute To Nelson Mandela pic.twitter.com/C0i71e4p1I
Mon Aug 17 14:34:39 PDT 2015 --  Macht mal jemand das Transferfenster zu. Es zieht.
Mon Aug 17 15:40:15 PDT 2015 --  #FB ist so ein Drecksverein, seit Stunden versuche ich meinen Account zu löschen, geht einfach nicht.:-(
Mon Aug 17 03:06:26 PDT 2015 --  Dieter #Hecking auf der Laudatio zu Kevin de Bruyne: "Selbst wenn der Weg nicht mehr beim VfL sein sollte, wünsche ich dir alles gute." #WOB
Tue Jul 28 10:35:40 PDT 2015 --  "Zwischen 2 mal Sex ist mir immer so kalt." "Echt, woher kommt das?" "Weil der Winter dazwischen ist..."
Mon Aug 17 02:42:18 PDT 2015 --  Nicht mal mehr Blumen will Marie...
Sat Aug 15 23:13:29 PDT 2015 --  Klingt nach #CSU: Außenminister Steinmeier will schnellere Abschiebeverfahren für #Flüchtlinge vom Balkan http://sz.de/1.2608970 
Sun Aug 16 14:47:43 PDT 2015 --  "Und sind da bei Dir im Kindergarten auch Ausländer?" "Nein, da sind nur Kinder!" Richtige Antwort! https://youtu.be/TjsI5EkDZCU  via @Hiphopde
Sun Aug 16 06:35:12 PDT 2015 --  Man kann sich übrigens über jeden Mist, der einen hier nervt, nörgelnd aufregen. Oder auch einfach weiterscrollen und die Klappe halten.
Mon Aug 17 00:16:36 PDT 2015 --  ’’Jeder sehnt sich nun einmal nach dem, was nicht für ihn bestimmt ist.‘‘
Sun Aug 16 14:20:46 PDT 2015 --  Kennt ihr das auch? Im Fernsehen klingelt ein Telefon und man denkt das eigene klingelt. Nervig.
Sun Aug 16 12:08:43 PDT 2015 --  Berühmt sein auf Facebook ist wie reich sein bei Monopoly 󾌴󾌴󾌴󾌪
Sun Aug 16 13:17:48 PDT 2015 --  Der @Romeo_Cappu mutet #PromiBB jetzt wieder ;)
Sun Aug 16 11:48:49 PDT 2015 --  Wir zocken heute analog. @Talti1110 pic.twitter.com/hmSn2eNYv7
Sun Aug 16 11:44:42 PDT 2015 --  Für die scheiß Wind Dinger kann ich nichts , wünsche einen feucht freien Abend und eine Trockene gute Nacht pic.twitter.com/U3VBLfBBQA
Sun Aug 16 11:32:39 PDT 2015 --  Ich schick Marie jetzt Blumen via Fleurop
Sun Aug 16 10:40:36 PDT 2015 --  Du kannst bei ner "Backofenwohnung" unterm Dach nicht mal kurz das Fenster auf machen, weil dann sofort ne Wespe drin ist. Dieses Wetter -.-
Sun Aug 16 09:21:34 PDT 2015 --  Mitch bei Sky <3
Sun Aug 16 08:49:05 PDT 2015 --  Update #Gewitter und Dauerregenlage über Deutschland - http://unwetteralarm.com/update-gewitter-und-dauerregenlage-ueber-deutschland/ … pic.twitter.com/3SEB3HbluL
Sun Aug 16 08:55:08 PDT 2015 --  Der @oddsbk mit erfolgreicher Generalprobe. pic.twitter.com/iqloFZFAEu
Sun Aug 16 07:13:45 PDT 2015 --  18 people followed me and 5 people unfollowed me // automatically checked by http://fllwrs.com 
Sun Aug 16 02:59:01 PDT 2015 --  Aubas 2:0 auf norwegisch #bvb #oddbvb https://twitter.com/oddsbk/status/632597754351648768 …
Sat Aug 15 16:03:44 PDT 2015 --  Eigentlich könnten hier ohne Probleme Palmen wachsen!
Sat Aug 15 16:03:28 PDT 2015 --  Dieses subtropische Klima macht echt kein Spaß mehr! :/ #Wetter
Sat Aug 15 15:53:43 PDT 2015 --  Gute Nacht ihr Gladbachbezwinger
Sat Aug 15 13:52:20 PDT 2015 --  Die @LexLuthorisrich ist doch PSN Promi. Die könnte doch nächstes Jahr auch ins Haus oder? #CherryWavesforPBB16
Sat Aug 15 12:32:53 PDT 2015 --  Funfact: Der #BVB fliegt mit zwei kleinen Maschinen nach Norwegen. Die Mannschaft wird aufgeteilt. #oddbvb
Sat Aug 15 12:27:51 PDT 2015 --  @nurisahin05 Nuri wir können es auch kaum erwarten
Sat Aug 15 10:59:50 PDT 2015 --  neuer abflug angeblich 3:20uhr. nie wieder @airberlin
Sat Aug 15 11:12:49 PDT 2015 --  Stellt euch mal vor, wenn Nuri wieder fit ist und der dann mit Ilkay auf der Doppelacht spielt mit Weigl dahinter
Sat Aug 15 11:02:21 PDT 2015 --  Auch nebenbei noch die Blauen in der Tabelle überholt
Sat Aug 15 10:46:13 PDT 2015 --  Was ist jetzt höher einzustufen? 5:0 gegen den HSV oder 4:0 gegen Gladbach?
Sat Aug 15 10:39:05 PDT 2015 --  Wenn man bedenkt, dass Miki ohne den Abgang vom Judas wohl garnicht da wäre, kann man sich bei dem Bankdrücker schon fast bedanken ^^
Sat Aug 15 10:36:39 PDT 2015 --  Alter!!!
Sat Aug 15 10:15:20 PDT 2015 --  Das steht doch bei Euch auch oder? #BVBBMG pic.twitter.com/XoJDWavKBF
Sat Aug 15 10:10:57 PDT 2015 --  Von wegen Costa ist jetzt der schnellste Spieler der Bundesliga... Pierre Emerick Boltmeyang !!!
Sat Aug 15 10:07:47 PDT 2015 --  Kloppo sitzt gerade vorm Fernseher und weint Freudenstränen, glaubt es mir!
Sat Aug 15 10:03:14 PDT 2015 --  Leck mich am Arsch IST DAS GEIL !!!
Sat Aug 15 09:53:18 PDT 2015 --  Freue mich schon auf den #Dopa morgen
Sat Aug 15 09:51:56 PDT 2015 --  #Aubabestermannmeyang
Sat Aug 15 09:44:40 PDT 2015 --  Was ein Strahl. Der Hammer!
Sat Aug 15 09:42:28 PDT 2015 --  Reif zeigt schon am ersten Spieltag was er kann.
Sat Aug 15 09:38:14 PDT 2015 --  Toll, ganz umsonst ne Bierdusche gefangen.
Sat Aug 15 09:28:15 PDT 2015 --  Gänsehaut! #bvbbmg
Sat Aug 15 09:16:40 PDT 2015 --  Den ganzen Tag Sonne. Dabei war westlich von Hannover starkes Gewitter und Abkühlung angesagt. Ich prangere das an @unwetteralarm !!!
Sat Aug 15 08:43:59 PDT 2015 --  @BL_Latest Vor 20 Sekunden... pic.twitter.com/NT9j1kQ0FE
Sat Aug 15 08:38:15 PDT 2015 --  Der Blick der Nordsteher auf die Südsteher... #Rüberwink #BVB @BVB #BVBBMG pic.twitter.com/beCd8WO92C
Sat Aug 15 08:33:55 PDT 2015 --  BBBBBBBBBBB VVAAUUUUUUU BBBBBBBBBBB
Sat Aug 15 08:17:12 PDT 2015 --  4-1-4-1 gegen Gladbach. Na denn mal los!
Fri Jun 26 02:39:16 PDT 2015 --  Erwachsene Menschen, die hier mit Entfolgung “drohen“. Sie sind so wichtig für diese Welt!
Sat Aug 15 07:52:47 PDT 2015 --  #Erdinc wäre doch einer für die #Bayern oder? #Elfmeter
Sat Aug 15 07:47:27 PDT 2015 --  Starker Rückpass #D98H96
Sat Aug 15 02:05:33 PDT 2015 --  Beziehungsstatus: Ich hab kein Facebook.
Sat Aug 15 05:08:38 PDT 2015 --  Nicht mein Platz, aber das hier ist ein Platz im Weserstadion... pic.twitter.com/GZmgEwySyK
Sat Aug 15 05:02:40 PDT 2015 --  15.08.2015 Update ! Akutwarnung vor lokalen Schwergewittern ! - http://unwetteralarm.com/15-08-2015-update-akutwarnung-vor-lokalen-schwergewittern/ … pic.twitter.com/2Io2df88R8
Sat Aug 15 04:54:48 PDT 2015 --  Jetzt spricht Weidenfeller http://www.kicker.de/news/fussball/bundesliga/startseite/633041/artikel_jetzt-spricht-weidenfeller.html …
Sat Aug 15 04:36:52 PDT 2015 --  Ich finde die Pokalauslosung sehr gut! Die Blauen sind raus und Wolfsburg müsste sich den Pokal wenigstens auch über die Bayern erarbeiten!
Sat Apr 18 07:31:51 PDT 2015 --  "Irgendwas stimmt mit deiner Persönlichkeit nicht." "Mit welcher?"
Wed Aug 12 11:23:52 PDT 2015 --  Kinder, hört doch auf euch über die Schule zu beschweren, es kommt der Tag, an dem ich euch dorthin zurück wünscht.
Sat Aug 15 03:26:23 PDT 2015 --  Nuri Sahín! #EchteLiebe #BVB pic.twitter.com/8PHOL4807y
Fri Dec 20 13:36:28 PST 2013 --  "Komm her, meine kleine Pusteblume". "Pusteblume? Awww! Aber wieso Pusteblume?" "Naja, Blasebalg klingt nicht so romantisch..."
Fri Aug 14 14:36:00 PDT 2015 --  Schade dass ich die Auslosung nicht sehen konnte, ich hätt nen Champus geköpft
Fri Aug 14 12:02:43 PDT 2015 --  Müller gleich wieder auswechseln
Fri Aug 14 12:00:49 PDT 2015 --  Adler, das ist schon Arbeitsverweigerung...
Fri Aug 14 11:48:26 PDT 2015 --  Schweinsteiger hat alles richtig gemacht. Die Gurkentruppe ist doch fertig. #fcbhsv #koanPEP #Rasenschach
Fri Aug 14 11:05:21 PDT 2015 --  ENDLICH GEHT ES WIEDER LOS
Wed Aug 12 03:27:28 PDT 2015 --  Encuentra las cinco diferencias. pic.twitter.com/j5hJrscHA4
Fri Aug 14 08:30:51 PDT 2015 --  In diesem Sinne, NUR noch drei Stunden. #Vorfreude #ssnhd pic.twitter.com/mkD7w8SvCG
Fri Aug 14 07:10:58 PDT 2015 --  Nicht vergessen! Heute Abend wird noch gelost! #dfbpokal https://twitter.com/DFB_Pokal/status/632178200882245632 …
Fri Aug 14 06:27:25 PDT 2015 --  Roman Bürki wird Stammtorhüter in der Bundesliga, Weidenfeller übernimmt den Torhüterposten gegen den @oddsbk. Weitere Spiele noch offen.
Fri Aug 14 00:42:40 PDT 2015 --  Man träumt schon echt kranke Sachen wenn man sich nochmal hinlegt ^^. Urlaub tut mir glaube ich nicht gut
Thu Aug 13 21:42:42 PDT 2015 --  Morgen Der frühe Vogel soll sich endlich in den Süden verpissen und platz für den Winter machen. So.
Thu Aug 13 21:29:53 PDT 2015 --  #FF @Romeo_Cappu @timtut82 @babyfell @madameherzl0s @MrCimbom1905 @SoziMarvin @iMarioR @LeahKillCookie @LauraKillKitty @TheReaLmytK
Thu Aug 13 15:55:57 PDT 2015 --  Ich liebe Gewitter
Thu Aug 13 15:39:10 PDT 2015 --  Gute Nacht BVB Familie!schlaft schön und kommt gut in den Freitag!
Thu Aug 13 15:15:42 PDT 2015 --  +++ Gewitter bleiben die Nacht durch aktiv – UPDATE für West- und Süddeutschland +++ - http://unwetteralarm.com/gewitter-bleiben-die-nacht-durch-aktiv-update-fuer-west-und-sueddeutschland/ … pic.twitter.com/4rSFitNWTR
Thu Aug 13 14:33:19 PDT 2015 --  Du kannst dir jahrelang vornehmen Single zu bleiben weil es besser ist. Steht Mrs. Right vor dir, wirfst du das in 1 Sek. über den Haufen!
Thu Aug 13 04:52:40 PDT 2015 --  Das Einzige was der ,,durchsetzt" ist der Sessel auf der Reservebank https://twitter.com/skysportnewshd/status/631794581554786304 …
Wed Aug 12 04:52:10 PDT 2015 --  Realsatire: Taliban werfen dem IS entsetzliche Brutalität vor http://on.welt.de/1J3cFcM  pic.twitter.com/PfeLHSuz4X
Sat May 24 13:36:36 PDT 2014 --  93' GOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOL #APorLaDécima #UCLFinal #RMLive
Tue Aug 11 14:20:36 PDT 2015 --  Passt gut drauf auf Barcelona, nächstes Jahr kommt das Ding ins Borusseum!
Tue Aug 11 14:17:24 PDT 2015 --  SEHT IHR BAYERN SO WIRD DAS GEFEIRT !!
Tue Aug 11 14:15:32 PDT 2015 --  Unfassbar...
Tue Aug 11 14:13:04 PDT 2015 --  Wenn #Immobile jetzt noch den Ausgleich macht, lade ich ihn als Entschuldigung für meine letzten Tweets mal zum Essen ein. #barsev
Tue Aug 11 14:08:50 PDT 2015 --  Oh nein :( Wir wollen doch Elfmeterschießen!
Tue Aug 11 13:56:18 PDT 2015 --  Die grillen hier sind echt schlau!die hören auf zu zirpen wen ich ton weg mache
Tue Aug 11 13:55:28 PDT 2015 --  In fünf Minuten wird das Spiel wegen des Abendessens kurz unterbrochen. #infotweet #FCBSevilla #barsev
Tue Aug 11 13:51:08 PDT 2015 --  Und immer wieder meldet sich auch die #Grille zu wort ;)
Tue Aug 11 13:23:47 PDT 2015 --  4:4. Schweden ist zurück. Ohh wait... #UEFASuperCup
Tue Aug 11 13:22:25 PDT 2015 --  Jetzt wird er es uns allen zeigen!
Tue Aug 11 13:16:47 PDT 2015 --  Wann kommt endlich Immobile und entscheidet das Ding...? #SuperCup #barsev
Tue Aug 11 12:43:01 PDT 2015 --  Es wird wieder Sauna-warm. Langsam reicht es. Ich brauche keine 38 Grad. Samstag 30 Grad.
Mon Aug 10 22:02:37 PDT 2015 --  Kaffee-Bots, die keinen Kaffee kochen können, kann ich nicht ernst nehmen.
Tue Aug 11 02:54:45 PDT 2015 --  Bitte RT: Labradorhündin Charleen ist in der Nacht zu Montag in der Neustadt entlaufen,gechipt. Hinweise gerne an uns pic.twitter.com/5cyTBxDSnW
Tue Aug 11 12:27:37 PDT 2015 --  In Tiflis ist es jetzt 23:25..jetzt weiss jeder warum Ciro erstmal draussen blieb #barsev
Tue Aug 11 12:01:22 PDT 2015 --  #Messi zeigt aber heute das er besser als ..................ist. #FCBSEV
Tue Aug 11 11:56:27 PDT 2015 --  Lernt die komplette Truppe von Sevilla jetzt eigentlich die italienische Sprache, wegen ihrem neuen Stürmerstar? #Immobile
Tue Aug 11 11:30:11 PDT 2015 --  #Immobile auf seinem Stammplatz #FCBSevilla
Tue Jul 15 01:49:40 PDT 2014 --  Habe 3m Ladekabel bestellt. Man will ja auch mal raus, was erleben.
Tue Aug 11 11:18:09 PDT 2015 --  In Oklahoma ist es verboten, ein Stück aus dem Hamburger eines Fremden herrauszubeißen.
Tue Aug 11 08:10:21 PDT 2015 --  kicker | Michael #Zorc über die Kritik von Ciro #Immobile: "Wenn diese Aussagen so gemacht worden sind, finde ich sie zum Kotzen." #bvb
Tue Aug 11 08:06:14 PDT 2015 --  In der Bahn machen 2 Jungs Fahrschulbögen am Smartphone. Ich hatte da noch so hässliche gelbe Zettel. Ich werde definitiv alt.
Tue Aug 11 03:12:37 PDT 2015 --  U are so funny @ciroimmobile ..can't stop laughing at ur blabla! pic.twitter.com/q04y94Zrps
Tue Aug 11 01:51:20 PDT 2015 --  Hab gestern alle Infos auf FB bzgl. Firma usw entfernt. Ist ja mittlerweile ein Einziges Der tut dies der tut das mimimi Netzwerk. #sherrifs
Thu May 28 02:08:35 PDT 2015 --  - Was hast Du denn im Urlaub so gemacht? - Die TwitterApp geöffnet. - Und dann? - Wie und dann?
Sat Aug 08 12:32:05 PDT 2015 --  “Pessimisten sind Optimisten die dazugelernt haben.”
Mon Aug 10 22:23:55 PDT 2015 --  Hoopentlich macht es der @BVB und der @FCBayern genau SO und verlangen von den @achtzehn99 Kunden auch ü 100% mehr als von anderen Fans!
Sat Dec 01 05:50:14 PST 2012 --  Ein etwa 85jähriger Herr setzt sich in der Bahn neben mich mit den Worten "Keine Sorge, ich will nur den Sitzplatz." Astreiner Korb.
Mon Aug 10 23:54:00 PDT 2015 --  DFB-Pokal: Nach Feuerzeug-Wurf gegen Schiri: Leipzig bietet Wiederholungsspiel an! http://www.bild.de/sport/fussball/rb-leipzig/bietet-wiederholungs-spiel-an-42139888.bild.html …
Tue Aug 11 00:42:39 PDT 2015 --  Sport1 | Peter Knäbel: "Ich setze den Stahlhelm auf, und die Polizei soll ermitteln. Ich möchte, dass alles lückenlos aufgeklärt wird." #HSV
Tue Aug 11 00:35:04 PDT 2015 --  Mein Arbeitskollege ist hardcore. Noch nichts gegessen, aber schon nen Liter Kaffee, nen Liter Cola intus und 10 Zigaretten geraucht. Baah!
Mon Aug 10 06:36:06 PDT 2015 --  Volker #Kauder droht Euro-Abweichlern mit Karriereknick - das geht nach hinten los: http://faz.net/-gpg-86k6k 
Mon Aug 10 11:49:04 PDT 2015 --  +++ Weiterhin kräftige Gewitter über der Westhälfte Deutschlands +++ - http://unwetteralarm.com/weiterhin-kraeftige-gewitter-ueber-der-westhaelfte-deutschlands/ … pic.twitter.com/55ph2EUjq5
Mon Aug 10 12:11:32 PDT 2015 --  Haben die gewettet wer am höchsten drüber schießt oder was?
Mon Aug 10 11:39:29 PDT 2015 --  . @Maximoto1893 leider wird es genau andersrum kommen. Wertung RB, Ausschluss Osnabrück für 1 jahr, Teilauschluss der Fans für ... spiele
Mon Aug 10 11:26:02 PDT 2015 --  Die Leipziger feiern schon ihren Sieg am grünen Tisch...
Mon Aug 10 09:08:59 PDT 2015 --  1 Jahr / 12 Monate / 52 Wochen / 365 Tage ... oder gerne auch: ein gefühlter Atemzug.
Mon Aug 10 08:32:12 PDT 2015 --  Achtung Gefährliche Gewitterzelle in Hessen ! große Hagel möglich http://kachelmannwetter.com/de/regenradar/deutschland/hessen/ … pic.twitter.com/JtSK7Zy6Q0
Mon Aug 10 08:27:51 PDT 2015 --  In der letzten Saison hätte sich #Bender schwer verletzt. #infotweet #BVB
Mon Aug 10 08:16:00 PDT 2015 --  +++ Gewitter explodieren nun auch über Hessen und Bayern +++ - http://unwetteralarm.com/gewitter-explodieren-nun-auch-ueber-hessen-und-bayern/ … pic.twitter.com/qCdIs0xFGS
Mon Aug 10 08:09:26 PDT 2015 --  Windows 10?? Pfff ihr luschen. Ich hab Windows 2000!
Mon Aug 10 04:44:01 PDT 2015 --  "Aber der Sportteil ist gut" Ne, der Shaqiri-Quatsch zeigt wieder, dass der genauso beschissen ist wie der Rest. In dem Fall aber zum Glück
Sun Aug 09 22:38:32 PDT 2015 --  Morgen wird gefickt. Okay?
Sun Aug 09 07:43:31 PDT 2015 --  Wahnsinn Ausgleich nöttingen!is das geil
Sun Aug 09 07:33:14 PDT 2015 --  Nächste Woche werden wir sehen wo der #BVB steht, Galdbach ist da genau der richtige Gegner
Sun Aug 09 07:30:20 PDT 2015 --  Die Auslosung zur 2. DFB-Pokalrunde findet am kommenden Freitag nach #FCBHSV in der ARD statt. Gespielt wird am 27./28. Oktober. # BVB
Sun Aug 09 07:26:16 PDT 2015 --  Miki bis hierhin mit genau so viel Pflichtspieltoren wie in der letzten gesamten Saison! #bvb #Miki2020 #Mkhitaryan
Sun Aug 09 07:29:19 PDT 2015 --  Kein Wunder dass der HSV sich so schwer tut. Wenn der Keeper aus Jena so ein Vieh ist! #FCCHSV pic.twitter.com/RgXXf5f4mM
Sun Aug 09 07:22:47 PDT 2015 --  1. Runde Europa League 1. Runde DFB-Pokal über den Rest legen wir heute mal das Tuchel des Schweigens
Sun Aug 09 07:24:03 PDT 2015 --  Abpfiff: #FCCHSV 2:2 (Verlängerung) #CFCBVB 0:2 Zwischenstände: #FCNFCB 1:2 (Hecht-Zirpel 16'/ Vidal 5', Götze 17') #SVUFCI 0:0 (25')
Sun Aug 09 06:01:28 PDT 2015 --  Alter...
Sun Aug 09 05:37:59 PDT 2015 --  schön - die kleine gelbe Wand #cfcbvb
Sun Aug 09 03:29:36 PDT 2015 --  Top Themen beim Social Trend von Sport1: Platz 1: #BVB. Platz 2: #BVB. Platz 3: #BVB. Das #FCB Publikum freuts #dopa
Sun Aug 09 02:55:57 PDT 2015 --  Lieber FCA. Nur weil euch #KeineSau kennt dürft ihr euch trotzdem was eigenes suchen. EchteLiebe ist schon vergeben https://twitter.com/fcaugsburg/status/630310416531488768 …
Sun Aug 09 02:45:52 PDT 2015 --  Auf Penisbilder einfach mal mit: "Sorry, aber das ist nicht mein Ding!" antworten.
Sun Aug 09 02:27:59 PDT 2015 --  Müssen wir schon zur Meisterschaft gratulieren? #s03+1
Sun Aug 09 02:25:17 PDT 2015 --  Was ist bitte mit Twitter falsch, dass @borussiado wegen diesem Tweet gesperrt wurde? Er wollte lediglich WARNEN.... pic.twitter.com/nR13FKsXkx
Sat Aug 08 13:28:29 PDT 2015 --  Hoffentlich kriegen wir Reutlingen nicht zugelost. Denen würde ichs gönnen weit zu kommen und auf ihrem Weg noch die Blauen rauszuschmeißen!
Sat Aug 08 10:55:34 PDT 2015 --  Sehr geil. #nonazis pic.twitter.com/mVQsv8kJkg
Sat Aug 08 12:54:44 PDT 2015 --  Unterzahl ist auch überbewertet ^^
Sat Aug 08 11:43:59 PDT 2015 --  Als Gaudino eben sagte: "bei uns muss alles passen, und beim KSC darf nichts zusammen passen" dachte ich noch "was fürn Quatsch" ^^
Sat Aug 08 11:13:22 PDT 2015 --  MINION. Die coolsten Sachen sind halt gelb. pic.twitter.com/eZulRMWjTg
Sat Aug 08 10:09:14 PDT 2015 --  1:0 für 60. Läuft!
Sat Aug 08 08:56:46 PDT 2015 --  Ich will für #Berlin ein ordentliches #Gewitter! #Wetter
Sat Aug 08 08:39:48 PDT 2015 --  Sowas unverdientes...
Fri Aug 07 19:51:26 PDT 2015 --  Z.z. habe ich keine Lust auf Sommer, von einem klimatisierten Raum in den nächsten schleppen, ist auch nicht die Lösung.
Fri Aug 07 17:01:19 PDT 2015 --  Jetzt wäre #Domian auch schon wieder vorbei ;)
Fri Aug 07 16:49:22 PDT 2015 --  +++ Weiteres Update zur Gewitterlage in der Nacht +++ - http://unwetteralarm.com/weiteres-update-zur-gewitterlage-in-der-nacht/ … pic.twitter.com/mMp7tdibGR
Fri Aug 07 16:44:46 PDT 2015 --  Fenster auf, Ventilator Stufe 3 auf mich gerichtet. Und ihr mögt dieses Dreckswetter auch noch.. Ich bin froh, wenn ich wieder schlafen kann
Fri Aug 07 13:34:37 PDT 2015 --  +++ Die Gewitter nähern sich Deutschland +++ - http://unwetteralarm.com/die-gewitter-naehern-sich-deutschland/ … pic.twitter.com/QiTnFu2ssf
Fri Aug 07 13:24:31 PDT 2015 --  Das #Unwetter haben wir schon, nennt sich #Hitzewelle.^^ #Wetter
Fri Aug 07 13:02:13 PDT 2015 --  Hat man im Hallenbad bei dem Wetter eigentlich seine Ruhe? ^^
Fri Aug 07 12:59:42 PDT 2015 --  Hauptsache scharf #22uhrnonmention
Fri Aug 07 12:54:51 PDT 2015 --  Könnte sich glatt um Marie handeln! #LastRT
Thu Sep 19 15:07:10 PDT 2013 --  "Stell dir vor, ich stecke dir den Kaktus in deinen..." "ALTER!" "Sorry, falsches Fenster." "DAFÜR GIBT ES EIN RICHTIGES FENSTER?"
Fri Aug 07 12:28:38 PDT 2015 --  Manchmal mache ich den Grill nur an, um Holzkohle zu schnüffeln und Bier zu trinken. Ohne Grillgut. #Twitterbeichte
Fri Aug 07 12:10:02 PDT 2015 --  Ich tausche 2 Karten BVB-Hertha gegen 2 Karten Ingolstadt - BVB - gerne Retweet
Fri Aug 07 12:03:15 PDT 2015 --  Wir ham Mitte August und es sind über 30 Grad. Der Sommer ist auch nicht mehr das, was er mal war.
Fri Aug 07 11:50:45 PDT 2015 --  SO VON WEGEN KLEINER ACCOUNT.. ÜBER 3000 FOLLOWER INNERHALB VON 49 MINUTEN, IHR BITCHES!
Fri Aug 07 11:46:10 PDT 2015 --  . @3Plusss Du sprichst mir aus der Seele!
Fri Aug 07 11:43:08 PDT 2015 --  @MeinRapde cool check ich aus wenn ich wlan hab
Fri Aug 07 11:41:43 PDT 2015 --  "cool check ich aus wenn ich wlan hab" ist mein lieblingskommentar unter neuen videos
Fri Aug 07 11:30:43 PDT 2015 --  User mit 0 Followern kann ich nicht ernst nehmen - denen kann man nicht trauen. Die sind irgendwie komisch. So wie die @madameherzl0s
Fri Aug 07 11:26:30 PDT 2015 --  Jose Mourinho verlängert bei Chelsea um zwei Jahre bis 2019. #ssnhd #skyPL pic.twitter.com/h0X8tc2FfP
Fri Aug 07 10:14:05 PDT 2015 --  Grünen-Politiker: Wer Flüchtlinge privat aufnimmt, soll Geld bekommen http://www.t-online.de/-/id_74981748/ 
Fri Aug 07 08:46:45 PDT 2015 --  Achtung: Duisburger Hooligans haben vor dem morgigen Pokalspiel auf Facebook zum "Schalker jagen" aufgerufen. #MSVS04 pic.twitter.com/kqt331NmLV
Fri Aug 07 09:08:55 PDT 2015 --  Das könnte im Nordwesten für viele eine unruhige #Nacht werden: http://www.wetteronline.de/wetterticker  #Wetter #Gewitter #Unwetter pic.twitter.com/w3GK1l2HcC
Fri Aug 07 07:48:00 PDT 2015 --  Virtuelle Abkühlung für alle, man muss nur ganz fest daran glauben pic.twitter.com/j5oU6bMx31
Fri Aug 07 06:16:33 PDT 2015 --  Wenn man sich nicht bewegt, geht's mit der Hitze.
Fri Aug 07 06:13:50 PDT 2015 --  Nettes Wappen hat die Provinz Telemark, wo der #BVB gegen Odd Grenland antritt. #ueldraw pic.twitter.com/lqONIQ9Wca
Fri Aug 07 06:08:28 PDT 2015 --  @BVB You are most welcome to Norway and Skien! We're looking forward to the yellow wall aswell #theoddadventure
Fri Aug 07 04:36:38 PDT 2015 --  Das beste an der Europa League ist, dass man mal gegen andere Vereine spielt und nicht immer gegen die üblichen Verdächtigen in der CL
Fri Aug 07 00:34:52 PDT 2015 --  Hilfe! Kumpel von mir ist gebürtiger Chemnitzer und möchte So. unbedingt zum Spiel. Platz im Stadion wäre egal. Wer kann helfen? #pleaseRT
Fri Aug 07 04:38:02 PDT 2015 --  4 Deutsche Mannschaften in der EL-Gruppenphase. Hat doch was. #LAZLEV
Fri Aug 07 04:19:46 PDT 2015 --  Kündigt sich da etwa das nächste 5:0 an?
Fri Aug 07 04:00:48 PDT 2015 --  In ca. 7 Minuten geht die Auslosung los. #BVB
Thu Aug 06 13:31:34 PDT 2015 --  Seit heute hat er einen neuen Vornamen: „Hattrick“ Mkhitaryan. Für die 3 Tore brauchte er 14 Minuten. #ssnhd #bvbwac pic.twitter.com/jcK1xxMwDL
Thu Aug 06 13:14:59 PDT 2015 --  HATTRICKTARYAN! #bvb
Thu Aug 06 13:15:16 PDT 2015 --  Miki, ich will Kinder von Dir! #BVB #BVBwac
Thu Aug 06 13:11:16 PDT 2015 --  Wo sind jetzt die Micki Kritiker ??? Geiles Tor #bvb
Thu Aug 06 13:11:05 PDT 2015 --  3+1 NULL! // HERE WE GO AGAIN, @HenrikhMkh! #bvbwac 4-0 (82’)
