Sat Aug 22 13:53:32 PDT 2015 --  Eye of an Eagle󾆐󾆐󾆐 http://fb.me/7pjGv3tMl 
Wed Dec 03 06:14:22 PST 2014 --  If you see a nest and cannot see birds sitting in it, please check again that could be Makarand Deshpande.
Sun Nov 30 20:24:45 PST 2014 --  RaGa - Momma , what does secular,democracy,RTI mean? U told me2use them in every speech. Sonia - dont know beta. Main itni padi likhi nhi hu
Sat Nov 29 11:52:17 PST 2014 --  Has someone pointed this out to @sidin ? :-) RT:" @AgentSaffron: Awesome professional editing doing by TOIlet paper pic.twitter.com/rYji5NHK8A"
Sun Nov 30 09:43:16 PST 2014 --  It is insulting to Hindu Sikhs that in Delhi a road is named after Aurangzeb .. the tyrant got Shaheed Guru Tegh Bahadur killed .
Sun Nov 30 09:40:41 PST 2014 --  They should use pics of KRK on 2 Rs coins.
Sun Nov 30 09:42:28 PST 2014 --  *Aamir at school* Teacher:Physics me 10 marks,Chemistry me 4,Maths me 7..kya h ye sab? Bolo! Aamir:Doston! Ye kuch chaukane wale aankde!
Sun Nov 02 09:50:35 PST 2014 --  Aamir: Achha to aap teacher h.. kahan rehti h? "Mumbai" A: Achha to aap Mumbai rehti h!kaisi h aap? "Achhi hoon" A: Achha to aap achhi h!
Thu Oct 30 10:34:07 PDT 2014 --  "Achha?" "Ok.." "Oho.." "ye kaise hua zara bataiye" "kya!" #FamousQuotesOfAamirKhan #SatyamevJayate
Sun Nov 30 09:38:48 PST 2014 --  Why wasn't Simran fined by TT? RT @IndiaHistorypic: 1995 :: Scene from Movie Dilwale Dulhania Le Jayenge ( DDLJ) pic.twitter.com/Qn9cHewul2”
Sun Nov 30 09:22:20 PST 2014 --  pic.twitter.com/xSmUbRHoSh
Sun Nov 30 09:15:14 PST 2014 --  Everyone in the left lane has seen Final Destination pic.twitter.com/Nq5rVnnYDi
Sun Nov 30 08:24:08 PST 2014 --  मैं मफ्लरमेन, थप्पड़का फेन।
Sat Nov 29 05:13:30 PST 2014 --  "तू नहीं तो थारो फ़ोटो पण चालसे"~Tired of searching porn on a slow internet connection
Mon Nov 24 01:34:12 PST 2014 --  G:Sasurji, maine jhooth bola tha, maine betting kheli thi CSK ke upar Srini:ab kyu bata rahe ho G:Vindu pakda gaya hai, to nind nahi aa rahi
Fri Nov 21 08:57:36 PST 2014 --  " @coolfunnytshirt: Whenever i run out of puns, i resort to kamina-pun." Phir awara-pun and then run!
Sun Nov 16 09:35:45 PST 2014 --  Remaining silent is one of the most effective ways to get information out of someone
Sun Nov 16 09:30:07 PST 2014 --  Confirmed. Sad news as @rogerfederer withdraws from the final. @DjokerNole @djokis the 2014 ATP World Tour Finals champion!
Tue Nov 04 08:36:05 PST 2014 --  Bas kar pagle , abb rulaega kya ?? http://fb.me/1L5zpiyJ3 
Sun Nov 02 08:29:45 PST 2014 --  Moongfalli : Meri yaad-dasht chali gayi hai. I don't remember who am I. Vadra ji : Are you nuts? #KSry
Fri Oct 10 10:07:57 PDT 2014 --  Malala* Nobel* Prize* Loda* Lassun* pic.twitter.com/sIOrMVNtw2
Mon Oct 06 20:47:39 PDT 2014 --  Traffic Police: Bike तेज भगाता है? चल 5 हरी पत्तियाँ निकाल Me:सत्यमेव जयते शुरू हो गया है TP:अरे बेटा मैं तो 500 का छुट्टा माँग रहा था
Sun Sep 28 08:46:45 PDT 2014 --  AKSHAY KAPOOR kaun hai bey???
Sun Sep 28 08:43:55 PDT 2014 --  @nakulshenoy I guess this is the one. http://en.wikipedia.org/wiki/Akshay_Kapoor … He seems to be the only Akshay Kapoor with exactly 10 films. :D
Sun Sep 28 08:43:32 PDT 2014 --  All of you asking who the eff is Akshay Kapoor, I asked that first! :-p
Sun Sep 28 07:05:12 PDT 2014 --  Rajdeep : The world has changed... the world has changed.. Somebody from the crowd: But you have not changed!
Wed Sep 24 08:49:55 PDT 2014 --  Boy: mars chaloge? #Nagpur Autowala: 900crore lagega Boy: lekin isro ne Toh 450cr me bheja @MarsOrbiter ko AW: waha se return trip nhi milta
Wed Sep 24 02:13:48 PDT 2014 --  MOM ke paas Mars hai!! Aur mere paas MAA hai!!
Tue Sep 23 02:56:41 PDT 2014 --  Way to go Pranav Muppirishetti !!!! http://fb.me/1f3BLEi4p 
Sat Sep 20 13:07:46 PDT 2014 --  Light aa gayi bhailog
Sat Sep 20 12:52:04 PDT 2014 --  but ours is like Kuch bhi maango, paani hi denge!!!" @GabbbarSingh: खीर मांगोगे तो दूध देंगे। ~our hostel mess"
Sat Sep 20 11:27:31 PDT 2014 --  No electricity in LIT Campus #Nagpur from 4pm today. Where are the MSEB people or RTMNU people??
Sat Sep 20 11:14:35 PDT 2014 --  Maruti 800 aur Swift mile huye hain! Yahi to scam hai! #Lulz RT @ekdam_jhakas: Maruti Suzuki Swift 800!! http://twitter.com/ekdam_jhakas/status/513390242405965824/photo/1pic.twitter.com/Te5887cq90 
Sat Sep 20 11:23:02 PDT 2014 --  " @Alllahdin: Hey guys, if she has stopped questioning you for cheating, then you're being cheated on."
Fri Sep 19 17:57:47 PDT 2014 --  DD anchor calls Chinese president 'Eleven' Jinping, sacked. My #cartoon pic.twitter.com/T2YJO3hvcy
Thu Sep 18 12:32:57 PDT 2014 --  Bakchodi! " @GappistanRadio: Haha kuch bhi pelo handle me facts likh ke RT @UberFacts: Police in India get paid for having moustaches."
Thu Sep 18 12:23:59 PDT 2014 --  The more you talk about that person to others, the more you fall in love with that person.
Thu Sep 18 12:05:12 PDT 2014 --  the sad truth pic.twitter.com/qKYEgNYFes
Thu Sep 18 12:20:01 PDT 2014 --  " @coolfunnytshirt: Toothpaste banane waalo ko aeroplane banane doge to aisi hi cheez milegi.. pic.twitter.com/Z6s7S42yRl" more like a kela
Wed Sep 17 09:56:11 PDT 2014 --  Xi Jinping : There will be no incursion from our side in future. Modi : Kya guarantee hai? Xi Jinping : Guarantee? We are Chinese. LOL
Thu Sep 18 10:26:33 PDT 2014 --  Fear of rejection is the greatest fear for a boy like me.
Thu Sep 18 05:46:54 PDT 2014 --  Angrez Mukht Scotland!
Thu Sep 18 00:10:39 PDT 2014 --  Why the Fuck are tibetians protesting in India? Kya milega isse unko?
Wed Sep 17 23:51:26 PDT 2014 --  The Fuck I just read pic.twitter.com/ZGIw57g6L8
Wed Sep 17 23:45:13 PDT 2014 --  " @ANI_news: Delhi: Tibetans protesters detained by the police outside Hyderabad House" udhar kya biryani khane Gaye the?
Wed Sep 17 23:39:57 PDT 2014 --  We forgive people because we still want them in our lives.
Wed Sep 17 22:42:09 PDT 2014 --  Arrogance is Rahul Gandhi. Confidence is Narendra Modi. And Overconfidence is Arvind Kejriwal.
Wed Sep 17 21:19:43 PDT 2014 --  Words are just words. It's the person who adds wight to them or makes them feel empty.
Wed Sep 17 12:42:22 PDT 2014 --  Hot water is more likely to break thick glass than thin glass. That's why test tubes are made of thin glass.
Wed Sep 17 12:48:29 PDT 2014 --  There are at least 6 people in the world who look exactly like you. There's a 9% chance that you'll meet one of them in your lifetime.
Wed Sep 17 11:12:58 PDT 2014 --  Abercrombie burn all it's unsold clothes. They won’t donate because it's a bad image for the company for poor people to wear them.
Wed Sep 17 12:15:08 PDT 2014 --  People always keep telling you to be someone else. Don't heed to them
Wed Sep 17 11:03:21 PDT 2014 --  Gujarat CM's office encourages Surya Namaskar. "Communal" state :) pic.twitter.com/3AXby4ZQME
Wed Sep 17 12:12:03 PDT 2014 --  More useless to argue with someone you have a crush on coz at the end of the day, it shall be your loss
Wed Sep 17 12:11:17 PDT 2014 --  It's useless to argue with a girl.
Wed Sep 17 10:55:32 PDT 2014 --  England ka Digvijaya Singh RT @MichaelVaughan 15000 Indians booed a Moeen Ali who happens to be a Muslim and @ECB_cricket did nothing
Wed Sep 17 02:40:58 PDT 2014 --  NaMo: Jinping ji, let me show you something.. *shows Dandia* Jinping: OMG! Such huge size chopsticks.. will they eat each other???
Wed Sep 17 09:57:23 PDT 2014 --  This meeting between Modi and Xi will be a success only when India's national dish becomes Hakka Noodles and China's becomes Dhokla.
Wed Sep 17 09:59:56 PDT 2014 --  Twitter is basically just you having a conversation with yourself hoping that someone else will join in.
Wed Sep 17 01:57:55 PDT 2014 --  Why is Modi making his b'day a media tamasha by meeting his mom? Can't he just go to some European country privately?
Wed Sep 17 09:37:25 PDT 2014 --  If you didn't know Ramiz Raja's records & only heard him on comm, u would think he scored 2 million runs, took 10K wickets & 10K catches.
Wed Sep 17 09:39:43 PDT 2014 --  It seems, jersey number 64 is lucky for Ashish Nehra. After all, how many players get jersey number matching their teeth.
Wed Sep 17 09:38:59 PDT 2014 --  pic.twitter.com/HZHbNrM4Rn
Wed Sep 17 09:15:03 PDT 2014 --  Perks of having an elder brother - #1 Kapde le lo unke acche wale
Thu Sep 11 11:37:29 PDT 2014 --  Bollywood superstar Salman Khan booked by the police in Yavatmal for allegedly hurting the religious sentiments of a community - PTI
Tue Sep 16 10:09:17 PDT 2014 --  'jewan' ke liye yeh 'jeewan'
Tue Sep 16 08:17:23 PDT 2014 --  " @Fact: The people who get upset with each other over the stupidest of things are usually the ones who care the most!"
Mon Sep 15 13:21:24 PDT 2014 --  A short tempered man is okay. An angry man is bad. But a polite man angry is worse.
Mon Sep 15 13:18:16 PDT 2014 --  Those who think polite people never get angry, I will whack your head hard with a smile on my face
Mon Sep 15 13:17:49 PDT 2014 --  Gareebi mein pyaar sabse sasta milta hai. Aur gaali free mein.
Mon Sep 15 13:16:53 PDT 2014 --  Toh Ab dono tweets combine karte hai
Mon Sep 15 13:16:17 PDT 2014 --  Aur gaali Toh free milti hai
Mon Sep 15 13:14:53 PDT 2014 --  Gareebi mein pyaar sabse sasta milta hai
Mon Sep 15 12:36:36 PDT 2014 --  What if oxygen is poisonous and it just takes 75-100 years to kill us?
