Sat Aug 29 05:22:49 PDT 2015 --  Therefore,there is now no condemnation for those who are in Christ Jesus. Romans-8-1
Tue Jan 06 09:25:01 PST 2015 --  You can tell how boring a person is by the lack of fear in their eyes when someone is flipping through photos on their phone.
Tue Jan 06 12:40:56 PST 2015 --  I never hate myself more than when reaching out of my car window at an ATM.
Tue Jan 06 17:01:06 PST 2015 --  Buying an airline ticket is like paying shipping and handling for yourself.
Tue Jan 06 17:15:21 PST 2015 --  "This world is a great sculptor’s shop. We are the statues & there’s a rumor going around that some of us are someday going to come to life"
Mon Jan 05 14:57:08 PST 2015 --  If I was supposed to share them, they wouldn’t be called nachos.
Mon Jan 05 03:30:01 PST 2015 --  Behold ,God is my salvation,I will trust and not be afraid;for the Lord is my strength and song,and He has become my salvation. Isaiah-12-2
Sun Jan 04 20:56:34 PST 2015 --  Mason jars make any drink 75% cooler.
Sun Jan 04 19:10:29 PST 2015 --  I like how automatic doors just get out of my way. I wish more inanimate objects seemed scared of me.
Sun Jan 04 14:09:40 PST 2015 --  No one has loved us, does love us, or will love us as well as Jesus.
Sun Jan 04 05:27:25 PST 2015 --  I feel truly sorry for someone who believes the highest power in the universe is in the bands o humans Has to be a miserable way to live
Sun Jan 04 04:56:41 PST 2015 --  I will lift up mine eyes unto the hills, from whence cometh my help,My help cometh from the Lord which made heaven and earth. Psalm-121
Sat Jan 03 09:53:05 PST 2015 --  To whoever said “fight fire with fire”: do you actually test your own advice before giving it?
Sat Jan 03 10:50:54 PST 2015 --  Joined a great gym today. It’s called Krispy Kreme, and they have the most amazing donuts.
Sat Jan 03 12:24:00 PST 2015 --  I can’t get out of bed. These blankets have accepted me as one of their own and If I leave now I might lose their trust.
Sat Jan 03 13:50:06 PST 2015 --  When I go to your place for the first time, unless you live in a castle, please don’t ask me if I want a tour.
Sat Jan 03 15:48:29 PST 2015 --  If rednecks ran the world police officers would be respected and there'd be open season on people involved in the child sex trade.
Sat Jan 03 15:54:35 PST 2015 --  Isis should b nothing more than a bad memory by now,we could have destroyed them while they were small and out in the open. Bad screw up
Sat Jan 03 16:28:53 PST 2015 --  Redneck Glossary Political correctness- putting crooked politicians in jail.
Sat Jan 03 16:37:30 PST 2015 --  I know I do... pic.twitter.com/he5lcUfSnD
Sat Jan 03 17:13:25 PST 2015 --  If you’ve seen a dog go near an electric fence then you’ve seen me try to enter a conversation at a party.
Sat Jan 03 20:33:22 PST 2015 --  They've chosen cunning instead of belief. Their prison is their minds yet they are so afraid of being taken in that they cannot be taken out
Sun Jan 04 01:41:06 PST 2015 --  I'm at my funniest when people misunderstand what I say.
Sat Jan 03 05:35:51 PST 2015 --  For the Lord is a God of justice,blessed are all those that wait for Him. Isaiah-30-18
Thu Jan 01 10:41:02 PST 2015 --  You think you’re pretty smart until you have to figure out how to turn on someone else’s shower.
Thu Jan 01 06:35:47 PST 2015 --  God let this be the year the United States of America puts it's feet back on the paths of righteousness
Thu Jan 01 06:13:59 PST 2015 --  Therefore if the Son makes you free,you shall be free indeed. John-8---36
Wed Dec 31 23:35:49 PST 2014 --  "There are far, far better things ahead than any we leave behind." ~ #CSLewis | #HappyNewYear | pic.twitter.com/mubZ7rTqD9
Wed Dec 31 16:30:15 PST 2014 --  If swimming is great exercise, explain whales to me.
Mon Dec 29 04:23:43 PST 2014 --  Do not gloat over me my enemy! Though I have fallen, I I will rise. Though I sit in darkness the Lord will be my light . Micah7-8
Fri Dec 26 17:53:01 PST 2014 --  I wish all videos of people twerking ended with them catching on fire.
Fri Dec 26 15:28:17 PST 2014 --  100% agree. (Unknown photo credit for this photo) pic.twitter.com/r7FoU72zJS
Fri Dec 26 13:48:32 PST 2014 --  “The stamp of the Saint is that he can waive his own rights and obey the Lord Jesus.” ~ #CSLewis
Fri Dec 26 10:04:36 PST 2014 --  My parents spanked me as a child. As a result, I now suffer from a disease called "Respect For Others."
Fri Dec 26 09:16:06 PST 2014 --  Ask-hole: Someone who constantly asks for advice then does the opposite of what you told them.
Fri Dec 26 03:11:56 PST 2014 --  Trust in Him at all times,O people pour out your hearts to Him.For God is our refuge. Psalm-62-8
Thu Dec 25 06:06:45 PST 2014 --  "For unto you is born this day in the city of David a Savior, who is Christ The Lord." Luke 2:11 Thank you, Father! #MerryChristmasEveryone
Thu Dec 25 04:09:44 PST 2014 --  For unto you is born this day in the city of David a savior, which is Christ the Lord. Luke-2-11
Wed Dec 24 10:23:32 PST 2014 --  imagine being out in the middle of nowhere herding sheep and all of a sudden the sky is full of angels. No wonder they were sore afraid
Wed Dec 24 10:01:57 PST 2014 --  In all the hustle and bustle and commercialism I hope folks remember the main reason we have Christmas. The birthday of our Savior Jesus.
Wed Dec 24 09:03:11 PST 2014 --  So awesome. pic.twitter.com/s3zA3TVjRp
Wed Dec 24 06:09:35 PST 2014 --  For the last 40 years or so I have called all my employee's mothers on Christmas Eve to wish them a Merry Christmas Guess I'd better get it.
Wed Dec 24 04:15:19 PST 2014 --  For unto us a child is born.Unto us a Son is given.And the government shall be upon His shoulder. Isaiah-9-6
Tue Dec 23 04:17:07 PST 2014 --  For God did not not send His Son into the world to condemn this world but to save the world through Him. John-3-17
Tue Dec 23 05:15:47 PST 2014 --  Go home Al you've caused enough trouble,
Tue Dec 23 07:37:05 PST 2014 --  De Blasio,Holder,Sharpeton et al,the police department you're demonizing is the same 1 that saved thousands of lives on 9/11 Hang your head
Tue Dec 23 08:45:26 PST 2014 --  In our idolatry we’ve substituted many things for Jesus. In His love He substituted Himself for us.
Tue Dec 23 09:03:43 PST 2014 --  There is no panic like trying to end an accidental FaceTime call.
Tue Dec 23 12:26:09 PST 2014 --  My Christmas Prayer Lord give us a leader who can reset our compass,restore our faith,and begin to turn this nation back to godliness
Tue Dec 23 13:37:35 PST 2014 --  Democrat or Republican?? Hard to tell from here. pic.twitter.com/cwf8oma2U7
Mon Dec 22 08:27:16 PST 2014 --  pic.twitter.com/fKeK29wkmr
Mon Dec 22 05:51:59 PST 2014 --  I sought the Lord and He answered me,;He delivered me from all my fears. Psalm-34
Mon Dec 22 05:37:06 PST 2014 --  If the only lives that matter to you are black lives..... then you're a racist.
Sun Dec 21 18:10:00 PST 2014 --  You do not have to attend every argument you are invited to.
Sun Dec 21 15:52:00 PST 2014 --  Wishing your pets could talk is fun until you remember everything you’ve ever done in front of your pets.
Sun Dec 21 14:40:04 PST 2014 --  Every knee will bow and every tongue will confess that Jesus Christ is Lord . End of conversation
Sun Dec 21 13:39:50 PST 2014 --  The problem with atheism is you don't find out you're wrong until it's too late to do anything about it.
Sun Dec 21 13:34:50 PST 2014 --  Dear #Muslim: Mohammed was a false prophet who served a god of his own invention. Turn away & meet the true God who calls to you by name.
Sun Dec 21 08:00:08 PST 2014 --  Sony should have told North Korea to stuff it and immediately released the movie on dvr and cable Giving in was a big mistake
Sun Dec 21 06:45:59 PST 2014 --  President Obama,do you think that after what happened in New York Al Sharpeton is the right choice to advise you on race relations.
Sun Dec 21 04:57:45 PST 2014 --  By His boundless mercy we have been born again to an everlasting hope through the resurrection of Jesus Christ from the dead. 1st Peter-
Sat Dec 20 17:35:08 PST 2014 --  "What one calls the interruptions are precisely one's real life -- the life God is sending one day by day.” ~ #CSLewis
Sat Dec 20 10:57:32 PST 2014 --  One of the best questions you can ask yourself: “Do I love Jesus, or do I love the way Jesus is letting my life go right now?”
Sat Dec 20 10:07:37 PST 2014 --  "God is not under any obligation to make me succeed. " Tim Keller
Fri Dec 19 20:14:22 PST 2014 --  "The best is perhaps what we understand least." ~ #CSLewis
Sat Dec 20 01:28:49 PST 2014 --  The Lord your God Is in your midst,,a victorious warrior.He will exult over you with joy,He will quiet you with His love. Zephaniah-3-17
Fri Dec 19 02:50:25 PST 2014 --  Both child & cynic walk through the valley of death's shadow. The cynic focuses on the darkness; the child focuses on the Shepherd. (Miller)
Thu Dec 18 17:18:10 PST 2014 --  . @Mark_JekyllHyde between Exodus and Noah the Hollywood left have managed to turn the Bible into science fiction.
Thu Dec 18 17:22:04 PST 2014 --  No way did the producers of Exodus read the Bible prior to production, kinda like how Obama makes laws and hasn't read the constitution.
Thu Dec 18 18:48:34 PST 2014 --  The LORD is compassionate & gracious, slow to anger, abounding in love. Psalm 103:8
Thu Dec 18 00:17:17 PST 2014 --  "It’s not the load that breaks you down. It’s the way you carry it." ~ #CSLewis
Thu Dec 18 04:07:02 PST 2014 --  Submit yourselves then, to God.Resist the Devil and he will flee from you.Come near to God and He will come near to you. James4
Thu Dec 18 10:26:40 PST 2014 --  Oh Joy!!! I'm headed to the dentist's office
Thu Dec 18 10:41:04 PST 2014 --  Bacon is like a high-five for your mouth.
Wed Dec 17 10:37:04 PST 2014 --  How can you maintain the "moral high ground" when you allow the kind of people who slaughter children to live on the same planet with us.
Wed Dec 17 11:11:11 PST 2014 --  A lot of people have a fear of flying. Not me. I have a fear of crashing and dying.
Wed Dec 17 12:10:16 PST 2014 --  Cuba?are you serious!!! Well there you go crawling into bed with rattlesnakes again Barack
Wed Dec 17 13:38:01 PST 2014 --  I don't know what's gonna happen with Cuba but there's one thing you can bet the barn on. It's gonna cost the U.S. money.
Wed Dec 17 14:06:04 PST 2014 --  Exactly. pic.twitter.com/HehmlNGfoE
Wed Dec 17 16:30:08 PST 2014 --  The doctor said I should be drinking more whiskey. Also, I’m calling myself “the doctor” now.
Wed Dec 17 20:20:55 PST 2014 --  The 60's and 70's were so much different than today. pic.twitter.com/6M0Vtpdh7k
Mon Dec 15 13:39:06 PST 2014 --  The Australian PM said the hostage situation was "politically motivated." For those keeping track, that's terrorism. FYI.
Mon Dec 15 18:46:23 PST 2014 --  Washington-a town where the truth is subjective,morals are interchangeable and other people's money gets spent like water
Mon Dec 15 05:28:05 PST 2014 --  There is no such thing as a half lie,a lie is a lie no matter how insignificant. Let's all make the day count.
Mon Dec 15 05:22:47 PST 2014 --  Look to the Lord and His strength;seek his face always. Psalm105-4
Sun Dec 14 16:44:00 PST 2014 --  I get in this weird mood where I don’t want to talk to anybody and just want to be left alone. I call this mood ‘Awake’
Sun Dec 14 13:50:07 PST 2014 --  If a dentist makes his money off people with unhealthy teeth, why should I trust a toothpaste that 4 out of 5 dentists recommend?
Sun Dec 14 09:53:01 PST 2014 --  Me: “My elbow hurts.” WebMD: “Elbow cancer.”
Sun Dec 14 05:54:34 PST 2014 --  In the same way, let your light shine before men,that they may see your good deeds and praise your Father in Heaven. Matthew-5-16
Fri Dec 12 20:52:16 PST 2014 --  Do not let kindness & truth leave you; Bind them around your neck, Write them on the tablet of your heart. -Prov 3:3
Fri Dec 12 05:00:20 PST 2014 --  And now these three remain; faith,hope and love. But the greatest of these is love. 1st Corinthians-13-13
Thu Dec 11 09:25:01 PST 2014 --  Whoever invented self checkout greatly overestimated the general intelligence of the human race.
Thu Dec 11 15:46:10 PST 2014 --  So when is this “old enough to know better” supposed to kick in?
Tue Dec 09 12:19:04 PST 2014 --  Sometimes, the first step to forgiveness is understanding that the other person is an idiot.
Tue Dec 09 11:51:52 PST 2014 --  I wonder how many new Isis recruits Ms Feinstein motivated to enlist today.
Tue Dec 09 11:33:32 PST 2014 --  Ms Feinstein do you realize what you did today? You placed your political party ahead of American lives Shame is not a strong enough word
Tue Dec 09 09:39:00 PST 2014 --  I guess the missing CIA tapes are the same place Eric Holder's Fast and Furious info and Lois Lerner's Emails have gone
Tue Dec 09 08:57:32 PST 2014 --  No country needs enemies when they have a Diane Feinstein
Mon Dec 08 20:14:12 PST 2014 --  The Lefts message. "Don't run to the police. Run to the Criminal."
Mon Dec 08 09:04:18 PST 2014 --  I hate when I’m set on running a yellow light and the person in front of me chickens out.
Mon Dec 08 05:24:38 PST 2014 --  The Lord your God is with you,He is mighty to save.He will take great delight in you,He will quiet you with His love Zephaniah-3-17
Sun Dec 07 16:44:07 PST 2014 --  How many different animals did we have to jump on the backs of before we discovered horses were cool with it?
Sun Dec 07 05:18:12 PST 2014 --  And whatever you do,do it heartily,as to the Lord and not to men. Colossians-2-23
Sat Dec 06 09:57:05 PST 2014 --  "Sneaking into our country doesn't make you an #Immigrant, anymore than breaking into my house makes you part of the family." Questions?
Sat Dec 06 13:50:14 PST 2014 --  Cereal is an acceptable meal at all times of the day.
Fri Dec 05 04:51:15 PST 2014 --  America's birth rate is at an all time low. The legacy of wholesale abortion.
Fri Dec 05 03:25:56 PST 2014 --  Therefore whoever humbles himself as this little child is the greatest in the kingdom of heaven. John-18-4
Thu Dec 04 15:46:08 PST 2014 --  I’ve yet to be intimidated by a fancy wine list thanks to my vast knowledge of fine wines and my eeny, meeny, miny, moe system.
Thu Dec 04 15:17:16 PST 2014 --  So how do you retrain the police to deal with man who resists arrest? Offer to take him to a movie, Ice cream, dinner with a friend?
Thu Dec 04 12:29:19 PST 2014 --  “God has not been trying an experiment on my faith or love in order to find out their quality. He knew it already. It was I who didn't."
Wed Dec 03 14:05:06 PST 2014 --  I can’t hang out tomorrow I’m too busy doing nothing alone sorry.
Wed Dec 03 11:11:01 PST 2014 --  I wish we could donate body fat to those in need.
Wed Dec 03 10:03:23 PST 2014 --  I love Jesus. And no, I don't want to cram it down your throat. But man are you missing out.
Wed Dec 03 09:15:00 PST 2014 --  Dear paranoid people who check behind shower curtains for murderers, if you do find one what’ s the plan?
Wed Dec 03 06:40:12 PST 2014 --  I wait for the Lord,my soul waits,and in His word I put my hope. Psalm-130
Tue Dec 02 04:26:26 PST 2014 --  The eternal God is your refuge,and underneath are the everlasting arms. Deuteronomy-33-27
Tue Dec 02 09:25:05 PST 2014 --  The clearer your conscience, the more likely you are to answer a call from an unknown number.
Tue Dec 02 12:01:41 PST 2014 --  Glad you came! RT @cindyatkins: Loved our time in Atlanta today processing @OCC_shoeboxes pic.twitter.com/XXQ73VMbnZ
Tue Dec 02 06:41:57 PST 2014 --  We help raise million$ for #PRCs who save women & children every day. http://Give.TheRadianceFoundation.org  #prolife #GivingTuesday pic.twitter.com/QTViqc3gZj
Tue Dec 02 12:01:18 PST 2014 --  Your #GivingTuesday donation could give a child life! http://nrlc.cc/12mZ1Qd  #prolife pic.twitter.com/bhk802vonh
Tue Dec 02 12:19:02 PST 2014 --  Relax… We’re all crazy.. It’s not a competition.
Tue Dec 02 13:30:21 PST 2014 --  I’m going to the gym now. Not bragging. Just want you to know where to send the ambulance.
Tue Dec 02 15:46:01 PST 2014 --  There are so many scams on the Internet now-a-days. Send me $19.95 and I will tell you how to avoid them.
Sun Nov 30 11:05:01 PST 2014 --  When you can’t find your phone because you left it someplace stupid like in the car or your non-dominant hand.
Mon Dec 01 02:43:04 PST 2014 --  If it's possible,as far as it depends on you,live at peace with everyone, Romans-12-18
Sun Nov 30 06:36:25 PST 2014 --  He was bruised for our iniquities,the chastisement of our peace was upon Him and with His stripes we are healed. Isaiah-53
Fri Nov 28 13:37:38 PST 2014 --  “If a man thinks he is not conceited, he is very conceited indeed.” ― #CSLewis
Fri Nov 28 07:01:19 PST 2014 --  "...when the wicked rule, the people groan." -Proverbs 29:2b #tcot #UniteBlue
Fri Nov 28 05:34:04 PST 2014 --  Let us then approach the throne of grace with confidence,so that we may receive mercy and find grace to help us in our time of need. Heb-4
Thu Nov 27 08:15:35 PST 2014 --  "...put on love, which binds all virtues together in perfect unity...and be thankful." Col. 3:14-15. Have a wonderful Thanksgiving Day!
Tue Nov 25 15:29:40 PST 2014 --  Should those people who disagree with the Supreme Court's decision on Obamacare take to the streets and loot,burn and destroy neighborhoods
Tue Nov 25 13:12:36 PST 2014 --  Sorry I missed your call. I was busy silently panicking while I waited for it to go to voicemail.
Tue Nov 25 10:41:01 PST 2014 --  First world problems: I couldn’t hear the TV so I had to stop eating chips.
Tue Nov 25 06:20:03 PST 2014 --  'If we ever forget that we're one nation under GOD, then we will be a nation gone under.' -Ronald Reagan http://fb.me/32IoerI9r 
Tue Nov 25 03:54:40 PST 2014 --  You're wrong by evidence, & with that rock in your hand & TV under your arm you don't deserve for us to listen to your opinion. #Ferguson
Mon Nov 24 21:33:12 PST 2014 --  These people are not rioting for justice,there is no justice in destroying innocent people's property
Mon Nov 24 19:02:46 PST 2014 --  "We aren't happy with the jury's decision, let's break in to other people's stores and steal their stuff." Great logic.
Mon Nov 24 09:18:30 PST 2014 --  “To be a Christian means to forgive the inexcusable because God has forgiven the inexcusable in you.” ~ #CSLewis
Mon Nov 24 16:17:03 PST 2014 --  Weird is just a side effect of being awesome.
Mon Nov 24 02:39:17 PST 2014 --  “...I gave in, and admitted that God was God.” ~ #CSLewis
Sat Nov 22 11:05:21 PST 2014 --  Before you decide to spend less time on social media, make sure you go to every social media website and tell everyone.
Sat Nov 22 06:30:36 PST 2014 --  Do not be anxious about anything,but in everything,by prayer and partition,with thanksgiving,present your requests to God. Philippians-4
Fri Nov 21 17:14:42 PST 2014 --  The only people celebrating in America today, are not Americans. The End.
Fri Nov 21 15:57:36 PST 2014 --  Please see the @hallmarkchannel proof of GOD censorship in their Christmas movies here. See 2 videos in same movie. https://www.facebook.com/mrs.scottbaio?fref=nf …
Fri Nov 21 15:21:22 PST 2014 --  THANK GOD @hallmarkchannel you still allow "MERRY CHRISTMAS" in your Christmas movies!!!! #God #CHRISTmas #StopTheGodCensorship
Fri Nov 21 15:10:14 PST 2014 --  Hey @hallmarkchannel WHY must you mute the word "GOD" in your Christmas programs? i.e A Boyfriend For Christmas. I may boycott your network
Fri Nov 21 08:51:11 PST 2014 --  My parents came here from Sicily.Was denied public school until they spoke English with no Gov handouts, & achieved citizenship legally.
Fri Nov 21 05:08:17 PST 2014 --  Jesus looked at them and said,"with man this is impossible,but not with God;with God all things are possible." Mark-10-27
Thu Nov 20 20:00:26 PST 2014 --  I wish Dictator Obama would use executive action to grant amnesty to anyone who is a member of the TEA party. Free up lots of IRS agents!
Thu Nov 20 19:53:04 PST 2014 --  All I’m saying is, you’ve never seen me crying and eating tacos at the same time.
Wed Nov 19 11:11:08 PST 2014 --  MARRIAGE: Betting someone half your stuff that you’ll love them forever.
Wed Nov 19 11:51:29 PST 2014 --  First the Robertsons, now the Duggars targeted by the gay mafia. "How DARE those TV Christians cite the teachings of the Bible!?"
Wed Nov 19 11:59:17 PST 2014 --  Wouldn't you just love, love, love to hear a #debate between a #ProgressiveLiberal and #Jesus? I would.
Wed Nov 19 13:10:09 PST 2014 --  You don’t truly know someone until you see how they react to their bag of chips getting stuck in a vending machine
Wed Nov 19 14:19:52 PST 2014 --  “Everyone thinks forgiveness is a lovely idea until they have something to forgive.” ~ #CSLewis
Wed Nov 19 19:20:23 PST 2014 --  We protect historic landmarks, endangered species, people groups, the list goes on and on... Yet we… http://instagram.com/p/vmzHpCmrdd/ 
Thu Nov 20 02:09:16 PST 2014 --  #NSA - the only part of the Government that LISTENS to us #tcot #TGDN #tlot #CCOT #RedNationRising #PJNET pic.twitter.com/F3xP29Mvpv
Thu Nov 20 02:16:23 PST 2014 --  So has @piersmorgan said anything douchy about the #fsushooting yet? pic.twitter.com/kVm7vQNbHq
Thu Nov 20 05:52:23 PST 2014 --  For if our heart condemns us,God is greater than our heart,and knows all things. 1-John-3-20
Thu Nov 20 08:53:51 PST 2014 --  “Surely what a man does when he is taken off his guard is the best evidence for what sort of man he is.” ~ #CSLewis
Thu Nov 20 12:19:10 PST 2014 --  A jealous woman does better research than the FBI.
Thu Nov 20 13:30:13 PST 2014 --  I’m in shape… Unfortunately that shape is a potato.
Wed Nov 19 14:07:42 PST 2014 --  “Because God has made us for Himself, our hearts are restless until they rest in Him.” ― #StAugustine
Tue Nov 18 15:37:11 PST 2014 --  What do you think the reactions of the world would be if two Jews walked into a mosque and started shooting and hacking?
Tue Nov 18 18:54:00 PST 2014 --  I bet some of you would absolutely kill it in a race where you had to jump over obstacles while looking at your phone.
Tue Nov 18 19:04:44 PST 2014 --  I would bet Obama never got a good old fashion spanking as a child. What else could account for this kind of bad behavior?
Tue Nov 18 21:37:55 PST 2014 --  “Love may forgive all infirmities and love still in spite of them: but Love cannot cease to will their removal.” ~ #CSLewis
Sun Nov 16 05:57:31 PST 2014 --  The mind of man plans his way,but the Lord directs his steps. Proverbs-1619
Sun Nov 16 04:11:45 PST 2014 --  For a so-called Christian church to announce that "we serve the same god" as Muslims is an abominable heresy. http://conservativetribune.com/woman-takes-stand-interrupts/ …
Sat Nov 15 16:59:26 PST 2014 --  3 times this week I've been stopped 5 mins.on my usual route by a long freight train. I now know all the gang nicknames in North America.
Fri Nov 14 11:30:21 PST 2014 --  As Iv'e said." I am so tired of the arrogant using the ignorant to rule the reasonable."
Wed Nov 12 09:04:04 PST 2014 --  Have you ever listened to somebody speak and wonder who ties their shoelaces for them?
Thu Nov 13 04:28:46 PST 2014 --  Dear grumpy people: donuts are only $.99
Thu Nov 13 05:42:12 PST 2014 --  A happy heart is good medicine and a cheerful mind works healing,but a broken spirit dries up the bones. Proverbs-17-22
Thu Nov 13 07:58:30 PST 2014 --  If life is unfair to everyone, doesn’t that make life fair?
Thu Nov 13 10:40:10 PST 2014 --  “When you argue against God you are arguing against the very power that makes you able to argue at all." ~ #CSLewis | #MereChristianity
Thu Nov 13 15:47:03 PST 2014 --  Want the truth? Just ask a kid.
Tue Nov 11 05:37:49 PST 2014 --  Consider it all joy when you encounter various trials,because you know that the testing of your faith develops perseverance. James-1
Tue Nov 11 06:04:49 PST 2014 --  Should have been, "You need to pass the LIE before you find out what's in it."
Tue Nov 11 10:28:01 PST 2014 --  "Freedom is never more than 1 generation away from extinction...must be fought 4, protected & handed on 4 them 2 do the same."-Ronald Reagan
Tue Nov 11 13:14:09 PST 2014 --  See what Phil and Miss Kay say about putting Christ back in Christmas: http://dld.bz/dzXGd  #SavingChristmas opens Friday!
Mon Nov 10 11:27:42 PST 2014 --  Know what was holding back the internet? Not enough government regulation. #NetNeutrality
Mon Nov 10 09:04:01 PST 2014 --  I want to live in a world where the Food Network delivers.
Sun Nov 09 14:12:47 PST 2014 --  "It is a happy moment when our desire crosses with the will of Heavenly Father." ~ #CSLewis
Sun Nov 09 13:56:27 PST 2014 --  So true! #regram #prolife #19kids http://instagram.com/p/vMeGX7Grfw/ 
Sun Nov 09 07:47:31 PST 2014 --  The same guy who told us we could keep our Doctor is telling us not to worry about his dealings with Iran.
Sun Nov 09 05:58:40 PST 2014 --  The Lord is near to all who call on Him,to all who call on Him in truth. Palm-145-18
Fri Nov 07 19:59:03 PST 2014 --  Republicans don't try to rest on your laurels because you ain't got none Get busy
Sat Nov 08 06:53:30 PST 2014 --  Be of good courage,and He shall strengthen your heart,all you who hope in the Lord. Psalm-31-24
Sat Nov 08 09:04:15 PST 2014 --  Celery is 95% water and 100% not pizza.
Fri Nov 07 18:15:38 PST 2014 --  I guess so... pic.twitter.com/Iql93DDMqi
Thu Nov 06 07:10:04 PST 2014 --  My son, keep your father's command & do not forsake your mother's teaching. Pv 6:20 http://is.gd/5wTJbU 
Fri Nov 07 05:59:04 PST 2014 --  For God did not send His Son into the world to condemn the world,but to save the world through Him. John-3-17
Fri Nov 07 07:31:23 PST 2014 --  2 headlines this week about tragic murders of children by their mothers. I'm confused: At what point is it no longer "post-birth abortion"?
Fri Nov 07 12:57:05 PST 2014 --  Inviting Al Sharpton to advise on working with Republicans = giving the American electorate the bird.
Tue Nov 04 15:56:06 PST 2014 --  Hope everyone voted today! Here's the CDB classic, "In America" -TeamCDB http://youtu.be/Hm4_rXQAyLM 
Tue Nov 04 14:43:05 PST 2014 --  I’m suspicious of people who don’t like dogs, but I trust a dog when it doesn’t like a person.
Tue Nov 04 12:04:13 PST 2014 --  “There is but one good; that is God. Everything else is good when it looks to Him and bad when it turns from Him.” #CSLewis #TheGreatDivorce
Tue Nov 04 05:04:31 PST 2014 --  But as for me,I watch in hope for the Lord,I wait for God my Savior;'my God will hear me. Micah-7-7
Mon Nov 03 03:17:17 PST 2014 --  Now godliness with contentment is great gain.For we brought nothing into this world,and it is certain we can carry nothing out. 1-Timothy-6
Sun Nov 02 11:57:02 PST 2014 --  One word I've never had to teach any of my kids: "mine."
Sun Nov 02 11:17:31 PST 2014 --  I always eat potato chips like I just got rescued from a deserted island.
Sun Nov 02 07:21:42 PST 2014 --  Happy 7th birthday to my daughter, my world, & my life. pic.twitter.com/XzY37WzFsn
Sun Nov 02 05:34:53 PST 2014 --  For I will forgive their iniquity,and I will remember their sin no more. Jeremiah-31-34
Sat Nov 01 10:57:05 PDT 2014 --  I'm all for early voting. It should start on May 1st right after tax day. A good idea?
Sat Nov 01 10:11:55 PDT 2014 --  Exodus 14:13-14 Do not fear! Stand by and see the salvation of the #LORD...The LORD will fight for you while you keep silent > #God #Jesus
Sat Nov 01 06:48:29 PDT 2014 --  Every election politicians promise change in Washington and they deliver,it just gets worse and worse.
Sat Nov 01 06:18:42 PDT 2014 --  Salvation is found in no one else,for there is no other name under heaven given to men by which we must be saved, Acts-4-12
Fri Oct 31 10:45:08 PDT 2014 --  #DemocratHorrorMovies Invasion of the Bank Account Snatchers pic.twitter.com/UiyNuPDSa8
Fri Oct 31 01:05:32 PDT 2014 --  Whatever is true, whatever is noble, right, pure, lovely, admirable, excellent or praiseworthy - think of such things. -Phil 4:8
Fri Oct 31 01:05:34 PDT 2014 --  For I know the plans I have for you, declares the LORD, plans to prosper u & not to harm you, plans to give you hope & a future. -Jer 29:11
Thu Oct 30 05:03:44 PDT 2014 --  And my God will meet all your needs according to His glorious riches in Christ Jesus. Philippians-4-19
Thu Oct 30 06:36:03 PDT 2014 --  "It costs God nothing, so far as we know, to create nice things: but to convert rebellious wills cost Him crucifixion." ~ #CSLewis
Thu Oct 30 12:24:01 PDT 2014 --  I'm only a morning person on December 25th
Thu Oct 30 14:52:53 PDT 2014 --  Surely I'm not the only person who would like to see Kaci Hickox spend the rest of her quarantine period in a jail cell.
Mon Oct 27 04:33:04 PDT 2014 --  Give thanks to the Lord,for He is good;His love endures forever. Psalm-107-1
Sun Oct 26 06:31:56 PDT 2014 --  Commit your way to the Lord,trust also in Him,and He shall bring it to pass. Psalm-37-5
Thu Oct 23 14:22:33 PDT 2014 --  The day Al Gore was born there were 130,000 glaciers on Earth. Today, only 130,000 remain. #TBT #ThrowbackThursday pic.twitter.com/MOSIlajW8O
Mon Oct 20 08:06:01 PDT 2014 --  Push for short #Obama speech... [pic] #tcot #tgdn #PJNET #ccot #LNYHBT #SGP #teaparty #RedNationRising #SGP pic.twitter.com/8VgnR0et8P
Wed Oct 22 04:38:28 PDT 2014 --  . @Shaughn_A @AllFlockbinkers The other day I went to trade in some books at a used-books shop, and they asked for my I.D. Obvious racism.
Wed Oct 22 05:11:34 PDT 2014 --  Pleasant words are a honeycomb,sweet to the soul and healing to the bones. Proverbs-15-24
Wed Oct 22 05:22:25 PDT 2014 --  Just what America needed,another political appointee who knows about as much about his job as a hog knows about an airplane
Tue Oct 21 10:22:01 PDT 2014 --  Caterpillars have the ideal life. They eat a lot and then sleep for a while and wake up beautiful.
Tue Oct 21 09:15:43 PDT 2014 --  Hey all you Democrat candidates trying to run away from Obama If you voted for Obamacare you ain't ever get that albatross off your neck
Tue Oct 21 05:38:39 PDT 2014 --  I have set the Lord always before me.Because He is at my right hand,I will not be shaken. Psalm-16-8
Sun Oct 19 14:43:09 PDT 2014 --  “I don’t watch tv” proudly says a person who spend 8 hours a day on the internet.
Mon Oct 20 00:12:59 PDT 2014 --  “Human history is the long terrible story of man trying to find something other than God which will make him happy.” ~ #CSLewis
Mon Oct 20 05:41:18 PDT 2014 --  He will shield you with His wings,they will shelter you,His faithful promises are your armor. Psalm-91
Sat Oct 18 18:38:46 PDT 2014 --  Having FAITH in God means you have faith in His timing.
Sat Oct 18 05:42:58 PDT 2014 --  Again, the address to which you should send a Bible or sermon is: Mayor Annise D. Parker City of Houston P.O. Box 1562 Houston, TX 77251
