Sat Aug 29 02:01:42 PDT 2015 --  Napatawa mo ako ha! Pati officemates ko. #ALDUBMaiDenHeaven https://twitter.com/_CrisPy27/status/637546387345793025 …
Thu Aug 27 19:06:48 PDT 2015 --  " @jeniebeans_SG: IG post ni Kristel. Ambabait ng TeamSarah ngayon pic.twitter.com/IBbELdRKI7"
Thu Aug 27 19:06:31 PDT 2015 --  " @jeniebeans_SG: Hi daw Popsters, sabi ni Kristel of TeamSarah. pic.twitter.com/hKkxWNEHnb"
Thu Aug 27 18:55:30 PDT 2015 --  Random series of dreams that I can't even remember as always.
Thu Aug 27 18:54:35 PDT 2015 --  I just have to be fine...and after that I'll start again.. #Soon
Thu Aug 27 16:05:23 PDT 2015 --  " @jeniebeans_SG: Team Sarah's pride pic.twitter.com/xY6nLXbWhI"
Thu Aug 27 14:21:56 PDT 2015 --  What we see depends mainly on what we look for. #perspective
Thu Aug 27 15:41:21 PDT 2015 --  hi ate @JustSarahG good morning! Just always remember me la-loves you! Have a nice day!
Thu Aug 27 15:40:19 PDT 2015 --  Thank You Lord. I love You always po.
Thu Aug 27 15:39:56 PDT 2015 --  Woke up seeing my sister giggling while watching the kalyeserye episodes last day...LOL
Thu Aug 27 10:01:30 PDT 2015 --  Yung kasimplehan at walang kaartehan nya ang dahilan kung bakit maraming may gusto sa kanya. #ALDUBGettingCLOSER pic.twitter.com/WpLthVHHOQ
Thu Aug 27 15:38:07 PDT 2015 --  Good Morning!
Thu Aug 27 14:25:56 PDT 2015 --  Sarah Geronimo in "Salute" birthday concert performance http://youtu.be/mdLN4AQQ3cA 
Thu Aug 27 15:37:03 PDT 2015 --  " @TopSecretFact: If a friendship lasts longer than 7 years, psychologists say it will last a lifetime." @heinnah_me lam na this haha
Thu Aug 27 10:52:50 PDT 2015 --  but all I really want is to hold you tight.. treat you right currently listening.. LSS ako dito eh might help me na makatulog :)
Thu Aug 27 10:49:38 PDT 2015 --  I am trying every single thing that could definitely pull and lull me to sleep but they are getting ineffective.
Thu Aug 27 10:48:11 PDT 2015 --  Can't sleep :(
Thu Aug 27 10:12:01 PDT 2015 --  Listening to your favorite song before bed can help you sleep better, wake up easier and enhance your mood for the upcoming day.
Thu Aug 27 09:17:55 PDT 2015 --  " @mainedcm: *sigh*" why ate?
Thu Aug 27 08:06:20 PDT 2015 --  I felt so betrayed Ma!
Thu Aug 27 08:05:10 PDT 2015 --  I wish you are still here.. Why is it the pain won't stop? It only gets deeper and deeper? I still can't accept :( pic.twitter.com/IyoWn3wB6X
Thu Aug 27 07:35:19 PDT 2015 --  Anong meron sa nipples ni James Reid? At nasa TL ko LOL Mapanuod nga ang OTWOL Waiting for upload in #iwantv hihi
Thu Aug 27 06:53:16 PDT 2015 --  Hmmm may something na #OTWOLBigHeart pic.twitter.com/eKbsdR7FIi
Thu Aug 27 06:44:48 PDT 2015 --  A Teleserye that not just talk about Love Story. But a Teleserye with Dreams,Hopes and Real Story that really touched you #OTWOLBigHeart
Thu Aug 27 05:56:20 PDT 2015 --  Darren, Kyle, & JK pic.twitter.com/L9mNJqoff3
Thu Aug 27 05:01:24 PDT 2015 --  Kanina ko pa gusto ng Jollibee chicken joy at spaghetti, wala lang mautusan bumili. #BunsoProblems
Thu Aug 27 04:54:49 PDT 2015 --  Doesn't mean I'm laughing so loud I am happy. I can cry and shed a river of tears too. #MissNaMissKoNaNanayKo pic.twitter.com/y4EyIpB56t
Thu Aug 27 04:48:38 PDT 2015 --  Ang loka na ng twitter sa phone ko teka nga baka may update na at kailangan ng magbagong mukha ng ibon.
Thu Aug 20 05:55:49 PDT 2015 --  Hayan nagmeeting na sila for December 4 Concert at Araneta Coliseum Ipon-ipon n at sana di ako masurprise sa price ng tickets!Haha
Thu Aug 27 04:45:35 PDT 2015 --  " @rodmagaru: Voting is CLOSED, we will not accept your vote because you will continue to win in the next 100 season woo."
Thu Aug 27 04:27:30 PDT 2015 --  " @HugotWords: Deep conversations with open minded people >" I am, that's why I need one too!
Thu Aug 27 03:45:19 PDT 2015 --  Keep calm and believe in the plans of the Lord. 🏻
Thu Aug 27 02:28:30 PDT 2015 --  We are doing our best to make you guys laugh and kilig every single day! Kalma lang ha, wag tayo magmadali. Let's just enjoy the show!
Thu Aug 27 04:20:46 PDT 2015 --  Galit ako sa customs! Had a conversation w/my sister earlier nabokya pa tuloy kami.
Thu Aug 27 04:18:10 PDT 2015 --  Itong mga nangungurakot ang sarap niyong ipa-angkin sa China! Hindi kayo kailangan ng bansang Pilipinas! Che!
Thu Aug 27 04:02:03 PDT 2015 --  Nagiging realistic lang po ako. Walang masama doon :D
Thu Aug 27 04:00:52 PDT 2015 --  " @marianadine23: Sobrang ganda talaga eh! © pic.twitter.com/kih0avxVpQ" eng gendeeee....
Thu Aug 27 04:00:34 PDT 2015 --  Napatweet yung dalawa ng keep calm, kasi nga naman pangungunahan pa ba sila? Hindi pa nga nagkikita eh..Kiligin na lang at maging happy.
Thu Aug 27 03:48:03 PDT 2015 --  Kasi naman yung iba gusto agad-agad ang sarap nyo ipa-ampon kay Lola Nidora eh! Nang matutunan nyo ang TAMANG PANAHON sa mg bagay bagay!
Thu Aug 27 03:29:00 PDT 2015 --  " @raymtweets: Bert Lina and the chaos in Bureau Of Customs... btw the bureau remains the most corrupt "
Thu Aug 27 01:47:00 PDT 2015 --  Nike Air Zoom pa more! Kayo ha @mainedcm @aldenrichards02 same taste sa shoes. Yikee! #HappyALDUBWeeksary pic.twitter.com/HiRsKDBfYu
Thu Aug 27 01:37:08 PDT 2015 --  at inaantok pa din ako kahir nakatulog na ako...do I have to get more sleep? hayss.
Thu Aug 27 01:36:01 PDT 2015 --  And I couldn't more imagine what will happen tomorrow especially Jose's tranformation if my guess is right. LOL Lola Tinidora.
Thu Aug 27 01:33:51 PDT 2015 --  And I think si Jose yun, no othet than plus andoon din si Tidora with Lola Nidora..I don't know si Yaya Dub pero hoping na present siya tom.
Thu Aug 27 01:32:51 PDT 2015 --  Nagtaka ang ate ko why suddenly I burst out, laughing. I think Alden won't be in KalyeSerye tom kc nasa Bicol siya so Tinidora would appear.
Thu Aug 20 03:38:21 PDT 2015 --  Vote for Sarah Geronimo in Push Awards 2015! Just visit http://pushawards.com/?_ga=1.236774470.63454153.1440058177 …. Infographic on voting mechanics will be posted soon.
Thu Aug 27 00:10:22 PDT 2015 --  tulog muna ako hihi..
Thu Aug 27 00:08:35 PDT 2015 --  Nagtanong din pala ako sa iba yung ibang votes ni Kyle pumasok pero yung kay Zephanie nganga talaga >.< #ObviousMuch #sharelang
Thu Aug 27 00:06:57 PDT 2015 --  Magkikita na lang ang AlDub wala pa din yung confirmation ng TVK2 sa boto namin :/ #Nakakalungkot kasi talaga.
Thu Aug 27 00:06:02 PDT 2015 --  ayy ganoon? dami na tuloy nadidismaya sa dos!
Wed Aug 26 23:55:34 PDT 2015 --  Ay ugali na talaga ng dos ang mansabotahe sa mga taong kinaiinggitan nila. HAHAHAHA Voicet yan! https://twitter.com/gmanews/status/636767501586567168 …
Wed Aug 26 23:51:50 PDT 2015 --  Sabi ni tatay wala na daw akong ibang alam gawin kundi kumain, mag Sarah at ngayon may bago mag-AlDub naman LOL as if di din siya nanunuod!
Wed Aug 26 23:48:50 PDT 2015 --  Red Ribbon chiffon slice..pasalubong ni ate haha
Wed Aug 26 23:39:30 PDT 2015 --  Just wondering, ilang thousand kaya umaabot ang notifications ni @mainedcm everyday? #HappyALDUBWeeksary
Wed Aug 26 23:39:10 PDT 2015 --  " @mainedcm: Nasa mansyon, masakit ang puson.. sub muna ako. https://twitter.com/frankiearinolli/status/636777890953064448 …"
Wed Aug 26 23:35:42 PDT 2015 --  Oyyy tipid kami ng kuryente sa Sabado at Linggo. Sa Sabado kasi EB lang then sa Linggo WALA!
Wed Aug 26 23:34:09 PDT 2015 --  " @jeniebeans_SG: Okay na eh. Nakamove on na ako. Tas biglang nakita ko to. pic.twitter.com/zbk8GB40Re" tas nandamay ka pa ate huhu T_T
Wed Aug 26 23:21:48 PDT 2015 --  Oops!pahabol lang kanina after sugod bahay gang. Huling huli ang kilig oh! @mainedcm #HappyALDUBWeeksary -HL pic.twitter.com/Euinylxa1C
Wed Aug 26 23:11:43 PDT 2015 --  Oh... :o #SarahMeme pic.twitter.com/u1zKfqbPAS
Wed Aug 26 23:14:28 PDT 2015 --  Gandang afternoon ebribadeh Sa mga nagpapatanung wala po si Sarah sa ASAP sa Sunday! Makakatipid sa kuryente hanggang gabi! Alam na!
Wed Aug 26 23:00:32 PDT 2015 --  todays episode is the best episode ever! agree b kau mga loves? #HappyALDUBWeeksary
Wed Aug 26 23:11:06 PDT 2015 --  " @atyshasarmiento: bf material next to hubby material ohhh @mainedcm @aldubrichards02 #HappyALDUBWeeksary pic.twitter.com/1HPQRpQvbE"
Wed Aug 26 23:10:25 PDT 2015 --  Wahahahaha oy yung wig ni Lola Nidora ibalik nyo!!! Hahaha #HappyALDUBWeeksary
Wed Aug 26 23:09:59 PDT 2015 --  "Iboto nyo ako ng makasagupa ko yan si Alden. Kahit may arthritis ako sasayaw ako." - Lola Nidora #HappyALDUBWeeksary
Wed Aug 26 22:53:00 PDT 2015 --  Yaya Dub wag maharot, nanay at tatay mo nanunuod. Behave ka. #HappyALDUBWeeksary
Wed Aug 26 23:03:15 PDT 2015 --  " @mainedcm: Yaya Dub wag maharot, nanay at tatay mo nanunuod. Behave ka. #HappyALDUBWeeksary" yaya Dub talaga ate? Di'ba dapat Maine? Haha
Wed Aug 26 23:01:32 PDT 2015 --  Eh kasi si Alden hiniling naman niya yun eh..diba sabi niya "Hopefully this 2015, sana lovelife." LOL #HappyALDUBWeeksary
Wed Aug 26 22:35:57 PDT 2015 --  "Aktingan lang ito, Alden! Huwag ka namang ano!" - Lola Nidora. Ako naman ang tiklop dito! Ang husay mo Lola! #HappyALDUBWeeksary
Wed Aug 26 22:44:15 PDT 2015 --  "Yaya Dub totoo na yan ha!" - Tito Sen "Yaya Dub parang totoo na yan ah. Iba na tawa mo" - Joey #HappyALDUBWeeksary
Wed Aug 26 22:52:33 PDT 2015 --  " @nancylandicho98: Dami kong tawa talaga sa aldub esp wally mga 6366 hahahahaha ulit 6366 hahaha... Maryosep"
Wed Aug 26 22:49:03 PDT 2015 --  Binubuking na si Alden ng mga co-host niya #HappyALDUBWeeksary Si Maine kasi genuine at consistent yung kilig right from the start(day 1).
Wed Aug 26 22:45:43 PDT 2015 --  Kinikilig pa din ako hanggang ngayon letse totohanan na eh haha #HappyALDUBWeeksary
Wed Aug 26 22:32:41 PDT 2015 --  Hahahaha kay Maine daw oh! Tinatanong ni lola oh kung seryoso daw kay ate Maine? Haha #HappyALDUBWeeksary
Wed Aug 26 22:30:08 PDT 2015 --  Oyyy biglang nagpigil ng kilig si ate Maine haha #HappyALDUBWeeksary
Wed Aug 26 22:25:09 PDT 2015 --  Totoo na kilig ni ate Maine kaloka hahHa #HappyALDUBWeeksary
Wed Aug 26 22:22:47 PDT 2015 --  Puro mga lalaki kasama ko nanunuod ng #HappyALDUBWeeksary
Wed Aug 26 22:08:54 PDT 2015 --  Hilong hilo na ako sa amoy ng pintura dito sa baba pero andito ang TV kaya tiis pa more mapanuod lang lol #HappyALDUBWeeksary
Wed Aug 26 21:29:59 PDT 2015 --  Prayer is the best weapon to any battle.. Thank You Lord..I love You po always...
Wed Aug 26 21:25:54 PDT 2015 --  Wala siyang.... Work lang talaga..ohooooy...okay buti na lang si ate pinakalove ko...
Wed Aug 26 21:24:02 PDT 2015 --  Ay wala toh :(((
Wed Aug 26 20:42:01 PDT 2015 --  Missing Manilaaa! Pabebe wave with @devonseron17 n @imJORIC pic.twitter.com/Gl9O10i10O
Wed Aug 26 20:39:13 PDT 2015 --  Magaganda talaga mga taga Bulacan hihi.. #SanJoseDelMonte
Wed Aug 26 20:36:56 PDT 2015 --  Baho nagpipintura sa baba huhu kaso magtitiis na lang ako maamoy kasi nasa baba TV eh...
Wed Aug 26 18:53:21 PDT 2015 --  I LOVE YOU
Wed Aug 26 18:16:27 PDT 2015 --  pic.twitter.com/MtNN0DYaEw
Wed Aug 26 18:05:04 PDT 2015 --  Excited na 'ko, @JustSarahG! #DecemberConcert pic.twitter.com/ZJc2gshhQK
Wed Aug 26 18:24:26 PDT 2015 --  " @iraxsg: hihii sorry na 🏼️ pero cute mo kasi @JustSarahG pic.twitter.com/QvxPl3tfpe"
Wed Aug 26 17:29:14 PDT 2015 --  'Pag ganito naman ang ka-text mo, ewan ko na lg. 'No nga, Maria Ericka Loida? @STARringEricka? HAHAHAHA. pic.twitter.com/CYbesvgUhD
Wed Aug 26 17:11:41 PDT 2015 --  1 Million views na!!! Keep on watching Popsters. Sarah Geronimo in "Salute" birthday concert performance https://youtu.be/mdLN4AQQ3cA 
Wed Aug 26 14:01:33 PDT 2015 --  Nothing is impossible with God - Retweet if you agree. pic.twitter.com/a9tkBlfcxD
Wed Aug 26 17:06:34 PDT 2015 --  BALITA KO MAY SAKIT SI YAYA? PAG NAKAKAKITA NG PANGIT HINIHIMATAY? PAG PRAY NATIN SIYA MAMAYA. #HappyALDUBWeeksary pic.twitter.com/7wp3pd8x4T
Wed Aug 26 17:07:48 PDT 2015 --  " @Notebook: Are you brave enough to not let your dreams be dreams anymore?" I hope so...
Wed Aug 26 17:05:22 PDT 2015 --  Nakatulog ulit ng 1 hr. I hope sapat na yun pambawi sa araw-araw kong pagkapuyat
Wed Aug 26 15:51:36 PDT 2015 --  Malapit nang mabuo Triplets! Malapit nang magkita AlDub! Malapit na tamang panahon! Malapit nang magsara..ah hindi tayo! #HappyALDUBWeeksary
Wed Aug 26 14:46:29 PDT 2015 --  " @aldenrichards02: Alone in silence = Calm mind. "
Wed Aug 26 14:45:47 PDT 2015 --  Thank You Lord...
Wed Aug 26 14:33:15 PDT 2015 --  Everytime I'm checking the trendlist #HappyALDUBWeeksary is always on the top trending topic.
Wed Aug 26 14:30:41 PDT 2015 --  " @Notebook: Your weird goes well with my weird." more than odd..
Wed Aug 26 14:29:49 PDT 2015 --  " @jeniebeans_SG: I kennat! #lipbite #OPPOTVCShoot #SarahG #BTS pic.twitter.com/vGwNzw4UNz" favorite mannerism hihi
Wed Aug 26 14:29:17 PDT 2015 --  And just like the air, didn't notice the light approaching already poooof! It's 5:27am agad? Oh time why so fast?
Tue Aug 25 20:30:04 PDT 2015 --  Really nice kids, just like their Coach Sarah @JustSarahG @imkylejohn @zeph21403 pic.twitter.com/fHeRBIwWDf
Wed Aug 26 14:19:29 PDT 2015 --  " @mainedcm: @reezabells kung pili lang kay lola, sakin pwede pili tart? Haha thanks reezaballs!"
Wed Aug 26 14:18:10 PDT 2015 --  This!!!! Hoho! #Malapit na daw ang tamang panahon :3 (c) pic.twitter.com/Jrf5rVu00c
Wed Aug 26 14:08:50 PDT 2015 --  " @mainedcm: do you ever wonder if the stars shine out for you? "
Wed Aug 26 14:08:46 PDT 2015 --  " @mainedcm: @nicoletteannmc tulog ka na, mapupuyat si Kokey! "
Wed Aug 26 14:08:39 PDT 2015 --  " @mainedcm: 3 million in 24 hours #wowowowowow"
Wed Aug 26 14:02:12 PDT 2015 --  Feeling bloated ako nakakasuka..seryoso! Natatandaan ko pa naman di ako nagdinner kagabi #nausea >.<
Wed Aug 26 13:55:57 PDT 2015 --  Good Morning! :)
Wed Aug 26 13:53:09 PDT 2015 --  " @jeniebeans_SG: http://www.abante-tonite.com/issue/aug2615/showbiz_others03.htm#.Vd2OFGZ7oBU.twitter@JustSarahG …"
Wed Aug 26 08:55:58 PDT 2015 --  Yeah pic.twitter.com/InSBeaDo1K
Wed Aug 26 07:18:24 PDT 2015 --  Goodnight..
Wed Aug 26 07:18:03 PDT 2015 --  Yung admin naman ng FP ni ate Sarah kung anu-anong pinagpo-post na hindi naman related sakanya..nakakabwisit lang tss!
Wed Aug 26 07:15:13 PDT 2015 --  Ayoko na....ang hirap huminga.. :( ano ba nangyayari sa akin? Tss..
Wed Aug 26 07:11:24 PDT 2015 --  Anyayareeh sa #OTWOL ? Abangers later sa iwantv hihi
Wed Aug 26 07:06:29 PDT 2015 --  Oh my gassshhh grabe nahihirapan talaga ako huminga T_T
Sun Aug 09 22:52:05 PDT 2015 --  Midi Skirts and Off the Shoulders. Who looked the best? RT for Liza Soberano, FAVE for Kathryn Bernardo pic.twitter.com/zLB0DDlnYU
Wed Aug 26 07:04:32 PDT 2015 --  " @pat143SGeronimo: Sarah G Live in Palawan @JustSarahG pic.twitter.com/9algWOoMbE"
Wed Aug 26 07:03:10 PDT 2015 --  Can't breathe properly :(
Wed Aug 26 06:58:40 PDT 2015 --  " @jeniebeans_SG: Winner! Hahaha Comedy ata ang tvc na to #OPPOTVCShoot #SarahG #BTS pic.twitter.com/zK20s76btw"
Wed Aug 26 06:56:49 PDT 2015 --  " @ShitHappensDre: I respect those that tell me the truth, no matter how hard it is."
Tue Sep 17 07:42:17 PDT 2013 --  Gusto ko ng wrinkles pic.twitter.com/3RGbf6HqQZ
Wed Aug 26 03:22:26 PDT 2015 --  " @HugotWords: We don't lose friends, we just learn who our real ones are."
Wed Aug 26 03:21:13 PDT 2015 --  " @TopSecretFact: " Sometimes the eyes can say more than the mouth.""
Wed Aug 26 02:27:51 PDT 2015 --  Nakuha ko din yung yum burger ng Jollibee may spag pa hihi.. #SalamatTay
Wed Aug 26 02:08:02 PDT 2015 --  Forgiveness actually has health benefits! It can reduce the risk of heart attacks and slow the spread of cancer.
Wed Aug 26 02:18:49 PDT 2015 --  " @marianadine23: I liked a @YouTube video http://youtu.be/PAneJykuN9g?a  Cute little boy reaction on the voice kids2 result"
Wed Aug 26 02:18:14 PDT 2015 --  " @marianadine23: @JustSarahG x Rio pic.twitter.com/BBUv5JXGqX"
Wed Aug 26 02:17:53 PDT 2015 --  " @jeniebeans_SG: Mabuti pa ang aso no? Inggit na sila.. ako din naman pic.twitter.com/Lp9tHhe5yU"
Wed Aug 26 02:17:35 PDT 2015 --  " @ThisIsAaronPaul: An open letter to @JustSarahG ...please help me get this note to her! Thanks guys! pic.twitter.com/7aT6foGnZ5"
Wed Aug 26 02:16:36 PDT 2015 --  " @_somedayinparis: BTS: Sarah Geronimo's OPPO Mirror 5 TVC shoot http://youtu.be/123YewwaNX4 "
Wed Aug 26 00:58:27 PDT 2015 --  " @_michaela_ph: It's a "Man's Best friend Day"! Take a selfie with your dog and share :) @QueenSGKnights @popsters25 pic.twitter.com/eSFCPf0j2X"
Wed Aug 26 00:57:17 PDT 2015 --  Simple pero Astig! Throwback pa more! what are you waiting for? Follow na! -MC #ALDUBAngLihimNiLOLA pic.twitter.com/OR7zZaM3jc
Wed Aug 26 02:15:54 PDT 2015 --  " @jeniebeans_SG: Tsinelas #OPPOTVCShoot #SarahG #BTS pic.twitter.com/6W7uiAxX08"
Wed Aug 26 02:15:41 PDT 2015 --  " @HugotWords: RIP to my sleeping schedule."always
Wed Aug 26 00:26:18 PDT 2015 --  " @jeniebeans_SG: Luh. Ang kyooooot! #OPPOTVCShoot #SarahG #BTS pic.twitter.com/Xmk0smgi29"
Wed Aug 26 00:48:21 PDT 2015 --  Pabebe tounge ahaha! More and More TB, follow na! Andito ang throwbacks! san ka pa?! -MC #ALDUBAngLihimNiLOLA pic.twitter.com/amBoqb8cLp
Wed Aug 26 02:15:03 PDT 2015 --  " @gerliefloresca: Ate Sars, ang ganda ganda mo pa din kahit ganyan yang buhok mo! Hahaha iloveyouuuu! pic.twitter.com/lG3RS8w0NA"
Wed Aug 26 01:06:33 PDT 2015 --  TRIPLE Laughter tomorrow! That's how talented @EatBulaga Host's are! #ALDUBAngLihimNiLOLA pic.twitter.com/upLrukh9mS
Wed Aug 26 01:11:00 PDT 2015 --  The Powerpuff Girls! Throwback! #ALDUBAngLihimNiLOLA pic.twitter.com/pgwHSK9IZa
Wed Aug 26 01:21:06 PDT 2015 --  @mainedcm @EatBulaga say hello to your mom? #ALDUBAngLihimNiLOLA pic.twitter.com/AVahrwSp1Y
Wed Aug 26 01:56:14 PDT 2015 --  THROWBACK PICTURE The Three Plets... #ALDUBAngLihimNiLOLA pic.twitter.com/tUgtujM1cc
Wed Aug 26 00:13:12 PDT 2015 --  Ewan ko sayo Rio! #OPPOTVCShoot #SarahG #BTS pic.twitter.com/9oz42B7nn5
Wed Aug 26 00:13:29 PDT 2015 --  paiba-iba ang boses nito ni ate Maine haha naiibahan ako dito pero ang ganda https://www.facebook.com/IamLolaNidora/videos/450987711747327/?fref=nf …
Tue Aug 25 23:34:51 PDT 2015 --  Hi. Hello. pic.twitter.com/8KjPJho0J7
Tue Aug 25 23:04:57 PDT 2015 --  JOWAPAO effortlessly carried the show today without AlDUB. Powerpuff Girls bukas tahahaha :) #ALDUBAngLihimNiLOLA
Tue Aug 25 23:28:35 PDT 2015 --  Ako ata yung mas nai-stress sa pagkalat ng mga laman ng diary ni lola Nidora. Please tama na :P #ALDUBAngLihimNiLOLA pic.twitter.com/XEsmbKQYcs
Tue Aug 25 23:19:20 PDT 2015 --  JOWAPAO MAY NOT BE THE NEXT TVJ, BUT THEY WILL UNDENIABLY CONTINUE WHAT THE LEGENDS STARTED. #ALDUBAngLihimNiLOLA
Mon Aug 24 20:34:37 PDT 2015 --  Doing final touch up for SG justsarahg @oppophilippines #behindthescene #tvc #latepost #SarahG.… https://instagram.com/p/6ypuzQuIr-/ 
Tue Aug 25 23:09:55 PDT 2015 --  Excuse po sa mga non-AlDub fan about my tweets about them. Gusto ko talaga sila lalo si ate Maine..
Tue Aug 25 23:07:48 PDT 2015 --  I already expected na wala si ate Maine obvious naman kahapon but nevertheless they had delivered a good episode today #ALDUBAngLihimNiLOLA
Tue Aug 25 22:52:53 PDT 2015 --  Si Jose ang nanay ni Yaya Dub?! Twists here, twists there, twists everywhere. This #KalyeSerye gets more interesting #ALDUBAngLihimNiLOLA
Tue Aug 25 22:54:36 PDT 2015 --  Si Yaya Dub ay pamangkin ni Tidora at Nidora! Anak si Yaya Dub ng isa pa nilang kambal! #ALDUBAngLihimNiLOLA
Tue Aug 25 23:03:49 PDT 2015 --  " @mainesadmirer: OMG triplets sila! hahaha Pamangkin pala ni Lola NiDora si YayaDub! ang inagawan ata nila.ng Yaman?! #ALDUBAngLihimNiLOLA"
Tue Aug 25 22:52:16 PDT 2015 --  Laughtrip yung reaction ni Jose nung sinabi na may isa pa kambal si lola nidora at tidora! Hahahaha! @mainedcm - AS #ALDUBAngLihimNiLOLA
Tue Aug 25 22:24:06 PDT 2015 --  Wala masyadong katao-tao haha #ALDUBAngLihimNiLOLA
Tue Aug 25 22:22:51 PDT 2015 --  " @ShitHappensDre: We met for a reason, either you’re a blessing or a lesson."
Tue Aug 25 22:22:21 PDT 2015 --  KalyeSerye na wiw. #ALDUBAngLihimNiLOLA
Tue Aug 25 22:12:04 PDT 2015 --  How about this guys?! The prettiest? right? @mainedcm ,kaya follow na for more throwbacks! -MC #ALDUBAngLihimNiLOLA pic.twitter.com/pL7eMtplE3
Tue Aug 25 22:17:48 PDT 2015 --  " @MaiDen4lyf_: Dakak? Where na you? Traffic? #ALDUBAngLihimNiLOLA" haha trademark lol
Tue Aug 25 22:02:23 PDT 2015 --  Kain na hihi..puro gulay..my gashh may pinaglalaban sila ate about healthy eating :P
Tue Aug 25 21:45:40 PDT 2015 --  Tagaaal ng pagkain nagugutom na ako. Waiting for fooooood... Bakit kasi ang late magluto ni ate? *toinks*
Tue Aug 25 21:41:54 PDT 2015 --  Spoiler... Gusto kong jollibee reg burger at choco sundae ng McDo hayyss T_T carbonarra too.. Ano ba ito?
Tue Aug 25 21:34:26 PDT 2015 --  Sakit ng puson ko :( but I'm taking my med naman, why is that?
Tue Aug 25 20:47:28 PDT 2015 --  A teen-based fandom is going against an ageless fandom. Mga anak, we're not here to compete. Love, love to all. #ALDUBAngLihimNiLOLA
Tue Aug 25 21:05:35 PDT 2015 --  " @SenyoraTidora: NENE DAYS. #ALDUBAngLihimNiLOLA pic.twitter.com/2Ur8QhGvsL" wahahahaha
Tue Aug 25 21:00:04 PDT 2015 --  Stay tune Guys! Malapit na ang EB and of course Kalyeserye Juan for more and more for more! #ALDUBAngLihimNiLOLA -MC pic.twitter.com/I1imw0SG1G
Tue Aug 25 21:00:06 PDT 2015 --  #Gemini didn't change, they just became a clearer version of who they really are.
Tue Aug 25 21:02:18 PDT 2015 --  Paulit-ulit yun lol di ko pa pala na include photo ahahahaha
Tue Aug 25 21:01:24 PDT 2015 --  Akala ko nagtampo na din siya @heinnah_me hihi #ThisMadeMyMorning pic.twitter.com/inwy1WLGTA
Tue Aug 25 20:43:03 PDT 2015 --  5 days suffering from sore eyes. Hanubayan bihira nga ako tamaan ng mga ganito pero grabe naman kapag mayroon T_T
Tue Aug 25 20:40:32 PDT 2015 --  Why do I feel like collapsing? .:/
Tue Aug 25 20:32:20 PDT 2015 --  Ang sabi ko sa ate ko bago sila mag grocery ibili ako ng something na matamis hindi maalat pic.twitter.com/bVR6I9D4Uf
Tue Aug 25 20:29:22 PDT 2015 --  Grabe ang manyak manyak nung follower na yun. Block ka agad!
Tue Aug 25 20:18:14 PDT 2015 --  Aww cute Nate loves Yaya Dub @mainedcm @reginevalcasid: Hala aagawin nya daw si YayaDub https://instagram.com/p/61GBYUIX3t/ " #ALDUBAngLihimNiLOLA
Tue Aug 25 20:23:04 PDT 2015 --  Oo ya! Wala kang kasalanan INOSENTE ka! Nagmi-mikmik ka lang lol #ALDUBAngLihimNiLOLA pic.twitter.com/mQ6Hvk7iTk
Tue Aug 25 20:21:38 PDT 2015 --  This tho' the kilig feels was evident here :P pic.twitter.com/bx8a4N7ZRg
Tue Aug 25 20:20:17 PDT 2015 --  Wow! Ang galing ng pagkaka-edit! 2 thumbs up! #ALDUBAngLihimNiLOLA pic.twitter.com/sP6zQQV0bd
Tue Aug 25 20:13:59 PDT 2015 --  TWO POINT FIVE MILLION VIEWS AND COUNTING @mainedcm 's LATEST DUBSMASH VIDEO #ALDUBAngLihimNiLOLA pic.twitter.com/Gv6PkiHGXm
Tue Aug 25 20:14:39 PDT 2015 --  Yoooou would never ask me whyyyyyy my heart was so disguiiiised....woooooooo haha #ALDUBAngLihimNiLOLA
Tue Aug 25 20:18:30 PDT 2015 --  " @ALDUBPILIPINAS: RT for this ? #ALDUBAngLihimNiLOLA pic.twitter.com/MlyBmOHj3Q" my gas abelgas! Tama na!
Tue Aug 25 20:01:02 PDT 2015 --  The human mind spends up to 80% of it's time creating scenarios &amp; imagining things that may never happen.
Tue Aug 25 19:33:19 PDT 2015 --  RT sa mga naeexcite sa KALYESERYE mamaya! Nkakaconfuse kung ano mangyayari. #ALDUBAngLihimNiLOLA
Tue Aug 25 20:12:52 PDT 2015 --  " @aldubmaiden: Ang siga ni @mainedcm oh! Hahaha palag kayo ha!? Haha #ALDUBAngLihimNiLOLA pic.twitter.com/svhlRTELix"
Tue Aug 25 19:33:42 PDT 2015 --  How Many RTs For This ? #ALDUBAngLihimNiLOLA pic.twitter.com/VncpU818x6
Tue Aug 25 20:08:50 PDT 2015 --  " @ShitHappensDre: Never be afraid of change. You may lose something good, but you may gain something even better." this!
Tue Aug 25 20:08:30 PDT 2015 --  " @Notebook: Overthinking can cause unwanted emotions."
Tue Aug 25 20:06:25 PDT 2015 --  " @Notebook: Never give up on something you really want. It's difficult to wait, but worse to regret."
Tue Aug 25 17:00:57 PDT 2015 --  Try to see the good in everyone.
Tue Aug 25 20:05:18 PDT 2015 --  Thanks God! I'm glad na feeling ko ang bilis ko natapos maglaba. Saludo na talaga ako sa ma labandera huhu di biro mag handwash eh
Tue Aug 25 15:42:18 PDT 2015 --  I don't hate my dream but I just don't like it. #Horror ba naman?
