Fri Aug 28 08:00:18 PDT 2015 --  pic.twitter.com/HxBJSgxHCK
Sat May 02 16:20:58 PDT 2015 --  RT and follow for a chance to win the prototype Pop! Thor - all hail the God of Thunder! pic.twitter.com/z1UOHpbaY5
Sat May 02 16:00:03 PDT 2015 --  ♫ Just imagine how much cooler I'll be in summer. ♫ pic.twitter.com/mYW6iqRHX9
Sat May 02 14:55:03 PDT 2015 --  Cool tribute @DangeRussWilson @RSherman_25 @DougBaldwinJr @MoneyLynch24 @Earl_Thomas pic.twitter.com/yzP96tIb3p
Fri May 01 11:09:46 PDT 2015 --  Lets's do it again! RT and follow for a chance to win this Iron Man Pop! prototype. It's 1 of a kind and super cool! pic.twitter.com/qmx8EKaAtg
Fri May 01 08:35:10 PDT 2015 --  shes my #WCW but everyday all day https://twitter.com/megastyleph/status/594077447827525632 …
Thu Apr 30 18:31:31 PDT 2015 --  How many big macs do we get when the @chicagobulls win by 50?
Thu Apr 30 16:53:24 PDT 2015 --  RT @TheCauldron: @SarahSpain https://vine.co/v/ezPguz0hjAz 
Thu Apr 30 16:48:26 PDT 2015 --  The #Bucks right now... pic.twitter.com/02vTTytYk8
Thu Apr 30 14:26:40 PDT 2015 --  Excited to see who @ChicagoBears will draft tonight. really hoping for either one of these guys or mariota i guess pic.twitter.com/xpAuXoDhAg
Thu Apr 30 11:30:18 PDT 2015 --  Mike Tyson had some harsh words for Floyd Mayweather. pic.twitter.com/mzIu9jUYhr
Thu Apr 30 11:01:12 PDT 2015 --  Take your pick in SC's week-long Twitter vote: RT if you think Manny #PacquiaoWins against Floyd Mayweather on May 2. pic.twitter.com/bY7iTvIdgE
Thu Apr 30 10:21:44 PDT 2015 --  #TysonBeingTyson https://twitter.com/hisandhers/status/593823073134051328 …
Thu Apr 30 09:17:10 PDT 2015 --  Marvel TV Phase 2: Punisher Series Coming To Netflix http://www.monkeysfightingrobots.com/marvel-tv-phase-2-punisher-series-coming-to-netflix/ … pic.twitter.com/nhja3Jz9fw
Thu Apr 30 07:03:35 PDT 2015 --  In 1985, The #Bears drafted a Refrigerator at number 22 in the first round. #ChicagoHistory #NFLDraft #DraftDay pic.twitter.com/UfaSn87jlk
Thu Apr 30 08:47:31 PDT 2015 --  RT & follow for a chance to win the original, one of a kind Pop! Hulkbuster prototype - 1 random winner chosen here! pic.twitter.com/aMZfbMnQeK
Tue Apr 28 21:45:42 PDT 2015 --  My mom named me after christopher reeves and when I see superman I see this everytime #nationalsuperheroday pic.twitter.com/OGvfOPd5tM
Tue Apr 28 17:45:37 PDT 2015 --  You made Jack and Jill, PAY ME SOME DOLLA BILLS!!! https://twitter.com/danieltosh/status/593214110797443072 …
Tue Apr 28 10:31:29 PDT 2015 --  "I can name 7 or 8 terrific fights that Pacquiao was in… I dare you to name 2 that Mayweather was in." Larry Merchant pic.twitter.com/HllGyJb8nW
Tue Apr 28 10:23:56 PDT 2015 --  It's #NationalSuperheroDay! #UNITE!! And drop a beat... pic.twitter.com/vQog01xnno
Tue Apr 28 08:11:03 PDT 2015 --  Today in Geek History: @FantasticFour actress Jessica Alba was born in 1981. Happy birthday to the Invisible Woman! pic.twitter.com/4DhXXQla4t
Mon Apr 27 15:45:22 PDT 2015 --  The basketball gods shine upon the bulls #BullsNation https://twitter.com/sportscenter/status/592813232441663491 …
Sun Apr 26 18:37:44 PDT 2015 --  From the #WWEApp: Nikki and Brie support the @ChicagoBulls and @NHLBlackhawks! #ExtremeRules @BellaTwins pic.twitter.com/9gApPAKg85
Sun Apr 26 18:00:27 PDT 2015 --  Pretty much. pic.twitter.com/kRK8FKWjiL
Sun Apr 26 16:24:43 PDT 2015 --  Real recognize real , Alex Gordon left me like. side note tho, got the dub now off to keep it Rollin in Baltimore pic.twitter.com/Hx1gcSLw94
Sun Apr 26 17:18:19 PDT 2015 --  Also shout out to Jesse DeStasio of @Toy_Pizza for taking time to talk about funkos and figuarts with me. Truly a pleasure #C2E2
Sun Apr 26 17:16:53 PDT 2015 --  Another great year at @c2e2. Spent time with great friends and saw people that I havent seen forever. See you next year Nerd Xmas
Sun Apr 26 15:38:04 PDT 2015 --  thnks fr th mmrs @c2e2 pic.twitter.com/imbXOsLSec
Sat Apr 25 20:54:53 PDT 2015 --  Rampage still has it! Quinton 'Rampage' Jackson beats Fabio Maldonado by decision in 1st UFC fight in 2 years. pic.twitter.com/gEAgZ3gkP2
Sat Apr 25 18:06:16 PDT 2015 --  pic.twitter.com/NXEb9YCVvM
Sat Apr 25 14:34:50 PDT 2015 --  Saw the homie Tiny Lister at ESPN yesterday. pic.twitter.com/VC6bEND3YK
Sat Apr 25 14:05:57 PDT 2015 --  Dwights new free throw line #NoMoreHackAHoward https://twitter.com/nba/status/592051945008934912 …
Sat Apr 25 12:35:39 PDT 2015 --  Bringing out the Js for my nephews bday. Whats that u say? Its raining outside? Last shots it is #ShoeGameOnFleek pic.twitter.com/9Oi5jJ7BaS
Sat Apr 25 10:07:56 PDT 2015 --  Happy birthday EJ!!! Time to spoil the nephew pic.twitter.com/hAthJ01phV
Fri Apr 24 20:28:35 PDT 2015 --  Joker: I want the word "Damaged" tattooed on my forehead! Hahaha! Tattoo artist: Font? Joker: Allura cursive, please! Hahahaha!
Fri Apr 24 21:29:45 PDT 2015 --  After my long day of drinking, roaming the @c2e2 floor, and spending lots of money on neato action figures i think its time for some tv
Fri Apr 24 20:34:56 PDT 2015 --  Psssh who needs the apple watch when I have this bad boy right here #TheFuture pic.twitter.com/MqFGIhBsQr
Fri Apr 24 18:47:31 PDT 2015 --  Im super terrified, in a great way https://twitter.com/kotaku/status/591779291496579072 …
Fri Apr 24 11:49:45 PDT 2015 --  Turnt up at @c2e2 pic.twitter.com/lhFkcGVcXt
Fri Apr 24 08:29:25 PDT 2015 --  Awesome tattoo, must really suck when they reboot stuff and u gotta start over #JK https://twitter.com/noobde/status/591624694928838656 …
Fri Apr 24 08:25:18 PDT 2015 --  You go playa, your the peoples champ today! Congrats! https://twitter.com/c2e2/status/591621527533137920 …
Thu Apr 23 18:27:22 PDT 2015 --  Bulls take the lead! Bulls fans right now #dabullsdabullsdabullsdabulls pic.twitter.com/qCoCfhz9lW
Thu Apr 23 14:40:48 PDT 2015 --  I am cause I live here https://twitter.com/skottieyoung/status/591352163701366784 …
Thu Apr 23 12:54:05 PDT 2015 --  Happy #ThrowbackThursday, meatbags. #Futurama #TBT pic.twitter.com/p6XXCFTTyz
Thu Apr 23 08:17:58 PDT 2015 --  Im all in for @DCComics initiative for young girls but im gonna need an explanation to poison ivys flying leaf pic.twitter.com/3j3756eFT4
Wed Apr 22 08:10:36 PDT 2015 --  Only 2 more days! Are you ready #Chicago?! #C2E2 pic.twitter.com/U7Yy8wCxw4
Tue Apr 21 23:18:18 PDT 2015 --  Both goalies were outstanding. But ours was Darling. #HAWKSWIN
Tue Apr 21 19:33:56 PDT 2015 --  Last day of watching my sister aka "the crazy cat ladies" cats. Then i will finally be able to breath again pic.twitter.com/rdhiUMFndc
Tue Apr 21 19:30:41 PDT 2015 --  Okay to not know. But when you don't know, yet think you know, and wield power in that ignorance, it's a recipe for disaster.
Tue Apr 21 18:05:59 PDT 2015 --  The only way to do a three way is with pizza. #Undateable pic.twitter.com/dnSYK6rikp
Tue Apr 21 11:04:23 PDT 2015 --  Groddsmack #ComicsBands pic.twitter.com/ITRQwewqFz
Tue Apr 21 10:26:31 PDT 2015 --  #ComicsBands Metalloca!!!!! pic.twitter.com/qJ4T98hpj3
Tue Apr 21 10:16:55 PDT 2015 --  Fancy Taco Bell Just Opened in Tokyo now @coollead can get his fix anytime! http://kotaku.com/fancy-taco-bell-just-opened-in-tokyo-1699152313 …
Mon Apr 20 17:42:54 PDT 2015 --  On this day in 1986 the G.O.A.T. dropped a playoff record 63 points against the Celtics, and this is how Larry Bird… pic.twitter.com/MUfd65i0NX
Mon Apr 20 16:12:40 PDT 2015 --  That moment when... pic.twitter.com/468HB7XLpo
Mon Apr 20 15:43:40 PDT 2015 --  Forreals though do we really need a Jollibee in chicago? I didnt know filipinos were dying to eat it that much
Mon Apr 20 10:00:06 PDT 2015 --  That's what's Up. pic.twitter.com/cZ4xS3XK4A
Sun Apr 19 22:57:52 PDT 2015 --  Retweet if your team took a 1-0 lead this weekend @cavs @ATLHawks @memgrizz @LAClippers @WashWizards @warriors @chicagobulls @HoustonRockets
Sat Apr 18 22:36:44 PDT 2015 --  Derrick Rose is BACK in the playoffs for the first time in 3 YEARS. #TheReturn #Bulls pic.twitter.com/vq3FlGgzT1
Sat Apr 18 15:35:02 PDT 2015 --  Machida and Rockhold have arrived at @PruCenter! #UFConFOX pic.twitter.com/oiGhni6Urn
Sat Apr 18 12:51:36 PDT 2015 --  Steph Curry taking on Anthony Davis & the New Orleans Pelicans. #SorryPelicans pic.twitter.com/sNkBOd9ZdZ
Sat Apr 18 08:26:34 PDT 2015 --  Messiah aliens and brooding vigilantes get blocky in the LEGO Superman V. Batman teaser. http://bit.ly/1CZf9Bn  pic.twitter.com/yLMyW9O9nO
Fri Apr 17 21:17:27 PDT 2015 --  Blackhawks fans, right about now. #CHIvsNSH pic.twitter.com/HfWNrBFtcL
Fri Apr 17 15:44:35 PDT 2015 --  #BatmanvSuperman #NotBlurry #NotPirated https://amp.twimg.com/v/32974fe5-dc4e-42bf-a586-c0cadf67796e …
Thu Apr 16 11:50:32 PDT 2015 --  #tbt when @BookerT5x became @WWE's resident Jedi. #ObiBookKenobi #StarWarsCelebration http://wwe.me/LI4rs  pic.twitter.com/wQFUFyuvmW
Thu Apr 16 11:45:24 PDT 2015 --  #Stormtrooper i wish i had a whole set of star wars emojis
Thu Apr 16 11:27:25 PDT 2015 --  Most gangsta storm trooper ever https://twitter.com/fijimermaid/status/588767256185700352 …
Sun Apr 12 15:19:39 PDT 2015 --  Jordan Spieth, first player EVER to get to -19 at The Masters. pic.twitter.com/emTCB9lJ8l
Thu Apr 09 19:52:16 PDT 2015 --  1st look @JaredLeto's Joker hair for #SuicideSquad! Clear influence from The Killing Joke graphic novel. Well played. pic.twitter.com/M1LWlzQM9v
Thu Apr 09 19:31:14 PDT 2015 --  Anne Hathaway doing wrecking ball made me forget I was on television and may have moved me to tears pic.twitter.com/IdQmXO9Ade
Thu Apr 09 18:00:17 PDT 2015 --  Take an additional look at the Thing with another new image from ‘Fantastic Four’: http://screencrush.com/fantastic-four-the-thing-first-look/ … pic.twitter.com/qrZX5ef3VF
Tue Apr 07 17:35:57 PDT 2015 --  Greatest MLB Stadium • Round of 30 • RT ~ U.S. Cellular Field Fav ~ Yankee Stadium pic.twitter.com/4S7i0eWsW5
Mon Apr 06 15:33:22 PDT 2015 --  The White Sox are making my television sad.
Mon Apr 06 13:04:56 PDT 2015 --  Who's ready? #CWSOpeningDay pic.twitter.com/Osg6Bi3iel
Mon Apr 06 02:05:33 PDT 2015 --  Sleep dammit!!
Sun Apr 05 13:26:00 PDT 2015 --  Seeing @MichaelKeaton on #SNL made me dream of @DCComics making a crime syndicate movie where he plays owlman pic.twitter.com/HzsZecuuYB
Fri Apr 03 13:23:11 PDT 2015 --  “ @io9: Would you watch a superhero film that's just about villains? http://on.io9.com/GV9vAvM  pic.twitter.com/eng9wgeNGD” YES!!!!
Thu Apr 02 05:23:03 PDT 2015 --  RT if you disagree with @Espngreeny and think Michael Jordan is the greatest athlete of the last 20 years. pic.twitter.com/cxxgldTo96
Sun Mar 29 09:33:30 PDT 2015 --  . @CMPunk years ago I made us a tag team on PS3 The Chicago Made Punks then I turned on you. Now were friends for real. Life is great.
Sun Mar 29 09:05:39 PDT 2015 --  HAPPY WRESTLEMANIA DAY JABRONI
Sat Mar 28 17:35:04 PDT 2015 --  Hangin at the bulls game with @aruhhnay #Tumblers!!! pic.twitter.com/wTk15nkEyH
Tue Mar 24 10:11:23 PDT 2015 --  #1GottaGo @DCComics pic.twitter.com/itxHiCS5Bq
Thu Mar 19 09:32:37 PDT 2015 --  pic.twitter.com/OHEOMCKzfN
Wed Mar 18 12:40:04 PDT 2015 --  Michael Jordan of course still sells way more sneakers than any active player. Jordan Brand had $2.6 billion in sales over the past year
Tue Mar 17 07:45:59 PDT 2015 --  Get your green on! #StPatricksDay pic.twitter.com/zEtOhMp6Fy
Sat Mar 14 20:59:27 PDT 2015 --  Victory!!! But I do have a thick lip and a black eye! Roy Nelson is one tough cookie! Thank you coaches & fans! @UFC pic.twitter.com/kxVZbMUvwp
Sat Mar 14 07:51:00 PDT 2015 --  Word. pic.twitter.com/6dRyMOjoVo
Thu Mar 12 18:00:13 PDT 2015 --  Cobra Commander Gets Key to the City. Where is GI Joe When You Need Them? http://bit.ly/1Ms9ysR  pic.twitter.com/83b26QVRmD
Thu Mar 12 17:28:55 PDT 2015 --  We spy a Ferrell in a Sox uniform. #FerrellTakesTheField pic.twitter.com/a0sKbGwbUT
Mon Mar 09 16:20:45 PDT 2015 --  Frank Gore apparently has "cold feet." Live look at Eagles fans... pic.twitter.com/vuBDlwhWdE
Sun Mar 08 10:27:13 PDT 2015 --  . @SportsCenter Dolphins: "Ndamukong, we'll give you over $100 million if you behave. Can you do that?" pic.twitter.com/68p55KfPoH
Fri Mar 06 10:20:49 PST 2015 --  #ThankYou15 @BMarshall pic.twitter.com/DugpVEz8JD
Fri Mar 06 09:27:49 PST 2015 --  “ @SportsNation: Pacquiao was like..."KOBE!" pic.twitter.com/Z5DaQYkgdW” Pacquiao is an amazing ballet dancer
Fri Mar 06 06:15:04 PST 2015 --  We’re celebrating 75 years of The Fastest Man Alive, The Flash! Let’s kick it off. #Flash75 pic.twitter.com/9igNQzqVb6
Thu Mar 05 19:40:01 PST 2015 --  E'TWAUN MOORE HAS ALL THE CLUTCH!!!
Tue Mar 03 19:25:54 PST 2015 --  Bulls up 97-92 with 8.5 to go after two FTs from @paugasol. #clutch
Tue Mar 03 17:57:32 PST 2015 --  The eternal struggle of what to eat for dinner tonight
Tue Mar 03 17:37:06 PST 2015 --  As a lifelong Cowboy fan, I'm glad Chip Kelly is the head coach of the Philadelphia Eagles.
Tue Mar 03 13:13:19 PST 2015 --  Sneaker sales in 2013: Jordan $2.5 Billion LeBron $300 Million Durant $175 Million Kobe $50 Million Rose $40 Million http://trib.al/VJ8zrIf 
Mon Mar 02 17:31:04 PST 2015 --  Marshawn Lynch's business casual is a little different than everyone else's pic.twitter.com/HnwDokNymp
Fri Feb 27 17:24:23 PST 2015 --  Benny. Zubaz. #90sNight pic.twitter.com/bEi22uYtXy
Fri Feb 27 09:54:04 PST 2015 --  RT and follow @OriginalFunko to enter to win a Lightning Darth Vader Hikari Premium Sofubi Figure! #StarWars pic.twitter.com/IH5JgONm5v
Fri Feb 27 09:41:25 PST 2015 --  RIP #LeonardNimoy #LLAP
Sun Feb 22 23:36:45 PST 2015 --  A life is like a garden. Perfect moments can be had, but not preserved, except in memory. LLAP
Fri Feb 27 09:13:54 PST 2015 --  They look the same to us pic.twitter.com/PW2iFblob9
Fri Feb 27 09:04:54 PST 2015 --  DO YOU SEE THE DRESS NOW: pic.twitter.com/dUDmet5y3u
Thu Feb 26 20:58:22 PST 2015 --  Finally watching the newest DragonBall Z movie #dressgate pic.twitter.com/FntWUQVnCE
Thu Feb 26 17:16:25 PST 2015 --  GAME. ON. #LetsGoWarriors
Tue Feb 24 20:02:41 PST 2015 --  Nooooooooo!!!! I hope @drose gets well soon. Til then I know the @chicagobulls will rally and fight.
Tue Feb 24 19:51:45 PST 2015 --  BREAKING: Bulls announce Derrick Rose will undergo surgery for meniscus tear in right knee. No timetable for return. pic.twitter.com/E1jvef95ks
Tue Feb 24 11:00:12 PST 2015 --  Retweet if you think Jordan/Pippen is the best duo of all-time! #BestDuo1 pic.twitter.com/zYsCKKkjoh
Mon Feb 23 16:34:44 PST 2015 --  I LOVE THE BUSHWHACKER THEY MAKE IT TO THE WWE HALL OF FAME I BE HAPPY BUBBA pic.twitter.com/qmTkcdOZ5W
Mon Feb 23 06:22:28 PST 2015 --  "No one cared who I was until I put on the mask..." #NFLCombine pic.twitter.com/42AC9CmObR
Sun Feb 22 21:05:24 PST 2015 --  Wow! A huge congrats to Birdman for winning Best Picture! #Oscars2015 #goodnight #greencard
Sun Feb 22 19:13:28 PST 2015 --  Wrap it up B!!!! #Oscars2015 pic.twitter.com/Jeb087WcZk
Sun Feb 22 19:11:51 PST 2015 --  Should have been the lego movie
Sun Feb 22 19:11:03 PST 2015 --  This calls for a fist bump. Congratulations to the #BigHero6 team. #Oscars pic.twitter.com/KDbfJKk82f
Sun Feb 22 18:18:13 PST 2015 --  EVERYTHING IS AWESOME BEST SONG ON THE EARTH #Oscars2015
Thu Feb 19 13:21:31 PST 2015 --  “Bitch, how you not the hobbit again??” Watch the full episode for free here: http://cart.mn/sp-Hbbit  pic.twitter.com/ay8AMIiryR
Thu Feb 19 07:58:08 PST 2015 --  #TBT @yarrhanna @Baustin2u gotta snuggle these guys when its 20 below pic.twitter.com/7AqUngP7l2
Wed Feb 18 13:29:22 PST 2015 --  "Deadpool" Adds Morena Baccarin In Lead Female Role http://go.cbr.cc/1DDfvC6  pic.twitter.com/zMwfztwVd0
Tue Feb 17 09:17:44 PST 2015 --  52 but always 23. Happy birthday, Boss.
Tue Feb 17 09:00:08 PST 2015 --  Check out those stats. #HappyBirthdayMJ pic.twitter.com/SUhPUdEm04
Mon Feb 16 18:56:31 PST 2015 --  RT @youpeople today is the day !!! pic.twitter.com/EVyvkOAYUX
Mon Feb 16 05:28:13 PST 2015 --  Happy Birthday to @levarburton - Geordi LaForge from #TNG ! Learn more at: http://startrek.com/database_article/burton … #StarTrek pic.twitter.com/lYrwXby26J
Sun Feb 15 09:00:12 PST 2015 --  RT and follow @OriginalFunko for a chance to win Glittered Boba Fett Hikari Sofubi Figure! #StarWars #Funko pic.twitter.com/XDakjGD02z
Sat Feb 14 21:45:37 PST 2015 --  We're just gonna leave this here... @ZachLaVine #SpriteSlam #LaVineVINE https://vine.co/v/OPxnt0xtaMI 
Sat Feb 14 17:20:22 PST 2015 --  Little Penny is impressed... pic.twitter.com/qNvGiPQDDS
Thu Feb 12 20:20:02 PST 2015 --  Little man vs. big man- our dunk contest marathon continues with Nate vs. Dwight next on NBA TV! pic.twitter.com/a7Much67Ri
Thu Feb 12 14:56:48 PST 2015 --  good old days pic.twitter.com/jJZ6WhsZr6
Mon Feb 09 21:35:48 PST 2015 --  Im glad to see spiderman is part of the MCU. Maybe I will finally get the dark avengers movie i always wanted pic.twitter.com/cXWm8Rhaph
Mon Feb 09 07:54:04 PST 2015 --  Your Joke of the Day from @RonFunches​. http://on.cc.com/1zp11zH  pic.twitter.com/La2n3QIzmj
Wed Feb 04 23:25:46 PST 2015 --  Obviously young me had a type #FourChildhoodCrushes pic.twitter.com/J5fy82UmyL
Wed Feb 04 21:12:39 PST 2015 --  VIDEO: Five former Saved By The Bell stars recreate their former roles on The Tonight Show: http://deadsp.in/1ZpueDY  pic.twitter.com/Sfzi4buiBu
Wed Feb 04 12:02:11 PST 2015 --  UCLA now has serious ties to hip-hop royalty: Snoop's son Cordell Broadus joins Diddy's son Justin Combs as a Bruin. pic.twitter.com/Jx4dvXWqmz
Mon Feb 02 19:30:09 PST 2015 --  Dr. Doom, The Gold Standard Of Comic Book Villainy http://bit.ly/1256Cmh  pic.twitter.com/QvdYElokc4
Mon Feb 02 08:21:52 PST 2015 --  be the shark pic.twitter.com/EuaqfmmdOy
Mon Feb 02 15:30:39 PST 2015 --  Derrick Rose is just like us! (via @hoopedup) pic.twitter.com/6xbrQUGvi4
Mon Feb 02 06:35:00 PST 2015 --  Gonna take a nap then continue fighting snow andget food at marianos good thing i have high energy right @yarrhanna pic.twitter.com/fTWI7xYauE
Sun Feb 01 18:56:44 PST 2015 --  THE KATY PERRY SHOW THE RESPECT TO MY BROTHER BAM BAM BIGELOW TONIGHT #SuperBowl pic.twitter.com/h5j3JSY3Az
Mon Feb 02 06:22:57 PST 2015 --  How Seattle fans ate their skittles when Marshawn didn't get the rock: pic.twitter.com/ERsNZzLYBW
Mon Feb 02 06:19:53 PST 2015 --  Fuck you groundhog!!! http://abcn.ws/1CprpjS  pic.twitter.com/h2sJTwLLb7”
Sun Feb 01 22:29:37 PST 2015 --  One last #SuperBowlXLIX tweet. pic.twitter.com/KQrrXSwAm9
Sun Feb 01 14:27:59 PST 2015 --  The #SuperBowl is the only time of year that commercials make me excited at all
Sun Feb 01 14:25:17 PST 2015 --  Jerry jones comes in and hits the winner of the superbowl with a chair and declares himself undisputed champ #AbsurdSuperBowlPredictions
Sun Feb 01 14:00:12 PST 2015 --  RT if the Seahawks will win Super Bowl XLIX. pic.twitter.com/p5HwO97DPt
Sun Feb 01 13:06:55 PST 2015 --  There's only two teams in the Super Bowl ... Who you got ??? Me ? I'm going Beast Mode !!!! #Seahawks #Whoyougot ? pic.twitter.com/Fa2LgDNfSB
Sun Feb 01 10:21:31 PST 2015 --  Thank you, @levarburton!!! pic.twitter.com/PepGJ1jYgK
Sun Feb 01 09:56:57 PST 2015 --  RT and follow @OriginalFunko for a chance to win a Star Wars Greedo Premium Hikari Sofubi Figure! #StarWars pic.twitter.com/lrXbpPvdAB
Fri Jan 30 10:15:33 PST 2015 --  What a treat! It's #NationalCroissantDay. pic.twitter.com/uIP90JLA0S
Wed Jan 28 08:55:30 PST 2015 --  Odell Beckham Jr. for #RookieOfTheYear! If you agree, Tweet @XFINITYSports now & ask him to #SignMyTweet #OBJ pic.twitter.com/GT49o6GQ3i
Thu Jan 29 21:50:50 PST 2015 --  What a comeback! @nba @NBAonTNT RT @chicagobulls: Defense!
Thu Jan 29 16:38:53 PST 2015 --  Now an elite @NBA star, Jimmy Butler’s story has been one of the most remarkable in sports http://bit.ly/1CR7gCf  pic.twitter.com/F97ADwQOT6
Thu Jan 29 11:17:48 PST 2015 --  Theyre obviously just asking the wrong questions. I would ask @MoneyLynch will we all get hyphy when u win the superbowl again?
Thu Jan 29 09:56:05 PST 2015 --  "Shout out Oakland, California" "Shout out Westbrook" "Shout out my teammates" "Shout out to my real Africans out there" - Marshawn Lynch
Wed Jan 28 15:14:03 PST 2015 --  Nice to know im worth hacking every once in a while but what a pain in the butt
Tue Jan 27 13:04:21 PST 2015 --  ICYMI: Marshawn Lynch's media day performance makes it clear: he didn't want to answer questions or get fined. VIDEO: http://es.pn/1z7Do1O 
Mon Jan 26 09:32:04 PST 2015 --  @MoneyLynch #LeaveMarshawnAlone #GoHawks #12thMan pic.twitter.com/tgyhJU10RU
Fri Jan 23 20:14:48 PST 2015 --  RIP, Mr. Cub. pic.twitter.com/Ej5kMAb5SZ
Fri Jan 23 09:02:51 PST 2015 --  Any comic with art by alex ross im all in on #fourcomics pic.twitter.com/1DwEgQcjNX
Thu Jan 22 15:17:11 PST 2015 --  Just some random favorites from my life @DCComics #fourcomics pic.twitter.com/AuazuuRnYs
Wed Jan 21 18:03:29 PST 2015 --  Teenage Mutant Ninja Turtles!! #ExplainThe90sIn4Words pic.twitter.com/cn43ZXqpce
Tue Jan 20 10:00:12 PST 2015 --  Retweet if you think #BestDuo1 Jordan and Pippen is a better duo than James and Wade pic.twitter.com/jCLMDyBlkx
Tue Jan 20 09:42:46 PST 2015 --  Hawks are 2-1 favorites to win the East. Would you bet on @ATLHawks to reach the Finals? FAVORITE for YES RT for No pic.twitter.com/JCDzZz3u4l
Mon Jan 19 21:15:38 PST 2015 --  "Whoops lol" Rob Gronkowski jokingly takes blame for deflating Patriots footballs. pic.twitter.com/frZVgQCb22
Sun Jan 18 15:32:31 PST 2015 --  Take their best shot. Then take everything. @MoneyLynch #untouchable pic.twitter.com/1gSn93t679
Sun Jan 18 15:10:17 PST 2015 --  "I'm thankful" pic.twitter.com/d5e6jCq9tN
Sun Jan 18 08:35:58 PST 2015 --  Happy Birthday to James Earl Jones (born January 17, 1931) pic.twitter.com/BqRAGmTUWs
Sat Jan 17 14:05:10 PST 2015 --  THANKS OG!! Rt @E40: Happy birthday to my folks @liljon pic.twitter.com/FRH082YJaw”
Wed Jan 14 16:04:52 PST 2015 --  Derrick Rose and Jimmy Butler don't like being called 2nd best... pic.twitter.com/T901eVVr1O
Wed Jan 14 15:59:58 PST 2015 --  All new @MTV2GuyCode premieres tonight! very interesting subjects to cover! https://vine.co/v/ODQq0Faa56X 
Wed Jan 14 12:15:01 PST 2015 --  Life moves pretty fast. Happy Birthday @grantgust! #TheFlash pic.twitter.com/u4W8YwdKFM
Wed Jan 14 09:49:49 PST 2015 --  Followers who RT have a shot 2 win this http://amzn.to/1u4up2B  NoPurchNec http://amzn.to/1Ix4Xpl  #giveaway #MachoMan pic.twitter.com/9GaX75oZ9o
Tue Jan 13 23:05:16 PST 2015 --  @JRsBBQ @FOXSports @FOXSports1 just learned this a few hrs ago never knew Macho man played ball! pic.twitter.com/SjNv0xRAGG
Tue Jan 13 20:41:44 PST 2015 --  No one ever thinks about batteries until all your remotes need them
Tue Jan 13 09:55:27 PST 2015 --  We'll have one cheese pizza with extra Rex, please. #WelcomeRex Huge thanks to our friends at La Nova! pic.twitter.com/K1XAdEVZ6Q
Tue Jan 13 06:44:07 PST 2015 --  CONGRATULATION MY BROTHER MACHO MAN ONE OF GREAT PERFORMER IN MY BUSINESS AND I LOVE HIM FOREVER
Mon Jan 12 21:16:33 PST 2015 --  The torch has been passed...YOU ROCK THAT CROP TOP EZEKIEL!! pic.twitter.com/PYE9qXtPRM
Mon Jan 12 21:25:42 PST 2015 --  He said: Come get boomed on in the name of justice! pic.twitter.com/aEjJciqXj7
Mon Jan 12 19:32:10 PST 2015 --  Congratulations to #MachoMan Randy Savage, our first inductee for the @WWE #HallOfFame Class of 2015! #MachoMadness pic.twitter.com/SB0lJlrpsh
Mon Jan 12 17:55:10 PST 2015 --  Kermit in real life! pic.twitter.com/B6gzfOaB88
Mon Jan 12 17:55:45 PST 2015 --  OOOOOOH YEAH!!! #MachoMan #RAW pic.twitter.com/bisALGkkTS
Mon Jan 12 14:11:05 PST 2015 --  LeBron James Edition: Hair Rules Everything Around Me #WuTang pic.twitter.com/2YOtJcOHSb
Sun Jan 11 13:38:06 PST 2015 --  Strange But True: Calvin Johnson's & Dez Bryant's controversial catches were both overruled after review... by referee Gene Steratore.
Sun Jan 11 13:26:30 PST 2015 --  The Seahawks are probably resting a little easier knowing they don't have to deal with the Cowboys again up there.
Sat Jan 10 13:00:03 PST 2015 --  When it's laundry day and there's nothing else to wear. pic.twitter.com/IXOT6QG5IY
Fri Jan 09 09:18:53 PST 2015 --  He arrives precisely when he means to. #TGIF pic.twitter.com/EDlja8nJjT
Wed Jan 07 17:07:49 PST 2015 --  RT if you want us to give these away tonight! #FREEKICKS #KoFApp pic.twitter.com/vETOVsQO1M
Tue Jan 06 09:11:57 PST 2015 --  Today my friend @coollead returns to the land of pokemon and godzilla. Good journey to you weezer fan numero uno
Sun Jan 04 16:57:59 PST 2015 --  3 more #FinishTheFight pic.twitter.com/qONN2AVbaY
Sun Jan 04 16:57:32 PST 2015 --  Since 2006, Tony Romo leads NFL w/ 27 game-winning drives in regular season. Today vs Lions is his 1st career postseason game-winning drive.
Sun Jan 04 16:48:11 PST 2015 --  How Cowboys fans now see Tony Romo... pic.twitter.com/SmvSQTafy2
Sun Jan 04 16:45:53 PST 2015 --  HOW BOUT THEM COWBOYS!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
Sun Jan 04 06:46:24 PST 2015 --  We are heartbroken to report that Stuart Scott has died after a long fight with cancer. He was 49. pic.twitter.com/aI0TGwFqGU
