Wed Aug 26 19:13:30 PDT 2015 --  Don't forget, tomorrow is National National Day Day
Thu Apr 03 13:07:21 PDT 2014 --  Just realized how calling my dog my "mutt buddy" might be misheard.
Thu Apr 03 11:09:17 PDT 2014 --  I understand MS legislators have passed a bill banning gay cakes! Way to strike a blow for religious freedom! Well done, sirs! God bless!
Thu Apr 03 11:01:37 PDT 2014 --  My first blog post! Never too early to start. We may not be the frontrunners, so we'll just take America from behind! http://mustache4pres.wordpress.com 
Tue Apr 01 14:36:52 PDT 2014 --  The Amazing Spy Doorman @KimWJustice #RuinACartoon
Tue Apr 01 14:35:39 PDT 2014 --  Soup or Friends @KimWJustice #ruinacartoon
Tue Apr 01 04:19:21 PDT 2014 --  With the technology we have, why must I still wipe my own rear? I'm calling for immediate funding for ASS LASIK research. Vote Crow, 2016.
Sun Mar 23 21:22:29 PDT 2014 --  Some said if Bush got elected they'd move to Canada. Some said that of Obama. Well Game of Arms is still on, so I want to leave the country.
Mon Mar 17 07:04:11 PDT 2014 --  Shipley's chocolate-filled donuts...and I'm done with Hattiesburg. Time to head south as we continue our March across the flatlands.
Sat Mar 15 04:58:17 PDT 2014 --  Greeted by step-mother-in-law at 6AM with deer sausage for breakfast. Solid Mississippi welcome home!
Thu Mar 13 16:12:30 PDT 2014 --  My melancholy is the most faithful sweetheart I have had. She is one bad bitch.
Sun Mar 09 21:28:50 PDT 2014 --  AMC- the network that brought you Mad Men, The Walking Dead, Breaking Bad, and...arm wrestling? Seriously?
Mon Mar 03 21:16:29 PST 2014 --  Check out @KimWJustice's Tweet: https://twitter.com/KimWJustice/status/440695586795188225 … Brilliant!
Mon Mar 03 17:54:29 PST 2014 --  Hey Jude, where you going with that gun in your hand?
Sat Mar 01 11:25:02 PST 2014 --  iPad has no suggestion if I type "Ucnle" but autocorrects "she' dbeen" to "she debentures."
Fri Feb 28 02:53:54 PST 2014 --  The book I just finished about people climbing Mt. Everest did not help this winter seem any warmer.
Tue Feb 25 19:16:32 PST 2014 --  Which flesh-wrapped stack of blood and viscera are you? Take this quiz and find out.
Thu Feb 20 13:30:06 PST 2014 --  Whenever I see a flyer for the "1st Annual" anything I think the organizers are being way too optimistic.
Sat Jan 11 06:15:13 PST 2014 --  Only 174,799 words to go and I can quit writing for the rest of the year.
Fri Jan 10 21:10:25 PST 2014 --  Gotta plot how to drag my morning out so I can still be around when Popeye's opens tomorrow. #WhoDat
Fri Jan 03 15:20:44 PST 2014 --  Kansas City dyes fountain red to support Chiefs, fountain freezes, makes it look like some horrible bloodbath: http://deadsp.in/panNPcP 
Thu Jan 02 17:31:04 PST 2014 --  NEW BLOG POST: RADIO FREE NOWHERE is Available NOW! (http://bit.ly/1l5z6RL ) #horror
Tue Dec 31 22:21:43 PST 2013 --  Happy New Year! 2014 is going to be a good one. I can feel it.
Fri Dec 27 12:51:12 PST 2013 --  Hermes Birkin bag, hand painted by George Condo. One of one. Christmas present from Yeezy. I carry it around like a sickness of the spirit.
Wed Dec 18 13:32:32 PST 2013 --  Abraham's gaze was terrible. He threw his child to the ground & cried: "Do people really think I'd wax my daughters eyebrows so young?"
Mon Dec 09 12:45:15 PST 2013 --  It's beginning to look a lot like Christmas. A bankrupt age disguises itself in extravagance.
Mon Nov 25 18:12:51 PST 2013 --  "A black shape narrowly missed Jimmy Ray as he started forward, the knife held out in front of him." Day 4 - 5178 words. 10161 for the week.
Sun Nov 24 18:05:50 PST 2013 --  Judging from the streaks on the floor, I didn't want to know how much there had been before he "cleaned up." End of Day 3. 2528 words today.
Sat Nov 23 21:23:03 PST 2013 --  "Once I helped him steer through the marshes, I was as dead as that old fish in the kudzu." Thus ends day 2. Word count - 2398.
Sat Nov 23 07:33:37 PST 2013 --  Day 1 = 57 words. It can only get better from here.
Fri Nov 22 18:08:42 PST 2013 --  Just me and the dog for a week. Goals: 10,000 words for my novel, finish one short story, start another. And fake my own death, get $$$.
Thu Nov 21 07:19:49 PST 2013 --  New story idea-just take an old story, retype it on iPad ignoring autocorrects, then redo whole thing based on the autocorrected version.
Tue Nov 12 15:08:22 PST 2013 --  3000-word short story finished in two days. Not bad considering I probably didn't write 3000 words the entire time I was in college.
Mon Nov 04 18:38:43 PST 2013 --  Metaphors are so 20th century. But I got a line on some 100% pure Bolivian alliteration. Who's in?
Thu Oct 24 16:27:55 PDT 2013 --  iPad Air. Because you can't just expect Americans to carry around 1.33 pounds of luxury electronics all day.
Mon Oct 14 15:07:19 PDT 2013 --  Reason to not attempt a sci-fi story having to do with outer space #1: every time I try to type "star" I type "starts." It's maddening.
Thu Oct 03 14:26:00 PDT 2013 --  Now available for Kindle! http://www.amazon.com/gp/aw/d/B00FE8TBIU/ref=mp_s_a_1_11?qid=1380835479&sr=8-11&pi=AC_SX110_SY165_QL70 …
Fri Sep 27 17:50:57 PDT 2013 --  http://www.amazon.com/gp/aw/d/B00FG1CNGC/ref=mp_s_a_1_2?qid=1380329138&sr=8-2&pi=AC_SX110_SY165 … Out for Kindle. Get it and check out my story "Really? Cleveland?" Tell me how it is, 'cause I don't have a Kindle.
Thu Sep 19 22:36:26 PDT 2013 --  Comfort Foods is now on Goodreads: Comfort Foods http://www.goodreads.com/book/show/18520900-comfort-foods …
Tue Sep 17 23:00:49 PDT 2013 --  Perfect for Halloween! Comfort Foods: This Ain't Your Momma's Cooking! http://www.amazon.com/dp/1491283122/ref=cm_sw_r_tw_awd_32oosb06B4KDB … via @amazon #notacookbook
Mon Sep 16 23:37:49 PDT 2013 --  Just had the first person to honestly think I was published in a cookbook. As far as I know there are no frozen pizza cookbooks.
Thu Sep 12 16:52:45 PDT 2013 --  Comfort Foods: This Ain't Your Momma's Cooking! is now available on Amazon! Or you can buy direct from yours truly real soon.
Sat Sep 07 20:20:54 PDT 2013 --  Comfort Foods - This Ain't Your Momma's Cooking - I hope you are nice and comfy Do you have some hot... http://tmblr.co/ZBb8NsuSTx9o 
Tue Sep 03 16:58:22 PDT 2013 --  I get the impression the "Holes in My Sweater" guy has some sexy image in his head. But I have no clue what the hell he's singing about.
Sat Aug 31 09:30:00 PDT 2013 --  8 more days until the world's greatest athletes take the field. And I hear they're going to let the Titans play, too.
Fri Aug 30 20:22:19 PDT 2013 --  So the NFL have Sean Payton a whole year off to dream up new plays? The question is not WILL the Saints drop 50, but how often and on whom?
Fri Aug 30 01:59:10 PDT 2013 --  Misspelled "David" and the iPAD decided I must be trying to say iDVD. If only I was as shameless a self-promoter as you, Apple.
Wed Aug 28 21:30:56 PDT 2013 --  You can have your Starbucks and Bongo Java. I'll take my Pilot coffee.
Wed Aug 21 17:52:55 PDT 2013 --  detty-yetty: itsbecauseyouarespecial: Some girl just walked into my local book store with her boyfriend and... http://tmblr.co/ZBb8NsswWrdY 
Tue Aug 20 19:03:48 PDT 2013 --  Tiana is reading Goosebumps books. I think I read "Jaws" when I was her age, but I guess it's a start.
Sat Aug 17 10:42:10 PDT 2013 --  I think there's more actual history on Comedy Central's "Drunk History" than there is on the History Channel.
Fri Aug 16 00:59:02 PDT 2013 --  Closed. The. Loop. BOOM!
Thu Aug 15 17:59:17 PDT 2013 --  Comfort Foods, the horror anthology from NWMG, will be out in October, including my short story "Always the Feet." Stay tuned!
Thu Aug 15 08:31:07 PDT 2013 --  Guess I'm on Twitter now. Had to happen sooner or later. Here's 92 characters about nothing.
Thu Mar 01 06:42:10 PST 2012 --  Anyone remember Friday the 13th: The Series? Well The River is Friday the 13th: The Series: On A Boat.
Tue Aug 12 14:37:35 PDT 2008 --  Finally saw the Dark Knight. Not as awesome as I had heard, but Heath Ledger was amazing. Whoever thought they'd hear that phrase?
Mon Jul 28 16:31:42 PDT 2008 --  Hmm. I opened a twitter account but I am specifically forbidden from posting about my job online. Baby stories, anyone?
