Wed Aug 26 19:08:07 PDT 2015 --  Men say feminists are oversensitive and then feel threatened by women gaining rights
Mon Feb 02 15:22:09 PST 2015 --  I'd just like you to recognize that I'm out of your league and adjust your behavior accordingly
Fri Jan 30 18:48:38 PST 2015 --  BROKE ONE ACTS HOUSE COUNT RECORD FOR THE SECOND YEAR IN A ROW
Fri Jan 30 10:25:12 PST 2015 --  If I'm walking faster than you in the hallway and I'm wearing 4 inch heels we have a problem
Fri Jan 30 05:08:05 PST 2015 --  Apologies in advance to anyone I sexually frustrate today
Wed Jan 28 12:36:56 PST 2015 --  I like my men like I like my coffee. Silent.
Wed Jan 28 06:50:30 PST 2015 --  Why are my enviro teacher's grandparents younger than mine? Do Woehrles just reproduce weirdly late in life?
Tue Jan 27 11:10:14 PST 2015 --  Yes of course I got your text - I'm just ignoring it. Don't make it weird.
Mon Jan 26 12:27:27 PST 2015 --  How real estate works in Rockville Town Centre pic.twitter.com/0uLuVI49fy
Sun Jan 25 15:20:57 PST 2015 --  Btw come to one acts.
Thu Jan 22 05:07:33 PST 2015 --  Nothing like starting your day with a nutritious breakfast of black coffee and dread
Wed Jan 21 08:36:21 PST 2015 --  I don’t need feminism I can’t wait to send my daughters to college!! to get a Bachelor of Trying to Avoid Being Sexually Assaulted on Campus
Tue Jan 20 18:25:40 PST 2015 --  I don't need to watch an hour long speech to know what's wrong with this country. Only Obama's jokes make this bearable #StateOfTheUnion
Mon Jan 19 17:42:08 PST 2015 --  If I hate you more than I hate myself then you should be proud of that accomplishment
Sun Jan 18 21:52:19 PST 2015 --  I'm 1.5 seasons into New Girl and can I just say that I might be Nick Miller - like we're at the exact same level of emotionally stunted
Fri Jan 16 13:54:08 PST 2015 --  S/o to the punk band that just followed me @asdecemberfalls. Welcome to this mess
Fri Jan 16 08:05:57 PST 2015 --  IF YOU THINK THAT IM THE KINDA PERSON WHO WASTES THEIR TIME BINGING BROOKLYN 99 AND EATING MAC N CHEESE then u acc know me pretty well
Thu Jan 15 07:13:53 PST 2015 --  In other news exams are my bitch and I only have one semester (+ the farce that is senior exams) before I'm out of here
Thu Jan 15 07:12:59 PST 2015 --  Apparently I can write a killer timed writing in an hour but when given a week to do a paper I lack any form of inspiration
Wed Jan 14 06:12:01 PST 2015 --  "All I need is a D" - mantra for today
Tue Jan 13 15:33:48 PST 2015 --  I may not know ap stat but I do know that curly fries taste better than normal ones and that knowledge will serve me better in life anyway
Tue Jan 13 06:18:24 PST 2015 --  STRENGTHS has the highest consonant-to-vowel ratio of any English word, at 8:1. Please RT.
Tue Jan 13 05:23:54 PST 2015 --  "He's beauty, he's grace, he might be a nut case" - title of my Mr. RM article
Mon Jan 12 09:24:47 PST 2015 --  Now I'm no traffic expert, but I'm pretty sure that when the flashing red hand counts down, it's supposed to end on "don't walk" not "walk"
Mon Jan 12 05:08:30 PST 2015 --  Why worry about exams when you can worry about honors program applications that are due during exams
Sun Jan 11 10:55:25 PST 2015 --  In case anyone missed this cinematic masterpiece http://youtu.be/XvdpB_Wn0Sg  via @YouTube
Fri Jan 09 15:40:45 PST 2015 --  Why is "cynical guy bickers with horse" a movie trope that exists? #Disney
Thu Jan 08 16:17:15 PST 2015 --  I've been in car accidents more pleasant than this weather
