Sat Aug 22 04:34:23 PDT 2015 --  【どう？】こちらがＫカップの爆○を持つセクシー女優です！！ http://meme-mag.net/post-81907/  pic.twitter.com/EO6rwKHTGG
Tue May 26 06:01:53 PDT 2015 --  【エミレーツ・スタジアム】 pic.twitter.com/9qWBqf68qW
Tue May 26 04:30:50 PDT 2015 --  はーなんしー？を 超カッコよくしてみたwwwwwwwwW(`0`)W pic.twitter.com/YO054TXC5K
Sun May 24 22:46:26 PDT 2015 --  みんなが地震って騒いでる間にも田中のじゅなは… じゅならしくて…（笑） pic.twitter.com/z8AVWqZOiX
Mon May 25 20:36:23 PDT 2015 --  歯ないやん は、なんし じゃなく は、ないし 言うてんちゃん？笑 あかん、おもろ pic.twitter.com/DwtdkRJBCY
Sun May 24 06:43:26 PDT 2015 --  やべえｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗくっそじわるｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗもう一回見よｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ pic.twitter.com/U9TUsqzcVd
Mon May 25 04:06:43 PDT 2015 --  はーなんしー？バズーカーwwwww https://vine.co/v/eqE1zmAhIEt 
Mon May 25 03:37:03 PDT 2015 --  2015.5.24 育英高校100周年記念試合に 招待していただきました すごく歴史を感じた瞬間でした！ 古豪復活へ‼︎ エース竹中くんを軸に 頑張ってほしいですね ↓↓↓↓ http://bit.ly/1Syldwm  pic.twitter.com/siTv2RdSW0
Sun May 24 21:15:09 PDT 2015 --  （来週のじゃんけんではチョキを出せ） pic.twitter.com/svUqMzzfGZ
Sun May 24 06:07:47 PDT 2015 --  ▷ウチは胸張って滝川第二ですって言えるんや こんな監督のもとで自分の好きなこと出来たら幸せやろうな pic.twitter.com/UOlFJ9HISv
Sat Apr 18 22:24:23 PDT 2015 --  【速報】いろはすでガソリン味発売 【速報】いろはすでガソリン味発売 【速報】いろはすでガソリン味発売 【速報】いろはすでガソリン味発売 【速報】いろはすでガソリン味発売 【速報】いろはすでガソリン味発売 pic.twitter.com/2zYRruKjkL
Wed May 20 16:06:23 PDT 2015 --  一瞬でもコイツを元気づけてあげようと思ったおいらがバカだった pic.twitter.com/eRypBaI7Wd
Sun May 24 01:44:35 PDT 2015 --  また新しいのでてるやん。 https://vine.co/v/OLFOhd29VeV 
Sat May 23 23:54:46 PDT 2015 --  iPhoneでスクショすると一瞬だけ見える松崎しげる。 pic.twitter.com/5vKQkRq3Pr
Sat May 23 04:42:41 PDT 2015 --  Bounce Generation(はぁなんし？Remix) https://vine.co/v/eqnE1tY5pdY 
Thu May 21 08:11:31 PDT 2015 --  は？なんし？ って何でもゆーてないん？ 腹立ってきた。 https://vine.co/v/OLFe6zzhWIZ 
Thu May 21 05:26:56 PDT 2015 --  ヤンキー卍 https://vine.co/v/OLFejzVeH9l 
Sat May 23 02:30:54 PDT 2015 --  【お◯ぱいの舐め方がプロってる男子に多い名前】 ・けんと ・けんと ・けんと ・けんと ・けんと ・けんと ・けんと ・けんと ・けんと ・けんと ・けんと ・けんと ・けんと ・けんと ・けんと ・けんと ・けんと ・けんと ・けんと ※自分or知り合いにいればRT
Thu May 21 04:58:14 PDT 2015 --  RTしたら財布がパンパンになる pic.twitter.com/7PjhVNzRoa
Thu May 21 03:47:29 PDT 2015 --  クッソワロタｗｗｗｗ https://vine.co/v/eKFOPZmdmUj 
Thu May 21 00:21:16 PDT 2015 --  カトパンにガチ照れする綾野剛 pic.twitter.com/Mbu33IqrKv
Tue May 19 08:38:22 PDT 2015 --  ＊３ヶ月以内にとんでもなく嬉しいことが起こる人＊ ・まなと ・りゅうが ・げんき ・れおん ・たつき ・ゆうだい ・まさと ・たつや ・ゆうひ ・れんと ・しょうた ・かすみ ・ひな ・さえ ・ゆうか ・しおり ・やよい ・みく ・ひかり ・ほのか 自分or友達にいたらRT！
Wed Mar 11 08:13:44 PDT 2015 --  各国の迷彩服の性能 pic.twitter.com/Bgzb10yCxq
Tue May 19 07:29:53 PDT 2015 --  ミランダ・カー が激アツな件 pic.twitter.com/uUUoM5Q8nI
Sun May 03 18:30:00 PDT 2015 --  全く知らない他人から始まり 気になりはじめ 告白して 付き合って 思い出作って ラブラブしてキスして 喧嘩もするけど なんだかんだ一緒にいる 何気ない日々がすごい幸せ 今ある幸せに感謝
Tue May 19 22:14:32 PDT 2015 --  【話題の画像】橋下の数年間の老け方を見るとホンマに苦労してたんやなぁとしみじみ思う pic.twitter.com/Yh9btoZ0T9
Tue May 19 21:12:14 PDT 2015 --  坂本れおしね pic.twitter.com/NsUcuLJNO0
Tue May 19 20:21:03 PDT 2015 --  もーやめてくれー笑 バイト先のおばさんにちんこ握られた笑 わざとちゃうやろーけどメンタルきたわ。
Tue May 19 09:38:12 PDT 2015 --  何人みえますか？ 10人見えた人は、幸せになります。 例えば… 今付き合っている人と、結婚できる 好きな人から告白される 夢が叶う バイト先がすぐ決まる お金が入る これを10分以内にRtしてください。 pic.twitter.com/siibWr1PhT
Mon May 18 01:38:03 PDT 2015 --  【拡散希望】 朝5時ぐらいに、明石駅の近くで50歳後半ぐらいのおじさんが1人で配ってました。 奥さんが車と事故して亡くなられたそうです。 このツイートを見ているあなたのRTで何十人もの人が救われるかもしれません。 ご協力お願いします。 pic.twitter.com/T56htyNICj
Mon May 18 20:45:09 PDT 2015 --  冷蔵庫／誰も使わ／ドレッシング pic.twitter.com/MPjbWWrcTT
Mon May 18 08:30:43 PDT 2015 --  アカン。 彼女ほすぃ笑笑
Sat May 16 22:15:09 PDT 2015 --  引退試合の最終打席に送りバントのサイン pic.twitter.com/c16I4z2cNF
Thu May 07 05:59:51 PDT 2015 --  【女性の下着集めが趣味の男子に多い名前】 ・けんたろう ・けんたろう ・けんたろう ・けんたろう ・けんたろう ・けんたろう ・けんたろう ・けんたろう ・けんたろう ・けんたろう ・けんたろう ・けんたろう ・けんたろう ・けんたろう ※自分or知り合いにいればRT
Fri May 15 23:57:22 PDT 2015 --  これは小さい人自信つくわー♡ キャッチの仕方よ〈笑〉 http://twitter.com/Yiliopoulos_/status/598950879392333825/video/1 …
Fri May 15 23:56:36 PDT 2015 --  C・ロナウドとロナウドの息子の筋トレ とても微笑ましい。 pic.twitter.com/P5t3lMpCXX
Fri May 15 06:14:41 PDT 2015 --  これ何回も聞いとったら化学いける気がしてくる笑 pic.twitter.com/8GkeS5bMfl
Fri May 15 02:49:22 PDT 2015 --  こわ。。。 pic.twitter.com/K3hlQ1bAps
Fri May 15 04:54:23 PDT 2015 --  #RTした人に私の中で何ランキング1位か言う 勉強しとるから空いた時間でやる！
Fri Feb 27 00:32:05 PST 2015 --  彼が生まれた時、両親はどんな名前にしようか笑顔で悩んだろう。ランドセルを買ってあげた時、彼の将来を想像しただろう。だが、上村遼太君が見た最後の光景は暗い河川敷だった。 少年法なんかクソ喰らえ 加害者の人生より 被害者の無念に重きを pic.twitter.com/tVZfxtk4fx
Mon May 11 04:43:26 PDT 2015 --  とある日曜日の草サッカーでwwww http://vine.co/v/emw7B29DDuE 
Mon Apr 27 07:15:09 PDT 2015 --  僕のお爺ちゃんは僕を高い高いした時、血圧も高い高いしたみたいでそのまま他界他界しました。 pic.twitter.com/biVUb2znQK
Wed May 06 00:05:02 PDT 2015 --  今日は松田直樹さんの命日です。 みなさんでRTして、天国にいる直樹に想いを届けましょう！ pic.twitter.com/Q7u2vLjL0e
Mon May 04 06:54:35 PDT 2015 --  【話題の画像】本当にここまでするツイッタラーいると思ってなかったわ、今までは pic.twitter.com/8LEUDNoKmF
Thu Nov 06 04:03:30 PST 2014 --  #この駅知ってる人でどこまでRTが増えるか測定中 pic.twitter.com/CXTbVeScca
Sat May 02 06:31:34 PDT 2015 --  どうですか？？ pic.twitter.com/t1IoEc6Yzb
Fri Mar 06 07:26:54 PST 2015 --  ぶりっ子の頂点 https://vine.co/v/OE7BTqhILQZ 
Thu Apr 30 06:44:16 PDT 2015 --  周り見ろよwww http://vine.co/v/e7mJlznxKTD 
Sat Feb 14 06:03:38 PST 2015 --  安倍総理が 硫黄島の滑走路下に眠る英霊達に土下座したり、中韓以外の各国の空軍トップと一同に会したり、天皇陛下と年一回会食されたり、年に何回も東北の被災地を訪れている事を マスコミはほとんど報じない。 我々が真実を拡散しましょう。 pic.twitter.com/TWjNWLwHdb
