Thu Oct 02 11:30:01 PDT 2014 --  Abrazar a alguien especial puede reducir el estrés al instante.
Sun Aug 10 23:08:13 PDT 2014 --  Dos vídeos me hacen muy feliz
Sun Aug 10 23:05:42 PDT 2014 --  Meeeeeee valeeeeee m*eeeeee
Sun Aug 10 23:04:33 PDT 2014 --  Alguien que te haga llorar de tanto amar de tantos besos
Sun Aug 10 23:03:15 PDT 2014 --  Quiero que siempre seas mío
Sun Aug 10 23:01:27 PDT 2014 --  Más que a nuestro beso primero
Sun Aug 10 22:48:42 PDT 2014 --  Por qué, por qué, por qué, por qué, por qué, por qué, por qué, por qué, por qué, por qué, por qué, por qué, por qué, por qué
Sun Aug 10 22:46:38 PDT 2014 --  La culpa la tienes tú preciosa @khaniag_
Sun Aug 10 22:45:05 PDT 2014 --  Me encabrona esto. Pinches ilusiones
Sun Aug 10 22:29:15 PDT 2014 --  JAJA NO MAMEN Esta imagen me hizo la noche. pic.twitter.com/o4ndmg5QZE
Tue Aug 05 10:40:06 PDT 2014 --  Zinedine Zidane: "Una vez lloré porque no tenia zapatos, luego conocí a una persona que no tenia pies, y me di cuenta de lo rico que soy".
Wed Aug 06 16:44:35 PDT 2014 --  El nuevo ‘look’ de Lionel Messi: pic.twitter.com/OrOFWWOC6y
Sun Aug 10 22:26:02 PDT 2014 --  Me gustaría que todo fuera mentira
Sun Aug 10 22:22:42 PDT 2014 --  por quedarme colgada una vez mas de tu sonrisa
Sun Aug 10 22:22:10 PDT 2014 --  Y daría, tantas cosas daría, sólo porque este mundo no girara tan de prisa
Sun Aug 03 14:00:02 PDT 2014 --  Ver la salida o puesta del sol por lo menos 2 o 3 veces a la semana puede combatir la depresión y ayuda a ser mas positivo.
Wed Aug 06 03:55:01 PDT 2014 --  Sabias que la distancia es la que te hace comprender cuando alguien te hace falta.
Sun Aug 10 22:14:05 PDT 2014 --  ¿lo más difícil? Verlos llorar
Sun Aug 10 22:07:27 PDT 2014 --  @AdrianGz04 y ya lo haré, ya te dije . Lo prometo
Sun Aug 10 22:01:33 PDT 2014 --  En español es "tuit/tuitear/retuitear". Si escribes "tweet", debes hacerlo en cursiva o entre comillas, por ser una palabra de otro idioma.
Sun Aug 10 21:08:29 PDT 2014 --  Algunos recuerdos nos sostienen de caer ante el peso de una ausencia.
Sun Aug 10 21:31:00 PDT 2014 --  Como es eso, ¿verdad? Que el estado de ánimo de una persona que quieres, automáticamente se vuelve tu estado de ánimo.
Sun Aug 10 21:58:28 PDT 2014 --  " @FIL0S0FIA: Nadie verá las cosas buenas que haces hasta el día en que les haga falta."
Sun Aug 10 19:25:35 PDT 2014 --  @khaniag_ sigan mucho tiempo mas porfiiiiis
Sun Aug 10 19:24:31 PDT 2014 --  “ @NoSoyMamon_: Eres el "ojalá y te vea hoy" de todos mis días.”
Sun Aug 10 19:23:41 PDT 2014 --  Hoy es 10...
Sun Aug 10 21:47:26 PDT 2014 --  El desayuno es la comida más importante del día. Te brindará la energía que necesitas para todas tus actividades. NO te lo saltes. @khaniag_
Sun Aug 10 21:24:44 PDT 2014 --  Jugar con un peine para no llorar
Sun Aug 10 12:33:04 PDT 2014 --  — Naces — Creces — Eres feo — Intentas reproducirte — Intentas reproducirte — Intentas reproducirte — Intentas reproducirte — Mueres solo.
Sun Aug 10 16:26:02 PDT 2014 --  "Porque todo lo bueno comienza con un poco de miedo."
Sun Aug 10 16:26:02 PDT 2014 --  Un beso con sabor a *Quedate conmigo siempre*
Sun Aug 10 14:27:24 PDT 2014 --  I miss her K
Sun Aug 10 12:22:41 PDT 2014 --  2 días
Sun Aug 10 09:12:53 PDT 2014 --  El dinero hace personas ricas, el conocimiento hace personas sabias y la humildad hace grandes personas."
Sun Aug 10 11:15:35 PDT 2014 --  " @sabiastuque_: El pato es una de las parejas más fieles, cuando elige a su pata, lo hace para toda la vida http://twitter.com/sabiastuque_/status/498501074501005312/photo/1pic.twitter.com/s1B3XY2nZX "
Sun Aug 10 09:28:11 PDT 2014 --  "Para triunfar hay que intentar"
Sun Aug 10 09:10:13 PDT 2014 --  Lo mío es tuyo y lo tuyo es mío :)
Sun Aug 10 07:43:22 PDT 2014 --  Tú eres la persona que puede cambiar mi estado de ánimo en sólo un momento.
Sun Aug 10 08:58:49 PDT 2014 --  "@EsNotaMusical: Quédate con quien conozca la peor versión de ti, y en vez de irse, se quede y te ayude a ser mejor." @khaniag_
Sun Aug 10 08:45:14 PDT 2014 --  Amor animal pic.twitter.com/ldDhF3ixnw
Sun Aug 10 08:37:49 PDT 2014 --  "Siempre me parece poco el tiempo que paso contigo."
Sat Aug 09 21:01:32 PDT 2014 --  En 1961, el cirujano Leonid Rogozov, se operó a si mismo para retirarse el apéndice. pic.twitter.com/mkYPWSzxKs
Sat Aug 09 20:24:50 PDT 2014 --  “ @Unaneurona_: “Me habría gustado poder guardar ese beso en una botella y poder tomarlo en pequeñas dosis cada hora o cada día””
Sat Aug 09 20:22:19 PDT 2014 --  Enamorada de su risa
Sat Aug 09 19:53:03 PDT 2014 --  ... Hijo de puta.
Sat Aug 09 19:57:21 PDT 2014 --  "A gatito guta pescadito"
Sat Aug 09 19:12:15 PDT 2014 --  Por si me stalkeas, estoy pensando en ti.
Sat Aug 09 19:11:21 PDT 2014 --  Este árbol de 2000 años en Sudáfrica es conocido como el árbol de la vida pic.twitter.com/VdRFm6NfHb
Sat Aug 09 19:30:32 PDT 2014 --  @AdrianGz04 @Yisuscruist jajajaja sí sí sí
Sat Aug 09 18:49:12 PDT 2014 --  —Mami, ¿Cuándo se me va a quitar el cáncer? —Pronto, hijo. Ya le faltan pocos likes a tu foto de Facebook.
Sat Aug 09 18:41:42 PDT 2014 --  Pacto firmado con sangre
Sat Aug 09 17:38:53 PDT 2014 --  " @Tapitadelalapi: —¿Cuántos años tiene tu novia? —39. —JAJAJA, podría ser tu mamá. —Sí, pero es la tuya."
Thu Aug 07 18:12:10 PDT 2014 --  ¿Lo que importa es lo de adentro? JAJAJAJAJAJAJA Ni que fuéramos refrigeradores.
Wed Aug 06 23:41:13 PDT 2014 --  I love him
Wed Aug 06 23:40:31 PDT 2014 --  
Wed Aug 06 23:39:54 PDT 2014 --  Fue un día excelente
Wed Aug 06 17:43:10 PDT 2014 --  Día perfecto e inolvidable
Thu Jun 12 05:43:12 PDT 2014 --  Tu cuando acabas los examenes: http://vine.co/v/hQehtTOuad5 
Wed Aug 06 02:43:33 PDT 2014 --  Soy del 99,99999999% de personas que en su infancia tiraba las gafas de bucear al fondo de la piscina y jugaba a encontrarlas con amigos.
Mon Jul 21 22:29:01 PDT 2014 --  "Está prohibido comer en clase". pic.twitter.com/g5JRly1Hng
Wed Aug 06 01:40:01 PDT 2014 --  Estudiar una carrera universitaria puede frenar el proceso de envejecimiento del cerebro hasta una década.
Wed Aug 06 01:59:47 PDT 2014 --  
Wed Aug 06 01:12:44 PDT 2014 --  Soy todo lo que soy, porque tú eres todo lo que quiero .
Wed Aug 06 00:17:18 PDT 2014 --  pic.twitter.com/E1TXQEIVD6
Wed Aug 06 00:18:09 PDT 2014 --  Me haces feliz
Wed Aug 06 00:00:01 PDT 2014 --  Cuando una canción se te "queda pegada" es por un mecanismo cerebral que trata de que tu ánimo no cambie.
Tue Aug 05 22:38:41 PDT 2014 --  Vale madre
Tue Aug 05 20:28:27 PDT 2014 --  “ @PinchesNovios: El amor es mi acto egoísta de esconderte del mundo y perderte en mis brazos. pic.twitter.com/hfIBkUDFxM” @AdrianGz04
Tue Aug 05 21:41:47 PDT 2014 --  Nunca lo entenderías...
Tue Aug 05 21:32:45 PDT 2014 --  "@iAxelpalavecino: No nací para caerle bien a todo el mundo."
Tue Aug 05 21:09:37 PDT 2014 --  Con ganas de madrear al primero que vea...
Tue Aug 05 20:13:45 PDT 2014 --  No volverá a suceder
Tue Aug 05 10:26:47 PDT 2014 --  " @ilusionadas: Mi sonrisa eres tú; Dios."
Wed May 28 20:26:34 PDT 2014 --  Cambiar a la mujer de tu vida por la de una noche es soltar una estrella para atrapar una luciérnaga.
Tue Aug 05 09:51:49 PDT 2014 --  "Bistec" viene del inglés "beefsteak". Su plural es "bistecs", no "bisteces". Se aceptan las variantes "bisté" y "bife".
Tue Aug 05 05:03:39 PDT 2014 --  La gente que no sabe es la que más habla; porque claro, una de las cosas que no sabe es callarse.
Thu Jul 31 05:26:43 PDT 2014 --  Soy tu mejor amigo y voy a estar siempre a tu lado en los buenos y en los malos momentos pic.twitter.com/rNYceFHR3Y
Mon Aug 04 18:49:48 PDT 2014 --  —¿Y te gusta? —Cada vez más.
Thu Jul 31 05:34:58 PDT 2014 --  2 mujeres esperan para entrar al avión sin darse cuenta q sus hijas se dan la mano. RT No nacemos con odio, se enseña pic.twitter.com/lgCUjBXDXn
Wed Jul 02 17:34:30 PDT 2014 --  Mi cara cuando estás en línea y no me respondes: pic.twitter.com/osVZugcJAV
Sun Aug 03 05:30:20 PDT 2014 --  Bestial http://vine.co/v/hHqEXZ7vmjm 
Mon Aug 04 08:30:27 PDT 2014 --  Suspense http://vine.co/v/heHa2lIwjVH 
Tue Aug 05 02:30:24 PDT 2014 --  JAJAJA LA PACIENCIA TIENE UN LÍMITE. http://vine.co/v/hiBmvF1rtFQ 
Tue Aug 05 09:30:35 PDT 2014 --  " @BatiMeeme: —Qué bonitos ojos, bombón. —Gracias Mojojojo."
Tue Aug 05 09:14:37 PDT 2014 --  Con ganas de raparme de nuevo
Tue Aug 05 06:31:35 PDT 2014 --  " @LogicaDeMujeres: La distancia sólo aumenta el deseo de reencontrarse." @khaniag_
Mon Aug 04 23:11:44 PDT 2014 --  @AdrianGz04
Mon Aug 04 23:40:41 PDT 2014 --  Confianza mil
Mon Aug 04 23:03:37 PDT 2014 --  
Mon Aug 04 22:50:44 PDT 2014 --  Mi todo
Mon Aug 04 22:20:03 PDT 2014 --  80% de las personas duerme con su celular en la cama.
Mon Aug 04 12:32:34 PDT 2014 --  Ver sus fotos y sonreír
Mon Aug 04 03:13:12 PDT 2014 --  No puedo dejar de ver sus fotos
Sat Aug 02 10:02:17 PDT 2014 --  Nada hace tan feliz a una madre como alimentar bien a su hijito. pic.twitter.com/hn6f1LDag6
Sun Aug 03 18:00:03 PDT 2014 --  Ese momento incómodo en el que no sabes si lo soñaste o pasó de verdad.
Sun Aug 03 18:04:07 PDT 2014 --  " @Fraselntensa: Nacimos para ser felices, no para ser perfectos."
Tue Dec 03 19:40:09 PST 2013 --  Según estudios recientes, es imposible durar mucho tiempo enojado con alguien que amas. Si la ira dura más de 3 días, no estás enamorado.
Sun Aug 03 17:54:04 PDT 2014 --  Según estudios recientes comprueban que se puede ir y volver de un sitio perfectamente sin publicarlo.
Sat Aug 02 23:08:33 PDT 2014 --  Que una mujer gaste, no significa que sea pendeja, es equitativa, sabe que tiene un novio y no un cajero. -Anoten mantenidas
Sat Aug 02 20:06:24 PDT 2014 --  —¿Y tú ya tienes quién te quite el sueño, hermoso? —Sí, se llama Alarma... Pinche puta.
Sat Aug 02 19:08:34 PDT 2014 --  ¿Es así, no? pic.twitter.com/eT3hhwqniV
Sat Aug 02 10:06:32 PDT 2014 --  " @octaranda: This could be us #butyouplaying pic.twitter.com/mp71SNhC5B" @khaniag_
Fri Aug 01 22:52:43 PDT 2014 --  No son celos, son esas ganas de estar contigo y bueno si son celos.
Sat Aug 02 06:00:02 PDT 2014 --  —Amor, ¿Estás enoj… —No. Buenas noches. Hasta mañana. Tengo sueño. Bye.
Sat Aug 02 01:05:45 PDT 2014 --  Está del nabo que la conciencia no te deje dormir :/
Sat Aug 02 00:49:36 PDT 2014 --  Shit
Sat Aug 02 00:29:14 PDT 2014 --  Niñito
Sat Aug 02 00:31:48 PDT 2014 --  @MenosMejor @BatiMeeme @AdrianGz04
Fri Aug 01 22:29:38 PDT 2014 --  —Buenos días princesa, te traje el desayuno. —¿Vas a comenzar idiota?, deja dormir pendejo, ni tengo hambre.
Fri Aug 01 21:53:54 PDT 2014 --  Imagínate pic.twitter.com/murXAArg6r
Fri Aug 01 22:11:17 PDT 2014 --  Nunca hay nada si me faltas tú. A
Fri Aug 01 12:37:59 PDT 2014 --  @AdrianGz04 @ElChicoCeloso qué bonitoooo
Fri Aug 01 20:02:35 PDT 2014 --  " @Crazy_Serious: Aquí esperando un Whatsapp tuyo pic.twitter.com/eLsgW3865C"
Mon Jul 21 10:25:27 PDT 2014 --  —Lenguaje femenino: Ok = La cagaste. :) = La cagaste. Jaja = La cagaste "Visto" = La cagaste. Haz lo que quieras. = LA MEGA CAGASTE
Mon Jul 21 10:57:22 PDT 2014 --  —¿Eres un macho rudo? —Sipi.
Fri Aug 01 20:00:03 PDT 2014 --  "@PhotosConFrase: Mi lado tierno. http://twitter.com/PhotosConFrase/status/495400677854969858/photo/1pic.twitter.com/BzUqOmvtsJ " @khaniag_
Fri Aug 01 19:59:51 PDT 2014 --  " @ESomeecards: — ¿Nivel de ingles? — Alto. — Traduzca "Dolor". — Sorrow. — Haga una oración. — ¡Sorrow no te lo lleves! — ¡CONTRATADO!"
Fri Aug 01 19:59:09 PDT 2014 --  " @ESomeecards: - ¿Te dolió? - ¿Qué cosa? -Cuando te caíste del cielo –Ayyy que tierno -No, en serio, te quedó la cara hecha mierda."
Fri Jul 05 21:53:37 PDT 2013 --  A todos nos enseñaron de pequeños no hablar con extraños y acá estamos.
Tue Jul 09 14:11:33 PDT 2013 --  En mi libro “Quédate conmigo, sin ti no soy nada y no voy a poder vivir". Enseño a no perder la dignidad en una relación amorosa.
Wed Jul 30 12:09:01 PDT 2014 --  Cuando dicen «Evita el exceso» igual aplica en el maquillaje.
Sun Jul 27 15:09:01 PDT 2014 --  —Esto es un asalto, déme el celular y nadie saldrá herido. —¿Me van a violar? —No señora. —¿Por qué no? ¿Son putos o qué?
Wed Jul 30 21:09:01 PDT 2014 --  —Karlita, ven a mi casa, mi mami no está. —No puedo Jorgito, estoy con mi papá. —No tengo pañal. — pic.twitter.com/6tIerU2Pjl
Fri Aug 01 19:22:01 PDT 2014 --  Cuando presto mi teléfono y no me dejan ver que están haciendo: pic.twitter.com/oVrlL4VR2C
Fri Aug 01 15:20:49 PDT 2014 --  " @Nadasincer0: sólo me nace ser cursi contigo."
Wed Jun 04 18:24:41 PDT 2014 --  Conocerte fue de las mejores cosas que hice.
Fri Aug 01 11:56:53 PDT 2014 --  El cóndor de los Andes es la ave voladora más grande del mundo. Con sus alas desplegadas llega a 3.4 metros pic.twitter.com/APykyqRzkb
Fri Aug 01 12:32:35 PDT 2014 --  " @ElChicoCeloso: Cuando estoy celoso y me consientes.... pic.twitter.com/MM6EF4IXtt" @khaniag_
Fri Aug 01 11:53:12 PDT 2014 --  Sabias tu que el pez payaso es hermafrodita y tiene la capacidad de cambiar de sexo cuando la hembra muere. pic.twitter.com/ixhy4C60QH
Fri Jun 20 08:30:02 PDT 2014 --  La Historia de Ribery !! #RESPECT pic.twitter.com/68RZPkUDh1
