Sun Aug 23 04:02:03 PDT 2015 --  Our hashtag for tomorrow, Monday is #OTWOLAchieve Pls RT
Fri Aug 14 02:24:47 PDT 2015 --  RT FOR JAMES AND NADINE -R #OTWOLTheMeetUp pic.twitter.com/1180nGuBQu
Fri Aug 14 02:29:37 PDT 2015 --  Let's not get too caught up in the trees that we fail to see the beauty of the forest. Enjoy natin ang #OTWOLTheMeetUp and not the numbers.
Fri Aug 14 02:28:06 PDT 2015 --  Happy ako sa fandom dahil di tayo war freaks. 1M tweets or not, maganda pa rin ang #OTWOLTheMeetUp love love love
Fri Aug 14 02:13:14 PDT 2015 --  Ang totoong maganda ,hindi takot mag wacky Nadine x Maine (yaya dub) #OTWOLTheMeetUp
Fri Aug 14 02:12:41 PDT 2015 --  Girl Bungisngis ng QC, Naddie. Hihi! #OTWOLTheMeetUp pic.twitter.com/IGTQo0pDmy
Fri Aug 14 02:12:38 PDT 2015 --  Boom clap the sound of my heart #OTWOLTheMeetUp
Fri Aug 14 02:22:28 PDT 2015 --  Can't wait for my daily dose of OJD.. Ngayon lang ako malulungkot na Friday kasi bukas walang #OTWOLTheMeetUp
Thu Aug 13 20:41:26 PDT 2015 --  “ @StarCinema: 10 most 'kilig' JaDine moments READ HERE: http://ow.ly/QQ7Kp ” #OTWOLTheMeeetUp
Thu Aug 13 20:34:20 PDT 2015 --  RT for yaya dub! She doesnt look like a yaya tho. She's a goddess. #OTWOLTheMeetUp #AlDubHihintayinKita pic.twitter.com/YFfNG4nng1
Thu Aug 13 20:33:46 PDT 2015 --  © one of the best scenes last night. 'yung tipong may horror pala XD -Tac #OTWOLTheMeetUp pic.twitter.com/M63euHPRj3
Thu Aug 13 20:33:11 PDT 2015 --  Beautiful is an understatement Im telling you now #OTWOLTheMeetUp pic.twitter.com/PCEahrPdkF
Thu Aug 13 08:04:06 PDT 2015 --  Thank you #OTWOLPusongOFW pic.twitter.com/XHxjdONpBq
Thu Aug 13 15:54:14 PDT 2015 --  I almost cried when i saw this scene last night. Baby girl, you made us proud @hellobangsie #OTWOLTheMeetUp pic.twitter.com/f7cz6208mw
Thu Aug 13 17:24:33 PDT 2015 --  Nadine's Bangs appreciation post bangsieeee!! @hellobangsie #OTWOLTheMeetUp pic.twitter.com/eac9dlh1K6
Thu Aug 13 19:28:52 PDT 2015 --  kung MAGANDA ka, babalikan KA! from direk tonette! #OTWOLTheMeetUp https://twitter.com/JDBeasts/status/632008203744636928 …
Thu Aug 13 19:27:39 PDT 2015 --  Nakakaproud na kahit kasisimula palang antaas agad ng ratings! Top seven! Congrats Team OTWOL! © #OTWOLTheMeetUp pic.twitter.com/AGLlhQPCe6
Thu Aug 13 19:28:48 PDT 2015 --  Handa ka na ba mag weekend?? Walang OTWOL huhuhuhu #OTWOLTheMeetUp
Thu Aug 13 19:29:27 PDT 2015 --  Bakit kaya ang mannequin ginawang perfect pero di pa nilagyan nga Abs? Naughty Team Jebs. #OTWOLTheMeeetUp
Thu Aug 13 19:28:34 PDT 2015 --  Rogelio Rogelio Rogelio Rogelio #OTWOLTheMeeetUp
Thu Aug 13 19:28:00 PDT 2015 --  Watching AlDub Kwekkweksary lafftrip!! #OTWOLTheMeeetUp
Thu Aug 13 19:18:20 PDT 2015 --  Parang kailan palang nung pilot episode #OTWOLTheMeetUp
Thu Aug 13 19:18:54 PDT 2015 --  Apat na gabi na akong puyat hahaha #OTWOLTheMeetUp
Thu Aug 13 19:19:31 PDT 2015 --  Nadine be like: Ang gwapo ng boyfriend ko! Este ka-Just Friend ko. #OTWOLTheMeetUp pic.twitter.com/lFdsg6UEP2
Thu Aug 13 19:20:26 PDT 2015 --  James be like: Ang bango ng buhok ni Wifey, amoy Creamsilk. Libre promote po. Haha #OTWOLTheMeetUp pic.twitter.com/eXfKobGNVd
Thu Aug 13 19:23:01 PDT 2015 --  Now following @akosijiggs and @akosipampu! Sobra akong naaliw sa kanila! Follow nyo din. #OTWOLTheMeetUp
Thu Aug 13 19:12:06 PDT 2015 --  Great morning, everyone! Gosh, excited na kami sa #OTWOLTheMeetUp . Nakaka-jebs (pogi) ang maghintay. Pak! Haha!
Thu Aug 13 04:01:18 PDT 2015 --  Previewing my peborit eksena hihi pic.twitter.com/EERMe9oLDU
Thu Aug 13 19:10:13 PDT 2015 --  “ @tonetjadaone: Previewing my peborit eksena hihi pic.twitter.com/wbM83S20DG” #OTWOLTheMeetUp
Thu Aug 13 19:10:02 PDT 2015 --  “ @tonetjadaone: "Pag maganda ka, babalikan ka."” #OTWOLTheMeetUp
Fri Jul 24 04:33:22 PDT 2015 --  Mga Kapamilya, dont miss #Otwolgrandtrailer! Mamaya na po yan sa Nathaniel! pic.twitter.com/upMFXXmxC4
Wed Jul 22 20:35:05 PDT 2015 --  Keep voting while you still can. #NadineOnItsShowtime pic.twitter.com/hRUXHtJDXM
Wed Jul 22 20:51:26 PDT 2015 --  Mga TeamBahay, TeamBuwisTrabaho& TeamBreakFromClass, power tweet #NadineOnItsShowtime 🏼 Now on 3rd spot. #jadine pic.twitter.com/yUuozD7i6F
Wed Jul 22 21:10:37 PDT 2015 --  Sa Ibang Mundo and Musikaw Official Music Video number of views as of today -Tac #NadineOnItsShowtime pic.twitter.com/ov5o1pxG0A
Wed Jul 22 21:24:15 PDT 2015 --  Waiting #NadineOnItsShowtime pic.twitter.com/f2efY5UkYk
Wed Jul 22 21:32:09 PDT 2015 --  i get kilig all the time when i see jadine on commercials on tfc live haha #NadineOnItsShowtime pic.twitter.com/aZcLMefA4m
Wed Jul 22 21:37:06 PDT 2015 --  beyond perfection #NadineOnItsShowtime pic.twitter.com/nbEe2YUaPy
Wed Jul 22 21:40:54 PDT 2015 --  Catch up this gorgeous lady in blue on It's Showtime! #NadineOnItsShowtime pic.twitter.com/03K5EBedCT
Wed Jul 22 21:41:23 PDT 2015 --  The holding hands thou. Omg omg. #NadineOnItsShowtime pic.twitter.com/QguKABVffI
Wed Jul 22 21:45:53 PDT 2015 --  THE VERY TALENTED AND GORGEOUS NADINE LUSTRE IS NOW READY TO SLAY ALL OF US! THAT CLEAVAGE UGH #NadineOnItsShowtime pic.twitter.com/GSReyluHPw
Wed Jul 22 21:51:47 PDT 2015 --  Nadine's curves -Tac #NadineOnItsShowtime pic.twitter.com/N9HGfQxyrJ
Wed Jul 22 22:03:50 PDT 2015 --  From 6AM pack up pa yan ha! Wala. Blooming talaga! #NadineOnItsShowtime pic.twitter.com/jGc5MU9s0i
Wed Jul 22 22:05:12 PDT 2015 --  Hotness,Nadine. #NadineOnItsShowtime pic.twitter.com/xaz1BkGcxE
Wed Jul 22 22:05:46 PDT 2015 --  RIP SELF-ESTEEM. #NadineOnItsShowtime pic.twitter.com/g6IPxkHhf7
Wed Jul 22 22:15:55 PDT 2015 --  Ang Ganda tlaga jusko.. penge na rin ng ganitong mukha. #NadineOnItsShowtime pic.twitter.com/sgEvMwmH6q
Wed Jul 22 22:16:40 PDT 2015 --  OMG! Ang ganda ni nadine at pati narin yung performance nya. #NadineOnItsShowtime pic.twitter.com/HJfqdfsQtQ
Wed Jul 22 22:17:27 PDT 2015 --  Nadine gorgeous outfits! #NadineOnItsShowtime pic.twitter.com/uebfKuIggS
Sat Jul 18 21:01:09 PDT 2015 --  WAAAAAAAAH LINK PLEASEEEEE!!! #OTWOL3rdTeaser pic.twitter.com/Dgq1cwEwSt
Sat Jul 18 19:25:44 PDT 2015 --  So Bridges Of Love has "The last 3 weeks" ad, Are you thinking what I'm thinking? #OTWOL3rdTeaser
Sat Jul 18 18:27:10 PDT 2015 --  1st teaser: 122K views 2nd teaser: 46k views #OTWOL3rdTeaser
Sun Jul 12 07:44:51 PDT 2015 --  “ @vicegandako: I am so lucky to be able to meet this fierce and charming politician, Mayor Rodrigo Duterte. He's so… https://Instagram.com/p/5Ch54ejErU/ 
Sun Jul 12 07:44:42 PDT 2015 --  “ @theDUTERTE: Payag ba kayo ako maging Presidente nyo? #Duterte2016” YES!!!!! #DuterteOnGGV
Sun Jul 12 07:44:24 PDT 2015 --  “ @JadineArmy: Today's GGV Episode hahaha #DNPConcertOnSundaysBest” #DuterteOnGGV #Duterte2016
Sun Jul 12 07:44:05 PDT 2015 --  “ @theDUTERTE: Isa sa pinaka mapayapang lugar sa buong mundo ang Davao.” #Duterte2016 #DuterteOnGGV
Sun Jul 12 07:43:53 PDT 2015 --  “ @theDUTERTE: Vice Ganda: Ilan po girlfriend nyo? ... Vice Ganda: Ay nag tagal ka ng sagot!! Mayor Duterte: Nagbibilang ako wag ka magulo”
Sun Jul 12 07:43:43 PDT 2015 --  “ @vicegandako: Mayor Duterte is not scary. Not at all. He's very nice in person. I love him! #Duterte2016 #DuterteOnGGV
Sun Jul 12 07:39:25 PDT 2015 --  We can make it sa trending list diba, JaDines? #DNPConcertOnSundaysBest
Sun Jul 12 07:43:22 PDT 2015 --  “ @theDUTERTE: "Kapag niloko ka, sinaktan ka sabihin mo sakin." Mayor Duterte to Vice Ganda” #DuterteOnGGV #Duterte2016
Sun Jul 12 07:43:09 PDT 2015 --  “ @vicegandako: Hahahahha lagot na kayo!!!! Bestfriends na kami ni Mayor Duterte! Wag kayong loloko loko! Hehhe! #DuterteOnGGV #Duterte2016
Sun Jul 12 07:42:43 PDT 2015 --  “ @theDUTERTE: YOU ONLY LIVE ONCE” #DuterteOnGGV #Duterte2016
Sun Jul 12 07:42:26 PDT 2015 --  Now watching: #DuterteOnGGV #Duterte2016
Sun Jul 12 04:06:43 PDT 2015 --  Qualified for Just Friends? I think more than that. #DiNaKoNaniniwalaSaJustFriends -K pic.twitter.com/GzxILiSmzb
Sun Jul 12 04:38:28 PDT 2015 --  Di ako pwede magpuyat talaga pero sige na nga for the love. #dnp
Sun Jul 12 00:30:00 PDT 2015 --  "Just Friends pa din sila" JaDines be like:............. #DiNaKoNaniniwalaSaJustFriends pic.twitter.com/pjIceab6zl
Sun Jul 12 00:20:39 PDT 2015 --  Thank you. 🏼 @wehideinshadows No Erase Cover 🏼 https://m.youtube.com/watch?v=4TFve4qQPGg … https://twitter.com/adineinfinity/status/620126595898937344 …
Wed Jul 01 20:35:51 PDT 2015 --  Simply RT and Favorite to count your vote for #onlyjadine! :) get more of them here:http://bit.ly/abscbnstore  pic.twitter.com/bEhvYyzpUm
Mon Jul 06 04:02:45 PDT 2015 --  Tugma dapat ang HT sa panahon.. Kaya #OTWOLStrandedSaBaha na!! XD
Mon Jul 06 04:05:13 PDT 2015 --  #OTWOLStrandedSaBaha ARAW ARAW HOPIA.
Mon Jul 06 04:05:48 PDT 2015 --  Musikaw MTVPremiere #OTWOLStrandedSaBaha
Tue Jun 16 20:05:33 PDT 2015 --  OMG!! Am I ready for more feelings??? #UnsentLetters pic.twitter.com/pBeHFxRSyv
Sun Jun 14 09:17:19 PDT 2015 --  nakatingin na naman sa lips -Darna #JaDineAtGuillermoAwards pic.twitter.com/P9qhvkmQ90
Sun Jun 14 10:20:08 PDT 2015 --  “ @JDNationLuzon: #JaDineAtGuillermoAwards”
Sun Jun 14 09:19:36 PDT 2015 --  Happy JaDine Day everyone! Solid tayo -D #JaDineAtGuillermoAwards
Sun Jun 14 09:20:17 PDT 2015 --  JaDine -Darna #JaDineAtGuillermoAwards pic.twitter.com/sKH809Yl38
Sun Jun 14 09:21:36 PDT 2015 --  Hindi ako makatulog dahil sa JaDine. Ano ba 'yan? Malapit na akong mabaliw! #JaDineAtGuillermoAwards
Sun Jun 14 09:23:12 PDT 2015 --  natutuwa talaga ko pag nakikita ko din si nadine na masayang masaya -Darna #JaDineAtGuillermoAwards pic.twitter.com/QCZbHVxB26
Sun Jun 14 09:23:50 PDT 2015 --  "Umulan man o umaraw" aww #JaDineAtGuillermoAwards
Sun Jun 14 09:24:48 PDT 2015 --  FEMALE FACE OF THE NIGHT @hellobangsie !! Congratulations Mommy! -D #JaDineAtGuillermoAwards
Sun Jun 14 09:25:07 PDT 2015 --  as far as I know this is her 3rd time winning 'female face of the night' may naiinggit #JaDineAtGuillermoAwards https://twitter.com/BerdillaMary/status/610108459833409536 …
Sun Jun 14 09:25:37 PDT 2015 --  Congratulations @jamesxreid and @hellobangsie!!! You two deserve it and more!!! #JaDineAtGuillermoAwards
Sun Jun 14 10:19:21 PDT 2015 --  “ @17marieagnes: Happy JaDine Day!!! Spread the Love!!! #JaDineAtGuillermoAwards”
Sun Jun 14 09:28:38 PDT 2015 --  So happy to see them again. I just can't stop smiling Stay strong🏼Congratulations🏼 #JaDineAtGuillermoAwards
Sun Jun 14 09:32:56 PDT 2015 --  So proud #JaDineAtGuillermoAwards https://twitter.com/JaDineWorldArmy/status/610104181286830080 …
Sun Jun 14 09:33:02 PDT 2015 --  https://youtu.be/5zg2988nl6M  #JaDineAtGuillermoAwards #JaDine
Sun Jun 14 09:33:54 PDT 2015 --  " @JaDine_Addicts: Gwapito hayme #JaDineAtGuillermoAwards -G pic.twitter.com/c374Jsbbh5"
Sun Jun 14 10:18:58 PDT 2015 --  Happy 1 year and 3 months! @jamesxreid @hellobangsie #JaDineAtGuillermoAwards #GuillermoMendozaAwardsNight #jadineforever
Sun Jun 14 09:37:24 PDT 2015 --  Happy 1 year and 3 months JaDines!!! Solid padin tayo!! parang kelan lang :((( #JaDineAtGuillermoAwards
Sun Jun 14 09:38:07 PDT 2015 --  Congratulations.. Jadine :D The Most Popular Loveteam In Movies And Tv @hellobangsie & @jamesxreid james #JaDineAtGuillermoAwards
Sun Jun 14 09:38:18 PDT 2015 --  HAPPY JADINE'S DAY May God Bless you both in every aspect of your lives. #JaDine #JaDineAtGuillermoAwards #JaDineDay
Sun Jun 14 09:32:46 PDT 2015 --  They're already 1 year and 3 months together as a team Happy JaDine Day
Sun Jun 14 09:04:32 PDT 2015 --  Ang dami titig ni hubby nalulunod ako haha #Jadine #JaDineAtGuillermoAwardsNight © @chikkanessave https://instagram.com/p/36mUlFqFSB/ 
Sun Jun 14 09:07:35 PDT 2015 --  "Thanked each other for sticking together for their loveteam." #JaDineAtGuillermoAwardsNight pic.twitter.com/wZBVZewCeV
Sun Jun 14 09:10:41 PDT 2015 --  "Thank you for the Jadine Fans for always being with us so humble & kind."-JaDine #JaDineAtGuillermoAwardsNight pic.twitter.com/ARVqEYdzwY
Sun Jun 14 09:12:10 PDT 2015 --  Kahit bumagyo pa yan at tamaan tayo ng kidlat babangon at babangon kami dahil we love you. Love… https://instagram.com/p/36nMiUKFT5/ 
Sun Jun 14 09:13:38 PDT 2015 --  The titig Hayme. The titig! #JaDineAtGuillermoAwardsNight pic.twitter.com/pF8YPd0hzB
Sun Jun 14 09:14:32 PDT 2015 --  Congrats! All the hardworks have paid of for just one night. You both deserve it! #JaDineAtGuillermoAwardsNight pic.twitter.com/DnzMqDyNJx
Sun Jun 14 09:15:47 PDT 2015 --  Congrats, @jamesxreid & @hellobangsie Happy Happy 15th Monthsary! Solid tayo! #JaDineAtGuillermoAwardsNight pic.twitter.com/VHTbmht8ML
Sun Jun 14 09:16:24 PDT 2015 --  Congrats, @jamesxreid & @hellobangsie Happy Happy 15th Monthsary! Solid tayo! #JaDineAtGuillermoAwardsNight pic.twitter.com/NxWAUKch07
Sun Jun 14 09:21:28 PDT 2015 --  " Umulan man o umaraw " #SOLID JaDine fans we're here!
Sun Jun 14 09:23:44 PDT 2015 --  I run away from anyone who wants "a simple girl." That means you're not allowed to be complex, have a personality, or goals outside family.
Sun Jun 14 09:24:18 PDT 2015 --  Kapit na kapit haha di po yan lilipad relaks ka lang #Jadine #JaDineAtGuillermoAwardsNight © @starcinema https://instagram.com/p/36olXWKFWv/ 
Sun Jun 14 09:24:23 PDT 2015 --  JADINE accept their trophies as they were named Most Popular Love Team in Movies & TV at the… https://instagram.com/p/36olSXHEFw/ 
Sun Jun 14 09:25:27 PDT 2015 --  Congrats to the infinity!! #JADINE #nadinelustre #Jamesreid #Guillermoawards… https://instagram.com/p/36otNTnEF9/ 
Sun Jun 14 09:28:09 PDT 2015 --  Tinaas nya ang award para ipakita sa fans ang cute lang. Deserve nyo yan mga bebe you both work hard… https://instagram.com/p/36pBleKFXc/ 
Sun Jun 14 02:21:02 PDT 2015 --  Slay mom & dad! #JaDineAtGuillermoAwards pic.twitter.com/qFYLTder1r
Sun Jun 14 02:22:38 PDT 2015 --  This <3 <3 <3 #TBYDPremeireOnCinemaOne #JaDineAtGuillermoAwards pic.twitter.com/ARcZtk0kq1
Sun Jun 14 02:25:12 PDT 2015 --  Naddie spotted again. Asan na si James? #JaDineAtGuillermoAwards pic.twitter.com/lRyaQs8eB9
Sun Jun 14 02:31:56 PDT 2015 --  She appreciates fan edits One of a kind, down-to-earth lady -ja #JaDineAtGuillermoAwards pic.twitter.com/Ben1BeD4HD
Sat Jun 13 21:38:33 PDT 2015 --  Bakit ba napaka-ganda mo kahit walang make-up? #DahilSaJaDine pic.twitter.com/xzlmO8OjAJ
Sat Jun 13 21:42:21 PDT 2015 --  Pinag hahandaan nila ang pag kikita nila, dapat blooming! #DahilSaJaDine
Sat Jun 13 21:48:15 PDT 2015 --  #DahilSaJaDine kinikilig ako ng sobra -Darna pic.twitter.com/iNi3m6pnOl
Sat Jun 13 21:36:57 PDT 2015 --  Every girl deserves a special guy who will look at them like this #DahilSaJaDine pic.twitter.com/C8R8sgt5t6
Sat Jun 13 21:51:27 PDT 2015 --  jusko jaye wag mong itutuloy!!!!!! ang pogi ng wolf na to -PJ pic.twitter.com/LkE3k4bxa4
Sat Jun 13 21:57:30 PDT 2015 --  Kanina pa yang phone mo Naddie ah. Kunwari di namin alam na si James katext mo. Kyah! #DahilSaJaDine pic.twitter.com/x7hqnvmOh0
Thu Jun 11 08:16:56 PDT 2015 --  Pretty please banker... #JaDineForDealOrNoDeal
Thu Jun 11 08:15:30 PDT 2015 --  Imagine d first LT to win 2M, ituloy na ang japan togeda #JaDineForDealOrNoDeal
Thu Jun 11 07:39:26 PDT 2015 --  Ohh, thank you po! :) #JaDineForDealOrNoDeal https://twitter.com/teambonfayah/status/609006440804540417 …
Thu Jun 11 06:36:03 PDT 2015 --  #JaDineForDealOrNoDeal pls pls pic.twitter.com/HO5cI2BHZs
Sat Jun 13 02:56:07 PDT 2015 --  Waaah kakauwi ko lang na air na pala sa tv di ko naabutan.Tnx for dis. https://twitter.com/ilovemimi237/status/609655893991538688 …
Sat Jun 13 21:04:26 PDT 2015 --  Wala naman pala ang #jadine sa #ASAPBreakFree ..:(((( kairita.panira tlga itong #abscbn..boo!
Sat Jun 13 21:02:50 PDT 2015 --  “ @nadchelseaxreid: Ayun naman pala© @eniidaj #JaDine #JamesReid #NadineLustre http://ln.is/instagram.com/p/nhKlU …” KAINIS!!! @ASAPOFFICIAL
Sat Jun 13 20:33:57 PDT 2015 --  With @hellobangsie🏻 ™ @cassandraxxlim #JaDine #NadineLustre #ELITES https://instagram.com/p/35QbRBJ8b_/ 
Sat Jun 13 20:40:25 PDT 2015 --  Wala ang JaDine sa ASAP! #HOPIA #NadineLustre #JamesReid #JaDine #FearlessJaDine https://instagram.com/p/35RKlwsW7j/ 
Sat Jun 13 20:46:03 PDT 2015 --  Wala Sa ASAP Ang #JADINE. Matulog ulet.
Thu Jun 11 07:47:21 PDT 2015 --  Masakit daw mangarap. Mali sila, kasi hindi naman masakit mangarap e. Ang masakit ay ang mabuhay. #UnsentLetters
Thu Jun 11 07:57:06 PDT 2015 --  Isa na yata sa pinakamahirap na pakiramdam ang mapunta sa purgatoryo sa pagitan ng “kaya pa.” at “suko na.” #UnsentLetters
Thu Jun 11 17:11:40 PDT 2015 --  And so I hate myself for letting my guard down and slipping past the safety net which I’ve haphazardly put up in front of me. #UnsentLetters
