Mon Aug 17 12:31:39 PDT 2015 --  Coutinho could find Memphis Depays dad.
Thu Jan 30 10:35:21 PST 2014 --  Why did Roy pick me like I drink all the time and I'm a fucking legend
Wed Jan 29 17:31:18 PST 2014 --  #uploadingissues
Wed Jan 29 11:17:24 PST 2014 --  Sometimes words hurt Roy @royfitz5 pic.twitter.com/Y5yZtoce9u
Mon Jan 27 11:13:50 PST 2014 --  I understand @samtwiston has said that I will be making a comeback on the flat once my ban is over. I haven't decided yet #moosiesincharge
Fri Jan 24 12:21:37 PST 2014 --  Celtic fans on Andy Goram after it was revealed the keeper was diagnosed with schizophrenia. pic.twitter.com/vXnNN9J6up
Wed Jan 22 14:23:29 PST 2014 --  Januzaj is the worst player ever #ever
Wed Jan 22 14:11:13 PST 2014 --  Ohhhhhh #DaviddeFumble
Tue Jan 21 11:47:38 PST 2014 --  http://www.youtube.com/watch?v=DL5649ojWgA … @alanob1993
Mon Jan 20 07:29:34 PST 2014 --  "Speaking of garages, did you know that the word actually comes from the Latin meaning 'go rage'?"
Wed Jan 15 11:37:09 PST 2014 --  His shot power was once '99' on Pro Evolution, but Adriano's stamina would be about '5' now, by the looks of it. pic.twitter.com/bCZxhk6aXc
Wed Jan 15 11:14:06 PST 2014 --  The new sky sports news lady #mmmmm
Sat Jan 11 02:49:00 PST 2014 --  Happy Birthday Sir Emile Heskey! pic.twitter.com/JMNsGDsivf
Fri Jan 10 07:00:25 PST 2014 --  It's an achievement how much we fucked up our hotel room in such a short space of time
Tue Jan 07 12:39:32 PST 2014 --  Uniteds misfortune is my personal favourite type of misfortune
Tue Jan 07 12:36:21 PST 2014 --  You can't not love a giggsy OG #MoyesOut
Mon Jan 06 02:57:10 PST 2014 --  come join us in the new bar #FuckCollege pic.twitter.com/jpwaxHiEUF
Sun Jan 05 10:24:03 PST 2014 --  “ @paddypower: Moyes. pic.twitter.com/oQOlPZJXuK” never gets old
Sun Jan 05 09:47:15 PST 2014 --  #ThatAwkwardMoment When Michael Owen doesn't spot the sarcasm. pic.twitter.com/bcvyKHkORN
Sat Jan 04 10:51:56 PST 2014 --  Watching ITV on sky is some trek
Sat Dec 28 12:27:23 PST 2013 --  Cocaine night in kyles better live up to expectations #cocainenotcoke
Fri Dec 27 04:13:36 PST 2013 --  I can't even comment on ear fair cos I can't remember most of it #ohwell
Wed Dec 25 15:12:35 PST 2013 --  Anyone else bored out their fucking tree?
Tue Dec 24 16:05:43 PST 2013 --  YAY ITS MY BIRTHDAY!!! MASSIVE PARTY AT MINE! YOURE ALL INVITED!! but nobody tell Jewdus. Still havent forgiven him #merrymemas #MassParty
Tue Dec 24 15:56:27 PST 2013 --  Asked a child at around 9 years old at work what santa's bringing him. One word reply, Dartboard. Proper present. No bullshit.
Mon Dec 23 03:06:19 PST 2013 --  Question mark
Fri Dec 20 04:10:20 PST 2013 --  Waitin for the fire to lighhhhhht
Wed Dec 18 07:15:34 PST 2013 --  only one more month until 13/13/13
Tue Dec 17 12:45:32 PST 2013 --  Asked Pablo Zabaleta how his injured leg is. He said it hurts. I said does it hurt a lot. He said yes. I said anything I can do. He said no.
Sun Dec 15 13:52:55 PST 2013 --  Hope keano comes on the stage and decks fergie #SPOTY
Fri Dec 13 09:33:55 PST 2013 --  I have Torres, how do I unlock the others? pic.twitter.com/hfto2vGMwL
Fri Dec 13 01:59:46 PST 2013 --  Reading over @CrimsonMintern texts last night made me lol #jagerbombsformyboys haha
Fri Dec 13 01:43:35 PST 2013 --  Next Tuesday night is so far away what am I going to do to fill my time #hmmmm
Wed Dec 11 12:41:46 PST 2013 --  63% of Chríost Rí students think they're better than everyone else
Tue Dec 10 08:30:13 PST 2013 --  45% of Midleton locals have a shower using Fairyliquid
Wed Dec 11 10:26:26 PST 2013 --  19% of Northside children do not know its Christmas time
Wed Dec 11 04:16:44 PST 2013 --  Getting sick there was a great idea
Wed Dec 11 02:23:49 PST 2013 --  After 12 pubs I got collected and didn't get sick out car window #success
Tue Dec 10 12:16:28 PST 2013 --  David hooley (who is 20 years old) is grounded from 12 pubs #whipped # Emily
Mon Dec 09 03:45:11 PST 2013 --  Would like to wish @Doolchair a happy birthday, look how happy he is to reach the big 20 pic.twitter.com/moD236iT3g
