Wed Aug 26 16:17:21 PDT 2015 --  2016 Shelby GT350 pic.twitter.com/rpfVSFdAV4
Sun Aug 16 07:13:48 PDT 2015 --  Forgot the Premier League had the worst referees in Europe.
Sun Aug 16 07:07:07 PDT 2015 --  "I'll put a towel down and save us a spot" pic.twitter.com/RBmPePsxxS
Sun Aug 16 07:04:29 PDT 2015 --  ride along 2 looks jokes
Sun Aug 16 06:53:14 PDT 2015 --  Check out this #CPFC fan reacting to that Mezut Ozil skill earlier. #Arsenal #CRYARS https://vine.co/v/ep5F5KnVaPL 
Sat Aug 15 16:10:21 PDT 2015 --  Just Robert Lewandowski being a little kid https://vine.co/v/edFH1Kl22aq 
Sat Aug 15 16:15:08 PDT 2015 --  LIGHTWORK FOR ME AND LOUIS melkweg pic.twitter.com/r4IswxMbgW
Sat Aug 15 16:15:16 PDT 2015 --  Just dome Neymar things. https://vine.co/v/hVVEYiY7nda 
Tue Aug 11 08:14:52 PDT 2015 --  Sold a guy pubes in a box on ebay hahaha and he thinks he's getting a used phone.
Wed Aug 12 08:30:18 PDT 2015 --  Ordered an iphone 6 off ebay and the dickhead sent me pubes in a box instead. What fuckboy does that thinking it's funny
Sat Aug 15 16:21:38 PDT 2015 --  Sorry for wasting your time... pic.twitter.com/Ff8D4yuOLW
Sat Aug 15 16:30:25 PDT 2015 --  ME WHEN I LEARN BAD THINGS ABOUT PEOPLE I DON’T LIKE pic.twitter.com/yNKhNnzn7k
Thu Aug 06 17:29:38 PDT 2015 --  Asian vines are on a different level https://vine.co/v/eXUTYPOTWQ6 
Wed Aug 05 09:56:27 PDT 2015 --  dont smoke the weedz.. :/ https://vine.co/v/OHE1zzxtxBX 
Sat Aug 15 13:35:28 PDT 2015 --  Walker has still won more tackles than any other player in the Premier League this season (12).
Sat Aug 15 12:27:44 PDT 2015 --  Having the best time with my buddies watching @EnglandRugby #carrythemhome pic.twitter.com/LK9df2dr28
Sat Aug 15 11:24:30 PDT 2015 --  Finding Dory will be in theaters June 17, 2016 pic.twitter.com/oSksIpTlBw
Sat Aug 15 12:22:44 PDT 2015 --  when ur being a brat but he still loves u pic.twitter.com/gvCVrpoZxi
Sat Aug 15 12:19:44 PDT 2015 --  Worst corner of the season award goes to Charlton attacker Ceballos pic.twitter.com/eoWy6K2I8B
Sat Aug 15 12:14:47 PDT 2015 --  Danish special forces... pic.twitter.com/xiopSADIws
Sat Aug 15 11:12:50 PDT 2015 --  That was fucking beautiful https://twitter.com/total_futbol_/status/632613441220542464 …
Sat Aug 15 12:03:36 PDT 2015 --  Harvey Price pic.twitter.com/QHydiD8sI5
Sat Aug 15 11:59:06 PDT 2015 --  Manchester City could be prepared to use Eliaquim Mangala as bait to secure a deal for Valencia centre-back Nicolas Otamendi. (Cadena SER)
Sat Aug 15 12:00:32 PDT 2015 --  Spare a thought for those people who had Courtois in net last week... ...And decided to replace him with Adrian this week.
Thu Aug 13 22:08:46 PDT 2015 --  yup pic.twitter.com/Jl8XZ6KNZA
Sat Aug 15 11:49:04 PDT 2015 --  When you catch your friend with a 2/10 pic.twitter.com/KwD4Lq9ZfG
Sat Aug 15 11:45:39 PDT 2015 --  This 1967 Ford Mustang... pic.twitter.com/CSjwzrrLCv
Sat Aug 15 07:40:30 PDT 2015 --  @Caspar_Lee WE'RE LESS THAN 30K AWAY MAN #DiCaspTo5Mil pic.twitter.com/G8ZEK25zlk
Sat Aug 15 11:40:09 PDT 2015 --  Bloody hell Lili, that's a crazy thing to do whilst on holiday!! pic.twitter.com/PvQqQZAf0c
Sat Aug 15 11:38:07 PDT 2015 --  Yep. pic.twitter.com/thporMC1dE
Sat Aug 15 11:22:25 PDT 2015 --  Talk about a throwback... pic.twitter.com/9n5EgDc5YF
Sat Aug 15 11:18:48 PDT 2015 --  HERE WE GO BOYS! Got a mental squad in FUTDraft :D Should smash this xD pic.twitter.com/eEjX6fMndR
Sat Aug 15 10:19:27 PDT 2015 --  'Straight Outta Compton' is killing it at the box office. http://trib.al/hkUabSU 
Sat Aug 15 11:12:45 PDT 2015 --  straight outta Compton looks sick tbf
Thu Aug 13 12:21:24 PDT 2015 --  What the other side of the pic looks like pic.twitter.com/Cz831EpwFX
Sat Aug 15 11:07:34 PDT 2015 --  What a hit! https://vine.co/v/epKFn2XtZBh 
Sat Aug 15 11:05:28 PDT 2015 --  A.R.M pic.twitter.com/0CH0E3vrSZ
Sat Aug 15 11:02:17 PDT 2015 --  Why are my mentions all about my eyebrows ATM, tf
Sat Aug 15 10:24:11 PDT 2015 --  That didn't go to plan pic.twitter.com/39jj1M0h1D
Fri Aug 14 13:56:49 PDT 2015 --  FIFA 16 Beta codes giveaway, RT this & follow us to win, will pick a winner tomorrow! :D pic.twitter.com/t9bzlfZEPl
Sat Aug 15 10:57:21 PDT 2015 --  The Incredibles 2 is coming... We've waited 10 years for this! pic.twitter.com/AmUd9HcCJy
Sat Aug 15 10:55:18 PDT 2015 --  FUTDRAFT REWARD FOR WINNING ALL 4 GAMES! What do you guys thing? RT's Appreciated!! pic.twitter.com/O7dYPqe884
Sat Aug 15 10:52:54 PDT 2015 --  Happy Birthday Jennifer Lawrence pic.twitter.com/VFVCDfJv4z
Sat Aug 15 10:47:35 PDT 2015 --  You're never too old for House Every Weekend... https://amp.twimg.com/v/542de13b-e3fa-40e1-8d30-411bd1b96c76 …
Sun Jul 26 14:26:24 PDT 2015 --  Medi Abalimba - The former Derby and Oldham player is now in jail after pretending to be Gael Kakuta. pic.twitter.com/V2j9NLRFA8
Sat Aug 15 10:37:42 PDT 2015 --  when your instagram picture makes it over 11 likes https://vine.co/v/hw3IllDgh9D 
Sat Aug 15 08:58:01 PDT 2015 --  Who's the better goalkeeper? RT for Jenkinson FAV for Cech pic.twitter.com/u9ITW60jLw
Sat Aug 15 10:35:06 PDT 2015 --  You just can't send Ronaldinho off. pic.twitter.com/oVa9u0dI0k
Sat Aug 15 10:32:38 PDT 2015 --  3 wins down!! One more to go for the big time :D #FUTDraft! pic.twitter.com/waSbFbqSIY
Sat Aug 15 10:32:47 PDT 2015 --  I think this sums up my thoughts of that last QPR goal! https://vine.co/v/O2dbr2lju2Y 
Sat Aug 15 08:24:06 PDT 2015 --  When a team lets you down on your accumulator pic.twitter.com/ridQnoMP8e
Wed Aug 12 21:30:08 PDT 2015 --  Every game-winner in Kobe's career pic.twitter.com/GJIk74FNGg
Sun Sep 28 11:36:18 PDT 2014 --  Follow for the Best Sport Vines | https://vine.co/v/O709OgWgFaT 
Sat Aug 15 01:28:34 PDT 2015 --  Paul Merson thinks that West Ham are in serious trouble against Leicester today. Ok mate. #LCFC #WHUFC pic.twitter.com/0nthVCF97t
Sat Aug 15 10:26:23 PDT 2015 --  Scenes as Arsenal loanee Carl Jenkinson played as West Ham’s goalkeeper v Leicester (Vine) http://bit.ly/1Ja7s30  pic.twitter.com/Oe69C9uPds
Sat Aug 15 09:34:54 PDT 2015 --  dying pic.twitter.com/D7nRhu6dM5
Sat Aug 15 10:14:48 PDT 2015 --  Between 450-600. I got FUTDraft tokens in packs, so free atm :D https://twitter.com/TetraBoyQ/status/632601212853088256 …
Sat Aug 15 09:01:21 PDT 2015 --  Well done Adrian - #KickItOut. pic.twitter.com/9D9FbQEEQ5
Sat Aug 15 10:20:55 PDT 2015 --  Ibrahimovic : " For me, Messi is the best in the world. He's like playstation " . pic.twitter.com/Id7Zf8jTjZ
Sat Aug 15 09:48:55 PDT 2015 --  @DyingLightGame just chillin with the bae pic.twitter.com/UBXgdWcu7e
Sat Aug 15 10:17:29 PDT 2015 --  Heard a bald Leicester fan on the train say that him and his mate were pedophiles while laughing, such a strange bunch
Sat Aug 15 08:44:51 PDT 2015 --  Mitrovic subbed on last week - booked first min Mitrovic subbed on this week - booked within two min Job done. pic.twitter.com/ScCLnKjQUo
Sat Aug 15 08:43:10 PDT 2015 --  haha knew it
Sat Aug 15 08:32:50 PDT 2015 --  Beware of the dog! pic.twitter.com/25Q0HWR5W6
Sat Aug 15 08:15:42 PDT 2015 --  Insane E92 M3s pic.twitter.com/G6RB3uJsPy
Sat Aug 15 08:32:13 PDT 2015 --  https://www.youtube.com/watch?v=061za4l1fWs …
Sat Aug 15 05:49:10 PDT 2015 --  pic.twitter.com/dT51VwNLux
Sat Aug 15 08:28:18 PDT 2015 --  Mason has definitely been one of our best players today. It's that #8 top I tell you, it's magic. #thfc
Sat Aug 15 08:29:01 PDT 2015 --  There's 4 on the market right now! pic.twitter.com/sLgL1zfbIP
Sat Aug 15 07:48:07 PDT 2015 --  When you're confused on buying the home kit or the away kit.. pic.twitter.com/Ztj2wszBn9
Sat Aug 15 08:27:59 PDT 2015 --  fair play romelu https://twitter.com/Total_Futbol_/status/632574065061023744 …
Sat Aug 15 08:26:31 PDT 2015 --  how is that even a legend card https://twitter.com/BanterAthletic/status/632573914284167168 …
Sat Aug 15 08:05:38 PDT 2015 --  IM LAUGHING SO HARD pic.twitter.com/FLxf2iZDiH
Sat Aug 15 08:23:58 PDT 2015 --  Looking at my fantasy team like... https://vine.co/v/MgX5aDgKFmx 
Sat Aug 15 08:24:07 PDT 2015 --  BREAKING: Sunderland fans looking at this season. pic.twitter.com/idKINEo1gM
Sat Aug 15 08:20:40 PDT 2015 --  When your mate has your back. https://vine.co/v/epmgZ3AxD0b 
Sat Aug 15 08:20:57 PDT 2015 --  Sunderland fans trying to watch the game like... pic.twitter.com/ivadjHn5Ce
Sat Aug 15 08:19:49 PDT 2015 --  Inzaghi with a +1 rating! +2 to Shooting and Dribbling! FIFA 16 Ratings pic.twitter.com/u6WFAAY4dN
Sat Aug 15 08:17:25 PDT 2015 --  Larsson with a shooting and defending increase. Also Rating +1 FIFA 16 Ratings pic.twitter.com/TnVPn6AXHi
Sat Aug 15 08:14:17 PDT 2015 --  He Died Fighting pic.twitter.com/ySZkP4hePq
Sat Aug 15 08:13:32 PDT 2015 --  Michael Owen with a shooting and dribbling upgrade! +1 Overall too. FIFA 16 Ratings. pic.twitter.com/pFiiIdT0cx
Sat Aug 15 08:12:57 PDT 2015 --  When Eriksen is on it we're a different machine.
Sat Aug 15 08:11:58 PDT 2015 --  Bobby Moore with a massive pace downgrade, but a rating and defending upgrade... FIFA 16 Ratings! pic.twitter.com/LfjuQqTrcg
Sat Aug 15 08:08:59 PDT 2015 --  FIFA 16 Van Nistelrooy with a +1 to his Overall. +1 Shooting +1 Defending pic.twitter.com/HGLFVqhgQ4
Sat Aug 15 08:01:49 PDT 2015 --  UFO https://vine.co/v/edA9egziBZJ 
Sat Aug 15 07:57:07 PDT 2015 --  Fenerbahce have paid for a young Man Utd fan to fly to Istanbul to meet RVP after a video of him crying at the news of his exit went viral.
Sat Aug 15 07:57:53 PDT 2015 --  If you think English punditry is biased, the Chinese ones actually wear their shirts! pic.twitter.com/BOYtbXHMXG
Sat Aug 15 07:59:18 PDT 2015 --  "Mind Grain"... pic.twitter.com/QKZpsfs9sE
Sat Aug 15 08:00:22 PDT 2015 --  There's loads of LEGENDS rating changes! 35RT's and we'll release them? How's that sound?
Sat Aug 15 07:53:09 PDT 2015 --  Mauricio sums up all our half-time feelings. #COYS pic.twitter.com/aCXYtGm48J
Sat Aug 15 07:52:12 PDT 2015 --  For people that say Chadli offers nothing, you're completely wrong. He can be frustrating at times, but makes up for it with the goals.
Sat Aug 15 07:47:07 PDT 2015 --  TEKKERS: When Eden Hazard met The @F2Freestylers. pic.twitter.com/0LEyBj001N
Sat Aug 15 07:48:32 PDT 2015 --  rate chadli
Sat Aug 15 07:45:42 PDT 2015 --  It is of course Okazaki not Okazaxi. But Leicester are 2 up so who gives a f*ck?
Wed Aug 05 10:26:49 PDT 2015 --  DJ Khaled trying to pronounce jewelry pic.twitter.com/EuMXeeX0J8
Sat Aug 15 07:41:38 PDT 2015 --  Imagine Dembele turned into the player he potentially could be. Christ.
Sat Aug 15 07:40:50 PDT 2015 --  Saw me bangin' on the sofa... pic.twitter.com/HW0ltOCsN6
Sat Aug 15 07:28:56 PDT 2015 --  Leicester lead at West Ham through Okazaxi. The Japanese forward scores from an assist by Vardy... Oh the irony.
Sat Aug 15 07:27:25 PDT 2015 --  Moussa started well
Sat Aug 15 07:24:23 PDT 2015 --  Kids recreating the famous Keown/van Nistelrooy incident. pic.twitter.com/VcrhneZr7V
Sat Aug 15 07:20:44 PDT 2015 --  yes eric #COYS
Sat Aug 15 06:49:19 PDT 2015 --  Rumours flying around that #MCFC have had a £50m bid accepted for Kevin De Bruyne. They know he's not Messi right? pic.twitter.com/5l6QWp89rp
Sat Aug 15 06:34:05 PDT 2015 --  When your set piece routine is so complicated no one actually knows what's going on. https://vine.co/v/eOEt9ZgdhdE 
Sat Aug 15 06:47:04 PDT 2015 --  When you laugh at a roast then everybody starts roasting you pic.twitter.com/PT8BGhwNAE
Sat Aug 15 06:46:15 PDT 2015 --  SPOTTED: The worst criminal offence a football fan could do. pic.twitter.com/SH14WzkqZ4
Sat Aug 15 06:43:07 PDT 2015 --  We believe.. pic.twitter.com/bGN1G9BOtJ
Sat Aug 15 06:44:06 PDT 2015 --  West Ham United are close to signing Galatasaray striker Burak Yılmaz for £6.4m. (Source: Metro)
Sat Aug 15 06:41:12 PDT 2015 --  @Scotty_Noakes na it's more than 3 I just think Steven and Hina were highlights
Sat Aug 15 06:37:11 PDT 2015 --  Sharks with human teeth are less scary pic.twitter.com/V5kRW66Mot
Sat Aug 15 06:37:38 PDT 2015 --  Everton fans right now. https://vine.co/v/hlh67IMBEVA 
Sat Aug 15 06:27:52 PDT 2015 --  Weird pic.twitter.com/shXEvuVS67
Sat Aug 15 06:30:00 PDT 2015 --  Ross Barkley's right foot is magical. What a goal, what a talent.
Sat Aug 15 06:34:46 PDT 2015 --  When the first game of the day lets your accumulator down... https://vine.co/v/hIYOZtiew1W 
Sat Aug 15 06:31:19 PDT 2015 --  Ross Barkley? He's going straight in my basket. pic.twitter.com/0rOamanTep
Sat Aug 15 06:31:23 PDT 2015 --  Clayton Donaldson turning up for the Birmingham game earlier. Calm down son, you're not Lukaku! https://vine.co/v/ep7OgYOP2tL 
Sat Aug 15 06:11:48 PDT 2015 --  Pelle can't hit a bulls arse with a banjo
Sat Aug 15 06:14:09 PDT 2015 --  Tottenham Hotspur sign Lyon striker Njie to replace Soldado: Tottenham Hotspur have confirmed the signin... http://bit.ly/1IQXJNH  #THFC
Sat Aug 15 06:11:39 PDT 2015 --  This school trip looks like a group of orange Minions... pic.twitter.com/Hn4tb1a0yH
Sat Aug 15 06:09:42 PDT 2015 --  Who's looking forward to the new Snakes On A Plane? pic.twitter.com/M2kmJMggVo
Fri Aug 14 18:32:42 PDT 2015 --  RT if you think Messi is the best player EVER! pic.twitter.com/xDVOysFXmP
Sat Aug 15 05:27:07 PDT 2015 --  The weirdest on field treatment ever was seen in Belgium last weekend. http://vine.co/v/eduaMJ6r6WH 
Fri Aug 07 06:52:01 PDT 2015 --  That's because he's in your fucking hair mate pic.twitter.com/lgGRbTaP0c
Sun Aug 09 10:59:11 PDT 2015 --  When the bae texts you to come over https://vine.co/v/MJmzEDEVaMH 
Thu Jul 30 08:04:35 PDT 2015 --  I'm dead pic.twitter.com/o63qluSJFZ
Sat Aug 08 10:24:43 PDT 2015 --  Credit were credits due tho tem Spurs fans were unbelievable today Didnt stop through the whole game
Fri Jul 24 04:04:56 PDT 2015 --  pic.twitter.com/Ad3SGANior
Sun Aug 09 10:26:50 PDT 2015 --  The #BPL table. pic.twitter.com/xczuwan5Bv
Sun Aug 09 10:26:53 PDT 2015 --  Wenger: "Can I have a refund on Cech?" Jose: http://vine.co/v/e7P1TvnLwOJ 
Sun Aug 09 10:29:10 PDT 2015 --  coutinho with another screamer wow
Sun Aug 09 10:05:21 PDT 2015 --  Lionel Messi • Tiki Taka show pic.twitter.com/iGAZLRYv7J
Sun Aug 09 10:15:03 PDT 2015 --  This is what Ipswich's academy are capable of. pic.twitter.com/Bc7rRhaYUP
Sun Aug 09 10:16:26 PDT 2015 --  Not a fan of the Arsenal fans who are booing Houghton 🏼
Sun Aug 09 10:19:40 PDT 2015 --  Just saw the Arsenal result
Sun Aug 09 10:20:15 PDT 2015 --  Arsenal fans looking at Coutinho, looking back to Özil then wiping the tear from their cheek.
Sun Aug 09 06:45:58 PDT 2015 --  The Arsenal cycle. pic.twitter.com/wXS6bqEznp
Sat Aug 08 05:28:46 PDT 2015 --  @messi10stats @Scotty_Noakes Messi with his left hand pic.twitter.com/21MBSueNaw
Sat Aug 08 05:27:08 PDT 2015 --  Decent Day at hyde park yesterday
Sat Aug 08 05:14:56 PDT 2015 --  Messi with his right foot http://vine.co/v/OFanpKIaVUB 
Sat Aug 08 05:09:24 PDT 2015 --  https://vine.co/v/ewwXx1e0ibx 
Wed Aug 05 22:30:05 PDT 2015 --  @Scotty_Noakes sweet Scott
