Tue Aug 25 16:26:59 PDT 2015 --  A lil love to ring a big birthday for a wee man. Happy 5th Murphy Brown. pic.twitter.com/n3G0xvPq3N
Mon Nov 10 12:05:40 PST 2014 --  Theo Fleury is an open book and open heart. Big Love Ball Photography Project @TheoFleury14 Photo by @eyoalha pic.twitter.com/A7PSDxRvDD
Sun Nov 09 10:38:42 PST 2014 --  Robbie Kane is the heart of Cafe Medina. Enjoy Sunday brunch with love on the side. @cafemedina… http://instagram.com/p/vMHd91BM9W/ 
Wed Oct 29 15:38:57 PDT 2014 --  WIN A BIGLOVEBALL! Halloween caption contest - Leave a comment on this photo and the best one will win… http://instagram.com/p/uwOOBShM45/ 
Tue Oct 28 14:05:18 PDT 2014 --  Candy skulls Rachael, Holly and Brittany wish you a happy Halloween. Boo! Candy skull makeup by… http://instagram.com/p/utetKwhM62/ 
Fri Oct 24 08:50:21 PDT 2014 --  Arlene Dickinson is known as the Dragon with a heart. Thank you @arlenedickinson for inspiring us all… http://instagram.com/p/uine23BMxq/ 
Thu Oct 23 12:20:23 PDT 2014 --  Strong and free. Thank you Cpl. Nathan Cirillo for your love of Canada. #love #canada #OttawaStrong… http://instagram.com/p/ugaucLBM3L/ 
Tue Oct 21 15:25:03 PDT 2014 --  Suzanne Dimma is Editor in Chief of House & Home Magazine. She listed Big Love Ball as what she'll be… http://instagram.com/p/ubmRLeBM4M/ 
Fri Oct 17 11:44:39 PDT 2014 --  John Fluevog, a Vancouver native, designs shoes with soul. Fall in love at his Gastown flagship.… http://instagram.com/p/uQ53XuhM6Y/ 
Mon Oct 13 12:44:09 PDT 2014 --  Family is family. Give thanks. #love #vancouver #bigloveball Photo by Bob Garlick @ Downtown Eastside… http://instagram.com/p/uGtfrphMzk/ 
Mon Aug 11 16:16:15 PDT 2014 --  One of my favorites of all time!!! RIP Mr. Williams and thanks for all the belly laughs. You will be missed. pic.twitter.com/Vrf0X37mmz
Sun Aug 03 17:45:07 PDT 2014 --  There are signs everywhere!!!!!! pic.twitter.com/Os4qYRgDh3
Mon Jul 21 04:53:25 PDT 2014 --  Good morning Toronto. Big Love Ball is here. If you see us come say hi.
Thu Jul 17 13:20:20 PDT 2014 --  hootsuite's photo http://i.instagram.com/p/qkGWMlrd-C/ 
Sat Jul 12 08:35:15 PDT 2014 --  Why did the Big #Love Ball cross the road? Photo by @traceyayton pic.twitter.com/U4lZo7Y0jf
Wed Jul 02 13:29:46 PDT 2014 --  Sharing the love with @WhitecapsFC and @bigloveball #bts #bigloveball #love #soccer #vancouver pic.twitter.com/kPYsdBdrpH
Fri Jul 04 15:06:07 PDT 2014 --  One weekend a year, no internet and no social media. Sending love as we depart for our summer retreat pic.twitter.com/XH9GAy5qYH
Wed Jun 25 13:33:59 PDT 2014 --  Charlie Kerr is the frontman for #Vancouver indie band @jpnsgrls. Photo by @anickviolette #love pic.twitter.com/8VAow5iK3b
Fri May 30 02:30:43 PDT 2014 --  Warm-heartedness and compassion are the keys to being happy human beings living in happy families and communities
Tue Jun 24 09:05:34 PDT 2014 --  Bitty Big Love Baller @jillianharris basking in the #love! Photo by @sherrikoop pic.twitter.com/kAMkT0uDMS
Mon Jun 23 13:05:16 PDT 2014 --  Facing the world with an open heart. #love Photo by @KimChristie pic.twitter.com/Bo3KCu2Amd
Mon Jun 23 08:17:46 PDT 2014 --  Happy #mondaymorning! Make a little room for #love in your life this week. Photo by @TraceyAyton pic.twitter.com/Ppbp4qCY7R
Wed Jun 18 11:43:48 PDT 2014 --  Me and my bike Justice ride for #LOVE (and justice) cc: @bigloveball pic.twitter.com/bf61CLkgce
Sun Jun 22 09:22:26 PDT 2014 --  It's a beautiful day for a Sunday beach picnic in #Vancouver! #love Photo by @leannepedersen pic.twitter.com/o3Z3XFrLtd
Sat Jun 21 19:55:09 PDT 2014 --  #Canadian #fashion design icon @tu_ly is now a proud Big Love Baller! Photo by @anickviolette pic.twitter.com/UbFtjnXWqO
Sun Jun 15 15:34:04 PDT 2014 --  #Vancouver artist Jim C. Brown in his Kitsilano studio. Photo by @anickviolette. #love http://instagram.com/p/pSBjINBM6q/ 
Fri Jun 13 12:30:16 PDT 2014 --  Love will set you free? rossbonetti the President of @livingspacevan. Photo by tracey_ayton #love http://instagram.com/p/pMi7NahMyw/ 
Thu Jun 12 18:45:26 PDT 2014 --  Huge hearts come in small packages. @jillianharris is an official baller. Photo by sherrikoopphoto #love http://instagram.com/p/pKpEHiBM3M/ 
Tue Jun 10 10:10:04 PDT 2014 --  SO excited about my photos w/the @BigLoveBall! BIG thanks to @wwilliamswatt & my photogs @sherrikoop & @pineconecamp! http://ow.ly/xQkgt 
Mon Jun 09 14:54:43 PDT 2014 --  There's #love in the house at @salttastingroom with @nativeshoes CEO @scotthawthorn. Photo by… http://instagram.com/p/pCgRqeBM5P/ 
Fri Jun 06 15:17:25 PDT 2014 --  #love's a #beach. Happy #weekend from Big Love Ball! Photo by leannepedersen http://instagram.com/p/o60fUMBM94/ 
Wed Jun 04 11:59:36 PDT 2014 --  #bigloveball is a #girl's best friend. #burlesque star crystalprecious captured by Klee Larsen… http://instagram.com/p/o1UQzaBM4j/ 
Mon Jun 02 12:39:43 PDT 2014 --  #love what you do. Photo by @traceyayton @wildsdesign #bigloveball http://instagram.com/p/owPQ2uBM5I/ 
Sat May 31 08:44:32 PDT 2014 --  #saturday morning at lemarchestgeorge with Klee. Photo by @traceyayton. #love #bigloveball http://instagram.com/p/oqqwhShM3i/ 
Wed May 14 20:29:09 PDT 2014 --  More than enough LOVE to go around... #farm #heaven bigloveball http://instagram.com/p/oAJ4dAlenz/ 
Thu May 29 14:46:48 PDT 2014 --  #playing in #puddles on #spanishbanks in #vancouver. Photo by leannepedersen http://instagram.com/p/omKoGCBM3h/ 
Tue May 27 10:02:48 PDT 2014 --  Well #read is the new #black. Photo by sherrikoopphoto in #vancouver http://instagram.com/p/oggiSaBM0n/ 
Mon May 26 08:24:22 PDT 2014 --  Happy #mondaymorning! Make a little room for #love in your life this week. Photo by @traceyayton http://instagram.com/p/odwea_hM9i/ 
Sun May 25 15:53:21 PDT 2014 --  #vancouver designer @wildsdesign Photo by @traceyayton http://instagram.com/p/ob_EHZBM3L/ 
Sat May 24 15:51:14 PDT 2014 --  Why did the #bigloveball cross the road? Photo by @traceyayton at thecrossdesign http://instagram.com/p/oZaBssBM9g/ 
Wed May 21 10:50:37 PDT 2014 --  #love is all around us. #bigloveball http://instagram.com/p/oQyorRBM40/ 
Mon May 19 20:54:13 PDT 2014 --  #goodnight from #bigloveball. Photo by @jprensena http://instagram.com/p/oNEuaDhM2f/ 
Fri May 16 09:34:11 PDT 2014 --  Vancouver's beloved @lilkatehorsman with her beloved MJ. Photo by @sherrikoop #bigloveball #Vancouver pic.twitter.com/bNOh45BQ8G
Thu May 15 09:24:08 PDT 2014 --  Vancouver filmmaker Tony Pantages has an open heart. Photo by @TraceyAyton. #bigloveball pic.twitter.com/HOTAJMEISF
Wed May 14 10:31:27 PDT 2014 --  LOVE is an invitation to play pic.twitter.com/BqgxPu6LzT
Wed Apr 23 12:46:57 PDT 2014 --  Looking good with Big Love Ball @hootsuite! http://www.bigloveball.com  @bigloveball
Thu Apr 03 09:46:06 PDT 2014 --  One of my favourite finds in quite some time. Check out the #bigloveball a local object of affection... http://bulletwithbutterflywings.ca/all-you-need-is-big-love-ball/ …
Wed Apr 02 17:55:22 PDT 2014 --  Big love ball bounces into wedding photographs http://www.yourkentwedding.com/news.cfm?News_ID=5649 … via @CountyWeddings
Mon Mar 31 09:27:03 PDT 2014 --  a tiny little hint... http://ow.ly/uAOlt  pic.twitter.com/3AsLA9wNLl
Thu Mar 20 13:18:14 PDT 2014 --  Best #wedding guest book ever! pic.twitter.com/UVyDrlL0OM
Wed Mar 19 12:26:50 PDT 2014 --  Who doesn’t want a big ball o’ love? http://bigloveball.com 
Sat Mar 15 13:13:50 PDT 2014 --  Are 'Man-Gagement' Rings The Next Big Thing? http://huff.to/1fYIyEF  via @huffpostwedding
Fri Mar 14 11:20:45 PDT 2014 --  Spread the #love and help us launch Big Love Ball on Kickstarter http://kck.st/1kqIFtC  via @kickstarter
Fri Mar 14 08:23:25 PDT 2014 --  Beautiful idea for your #destinationwedding http://ow.ly/uAOIt  pic.twitter.com/1asmo8D4nW
Thu Mar 13 19:15:06 PDT 2014 --  smart TRUMPS pretty
Thu Mar 06 23:41:45 PST 2014 --  Love is an inflatable event! #love pic.twitter.com/6dI9oIfbSm
