Mon Aug 24 10:27:45 PDT 2015 --  Be your worst critic.
Sat Jan 24 09:46:25 PST 2015 --  So much athleticism on this field.. You can bet your ass I'm the best Strawberry Marg drinker out here though.. #PatsProBowlPracticeTweets
Sat Jan 24 07:08:05 PST 2015 --  “ @GuysPictures: POUND CAKE KO https://vine.co/v/OdD3D731TI7 ” #NoChill
Thu Jan 22 13:20:09 PST 2015 --  J.J. Watt is a boss pic.twitter.com/a8mhbIq0lb
Thu Jan 22 09:25:28 PST 2015 --  “ @GuysPictures: Birthday thug https://vine.co/v/Oj9gFW5iXr0 ” @chris_anctil @DylanKozak
Wed Jan 21 20:45:44 PST 2015 --  P.S. I Love UFC, Bro #ToughGuyRomComs @midnight
Wed Jan 21 18:35:03 PST 2015 --  KOBE!!!! https://vine.co/v/OdWIH6eTTY1 
Tue Jan 20 20:43:19 PST 2015 --  Pau Gasol put Lebron in spin cycle https://vine.co/v/OjLbVqzKDaK 
Wed Jan 21 07:44:59 PST 2015 --  RT to wish Norfolk's Dany Heatley a Happy 34th Birthday! Admirals take on @CheckersHockey tonight at 715 at Scope! pic.twitter.com/6UnWYAvncG
Wed Jan 21 06:37:13 PST 2015 --  Our thoughts and prayers are with the RCMP and the family & friends of Const. David Matthew Wynn in this tragic time.
Tue Jan 20 16:06:10 PST 2015 --  Please? pic.twitter.com/mz9IXv4Cd9
Sun Jan 18 19:28:42 PST 2015 --  Bae: Come over Me: I can't i just won the nfc championship game Bae: I'm home alone Me: pic.twitter.com/eHD6JQHfkC
Sun Jan 18 07:49:02 PST 2015 --  11 Super Bowl rings, 8 Super Bowl winners, 4 Hall of Famers, one selfie. Let's break the Internet. http://instagram.com/p/yADsoXSVlJ/ 
Sat Jan 17 01:23:12 PST 2015 --  I'm too hot! #GodDamn #FillMyCup http://instagram.com/p/x8yvvOqRxq/ 
Fri Jan 16 22:11:16 PST 2015 --  I'm too hot... #GodDamn #FillMyCup #HotDamn http://instagram.com/p/x8cyCUKR6-/ 
Wed Jan 14 19:19:38 PST 2015 --  “ @GuysPictures: RT if you'd play pic.twitter.com/PeIiiKqfni” @DylanKozak @chris_anctil let's do this this weekend!
Tue Jan 13 20:00:06 PST 2015 --  Throwback to Jimmer range https://vine.co/v/Mg9OzdihlwM 
Tue Jan 13 14:22:57 PST 2015 --  Yeah, NOT an allstar... https://vine.co/v/ODdUuWYMDn1 
Sat Jan 10 20:11:57 PST 2015 --  Fuck this...
Sat Jan 10 18:13:27 PST 2015 --  Big boy TD for Kelvin Benjamin. And a stare
Sat Jan 10 18:13:29 PST 2015 --  Fuck yeah! @kelvinbenjamin #ROY #KeepPounding
Sat Jan 10 17:15:44 PST 2015 --  MORE football? YES!! @Panthers. @Seahawks. NOW. #CARvsSEA #NFLPlayoffs pic.twitter.com/eRBBO7vId7
Sat Jan 10 17:10:55 PST 2015 --  Game time! #KeepPounding #BeatTheSeahawks #SuperCam #Panthers http://instagram.com/p/xsdo8eKR5U/ 
Sat Jan 10 16:59:43 PST 2015 --  Best Quaterback in football everyone!
Thu Jan 08 20:40:31 PST 2015 --  #TBT to Minot States homecoming weekend! #KegStand #Tailgating http://instagram.com/p/xnsCWqKR6E/ 
Thu Jan 08 16:45:22 PST 2015 --  Screams from the haters gotta nice to it
Thu Jan 08 15:47:57 PST 2015 --  “ @STLouisRams: Congrats on the Music City Miracle, @TennesseeTitans... See you in Atlanta for Super Bowl XXXIV. #TBT @DylanKozak
Tue Jan 06 08:59:02 PST 2015 --  What a feeling #worldchamps #wereback #worldclass
Mon Jan 05 21:00:16 PST 2015 --  Unbelievable feeling to win gold!! #WJC2015
Sun Jan 04 20:05:12 PST 2015 --  Andrew Luck is so good at football.
Sun Jan 04 12:29:53 PST 2015 --  “ @CauseWereGuys: When there's only 1 girl at the party pic.twitter.com/r1v7BNFJVd” @jaramieherback
Sat Dec 27 07:25:54 PST 2014 --  Wheels up to Mexico! #SeeYaNever #NYE2014 http://instagram.com/p/xHXj5RqR34/ 
Sat Dec 27 05:00:11 PST 2014 --  "He's the most athletic quarterback. Ever." http://at.nfl.com/NfObd7K  pic.twitter.com/Hx8tMxDujo
Fri Dec 26 16:01:50 PST 2014 --  Hellen Keller was dealt a 2, 7 off suit
Fri Dec 26 11:19:25 PST 2014 --  when she curves me on the timeline but then I slide in her dms https://vine.co/v/OvzWDaJwKh7 
Fri Dec 26 10:33:24 PST 2014 --  It's the most wonderful time of the year #whatittakes #WJHC15
Sun Dec 14 13:36:55 PST 2014 --  I bet Gollum goes absolutely nuts on the 5th day of Christmas. #LOTR
Tue Dec 23 16:53:39 PST 2014 --  Who needs a girlfriend when I have this #BadBitch to keep me warm at night! #SuckItBoys… http://instagram.com/p/w-FWpiKR1Z/ 
Tue Mar 18 06:46:36 PDT 2014 --  “It’s almost 2015, why don't we have hoverboards yet?” he typed into a pocket-sized device that can do everything.
Wed Dec 17 17:28:57 PST 2014 --  somwhere, james franco is eagerley waiting to add "creator of world war 3" to the list of creative acomplishments on his 83-page long resume
Fri Dec 19 15:04:00 PST 2014 --  *gets pulled over* Cop: License & registration *hands cop holographic Blue Eyes White Dragon* Cop: ur free to go, save some pussy for me
Thu Dec 18 16:52:40 PST 2014 --  “ @CauseWereGuys: RT if you’ve had a terrible experience with these pic.twitter.com/w6Dn7oUHGG” @chris_anctil @jaramieherback
Thu Dec 18 13:30:48 PST 2014 --  NFL refutes accusation that tonight’s Jaguars-Titans game is torture, calling it more of an “enhanced interrogation technique.” @DylanKozak
Mon Aug 04 15:33:41 PDT 2014 --  This is my new girlfriend. Some might say she's a mannequin I stole from Sears but you'll see I drilled a hole in the butt and we're in love
Tue Dec 16 11:10:18 PST 2014 --  NOTHING GETS ME MORE HEATED THEN HAVING THE FURNITURE REARRANGED
Mon Dec 15 18:25:33 PST 2014 --  This kid has some guts... I like it. pic.twitter.com/V1M7PTmMuf
Sun Dec 14 02:52:06 PST 2014 --  Sometime there is no fixing the hurt.
