Fri Aug 28 07:20:24 PDT 2015 --  ビール→カクテル→日本酒という黄金の系統で見事にグロッキー。
Tue Jun 30 04:43:48 PDT 2015 --  今日で福島DCがおわるけど、仮に車で福島に来た人が多くてもJR的には成功なんでしょうね、たぶん。地域に貢献したことは確かだし、リピーターとしてJR使うかもしれないからね。
Tue Jun 30 00:47:06 PDT 2015 --  福島）ライダー招致へ取り組み　経済効果に熱いまなざし：朝日新聞デジタル http://www.asahi.com/articles/ASH6B0119H69UGTB017.html … 飯坂温泉のほりえやさんの若旦那もライダーにお得なプランを設定して集客に一役買っていらっしゃいます。お客さんには元ＧＰ　ライダーの岡田さんもいらっしゃったそうです。
Mon Jun 29 04:38:02 PDT 2015 --  「精子も老化」専門医が若者に呼びかけ http://nhk.jp/N4Jz4FaC  #nhk_news
Mon Jun 22 22:25:16 PDT 2015 --  神奈川県横浜市中区『味奈登庵』の“そば富士山盛り” こりゃ富士山というよりチョモランマ級だね。 で、これ500円って…。店やってけるのか？？ pic.twitter.com/AHhaIL9xrZ
Tue Jun 23 00:25:12 PDT 2015 --  京都市左京区にある『久留味』ジャンボカレー ご飯５合でサラダ付き…サラダいらん！ pic.twitter.com/d26by2MSWu
Tue Jun 23 01:25:25 PDT 2015 --  福島県会津若松市にある『むらい食堂』の“ソースカツ丼” カツ丼のカツって、斜めに立てかけるんだっけ？ でも、盛り方はキレイめだね。 pic.twitter.com/NJT3JcpZqA
Sat Jun 27 05:20:00 PDT 2015 --  桑折のうぶかの里の蛍がピークを迎えています。あそこの素晴らしいところは蛍だけではないんです。ご存知の方も多いかもしれませんが、カジカガエルとの共演が楽しめるんです。最も美しい声の蛙といわれているカエルです。そのコラボは、自然が作り出した芸術といっていいでしょう。
Sat Jun 27 01:33:28 PDT 2015 --  最近気づいたのはマヨネーズのすごさ。ケチャップをいろんなもんにかけて気づき始めた。マヨネーズってのは、自己主張しすぎないんだよね。しかも相手を引き立てている。それでいて、自分の個性はしっかりアピールしている。ケチャップってのは、味が強すぎてかけた料理の良さまでけしてしまうんだな。
Fri Jun 26 03:17:28 PDT 2015 --  うぶかの郷に蛍を見にきました。
Wed Jun 24 04:52:23 PDT 2015 --  ケチャラーになろうとマイケチャップはデルモンテを購入したが、家にあったカゴメの方が酸味があり味に切れがあった。デルモンテは甘みが強くてまろやかな感じ。野菜ジュースはセロリが効いてるデルモンテがうまいと思ってます。
Tue Jun 23 07:07:41 PDT 2015 --  飯坂線廃止にするんだったら、いっそチンチン電車復活させればいい。路面電車はＡＴＳはいらないって聞いたぞ。バスよりも時間は正確だろう。
Mon Jun 22 19:29:27 PDT 2015 --  再び夫婦円満の秘訣を考えてみました【趣味の話】 当たり前ですが、相手を尊重するのが最も重要 pic.twitter.com/uuYOF8N5rj
Tue Jun 23 04:20:40 PDT 2015 --  これは由々しき問題ですな。飯坂線なくなったら福島市の市街地の空洞化が余計に進むではないか。せっかくいい感じになってきている飯坂温泉にも影響でるぞ。東北で残ってる民営路線ってここと津軽鉄道だけだよな。 https://twitter.com/m_tactics/status/613128085332832256 …
Mon Jun 22 20:27:01 PDT 2015 --  ゴジてれ×サンクス×若武者 コラボ麺企画の『冷し鶏白湯風味噌ラーメン』と『鶏白湯おにぎり』を頂きます(￣ｰ￣)ﾆﾔ... pic.twitter.com/DD6VlDlE8e
Mon Jun 22 07:42:36 PDT 2015 --  よし、まず納豆にケチャップつけて食べてみる。
Mon Jun 22 07:34:36 PDT 2015 --  味噌ラーは塩分多くて体に悪いからやめましょう。
Mon Jun 22 07:23:19 PDT 2015 --  ついでにいいますと、俺は、桃屋のご飯ですよが好きでして、あれのスティックタイプあるいはチューブタイプが出てくれてばノリらーになってもいいと思ってるんですけど。
Mon Jun 22 07:18:47 PDT 2015 --  今日タカトシの番組で、ケチャップ消費量日本一(県庁所在地のなかでと思われますが)の和歌山市をやっていたが、俺もある意味マヨラーだったが、ケチャラーに変身しようと思っているが何日に続くかはわかりません。
Fri Jun 19 01:46:49 PDT 2015 --  また仕事終わって夢元(桑折の売り出し中のラーメン専門店)にきた。前回塩でスープのうまさは確認しているので味噌を注文してみた。チャーシュー麺大盛りは変わらず。 pic.twitter.com/b7hwkv00AX
Thu Jun 18 05:23:28 PDT 2015 --  春季県北支部高校野球で聖光学院が福島西に０対１で負けて、福島西が優勝したけど、聖光って雨天順延の準決勝を同日に行っているのでダブルヘッダーだったみたいだね。競馬でいえば、GⅠホースが斤量5㌔余計に背負って格下の馬にハナ差で負けたようなもんじゃないって気がするけどどうなんですかね。
Wed Jun 17 07:30:45 PDT 2015 --  今、伊達市議会開催中なのね。仁志田さんもいろいろ言われているが、まず自分の目と耳で直接確かめてから今何が起きているのかを判断したい。震災の現場(避難区域)を直接見て勉強になったし、今度は伊達市政だ。
Tue Jun 16 15:55:17 PDT 2015 --  今日も夜勤終わってすき家なう。今日はまぐろ丼大盛りでいきます。８時前に来たの久しぶりです。 pic.twitter.com/uNx05ae3HL
Mon Jun 15 20:37:32 PDT 2015 --  今年も梁川の柳田の向日葵が見頃です。 pic.twitter.com/6AwWGFzhy6
Mon Jun 15 07:56:40 PDT 2015 --  昨日のル・マンのポルシェのオンボードカメラの映像見てからスポーツカーが欲しくなった。あのエンジンサウンドもどんないい音楽にも負けないサウンドだった。ノートのニスモもいいけど、やっぱBRZが欲しい。つうか俺って単純だな。
Sun Jun 14 05:16:38 PDT 2015 --  ル・マン２４、日本時間２２時にチェッカーフラッグです。このまま行けば、ポルシェのワンツーになりそうです。日本勢はトヨタの６位が最高位です。
Sun Jun 14 04:45:01 PDT 2015 --  危険！衝突試験で最低評価を取った車種まとめ https://youtu.be/CLcn4z7w-e0  @YouTubeさんから これ見たら、これから車買おうと思っている方は買う車が変わるかもしれません。結構意外な車が最低評価になっています。そして、おまけの最高評価には、最近絶好調の会社が。
Sat Jun 13 19:07:16 PDT 2015 --  日曜日休めるっていいなーって思って、久々の気がしたので調べてみたら、３月２９日以来の日曜日休みだった。２ヶ月半も日曜休んでなかった。ま、人の役に立ってると思ってよしとしよう。
Sat Jun 13 16:54:09 PDT 2015 --  すき家でチーズ牛丼なう。メガ盛りは肉だくになっとります。しかも、はじめにチーズと分離して出てくるのはメガだけって最近知った。 pic.twitter.com/2wKYrxZl3I
Sat Jun 13 09:05:18 PDT 2015 --  ワイルドフラワー。これくらいの広さがいいね。
Sat Jun 13 07:00:15 PDT 2015 --  明日、桑折町うぶかの郷で混声合唱団コールアンポのミニコンサートを演ります。グダグダの内容かもしれませんが、よろしければ どうぞ！ pic.twitter.com/dlcXAqQQ8F
Sat Jun 13 06:48:11 PDT 2015 --  ポルシェがワンツーキープ（ＷＥＣ）: 　世界耐久選手権（ＷＥＣ）第３戦「第８３回ルマン２４時間レース」は１３日午後３時（日本時間午後１０時）、サルトサーキット（１３．６２９ｋｍ）で２４時間の戦いが幕を開けた。現在の天... http://dlvr.it/BBtRw3 
Sat Jun 13 06:39:44 PDT 2015 --  ル・マン始まったけど、トヨタワークスで出てるんだからたまにでいいから中継してほしいもんだな。ネットで見れるけど、でっかい画面で見たいからね。
Fri Jun 12 07:54:52 PDT 2015 --  日本で就職に失敗しても、中国やインドネシアやベトナムにはまだまだチャンスがあり、なおかつ日本でくすぶってるより実践的なスキルが身につき、場合によっては現地でいい暮らしができるし、あるいは日本に帰ってきてそのスキルを活かすこともできる。現地採用を舐めちゃいけない。
Fri Jun 12 07:52:11 PDT 2015 --  おれは上海で日本語情報誌の編集をやっていたのだが、２年目には副編集長として毎月３冊の雑誌に関わることになり、特集の企画から芸能人のインタビューから何から何まで全部やらせてもらえた。日本の会社だったら入社２年目でそんなわけにはいかない。場数を踏めるというのは何よりの経験。
Fri Jun 12 07:48:09 PDT 2015 --  日本人が日本で仕事を探すことができずに、外国に渡り、そこの現地採用で就職するという選択肢がますます増えていくんだろうな。おれも上海の会社に現地採用で入社したクチだけど、別にそこの国の文化や言葉に慣れれば、そこでキャリアアップしてもいいし、別に永住してもいいわけで。
Thu Jun 11 06:02:24 PDT 2015 --  今日の夕方、桑折で平泉ナンバー見た。悪いけどすごい田舎な筈なのに、ちょっとした都会ナンバーみたいにかっこいいから不思議だ。富士山ナンバーと一緒のパターンだな。世界遺産ってすごい。正直、明治の産業革命遺産群はどっちでもいいって感じ。
Thu Jun 11 01:21:24 PDT 2015 --  塩チャーシューメン来たー。いただきます。大盛りで１０００円です。(通常９００円。)節系とトンコツ系選べます。俺は節系で。チャーシューも脂くどくなく、それでいてジューシーで、美味しいハム食べてる感じですね。 pic.twitter.com/JDRhHrdFjf
Thu Jun 11 00:53:24 PDT 2015 --  早番終わって、ラーメン屋始まるまでのラーメン屋待機なう。
Wed Jun 10 05:58:37 PDT 2015 --  カシオペアがなくなるのは寂しいのに、四季島ができるのは全然嬉しくないのは、この列車が庶民離れした感があるからなんだろうか。どうせチケットとれんし、プレミアすぎて。貧富の差拡大を助長しているは言い過ぎか。アベノミクスの悪い面なんかな。 https://twitter.com/tokyoshashinbu/status/608576506273472512 …
Tue Jun 09 07:08:33 PDT 2015 --  今日も楽しく夜勤なう 。(テンションあげていくぜ。)
Mon Jun 08 05:05:38 PDT 2015 --  スタンドでの出来事 隣の車に店員さんが「レギュラー満タンですね、車内拭き用のタオルです」ってタオル渡したの。 そしたら乗ってたおじいさん、何思ったんだがそのタオルで顔をゴシゴシ拭き始まっちゃってない。 「ふ～生ぎ返る～」って顏してだ、知らない方が幸せな事もあるってことだない(笑)
Sun Jun 07 18:21:03 PDT 2015 --  本日、ペヤングやきそばが復活しました。会社内の売店で早速購入。これから食べます。 pic.twitter.com/1GDxziAWBe
Sun Jun 07 07:00:34 PDT 2015 --  遅番終わって明日休みなんで福島市内にラーメン食いに行こうと思ったら、途中のすき家の看板みて気が変わってすき家でチーズ牛丼のメガなう。ラーメンより牛丼がいいと思ったことってあまり記憶がない。最初は牛丼だけ、そのあとチーズと一緒に、最後の方でタバスコ投入と３パターン味わえるのがいい。
Sat Jun 06 08:01:07 PDT 2015 --  納豆ゆるキャラ、ネバール君面白いなおい。こりゃブレイクしそうだ。
Thu Jun 04 12:53:27 PDT 2015 --  Will always fly high pic.twitter.com/4P4o47xM23
Thu Jun 04 20:19:52 PDT 2015 --  日本の高齢化社会問題は、世界初で歴史上初です。だって、人口１億人以上の国が世界一の長寿国なんですもん。前代未聞です。10年後、なんとかなるんでしょうか?塩崎さん。なじょすっペー。
Thu Jun 04 20:00:40 PDT 2015 --  東京圏高齢化“地方移住支援など提言　NHKニュース http://nhk.jp/N4Ja4Epc  地方に来るのはいいですが、介護職員の不足状況も危機的状況です。(福島県伊達市)フィリピンあたりから日本語話せる人大量に引っ張ってこないと１０年後、地方の介護施設もやばいです。
Wed Jun 03 19:22:51 PDT 2015 --  秋田でも同じことをやっていたのね。(￣o￣;)ボソッ 実は…３割未発券　秋田県のプレミアム旅行券 | 河北新報オンラインニュース http://www.kahoku.co.jp/tohokunews/201505/20150530_42052.html … @kahoku_shimpoさんから
Wed Jun 03 08:53:38 PDT 2015 --  ホンダ シビック タイプR 新型、新画像を公開…ボディカラーは全5色 - goo 自動車&バイク http://autos.goo.ne.jp/news/newcar/252614/ … @goo_autosさんから これはもうホンダ版ＷＲＸ　ＳＴＩではないか！！！ＷＲＣ出てほしい。
Wed Jun 03 07:21:52 PDT 2015 --  旧保原役場跡地の名称を募集しとるとな。チンチン電車のあるところね。よし、応募するとするか。チンチン電車広場とか。（そのままやんけ）
Wed Jun 03 06:37:19 PDT 2015 --  よしゃー。ローソンのくじ引きでプレミアムモルツ(σ´∀`)σｹﾞｯﾂ!!。
Tue Jun 02 06:58:13 PDT 2015 --  ゼブラヘッドもいいな。
Tue Jun 02 06:56:55 PDT 2015 --  あとアルバムもう一枚何買おうか迷ってる。
Tue Jun 02 06:52:33 PDT 2015 --  給料日入ったんで、SuperflyのＷＨＩＴＥ購入。これいいじゃん。来月の郡山ライブが楽しみだぜ。
Tue Jun 02 06:13:15 PDT 2015 --  今日早番終わってから、保原の赤坂公園にある大館山の展望台(２６０ｍ)まで登ってきました。息が切れたけど、この眺めを見たら疲れも吹っ飛びました。 pic.twitter.com/ib3Hh558Dm
Tue Jun 02 05:58:06 PDT 2015 --  確かに世襲制。こんなことばっかりやってるから、日本の政治は大きく変わらないわけで。やっぱ、日本は政治的には完成された社会主義国家なのかもしれません。 https://twitter.com/riken_komatsu/status/605717318593708032 …
Mon Jun 01 01:36:52 PDT 2015 --  旅行券、コンビニをはしごするが完売.... 発売してから数時間ってこれってアイドルのライブ並じゃないか！？ 皆、どんだけ福島好きなんだよ！
Mon Jun 01 02:43:56 PDT 2015 --  飯坂のひたちに円盤餃子食べに来ました。２０個で１２００円です。 pic.twitter.com/WDs1gNfLXY
Sat May 30 06:34:59 PDT 2015 --  佐藤梨園 ローズガーデン 3 pic.twitter.com/w7RrtLBsIP
Sat May 30 06:34:07 PDT 2015 --  佐藤梨園 ローズガーデン 2 pic.twitter.com/AjPehKQDi0
Sat May 30 06:33:23 PDT 2015 --  佐藤梨園 ローズガーデン 1 pic.twitter.com/bs4bgTAtRv
Sat May 30 03:58:00 PDT 2015 --  ただでも、十分楽しめます pic.twitter.com/2ObnQr45AC
Sat May 30 03:52:12 PDT 2015 --  金かけてます。 pic.twitter.com/C7yQ7KNqW7
Sat May 30 03:43:04 PDT 2015 --  ミュージック花火、球場外から鑑賞なう。 pic.twitter.com/qQYAk4IZ4S
Fri May 29 03:24:27 PDT 2015 --  桑折に最近できたラーメン屋に行ってきました。釜神のあった場所というとラーメン好きの方にはわかると思います。節トンコツ系とトンコツ醤油系が基本です。麺も太麺と細麺が選べます。一言で、釜神ファンも満足できる味です。 pic.twitter.com/BZAN6Y0si9
Tue May 26 03:27:30 PDT 2015 --  慎之助もツーラン！＼(^o^)／＼(^o^)／＼(^o^)／ pic.twitter.com/T3bRCLOeFd
Mon May 25 07:03:30 PDT 2015 --  たまに引用リツイートお断りの方いるけどなぜなんだろう?>RT
Mon May 25 06:57:58 PDT 2015 --  DMで下記のようなメッセージをいただきました。今日初めて使い始めたのですがなぜなのか理由がわかりません。 誰か教えてくださいませ〜m(_ _)m 「DMで失礼します。引用RTは少なめでお願いします。」
Mon May 25 04:54:09 PDT 2015 --  Ｓ６６０がオープン状態で荷物積めないってわかったので、何年後かに買う車はマーチかノートのニスモバージョンにしようと決めてモチベーション高めてます。 pic.twitter.com/7sJ80Cv7Cw
Sun May 24 18:04:28 PDT 2015 --  東京・上野・大宮⇔新白河・郡山・福島の新幹線区間が、なんと半額！ 期間は6月30日まで。 なお、ご利用にはJR東日本えきねっとへのネット登録と、ネットによる2週間前までの予約が必要です。 詳しくは↓コチラ↓ http://www.eki-net.com/top/tokudane/osakini_sp.html?src=tokudane_top …
Sun May 24 03:03:59 PDT 2015 --  小名浜球場が炎上しているようだ。RT @ellelelee822: おれんちの近所がやばい 車が炎上してる 小名浜球場付近の人は気をつけて！ pic.twitter.com/o6haGuSk3y”
Sat May 23 23:02:09 PDT 2015 --  福島ユナイテッド、カターレ富山に２ー１で勝ちました。
Sat May 23 21:11:42 PDT 2015 --  福島ユナイテッドの試合、NHKで中継やってる。
Sat May 23 05:24:21 PDT 2015 --  明日の農業希望祭は、10：30、14：40にフライト予定です。 『ももりん大使』にも就任させていただき、ますます張り切ります！ お越しになれない方は、ユーストリームをご覧ください！... http://fb.me/33YfiIlkL 
Sat May 23 04:53:03 PDT 2015 --  子供達をじゃなく子供達にだと思うんですけど、このお知らせ。これじゃ子供達をプールに監禁してたみたいです。 https://twitter.com/marufeel_tw/status/602030463708827648 …
Sat May 23 03:00:08 PDT 2015 --  東村山音頭 1976年、志村けんの全員集合 東村山音頭。元は、1963年に東村山町農業協同組合が発売した民謡。 ●http://m.retorok.com/m/ujlvr8p  ●http://m.retorok.com/m/9kgbry3v  pic.twitter.com/gjBKgq1961
Fri May 22 05:04:31 PDT 2015 --  【速報】スプライトのCMが完全にout 【速報】スプライトのCMが完全にout 【速報】スプライトのCMが完全にout 【速報】スプライトのCMが完全にout 【速報】スプライトのCMが完全にout pic.twitter.com/JKnE7Nn33g
Thu May 21 20:30:55 PDT 2015 --  “酔うに酔えぬ”酒の激安販売規制　消費者猛反発、自民の真意伝わらず（フジサンケイビジネスアイ） - goo ニュース http://news.goo.ne.jp/article/businessi/business/fbi20150521000.html … 消費者が納得できるような、趣旨とライン引きを明確にしていただきたい。
Thu May 21 07:06:27 PDT 2015 --  最近の日本車のキーワードはダウンサイジングだね。レヴォーグとかステップワゴンとか。自動車税がワンランク安くなるのがいいね。
Thu May 21 07:01:01 PDT 2015 --  Ｓ６６０、荷物置き場がオープンの状態でないと知って買うのを却下。(すぐじゃないけどね買うの)
Wed May 20 05:07:10 PDT 2015 --  初の「ドローン展」、国内外５０社９０機が出品（読売新聞） - goo ニュース http://news.goo.ne.jp/article/yomiuri/business/20150520-567-OYT1T50085.html … 警備や災害時に活用はわかるんだけど、宅配は危険じゃない？それこそ衝突事故が頻発すると思うんだけど。
Tue May 19 07:02:37 PDT 2015 --  来月からペヤングソース焼きそば食えるの嬉しいです。
Tue May 19 05:02:08 PDT 2015 --  今日、伊達市伏黒の二井屋公園に行ってきました。公園といっても花見山のように個人の方が管理しているところです。ポピーをはじめアヤメやイチハツが見頃です。大正橋の手前に看板があるのでわかると思います。 pic.twitter.com/BkQmqMX22A
Sun May 17 19:07:37 PDT 2015 --  明日5/19（火）よる9時から！ BS-TBSにて『サウンド・オブ・ミュージック』吹替版放送！ http://www.bs-tbs.co.jp/movie/soundofmusic/ … pic.twitter.com/S9UJyXVPUu
Sat May 16 22:14:43 PDT 2015 --  決勝ラウンドオブ14を会場が湧く好タイムで飛んだ室屋義秀氏の Edge540 V3（これで決勝ベスト8進出☆ #airrace pic.twitter.com/G8FDsKjC1u
Sat May 16 20:47:41 PDT 2015 --  2015選手名鑑 BCリーグ 公式オンラインショップ - Yahoo!ショッピング - Ｔポイントが貯まる！使える！ネット通販 http://store.shopping.yahoo.co.jp/bcl/s011.html  ほばら大泉球場で６月２１日に観戦を楽しむために購入しました。
Sat May 16 18:43:07 PDT 2015 --  朝日町水本地区の菜の花畑で捕獲して pic.twitter.com/jffJUPjsP1
Sat May 16 06:08:57 PDT 2015 --  フーヴァー研究所の西鋭夫の講演録 "誰も言わない明治維新の真実"　西鋭夫教授曰く、われわれが知っている明治維新はその時の御用学者が書いた歴史で、真実とは違うようです。なぜ、22~3の若造の集まりが、強大な権力をもった幕府を倒すことができたのか？　まじか？とりあえず購入してみよ。
Fri May 15 20:32:39 PDT 2015 --  時は金なり。時間があれば人間、心にゆとりが生まれると思います。もちろん、時間とは自分で好きに使える時間です。ゴールデンウィーク４連休は働きづくめだった私は今日から飛び石３連休。しかも、１回の勤務は夜勤なので昼に時間があり。今回は予定いれずにゆっくりしたいと思います。
Fri May 15 14:57:27 PDT 2015 --  皆さん、おはようございます。 あいにくの雨です。 カエルの音楽隊が凄いですよ。 今日も皆さんに、数多くの幸運と素敵な出逢いが、訪れます様に……。 pic.twitter.com/mvYvRRYv4s
Fri May 15 02:50:36 PDT 2015 --  今日は妻と仕事終わってから久々に本内のとんかつ宗次郎で食事です。うめー。保原店より絶対うまい!!! pic.twitter.com/pC486NitgH
Thu May 14 06:14:04 PDT 2015 --  よほど旧会津藩を明治政府は嫌っていたんだろう。 https://twitter.com/aizu_sniper_yae/status/598834406149660672 …
Thu May 14 06:01:04 PDT 2015 --  ちなみに県庁郡山移転案の阻止には当時の福島町長が大反対してまして（そりゃそうでしょうが）、その町長を熱く支援したのが旧福島藩主・板倉勝達子爵っていう点に地元愛を感じなくもない…けど……なぁ………(ｰ△ｰ;)
Thu May 14 05:52:36 PDT 2015 --  ここからが不思議な事ですが、郡山への県庁移転運動は会津のみならず磐城や白河も含めその後も続けられており、明治18年には県議会で郡山移転案が賛成多数で可決され……たのに明治政府がダメ出しして却下され、代わりに「なら一番遠い東蒲原郡を新潟県にしてやんよ！」と逆に切り離されたという……
Thu May 14 05:48:13 PDT 2015 --  そして廃藩置県から5年後の明治9年に会津地方の若松県と浜通り地方の磐前県が福島県に編入……この際に若松県は「信夫地方の福島じゃ県の北寄り過ぎて不便だから県央の安積・郡山に県庁を移転すべき」と条件を付したそうですが郡山移転案は却下されたとか。
Thu May 14 05:44:52 PDT 2015 --  戊辰戦争の後で廃藩置県の前の時期、現在の中通りには福島藩領だった福島県と二本松藩領だった二本松県とがありましたが福島県は二本松県に編入される形で消滅…… しかし2年後に廃藩置県が施行されると二本松から県庁が信夫地方へ移転になって一転して福島県が逆転で置県される事に！
Thu May 14 05:35:30 PDT 2015 --  長らく会津の一部で明治以降も福島県に入っていた東蒲原郡がどうして現在では新潟県になっているのかというと、今なお移転の運動があるという福島県の県庁問題によります。
Thu May 14 00:39:13 PDT 2015 --  君は、生き延びることができるか？ pic.twitter.com/YdxTT2dbo8
Wed May 13 06:56:19 PDT 2015 --  皆さん今日は、おつかれさまでした。 今宵も皆さんが癒される幸せな夢が見れますように……。 おやすみなさい。 明日の朝は、平穏に起きれます様に。 pic.twitter.com/dGnBR8dLi7
Wed May 13 06:30:22 PDT 2015 --  仙台もいいけど、郡山がとても好きな今日この頃。
Sun May 10 19:59:07 PDT 2015 --  再掲載。桑折の深澤木工所が火事です。現在４号線旧道桑折付近は一部通行止めになっております。(１１時２０分頃の写真) pic.twitter.com/jfgHmir5i2
Thu May 07 06:01:20 PDT 2015 --  今日の２３時からBSジャパンの夢織人という番組で、川俣シルクの会社、斎栄織物の世界への挑戦を特集します。
Wed May 06 20:16:26 PDT 2015 --  結婚4年目、渡邉の「邉」の字が未だに正確にわかってないけど、わからなくていいだろこれ。 pic.twitter.com/6Epgbjtwfs
Sun May 03 22:18:23 PDT 2015 --  名古屋の専売特許かと思ってたｗ https://twitter.com/oifksm/status/595081247342206976 …
Tue May 05 02:53:04 PDT 2015 --  先の雨と 今日まで遊んで明日はゆっくりという方が多いのか、洗車機の行列は半端なかったが、それより驚いたのは洗車後の水拭きやっていたら隣りの女の子の車がスタッドレスタイヤだったのはもっと驚いた。
Sun May 03 06:30:29 PDT 2015 --  凄い迫力でしたね。 米沢上杉まつり・川中島合戦 5/3米沢市松川河川敷 pic.twitter.com/oK65bbpSTa
Sun May 03 05:53:52 PDT 2015 --  人生反省の連続だが、それを肥やしにより良きミドルライフを送れればそれはそれで良しである。
Sat May 02 02:49:20 PDT 2015 --  布引高原で偶然見つけた宝箱。これはつまり今はやりのコードなんとかのあれだわな。 pic.twitter.com/bHqlxMAdh6
Fri May 01 19:45:14 PDT 2015 --  川桁駅フルーティア通過。奥さん手振ってる。 pic.twitter.com/guNDUUqa9b
Fri May 01 19:28:45 PDT 2015 --  川桁駅に来ました。昔は軽便鉄道の沼尻軽便鉄道の始発駅でした。 pic.twitter.com/Dc6ehs823q
Thu Apr 30 06:00:06 PDT 2015 --  その時の写真です。 pic.twitter.com/Lvw075EwkE
Thu Apr 30 05:59:48 PDT 2015 --  続き 何やらフェンスにへばりついて見てる人が多かったんです。なんでみんな中で見ないのかなと不思議に思い、観客席に入ろうとするとテントの下に高校生らしき男の子が。きくと一般は入場料５００円とるとか。嘘でしょ?高校野球の公式戦でもないのに有料かよ。これが普通なんですかね?
Thu Apr 30 05:59:43 PDT 2015 --  今日、夜勤あけで保原総合運動公園のそばを通るとすごい数の車。何かイベントやってるんじゃないかと胸躍らせて行ってみると、高校野球の練習試合?みたいのをやってました。聖光、福校、福島東、福島工業が参加してました。そこまではよかったんですが、納得いかないことが一つ。続く
Tue Apr 28 21:17:20 PDT 2015 --  本当に、おにぎりになってるw よーく見れば、中に麺も入ってるw なお、小生は、食レポが苦手なので、一言だけ…、味がラーメンです！ 値段は200円 #大昭和祭り pic.twitter.com/xoislMLz4c
Tue Apr 28 20:22:57 PDT 2015 --  原発事故が起きた年は、二度とと鯉のぼりを上げることは無いだろうと絶望していました。息子たちにも鯉のぼりを見て何か伝わればと願います。 pic.twitter.com/hnnUfHkxcS
Tue Apr 28 20:16:35 PDT 2015 --  よし。天気もいいし、これから妻とサイクリングだ。夜勤だから疲れない程度にしよ。 pic.twitter.com/gA355zYFUd
Tue Apr 28 18:01:43 PDT 2015 --  猪苗代湖畔ってこんなにまだ桜残ってるんだね。こりゃ、土曜の休みに行ってみる価値ありだな。 https://twitter.com/sikiohtaya/status/593206327742107648 …
Tue Apr 28 06:29:23 PDT 2015 --  来月もまた一人職員が辞めることを知った。親しい仲間が次々に辞めるのはさみしいもんだ。介護業界は、離職率高いのは有名だが、うちの施設は中でも高いほうだと思う。俺まで辞めたくなってきた。でも、ばーちゃんがあんたが辞めるとさみしいって言うのもあって当分辞めないつもり。
Mon Apr 27 07:12:01 PDT 2015 --  ５月２日の確か１８時半(時間はローソンのポスター確認してください。)から保原体育館でみちのくプロレスやるみたいだ。サスケも来るみたいだよん。こりゃ行くっきゃないべ。
Sun Apr 26 05:45:40 PDT 2015 --  お前の光は、 今、何処にある。   -　シェイクスピア pic.twitter.com/0opArtgM5f
Sat Apr 25 07:18:35 PDT 2015 --  飲み会の幹事は思った以上に大変。特に体重１００キロを超える人が予想以上に早く潰れた場合は、その後の対応が容易ではない。タクシーに乗せるまでが大変。家の近くに着いてタクシーを降りて家まで誘導するのも大変。１時に飲み会終わって今日帰ったの４時近く。それで１３時仕事はちょいキツい。l
Sat Apr 25 05:45:24 PDT 2015 --  スパリゾートハワイアンズのショーは、本場ハワイに全然負けないどころか、さらにレベルが高いんではないかと思う。10年ほど前にハワイの某施設（ポリネシア○○センター）に行ったが「なーんだ、ハワイアンセンターの方が断然上手いじゃん！」って思ったもんなあ。
Thu Apr 23 02:36:46 PDT 2015 --  会社の同僚にしらかわんを見せたら「…どーもくん？」って言われた。 視力よりも脳を疑うレベルの衝撃だった pic.twitter.com/oMug7GnrPD
Wed Apr 22 08:11:22 PDT 2015 --  #モノクロでどこまでカッコ良くなるか も pic.twitter.com/kA1cRXu5iR
Wed Apr 22 06:19:09 PDT 2015 --  川俣増田屋の納豆は川俣の道の駅で手に入ります。 pic.twitter.com/8ztPYn2kTZ
Wed Apr 22 06:04:39 PDT 2015 --  今日の昼に思いつきで、納豆の食べ比べやってみました。美味しそうなのを４種類購入して納豆だけで食べるという納豆変態企画。わかったことは、川俣の増田屋の納豆は１００円以下で購入できる納豆の帝王です。(税抜き８１円です。)粒が大きいのはもとより、食感といい納豆菌の香りといい最強です。
Wed Apr 22 02:46:39 PDT 2015 --  やっと 撮れた pic.twitter.com/aXgaIoht1t
Wed Apr 22 05:45:02 PDT 2015 --  俳優の萩原流行さん バイク事故で死亡か http://nhk.jp/N4It4Dde  #nhk_news
Wed Apr 22 05:03:48 PDT 2015 --  SEKAI NO OWARIのボーカルって、バブル期の伝説のグループ、フリッパーズ・ギターそっくりじゃないか!!!つまりオザケンそっくりってことか。今日からSEKAI NO OWARIのファンになりました。
Tue Apr 21 23:32:28 PDT 2015 --  今昔の水音　（南会津町　舘岩）５月 @saijiki_okuaizu　奥会津・四季の景観 http://www.okuaizu.net/  pic.twitter.com/N27QULT1iL
Tue Apr 21 20:20:36 PDT 2015 --  僕のお昼です。納豆の食べ比べしようと、美味しそうなのを４つ購入。納豆だけです。２つ目までは美味しく食べられたけど、３つ目から飽きてきた。もうちょっと時間おいて食おう。川俣増田屋の納豆は帝王デス。結果は夜に。 pic.twitter.com/xCUmcybYfU
Tue Apr 21 20:04:21 PDT 2015 --  今日、夜勤明け休みで林道大霊山線をドライブして来ました。霊山神社を通り湧水の里へ行く道は秋まで工事中らしいので、旧霊山閣へ上がる道から入り こどもの村へ抜けるルートでドライブ。途中こんな絶景ポイントも。一眼レフでないのは歯痒い。 pic.twitter.com/16FJsNsrL7
