Sat Aug 29 00:56:32 PDT 2015 --  Hydro Pa More! :P
Tue Aug 25 11:54:16 PDT 2015 --  God is not an option. So should you.
Tue Aug 25 11:32:11 PDT 2015 --  Those who hope in the LORD will renew their strength. They will soar on wings like eagles. -Isa 40:31
Tue Aug 25 11:29:01 PDT 2015 --  You are not what has happened to you. You are what you choose to become.
Tue Aug 25 11:50:35 PDT 2015 --  #Obey https://instagram.com/p/60Sj4gOtTI/ 
Tue Aug 25 10:38:39 PDT 2015 --  For we are God's workmanship, created in Christ Jesus to do good works, which God prepared in advance for us to do. -Eph 2:10
Tue Aug 25 11:07:25 PDT 2015 --  You may slip, but God isn't going to let you fall. His loving arms will ALWAYS be there to catch you.
Tue Aug 25 11:09:33 PDT 2015 --  O LORD my God, I called to you for help & you healed me. Psalm 30:2
Tue Aug 25 11:14:16 PDT 2015 --  Struggling? Pray.
Tue Aug 25 11:12:46 PDT 2015 --  There is no lack in God. #GodWillProvide
Tue Aug 25 11:10:56 PDT 2015 --  As iron sharpens iron, so one man sharpens another. -Proverbs 27:17
Tue Aug 25 10:51:27 PDT 2015 --  When we lose God, it is not God who is lost.
Tue Aug 25 10:49:13 PDT 2015 --  pic.twitter.com/KQS1GuKw62
Tue Aug 25 10:19:44 PDT 2015 --  My biggest fear is that all i believe is a lie.
Tue Aug 25 10:10:19 PDT 2015 --  pic.twitter.com/yaOvCkyNqW
Tue Aug 25 10:11:07 PDT 2015 --  If the world hates you, keep in mind that it hated me first. -John 15:18
Tue Aug 25 10:05:35 PDT 2015 --  He who calls you is faithful, who also will do it. 1 Thessalonians 5:24 pic.twitter.com/1bSRqhEsx2
Tue Aug 25 09:42:54 PDT 2015 --  Lola Nidora is real talk. Haha
Thu Aug 06 21:30:38 PDT 2015 --  Hanggang Pabebe Wave ka na lang Alden. pwe!
Fri Aug 07 22:12:44 PDT 2015 --  Sige Pia ipush mo yan feel na feel mo. Haha
Wed Aug 12 21:25:00 PDT 2015 --  Lahat ng bagay Pinaghihirapan.
Fri Aug 14 03:54:55 PDT 2015 --  May tamang Panahon Wag kang Excited. pwe!
Fri Aug 14 05:01:03 PDT 2015 --  Tamang Panahon? Hindi uso yan sa mga Malalandi!
Fri Aug 14 22:19:16 PDT 2015 --  To All Haters... #AlDubForYouIWill pic.twitter.com/Z78MnFOWtZ
Tue Aug 25 09:30:18 PDT 2015 --  No worries and all Is well with Jesus forever and always Gods bless us all 🏻🏻
Tue Aug 25 09:25:44 PDT 2015 --  Let us fix our eyes on Jesus, the author & perfecter of our faith, who for the joy set before him endured the cross. -Heb 12:2
Tue Aug 25 09:14:40 PDT 2015 --  Salvation is found in no one else, for there is no other name given under heaven by which we must be saved. -Acts 4:12
Tue Aug 25 09:05:06 PDT 2015 --  I will wait for you.. pic.twitter.com/nWZekwVUaw
Tue Aug 25 09:01:42 PDT 2015 --  Earth is just a temporary place. Heaven is our home. pic.twitter.com/eJkZN02Wp4
Tue Aug 25 09:07:40 PDT 2015 --  So I'll stand With arms high and heart abandoned With All I am is yours. # #TheStand #Jesus #NoOtherName
Tue Aug 25 08:58:48 PDT 2015 --  I seek you with all my heart; do not let me stray from your commands. -Psalm 119:10
Tue Aug 25 08:58:42 PDT 2015 --  Want to find happiness in your life? Appreciate the small stuff. You are blessed more than you realize.
Tue Aug 25 08:58:46 PDT 2015 --  James 1:17 Whatever is good and perfect comes down to us from God our Father...> #God #Jesus #Grace #HolySpirit #Love pic.twitter.com/mo71xWXz8x
Tue Aug 25 08:56:53 PDT 2015 --  Phil 1:6 #God is the one who began this good work in you, & I am certain that he won't stop before it is complete…> #Jesus #HolySpirit #Love
Tue Aug 25 08:57:17 PDT 2015 --  Wala ehh
Tue Aug 25 08:55:02 PDT 2015 --  Take my yoke upon you & learn from me, for I am gentle & humble in heart, & you will find rest for your souls. -Matthew 11:29
Tue Aug 25 08:51:13 PDT 2015 --  For it is by grace you have been saved, through faith-and this not from yourselves, it is the gift of God. -Eph 2:8
Tue Aug 25 08:43:01 PDT 2015 --  Be aware of how important words are in life and the effect they have on others.
Tue Aug 25 08:50:26 PDT 2015 --  Panginoon, alam kong may magandang plano Ka para sa akin. pic.twitter.com/B7eK7ZXOQt
Tue Aug 25 08:48:56 PDT 2015 --  ENCOURAGEMENT: Don't let the troubles of life bring you down. No matter how big your struggle, God has the power to conquer all things.
Tue Aug 25 08:48:57 PDT 2015 --  The difference between an opportunity and an obstacle is your attitude. Your faith has to be greater than your fear.
Tue Aug 25 07:05:58 PDT 2015 --  Happiness is real, believe in it, embrace it, love it.
Tue Aug 25 07:06:47 PDT 2015 --  Everything i once held dear, I count it all as lost...
Tue Aug 25 06:38:34 PDT 2015 --  Those who hope in the LORD will renew their strength. They will soar on wings like eagles. -Isa 40:31
Tue Aug 25 06:38:44 PDT 2015 --  Proverbs 31:8 Speak up for those who cannot speak for themselves; ensure justice for those being crushed.
Tue Aug 25 06:05:23 PDT 2015 --  God always has good purposes for our trials. pic.twitter.com/VnbhWgKXBY
Tue Aug 25 06:10:24 PDT 2015 --  God always has good purposes for our trials. DON'T LOSE HOPE! pic.twitter.com/sJ1SdWwHzq
Tue Aug 25 06:23:30 PDT 2015 --  I am with you always. -Matthew 28.20
Tue Aug 25 06:21:22 PDT 2015 --  For the LORD loves the just and will not forsake his faithful ones. -Psalm 37:28
Tue Aug 25 06:22:17 PDT 2015 --  Lakas ng Tama hahaha Woo! https://twitter.com/alamatryanrems/status/636166307243683841 …
Tue Aug 25 06:18:31 PDT 2015 --  A thousand times I've failed, still Your mercy remains.
Tue Aug 25 06:17:06 PDT 2015 --  Preserve me, O God: for in thee do I put my trust. -Psalm 16:1
Tue Aug 25 06:15:02 PDT 2015 --  If you reject God's teaching, you will pay the price; if you obey his commands, you will be rewarded. -Proverbs 13:13
Tue Aug 25 06:11:35 PDT 2015 --  “The Lord will be witness between us” Jdg11:10 Our word is not just a promise to someone else, but a promise to God. If you say it, do it.
Tue Aug 25 06:01:25 PDT 2015 --  pic.twitter.com/pIemxANWAV
Tue Aug 25 06:01:25 PDT 2015 --  A man of knowledge uses words with restraint, & a man of understanding is even-tempered. -Prov 17:27
Tue Aug 25 05:42:47 PDT 2015 --  Doing what is right & fair pleases the Lord more than an offering. -Proverbs 21:3
Tue Aug 25 05:14:40 PDT 2015 --  It is to a man's honor to avoid strife, but every fool is quick to quarrel. -Proverbs 20:3
Tue Aug 25 05:20:15 PDT 2015 --  Joyful are those who listen to Me, watching for Me daily at My gates, waiting for Me outside My home! Proverbs 8:34 pic.twitter.com/6pLyCXLTLS
Tue Aug 25 05:00:02 PDT 2015 --  @ryancostelo04 https://twitter.com/ncaaorgph/status/636131699340869633 …
Tue Aug 25 01:59:50 PDT 2015 --  Sometimes, I just sit back and realize how blessed I am. God is great. I have amazing people in my life. I shouldn't complain. Praise Him
Tue Aug 25 02:00:38 PDT 2015 --  Oh Lord, You searched me. You know my ways. Even when I fail You, I know You love me. –At The Cross, Hillsong
Tue Aug 25 01:37:30 PDT 2015 --  It's time to rise above those negative circumstances and believe what God says about you. You are blessed, favored, loved…
Tue Aug 25 01:38:12 PDT 2015 --  What God intended for you goes far beyond anything you can imagine. Never lose hope and hang on to God's hand.
Tue Aug 25 01:42:02 PDT 2015 --  Put your trust in God, not man.
Tue Aug 25 01:39:04 PDT 2015 --  "Anak, wag mangamba dahil Ako ang iyong sandigan." - GOD pic.twitter.com/Tayvlma2mQ
Tue Aug 25 01:32:39 PDT 2015 --  Don't give up on the things God has placed in your heart. Keep pushing & praying he will direct you.
Tue Aug 25 01:18:28 PDT 2015 --  Everything we run away from has power over us; everything we go through, we conquer.
Tue Aug 25 01:17:57 PDT 2015 --  I can do all things in him who strengthens me. -Phil 4:13
Tue Aug 25 01:18:28 PDT 2015 --  Don't give up on the people you love. Your patient love and faithfulness may be exactly what they need to make a complete turnaround.
Tue Aug 25 01:19:18 PDT 2015 --  You can decide to trust God, or you can decide to be miserable.
Mon Aug 24 22:47:09 PDT 2015 --  God has a perfect timing for everything. Learn to wait on Him. This brings Him honor, and it brings you peace. (see Psalm 27:14)
Tue Aug 25 00:55:42 PDT 2015 --  Christian? Yeah. Perfect? Nope. Forgiven? Yeah. Worthy? Nope. Accepted? Yeah. Deserving? Nope. Loved? Yeah.
Tue Aug 25 00:48:52 PDT 2015 --  Patience is not the ability to wait, but how you act while you're waiting.
Tue Aug 25 00:48:52 PDT 2015 --  For all have sinned and fall short of the glory of God. -Romans 3:23
Tue Aug 25 00:48:48 PDT 2015 --  Interview: Bakit kayo natalo coach? Tanga ung player ko ehh. Bakit mo pinasok coach? Kasi mas tanga ako sabay iyak. Kaya nga may training.
Mon Aug 24 04:46:03 PDT 2015 --  Fight for the things you love.
Tue Aug 25 00:41:27 PDT 2015 --  Some people talk about finding God - as if He could get lost.
Tue Aug 25 00:41:30 PDT 2015 --  I am with you always - Matthew 28:20
Tue Aug 25 00:41:27 PDT 2015 --  Amen pic.twitter.com/vVdREElkBk
Mon Aug 24 15:04:54 PDT 2015 --  I will never get tired of worship and giving You praise. 🏻 Good morning.
Tue Aug 25 00:00:18 PDT 2015 --  “People judge by outward appearance, but the Lord looks at a person’s thoughts and intentions.” 1 Samuel 16:7
Mon Aug 24 23:49:17 PDT 2015 --  Control your emotions
Sun Aug 23 18:39:18 PDT 2015 --  A true relationship is when you can tell each other anything and everything. No secrets and no lies.
Mon Aug 24 00:13:54 PDT 2015 --  Best friends are the only things I wish could exist FOREVER.
Mon Aug 24 00:14:57 PDT 2015 --  You will be okay. Maybe not now but soon.
Mon Aug 24 01:01:03 PDT 2015 --  Pretending not to care but actually wanting to cry.
Mon Aug 24 05:02:44 PDT 2015 --  Learn to control your thoughts.
Mon Aug 24 23:45:39 PDT 2015 --  Pabebe tounge #ALDUBLOVEONTOP
Mon Aug 24 23:35:57 PDT 2015 --  For it is by grace you have been saved, through faith-and this not from yourselves, it is the gift of God. -Eph 2:8
Mon Aug 24 23:34:01 PDT 2015 --  Pili lang pala eh. 🏻 #ALDUBLOVEONTOP
Mon Aug 24 23:32:03 PDT 2015 --  Worship God Together #RelationshipGoalsIn3Words
Mon Aug 24 23:28:18 PDT 2015 --  pic.twitter.com/mQ53BFejyx
Mon Aug 24 22:05:00 PDT 2015 --  shout out to anyone who has seen me get stupidly emotional and insanely insecure but has stuck around anyway
Mon Aug 24 22:17:37 PDT 2015 --  Surely God is my salvation; I will trust & not be afraid. -Isa 12:2
Mon Aug 24 22:18:16 PDT 2015 --  There is no fear in love; but perfect love casteth out fear. -1John 4:18
Mon Aug 24 12:30:37 PDT 2015 --  Wag ganun #ALDUBLOVEONTOP pic.twitter.com/Pv3oazvVs7
Mon Aug 24 12:23:37 PDT 2015 --  GOD IS THE REASON WHY: - In pain, I smile - In confusion, I understand. - In betrayal, I trust. - In fear, I push forward.
Mon Aug 24 11:56:39 PDT 2015 --  When you walk in love, you give up your right to be right.
Mon Aug 24 11:58:32 PDT 2015 --  God changes the hearts of people. Prayer changes the heart of God.
Mon Aug 24 11:58:32 PDT 2015 --  Ask God to remove anything in your life that is taking the place that belongs to Him.
Mon Aug 24 11:58:32 PDT 2015 --  Whatever is true, whatever is noble, right, pure, lovely, admirable, excellent or praiseworthy - think of such things. -Phil 4:8
Mon Aug 24 12:05:16 PDT 2015 --  Every setback is a setup for a comeback. God wants to bring you out better than you were before.
Mon Aug 24 12:11:22 PDT 2015 --  God wants your 1st relationship to be with Him. Then one another, then outreach to the world. -Eph 4:11-13
Mon Aug 24 12:21:15 PDT 2015 --  Nina alvia remember? @RAZIELpurisima Lol https://twitter.com/abscbnsports/status/635889515849216000 …
Mon Aug 24 12:01:54 PDT 2015 --  The fear of the LORD is the beginning of knowledge, but fools despise wisdom and instruction. -Proverbs 1:7
Mon Aug 24 11:45:30 PDT 2015 --  Jesus answered, "It is written: Man shall not live on bread alone, but on every word that comes from the mouth of God." -Matthew 4:4
Mon Aug 24 11:46:02 PDT 2015 --  #SaTamangPanahonMaybe https://twitter.com/lincolnvehicles/status/632797206173454336 …
Mon Aug 24 11:37:36 PDT 2015 --  If not now, when? It never came. until you make it right on time. #InTheRightTime
Mon Aug 24 11:33:08 PDT 2015 --  Peace on the outside comes from knowing God on the inside.
Mon Aug 24 11:08:31 PDT 2015 --  Cast all your anxiety on him because he cares for you - 1 Peter 5:7
Mon Aug 24 11:10:11 PDT 2015 --  God Is There Even When You're At Your Lowest. He's Working Things Out Even When You Don't Know It.
Mon Aug 24 11:18:00 PDT 2015 --  Monday motivation. pic.twitter.com/0PNCxTL3tO
Mon Aug 24 11:19:17 PDT 2015 --  For whatever a man sows, that shall he also reap. -Galatians 6:7
Mon Aug 24 11:21:16 PDT 2015 --  Today I declare my freedom in Christ from anything that has bound or limited me.
Mon Aug 24 11:28:02 PDT 2015 --  It's all in how you love me
Mon Aug 24 11:06:12 PDT 2015 --  All your time belongs to God. He insists on exclusive allegiance, not part-time faithfulness. #ThePurposeDrivenLife
Mon Aug 24 11:00:34 PDT 2015 --  One day
Mon Aug 24 10:59:48 PDT 2015 --  pic.twitter.com/BZrSJNRwls
Mon Aug 24 10:59:42 PDT 2015 --  You were born to be real, not to be perfect. You are here to be you, not to live someone else's life.
Mon Aug 24 10:58:24 PDT 2015 --  VERSE OF THE DAY pic.twitter.com/QN7qyMRD8B
Mon Aug 24 10:49:20 PDT 2015 --  pic.twitter.com/QLa8RPlvXB
Mon Aug 24 10:48:55 PDT 2015 --  Hatred stirs up dissension, but love covers over all wrongs. -Prov 10:12
Mon Aug 24 10:50:19 PDT 2015 --  One more chance is all you need and you will never be the same!
Mon Aug 24 10:47:54 PDT 2015 --  Thank you Jesus
Mon Aug 24 10:47:15 PDT 2015 --  "How He Loves Us" by Me In Motion from The Lifted Hands EP ♫ http://spoti.fi/KypETO 
Mon Aug 24 10:46:27 PDT 2015 --  I know that God will give you whatever you ask of him. -John 11.22.
Mon Aug 24 10:46:19 PDT 2015 --  When you miss someone don't wait for nothing. Make it happen.
Mon Aug 24 10:43:29 PDT 2015 --  You have been saved as a favour through faith. This doesn't come from yourselves. It's God's gift Ephesians 2:8
Mon Aug 24 10:41:24 PDT 2015 --  God is at work in your life right now. He is directing your steps. What you thought was a setback is going to turn out to be a setup.
Mon Aug 24 10:41:36 PDT 2015 --  A thousand times I've failed, still Your mercy remains.
Mon Aug 24 10:36:06 PDT 2015 --  You'll find love when your heart is ready, not when it's lonely.
Mon Aug 24 10:37:58 PDT 2015 --  Now with whip cream! pic.twitter.com/A2qIqCJQEg
Mon Aug 24 05:05:45 PDT 2015 --  GOD - the definition of true love. #ALDUBTULOYANGFOREVER
Mon Aug 24 08:14:00 PDT 2015 --  God is never late, God is never early, God is always right on time. #ALDUBTULOYANGFOREVER
Mon Aug 24 08:15:54 PDT 2015 --  God is never too busy to answer our prayers. #ALDUBTULOYANGFOREVER
Mon Aug 24 06:26:28 PDT 2015 --  “Jesus looked at them and said, ‘With man this is impossible, but with God all things are possible.’” (Matthew 19:26 NIV
Mon Aug 24 06:24:46 PDT 2015 --  The Giver: Memories are not just about the past. They determine our future. You can change things. You can make things better.
Mon Aug 24 06:24:11 PDT 2015 --  Jonas: I had learned that knowing what something is, is not the same as knowing how something feels.
Mon Aug 24 06:23:15 PDT 2015 --  The Giver - Official Trailer - The Weinstein Company https://youtu.be/iJNNugNe0Wo  via @YouTube
Mon Aug 24 05:48:43 PDT 2015 --  Take my yoke upon you & learn from me, for I am gentle & humble in heart, & you will find rest for your souls. -Matt 11:29
Mon Aug 24 05:45:58 PDT 2015 --  Jesus said to him, "I am the way, and the truth, and the life; no one comes to the Father but through Me." -John 14:6
Mon Aug 24 05:44:22 PDT 2015 --  Happiness is in the heart, not in the circumstances. - Author Unknown
Mon Aug 24 05:44:45 PDT 2015 --  We almost always see only what's wrong with other people and not what's wrong with us.
Mon Aug 24 05:43:57 PDT 2015 --  He was crushed for our iniquities; the punishment that brought us peace was upon him, & by his wounds we are healed. -Isa 53:5
Mon Aug 24 05:42:33 PDT 2015 --  For if you forgive others when they sin against you, your heavenly Father will also forgive you. -Matthew 6:14
Mon Aug 24 05:40:25 PDT 2015 --  Let God's promises shine on your problems. pic.twitter.com/i0OySeSWaS
Mon Aug 24 05:39:01 PDT 2015 --  pic.twitter.com/Z07IuZLBEE
Mon Aug 24 05:39:13 PDT 2015 --  Jesus Christ paid the ultimate price, of dying for our sins, so that we might gain the ultimate prize, of a relationship with Him.
Mon Aug 24 05:15:26 PDT 2015 --  I don't know what I would do without You, Lord.
Mon Aug 24 04:51:57 PDT 2015 --  You're not a failure until you stop trying. If you have no other testimony you have this one: "I'm still here."
Mon Aug 24 04:54:09 PDT 2015 --  So then faith cometh by hearing, and hearing by the word of God. -Romans 10:17
Mon Aug 24 04:54:15 PDT 2015 --  Pray, forgive yourself, appreciate others, do things you enjoy, and remind yourself that you are loved.
Mon Aug 24 05:01:31 PDT 2015 --  [God,] give us a helper against the oppressor, for human help is worthless - Psalm 60:11
Mon Aug 24 05:05:46 PDT 2015 --  Our goal is to know God (through His Word) and to make Him known (through our witness).
Mon Aug 24 05:12:59 PDT 2015 --  G O D I S G O O D
Mon Aug 24 04:46:35 PDT 2015 --  Love goes on
Mon Aug 24 04:30:34 PDT 2015 --  "A man's heart plans his ways, but the Lord directs his steps." pic.twitter.com/ZhUNe8jGZP
Mon Aug 24 04:29:04 PDT 2015 --  Be faithful in small things because it is in them that your strength lies. -Mother Teresa
Mon Aug 24 04:23:43 PDT 2015 --  Create in me a clean heart, O God, and renew a steadfast spirit within me. -Psalm 51:10
Mon Aug 24 04:23:47 PDT 2015 --  God demonstrates his own love for us in this: While we were still sinners, Christ died for us. -Rom 5:8
Mon Aug 24 04:07:32 PDT 2015 --  Jesus Christ was delivered over to death for our sins and was raised to life for our justification. -Romans 4:25
Mon Aug 24 02:17:03 PDT 2015 --  Submit therefore to God. Resist the devil and he will flee from you. -James 4:7
Mon Aug 24 02:18:57 PDT 2015 --  Cast your burden upon the LORD and He will sustain you; He will never allow the righteous to be shaken. -Psalm 55:22
Mon Aug 24 02:20:35 PDT 2015 --  There's nothing that you can't overcome with God on your side.
Mon Aug 24 02:21:15 PDT 2015 --  Jesus gives you inner peace. That peace is radiated out.
Mon Aug 24 02:21:27 PDT 2015 --  Some people are hurting so bad you have to do more than preach a message to them. You have to BE a message to them.
Mon Aug 24 02:25:10 PDT 2015 --  pic.twitter.com/xow3ntQq2U
Mon Aug 24 02:25:10 PDT 2015 --  Submit yourselves therefore to God. Resist the devil, & he will flee from you - James 4:7
Mon Aug 24 02:25:26 PDT 2015 --  Peace—real peace—is found only in a relationship with Jesus. Have you received His peace?
Mon Aug 24 02:30:03 PDT 2015 --  Do not love the world nor the things in the world. If anyone loves the world, the love of the Father is not in him. -1 John 2:15
Mon Aug 24 00:37:29 PDT 2015 --  The measure of who we are is what we do with what we have.
Mon Aug 24 00:36:25 PDT 2015 --  The fear of the LORD teaches a man wisdom, and humility comes before honor. -Proverbs 15:33
Sun Aug 23 07:14:29 PDT 2015 --  Let your past make you better, not bitter.
Sun Aug 23 23:03:40 PDT 2015 --  God has not given us the spirit of fear; but of power, & of love, & of sound mind. -2Tim 1:7
Sun Aug 23 23:00:22 PDT 2015 --  "Dahil sa pag-ibig Mo, natututunan kong magmahal ng totoo." pic.twitter.com/XIB6gGjgDG
Sun Aug 23 22:59:14 PDT 2015 --  Can't fight this feeling anymore
Sun Aug 23 22:50:13 PDT 2015 --  Do not judge so that you will not be judged. -Matthew 7:1
Sun Aug 23 22:42:58 PDT 2015 --  pic.twitter.com/BKeq0dDLHw
Sun Aug 23 22:38:39 PDT 2015 --  Peace on the outside comes from knowing God on the inside.
Sun Aug 23 22:38:40 PDT 2015 --  Don't forget to pray today, because God didn't forget to wake you up this morning.
Sun Aug 23 21:19:10 PDT 2015 --  A wise man is full of strength, and a man of knowledge enhances his might. -Proverbs 24:5
Sun Aug 23 21:37:15 PDT 2015 --  pic.twitter.com/Pn47wzE5aF
Sun Aug 23 22:06:14 PDT 2015 --  The Bible says, “The one thing required of such servants is that they be faithful to their master.” - 1 Corinthians 4:2
Sun Aug 23 22:12:33 PDT 2015 --  Jesus is all I need.
Sun Aug 23 22:17:39 PDT 2015 --  Loyalty is rare. If you find it, keep it.
Sun Aug 23 15:04:13 PDT 2015 --  Jesus is all I need.
Sun Aug 23 15:03:37 PDT 2015 --  We are saved by grace through faith in Christ Jesus, not from any works that we can boast of.
Sun Aug 23 15:01:34 PDT 2015 --  The Bible says, “If someone takes unfair advantage of you, use the occasion to practice the servant life.” - Matthew 5:41
Sun Aug 23 15:01:18 PDT 2015 --  How do you react when you’re taken for granted, bossed around, or treated as an inferior?
Sun Aug 23 14:35:08 PDT 2015 --  No one is as holy and pure and perfect as Jesus. Don't wait till you publicly mess up to admit that. Be transparent from day one.
Sun Aug 23 14:31:57 PDT 2015 --  Jesus is the main focus us here. We can try to set good examples but eventually we will fail. Because only He is the perfect example.
Sun Aug 23 14:30:10 PDT 2015 --  The point is to be more like Jesus. Sometimes we assume that means do what we see christians doing... No. The two aren't always synonymous.
Sun Aug 23 14:31:27 PDT 2015 --  http://youtu.be/Cpor5SQFGkM  To feel is to experience. pic.twitter.com/MXVX85PugL
Sun Aug 23 14:24:33 PDT 2015 --  For we are God's workmanship, created in Christ Jesus to do good works, which God prepared in advance for us to do. -Eph 2:10
Sun Aug 23 14:25:40 PDT 2015 --  pic.twitter.com/mea1yOGIR2
Sun Aug 23 13:52:22 PDT 2015 --  Come to me, all you who are weary & burdened, & I will give you rest. -Matt 11:28
Sun Aug 23 13:56:03 PDT 2015 --  He is always with you.
Sun Aug 23 12:52:44 PDT 2015 --  Jesus Christ endured more than we can ever imagine, just for the chance at a relationship with us. #ForeverThankful
Sun Aug 23 12:53:05 PDT 2015 --  With all my heart I praise the LORD! I will never forget how kind he has been. -Psalm 103:2
Sun Aug 23 12:52:45 PDT 2015 --  Make up your mind that you're not going to quit until you see the fruit of what God has placed within you.
Sun Aug 23 12:10:07 PDT 2015 --  Challenges are simply opportunities.
Sun Aug 23 12:08:44 PDT 2015 --  And thou shalt love the Lord thy God with all thine heart, & with all thy soul, & with all thy might. -Deut 6:5
Sun Aug 23 12:03:58 PDT 2015 --  God will help you overcome wrong motives and intentions if you'll simply ask and receive help rather than trying to do it on your own.
Sun Aug 23 12:02:08 PDT 2015 --  pic.twitter.com/ZH15RL0sga
Sun Aug 23 11:58:45 PDT 2015 --  For if you forgive others when they sin against you, your heavenly Father will also forgive you. -Matthew 6:14
Sun Aug 23 11:58:20 PDT 2015 --  In fear, I push forward.
Sun Aug 23 11:48:27 PDT 2015 --  Jesus is my top priority!
Sun Aug 23 11:48:26 PDT 2015 --  I love you, O LORD, my strength. -Psalm 18:1
Sun Aug 23 11:47:24 PDT 2015 --  If God changes your heart, be willing to change your plans.
Sun Aug 23 11:44:39 PDT 2015 --  Save me from people of the world - Psalm 17:14
Sun Aug 23 11:28:57 PDT 2015 --  It's fine as long as you know your limitations.
Sat Aug 22 19:30:06 PDT 2015 --  #quote #quoteoftheday pic.twitter.com/cQ5uaIQ5PM
Sat Aug 22 22:30:06 PDT 2015 --  #quote pic.twitter.com/BGBlGWtF3C
Sun Aug 23 00:00:22 PDT 2015 --  #quote pic.twitter.com/Uf2tdMJohD
Fri Aug 21 08:42:07 PDT 2015 --  Top 37 Things That Dying People Say They Regret http://rapidtwitter.com/posts/19779?link_id=3383 … pic.twitter.com/ORhfD1pmnc
