Sat Aug 29 09:05:23 PDT 2015 --  Is "potential possibilities" redundant?
Fri Jul 31 10:50:51 PDT 2015 --  Drew being a helpful dad: But what if your hair gets into the power strip you keep on your bed? You could start on fire.
Fri Jul 31 06:53:39 PDT 2015 --  Every day the Internet bombards me with genius then shocks me to my core with stupidity. BUT I CAN'T GET OFF DIS RIDE!!!
Fri Jul 31 06:09:17 PDT 2015 --  @damronkatie they were the most annoying questions! Usually I want to defend members of the media, but those guys were being jerks. #awk
Fri Jul 31 02:27:41 PDT 2015 --  When is Ray Ray getting back from wherever she's camping
Fri Jul 31 01:38:32 PDT 2015 --  Insomnia, table for one
Fri Jul 31 01:20:16 PDT 2015 --  I watched that Cara Delevingne interview. The news anchors didn't have to make such personal jabs. Cara is a queen.
Thu Jul 30 23:34:27 PDT 2015 --  @damronkatie Come down to the U. I legitimately don't know what to do without your love, guidance, and occasional, yet mandatory, shade.
Thu Jul 30 23:23:39 PDT 2015 --  Went to listen to the new 1D song to gauge the post-Zayn product & Apple Music played Travi$ Scott's song instead. Imagine my confusion.
Thu Jul 30 22:44:29 PDT 2015 --  And some @damronkatie would be nice.
Thu Jul 30 22:33:53 PDT 2015 --  Eating garlic bread this late at night is for the weak (me).
Thu Jul 30 22:21:30 PDT 2015 --  Hangry at best
Thu Jul 30 21:16:29 PDT 2015 --  http://time.com/2895799/im-sorry-pantene-shinestrong/ …
Thu Jul 30 21:10:53 PDT 2015 --  "Apologizing is a crutch--a tyrannical lady-crutch."
Thu Jul 30 19:54:02 PDT 2015 --  Crisis Management Expert: Kathryn Damron
Thu Jul 30 18:11:43 PDT 2015 --  GTG
Thu Jul 30 16:38:29 PDT 2015 --  I'm obsessed with scrunchies!!
Thu Jul 30 16:54:18 PDT 2015 --  Done playing Hannah for the fifth season of Girls. 52 episodes down and I feel like we're starting to look alike.
Thu Jul 30 13:45:47 PDT 2015 --  Saving up for college is something I should have done oh, I don't know....eight years ago.
Thu Jul 30 12:18:50 PDT 2015 --  I'm telling you summer insomnia is a real thing. Where you just can't sleep until early morning.
Thu Jul 30 11:15:21 PDT 2015 --  Did not sleep at all last night
Thu Jul 30 10:47:19 PDT 2015 --  I was scrolling through my camera roll looking for a good TBT, but I ended up just getting emotional looking at all my pics with long hair.
Thu Jul 30 10:07:44 PDT 2015 --  Look, I've only got so many days before Apple Music isn't free anymore. It would be nice if it worked at least occasionally.
Thu Jul 30 08:48:14 PDT 2015 --  If you need to cry in an acting class or in general just imagine rihanna yelling at you
Thu Jul 30 03:53:01 PDT 2015 --  *me to Siri* what is sleep
Thu Jul 30 03:38:10 PDT 2015 --  I can't sleep!!!! Horrific
Thu Jul 30 02:34:02 PDT 2015 --  Spending most, if not all, of my time looking for a clean t-shirt to wear to bed.
Thu Jul 30 02:06:29 PDT 2015 --  How is unfocus not a word? #3amThoughts
Wed Jul 29 23:14:22 PDT 2015 --  Current emotion: the saguaro on the Arizona state quarter
Wed Jul 29 22:39:22 PDT 2015 --  Getting the Damrons to Australia might be tricky so Operation: Damrons To Grand Canyon 2k16 is now in stage one.
Sun Jun 28 14:27:54 PDT 2015 --  The phrase 'one-of-a-kind' can also mean one of many. I wonder if its idiomatic meaning as unique is actually wrong? #ImBored
Wed Jul 29 20:21:52 PDT 2015 --  The most important part of Paper Towns (book, not movie) is the Godfather reference.
Wed Jul 29 20:11:11 PDT 2015 --  Marco Rubio, you lost Twitter privileges
Wed Jul 29 18:36:08 PDT 2015 --  Call em like I see em
Sun Jul 26 10:26:03 PDT 2015 --  If you post a selfie that says "because some of you asked for a new one" I want to see screenshots of where they said that.
Wed Jul 29 13:10:04 PDT 2015 --  I guess I never explained why I left , it was for this moment to be given the opportunity to show you who i really am! #realmusic #RCA !!
Wed Jul 29 15:18:32 PDT 2015 --  A new race is emerging and it's called proud dog mother
Wed Jul 29 12:29:00 PDT 2015 --  You don't know passive aggressive until Jan stops you, swipes a semi-dusty surface with two fingers, and says "So what have you done today?"
Wed Jul 29 11:30:08 PDT 2015 --  Taking my brother's advice
Wed Jul 29 00:14:39 PDT 2015 --  Casual lane change
Tue Jul 28 23:14:39 PDT 2015 --  Reading up on this dentist that killed #CecilTheLion -- Big game hunter, accused of sexual assault, liar, all around good guy.
Tue Jul 28 23:00:02 PDT 2015 --  Biggest struggle of my life
Tue Jul 28 21:56:31 PDT 2015 --  "You know what they say, Katie. Today has just been too many nipples on a cat." --Tanner
Tue Jul 28 21:51:54 PDT 2015 --  Tanner telling me about getting his tattoo today: "I didn't cry or swear so it was pretty good."
Tue Jul 28 20:35:53 PDT 2015 --  I just finished the best book I've read in a long time. Cc: @joblad10
Tue Jul 28 14:45:18 PDT 2015 --  we've been taking a break from recording our album to research ufos. sorry it's taken so long
Tue Jul 28 12:52:02 PDT 2015 --  I wanna be in KC y'know
Tue Jul 28 12:42:15 PDT 2015 --  The fact Katie and I are on a Mad Men binge at the same time and it was unplanned shows how real are love is.
Tue Jul 28 12:37:35 PDT 2015 --  Nothing throws me into emotional turmoil quite like when someone brings up Eleanor & Park.
Tue Jul 28 12:36:51 PDT 2015 --  Give me updates! Tell me what you think. Tell me the exact moment you fall in love with Don Draper. https://twitter.com/kltjh/status/626112719691747328 …
Tue Jul 28 11:36:54 PDT 2015 --  Hustling
Tue Jul 28 09:52:12 PDT 2015 --  The chip in the corner of my MacBook case is one great big metaphor
Tue Jul 28 08:22:27 PDT 2015 --  I didn't realize I was watching the last available episode of Mad Men. Lame.
Tue Jul 28 07:32:22 PDT 2015 --  For the record, I'm not *still* watching Mad Men. I did actually sleep for a few hours.
Tue Jul 28 07:31:04 PDT 2015 --  When Don Draper says "parliamentary procedure" I know for a fact Aleigh Allred sighs dreamily.
Mon Jul 27 23:09:49 PDT 2015 --  "Katie, why didn't you put your plate in the dishwasher?" Because I'm still mad we had CORN ON THE COB for dinner.
Wed Jul 22 15:01:30 PDT 2015 --  y'all
Mon Jul 27 22:48:16 PDT 2015 --  *me during a very heated debate* Okay, but I think both sides can agree that corn on the cob is the worst thing ever.
Mon Jul 27 20:55:33 PDT 2015 --  i once spent all my arcade tickets on a chinese finger trap & i couldn't get free so i ripped it in half. this is somehow symbolic
Mon Jul 27 19:32:06 PDT 2015 --  I feel the need to apologize to everyone I come in contact with when my nail polish is chipped
Mon Jul 27 18:38:15 PDT 2015 --  People calling out Caitlyn Jenner for not knowing what it means to be a woman are guilty of not knowing what it means to be trans.
Mon Jul 27 13:19:40 PDT 2015 --  Forever sitting outside to dry my hair
Mon Jul 27 12:01:49 PDT 2015 --  Shawn https://twitter.com/biggs_zap/status/625741761164349440 …
Mon Jul 27 01:04:24 PDT 2015 --  Kpop is rising up
Mon Jul 27 00:10:22 PDT 2015 --  @damronkatie THE QUEEN JUST CALLED ME THE QUEEN
Sun Jul 26 23:34:06 PDT 2015 --  Pretty much the only reason I get on FB is to see @sandwitchhhh post clever films and confront misguided feminist critics. She's cool.
Sun Jul 26 22:47:21 PDT 2015 --  HOUSE OF DVF IS RETURNING IM THRILLED
Sun Jul 26 21:59:10 PDT 2015 --  Loved seeing Kanye on I Am Cait
Sun Jul 26 19:49:27 PDT 2015 --  My favorite non-Flyer, Bobby Ryan, was apparently in Idaho. !!!
Fri Jul 24 11:13:49 PDT 2015 --  Can't stand traffic. #idaho pic.twitter.com/qTbAMR0QyE
Sun Jul 26 15:32:36 PDT 2015 --  Blue/green https://twitter.com/jsporter43/status/625432191498067968 …
Sun Jul 26 12:03:05 PDT 2015 --  Secret projects are what sustain me. It's been that way since I was 7 and making potions in the bathroom.
Sun Jul 26 11:57:26 PDT 2015 --  I found my mood rings
Sun Jul 26 01:28:46 PDT 2015 --  School is coming. I'm already suffering.
Sat Jul 25 22:52:10 PDT 2015 --  I swear my mother always pulls the "lovingly stares at child" when I'm eating or blowing my nose or chugging water.
Sat Jul 25 18:54:07 PDT 2015 --  *says guys* *washes mouth out with soap*
Sat Jul 25 16:58:35 PDT 2015 --  I'm about to fight this woman from Mississippi
Sat Jul 25 13:32:39 PDT 2015 --  "That girl used to terrify me in high school. But now I see that I have better grammar. And comparatively speaking, my Twitter game is fire"
Sat Jul 25 12:09:00 PDT 2015 --  That twenty minutes after you do your makeup where your eyes itch terribly but there is nothing you can do
Sat Jul 25 11:23:59 PDT 2015 --  It sounds like they're filming a Top Gun sequel above Pocatello right now.
Sat Jul 25 00:38:56 PDT 2015 --  There is no way I would be able to afford college if we had a Target in Pocatello
Fri Jul 24 22:14:47 PDT 2015 --  Work is next level insane
Fri Jul 24 18:30:23 PDT 2015 --  I just emailed Twitter to see if they can add an edit feature so that when u misspell something u don't have to delete & repost Let's see...
Fri Jul 24 11:28:41 PDT 2015 --  The Sheets of Egyptian Cotton song from Uptown Girls is regularly stuck in my head.
Fri Jul 24 09:46:01 PDT 2015 --  Lena made a Godfather reference on Instagram. *standing ovation*
Fri Jul 24 08:07:05 PDT 2015 --  #GBaby https://twitter.com/NHL/status/624595144671522817 …
Thu Jul 23 13:06:54 PDT 2015 --  Morgan Stewart's 2007 was my 2012 #RichKids
Thu Jul 23 08:53:41 PDT 2015 --  "It's very expensive." - Chipotle employee "Look, I got money to spend in here." - Julia Roberts Pretty Woman 2: Guacamole Costs Extra
Thu Jul 23 00:22:38 PDT 2015 --  Remember March 2012
Wed Jul 22 21:37:37 PDT 2015 --  Every time I hear about a baby gadget (i.e. a shampoo visor), having children seems less appealing.
Wed Jul 22 18:34:05 PDT 2015 --  @damronkatie NINETEEN. HOURS. LEFT
Wed Jul 22 13:15:51 PDT 2015 --  Tru https://twitter.com/jsporter43/status/623947039538188288 …
Wed Jul 22 12:27:50 PDT 2015 --  In five years, I'll probably be graduated from college and Minions will be obsolete. It will be a good time to be alive.
Wed Jul 22 10:10:16 PDT 2015 --  CeeLo Green has a new song about Robin Williams. Too bad I have a very strict no CeeLo rule.
Wed Jul 22 07:41:14 PDT 2015 --  I dreamed James Franco just started directing Girls without my permission
Wed Jul 22 00:44:45 PDT 2015 --  I always read the acknowledgments at the end of a book. Because that's actually a qualification of being an obsessive nerd.
Wed Jul 22 00:39:59 PDT 2015 --  Sometimes I read the ending of a book too fast and feel like I missed everything
Tue Jul 21 22:20:52 PDT 2015 --  STOP HER
Tue Jul 21 22:18:24 PDT 2015 --  Someone stop my mother.
Tue Jul 21 16:54:39 PDT 2015 --  Dear @EW: Let's reverse the imagery & not uphold the #angryblackwoman stereotype. pic.twitter.com/INNPP4Az90
Tue Jul 21 21:43:47 PDT 2015 --  Okay but Entertainment Weekly choosing a hot pic of Taylor and an unflattering pic of Nicki for their article is extremely wrong.
Tue Jul 21 19:13:41 PDT 2015 --  Are you really mad you can hear the elevators from your room or are you actually mad your daughter is wearing that gross crop top?
Tue Jul 21 19:11:04 PDT 2015 --  Okay but this new Nicki/Taylor beef just gave E Cig and me unreal podcast material.
Tue Jul 21 15:13:25 PDT 2015 --  @NICKIMINAJ I've done nothing but love & support you. It's unlike you to pit women against each other. Maybe one of the men took your slot..
Tue Jul 21 12:22:02 PDT 2015 --  Remember when I made that PowerPoint about George Washington instead of studying for finals? Ya I still have it and it brings me much joy.
Tue Jul 21 12:13:55 PDT 2015 --  Jan and I have paused all projects to find the source of the noise.
Tue Jul 21 12:02:30 PDT 2015 --  And whoever they are, they get a lot of text messages.
Tue Jul 21 12:02:16 PDT 2015 --  But really. No one else is home. Everyone has his or her phone. I obviously have mine. WHOSE PHONE IS GOING OFF?
Tue Jul 21 11:58:57 PDT 2015 --  I can still hear that iPhone going off in my house from time to time. I think someone moved in without us knowing.
Mon Jul 20 12:10:39 PDT 2015 --  Stephen Hawking just put out a $100,000,000.00 bounty out on all aliens. Pack your things, I need the money.
Tue Jul 21 09:52:47 PDT 2015 --  I read Taylor Swift is making a clothing line.
Mon Jul 20 22:55:42 PDT 2015 --  Watching Jimmy Kimmel specifically for Nat Wolff.
Mon Jul 20 20:05:31 PDT 2015 --  Update: I bought the Nixon watch
Mon Jul 20 17:52:30 PDT 2015 --  This dude dropped enough honeys, babes, and sweethearts in our phone conversation that I now feel obligated to be in a relationship with him
Mon Jul 20 15:58:29 PDT 2015 --  I had to let a really nice Australian man down today. I'm probably going to be stuck with bad Karma forever.
Mon Jul 20 10:41:26 PDT 2015 --  2008 Kardashian episodes
Mon Jul 20 10:23:47 PDT 2015 --  Lame. I forgot the "t" in bet in my Bieber tweet. Eh.
Mon Jul 20 10:23:13 PDT 2015 --  Soooo exciteddddd https://twitter.com/callmeecig/status/623177849432838144 …
Mon Jul 20 10:06:53 PDT 2015 --  I'll be anything that Justin Bieber has a selfie stick on hand at all times.
Mon Jul 20 01:36:09 PDT 2015 --  Hold the phone. I totally forgot Summer Break started. (The YouTube series. I'm not THAT oblivious) ((Did I really say hold the phone))
Mon Jul 20 01:17:37 PDT 2015 --  Everyone talks about Oberlin these days
Sun Jul 19 23:18:33 PDT 2015 --  Also, the Stanley Steemer commercial's discussion of that kid Kyle's allergy to pet dander makes me want to vomit.
Sun Jul 19 21:20:43 PDT 2015 --  Everyone go to bed.
Sun Jul 19 17:45:55 PDT 2015 --  Remember that dude from Whitman my freshman year who gave an expos on subcultures with emphasis on hipsters? I still think of that speech.
Sun Jul 19 17:32:03 PDT 2015 --  I spend approximately 136% of my day wishing I owned a pair of HOH sunglasses.
Sun Jul 19 14:45:55 PDT 2015 --  I feel like half the reviewers on Goodreads are cynical book snobs that couldn't recognize art if they were formally introduced.
Sun Jul 19 00:00:29 PDT 2015 --  KATIES ADVICE ON BOYS pic.twitter.com/fooGLerGKD
Sat Jul 18 23:40:49 PDT 2015 --  I love when Sierra calls me Kathryn
Sat Jul 18 23:09:15 PDT 2015 --  I say this a lot, but I just finished suchhhh a good book. Best I've read in quite some time.
Sat Jul 18 21:58:58 PDT 2015 --  I invite myself along on Drew and Jan's dates. We're headed to sonic right now.
Sat Jul 18 18:51:07 PDT 2015 --  Me at Forever 21: So is the orange foundation smudged across the neckline of every shirt here a new trend or...?
Sat Jul 18 17:51:41 PDT 2015 --  Same https://twitter.com/callmeecig/status/622562103237316608 …
Sat Jul 18 17:00:17 PDT 2015 --  Block it out
Sat Jul 18 15:26:12 PDT 2015 --  It's like Donald Trump is running for the office of America's Angry Racist Grandma.
Sat Jul 18 14:41:59 PDT 2015 --  Jan is such a glamazon. Someone stop her.
Sat Jul 18 12:44:44 PDT 2015 --  OH NO I SAW A ZOO YORK JACKET I LIKE KATIE HELP
Sat Jul 18 14:10:36 PDT 2015 --  Paying half the Nordy's bill on site so Drew doesn't launch into the stratosphere
Sat Jul 18 11:03:20 PDT 2015 --  So is Trump's PR team on vacation orrrrr?????
Sat Jul 18 09:04:17 PDT 2015 --  Trump on McCain: "He's a war hero because he was captured. I like people that weren't captured."
Sat Jul 18 10:05:28 PDT 2015 --  "trump finally crossed a line by attacking rich white republican dude. the attacks on mexicans crossed borders but not lines. those were ok"
Fri Jul 17 22:53:42 PDT 2015 --  Zayn Malik may have left the biggest band in the world, but the clip of him dancing in the track suit on SNL lives its own strong legacy.
Mon Jun 22 20:39:47 PDT 2015 --  Imagine getting bad news in a sleeveless hoodie
Fri Jul 17 20:22:57 PDT 2015 --  Dominating the juke box at Johnny Rockets
Fri Jul 17 17:41:43 PDT 2015 --  I found a photo of me where I look just like my dad.
Fri Jul 17 13:40:25 PDT 2015 --  My specialty. Always down to help. https://twitter.com/mclachlansierra/status/622134498482716673 …
Fri Jul 17 12:47:48 PDT 2015 --  My most commonly used emojis: 🏼 #EmojiDay
Fri Jul 17 10:14:46 PDT 2015 --  Ew @ gawker
Fri Jul 17 00:20:41 PDT 2015 --  I hate online posts that characterize all women as either high maintenance or excessively simple creatures.
Thu Jul 16 23:27:29 PDT 2015 --  Janet Mock is so essential. What an important voice for society.
Thu Jul 16 21:16:30 PDT 2015 --  Big love to E Cig
Thu Jul 16 20:30:50 PDT 2015 --  s/o to sierra for being there for me when i'm in level 10 crisis mode
Thu Jul 16 19:46:53 PDT 2015 --  Watching Girls and reading Not That Kind Of Girl has made me realize how self-involved I can be.
Thu Jul 16 18:27:01 PDT 2015 --  Was trying to think of something funny to post about a donut then had a moment of clarity "you don't have to do this to yourself anymore"
Thu Jul 16 13:36:31 PDT 2015 --  Broke plans with E Cig because of work. Please help me fill out my worst friend ever application.
Thu Jul 16 13:05:18 PDT 2015 --  MDZ
Thu Jul 16 11:46:25 PDT 2015 --  I'm home by myself (I think??) and I keep hearing a phone go off. I'm not* scared. *extremely
Thu Jul 16 00:30:34 PDT 2015 --  I'm in a really dark place right now (I'm starting to dig remixes)
Wed Jul 15 23:38:53 PDT 2015 --  Caitlyn Jenner is going to single handedly bring back the Diane Von Furstenberg wrap dress.
Wed Jul 15 20:49:58 PDT 2015 --  Handing out Blair Waldorf-style punishments tonight
Wed Jul 15 20:25:12 PDT 2015 --  @damronkatie I cringe a little every time I refer to people as "guys" #thefightisnotoveryet
Wed Jul 15 20:14:06 PDT 2015 --  Caitlyn Jenner looked so fab tonight it pains me to see so much perfection in one person 🏼
Wed Jul 15 20:12:01 PDT 2015 --  It's crazy that not saying "guys" was such a massive deal in debate and I fought that battle for years and now it's not really a thing irl
Wed Jul 15 15:04:01 PDT 2015 --  Red potatoes with a Parmesan & thyme mousse and grilled asparagus #CookingWithKatie
Wed Jul 15 11:54:45 PDT 2015 --  Raise your hand if you've ever used Cara Delevingne as an excuse to be lazy or overzealous with your eyebrows.
Wed Jul 15 09:34:27 PDT 2015 --  @Al_Pal_Alllred And what a special time it is. Thanks for sharing your #NSale excitement with us!
Wed Jul 15 01:05:49 PDT 2015 --  I have the best Madonna gif
Tue Jul 14 23:26:29 PDT 2015 --  really missin @CallMeECig right about now
Tue Jul 14 23:05:22 PDT 2015 --  My dog loves my dad more than anyone else in the world loves anything else in the world
Tue Jul 14 19:11:04 PDT 2015 --  Can Thursday come faster? Ethan and I have so much social/cultural commentary to provide.
Tue Jul 14 17:29:29 PDT 2015 --  We started giving away free mints at work. This is what dreams are made of.
Tue Jul 14 11:27:20 PDT 2015 --  Possibility of a new AOJ single in the near future? Very high.
Tue Jul 14 01:17:48 PDT 2015 --  any vine incorporating that kid saying legitness gets me going
Mon Jul 13 21:25:23 PDT 2015 --  Are you really mad our back entrance is under construction, or are you actually mad you have a Billy Ray Cyrus mullet in 2015?
Mon Jul 13 20:41:51 PDT 2015 --  My cousin is the epitome of teenage angst and sass and I love her so much when is she getting back from Oregon I have separation anxiety
Mon Jul 13 17:09:09 PDT 2015 --  . @mclachlansierra
Mon Jul 13 12:16:56 PDT 2015 --  #BringBradenLiknessToTwitter2k15
Mon Jul 13 11:06:09 PDT 2015 --  E Cig, Zayn Malik chirped Naughty Boy publicly. We could not ask for better podcast material.
Mon Jul 13 10:26:18 PDT 2015 --  I'm fairly confident I rolled the 70s fashion trend on here a while back. Well I'm changing my mind (bc I'm allowed to do that).
Mon Jul 13 10:05:25 PDT 2015 --  Autocorrect never has my back
Mon Jul 13 00:17:48 PDT 2015 --  Art art art art art
Sun Jul 12 22:32:29 PDT 2015 --  Hello, sir or ma'am. Do you have a moment to talk about how awful corn on the cob is?
Sun Jul 12 20:12:02 PDT 2015 --  Being proficient in karatè has saved my bacon in countless street fights
Sun Jul 12 18:44:07 PDT 2015 --  Let me just slip into something more comfortable *comes out wearing a suit made of eagles greatest hits CDs*
Sun Jul 12 18:24:37 PDT 2015 --  Ziggy
Sun Jul 12 15:26:18 PDT 2015 --  *shops to feel better*
Sun Jul 12 15:09:28 PDT 2015 --  Everyone knows novelty leggings scream judgment free zone
Sun Jul 12 15:05:21 PDT 2015 --  If you didn't want me to feel like I could be honest with you, you shouldn't have worn zippered leggings. Js.
Sun Jul 12 14:53:12 PDT 2015 --  The most important element in the Twitter update is drafts stay in chronological order. I need that.
Sun Jul 12 13:50:58 PDT 2015 --  Has anyone called him Donald Chump? Seems like a pretty decent burn
Sun Jul 12 13:17:29 PDT 2015 --  I guess I'll never be rich/cool/successful because I'm not too sure what hush puppies are. Or if I even spelled it correctly.
Sun Jul 12 10:15:39 PDT 2015 --  someday i'm gonna have weekends off
Sun Jul 12 09:12:35 PDT 2015 --  Austin Butler's long hair speaks to me on a spiritual level
Sun Jul 12 00:49:49 PDT 2015 --  This literally happened one year ago. Yo.
Sat Jul 11 18:43:37 PDT 2015 --  Are you really mad Expedia messed up your reservation or are you actually just mad that your Prada wallet is fake?
Sat Jul 11 12:38:41 PDT 2015 --  Someone on FB (cringe) posted a link to an ugly article comparing Sadie Robertson to Kylie Jenner. Friendly reminder that shaming is uncool.
Fri Jul 10 15:19:20 PDT 2015 --  . @Harry_Styles, if you want to see what SeaWorld is really about, we’re happy to show you and answer your questions. http://seaworldcares.com/2015/07/dear-harry/ …
Sat Jul 11 10:03:05 PDT 2015 --  Quick reminder to everyone- Katie Damron is the true queen
Sat Jul 11 09:14:43 PDT 2015 --  Prepared to make a 54 slide PowerPoint about how Sally Draper is the most important character on Mad Men
Fri Jul 10 20:42:10 PDT 2015 --  @damronkatie big love being sent to you right now
Fri Jul 10 20:40:02 PDT 2015 --  I was going through some old stuff and I found notes @mclachlansierra and @EliseoLii wrote me senior year and omg tearsssss
Fri Jul 10 18:48:25 PDT 2015 --  Southwest night pic.twitter.com/julN8gSufb
Fri Jul 10 16:59:23 PDT 2015 --  Making salsa tonight. Stay tuned.
Wed Jul 08 17:33:02 PDT 2015 --  Ariana Grande would be the first kid on the factory tour taken away by the Oompa Loompas.
Fri Jul 10 15:02:52 PDT 2015 --  Made a trip to Barnes & Noble and added 36 books to my reading list because nerd life is my life
Fri Jul 10 13:14:43 PDT 2015 --  I relapsed. My hair has a center part again.
Fri Jul 10 10:51:15 PDT 2015 --  Quick update: I dropped my phone on my face and now have a semi-serious bruise across the bridge of my nose. Please don't send flowers.
Thu Jul 09 19:47:08 PDT 2015 --  Miss these days so much. Can't believe that was only a year and a half ago, everything has change since then :/ pic.twitter.com/RRQm8NUrmm
Fri Jul 10 00:14:38 PDT 2015 --  Talk to me about tortoise shell
Thu Jul 09 22:06:37 PDT 2015 --  When it's clear as day that you party pic.twitter.com/uQ8ppfhE5d
Thu Jul 09 18:09:22 PDT 2015 --  Every time I eat salmon I always hear the distant gagging of a Damron
Thu Jul 09 18:50:30 PDT 2015 --  WARNING: I'm about to text you my work schedule, E Cig
Thu Jul 09 17:00:46 PDT 2015 --  Okay but the new Topshop faux leather jacket is speaking to meeeee
Thu Jul 09 16:56:36 PDT 2015 --  I'm really starting to feel my hair finally
Thu Jul 09 16:29:52 PDT 2015 --  Mid-century modern is my least favorite furniture design
Thu Jul 09 14:20:18 PDT 2015 --  And I think I'm moving to a Nixon
Thu Jul 09 14:20:04 PDT 2015 --  Ready for a new watch
Thu Jul 09 12:54:22 PDT 2015 --  Obsessed with Furla's candy collection
Thu Jul 09 12:18:32 PDT 2015 --  "Sure, Katie. Those boots look fine...if you're incarcerated at the Shawshank prison."
Thu Jul 09 00:58:13 PDT 2015 --  Praying Drew didn't see the Nordstrom email.....
Thu Jul 09 00:20:21 PDT 2015 --  @damronkatie I never forgot #TimeForAReunion
Thu Jul 09 00:19:08 PDT 2015 --  I forget how great The Pussycat Dolls are
Wed Jul 08 20:56:49 PDT 2015 --  A guy turned Everybody Loves Raymond on in the lobby and said "Oh my gosh I love this show" to himself. How do I ask a stranger to marry me?
Wed Jul 08 16:00:40 PDT 2015 --  Never Forget pic.twitter.com/nRRyNMQA0q
Wed Jul 08 12:21:56 PDT 2015 --  In a perfect world, I would be in Oregon with my cousin and grandparents right now. Instead, they're there and I'm here and that's....lame.
Wed Jul 08 10:04:04 PDT 2015 --  If I could trade places with anyone in the world, it would probably be one of Taylor Swift's cats.
Wed Jul 08 09:51:47 PDT 2015 --  Name a time, I'm there https://twitter.com/callmeecig/status/618804362278625280 …
Wed Jul 08 00:30:54 PDT 2015 --  Primarily concerned by the level of annoying this fly is
Tue Jul 07 17:17:39 PDT 2015 --  As in "zero players on this team with more heart" https://twitter.com/TheBUHockeyBlog/status/618572282680725504 …
Tue Jul 07 22:06:04 PDT 2015 --  Tanner brought me food to work tonight. Which is extra incredible because he worked a super long shift with me. Good coworkers exist.
Tue Jul 07 21:29:08 PDT 2015 --  "You keep giving me compliments, but lady I just want a raise. Besides, I know you got one, Katie. I read the faxes marked 'private.'"
Tue Jul 07 15:43:19 PDT 2015 --  "Katie, if I wasn't here at work with you I would be at home playing Sims and I have a girlfriend on there too SO YOU SHOULD BE THANKFUL."
Tue Jul 07 00:17:16 PDT 2015 --  My mom is seriously watching this Televangelist Miracle Holy Water infomercial because the preacher has a cute Yorkie
Tue Jul 07 00:15:51 PDT 2015 --  A little late, but thank you for following along with #SierrasDay WE LOVE YOU, S
Mon Jul 06 20:46:01 PDT 2015 --  So I guess it's #SierrasDay and even tho I don't know her, she is like hella attractive so I'm participating
Mon Jul 06 20:39:45 PDT 2015 --  Okay but how prime are Sierra's eyebrows? #SierrasDay
Mon Jul 06 19:16:08 PDT 2015 --  I'm a Taurus and Sierra is a Cancer and that's probably part of the reason we're such great friends #SierrasDay
Mon Jul 06 18:46:02 PDT 2015 --  Sierra is important to me because she sends me the best vines #SierrasDay
Mon Jul 06 18:37:59 PDT 2015 --  "So this Sierra you keep tweeting about...she cute? " Me: hot. #SierrasDay
Mon Jul 06 18:04:57 PDT 2015 --  "Kourtney Kardashian and Scott Disick have reportedly split after nine years together" pic.twitter.com/jKBJ8UDxHw
Mon Jul 06 17:56:54 PDT 2015 --  Today is the birthday of George W Bush, Tia & Tamera Mowry, and 50 Cent. But we are only commemorating Sierra's birthday bc it's #SierrasDay
Mon Jul 06 17:38:30 PDT 2015 --  If you havent received tweets or messages from Sierra with ALL CAPS ND GRAMR LIK THS then Im sorry but you are not Sierras fave #SierrasDay
Mon Jul 06 17:36:35 PDT 2015 --  If you haven't received a raging fangirl text from Sierra, I don't even know how to begin to tell you what you're missing out on #SierrasDay
Mon Jul 06 17:21:51 PDT 2015 --  (drake voice) Sea anemones, lotta sea anemones pic.twitter.com/BvsstCepBg
Mon Jul 06 17:17:01 PDT 2015 --  @mclachlansierra #SierrasDay pic.twitter.com/x2tXRPgWGH
Mon Jul 06 16:33:24 PDT 2015 --  "Sierra would have been a freshman the year I was targeting freshman!" #SierrasDay
Mon Jul 06 16:08:26 PDT 2015 --  I'm annoyed I have to work because it really makes it hard to dedicate my day to tweeting about how much I love Sierra on #SierrasDay
Mon Jul 06 15:54:11 PDT 2015 --  Okay but why isn't Ethan participating in #SierrasDay
Mon Jul 06 11:25:01 PDT 2015 --  Happy birthday to one of my favorite people, @mclachlansierra Follow along as I tweet about her endlessly with #SierrasDay
Sun Jul 05 23:31:04 PDT 2015 --  Can my call name be Charlie? Because we all know who the real top gun was.
Sun Jul 05 23:11:33 PDT 2015 --  Okay but Bobby is never wearing a good outfit on #RichKids
Sun Jul 05 22:33:48 PDT 2015 --  Fill and feel are two different words and should be pronounced as such
Sun Jul 05 21:24:09 PDT 2015 --  @damronkatie *Snoop Lion going back to Snoop Dogg
Sun Jul 05 21:22:54 PDT 2015 --  What's the greatest change made in your lifetime? *skips influential legal, social, and political changes* The lime Skittle becoming apple
Sun Jul 05 21:05:50 PDT 2015 --  (Apple should have spent less time developing Apple music and more time revamping iBooks)
Sun Jul 05 17:10:14 PDT 2015 --  Did you all see my Carli Lloyd RT? Yes? Good.
Wed May 12 18:23:24 PDT 2010 --  Go flyers..
Sun Jul 05 16:07:28 PDT 2015 --  Who is the goalie for Japan? Luongo?
Sat Jul 04 21:13:08 PDT 2015 --  Also, nothing makes middle aged men more combative than a questionable wifi connection apparently.
Sat Jul 04 20:59:55 PDT 2015 --  There is a total dad (like white tube socks and New Balance tennis shoes) wearing a Coachella 2014 t-shirt. Undercover cool dad alert.
