Fri Aug 28 12:02:13 PDT 2015 --  7 tips for building muscle and burning fat. http://ow.ly/RtArT  pic.twitter.com/GFd77marug
Wed Jul 29 15:58:08 PDT 2015 --  مرة ربحت الجائزة الكبرى باليانصيب ! بس ما نزلت جبتا بتعرفو ليش ؟؟ لانه ما معي اجار تاكسي وهيك
Wed Jul 29 10:31:10 PDT 2015 --  عم فكر اهرب انا وحبيبتي ونحطها بضهر داعش انن خطفونا ! #ايديا_وهيك
Wed Jul 29 08:48:30 PDT 2015 --  ♡الحُب ليس له عُمر أبدًا هو بإختصار : وفاء رجل، وإكتفاءُ أنثى !"
Sun Jul 26 11:53:05 PDT 2015 --  ❃ ˺ ㅤㅤ انت ، احد الأشياء التي تسمّى : لذة الحياه !
Tue Jul 28 00:45:50 PDT 2015 --  (( "" 24 / 4 "" )) ♡♡ b7bbbbbbbbkkkk ♡♡
Mon Jul 27 01:29:59 PDT 2015 --  #رجولة ♡ pic.twitter.com/wWlxZvNQNd
Sat Jul 25 16:52:17 PDT 2015 --  pic.twitter.com/Imb9rsA4RY
Sat Jul 25 04:23:21 PDT 2015 --  المعنى الحقيقي لكلمة #سايلنت ! #الكل_سايلنت #وبلا_فلسفة pic.twitter.com/3uv8U5wymv
Sat Jul 25 04:07:17 PDT 2015 --  ما معنى تفاقم الزبالة ؟؟ هي حالة في بلد حالي شعبو محلول وسياسييه محاليل وحطن فقط على التحليل الذي لا يحل ولا اي حالة من احوال التحليلات
Fri Jul 24 23:42:49 PDT 2015 --  طقس اليوم : نفايات ارضية على الساحل بتتسبب بروائح عالية بيوصل اقصاها الى ٩٩،٩ من الامراض والوباء وارتفاع نسبة العئس ! @dareenshaheen
Sat Jul 25 04:26:48 PDT 2015 --  يلي ناطر المظاهرات تنفع متل يلي مفكر سطيف بيقشع
Sat Jul 25 04:04:05 PDT 2015 --  شكلي بس يكمشوني عم اسرق الشارج ! #هبيلة_يا_اه pic.twitter.com/Af9nJDb7c5
Wed Jul 22 13:19:38 PDT 2015 --  SHO HAME L3LAM TENSANE W ENTA W7DAK TFAKER FEYE..♡
Wed Jul 15 15:54:35 PDT 2015 --  شكيت همي لرمضان !! راح شرب ويسكي ولهلئ بعدو سكران ! حدا يفيقو ويذكرو انو لازم يروح لانو #فينيش #انتهى #انسى
Thu Jul 09 06:57:37 PDT 2015 --  يا عايش بعيوني....يا اغلى من عيوني...♡
Wed Jul 01 18:13:37 PDT 2015 --  pic.twitter.com/n9KIkSKrfz
Tue Jun 30 12:33:14 PDT 2015 --  بدأت صداقة...ثم حب ... ثم عشق...ثم ادمان...♡♡
Fri Jun 26 16:22:00 PDT 2015 --  احبك جدا...و ما وراء جدا عالم لا ينتهي ♡♡♡
Fri Jun 26 08:33:25 PDT 2015 --  كيف لا احبه و هو سبب سعادتي....
Thu Jun 04 14:27:14 PDT 2015 --  تعلم أن لا تكتم مشاعرك : خصوصا اتجاه من تحب ! فالبوح بها أجمل هديه تقدمها له
Mon Jun 01 07:56:09 PDT 2015 --  نحنُ نثرثر كثيراً ، ومعَ ذلكَ نعّجز عنْ وصَف مشاعرُنا
Sat May 30 03:05:20 PDT 2015 --  " @klll123385: أن لانبوح لِـ أحد ، هذا لا يعني إنعدامُ الثّقة ف بعضُ الحديث خُلق في القلب و يموتُ فيه ..""
Fri May 29 22:45:00 PDT 2015 --  pic.twitter.com/ysRba4f9po
Fri May 29 11:01:57 PDT 2015 --  ﺃﺷﺘَﻬﻲْ ﺭُﺅﻳَﺘُﻚِ ﺏِ ﻗُﺮﺑﻲ ، ﻝِ ﺃﺭﻭﻱْ لكِ ﻣﺂ ﻳَﻔﻌﻠﻪْ ﺍﻟﺸَﻮﻕْ ﺏِ ﻗَﻠﺒﻲْ ﻛُﻞْ ﻣﺴﺎﺀ !*
Wed May 27 16:38:31 PDT 2015 --  إذا أحببت فتاة ، فـ إذهب إليها من الباب الذي تُحب أن يأتي به الآخرون لـ أخواتُك؛
Wed May 27 07:23:11 PDT 2015 --  pic.twitter.com/L17rYfDMvF
Mon May 25 06:38:44 PDT 2015 --  (^_^) pic.twitter.com/4Y7qRZiQwY
Sat Apr 11 11:34:20 PDT 2015 --  " @SShosho111: لا اجيد الحُب، ولكنني أحببتُك "
Thu Apr 16 11:13:37 PDT 2015 --  @bbmisland hahahahahah<3
Thu Apr 16 12:08:17 PDT 2015 --  @Sinnbaad @ff19851 مجنون و اهبل
Mon May 18 08:15:21 PDT 2015 --  هو لا يعلم كم أنا احبه...♡
Sun May 24 01:29:17 PDT 2015 --  pic.twitter.com/on65t3tBJP
Sat May 23 01:46:49 PDT 2015 --  pic.twitter.com/m66ajWA0X7
Fri May 22 23:01:19 PDT 2015 --  pic.twitter.com/WqKDTVGaGY
Tue May 19 16:22:58 PDT 2015 --  The #cancer screen craze->sound recs @AnnalsofIM sum by @LATkarenkaplan http://annals.org/article.aspx?articleid=2294149 … http://goo.gl/CcBCHz  pic.twitter.com/mAKj7yFaW6
