Sat Apr 25 13:19:01 PDT 2015 --  بين يوم و ليلة فية ناس بتيجيّ... و ناس تغيبيب و الي انهردا حبيبي بكرة الاقية غريب
Tue Mar 31 10:24:12 PDT 2015 --  اللَّهُمَّ إِنَّكَ عَفُوٌّ كَرِيمٌ تُحِبُّ الْعَفْوَ فَاعْفُ عَنَا http://du3a.org 
Tue Mar 31 08:21:53 PDT 2015 --  اللهم إني أعوذ بك من زوال نعمتك ، وتحول عافيتك ، وفجاءة نقمتك ، وجميع سخطك http://du3a.org 
Tue Mar 31 07:23:47 PDT 2015 --  اللَّهُمَّ اغفر لي ما قدمت وما أخرت وما أسررت وما أعلنت http://du3a.org 
Tue Mar 31 06:23:12 PDT 2015 --  اللَّهُمَّ احفظني بالإسلام قاعدا واحفظني بالإسلام قائما واحفظني بالإسلام راقدا ولا تشمت بي عدواً أو حاسدا http://du3a.org 
Tue Mar 31 05:21:29 PDT 2015 --  اللهم إني أعوذ بك من الهم والحزن والعجز والكسل والجبن والبخل وأعوذ بك من غلبة الدين وقهر الرجال http://du3a.org 
Tue Mar 31 03:16:00 PDT 2015 --  اللَّهُمَّ أعني ولا تعن علي وانصرني ولا تنصر علي وامكر لي ولا تمكر علي واهدني http://du3a.org 
Tue Mar 31 01:15:16 PDT 2015 --  اللَّهُمَّ احفظني من بين يدي ومن خلفي وعن يميني وعن شمالي ومن فوقي وأعوذ بعظمتك أن أغتال من تحتي http://du3a.org 
Tue Mar 31 00:15:20 PDT 2015 --  اللَّهُمَّ اغفر لي ما قدمت وما أخرت وما أسررت وما أعلنت أنت المقدم وأنت المؤخر وأنت على كل شيء قدير http://du3a.org 
Mon Mar 30 23:15:17 PDT 2015 --  اللهم لا تجعل الدنيا اكبر همنا ولا مبلغ علمنا ولا إلى النار مصيرنا وأجعل الجنة هي دارنا وقرارنا http://du3a.org 
Mon Mar 30 22:15:43 PDT 2015 --  اللهم إني أعوذ بك من النار وما قرب إليها من قول وعمل http://du3a.org 
Mon Mar 30 21:19:59 PDT 2015 --  اللَّهُمَّ طهر قلبي من النفاق ، وعملي من الرياء ، ولساني من الكذب ، وعيني من الخيانة http://du3a.org 
Mon Mar 30 16:34:12 PDT 2015 --  اللَّهُمَّ استر عورتي وآمن روعتي واحفظني من بين يدي ومن خلفي وعن يميني وعن شمالي http://du3a.org 
Mon Mar 30 15:37:52 PDT 2015 --  اللَّهُمَّ عافني في قُدرتك ، وأدخلني في رحمتك ، واقض أجلي في طاعتك ، واختم لي بخير عمل ، واجعل ثوابه الجنة http://du3a.org 
Mon Mar 30 14:30:13 PDT 2015 --  اللَّهُمَّ اقْسِمْ لَنَا مِنْ خَشْيَتِكَ مَا يَحُولُ بَيْنَنَا وَبَيْنَ مَعَاصِيك http://du3a.org 
Mon Mar 30 13:20:35 PDT 2015 --  اللهم إني أعوذ بك من عذاب جهنم وأعوذ بك من عذاب القبر وأعوذ بك من فتنة الدجال وأعوذ بك من فتنة المحيا والممات http://du3a.org 
Mon Mar 30 12:18:21 PDT 2015 --  اللهم اجعل القرآن العظيم ربيع قلوبنا ونور صدورنا وجلاء همومنا http://du3a.org 
Mon Mar 30 10:18:41 PDT 2015 --  اللَّهُمَّ اغفر لي خطأي وعمدي وهزلي وجدي ولا تحرمني بركة ما أعطيتني ولا تفتني فيما حرمتني http://du3a.org 
Mon Mar 30 07:17:32 PDT 2015 --  اللَّهُمَّ لا تكلني إلى نفسي طرفة عين ، ولا تنزع مني صالح ما أعطيتني http://du3a.org 
Mon Mar 30 06:16:34 PDT 2015 --  اللهم إني أعوذ بك من زوال نعمتك ، وتحول عافيتك ، وفجاءة نقمتك ، وجميع سخطك http://du3a.org 
Mon Mar 30 05:16:19 PDT 2015 --  اللَّهُمَّ بارك لنا في أسماعنا وأبصارنا وقلوبنا وأرواحنا وذرياتنا وتب علينا إنك أنت التواب الرحيم http://du3a.org 
Mon Mar 30 03:15:11 PDT 2015 --  اللَّهُمَّ احفظني من بين يدي ومن خلفي وعن يميني وعن شمالي ومن فوقي وأعوذ بعظمتك أن أغتال من تحتي http://du3a.org 
Mon Mar 30 02:14:12 PDT 2015 --  اللَّهُمَّ عافني في بدني ، اللَّهُمَّ عافني في سمعي ، اللَّهُمَّ عافني في بصري http://du3a.org 
Mon Mar 30 01:14:38 PDT 2015 --  اللَّهُمَّ إنا نسألك عزائم مغفرتك ومنجيات أمرك والسلامة من كل إثم والغنيمة من كل بر والفوز بالجنة والنجاة من النار http://du3a.org 
Sun Mar 29 22:15:22 PDT 2015 --  اللَّهُمَّ اقْسِمْ لَنَا مِنْ خَشْيَتِكَ مَا يَحُولُ بَيْنَنَا وَبَيْنَ مَعَاصِيك http://du3a.org 
Sun Mar 29 19:49:08 PDT 2015 --  اللَّهُمَّ إني ظلمت نفسي ظلمًا كثيرا ولا يغفر الذنوب إلا أنت فاغفر لي مغفرة من عندك وارحمني إنك أنت الغفور الرحيم http://du3a.org 
Sun Mar 29 18:57:04 PDT 2015 --  اللَّهُمَّ اغفر لي ما قدمت وما أخرت وما أسررت وما أعلنت أنت المقدم وأنت المؤخر وأنت على كل شيء قدير http://du3a.org 
Sun Mar 29 16:08:20 PDT 2015 --  اللَّهُمَّ إني أعوذ بك من قلب لا يخشع ودعاء لا يسمع ومن نفس لا تشبع ومن علم لا ينفع أعوذ بك من هؤلاء الأربع http://du3a.org 
Sun Mar 29 15:18:12 PDT 2015 --  اللَّهُمَّ اغفر لي ما قدمت وما أخرت وما أسررت وما أعلنت http://du3a.org 
Sun Mar 29 14:17:57 PDT 2015 --  اللهم لا تجعل الدنيا اكبر همنا ولا مبلغ علمنا ولا إلى النار مصيرنا وأجعل الجنة هي دارنا وقرارنا http://du3a.org 
Sun Mar 29 12:58:40 PDT 2015 --  اللَّهُمَّ عافني في قُدرتك ، وأدخلني في رحمتك ، واقض أجلي في طاعتك ، واختم لي بخير عمل ، واجعل ثوابه الجنة http://du3a.org 
Sun Mar 29 11:21:00 PDT 2015 --  اللَّهُمَّ اغفر لي جميع ما مضى من ذنبي واعصمني فيما بقي من عمري وارزقني عملاً زاكيا ترضى به عني http://du3a.org 
Sun Mar 29 10:16:27 PDT 2015 --  اللهم إني أسألك من الخير ما سألك عبدك ورسولك محمد http://du3a.org 
Sun Mar 29 09:17:50 PDT 2015 --  اللهم إني أسألك الجنة وما يقرب إليها من قول وعمل http://du3a.org 
Sun Mar 29 08:17:21 PDT 2015 --  اللَّهُمَّ احفظني من بين يدي ومن خلفي وعن يميني وعن شمالي ومن فوقي وأعوذ بعظمتك أن أغتال من تحتي http://du3a.org 
Sun Mar 29 06:17:07 PDT 2015 --  اللَّهُمَّ إني أعوذ بك من يوم السوء ومن ليلة السوء ومن ساعة السوء ومن صاحب السوء ومن جار السوء في دار المقامة http://du3a.org 
Sun Mar 29 05:15:28 PDT 2015 --  اللَّهُمَّ أَعِنِّي عَلَى ذِكْرِكَ وَشُكْرِكَ وَحُسْنِ عِبَادَتِكَ http://du3a.org 
Sun Mar 29 04:15:38 PDT 2015 --  اللَّهُمَّ إني ظلمت نفسي ظلمًا كثيرا ولا يغفر الذنوب إلا أنت فاغفر لي مغفرة من عندك وارحمني إنك أنت الغفور الرحيم http://du3a.org 
Sun Mar 29 03:15:34 PDT 2015 --  اللَّهُمَّ استر عورتي وآمن روعتي واحفظني من بين يدي ومن خلفي وعن يميني وعن شمالي http://du3a.org 
Sun Mar 29 02:15:43 PDT 2015 --  اللَّهُمَّ اغفر لي ما قدمت وما أخرت وما أسررت وما أعلنت أنت المقدم وأنت المؤخر وأنت على كل شيء قدير http://du3a.org 
Sun Mar 29 00:17:31 PDT 2015 --  اللَّهُمَّ افتح مسامع قلبي لذكرك وارزقني طاعتك وطاعة رسولك وعملا بكتابك http://du3a.org 
Sat Mar 28 21:18:30 PDT 2015 --  اللهم إني أسألك من الخير ما سألك عبدك ورسولك محمد http://du3a.org 
Sat Mar 28 20:27:02 PDT 2015 --  اللهم إني أعوذ بك من زوال نعمتك ، وتحول عافيتك ، وفجاءة نقمتك ، وجميع سخطك http://du3a.org 
Sat Mar 28 19:35:39 PDT 2015 --  اللَّهُمَّ اغفر لي خطأي وعمدي وهزلي وجدي ولا تحرمني بركة ما أعطيتني ولا تفتني فيما حرمتني http://du3a.org 
Sat Mar 28 18:41:22 PDT 2015 --  اللَّهُمَّ إِنَّكَ عَفُوٌّ كَرِيمٌ تُحِبُّ الْعَفْوَ فَاعْفُ عَنَا http://du3a.org 
Sat Mar 28 17:42:15 PDT 2015 --  اللهم إني أعوذ بك من النار وما قرب إليها من قول وعمل http://du3a.org 
Sat Mar 28 16:47:02 PDT 2015 --  اللهم إني أعوذ بك من علم لا ينفع ومن قلب لا يخشع ومن نفس لا تشبع ومن دعوة لا يستجاب لها http://du3a.org 
Sat Mar 28 15:49:03 PDT 2015 --  اللَّهُمَّ ارزقني من طاعتك ما تحول بيني وبين معصيتك وارزقني من خشيتك ما تبلغني به رحمتك http://du3a.org 
Sat Mar 28 14:45:48 PDT 2015 --  اللهم إني أعوذ بك من عذاب جهنم وأعوذ بك من عذاب القبر وأعوذ بك من فتنة الدجال وأعوذ بك من فتنة المحيا والممات http://du3a.org 
Sat Mar 28 13:40:41 PDT 2015 --  اللَّهُمَّ إنا نسألك عزائم مغفرتك ومنجيات أمرك والسلامة من كل إثم والغنيمة من كل بر والفوز بالجنة والنجاة من النار http://du3a.org 
Sat Mar 28 12:29:17 PDT 2015 --  اللَّهُمَّ بارك لنا في أسماعنا وأبصارنا وقلوبنا وأرواحنا وذرياتنا وتب علينا إنك أنت التواب الرحيم http://du3a.org 
Sat Mar 28 10:24:07 PDT 2015 --  اللَّهُمَّ إني أعوذ بك من يوم السوء ومن ليلة السوء ومن ساعة السوء ومن صاحب السوء ومن جار السوء في دار المقامة http://du3a.org 
Sat Mar 28 09:24:11 PDT 2015 --  اللهم إني أسألك من الخير ما سألك عبدك ورسولك محمد http://du3a.org 
Sat Mar 28 08:22:37 PDT 2015 --  اللَّهُمَّ اغفر لي ما قدمت وما أخرت وما أسررت وما أعلنت أنت المقدم وأنت المؤخر وأنت على كل شيء قدير http://du3a.org 
Sat Mar 28 07:21:42 PDT 2015 --  اللهم اقذف في قلبي رجاءك واقطع رجائي عمن سواك حتى لا أرجو أحداً غيرك http://du3a.org 
Sat Mar 28 05:19:32 PDT 2015 --  اللَّهُمَّ إني أسألك بنور وجهك الذي أشرقت له السموات والأرض أن تجعلني في حرزك وحفظك وجوارك وتحت كنفك http://du3a.org 
Sat Mar 28 04:17:13 PDT 2015 --  اللهم إني أعوذ بك من الهم والحزن والعجز والكسل والجبن والبخل وأعوذ بك من غلبة الدين وقهر الرجال http://du3a.org 
Sat Mar 28 02:06:44 PDT 2015 --  اللَّهُمَّ إنا نعوذ بك من أن نشرك بك شيئا نعلمه ونستغفرك لما لا نعلم http://du3a.org 
Sat Mar 28 01:03:25 PDT 2015 --  اللهم إني أسألك الجنة وما يقرب إليها من قول وعمل http://du3a.org 
Sat Mar 28 00:09:06 PDT 2015 --  اللَّهُمَّ طهر قلبي من النفاق ، وعملي من الرياء ، ولساني من الكذب ، وعيني من الخيانة http://du3a.org 
Fri Mar 27 23:15:10 PDT 2015 --  اللَّهُمَّ إنا نسألك عزائم مغفرتك ومنجيات أمرك والسلامة من كل إثم والغنيمة من كل بر والفوز بالجنة والنجاة من النار http://du3a.org 
Fri Mar 27 22:15:19 PDT 2015 --  اللَّهُمَّ بارك لنا في أسماعنا وأبصارنا وقلوبنا وأرواحنا وذرياتنا وتب علينا إنك أنت التواب الرحيم http://du3a.org 
Fri Mar 27 21:17:02 PDT 2015 --  اللهم إني أعوذ بك من علم لا ينفع ومن قلب لا يخشع ومن نفس لا تشبع ومن دعوة لا يستجاب لها http://du3a.org 
Fri Mar 27 17:36:06 PDT 2015 --  اللَّهُمَّ اغفر لي ما قدمت وما أخرت وما أسررت وما أعلنت أنت المقدم وأنت المؤخر وأنت على كل شيء قدير http://du3a.org 
Fri Mar 27 16:29:15 PDT 2015 --  اللهم إني أسألك من الخير ما سألك عبدك ورسولك محمد http://du3a.org 
Fri Mar 27 13:27:32 PDT 2015 --  اللهم لا تجعل الدنيا اكبر همنا ولا مبلغ علمنا ولا إلى النار مصيرنا وأجعل الجنة هي دارنا وقرارنا http://du3a.org 
Fri Mar 27 12:24:08 PDT 2015 --  اللَّهُمَّ ارزقني من طاعتك ما تحول بيني وبين معصيتك وارزقني من خشيتك ما تبلغني به رحمتك http://du3a.org 
Fri Mar 27 10:19:15 PDT 2015 --  اللَّهُمَّ اغفر لي ما قدمت وما أخرت وما أسررت وما أعلنت http://du3a.org 
Fri Mar 27 09:19:08 PDT 2015 --  اللَّهُمَّ افتح مسامع قلبي لذكرك وارزقني طاعتك وطاعة رسولك وعملا بكتابك http://du3a.org 
Fri Mar 27 08:18:04 PDT 2015 --  اللَّهُمَّ اغفر لي خطأي وعمدي وهزلي وجدي ولا تحرمني بركة ما أعطيتني ولا تفتني فيما حرمتني http://du3a.org 
Fri Mar 27 07:20:10 PDT 2015 --  اللَّهُمَّ إنا نعوذ بك من أن نشرك بك شيئا نعلمه ونستغفرك لما لا نعلم http://du3a.org 
Fri Mar 27 06:20:21 PDT 2015 --  اللَّهُمَّ لا تكلني إلى نفسي طرفة عين ، ولا تنزع مني صالح ما أعطيتني http://du3a.org 
Fri Mar 27 05:18:27 PDT 2015 --  اللَّهُمَّ استر عورتي وآمن روعتي واحفظني من بين يدي ومن خلفي وعن يميني وعن شمالي http://du3a.org 
Fri Mar 27 03:16:49 PDT 2015 --  اللَّهُمَّ طهر قلبي من النفاق ، وعملي من الرياء ، ولساني من الكذب ، وعيني من الخيانة http://du3a.org 
Fri Mar 27 02:17:43 PDT 2015 --  اللَّهُمَّ إنا نسألك عزائم مغفرتك ومنجيات أمرك والسلامة من كل إثم والغنيمة من كل بر والفوز بالجنة والنجاة من النار http://du3a.org 
Fri Mar 27 01:16:40 PDT 2015 --  اللَّهُمَّ اغفر لي ما قدمت وما أخرت وما أسررت وما أعلنت أنت المقدم وأنت المؤخر وأنت على كل شيء قدير http://du3a.org 
Fri Mar 27 00:16:16 PDT 2015 --  اللهم إني أسألك من الخير ما سألك عبدك ورسولك محمد http://du3a.org 
Thu Mar 26 23:17:04 PDT 2015 --  اللهم اجعل القرآن العظيم ربيع قلوبنا ونور صدورنا وجلاء همومنا http://du3a.org 
Thu Mar 26 22:16:53 PDT 2015 --  اللَّهُمَّ اقْسِمْ لَنَا مِنْ خَشْيَتِكَ مَا يَحُولُ بَيْنَنَا وَبَيْنَ مَعَاصِيك http://du3a.org 
Thu Mar 26 21:18:11 PDT 2015 --  اللَّهُمَّ اغفر لي جميع ما مضى من ذنبي واعصمني فيما بقي من عمري وارزقني عملاً زاكيا ترضى به عني http://du3a.org 
Thu Mar 26 20:19:59 PDT 2015 --  اللهم إني أعوذ بك من النار وما قرب إليها من قول وعمل http://du3a.org 
Thu Mar 26 19:22:48 PDT 2015 --  اللَّهُمَّ احفظني من بين يدي ومن خلفي وعن يميني وعن شمالي ومن فوقي وأعوذ بعظمتك أن أغتال من تحتي http://du3a.org 
Thu Mar 26 18:23:44 PDT 2015 --  اللهم لا تجعل الدنيا اكبر همنا ولا مبلغ علمنا ولا إلى النار مصيرنا وأجعل الجنة هي دارنا وقرارنا http://du3a.org 
Thu Mar 26 15:26:57 PDT 2015 --  اللَّهُمَّ إني أعوذ بك من قلب لا يخشع ودعاء لا يسمع ومن نفس لا تشبع ومن علم لا ينفع أعوذ بك من هؤلاء الأربع http://du3a.org 
Thu Mar 26 14:25:40 PDT 2015 --  اللهم اقذف في قلبي رجاءك واقطع رجائي عمن سواك حتى لا أرجو أحداً غيرك http://du3a.org 
Thu Mar 26 12:24:37 PDT 2015 --  اللَّهُمَّ عافني في قُدرتك ، وأدخلني في رحمتك ، واقض أجلي في طاعتك ، واختم لي بخير عمل ، واجعل ثوابه الجنة http://du3a.org 
Thu Mar 26 11:24:02 PDT 2015 --  اللَّهُمَّ احفظني بالإسلام قاعدا واحفظني بالإسلام قائما واحفظني بالإسلام راقدا ولا تشمت بي عدواً أو حاسدا http://du3a.org 
Thu Mar 26 10:21:40 PDT 2015 --  اللَّهُمَّ إني أسألك بنور وجهك الذي أشرقت له السموات والأرض أن تجعلني في حرزك وحفظك وجوارك وتحت كنفك http://du3a.org 
Thu Mar 26 09:24:25 PDT 2015 --  اللَّهُمَّ اغفر لي ما قدمت وما أخرت وما أسررت وما أعلنت http://du3a.org 
Thu Mar 26 08:27:13 PDT 2015 --  اللَّهُمَّ إنا نسألك عزائم مغفرتك ومنجيات أمرك والسلامة من كل إثم والغنيمة من كل بر والفوز بالجنة والنجاة من النار http://du3a.org 
Thu Mar 26 07:25:50 PDT 2015 --  اللَّهُمَّ إني أعوذ بك من يوم السوء ومن ليلة السوء ومن ساعة السوء ومن صاحب السوء ومن جار السوء في دار المقامة http://du3a.org 
Thu Mar 26 06:22:15 PDT 2015 --  اللَّهُمَّ اغفر لي خطأي وعمدي وهزلي وجدي ولا تحرمني بركة ما أعطيتني ولا تفتني فيما حرمتني http://du3a.org 
Thu Mar 26 05:22:11 PDT 2015 --  اللهم يا مقلب القلوب ثبت قلبي على دينك http://du3a.org 
Thu Mar 26 04:33:41 PDT 2015 --  اللَّهُمَّ أعني ولا تعن علي وانصرني ولا تنصر علي وامكر لي ولا تمكر علي واهدني http://du3a.org 
Thu Mar 26 03:46:52 PDT 2015 --  اللهم لا تجعل الدنيا اكبر همنا ولا مبلغ علمنا ولا إلى النار مصيرنا وأجعل الجنة هي دارنا وقرارنا http://du3a.org 
Thu Mar 26 02:57:29 PDT 2015 --  اللَّهُمَّ اعطني إيمانا صادقا ويقينا ليس بعده كفر ورحمة أنال بها شرف كرامتك في الدنيا والآخرة http://du3a.org 
Thu Mar 26 01:49:34 PDT 2015 --  اللهم إني أعوذ بك من النار وما قرب إليها من قول وعمل http://du3a.org 
Thu Mar 26 00:28:37 PDT 2015 --  اللَّهُمَّ استر عورتي وآمن روعتي واحفظني من بين يدي ومن خلفي وعن يميني وعن شمالي http://du3a.org 
Wed Mar 25 23:17:21 PDT 2015 --  اللَّهُمَّ إنا نعوذ بك من أن نشرك بك شيئا نعلمه ونستغفرك لما لا نعلم http://du3a.org 
Wed Mar 25 22:18:12 PDT 2015 --  اللَّهُمَّ استر عورتي وآمن روعتي واحفظني من بين يدي ومن خلفي وعن يميني وعن شمالي http://du3a.org 
Wed Mar 25 20:20:43 PDT 2015 --  اللهم إني أعوذ بك من عذاب جهنم وأعوذ بك من عذاب القبر وأعوذ بك من فتنة الدجال وأعوذ بك من فتنة المحيا والممات http://du3a.org 
Wed Mar 25 19:19:59 PDT 2015 --  اللهم إني أعوذ بك من النار وما قرب إليها من قول وعمل http://du3a.org 
Wed Mar 25 18:21:52 PDT 2015 --  اللهم اقذف في قلبي رجاءك واقطع رجائي عمن سواك حتى لا أرجو أحداً غيرك http://du3a.org 
Wed Mar 25 17:21:57 PDT 2015 --  اللهم إني أسألك من الخير ما سألك عبدك ورسولك محمد http://du3a.org 
Wed Mar 25 16:21:58 PDT 2015 --  اللهم إني أسألك من الخير كله عاجله وآجله http://du3a.org 
Wed Mar 25 15:24:49 PDT 2015 --  اللَّهُمَّ اغفر لي جميع ما مضى من ذنبي واعصمني فيما بقي من عمري وارزقني عملاً زاكيا ترضى به عني http://du3a.org 
Wed Mar 25 14:29:24 PDT 2015 --  اللهم يا مقلب القلوب ثبت قلبي على دينك http://du3a.org 
Wed Mar 25 13:29:07 PDT 2015 --  اللَّهُمَّ أَعِنِّي عَلَى ذِكْرِكَ وَشُكْرِكَ وَحُسْنِ عِبَادَتِكَ http://du3a.org 
Wed Mar 25 12:25:21 PDT 2015 --  اللهم لا تجعل الدنيا اكبر همنا ولا مبلغ علمنا ولا إلى النار مصيرنا وأجعل الجنة هي دارنا وقرارنا http://du3a.org 
Wed Mar 25 11:24:51 PDT 2015 --  اللَّهُمَّ احفظني بالإسلام قاعدا واحفظني بالإسلام قائما واحفظني بالإسلام راقدا ولا تشمت بي عدواً أو حاسدا http://du3a.org 
Wed Mar 25 09:22:36 PDT 2015 --  اللَّهُمَّ بارك لنا في أسماعنا وأبصارنا وقلوبنا وأرواحنا وذرياتنا وتب علينا إنك أنت التواب الرحيم http://du3a.org 
Wed Mar 25 08:22:41 PDT 2015 --  اللَّهُمَّ إني ظلمت نفسي ظلمًا كثيرا ولا يغفر الذنوب إلا أنت فاغفر لي مغفرة من عندك وارحمني إنك أنت الغفور الرحيم http://du3a.org 
Wed Mar 25 06:21:49 PDT 2015 --  اللَّهُمَّ عافني في قُدرتك ، وأدخلني في رحمتك ، واقض أجلي في طاعتك ، واختم لي بخير عمل ، واجعل ثوابه الجنة http://du3a.org 
Wed Mar 25 05:20:30 PDT 2015 --  اللَّهُمَّ إنا نعوذ بك من أن نشرك بك شيئا نعلمه ونستغفرك لما لا نعلم http://du3a.org 
Wed Mar 25 04:20:08 PDT 2015 --  اللَّهُمَّ إنا نسألك عزائم مغفرتك ومنجيات أمرك والسلامة من كل إثم والغنيمة من كل بر والفوز بالجنة والنجاة من النار http://du3a.org 
Wed Mar 25 03:19:43 PDT 2015 --  اللَّهُمَّ اغفر لي ما قدمت وما أخرت وما أسررت وما أعلنت http://du3a.org 
Wed Mar 25 02:21:49 PDT 2015 --  اللَّهُمَّ طهر قلبي من النفاق ، وعملي من الرياء ، ولساني من الكذب ، وعيني من الخيانة http://du3a.org 
Wed Mar 25 00:25:19 PDT 2015 --  اللَّهُمَّ اغفر لي جميع ما مضى من ذنبي واعصمني فيما بقي من عمري وارزقني عملاً زاكيا ترضى به عني http://du3a.org 
Tue Mar 24 22:29:09 PDT 2015 --  اللَّهُمَّ اغفر لي خطأي وعمدي وهزلي وجدي ولا تحرمني بركة ما أعطيتني ولا تفتني فيما حرمتني http://du3a.org 
Tue Mar 24 21:30:50 PDT 2015 --  اللَّهُمَّ أَعِنِّي عَلَى ذِكْرِكَ وَشُكْرِكَ وَحُسْنِ عِبَادَتِكَ http://du3a.org 
Tue Mar 24 20:31:18 PDT 2015 --  اللهم إني أعوذ بك من الهم والحزن والعجز والكسل والجبن والبخل وأعوذ بك من غلبة الدين وقهر الرجال http://du3a.org 
Tue Mar 24 18:31:50 PDT 2015 --  اللهم لا تجعل الدنيا اكبر همنا ولا مبلغ علمنا ولا إلى النار مصيرنا وأجعل الجنة هي دارنا وقرارنا http://du3a.org 
Tue Mar 24 17:33:30 PDT 2015 --  اللَّهُمَّ إِنَّكَ عَفُوٌّ كَرِيمٌ تُحِبُّ الْعَفْوَ فَاعْفُ عَنَا http://du3a.org 
Tue Mar 24 16:34:59 PDT 2015 --  اللَّهُمَّ إنا نعوذ بك من أن نشرك بك شيئا نعلمه ونستغفرك لما لا نعلم http://du3a.org 
Tue Mar 24 15:36:16 PDT 2015 --  اللَّهُمَّ لا تكلني إلى نفسي طرفة عين ، ولا تنزع مني صالح ما أعطيتني http://du3a.org 
Tue Mar 24 13:35:48 PDT 2015 --  اللَّهُمَّ طهر قلبي من النفاق ، وعملي من الرياء ، ولساني من الكذب ، وعيني من الخيانة http://du3a.org 
Tue Mar 24 12:40:37 PDT 2015 --  اللَّهُمَّ اغفر لي ما قدمت وما أخرت وما أسررت وما أعلنت http://du3a.org 
Tue Mar 24 10:39:20 PDT 2015 --  اللَّهُمَّ عافني في بدني ، اللَّهُمَّ عافني في سمعي ، اللَّهُمَّ عافني في بصري http://du3a.org 
Tue Mar 24 09:28:49 PDT 2015 --  اللَّهُمَّ اغفر لي خطأي وعمدي وهزلي وجدي ولا تحرمني بركة ما أعطيتني ولا تفتني فيما حرمتني http://du3a.org 
Tue Mar 24 07:24:36 PDT 2015 --  اللَّهُمَّ اغفر لي ما قدمت وما أخرت وما أسررت وما أعلنت أنت المقدم وأنت المؤخر وأنت على كل شيء قدير http://du3a.org 
Tue Mar 24 06:23:41 PDT 2015 --  اللَّهُمَّ أَعِنِّي عَلَى ذِكْرِكَ وَشُكْرِكَ وَحُسْنِ عِبَادَتِكَ http://du3a.org 
Tue Mar 24 05:22:32 PDT 2015 --  اللَّهُمَّ إِنَّكَ عَفُوٌّ كَرِيمٌ تُحِبُّ الْعَفْوَ فَاعْفُ عَنَا http://du3a.org 
Tue Mar 24 04:20:54 PDT 2015 --  اللَّهُمَّ إنا نسألك عزائم مغفرتك ومنجيات أمرك والسلامة من كل إثم والغنيمة من كل بر والفوز بالجنة والنجاة من النار http://du3a.org 
Tue Mar 24 03:21:23 PDT 2015 --  اللَّهُمَّ إنا نعوذ بك من أن نشرك بك شيئا نعلمه ونستغفرك لما لا نعلم http://du3a.org 
Tue Mar 24 02:24:45 PDT 2015 --  اللَّهُمَّ احفظني من بين يدي ومن خلفي وعن يميني وعن شمالي ومن فوقي وأعوذ بعظمتك أن أغتال من تحتي http://du3a.org 
Tue Mar 24 00:28:07 PDT 2015 --  اللهم إني أسألك من الخير كله عاجله وآجله http://du3a.org 
Mon Mar 23 23:34:33 PDT 2015 --  اللهم لا تجعل الدنيا اكبر همنا ولا مبلغ علمنا ولا إلى النار مصيرنا وأجعل الجنة هي دارنا وقرارنا http://du3a.org 
Mon Mar 23 22:43:41 PDT 2015 --  اللَّهُمَّ اعطني إيمانا صادقا ويقينا ليس بعده كفر ورحمة أنال بها شرف كرامتك في الدنيا والآخرة http://du3a.org 
Mon Mar 23 21:47:13 PDT 2015 --  اللَّهُمَّ ارزقني من طاعتك ما تحول بيني وبين معصيتك وارزقني من خشيتك ما تبلغني به رحمتك http://du3a.org 
Mon Mar 23 20:51:57 PDT 2015 --  اللهم إني أعوذ بك من النار وما قرب إليها من قول وعمل http://du3a.org 
Mon Mar 23 19:51:56 PDT 2015 --  اللهم إني أعوذ بك من زوال نعمتك ، وتحول عافيتك ، وفجاءة نقمتك ، وجميع سخطك http://du3a.org 
Mon Mar 23 17:05:45 PDT 2015 --  اللَّهُمَّ إني أعوذ بك من يوم السوء ومن ليلة السوء ومن ساعة السوء ومن صاحب السوء ومن جار السوء في دار المقامة http://du3a.org 
Mon Mar 23 16:36:31 PDT 2015 --  غفرانك ربي حين تلهينا الدنُيا عن ذكركك .
Mon Mar 23 16:07:43 PDT 2015 --  اللَّهُمَّ إني أعوذ بك من قلب لا يخشع ودعاء لا يسمع ومن نفس لا تشبع ومن علم لا ينفع أعوذ بك من هؤلاء الأربع http://du3a.org 
Mon Mar 23 15:03:40 PDT 2015 --  اللَّهُمَّ أعني ولا تعن علي وانصرني ولا تنصر علي وامكر لي ولا تمكر علي واهدني http://du3a.org 
Mon Mar 23 14:07:19 PDT 2015 --  اللهم اقذف في قلبي رجاءك واقطع رجائي عمن سواك حتى لا أرجو أحداً غيرك http://du3a.org 
Mon Mar 23 13:10:04 PDT 2015 --  اللَّهُمَّ اغفر لي خطأي وعمدي وهزلي وجدي ولا تحرمني بركة ما أعطيتني ولا تفتني فيما حرمتني http://du3a.org 
Mon Mar 23 12:02:54 PDT 2015 --  اللَّهُمَّ استر عورتي وآمن روعتي واحفظني من بين يدي ومن خلفي وعن يميني وعن شمالي http://du3a.org 
Mon Mar 23 10:54:52 PDT 2015 --  اللَّهُمَّ بارك لنا في أسماعنا وأبصارنا وقلوبنا وأرواحنا وذرياتنا وتب علينا إنك أنت التواب الرحيم http://du3a.org 
Mon Mar 23 09:51:28 PDT 2015 --  اللَّهُمَّ إنا نسألك عزائم مغفرتك ومنجيات أمرك والسلامة من كل إثم والغنيمة من كل بر والفوز بالجنة والنجاة من النار http://du3a.org 
Mon Mar 23 08:49:50 PDT 2015 --  اللَّهُمَّ اغفر لي ما قدمت وما أخرت وما أسررت وما أعلنت http://du3a.org 
