Sun Aug 16 13:22:04 PDT 2015 --  If you're having a bad day, just watch this Pikachu squad dance for you pic.twitter.com/mMIc1vOXRc
Mon Jul 09 22:41:47 PDT 2012 --  la gente q vale a unque te equivoques y cometas errores te sabran perdonar por. Q realmente quieren q permanescas a su ladoo
Mon Jul 09 12:53:25 PDT 2012 --  Ya me tienen harto con sus twits de "tu sabes quien eres". Ustedes saben quienes son
Mon Jul 09 08:58:26 PDT 2012 --  Mientras estás tranquilamente sentado, las células de tu cuerpo se mueven y se empujan haciendo una especie de ola http://bit.ly/RNhz16 
Sun Jul 08 12:00:27 PDT 2012 --  El 99.9% de mis calcetines tampoco tienen pareja y no andan ahí llorando ¬¬'
Sun Jul 08 21:16:41 PDT 2012 --  RT @muyinteresante: Esta noche se alinean en el cielo dos de los planetas más brillantes (Venus, (cont) http://tl.gd/i82qo9 
Sun Jul 08 13:15:28 PDT 2012 --  Típico. Faltas un día a clases y ya tienes: - 4 exámenes. - 2 exposiciones. - 5 trabajos. - 3 hijos. - y una bomba atómica por desactivar.
Sun Jul 08 07:51:44 PDT 2012 --  RT @muyinteresante: ¿Cuál fue la clave de éxito de los tiranosaurios? Según crecían cambiaban (cont) http://tl.gd/i7qqe2 
Sun Jul 08 07:50:43 PDT 2012 --  RT @muyinteresante: Vídeo: EyeHawk y GoalRef son las 2 tecnologías aprobadas por la FIFA y que evitarán goles fantasma http://bit.ly/PrzU6D 
Sat Jul 07 20:26:03 PDT 2012 --  Mientras tu me ignoras la de las quesadillas me dice: "con todo?"
Sat Jul 07 19:32:27 PDT 2012 --  Así que eres mujer, Dime ¿Qué se siente ser la creación mas bella de este universo?
Sat Jul 07 21:46:32 PDT 2012 --  RT @_Ay_Si_Ay_Si_: ¡Ay Si!, ¡Ay Si!, hoy me quejo de Televisa y mañana todos a ver Familia Peluche.
Fri Jul 06 00:03:11 PDT 2012 --  "Uno aprende que lo más importante en la vida es sólo amar y ser amado" ..moulin rouge..
Thu Jul 05 11:10:18 PDT 2012 --  RT @LloraDeRisa: Han jugado tanto con mi corazón que ya viene en versiones para PC, Wii, PlayStation 3 y Xbox 360. jajajajaja
Thu Jul 05 10:26:20 PDT 2012 --  RT @ElDatoDelDia: 5 cosas que debes saber sobre el bosón de Higgs: http://bit.ly/N1eFUS 
Tue Jul 03 10:13:39 PDT 2012 --  No hay nada que reprocharle a AMLO por su postura de impugnar las elecciones http://bit.ly/O0Mjbd 
Tue Jul 03 10:05:30 PDT 2012 --  jajaja RT @LloraDeRisa: -En español: Te amo. En inglés: I love you. En Francés: Je t'aime. A lo imbécil: ¡Thi amuh demazhiadoohcuchicuchi!
Mon Jul 02 19:19:11 PDT 2012 --  -Te quiero pedir disculpas por el beso robado. -¿Cual beso roba....
Mon Jul 02 20:22:29 PDT 2012 --  qué! ahora resulta q hasta "tenis tacos" tiene está arañita?? :S #ElSorprendenteHombreAraña http://po.st/Dj0qFZ 
Mon Jul 02 08:54:52 PDT 2012 --  RT @GQuadri2012: Amigo estudiante cuando en la escuela no pases algun examen, aplica la AMLOVE y dile a la maestra "Yo tengo otros datos"
Mon Jul 02 00:58:36 PDT 2012 --  ¿Estamos todos "un poco locos"? ¿Existe alguien mentalmente "sano"? http://bit.ly/N3tLJF  #librosdeverano
Mon Jul 02 01:25:00 PDT 2012 --  Si vas de rebajas, ten en cuenta el "efecto dígito a la derecha". ¿En qué consiste? http://bit.ly/M0nXPZ 
Mon Jul 02 01:50:01 PDT 2012 --  ¿Los jovenes son mejores empleados? ¿Un semestre sabático nos quita el estrés? 5 mitos sobre el trabajo http://bit.ly/N6fCfj 
Sun Jul 01 21:35:04 PDT 2012 --  RT @WillyWonkaDice: ¡ESTA ES LA PAGINA DE LOS RESULTADOS! http://po.st/EkiApv  (SE ACTUALIZA CADA 5 MINUTOS)
Sat Jun 30 21:02:50 PDT 2012 --  Peter Parker, Mary Jane y Scary Movie son TT, no cabe duda nadie salió hoy por la Ley Seca y están viendo televisión.
Fri Jun 29 13:06:02 PDT 2012 --  jajajaja RT @LloraDeRisa: -¿Cumples años hoy? -No, ¿tú? -¡Tampoco! -¡WOOW! ¡Tenemos tanto en común! ¿Quieres ser mi novia?.
Thu Jun 28 15:30:27 PDT 2012 --  —Amor ¿Por qué lloras? —Me dijeron fea. —¿QUIÉN LO DIJO? Ahora lo busco y lo mato. —Chuck Norris. —Bueno, sí eres un poquito fea.
Thu Jun 28 04:40:20 PDT 2012 --  Aquí tienes una explicación científica de por qué se falla un penalti: http://bit.ly/KOxZG6  (enlace corregido) #curiosidades #Eurocopa
Tue Jun 26 20:40:12 PDT 2012 --  —¿Quieres ser mi novia? —Sorry, I don't speak spanish —Do you want to be my girlfriend? —Disculpa, no hablo inglés.
Tue Jun 26 20:20:11 PDT 2012 --  Señor, ¿Tiene permiso de conducir? -Si oficial, mi mama me dejó"
Tue Jun 26 18:30:04 PDT 2012 --  —Mesero, ¿Me da una ensalada? —¿César? —¿Juan?, ¿Cómo terminaste de mesero? —Ya ves, la crisis.
Tue Jun 26 18:00:11 PDT 2012 --  -Enriqueta, ¿supiste que Microsoft compró Skype por 8.5 billones de dólares? -Qué bobos, si lo podían descargar gratis de Internet!
Mon Jun 25 09:28:43 PDT 2012 --  *En un examen* "Justifique su respuesta" -¿Como se atreve a cuestionar mi sabiduría?.
Sat Jun 23 20:00:00 PDT 2012 --  - 2+2= Peces 3+3=Ocho 7+7=Triangulo , Solo para gente inteligente RT si lo entendiste B)
Sat Jun 23 16:55:48 PDT 2012 --  Así que ya te serviste el cereal, Dime ¿Qué se siente que no haya leche?
Fri Jun 22 20:49:02 PDT 2012 --  RT @ElDatoDelDia: Demasiado azúcar nos vuelve estúpidos y perjudica la memoria http://ow.ly/1kNjh4 
Fri Jun 22 15:28:41 PDT 2012 --  El idiota grita, el inteligente opina, y el sabio calla.. Por eso no contesto nada en clase.
Fri Jun 22 14:36:53 PDT 2012 --  jajajaRT @Miri_Nava: Yo repruebo & la ciruela pasa.
Fri Jun 22 11:35:45 PDT 2012 --  ¿Estas Nervioso? - Sí, un poco. - ¿Es tu primera vez? - No, ya me había puesto nervioso antes.
Thu Jun 21 01:08:08 PDT 2012 --  ¿En qué zona del cerebro reside el amor? La ciencia la acaba de encontrar: http://bit.ly/PxWbvT  #neurociencia
Thu Jun 21 01:18:12 PDT 2012 --  ¿Te acaban de presentar a alguien y ya has olvidado su nombre? Aplica estos 6 trucos para ejercitar la memoria: http://bit.ly/KOFLBf 
Wed Jun 20 20:24:08 PDT 2012 --  En mi currículum voy a escribir que a veces duermo 14 horas seguidas, para que sepan que soy de esas personas que luchan por sus sueños.
Wed Jun 20 18:12:37 PDT 2012 --  subirte al camión, que el pasaje mínimo sea $7.00 pagar com una moneda de $10 y q el chofer pregunte -¿uno? >.<'
Wed Jun 20 17:27:27 PDT 2012 --  Yo confieso que madurar es sencillo, lo difícil es aguantarse las ganas de romper la piñata en las fiestas de los niños.
Wed Jun 20 18:02:45 PDT 2012 --  RT @muyinteresante: Pavarotti o Montserrat Caballé son gordos pero... ¿es mejor ser corpulento para cantar bien ópera? http://bit.ly/LfvttI 
Wed Jun 20 17:59:41 PDT 2012 --  antes: me da un refresco y unas papas, hoy: me da un agua y 150g de queso banco o.O quien nos manda no flaquita? @pris8a :(
Tue Jun 19 22:56:42 PDT 2012 --  a quién le interese :) RT @Peluchesoficial: http://po.st/jpLxAb  8 de Julio 10pm por el Canal de las Estrellas!!! RT!
Tue Jun 19 06:32:16 PDT 2012 --  RT @muyinteresante: Antes de un examen, o de una reunión, café con azúcar: la glucosa y la cafeína aumentan la memoria http://bit.ly/Pi5DTK 
Tue Jun 19 06:31:11 PDT 2012 --  mira nomás @pris8a RT @muyinteresante: ¿Ayunar tiene algún beneficio para la salud? http://bit.ly/g9XAZW 
Sat Jun 16 13:17:03 PDT 2012 --  Phineas y Ferb son ninis y con su beca de Oportunidades compran los materiales.
Fri Jun 15 08:21:53 PDT 2012 --  LÉALO!! ¿Engorda comer rápido? ¿Son buenas las dietas basadas en proteínas? 11 dudas resueltas sobre dietas http://bit.ly/MbMCOF  @pris8a
Fri Jun 15 08:13:15 PDT 2012 --  RT @Cinemex: Nuestros estrenos para este fin de semana son: #Prometeo #AmorImposible #Indiferencia y #PieDePágina ¿Cuál vas a ver?
Tue Jun 05 13:08:21 PDT 2012 --  Los tres estados de la materia son: aprobada, reprobada y no presentó.
Mon Jun 04 07:16:57 PDT 2012 --  RT @muyinteresante: Si eres estudiante y estás de exámenes, come nueces. La ciencia ha demostrado que ayudan a razonar: http://bit.ly/KJWjrL 
Fri Jun 01 20:40:35 PDT 2012 --  RT @WillyWonkaDice: Así que ya querías que fuera Viernes, Dime ¿Qué se siente estar aburrido? @pris8a buuu :(
Wed May 30 09:55:38 PDT 2012 --  RT @muyinteresante:¿A qué horas del día nos sentimos de mejor humor?http://bit.ly/NcMKk9  quien hubiera creído que el twitter sirviera d algo
Tue May 29 16:37:21 PDT 2012 --  RT @WilI_Smith: What others think about you is not important. What you think about yourself means everything.
Tue May 29 14:26:34 PDT 2012 --  RT @WilI_Smith: We don't lose friends. We just learn who our real ones are. :) @Racheel_Medrano
Mon May 28 18:02:39 PDT 2012 --  RT @WillyWonkaDice: Así que tu mama está junto a ti, Dime ¿Qué se siente estar en Google hasta que se vaya? jajaja
Mon May 28 06:39:21 PDT 2012 --  RT @muyinteresante: Desayunar cereales todos los días reduce hasta un 28% el riesgo de sufrir cadiopatías: http://bit.ly/Kha670  @pris8a :0
Thu May 24 16:02:21 PDT 2012 --  Así que te gustan las bebidas Arizona... pic.twitter.com/dk7FYJP4
Wed May 23 05:53:55 PDT 2012 --  RT @muyinteresante: ¿Cuánto nos cuesta cada año la obesidad? Este es el precio de estar "rellenitos": http://bit.ly/JGFEpI  @pris8a :P
Wed May 23 05:52:02 PDT 2012 --  RT @muyinteresante: Google dedica hoy un genial doodle a Robert Moog, creador del sintetizador de música electrónica: http://bit.ly/JGHTJK 
Sun May 20 21:49:19 PDT 2012 --  @Belhor111te conoce mira... RT @WillyWonkaDice: Así que hoy es domingo, Dime ¿Qué se siente que mañana sea lunes y no has acabado tu tarea?
Sun May 20 20:23:30 PDT 2012 --  Das pena nieto!RT @Rojo_Medrano: Una novia que le guste el futbol #NoPorqueMeEnamoro
Sat May 19 07:41:54 PDT 2012 --  RT @muyinteresante: Si te pones a dieta, mejor con pan: http://bit.ly/JmUkKx  wooow lean esto @pris8a
Thu May 17 15:20:06 PDT 2012 --  Jajaja RT @Belhor111: -¿Quieres comer lo que hizo mi mamá? _¿Que hizo tu mamá? -¡Yo!
Thu May 17 10:50:27 PDT 2012 --  Perdí mis contactos en el cel, me pasas tu número por mensaje?
Thu May 17 10:49:36 PDT 2012 --  Por favor, pásenme su número por el medio que quieran (los que quieran y falten) gracias ;)
Tue May 15 09:39:46 PDT 2012 --  Hoy pista de hielo lomas verdes?? Alguien gusta @Rojo_Medrano @pris8a @elii_medrano @AlberttoTello ???
Fri May 11 22:06:31 PDT 2012 --  Me pregunto sí las tonterías que se escriben por aqui serán pensando en que nadie las leerá? Espero ésto sí se lea. O.o
Tue May 08 10:03:29 PDT 2012 --  Último día de libertad wiiii!!!
Sat May 05 19:54:26 PDT 2012 --  RT @Rojo_Medrano: #EnamoraSi aparte de bonita , tiene buena ortografia.... Ahi te hablan @pris8a
Tue May 01 19:06:20 PDT 2012 --  Yaaaaa hazme feliz y rómpeme el corazón!! O.o
Tue May 01 13:11:43 PDT 2012 --  Why?
Mon Apr 30 10:58:22 PDT 2012 --  Vamos a ver a los fantásticos super animadores! Tía se llama #TheAvengers xD
Mon Apr 30 07:31:17 PDT 2012 --  Y feliz día del niño que todos llevamos.
Sun Apr 29 18:40:06 PDT 2012 --  Tengo que reconocer que @YehuuVega14 es genial!!!
Sun Apr 29 18:05:03 PDT 2012 --  Entre #capitánAmérica #ironman y #thor quien es el mas galán? -por supuesto que #hulk... No entiendo a las mamás jajaja
Sat Apr 28 19:52:23 PDT 2012 --  Listo para salir de super ñoño!!! ^^)
Fri Apr 27 22:02:02 PDT 2012 --  #TheAvengers PELICULON!!! -increible-
Wed Apr 11 08:57:25 PDT 2012 --  RT @_Ortografia: Para recordar y distinguir entre "ahí" (de lugar) "hay" (de (cont) http://tl.gd/gtti8s 
Wed Apr 11 06:45:09 PDT 2012 --  RT @muyinteresante: Dice este estudio que las personas más felices leen, mientras que las (cont) http://tl.gd/gtr4qk 
Tue Apr 10 21:35:25 PDT 2012 --  La peor inversión en la vida # laBellezaFísica no desperdicies tu tiempo!!
Tue Apr 10 19:18:07 PDT 2012 --  Matt Groening revela a la revista Smithsonian la verdadera ubicación de Springfield. La ciudad de los Simpsons está en Oregon
Tue Apr 10 09:44:24 PDT 2012 --  Las cosas se complican porque las personas las complican :\ @Zuriioliver
Mon Apr 09 20:56:37 PDT 2012 --  Alguien me explica por que la gente escribe mas tonterías en #twitter de las que ya publica en #facebook???
Sat Apr 07 08:28:16 PDT 2012 --  RT @muyinteresante: ¡Enfádate! La ira no expresada daña la salud http://bit.ly/HVvdx8  #DíaMundialdelaSalud
Wed Apr 04 09:06:19 PDT 2012 --  RT @El_Universal_Mx: Captan evolución de galaxia espiral a elíptica. Conoce los detalles http://bit.ly/HWhlxm 
Wed Apr 04 09:05:26 PDT 2012 --  Captan evolución de galaxia espiral a elíptica. Conoce los detalles http://bit.ly/HWhlxm 
Wed Apr 04 08:54:04 PDT 2012 --  Whatsapp @pris8a urge
