Sat Aug 29 07:41:52 PDT 2015 --  Quote of the Day http://nyti.ms/1MUaoSD  pic.twitter.com/wN4lACE8jJ
Sat Aug 29 07:33:44 PDT 2015 --  Liberals promise this "free" or "affordable" what that really means is "taxes"
Fri Aug 21 13:15:30 PDT 2015 --  So not only is she a very stupid woman who finds excuses for him, but she also makes it about her. Lol wow. https://twitter.com/emzanotti/status/634820341404180480 …
Fri Aug 21 13:05:15 PDT 2015 --  Pro-abortion group 'doxxes' woman from undercover Planned Parenthood videos http://washex.am/1Nr1m16  pic.twitter.com/Bt8Opjj2GT
Fri Aug 21 12:27:15 PDT 2015 --  It has been one long day
Fri Aug 21 07:51:25 PDT 2015 --  I always slept half naked, never fully. Read an article about how great it is for you, did it & I'm feeling more rested today.
Fri Aug 21 05:57:02 PDT 2015 --  Ashley Madison hack reveals Alabama is the most unfaithful place in the U.S. STORY: http://wp.me/p5bZm6-2RJ  pic.twitter.com/sWmg5zFfns
Fri Aug 21 05:37:24 PDT 2015 --  flip board, breakfast & tea before work
Fri Aug 21 05:37:04 PDT 2015 --  TGIF
Thu Aug 20 23:03:00 PDT 2015 --  U don't get cake when u cheat on ur wife https://twitter.com/dmataconis/status/634605063453962240 …
Thu Aug 20 20:30:05 PDT 2015 --  Sex workers face fine if they refuse to wear reflective safety jackets under new law http://wp.me/p5bZm6-2Qi  pic.twitter.com/CNgcgQNWv4
Thu Aug 20 20:32:01 PDT 2015 --  Too much sitting makes you depressed.
Thu Aug 20 20:15:35 PDT 2015 --  hey get out this is my bed pic.twitter.com/guO0QN5Ml5
Thu Aug 20 20:08:01 PDT 2015 --  @ana_sauvignon RE https://twitter.com/AngelZ/status/634315363807662080 …
Thu Aug 20 19:59:44 PDT 2015 --  Why am I laughing so hard.
Thu Aug 20 19:59:33 PDT 2015 --  Saze just said I sound like a cartel member/George Lopez when I say "I was fucking waiting on you."
Thu Aug 20 16:41:45 PDT 2015 --  I imagine that listening to your husband defend his Ashley Madison account sounds a lot like liberal pundits defending Clinton email server
Thu Aug 20 18:32:36 PDT 2015 --  priorities pic.twitter.com/NhLN0AXVyb
Thu Aug 20 18:25:39 PDT 2015 --  But..it's blended wine......
Thu Aug 20 15:52:46 PDT 2015 --  This is it. My whole story. Race, love, hate, and me: A distinctly American story Thanks for the love. -Shaun http://www.dailykos.com/story/2015/08/20/1413881/-Race-love-hate-and-me-A-distinctly-American-story …
Thu Aug 20 18:10:43 PDT 2015 --  #sense https://twitter.com/mariela_mabelle/status/634426156129751040 …
Thu Aug 20 17:55:39 PDT 2015 --  You have a woman telling people who not to vote for but she doesn't know simple sentence fragmentation.
Thu Aug 20 17:53:50 PDT 2015 --  Really wish you knew what periods were, your message would be clearer. https://twitter.com/mariela_mabelle/status/634264053381132288 …
Thu Aug 20 17:52:49 PDT 2015 --  A just fucked wetness between your legs -
Thu Aug 20 17:27:01 PDT 2015 --  It is more than okay to be in love with yourself.
Thu Aug 20 16:52:13 PDT 2015 --  Science says you should sleep naked http://nyp.st/1K9Bchi 
Thu Aug 20 16:29:03 PDT 2015 --  salads >
Thu Aug 20 16:08:01 PDT 2015 --  but books and coffee are a relaxer so
Thu Aug 20 16:07:49 PDT 2015 --  I think I'm about to pick up a second job at booksamillion as if my 40hrs don't stress me out enough..
Thu Aug 20 16:02:23 PDT 2015 --  respect your significant other just as much in their absence as you do in their presence.
Thu Aug 20 16:00:35 PDT 2015 --  wanna rest my eyes on the seasons of you
Thu Aug 20 15:54:06 PDT 2015 --  I can't wait until this intersectional feminism wave dies.
Thu Aug 20 15:55:11 PDT 2015 --  why is she in his face & why is he talking down to her like that? y'all have your expectations fucked up
Thu Aug 20 15:54:43 PDT 2015 --  bitch, what? this is a terrible relationship scenario lmao https://twitter.com/rebekahgeee_/status/634224478180933633 …
Thu Aug 20 15:41:05 PDT 2015 --  Jindal to show Planned Parenthood videos for protesters outside governor's mansion http://washex.am/1TWxvSd  pic.twitter.com/EDZcDFOmAR
Thu Aug 20 15:46:08 PDT 2015 --  Lightning strikes Boeing 737 in Atlanta. FULL VIDEO: http://wp.me/p5bZm6-2QK  pic.twitter.com/ZILCAOLN74
Thu Aug 20 15:49:09 PDT 2015 --  well, he is the pronoun for a male. he has a Y chromosome. he is a male, identifying as a woman. so, yes, it's a he. https://twitter.com/posifemme/status/634491470691598336 …
Mon Aug 26 11:48:54 PDT 2013 --  Everyone evolves at his/ her own rate. It ain't a race. Stay in your lane.
Thu Aug 20 15:12:13 PDT 2015 --  gym killed me today
Thu Aug 20 14:17:21 PDT 2015 --  When one debt gets paid off, another bill appears.
Thu Aug 20 09:51:11 PDT 2015 --  Students hacked teen with machete then buried him alive http://nyp.st/1MGfJyr  pic.twitter.com/KDcTcXYy6r
Thu Aug 20 10:01:01 PDT 2015 --  Jupiter and Saturn formed from an Earth-sized core made of tiny rocks, claims study http://dailym.ai/1NnFOlV 
Thu Aug 20 09:46:03 PDT 2015 --  Not sure if I like half the vegetables I constantly eat or if I just convince myself I do so much that my body believes it.
Thu Aug 20 05:37:12 PDT 2015 --  @ana_sauvignon I'll make you coffee silently
Thu Aug 20 05:35:30 PDT 2015 --  I don't want to hear a single voice utter a syllable before noon.
Wed Aug 19 19:29:10 PDT 2015 --  A man who molested children would cheat on his wife.. Shocker. https://twitter.com/nypost/status/634184928394145793 …
Wed Aug 19 19:05:51 PDT 2015 --  How are you 35 with two kids & I, as a 21 year old, am more professional than you? I don't understand.
Wed Aug 19 18:42:43 PDT 2015 --  working with all women is so goddamn stressful, my lord, the high school energy that grown women release is mind boggling.
Wed Aug 19 17:43:48 PDT 2015 --  WINE WINE WINE
Wed Aug 19 17:24:39 PDT 2015 --  People will believe anything they read on the Internet.
Wed Aug 19 17:15:50 PDT 2015 --  not even https://twitter.com/winewankers/status/634155106179661824 …
Wed Aug 19 17:11:14 PDT 2015 --  Military leaders appointed by Presidents Obama and Clinton oppose Iran nuclear deal http://washex.am/1Lk64KJ  pic.twitter.com/niBESYO4gL
Wed Aug 19 17:14:23 PDT 2015 --  The shocking number of new moms who return to work two weeks after childbirth http://wapo.st/1TWkOBE 
Wed Aug 19 16:21:37 PDT 2015 --  Ashley Madison Hack Reveals Josh Duggar Owned a Paid Account - http://wp.me/p5bZm6-2Pb  pic.twitter.com/0etbycPr3m
Wed Aug 19 16:11:58 PDT 2015 --  #HowToCatchAna @ana_sauvignon pic.twitter.com/nMmaXRiHsG
Wed Aug 19 15:58:41 PDT 2015 --  Two coworkers are talking about a guided meditation class to help them unwind. It sounds nice but an $8 bottle of wine works just as well.
Wed Aug 19 15:46:36 PDT 2015 --  how unbecoming of you
Wed Aug 19 15:30:27 PDT 2015 --  praying w your significant other >
Wed Aug 19 15:34:44 PDT 2015 --  I just saw the hashtag #natureisafeminist on tumblr and I gagged.
Wed Aug 19 15:27:57 PDT 2015 --  The Media Stays Shamefully Silent about the Most Shocking #PlannedParenthood Video Yet http://natl.re/I5JSQM 
Sat Aug 15 20:06:45 PDT 2015 --  *opens window* Aww, look at me, being all outdoorsy.
Wed Aug 19 15:25:45 PDT 2015 --  kale, almond & salmon salad
Wed Aug 19 15:15:08 PDT 2015 --  When in doubt, blame the media. Right, @HillaryClinton? http://natl.re/gEyO11  pic.twitter.com/61oPZamUTI
Wed Aug 19 15:02:18 PDT 2015 --  
Wed Aug 19 14:03:42 PDT 2015 --  Y'all actually pay to go see this? pic.twitter.com/ZBj5yReO7K
Wed Aug 19 14:52:04 PDT 2015 --  i am perpetually reading 10 + books at a time..
Wed Aug 19 14:40:07 PDT 2015 --  Ashley Madison data leak includes thousands of military email addresses http://washex.am/1PA5h9S  pic.twitter.com/DKYkjcx6sr
Wed Aug 19 11:48:13 PDT 2015 --  They cut into a boy's face to get to his brain. Phew, I feared it was anti-woman.
Wed Aug 19 14:13:04 PDT 2015 --  my heart https://twitter.com/gorgeousgoldens/status/634107787308470272 …
Wed Aug 19 14:06:05 PDT 2015 --  You can now text the pizza emoji to order from dominos
Wed Aug 19 13:48:21 PDT 2015 --  I'm really trying not to invest emotions into ranting on Twitter right now about how outraged I am about PP, but it's difficult.
Wed Aug 19 12:51:02 PDT 2015 --  You know work is your only life when you get ecstatic over a new desk chair with lower back support.
Wed Aug 19 11:21:05 PDT 2015 --  Your problem with me is not my problem.
Wed Aug 19 10:34:54 PDT 2015 --  Names of 37 million cheating spouses are now leaked online. DETAILS: http://wp.me/p5bZm6-2Pb  pic.twitter.com/fuwqoqvhri
Wed Aug 19 10:26:24 PDT 2015 --  Work in progress.
Wed Aug 19 10:28:09 PDT 2015 --  Roll your eyes all you want, we all know you didn't engage in the conversation bc you weren't intelligent enough to hang.
Wed Aug 19 10:26:27 PDT 2015 --  Holy shit.
Wed Aug 19 10:17:05 PDT 2015 --  15,000 government emails revealed in #AshleyMadisonHack: http://hill.cm/HC4VOif  pic.twitter.com/aHulcza4nF
Wed Aug 19 10:07:27 PDT 2015 --  Sick of being sick.
Wed Aug 19 07:14:32 PDT 2015 --  A Planned Parenthood abortionist thought it was "kinda cool" to stop and start the heart of an aborted baby boy http://thefederalist.com/2015/08/19/new-video-planned-parenthood-harvested-brain-of-live-baby/ …
Wed Aug 19 07:51:43 PDT 2015 --  Libs: its a clump of cells Cons: the heart beats Libs: clump of cells Cons: it feels pain Libs: CELLS! https://twitter.com/owillis/status/634013017022308352 …
Wed Aug 19 07:54:28 PDT 2015 --  That's not "women's health".
Wed Aug 19 07:51:41 PDT 2015 --  What part of "women's health" consists of cutting open a healthy baby boy's face just so you can harvest and sell his brain?
Wed Aug 19 07:58:06 PDT 2015 --  I’d just like to remind everyone that over $500 Million of our dollars are going to #PlannedParenthood annually.
Wed Aug 19 05:14:53 PDT 2015 --  kale & fruit smoothie pic.twitter.com/G715AerPi3
Tue Aug 18 20:49:55 PDT 2015 --  I just like how your bones build a man out of you.
Tue Aug 18 20:35:31 PDT 2015 --  Mourning husband plants 4 miles of sunflowers to honor late wife. FULL STORY: http://wp.me/p5bZm6-2Ot  pic.twitter.com/I7ZbTq9bON
Tue Aug 18 20:36:28 PDT 2015 --  Lmfao https://twitter.com/katiescorziello/status/633843208733224960 …
Tue Aug 18 20:06:05 PDT 2015 --  You can run, but you can't hide from Biden. pic.twitter.com/GTqfIlMIBB
Tue Aug 18 20:10:25 PDT 2015 --  doesn't matter how well I eat, work out or take care of myself, I always manage to get a cold bc I work at a healthcare facility
Tue Aug 18 19:54:35 PDT 2015 --  much description
Tue Aug 18 19:41:28 PDT 2015 --  Bless your heart. Bless Saze https://twitter.com/ana_sauvignon/status/633830178993508352 …
Tue Aug 18 19:35:57 PDT 2015 --  Navy SEALs to admit women — if they can pass physically demanding criteria http://www.washingtontimes.com/news/2015/aug/18/navy-seals-admit-women-if-they-can-pass-physically/#.VdPrivtLBT0.twitter … via @washtimes
Tue Aug 18 19:28:34 PDT 2015 --  Y'all have issues.
Tue Aug 18 19:24:13 PDT 2015 --  The US military will likely open most combat jobs to women http://read.bi/1hLwco5  pic.twitter.com/3X9pUfFhkq
Tue Aug 18 19:12:51 PDT 2015 --  "Don't open my door. I can open my own door because I'm a free woman you misogynistic pig" - 2015 feminist
Tue Aug 18 18:51:30 PDT 2015 --  Look what I did pic.twitter.com/Wtp4P6zsxV
Tue Aug 18 18:48:12 PDT 2015 --  You're always making sense @ana_sauvignon
Tue Aug 18 18:46:09 PDT 2015 --  FDA approves female 'Viagra' http://washex.am/1JpE5f7  pic.twitter.com/DKypMc19TZ
Tue Aug 18 18:38:35 PDT 2015 --  The look when the FBI finds evidence someone tried to wipe the server clean that you claimed never happened. #Hillary pic.twitter.com/Oup2CbCa8Z
Wed Mar 04 04:14:44 PST 2015 --  The Hillary grow-your-own-email-server thing is deeply disturbing, possibly illegal but u know a teensy bit badass. http://www.politico.com/story/2015/03/hillary-clinton-email-server-homebrew-115745.html …
Tue Aug 18 18:36:59 PDT 2015 --  Shut up about Adam & Eve ft. the patriarchy. God made women FOR men bc men NEED women. How is that not enough? Why do you need to dominate?
Tue Aug 18 18:18:15 PDT 2015 --  Woman Reveals What Reportedly Happened After She Sought an Abortion at Planned ... http://www.theblaze.com/stories/2015/08/18/woman-reveals-what-reportedly-happened-after-she-sought-an-abortion-at-planned-parenthood-and-didnt-want-to-sign-a-fetal-tissue-donation-form/?utm_source=twitter&utm_medium=story&utm_campaign=ShareButtons … via @theblaze
Tue Aug 18 18:15:20 PDT 2015 --  imma give you this wine, the runner just brought the grapes
Tue Aug 18 18:13:00 PDT 2015 --  bumpin' oldies off my cellular phone
Tue Aug 18 17:45:27 PDT 2015 --  Sometimes you gotta look at these girls like " umm, does my sassiness upset you?"
Tue Aug 18 17:28:30 PDT 2015 --  I can taste the godly blessing on your sweaty skin..
Tue Aug 18 17:07:25 PDT 2015 --  People tell you who they are but, we ignore it because we want them to be who we want them to be.
Tue Aug 18 15:32:43 PDT 2015 --  “Huma, I’ve been pushing the ‘delete’ button for half an hour but I don’t think it’s working. Pls call” pic.twitter.com/lVOZ2sIiuX
Tue Aug 18 16:02:58 PDT 2015 --  I told myself not to spend more money, especially on books, but boredom at work lead to my Amazon wish list & well.. It'll be here Saturday.
Tue Aug 18 15:00:19 PDT 2015 --  This is my new favorite GIF pic.twitter.com/N942LNSSbI
Tue Aug 18 14:40:45 PDT 2015 --  Starbucks is now serving alcohol at 70 locations - http://klou.tt/1d22wr6ktirx6 
Tue Aug 18 15:50:29 PDT 2015 --  Tuesday pic.twitter.com/cfCD52sHuX
Tue Aug 18 15:49:01 PDT 2015 --  Politicians are the the kings & queens when it comes to lacking personal responsibility.
Tue Aug 18 15:29:54 PDT 2015 --  Twins. pic.twitter.com/qkP79sveED
Tue Aug 18 15:33:09 PDT 2015 --  God is so merciful.
Tue Aug 18 15:37:23 PDT 2015 --  It's okay to think you're hot as fuck.
Tue Aug 18 15:26:55 PDT 2015 --  LOL https://twitter.com/freebeacon/status/633764375623548928 …
Tue Aug 18 14:45:07 PDT 2015 --  Saudi women are beginning to register to vote for the first time in history: http://bit.ly/1URquzb  pic.twitter.com/jWxM87eDWo
Tue Aug 18 14:51:56 PDT 2015 --  Second day in a row I forget my lifting gloves
Tue Aug 18 11:46:21 PDT 2015 --  just want work to be over so I can go to the gym then eat kale like a rabbit
Tue Aug 18 10:33:18 PDT 2015 --  Amazon notifications are life.
Tue Aug 18 03:01:09 PDT 2015 --  Right now on @CNN pic.twitter.com/lP3yhcYbeB
Tue Aug 18 10:12:03 PDT 2015 --  Man who once played Santa Claus accused of raping 7 yr old girl. READ MORE: http://wp.me/p5bZm6-2NG  pic.twitter.com/3ZAdx2QcLP
Tue Aug 18 07:50:10 PDT 2015 --  Today seems like a really good day to not speak to anybody.
Tue Aug 18 05:33:13 PDT 2015 --  wish Twitter had a "read later" option for articles
Tue Aug 18 05:10:04 PDT 2015 --  Stop Global Whining!
Tue Aug 18 04:51:30 PDT 2015 --  . @JoeNBC: @JohnKerry's State Department shouldn't cover for Hillary's 'deplorable' actions http://goo.gl/pKQOr9  pic.twitter.com/Sor86F04w7
Mon Aug 17 20:35:05 PDT 2015 --  why tf does target need to bow down to society for a "gender neutral" section, Ive gone in the boys section for superhero shirts all my life
Mon Aug 17 20:21:07 PDT 2015 --  could she at least spare my eyes for once in a century & buy a $30 outfit that doesn't look like Amish polyester https://twitter.com/pzfeed/status/633477225220829188 …
Wed Aug 05 19:38:13 PDT 2015 --  When he's not letting you have your way pic.twitter.com/7xVUhVKtrk
Mon Aug 17 19:34:15 PDT 2015 --  It's raining in my room, God.
Mon Aug 17 19:26:21 PDT 2015 --  Yeah? Why would I write off a possible good man bc of his eating habits lmao https://twitter.com/takedianasbra/status/633460394468732928 …
Mon Aug 17 18:51:46 PDT 2015 --  God, you're so handsome.
Mon Aug 17 18:25:01 PDT 2015 --  my younger sister is engaged. lol oh
Mon Aug 17 18:19:11 PDT 2015 --  Bacon and egg breakfast pizza! pic.twitter.com/ua1fYacVyK
Mon Aug 17 17:41:10 PDT 2015 --  ::::: waits for @ana_sauvignon to favorite the Coppola tweet :::::
Sun Jul 12 18:20:56 PDT 2015 --  When the dick is amazing and he treats you right pic.twitter.com/wmfCJq9rEh
Sun Aug 16 18:33:48 PDT 2015 --  Lust for life.
Sun Aug 16 12:08:03 PDT 2015 --  pic.twitter.com/o5dwFb4nz0
Mon Aug 17 16:35:04 PDT 2015 --  Tinder was made for hooking up and women go on looking for a suitable man to date? Lol..
Mon Aug 17 16:34:38 PDT 2015 --  shocker https://twitter.com/nypost/status/633420285941784576 …
Mon Aug 17 16:26:11 PDT 2015 --  yeah. pic.twitter.com/yXypVrshUC
Mon Aug 17 16:19:42 PDT 2015 --  got a new leather journal for my wine influenced writings, whoooop.
Mon Aug 17 14:46:47 PDT 2015 --  my wine phone case came inn
Mon Aug 17 11:45:48 PDT 2015 --  I broke a nail trying to fix the massive paper jam from the fax machine. Lovely.
Mon Aug 17 10:16:05 PDT 2015 --  patient.
Mon Aug 17 03:42:06 PDT 2015 --  The story behind the families of three girls groomed by the Islamic State: http://bit.ly/1M6lUvl  pic.twitter.com/hKtg9lpIfp
Mon Aug 17 04:05:24 PDT 2015 --  back to work after 10 days of vacation......
Mon Aug 17 04:03:30 PDT 2015 --  Get up. Be blessed. Let's grind. Don't let anyone outwork you today.
Sun Aug 16 19:20:03 PDT 2015 --  You said I was the most exotic flower, holding me tight in our final hour.
Sun Aug 16 19:18:47 PDT 2015 --  I'm blessed.
Sun Aug 16 11:49:18 PDT 2015 --  Sexual tension in the pews.
Sun Aug 16 18:12:38 PDT 2015 --  I just bought a new bookshelf and it's borderline filled up already... What is life
Sun Aug 16 18:09:51 PDT 2015 --  🏻🏻 https://twitter.com/goldglovess/status/633083210608574464 …
Sun Aug 16 18:07:12 PDT 2015 --  *posts picture of arbor mist and captions it "classy"* you might as well drink a Capri sun
Sun Aug 16 17:50:02 PDT 2015 --  oh the mediocrity of a sky full of spiral galaxies
Sun Aug 16 17:42:31 PDT 2015 --  They said his stomach gonna sound like On Sight. I can't stop laughing
Sun Aug 16 17:44:15 PDT 2015 --  "I don't have a gif for this" "I'll give you one on loan." ..........
Sun Aug 16 17:36:51 PDT 2015 --  just gonna sit back and eat these fire ass empanadas...
Sun Aug 16 17:32:08 PDT 2015 --  I'm so fucking done lmfao https://twitter.com/space_jam_chris/status/633073615915712512 …
Sun Aug 16 17:31:36 PDT 2015 --  literally me https://twitter.com/sunnyst4r/status/633071592881451009 …
Sun Aug 16 16:59:13 PDT 2015 --  cause if you're not really here then the stars don't even matter
Sun Aug 16 16:12:53 PDT 2015 --  took the wine bar out of my room to have space for a new book shelf. I'm so excited to organize alphabetically by authors name
Sun Aug 16 15:41:13 PDT 2015 --  Red wine and Discovery Channel. #Sunday
Sun Aug 16 15:02:54 PDT 2015 --  I hate when people make someone who's dressed up feel bad for dressing nicely.
Sun Aug 16 14:00:07 PDT 2015 --  Sun Dresses
Sun Aug 16 15:17:49 PDT 2015 --  if these walls could talk.. pic.twitter.com/X0V1NVcb5D
Sun Aug 16 14:01:31 PDT 2015 --  when you've repeated yourself too many times and you're trying to keep it together before u really slap that person pic.twitter.com/1QezLnnS0W
Sun Aug 16 13:47:22 PDT 2015 --  buying furniture is basically adulting
Fri Aug 14 05:29:09 PDT 2015 --  God rewards those who expand His kingdom
Sun Aug 16 13:40:06 PDT 2015 --  I'm just going to waltz into Pier 1 and buy a damn book case. Shit.
Sat Aug 15 06:48:45 PDT 2015 --  Jazz. pic.twitter.com/0Nk6V7nBz4
Thu Feb 12 16:28:06 PST 2015 --  She spoke in ink...
Sun Aug 16 13:38:55 PDT 2015 --  + $27 shipping for a bookcase?!! BITCH YOU THOUGHT
Sun Aug 16 12:47:12 PDT 2015 --  when you just tryna get your nails done and the lady scrapes cocaine residue from under your nails
Sun Aug 16 12:52:21 PDT 2015 --  Did Venus blow your mind?
Sun Aug 16 12:44:05 PDT 2015 --  I cannot stand when someone is driving and they're repeatedly on their phone. That shit can wait. Thanks.
Sun Aug 16 12:24:39 PDT 2015 --  Walk into and art museums and just get whisked away in concepts and what the artist wanted to convey.
Sun Aug 16 12:30:22 PDT 2015 --  27 spectacular libraries to visit in your lifetime http://read.bi/1UHXYA2  pic.twitter.com/bceYxJeAYm
Sun Aug 16 12:21:42 PDT 2015 --  LONG WEEK, LONG LIFE...BUT ITS SUNDAY AFTERNOON GOD
Sun Aug 16 12:22:27 PDT 2015 --  BREAKING NEWS: Morgan Freeman's Goddaughter Stabbed To Death. DETAILS: http://wp.me/p5bZm6-2Lk  pic.twitter.com/HFpjfybJh4
Sun Aug 16 12:19:38 PDT 2015 --  pic.twitter.com/hQHVA6j7T9
Sun Aug 16 12:03:01 PDT 2015 --  Heaven is a place on earth with you.
Sun Aug 16 11:32:59 PDT 2015 --  cocaine like the kid was born in '84
Sun Aug 16 11:30:51 PDT 2015 --  I can't wait to go to the gym tomorrow. Lord yes.
Sun Aug 16 11:30:01 PDT 2015 --  in due time, in due time.
Sun Aug 16 11:19:00 PDT 2015 --  hassle factor.
Sun Aug 16 05:39:01 PDT 2015 --  *Every black man *spanish women in general https://twitter.com/ana_sauvignon/status/632612023457738752 …
Sun Aug 16 11:06:14 PDT 2015 --  "I hate this dress!" *realizes it has pockets* "I love this dress!"
Sun Aug 16 11:06:52 PDT 2015 --  Okay, the empanadas calmed me down a bit.
Sun Aug 16 11:01:55 PDT 2015 --  I haven't been back in Florida more than 25 minutes and I'm already fed the fuck up.
Sun Aug 16 10:15:16 PDT 2015 --  @Pacific_Tomb Ana has to leave to move weight? =/
Sun Aug 16 09:34:08 PDT 2015 --  Love @ana_sauvignon
Sun Aug 16 08:21:02 PDT 2015 --  This girl is about to catch a GTA fade if she doesn't stop talking loud in my ear
Sun Aug 16 07:51:04 PDT 2015 --  Starbucks with bae
Sun Aug 16 07:22:20 PDT 2015 --  my bf's face when country shit comes on & I know every word >
Sun Aug 16 06:15:01 PDT 2015 --  Donald Trump goes into detail over his policies by telling us he has policies without explaining his policies.
Sun Aug 16 06:17:12 PDT 2015 --  Watching Chuck Todd interview Donald Trump is like watching Kermit the Frog interview Oscar the Grouch.
Sun Aug 16 06:08:02 PDT 2015 --  if only Starbucks delivered......
Sun Aug 16 05:18:49 PDT 2015 --  BREAKING NEWS: Indonesian airliner carrying 54 goes missing over Papua - http://wp.me/p5bZm6-2L0  pic.twitter.com/YsERDDY2uU
Sun Aug 16 05:11:41 PDT 2015 --  not the best Sunday
Sun Aug 16 03:42:00 PDT 2015 --  You’re probably paying about 11 to 13% more for pretty designs in your latte: http://onforb.es/1DWvvlC  pic.twitter.com/TYK7RYHnLv
Sat Aug 15 21:18:25 PDT 2015 --  "I would not be the woman I am if I did not go home to that man."
Sat Aug 15 20:18:26 PDT 2015 --  @TomiLahren @EWErickson thought u might like the irony of a BuzzFeed news editor who doesn't edit her own spelling pic.twitter.com/X6v4LaBsD5
Sat Aug 15 12:04:24 PDT 2015 --  How Much Slaughter Can We Tolerate? #WakeUpAmerica #WeThePeople #DefundPP #PPSellsBabyParts #tcot #pjnet pic.twitter.com/9xTui1ePJk
Sat Aug 15 19:48:07 PDT 2015 --  @ana_sauvignon you're my home skillet biscuit with a side of pancakes on a hot griddle bruh 🏿🏿🏿
Sat Aug 15 19:00:38 PDT 2015 --  Mexico's drug cartels are bad, but what's replacing them may be worse http://nyti.ms/1LaWJVF  pic.twitter.com/x3CUdT7rC9
Sat Aug 15 18:22:36 PDT 2015 --  *deep sigh*
Sat Aug 15 18:09:04 PDT 2015 --  Talenti ice cream & you.
Sun Jul 26 21:16:18 PDT 2015 --  Google is ur friend people..... Use it.
Sat Aug 15 17:16:25 PDT 2015 --  um, this is semi inaccurate considering. https://twitter.com/scienceporn/status/632704854222315520 …
Sat Aug 15 14:15:04 PDT 2015 --  Leaked documents reveal AT&T's "extreme willingness" to help with NSA spying: http://bit.ly/1TGHOVe 
Sat Aug 15 12:55:21 PDT 2015 --  Or they should opt out of finding men on tinder https://twitter.com/businessinsider/status/632638402903584768 …
Mon Jul 20 08:06:34 PDT 2015 --  I believe in annoyed at first sight
Fri Aug 14 09:42:52 PDT 2015 --  Finally taking my bra off after a long hard day of having breasts
Sat Aug 15 12:46:44 PDT 2015 --  STAR WARS LAND 1 at Walt Disney World 1 at Disneyland Largest Disney expansion ever INFO: http://bit.ly/1Pfajbk  pic.twitter.com/FLVvCtlnEX
Sat Aug 15 12:20:36 PDT 2015 --  "Sure" is not an answer.
Sat Aug 15 12:16:02 PDT 2015 --  I got my red dress on tonight, dancin’ in the dark in the pale moonlight.
Sat Aug 15 12:10:53 PDT 2015 --  American Hostage Kayla Mueller Was Repeatedly Raped by Islamic State Leader Before Death, U.S. Finds http://flip.it/ZSFsn 
Sat Aug 15 11:49:35 PDT 2015 --  @ana_sauvignon welp then he is a moron. When will people learn minimum wage is not meant to be lived off...
Sat Aug 15 11:46:21 PDT 2015 --  Seattle went to, what, $11? And unemployment shot through the roof. Next for them is $15 good fucking luck.
Sat Aug 15 11:45:39 PDT 2015 --  read a goddamn book.
Sat Aug 15 11:45:25 PDT 2015 --  It boggles my mind that people want to vote for a man who thinks raising minimum wage to $15 will do any good to our economy
Sat Aug 15 11:36:28 PDT 2015 --  The first poster for the upcoming live action adaption of The Jungle Book. Coming 2016. pic.twitter.com/wetuGu4YiI
Sat Aug 15 11:42:21 PDT 2015 --  I'm starting to get pissed off
Sat Aug 15 10:57:14 PDT 2015 --  Saze's heart drops when I pick up a knife
Sat Aug 15 10:53:26 PDT 2015 --  Funny, I thought his job was to lead a nation. https://twitter.com/businessinsider/status/632610128374710272 …
Sat Aug 15 10:25:57 PDT 2015 --  Lmaoo https://twitter.com/politicsofamy/status/632378433692012546 …
Sat Aug 15 10:06:45 PDT 2015 --  Yes
Sat Aug 15 10:24:00 PDT 2015 --  pic.twitter.com/5s5NGEHNSZ
Sat Aug 15 09:35:41 PDT 2015 --  Hillary Clinton on Snapchat: "I love it. Those messages disappear all by themselves" https://www.youtube.com/watch?v=LK1A0od12CY …
Sat Aug 15 08:49:09 PDT 2015 --  Hillary Clinton used Snapchat to joke about the ongoing scandal over her private email http://read.bi/1NiuFSh  pic.twitter.com/EtLuU4FmgA
Sat Aug 15 08:56:43 PDT 2015 --  could I lock in your love?
Sat Aug 15 08:02:03 PDT 2015 --  Rand Paul is reportedly heading to Haiti to perform pro bono eye surgeries: http://hill.cm/wCYpfMs  pic.twitter.com/27lNImVUjK
Fri Aug 14 22:38:28 PDT 2015 --  IM SO EXCITED pic.twitter.com/rJu5cHhUfr
Sat Aug 15 07:56:46 PDT 2015 --  chic fil a yet again
Fri Jul 31 11:11:52 PDT 2015 --  who are you when you I touch your collarbones?
Sat Aug 15 06:42:46 PDT 2015 --  Don't talk to me until I had my morning coffee...
Sat Aug 15 06:43:30 PDT 2015 --  Confessions of a sex coach couple who get paid for their hands-on experience http://nyp.st/1PeHjQY 
Sat Aug 15 06:59:41 PDT 2015 --  She fucks like art. https://twitter.com/lanesbrew/status/632317293972713477 …
Fri Aug 14 15:26:05 PDT 2015 --  he fucks like a poet
Sat Aug 15 06:03:22 PDT 2015 --  She thought she was entitled to maternity leave. After asking for it, she lost her job. http://wapo.st/1gJx0sE  pic.twitter.com/dq1o3bVCtH
Sat Aug 15 03:48:02 PDT 2015 --  Firm in Planned Parenthood video cuts ties with abortion provider http://washex.am/1Kn7BN2  pic.twitter.com/T2PwcwJtFK
Sat Aug 15 04:41:01 PDT 2015 --  Arkansas strips Planned Parenthood funding http://washex.am/1ISkf6B  pic.twitter.com/icl4NKA8ax
Sat Aug 15 05:02:35 PDT 2015 --  The background music of the stars...
Fri Aug 14 21:32:49 PDT 2015 --  https://twitter.com/mark_other/status/632408587793485824 …
