Sat Aug 29 08:33:55 PDT 2015 --  Majlis kawen nak buat waktu mlm
Wed May 27 04:00:37 PDT 2015 --  Al-Fatihah-Penawar segala penyakit An-Nur-Menghindari mimpi buruk Al-Mulk-Siksaan Kubur Al-Kahfi-Fitnah Dajjal Al-Waqi’ah-Pembuka rezeki
Mon May 25 08:35:39 PDT 2015 --  flashlight
Mon May 25 08:02:14 PDT 2015 --  Kalau Al-Quran itu aurat, ada yang tak buka ?
Mon May 25 08:18:48 PDT 2015 --  So cute pic.twitter.com/DXHuKZuDmg
Mon May 25 08:23:42 PDT 2015 --  All time low is better maybe
Mon May 25 07:45:24 PDT 2015 --  Relationship Goal ni apa la cibai? Ambil gambar pegang tangan dari posisi belakang ka?
Sun May 24 20:47:42 PDT 2015 --  Fucking @coldplay PLEASEEEEEEEEEEE !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! @Khairykj https://twitter.com/Khairykj/status/602482304385097728 …
Mon May 25 08:22:29 PDT 2015 --  
Thu May 21 06:42:12 PDT 2015 --  Tak semua org, suka aku. Dan Tak semua org, aku suka huahuahuahuahuahuahuahua
Thu Apr 02 07:31:00 PDT 2015 --  " Biarlah suami perangai budak budak saat bersama isteri, tetapi matang saat isteri perlukan suami."
Mon May 25 08:21:06 PDT 2015 --  Wat happen to u !!!! Hahahahahaha
Mon May 25 07:26:51 PDT 2015 --  Cinta seorang ayah bisa menenangkan ketakutan kita, cinta seorang ibu mampu menghapus kesedihan kita; pic.twitter.com/RnhXlmefyV
Mon May 25 08:20:18 PDT 2015 --  Tooooooo muchhhh babe
Mon May 25 08:09:32 PDT 2015 --  Selamat malam bakal isteri yg entah siapa & dimana. Jangan beriya sgt layan whatsapp dgn pakwe awk tu. Last2 nanti awk dgn dia clash jugak
Mon May 25 07:41:20 PDT 2015 --  Masalah perempuan ni biasanya kalau dia sombong, sombong kemain. Tapi tu la, bila dia dah start sayang overly attached melampau pula.
Mon May 25 08:18:34 PDT 2015 --  I hate this feeling
Mon May 25 08:18:34 PDT 2015 --  Allah
Sat May 23 20:30:10 PDT 2015 --  I can't decide if I need a hug, 6 shots or 3 months of sleep
Sat May 23 20:30:14 PDT 2015 --  I wonder if you smile when you hear my name.
Sat May 23 20:31:28 PDT 2015 --  Ayah benci dan paling tak suka dengar anak dia menangis . Sbb dia tak nak anak dia lemah 🏻🏻🏻🏻
Sat May 23 20:28:29 PDT 2015 --  Ayah pendengar terbaik
Sat May 23 02:31:34 PDT 2015 --  
Sat May 23 02:30:35 PDT 2015 --  #flashlight #PitchPerfect2
Mon May 11 15:06:01 PDT 2015 --  She's gorgeous pic.twitter.com/5IuSXkWEm6
Mon May 11 07:06:47 PDT 2015 --  ALHAMDULILLAH Saiful Bukhari Azlan,isteri serta anak mereka sudah pulang ke Malaysia selepas menunaikan ibadah umrah pic.twitter.com/ERR18U4GO3
Mon May 11 08:28:55 PDT 2015 --  Kau matang bila kau faham situasi parnter kau. Faham dia busy dgn kerja or busy dgn study dia. Bukan kau hanya reti nak fikir dia curang je.
Mon May 11 15:08:33 PDT 2015 --  Movement ??
Mon May 11 00:51:01 PDT 2015 --  Lepas exam, takpayah check jawapan. Kau dah usaha, just perlu tawakal. Percaya Allah kan?
Sun Apr 19 03:32:34 PDT 2015 --  Even if I'm not tweeting.. I'm always here. A l w a y s Scrolling. Judging. Judging. Scrolling. That's right I see everything
Mon May 11 00:46:42 PDT 2015 --  Almost 1years
Mon May 11 00:25:55 PDT 2015 --  Akhir zaman ni ramai manusia yg keliru. Contohnya dia cukur kening lepastu lukis balik. Tak pasti nk kening ke tak nak.
Sun May 10 19:53:32 PDT 2015 --  anak Sultan paling comel aku rasa setakat ni. rilek je pakei seliper atas karpet kuning comei hoi!!! pic.twitter.com/6rZmbIJkOQ
Sun May 10 23:59:47 PDT 2015 --  Just now, got someone yelled out about banana-boat. FYI, banana-boat is not safe at all. Better, don’t ever ride it.
Mon May 11 00:44:19 PDT 2015 --  Oi budak serabut .. Aku xtahu , aku rasa mcm bedosa sebab suka kat kau . kalo ada peluang , aku sendri p meminang kau !
Sun May 10 01:50:38 PDT 2015 --  Tertipu sebenarnye.. Haha #kenastudysenyap2jugak https://twitter.com/heart_kl/status/597289587296239616 …
Sun May 10 02:06:41 PDT 2015 --  WE ALL LOVED THESE SHOWS pic.twitter.com/mdVtBfMiNb
Sun May 10 02:32:34 PDT 2015 --  Homesick
Sun May 10 02:28:31 PDT 2015 --  Duit 1MDB gagal dikesan..MH370 dan MH17 senyap tanpa berita.Dalang pembunuh Altantuya dan Lahad Datu 'ghaib' You know what THIS IS MALAYSIA
Sat May 09 19:14:39 PDT 2015 --  Hadis Nabi mengenai wanita; "saat seorang wanita mulai sakit bersalin, Allah catat pahala org yg berjihad pada jln Allah." Selamat hari ibu
Sun May 10 00:26:30 PDT 2015 --  A: bro tahniahlah trcapai cita2 ko jd saintis ea. B: alhamdulillah la bro. A: tu ank perempuan ko ea, siapa nama dia? B: Siti Nurbakteria.
Sat May 09 07:20:17 PDT 2015 --  Barangsiapa bersikap sombong, maka ia kelak akan menemui Allah swt dalam keadaan amat marah kepadanya (HR.Hakim )
Sat May 09 01:06:01 PDT 2015 --  1. FELDA. 2. KWSP. 3. Tabung Haji. 4. Socso. Dipengerusi & dinasihati orang UMNO. Depa kata Hidup Melayu, tapi depa rompak Melayu.
Tue Jan 20 22:00:08 PST 2015 --  pic.twitter.com/iTyGtsz5FD
Sat Apr 25 08:13:48 PDT 2015 --  Berani kata Tun tak paham GST. Dokter Mahathir ni power kot. Kalau dia ambek course GST dia dapat pointer penuh 4.06 0.06 tu GST
Sat Apr 25 06:31:36 PDT 2015 --  Kenapa kena simpan bodoh ? Sebab nak bagi sikit dekat anak cucu.
Sat Apr 25 08:29:58 PDT 2015 --  Jarang nak jumpa orang yg baru jumpa berapa minit dah boleh jadi best friend. Sporting gila.
Sat Apr 25 08:30:27 PDT 2015 --  The "always hungry" squad, are you in? pic.twitter.com/KhPh5a9X0N
Fri Apr 24 02:51:32 PDT 2015 --  Cikgu: murid2, tugasan hari ni adalah untuk melukis gambar manusia. Murid: okay cikgu dah siap. pic.twitter.com/zHJhlsE7GL
Tue Apr 21 04:28:44 PDT 2015 --  Di facebook, gambar ni org komen subhanallah indahnya ciptaan Allah. Kalau di instagram org komen apps apa bro. pic.twitter.com/xkghN9YkmQ
Tue Apr 21 08:25:21 PDT 2015 --  Apa guna muka lawa tapi kencing tak reti flush.
Tue Apr 21 08:07:07 PDT 2015 --  RT jika anda bancuh nestum menggunakan ratio: 100 sudu nestum, Suku cawan susu.
Tue Apr 21 07:58:05 PDT 2015 --  Nyamuk adalah peneman hidup aku dari aku lahir sampai sekarang. Walaupun aku pernah pukul dia berkali kali, dia tetap disisi ku. Thanks :')
Tue Apr 21 07:53:52 PDT 2015 --  We can't control what comes out from other people's mouth.
Thu Sep 11 07:28:22 PDT 2014 --  student medik: cuba teka appendix kat bahagian mana? student kejuruteraan: appendix kat bahagian last sekali selepas reference
Mon Apr 20 21:41:33 PDT 2015 --  adik Nur Farisha perlukan bantuan,tak mampu menyumbang,sebarkan pun cukup.Sama2 kita doakan kesihatannya. InsyaAllah pic.twitter.com/d11qZBOh87
Mon Apr 20 21:02:30 PDT 2015 --  Lebih sanggup aku duduk exam drpd aku mbik result exam
Sun Apr 19 09:30:55 PDT 2015 --  Sebelum tidur, tolong RT ni please. Saya hargai pertolongan anda. Terima kasih. Got this from friends. pic.twitter.com/bIchCcwXkm
Sun Apr 19 00:00:21 PDT 2015 --  My maturity level depends entirely on who I'm with.
Sun Apr 19 06:14:28 PDT 2015 --  Lelaki ni, kalau bab hint diorang lembab, kalau bab double meaning ni laju.
Sun Apr 19 04:08:13 PDT 2015 --  Maghrib dah masuk bulan Rejab, selepas itu Syaaban kemudian Ramadhan. ~Bulan Allah~ #SalamRejab pic.twitter.com/aMbgReBYmM
Sat Apr 18 19:00:00 PDT 2015 --  "Sometimes work is the only thing, the only answer". - Stephen King.
Sat Apr 18 17:30:00 PDT 2015 --  "You cannot be lonely if you like the person you’re alone with" - Dr. Wayne Dyer.
Sat Apr 18 12:00:25 PDT 2015 --  Allah did not give you or me the license to see what is in someone’s heart. Allah even sent Fir’own a reminder!
Sat Apr 18 16:17:14 PDT 2015 --  Every time you drink an ice-cold glass of water your skin thanks you by glowing brighter.
Mon Mar 09 08:06:11 PDT 2015 --  Movie will always be movie. Real life will always be real life.
Sat Apr 18 01:40:01 PDT 2015 --  Satu lelaki yang curang, habis semua lelaki yang kena maki. Terbaik toqq !
Sun Apr 12 07:59:39 PDT 2015 --  Baca doa ni kalau ada orang jatuh hati kat hampa. pic.twitter.com/JVgoESlIMS
Sat Apr 18 07:00:39 PDT 2015 --  Kesiannya kereta kawan saya kena macam ni dek parking kereta kat valet The Gardens :( pic.twitter.com/tamHUmWQt3
Tue Apr 14 02:22:12 PDT 2015 --  baik takyah pakai spender. nnt berbau pulak vagina tu kakaka pic.twitter.com/m6Rs0niEiW
Fri Apr 17 22:30:21 PDT 2015 --  my mom is telling me “get a good job” but my heart is telling me “marry rich”
Fri Apr 17 09:33:01 PDT 2015 --  siapa phone dia tak guna gambar sendiri jadi wallpaper?
Thu Apr 16 04:38:51 PDT 2015 --  "Starbucks writes your name, but mamak remembers your name"
Fri Apr 17 22:07:37 PDT 2015 --  Pulau Tinggi Johor. pic.twitter.com/0WqZLBzmEu
Thu Apr 16 05:40:41 PDT 2015 --  me every hour pic.twitter.com/Pj2KqrwFh2
Fri Apr 17 22:25:09 PDT 2015 --  Aku rasa manusia yg letak motosikal tmpt parking kereta tu lebih teruk dpd manusia yg xbagi signal .
Fri Apr 17 17:25:56 PDT 2015 --  Chocolate Chip Cookie Dough Stuffed Oreos ^ pic.twitter.com/5ja95HTZEV
Sat Jan 10 22:16:38 PST 2015 --  "Aib tu macam mana?" "Aib tu sebenarnya dosa kita. Perkara yang memalukan kita. Sebab itu kena jaga aib saudara sesama kita, agama kita."
Sun Jan 18 05:15:27 PST 2015 --  Jangan lewat-lewatkan solat. Tak pun solat kejap lagilah. Tak sempat nanti, baru tahu erti penyesalan.
Thu Jan 29 15:39:46 PST 2015 --  "Cukup2 la tu dok melekat tangan dengan mata tu kat phone, weh!" "Bro, aku tengah baca Kahfi ni. Do you mind? Kau dah?" - Hlovate.
Tue Aug 19 05:25:27 PDT 2014 --  Nah, buat hati yang bersedih! Allah pujuk kita dengan ayat cinta Dia. pic.twitter.com/0wNztXFQ0N
