Fri Aug 28 04:54:00 PDT 2015 --  今年の奈良女企画手の込み用では一番だと思う。
Sun Apr 12 07:49:27 PDT 2015 --  スマホのデータ移行終わらない。 寝られない。
Sun Apr 12 07:31:09 PDT 2015 --  とうとうスマホを変えた！ AQUASPHONE mini pic.twitter.com/gkS1KO8xlf
Sat Apr 11 18:17:56 PDT 2015 --  TLみてて思ったけど、ほんぬがあっきーたちが寝てる部屋に勝手に入るのは問題ないんだな。逆はまずいのに。
Fri Apr 10 15:37:37 PDT 2015 --  晴れたぞ。 さぁ新入生新歓に来るんだ〜
Fri Apr 10 11:36:09 PDT 2015 --  パン、パン、パン…
Fri Apr 10 11:35:11 PDT 2015 --  akym家にパン忘れた。 せっかく買ったのに( ･´ω･｀)
Fri Apr 10 11:28:37 PDT 2015 --  寝る
Thu Apr 09 16:05:42 PDT 2015 --  館下並んでるなぁ。 やはりタダの力か。企画としては成功だな。
Thu Apr 09 07:34:47 PDT 2015 --  京とれいんの扇子いいなぁ〜
Tue Apr 07 18:27:45 PDT 2015 --  あれ？sbtは見つけたけどkndはみなかったぞ。マテなのか。
Sun Apr 05 16:53:43 PDT 2015 --  今年度の機械専攻女子5人か。多いな(クラス分けを見ながら)
Sun Apr 05 16:46:33 PDT 2015 --  工学部のHPでは7日(月)←？から授業開始だったので吹田に行く。 掲示で授業は7日(火)からだと知る。 でも今日ガイダンスがあった。←今ココ
Sun Apr 05 07:40:05 PDT 2015 --  再履バス8日まで動かんのか。 雨が降ったら通学大変だな。(なお明日は雨…)
Sun Apr 05 04:02:25 PDT 2015 --  Patioの同期でmoon walkっていうバーに来てます。 pic.twitter.com/EJkuHFRcOh
Sat Apr 04 20:42:29 PDT 2015 --  この時期に梅田来ると新生活、新作の商品がいっぱいあってワクワクするよね。 (買うとは言ってない)
Sat Apr 04 18:22:33 PDT 2015 --  履修登録しようと思ったら"期間外"ってでてマジで焦った…間に合わなかったのかと思った。
Sat Apr 04 15:22:48 PDT 2015 --  雨だあ〜( ･´ω･｀)
Fri Apr 03 09:25:36 PDT 2015 --  真夜中の癒やされて〜TLをスクショした。
Fri Apr 03 07:55:16 PDT 2015 --  超弦理論？？
Fri Apr 03 06:40:10 PDT 2015 --  この1週間、昼食と夕食が一緒だったけど別に問題なかった。 いつもの３食目はいったいどこへ行ってるのか？
Fri Apr 03 06:37:19 PDT 2015 --  ２週間に渡るバイト週間がやっと終わった！ とおもったら、春休みもほぼ終わってた。
Thu Apr 02 06:18:33 PDT 2015 --  皆が花見してるのに対抗して、 石橋〜宝塚〜西北〜梅田の阪急車窓花見してきた。 逆瀬川&武庫ノ荘らへんがきれいだった。
Tue Mar 31 00:22:17 PDT 2015 --  さくら見に行きたい。 でも、今週はずっとばいと…
Mon Mar 30 07:39:51 PDT 2015 --  3/10はちゃんと開けた。
Mon Mar 30 06:35:41 PDT 2015 --  メーリス送れないんだけど…
Sun Mar 29 09:00:38 PDT 2015 --  結局ネタ記事は書きかけだ…
Sun Mar 29 06:54:38 PDT 2015 --  部誌のネタ記事書くかな。(残り1時間)
Mon Mar 23 18:55:27 PDT 2015 --  きのう萩谷に試走行った時に練習してた大曲工業高校勝った！
Mon Mar 23 07:34:51 PDT 2015 --  4月はもう十分予定が入っているから、新たに楽しい予定を入れることができなくて悲しい。
Sun Mar 22 05:18:56 PDT 2015 --  iPhone6以外に小さいのな。 新スマホの候補になるか。
Sat Mar 21 07:29:19 PDT 2015 --  ちくちリア充なの？
Fri Mar 20 06:39:11 PDT 2015 --  女の子は髪結ばないと印象変わるな。
Fri Mar 20 00:38:43 PDT 2015 --  関西以外からこんなに来てるなら、前日大会行きたかったなぁ…
Thu Mar 19 18:50:04 PDT 2015 --  取れる授業全部とるのは今セメは難しそうだなぁ。興味ないやつは切らないと。
Thu Mar 19 08:28:28 PDT 2015 --  一週間前のこの時間はちょうどみんなで人狼をしてた頃。 一つ上の先輩達はいったいなにしてんだ!?
Sun Mar 15 01:17:30 PDT 2015 --  暇つぶしにいいかも。(途中で寝そうだけど)
Fri Mar 13 19:25:20 PDT 2015 --  FBにティアを招待したし、うまく使っていかないとなぁ。
Thu Mar 12 18:40:13 PDT 2015 --  とうとう実現。 しまなみサイクリング！ pic.twitter.com/ApBVthrC6V
Thu Mar 12 07:05:15 PDT 2015 --  同期腕相撲大会なう。
Thu Mar 12 05:56:06 PDT 2015 --  今日の宿は来島海峡大橋のたもとです。 pic.twitter.com/17UoDHlwBs
Thu Mar 12 01:03:49 PDT 2015 --  高松はかなり街だった。 pic.twitter.com/Xs6r8hrq3P
Wed Mar 11 05:58:41 PDT 2015 --  ちくちも同期旅行！？
Wed Mar 11 04:05:17 PDT 2015 --  乗換の余裕とか見てるとJR大阪駅まで家から1時間かかる。遠すぎ。
Sun Mar 08 20:12:22 PDT 2015 --  いい時間で名古屋についた。 きしめんうまい。 pic.twitter.com/3NI6vFsnjp
Sun Mar 08 12:34:09 PDT 2015 --  こんないいホテルなのに、30分で風呂上がって、20分で夕飯食べたのとてももったいない。
Sun Mar 08 12:18:05 PDT 2015 --  負けそうで負けないあっきー。
Sun Mar 08 09:30:12 PDT 2015 --  阪大ほぼ起きてる。強い。
Sun Mar 08 06:59:49 PDT 2015 --  おーたけにきちんと会えた。 うれしい。
Thu Mar 05 03:48:43 PST 2015 --  ちくちといわおがツインと云う噂だったけど違ったな。
Wed Mar 04 19:43:37 PST 2015 --  手羽先と牛すじどて煮 pic.twitter.com/y1y5D9vyI0
Wed Mar 04 19:39:12 PST 2015 --  名駅まで来た。ツインタワー立派。 pic.twitter.com/BE8UGVyZ43
Wed Mar 04 16:18:53 PST 2015 --  大阪出発。 16時新城着だから余裕ありあり。
Wed Mar 04 07:54:45 PST 2015 --  あっきーは"いうていけるっしょ"勢であると思ってたのになぁ…
Wed Mar 04 07:51:15 PST 2015 --  明日は早くないけど、もうそろそろ寝なきゃ。
Wed Mar 04 04:06:28 PST 2015 --  【ゆるぼ】 3/10or11or15に東山花灯路に一緒に行ってくれる人。
Tue Mar 03 18:01:51 PST 2015 --  家の梅にメジロがきてて"春"を感じさせる pic.twitter.com/8Vc3n1MREL
Tue Mar 03 17:34:09 PST 2015 --  インカレ明日出発なんだよなぁ〜
Mon Mar 02 21:58:15 PST 2015 --  今日は3月3日ひな祭り pic.twitter.com/IlPkhTrKK4
Mon Mar 02 20:16:01 PST 2015 --  伊勢神宮に来た！ 友達の車で来たので安い。 pic.twitter.com/EQ50hi5kK5
Sun Mar 01 02:56:36 PST 2015 --  チーズフォンデュパーティだった。 今は激辛ラーメン… pic.twitter.com/iVB4hIQr2P
Sun Mar 01 02:49:24 PST 2015 --  キムからもらった激辛ラーメンを試食。 pic.twitter.com/mkzapvQvJp
Sat Feb 28 04:57:10 PST 2015 --  雨降ってあっきーの髪がペタっとしていた時の写真…
Sat Feb 28 04:14:48 PST 2015 --  ポニーテイル顔にあてるイメージは後ろから抱きしめる感じ。
Fri Feb 27 18:05:06 PST 2015 --  インカレの宿、夕食の手配で苦労した感が伝わってくる… 施設内で提供されるのはありがたい。
Fri Feb 27 14:09:25 PST 2015 --  太陽の光で7時より前に起きれるようになったのに春の訪れを感じる。
Fri Feb 27 07:46:16 PST 2015 --  この頃同期で気になる動きが有り過ぎる( ･´ω･｀) 日曜日にいろいろ聞くかな。
Thu Feb 26 20:27:15 PST 2015 --  家出ようとすると雨降り出すのやめてほしい。
Wed Feb 25 17:19:14 PST 2015 --  新人運営と2定の写真onedriveに追加しました。
Tue Feb 24 20:19:53 PST 2015 --  梅田→尼崎→なんば→尼崎→西宮→元町 と阪神乗るために遠回りしてる。
Tue Feb 24 20:17:02 PST 2015 --  1dayパスを使って神戸へプチトリップ。 阪神電車初乗車！ pic.twitter.com/EXNgLp7CUT
Sun Feb 22 06:11:53 PST 2015 --  びしょ濡れの服たちとの戦いがまだ残っている。
Sun Feb 22 06:10:01 PST 2015 --  帰宅しました。 直前合宿合宿とても良かった！ やっぱり愛知のテレインは好きです。
Thu Feb 19 19:48:50 PST 2015 --  テスト中、勉強に使っていた思考を休み中はどこに使うか。
Thu Feb 19 19:45:04 PST 2015 --  TLから春休みなって暇してる感がすごく伝わってくる。
Wed Feb 18 06:03:20 PST 2015 --  “大丈夫”って表現は万能。 でも、もう少しきちんと伝えたい気もする。
Wed Feb 18 05:58:19 PST 2015 --  ミニコンポとそのポイントで買ったドライヤーのおかげで、生活レベルがアップした。
Sat Feb 14 05:42:13 PST 2015 --  今更だけど、明日のウェスタンって名大まで参加するすごい大会なんだな。
Mon Feb 09 22:17:04 PST 2015 --  直前合宿後の1週間何も予定ないから、奈良にでも行こうかな
Mon Feb 09 22:15:38 PST 2015 --  春休みだ＼(^o^)／ 始まってすぐ同期会あるの素晴らしい。
Sun Feb 08 06:17:22 PST 2015 --  これは同期会で広島風お好み焼きが作れるかもしれない(*ﾟ∀ﾟ)
Sat Feb 07 05:42:57 PST 2015 --  今日のほんぬの腹筋の回数すごく多いだろうな〜
Wed Feb 04 19:23:25 PST 2015 --  ボリュームさえ求めなければ4食は最強。 これだの種類食べられて400円! pic.twitter.com/tkxbNr5VXg
Mon Feb 02 21:34:22 PST 2015 --  ( 'ω')みなさん ( 'ω')心して聞いて下さい ( 'ω')@ともすけがぶつけて欲しいのは豆ではありません ( 'ω')枕です ( 'ω')枕をぶつけるのです http://shindanmaker.com/428234  枕投げなら応戦しまっせ
Mon Feb 02 05:57:59 PST 2015 --  こういう会話を聞いてると後夜祭に行ってみたくなるんだよなぁ〜
Mon Feb 02 05:15:36 PST 2015 --  テストは早く終わって欲しいけど、4セメはまだ終わってほしくない。
Fri Jan 30 06:41:00 PST 2015 --  間違って阪大奈良女LINEに あした図書館で勉強する人いない？ と送りそうになった。あぶなかった。
Fri Jan 30 05:57:43 PST 2015 --  今年はインカレミドルいく。 後夜祭もいく。
Fri Jan 30 02:22:27 PST 2015 --  【家電ニュース】 北近畿電器が160秒でほくほくのご飯が炊けるGG(Great Gohan)モードを搭載した新型炊飯器「特急炊けたか」(SRE683-8000)を発売。価格は68,300円 http://bit.ly/1zljOPH  pic.twitter.com/wvw1hKKZ6y
Thu Jan 29 19:34:52 PST 2015 --  ファミールの給湯器壊れすぎ 6台中3台しか使えないとか…
Wed Jan 28 03:14:08 PST 2015 --  テスト期間はジャグリングの練習がはかどる。 直前合宿までにはなんとか形にしたいな。
Mon Jan 26 15:48:58 PST 2015 --  全部ほんぬ。 (しかも、チャレンジ成功してる) pic.twitter.com/3gptDclno3
Sun Jan 25 06:37:55 PST 2015 --  じっとーの関西同期会のLINEみてこういう感じをチャラいというのかと感じた。
Sat Jan 24 17:00:34 PST 2015 --  筑波大大会のハッシュタグのついたコメントをスクリーンに映すという企画。 とても面白い。 pic.twitter.com/LHavjifHZV
Fri Jan 23 18:32:57 PST 2015 --  これ面白いな@渋谷駅ホーム 需要あるかも pic.twitter.com/QkpvDGt8dl
Fri Jan 23 17:22:57 PST 2015 --  若者の街(？)渋谷なう。 pic.twitter.com/WmXHyuga3I
Fri Jan 23 15:51:23 PST 2015 --  ちくちと同じ風景をみて “山の手と下町”“東京の台地地形”というワードが思い浮かんだ。 pic.twitter.com/atwfd1CMbk
Fri Jan 23 07:49:46 PST 2015 --  東京に行ってきます！ pic.twitter.com/ThX3Yjbv4F
Fri Jan 23 05:14:44 PST 2015 --  今から東京行くっていう実感が全然わかない。 よく考えたら大学生になって東京に行くのは初めて。
Thu Jan 22 08:03:27 PST 2015 --  明日のこの時間にはサンライズの中(*´ω｀*)
Wed Jan 21 06:55:09 PST 2015 --  勉強しなきゃいけない、調べたいことがどんどん出てきて全然できない。
Tue Jan 20 04:49:21 PST 2015 --  JR日光線が想像以上にローカル線で、びっくりしてる( ﾟдﾟ) 東武使えばいいんだけど、乗り換えのタイミングがどこなんだろう。
