Sat Aug 29 03:33:52 PDT 2015 --  at least it's light out, thank god
Sat Jun 06 22:03:19 PDT 2015 --  i think this smartfood might be moldy but i can't tell because it's already white
Sat Jun 06 21:35:22 PDT 2015 --  person: sarcastic mean comment me: sarcastcally offended person: oh my god i'm so sorry i was just kidding me: ....
Sat Jun 06 09:50:18 PDT 2015 --  Cool Fact: Helium was discovered on the Sun before it was discovered on Earth. Was thus named for Helios, the Greek Sun god.
Sat Jun 06 08:32:25 PDT 2015 --  last night my dad noticed that the car's registration expired in january. how did we miss that for 5 months and how didn't i get pulled over
Fri Jun 05 09:04:10 PDT 2015 --  I would love to be a part-time mom.
Thu Jun 04 18:44:34 PDT 2015 --  If the cheese on a 14-inch pizza falls just 1-inch shy of the crust, the pie is missing 30% of the cheese that could be there
Thu Jun 04 18:35:57 PDT 2015 --  Odd that pizza is sold by the inch, but consumed by the square-inch. This fact confuses assessment of pricing and toppings.
Thu Jun 04 10:30:00 PDT 2015 --  "Quiet," Mother hisses. "It's the Elder's Speech." The futuristic hologram projector lights up by the basin where we still wash our clothes.
Thu Jun 04 07:23:19 PDT 2015 --  Photo courtesy of Barbara Wright Simmerman pic.twitter.com/3dG7vRYmeg
Wed Jun 03 18:25:07 PDT 2015 --  "I realize I've been holding my breath" (An excerpt from Blood Destined, the third book In The Categories trilogy)
Wed Jun 03 11:32:33 PDT 2015 --  "I bite my lip." (An excerpt from Blood Bound, the second book In The Categories trilogy)
Wed Jun 03 10:14:01 PDT 2015 --  I got lost for awhile today. It was scary but interesting. I met some new trees. I am a bear.
Wed Jun 03 07:59:02 PDT 2015 --  "I take a deep breath." (An excerpt from Blood Chosen, the first book In The Categories trilogy)
Tue Jun 02 19:30:14 PDT 2015 --  Last one: The Latinized name for Earth is Terra. If you are human "of the Earth" you are Terrable. (Just kidding, Earthlings)
Tue Jun 02 19:20:31 PDT 2015 --  Venus is the Roman goddess of love & sexuality. And so medical doctors assigned Venereal - “of Venus” to all related diseases
Tue Jun 02 14:20:55 PDT 2015 --  I like to gossip about people I don't even know.
Mon Jun 01 19:35:19 PDT 2015 --  rick steves is the most boring person ever
Mon Jun 01 16:19:50 PDT 2015 --  when you fall asleep with your cat on you and you wake up with a different cat on you
Mon Jun 01 13:16:45 PDT 2015 --  you know what's worse than dropping your phone on your face? dropping your phone on your cat's face...sorry lily
Sun May 31 08:34:40 PDT 2015 --  "did you break the stove?" yeah dad like i ever cook
Sat May 30 20:56:48 PDT 2015 --  "This System seems to care a lot about whether two 16-year-olds fuck or not," I say. Anthem nods solemnly.
Fri May 29 16:55:12 PDT 2015 --  You can talk to the sky.
Fri May 29 16:38:09 PDT 2015 --  "I love you Val. I love the way you never really smile or say anything original. I love how we've never actually talked much. I want you."
Thu May 28 14:08:11 PDT 2015 --  How many leaves have you eaten today? I have eaten twelve. I am a bear.
Wed May 27 17:12:16 PDT 2015 --  You. Are. Not. An. Object.
Wed May 27 09:54:36 PDT 2015 --  Time for an afternoon nap on the nest.
Tue May 26 18:48:35 PDT 2015 --  why is the ground wiggling
Tue May 26 09:29:43 PDT 2015 --  I spent a considerable amount of time today thinking about what life would be like if my fur were made of leaves. I think it would be neat.
Tue May 26 09:31:33 PDT 2015 --  His green eyes flash and I glare at him with my green eyes. Our green eyes meet. He smirks.
Tue May 26 06:29:46 PDT 2015 --  Report: PA dishes out $3.2 billion in fossil fuels subsidies while state faces $1.5 billion deficit | PublicSource http://publicsource.org/from-the-source/report-pa-dishes-out-32-billion-fossil-fuels-subsidies-while-state-faces-15-billion#.VWR1RrcRNAL.twitter …
Mon May 25 13:23:57 PDT 2015 --  Thinking the World today is particularly violent? During World War II, an average of 1,000 people were killed per hour
Sun May 24 12:46:52 PDT 2015 --  "I can be fun!" "Fun people don't say that."
Sun May 24 00:50:24 PDT 2015 --  i have come to a point in my life where i make popcorn at 3:50am
Sat May 23 20:42:01 PDT 2015 --  "ugh i just can't stand gangs" #PopularOpinionMom
Sat May 23 20:19:14 PDT 2015 --  I wonder who was the first person to see a bird soaring high above & think it a good idea to capture it and lock it in a cage
Sun May 10 20:04:13 PDT 2015 --  If more single women had this mentality they'd be happier pic.twitter.com/LmxyfoPuhG
Fri May 22 20:13:57 PDT 2015 --  "ten bucks a month for his phone. AND IT HAS A FLASHLIGHT" -my mom convincing my dad they should get old person phones like my grandpa's
Fri May 22 14:18:31 PDT 2015 --  Sometimes even I can't tell if I'm being sarcastic.
Fri May 22 18:17:41 PDT 2015 --  Grass smells nice.
Fri May 22 17:19:36 PDT 2015 --  ravioli always sounds so much better than it is
Thu May 21 12:31:58 PDT 2015 --  if i had $1 every time a customer tried to swipe a card that had a barcode and no magnetic strip, i wouldn't have to be a cashier anymore
Wed May 20 07:33:51 PDT 2015 --  It's worth sharing pic.twitter.com/KhgvE7mRfQ
Tue May 19 21:24:22 PDT 2015 --  why do they have to end every episode of game of thrones with a rape scene? it's so upsetting and makes me regret watching at all
Tue May 19 19:36:47 PDT 2015 --  forgive and forget? forgive but don't forget? i say forget but don't forgive: retain a lasting hatred you'll never remember the origin of
Tue May 19 09:53:27 PDT 2015 --  shows up to the exam covered in eraser bits like they're glitter and i'm kesha
Mon May 18 17:37:44 PDT 2015 --  Birds like gatherings but do not like it when I try to join their gatherings. I have forest concerns to contribute to the gatherings, birds.
Mon May 18 17:20:03 PDT 2015 --  i would settle for either rn tbh https://twitter.com/UglyDuckling_AD/status/586756036461068289 …
Sun May 17 22:35:20 PDT 2015 --  Thanks Santa Barbara https://instagram.com/p/2z8HpJusmw/ 
Sun May 17 19:44:40 PDT 2015 --  *cries into potato chips because i don't want it to be almost tuesday*
Sun May 17 10:15:13 PDT 2015 --  Thank you for the extraordinary honor @DickinsonCol. pic.twitter.com/Doo1k5aANV
Sun May 17 09:19:48 PDT 2015 --  Ermias looks at the fish symbol on his foot and grimaces. "So I guess it's Oceanaers for me," he says with a half-smile.
Sun May 17 08:19:10 PDT 2015 --  "You know what my favorite part of rollercoasters are? The transition from potential to kinetic energy." -Chris
Sat May 16 20:11:44 PDT 2015 --  if the NSA is reading my text messages, they're probably laughing at how awkward i am
Sat May 16 19:01:01 PDT 2015 --  google, you're scaring me pic.twitter.com/hDBlmOiqLi
Sat May 16 09:21:16 PDT 2015 --  Everyone is born with a symbol on the sole of their foot, corresponding to their Sub-Category. My foot only has a word: CHOSEN
Fri May 15 23:01:29 PDT 2015 --  the volume at which i speak is directly correlated to how highly i value myself as a human being
Fri Nov 21 22:07:25 PST 2014 --  I got knocked down but I couldn't get up again. #VodkaDrink
Thu May 14 16:13:38 PDT 2015 --  i'm not sorry but i feel a strong urge to apologize so now what
Thu May 14 14:52:44 PDT 2015 --  The only thing more powerful than the System is Love.
Thu May 14 14:19:34 PDT 2015 --  Look what our show runners have in their offices xx pic.twitter.com/7IaGg3pnG4
Thu May 14 13:54:05 PDT 2015 --  Words that ring truer than ever today: "Human rights are women's rights, and women's rights are human rights." #TBT pic.twitter.com/1TUHtcmawR
Thu May 14 12:14:50 PDT 2015 --  My daily objective is less about goal achievement and more about regret management. #AimLow
Thu May 14 09:33:28 PDT 2015 --  Forgot to tell you guys I’m a Fashion Consultant for #VEEP ;) @miumiuofficial pic.twitter.com/0M3wuEm3DS
Wed May 13 19:31:50 PDT 2015 --  sometimes you want to go where everybody knows your name
Wed May 13 16:16:43 PDT 2015 --  everything at target is red because YOU'RE IN HELL
Wed May 13 15:51:30 PDT 2015 --  me: i need a job dad: did you check craig's list?
Wed May 13 13:38:40 PDT 2015 --  @HayleyAtwell what are your thoughts about this? pic.twitter.com/m7xO1sjZWX
Wed May 13 13:01:56 PDT 2015 --  NOOOOOOOOOO I DON'T WANNA GO BACK TO TARGET
Wed May 13 10:55:05 PDT 2015 --  I watch the Leader's speech on the Hologram Wall and I feel uneasy.
Wed May 13 09:29:37 PDT 2015 --  3.14 isn't a great GPA but i'm a math major so i enjoy the fact that it's pi
Mon May 11 18:30:21 PDT 2015 --  why am i studying when i'd rather be watching star trek
Mon May 11 12:15:45 PDT 2015 --  The System chooses your spouse for you with 100% accuracy. So why do I have these strange feelings when I see Anthem?
Mon May 11 10:31:43 PDT 2015 --  OpenupureyesustupidchildcoveringurearsAtleastwatchmylipsmove.CuzI'mdyingtryingtotellu.Iloveumorethaneverdntusee. Babyuneedto.BabyIneeeeeeedu
Mon May 11 09:16:53 PDT 2015 --  Sister Helen Prejean testifies against the death penalty, infuriating followers of Jesus, who was also against the death penalty.
Mon May 11 04:28:03 PDT 2015 --  Accept no one's definition of your life; define yourself.
Sun May 10 17:52:39 PDT 2015 --  A moment of silence for all of the fictional mothers that had to die in the name of tragic back story and character development.
Sun May 10 13:30:28 PDT 2015 --  I miss my sister, and the chickens from our backyard. Sometimes I even miss my nondescript generic unhelpful mother.
Sun May 03 13:10:17 PDT 2015 --  @ marvel this is important pic.twitter.com/CLhG5tdt3l
Sun May 10 11:05:21 PDT 2015 --  Mr james D'Arcy https://instagram.com/p/u14kqOOPvn/ 
Sat May 09 13:44:36 PDT 2015 --  Before we enter the Facility, they ask us to change out of the beige tunics of Childhood and into the grey tunics of Adulthood.
Fri May 08 07:01:03 PDT 2015 --  Beth Barry from Sociology and Labor Studies honored with the Distinguished Graduate Staff award. #umass2015 pic.twitter.com/PVVcN9PdGm
Fri May 08 15:10:03 PDT 2015 --  "If you are not scientifically literate in the 21st century, you have disenfranchised yourself."- @neiltyson at UMass Commencement #umass2015
Fri May 08 14:56:07 PDT 2015 --  MAKE IT STOP
Fri May 08 14:30:12 PDT 2015 --  "you are smart" *crowd laughs*
Fri May 08 14:17:21 PDT 2015 --  "the origin of the motarboard is unknown" pretty sure it started as a sun hat
Fri May 08 14:13:13 PDT 2015 --  nice mace bruh
Fri May 08 13:48:10 PDT 2015 --  how long does it take to walk into a stadium and sit down jfc
Thu May 07 19:30:28 PDT 2015 --  If you removed all the arteries, veins, & capillaries from a person's body, and tied them end-to-end, the person will die.
Thu May 07 21:39:16 PDT 2015 --  i've done an exit poll. don't bother looking at the results https://twitter.com/NateSilver538/status/210185033284190210 …
Thu May 07 14:14:06 PDT 2015 --  I'm the best kind of feminist icon - the kind who does everything people tell her to do while worrying about it the entire time.
Thu May 07 13:01:42 PDT 2015 --  I slept under a tree.
Thu May 07 12:03:04 PDT 2015 --  March was the first month that the entire globe broke 400 ppm, reaching levels that haven't been seen in 2M years. http://ow.ly/MF9IJ 
Wed May 06 17:29:35 PDT 2015 --  i'm convinced the purpose of a 21st birthday party is to give your friends a fun story to make fun of your drunkenness with
Wed May 06 10:23:33 PDT 2015 --  I poured goldfish crumbs on my friend and threw vodka down my roommate's throat when she woke up so I'm a terrible person.
Tue May 05 23:39:03 PDT 2015 --  tmlt it was @TaylorBronson and @caseywiener. @SoJen824 did nothing
Tue May 05 23:37:44 PDT 2015 --  finally got hazed tonight. this girl poured pizza goldfish on me and some guy ate them off my chest
Tue May 05 22:32:59 PDT 2015 --  when did my hands get so old? they look like a mom's hands when did i get so old
Tue May 05 04:20:11 PDT 2015 --  If I stay in the same spot for a long time, maybe my fur will grow into roots, piercing the ground and absorbing nutrients and grounding me.
Tue May 05 07:15:44 PDT 2015 --  California Farmers Are Watering Their Crops With Oil Wastewater http://thkpr.gs/3654388  via @climateprogress @WaterWarriorOne
Mon May 04 17:27:07 PDT 2015 --  https://instagram.com/p/2R7P0hu1ap/ 
Mon May 04 16:40:37 PDT 2015 --  We all stand in line for The Test. Everyone else looks so confident. Am I the only one terrified?
Mon May 04 12:48:01 PDT 2015 --  when you're waiting at the doctors and it's been 20 minutes and you wonder if they've forgotten you
Mon May 04 09:07:15 PDT 2015 --  Most of the interviews I do. pic.twitter.com/FHiA3eJiWv
Fri Apr 10 10:52:49 PDT 2015 --  I'm sure everything will be fine. I'm sure of lots of things that are wrong. I'm highly fallible.
Thu Apr 23 13:27:58 PDT 2015 --  On this day in history, people who have since been forgotten created things that will never be found nor understood.
Mon Nov 12 07:33:30 PST 2012 --  When a person dies and no one will miss them, the mourning is assigned to a random human. This is why you sometimes just feel sad.
Sun May 03 15:28:17 PDT 2015 --  "i deserve this" i whisper to my cookie as i eat it. "no you don't" it responds resentfully as i tear it in half
Sun May 03 13:18:27 PDT 2015 --  Did everyone get a chance to sniff at the sun today? You might actually smell it if you sniff hard enough. I am a bear.
Sat May 02 22:44:03 PDT 2015 --  you don't really notice how much oil is in your food until you're unwrapping it from a dining hall napkin
Sat May 02 15:11:11 PDT 2015 --  I saw two mice fighting today and it was very upsetting and I could not do anything about it and I hope they are both okay and please stop.
Sat May 02 12:36:09 PDT 2015 --  17 years ago today, the Battle of Hogwarts took place.
Sat May 02 12:13:58 PDT 2015 --  Baelem adjusts his tunic and gazes deep into my eyes. "You were the first trueborn daughter born to the Neverwoods clan in 100 years."
Sat May 02 19:16:11 PDT 2015 --  when you get back from the bathroom and realize you left your journal open and your supervisor almost definitely read it
Sat May 02 16:48:54 PDT 2015 --  that disappointing life moment when you realize you're sitting in the dining common dipping french fries in melted chocolate
Fri May 01 16:43:22 PDT 2015 --  having a great night except sam the miuteman is terrorizing me
Fri May 01 09:58:31 PDT 2015 --  Grandparents call me to sing Happy Birthday. Grandma casually slips in the questions "how's your boyfriend?" and "are you drunk?"
Fri May 01 03:52:56 PDT 2015 --  woke up before my alarm. i never wake up before my alarm, so naturally my first thought on opening my eyes was that i missed my exam...aaack
Thu Apr 30 13:36:36 PDT 2015 --  "i can't tell if there're children in our building or if it's just the wellness floor but i guess it's the same thing" @WalkTwoEarths
Thu Apr 30 13:03:37 PDT 2015 --  I put so many leaves in my mouth.
Thu Apr 30 06:04:08 PDT 2015 --  Ermias looks into my eyes. "Your family is more special than you know. And you....You're the chosen one."
Wed Apr 29 16:18:35 PDT 2015 --  Entire plaza at Union Square West full for #NYC2Baltimore pic.twitter.com/ddq1yecqCD
Wed Apr 29 15:20:01 PDT 2015 --  made a typo in a google search and fell down a wikipedia rabbit hole....now i know what a wold is
Wed Apr 29 13:29:03 PDT 2015 --  Hillary was so struck by this line she read it 3 times. Read the full @USATODAY piece here: http://hrc.io/1GwOJtd  pic.twitter.com/PTQhSSS4R0
Wed Apr 29 13:37:35 PDT 2015 --  I once got into an argument with a friend about whether Ben Franklin was president for one term or two. He was never president. #MyDumbFight
Wed Apr 29 07:24:30 PDT 2015 --  "It’s time to change our approach. It’s time to end the era of mass incarceration." - Hillary at the #DinkinsForum
Wed Apr 29 07:30:19 PDT 2015 --  We have to take on broader inequities in society—you can’t separate unrest in the streets from cycles of poverty & despair in communities.
Tue Apr 28 12:18:03 PDT 2015 --  used "to" instead of "too" in a yak and someone called me out on it. i've never felt so ashamed
Tue Apr 28 10:51:06 PDT 2015 --  Today I walked all the way across campus to drop off a paper. I forgot the paper.
Tue Apr 28 08:46:15 PDT 2015 --  Today at the Supreme Court & every day, we remember: #LoveCantWait #LoveMustWin pic.twitter.com/SVThRKwXCv
Tue Apr 28 06:41:04 PDT 2015 --  Every loving couple & family deserves to be recognized & treated equally under the law across our nation. #LoveMustWin #LoveCantWait –H
Tue Apr 28 05:16:00 PDT 2015 --  Misinformed denialists can change 4 Jesus. Pope Francis Steps Up Campaign on Climate Change, to Conservatives’ Alarm http://nyti.ms/1DElVOF 
Tue Apr 28 01:06:50 PDT 2015 --  One way to look at what is happening in Baltimore. Replace “Iraq” with “Vietnam” and it still works. pic.twitter.com/QqutMBIiyw
Mon Apr 27 19:58:09 PDT 2015 --  It's time to rise up against the government and be a revolutionary. Good thing I'm white, or I'd be a thug.
Mon Apr 27 12:17:06 PDT 2015 --  i live on the philosophy that it's better to do the wrong thing for the right reasons than to do the right thing for the wrong reasons
Mon Apr 27 08:34:12 PDT 2015 --  Ermias shakes me. "You have to accept it! Kadam is dead!" I twist from his grasp. "What if," I say, "he isn't?" What if he never was?"
Mon Apr 27 06:14:46 PDT 2015 --  I hope I am not forgetting to worry about something that is very important to worry about today. Also, I hope I find some moss. I am a bear.
Mon Apr 27 02:31:26 PDT 2015 --  Deep down we must have a real affection for each other, a clear recognition of our shared status as human beings.
Sun Apr 26 22:58:46 PDT 2015 --  Walks at 1am are the best kind of walks. @KatieDionysus
Sun Apr 26 21:58:03 PDT 2015 --  i just want to eat chocolate until i forget i have emotions. what the fuck vending machine
Sun Apr 26 21:53:09 PDT 2015 --  a kit kat would've been a distant second but they don't have that either
Sun Apr 26 21:52:31 PDT 2015 --  what the fuck kind of vending machine doesn't have hershey bars?
Sun Apr 26 15:42:53 PDT 2015 --  #FeministsAreUgly is trending. Emma Watson is not ugly. pic.twitter.com/KI5DNggF1x
Sun Apr 26 13:44:30 PDT 2015 --  #FeministsAreUgly is trending. If you think this, you are wrong. pic.twitter.com/u255xlU7Aa
Sun Apr 26 11:50:43 PDT 2015 --  "You're either with us, or you're against us. You remember what happened to Kadam, don't you?"
Sun Apr 26 09:31:47 PDT 2015 --  I hope trees like me.
Sun Apr 26 06:22:50 PDT 2015 --  Another Fossil fuel lie exposed. 8 States Dealing With Huge Increases in Fracking Earthquakes http://ecowatch.com/2015/04/24/usgs-fracking-earthquakes/ … via @ecowatch
Fri Apr 24 22:45:37 PDT 2015 --  [in dead voice] "...come to devonpit"
Fri Apr 24 12:52:59 PDT 2015 --  "We could get married," Anthem whispers. "Then run away and never look back. Just make sure to get your parental consent form signed first."
Fri Apr 24 06:49:52 PDT 2015 --  i'm not lazy, i'm efficient
Fri Apr 24 04:37:43 PDT 2015 --  apparently if you go to bed at a reasonable hour it's possible to wake up nefore your alarm? what is happening what do i do with myself
Thu Apr 23 21:41:57 PDT 2015 --  i get by with a little help from my friends
Thu Apr 23 20:18:02 PDT 2015 --  but now what do i do with this halfcan of soup i dont want
Thu Apr 23 19:56:48 PDT 2015 --  you might think the morning or the middle of the night would be the lonliest time of day. but really it's the middle of the evening
Thu Apr 23 00:05:54 PDT 2015 --  "Where's my Reef?" 100's of Hong Kong kids protest out-of-control live reef food fish trade in HK / China. @WildAid pic.twitter.com/agoOovFACg
Thu Apr 23 07:46:05 PDT 2015 --  150,000 Stand w/Peruvian Woman in Fight Against World's Second Largest Gold Mine http://ecowatch.com/2015/04/23/fight-gold-mine-yanacocha/ … @Earthworks pic.twitter.com/3HfUQYN6gj
Thu Apr 23 11:24:41 PDT 2015 --  When I can hear people's music from their headphones I get irrationally angry and I don't know why.
Wed Apr 22 17:56:58 PDT 2015 --  Seems to me, every day should be Earth Day.
Wed Apr 22 16:20:16 PDT 2015 --  the buncha freshmen at the next table compaining about their calc professor are pronouncing his name wrong
Wed Apr 22 16:18:34 PDT 2015 --  #divestment #divestumass https://twitter.com/SenWarren/status/590982823273717760 …
Wed Apr 22 13:17:04 PDT 2015 --  I haven't brushed my teeth in seven weeks.
Wed Apr 22 11:56:42 PDT 2015 --  14 of the 15 hottest yrs on record all occurred in this century. On this #EarthDay, and every day, let’s remember that #ClimateChangeIsReal.
Wed Apr 22 09:25:24 PDT 2015 --  It's #EarthDay – RT to tell the world #ClimateChangeIsReal but we CAN do something about it http://ctt.ec/Dd6aP+ 
Wed Apr 22 02:31:52 PDT 2015 --  Happy #EarthDay all living systems of this beautiful, spinning, nearly impossible, blue shining sphere.
Wed Apr 22 02:31:29 PDT 2015 --  “Earth provides enough to satisfy every man's needs,but not every man's greed"-Mahatma Gandhi.. #EarthDay #DiaDaTerra pic.twitter.com/nYYNtl5KtN
Wed Apr 22 02:32:08 PDT 2015 --  #ClimateChangeIsReal. And businesses can grow by tackling it. #EarthDay pic.twitter.com/aej5k6VuGI
Wed Apr 22 07:42:43 PDT 2015 --  you know you're tired when you can't remember how to write the letter N
Tue Apr 21 19:52:30 PDT 2015 --  if you don't remember what you did when you were drunk, you probably don't want to remember what you did when you were drunk
Tue Apr 21 17:55:20 PDT 2015 --  "How did this contrived government system even get enacted in the first place?!?" I cry into the void. The void does not answer.
Mon Apr 20 14:30:51 PDT 2015 --  Also 100% accurate. Buzzfeed is the best. https://www.youtube.com/watch?v=jubD5oinL3A …
Sun Apr 19 19:51:40 PDT 2015 --  When People Are Categorized By A Single Defining Trait, One Girl Will Rise Above. Because Her Single Defining Trait Is Being Different.
Sun Apr 19 18:51:18 PDT 2015 --  dear resident: if i wanted to touch a ucard with vomit on it, i'd vomit on my own ucard
Sat Apr 18 14:05:07 PDT 2015 --  Hi, welcome to adulthood! You’ll be constantly tired except for right before you need to go to sleep.
Fri Apr 17 14:41:58 PDT 2015 --  In case your keep track, the #divestment movement is now backed by 2 Hulks. http://www.theguardian.com/environment/keep-it-in-the-ground-blog/2015/apr/17/edward-norton-and-caroline-lucas-back-guardian-climate-campaign?utm_content=buffer6e4e2&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer … @EdwardNorton @MarkRuffalo #divest
Fri Apr 17 17:27:24 PDT 2015 --  i get home and i dont feel like hw on friday afternoon so i'm just like welp now what? then i fall asleep till seinfeld's on. it works out
Fri Apr 17 07:10:17 PDT 2015 --  I lost the blade of grass I placed on my head yesterday. I hope the wind is kind to it. I am a bear.
Fri Apr 17 02:30:48 PDT 2015 --  The future is in the hands of those who belong to the 21st century with the opportunity to build a better humanity by training the mind.
Thu Apr 16 16:34:26 PDT 2015 --  Here's how we're celebrating #NationalHighFiveDay. pic.twitter.com/iASFZacQ17
Thu Apr 16 13:48:24 PDT 2015 --  i just want it to be summer
Thu Apr 16 11:47:31 PDT 2015 --  Tbt first song i ever released pic.twitter.com/dBJhu4fqxX
Thu Apr 16 09:44:32 PDT 2015 --  My long brown hair whips back and forth while I run, tangling itself into a perfect braid.
Thu Apr 16 07:35:42 PDT 2015 --  Documents Provide Further Indication That #Florida Officials Were Directed Not To Talk About #ClimateChange: http://bit.ly/1zkCWvf 
Thu Apr 16 03:53:29 PDT 2015 --  Sending love and support for those protesting for a living wage. 15$/hr sounds good because it is good.
Wed Apr 15 18:23:39 PDT 2015 --  Every American deserves a fair shot at success. Fast food & child care workers shouldn't have to march in streets for living wages. -H
Wed Apr 15 20:05:29 PDT 2015 --  Just set my alarm sound as the flying lesson scene from #HarryPotter . Now all I'm going to hear in the morning is "Up. Up! Up. Up. Up! UP!"
Wed Apr 15 11:12:29 PDT 2015 --  Outside The Colony, the land is somehow both forest and desert wasteland, and also the ruins of a massive steel city.
Tue Apr 14 19:32:28 PDT 2015 --  @neiltyson Meteors create streaks in skies. From the ground, meteors often look like they're leaving Earth. "Makes no sense" bit of an exag.
Tue Apr 14 18:51:10 PDT 2015 --  Au revoir air pollué "Raise the roof! #France just made its a lot cooler. pic.twitter.com/ckkBr78FbQ” what do U think @MarkRuffalo ?
Thu Apr 09 15:58:03 PDT 2015 --  RT @MichaelEMann Thomas Edison's Prescient 1931 Quote on #Solar vs. fossil #Fuel #Energy #Solarchat #Climate pic.twitter.com/w1gZwoTlct
Tue Apr 14 18:58:09 PDT 2015 --  @MarkRuffalo You don't have to say it. Science, math, & physics always prevail in the end regardless of what they monied naysayers promote.
Tue Apr 14 18:23:54 PDT 2015 --  i don't think i was supposed to take this mango from the display at the dining hall....but hey, it was a free mango, so i did it anyways
Tue Apr 14 17:49:36 PDT 2015 --  why don't modern artists ever ask any questions other than "what is art?"
Tue Apr 14 14:26:31 PDT 2015 --  Are you Gringotts Bank? Because you need to leave me a loan.
Tue Apr 14 14:16:49 PDT 2015 --  Meteors meet fiery deaths as they plunge through Earth’s atmosphere. So the term “Meteoric Rise” makes no sense whatsoever.
Tue Apr 14 12:02:13 PDT 2015 --  Reasons to climb a tree: -To practice climbing trees -To find interesting smells -To better understand birds -To meet a tree -To see the sky
Tue Apr 14 09:16:31 PDT 2015 --  A young girl scurried by. She reminds me of my sister. I decide I will now do everything I can to protect that tiny stranger.
Tue Apr 14 09:04:54 PDT 2015 --  The big banks might not like following basic rules that protect consumers – but we weren't sent here to work for them.
Mon Apr 13 18:20:39 PDT 2015 --  Sleeping is good.
Mon Apr 13 18:06:25 PDT 2015 --  *tries to be perky* *doesnt fool anyone*
Mon Apr 13 02:30:20 PDT 2015 --  Friends are made on the basis of trust and trust only grows if you are kind to people.
Mon Apr 13 13:26:35 PDT 2015 --  #IOnceHadABossWho literally murdered me.
Mon Apr 13 12:34:56 PDT 2015 --  http://www.theonion.com/articles/oh-god-teacher-arranged-desks-in-giant-circle,38418/ … via @TheOnion
Sun Apr 12 20:40:10 PDT 2015 --  I notice a group of strangers huddled around the bonfire. "Who are those strangers huddled around?" I ask "Oh them? We call them Arounders."
Sun Apr 12 16:47:35 PDT 2015 --  If you're curious: First mammals to orbit Earth, in order: Dog, Guinea Pig, Mouse, Russian Human, Chimpanzee, American Human.
Sun Apr 12 10:49:43 PDT 2015 --  soup tastes really good directly out of the can
Mon Mar 09 16:27:28 PDT 2015 --  I meant to tweet this to you yesterday. I hope everyone had a GREAT International Women's Day. I did because of you.x pic.twitter.com/XbKFAZPxWt
Sat Apr 11 23:40:55 PDT 2015 --  DARE really misled me with the impression that people do drugs because of peer pressure, now im pretty sure they just want to be high
Sat Apr 11 21:59:30 PDT 2015 --  judge me all you want, residents, but i get to have one person dance parties to the fray at my job, what do you do at yours
Sat Apr 11 21:17:00 PDT 2015 --  my inability to get out of bed feels less like depression if i think of it in terms of just being really great at sleeping
Sat Apr 11 20:40:11 PDT 2015 --  pretty sure im mot allowed yo paint at work....whatever pic.twitter.com/pSw4PIW2UW
Sat Apr 11 17:12:05 PDT 2015 --  for once ilegitimately agree with you @UglyDuckling_AD
Fri Apr 10 09:13:33 PDT 2015 --  Ermias brushes my hair behind my ear. That moment of tenderness makes me love him.
Fri Apr 10 00:08:19 PDT 2015 --  sobering up --> being embarassed by the shit you said earlier that you knew was embarassing but you didnt care
Thu Apr 09 11:40:39 PDT 2015 --  We are all broken, that's how the light gets in.
Wed Apr 08 07:27:14 PDT 2015 --  My favorite takedown of me ever. AND I HAVE SEEN A LOT OF THEM. pic.twitter.com/b7HhlQkh0e
Wed Apr 08 08:13:12 PDT 2015 --  With both arms outstretched, I sacrificed myself in a pose that would be evocative of someone if He-- I mean he existed in this world.
Wed Apr 08 16:21:26 PDT 2015 --  not entirely sure how i feel about the yikyak uodate
Tue Apr 07 20:29:55 PDT 2015 --  ...you know its bad when you find yourself reading privacy policies instead of your homework
Tue Apr 07 20:27:25 PDT 2015 --  i read @YikYakApp 's privacy policy.... donâ€™t worry, im sure you can fix itl pic.twitter.com/eu051FcyF1
Tue Apr 07 18:39:41 PDT 2015 --  "i firmly grabbed his cream horn" - @WalkTwoEarths
Tue Apr 07 16:44:09 PDT 2015 --  Sitting at airport and You Should Know Where I'm Coming From is playing. People hearing my heart while walking right by me w their bags :')
Tue Apr 07 11:01:31 PDT 2015 --  I am afraid of most insects. They do not seem to fear anything. Their boldness is both intimidating and inspiring. Their bites just hurt.
Tue Apr 07 08:46:05 PDT 2015 --  if the girl behind me could stop kicking me thatd be great
Tue Aug 19 20:49:46 PDT 2014 --  Sometimes the moon looks like a carrot if you hold a carrot in front of it and just look at the carrot instead for 30 minutes in silence ok
Mon Oct 20 06:58:05 PDT 2014 --  You can give your carrots names but then it is sadder when you eat them
Tue Mar 10 15:53:27 PDT 2015 --  You can turn the light out in your apratment and pretend a carrot a flashligt but you often walk hard into a wall
Mon Apr 06 03:46:03 PDT 2015 --  Senseless. As Drought Deepens California Sees Millions of Gallons of Water Used for Fracking http://readersupportednews.org/news-section2/318-66/29461-as-drought-deepens-california-sees-millions-of-gallons-of-water-used-for-fracking …
Sun Apr 05 21:04:11 PDT 2015 --  20 seems too old to eat enough easter candy to feel sick and yet here we are
Sat Apr 04 10:38:18 PDT 2015 --  I meet a lot of people very quickly, but it's easy to keep track because everyone only has a single defining character trait.
Fri Apr 03 20:18:31 PDT 2015 --  "i would never cheat on one of my hoes" -overheard at ABC
