Fri Aug 28 20:11:34 PDT 2015 --  pic.twitter.com/Z7xV81ruON
Wed Jul 29 17:43:54 PDT 2015 --  Kyla would mom a Anna be greedy if I went and got a Obama phne??..yes moma I think you would.you already hav a phne..but but but but...okay
Wed Jul 29 16:41:47 PDT 2015 --  ... Oh my god its not working ok speak now okay I'm using my speaker
Wed Jul 29 16:39:58 PDT 2015 --  . Ok I'm so excited I'm learning how to really use my phone
Wed Jul 29 16:22:10 PDT 2015 --  What did he do??..idk
Wed Jul 29 16:22:09 PDT 2015 --  Kyla have you noticed that Justin bieber and drake have the same dishonest Canada look!!..lol. Kyla drake got a national hero award..
Wed Jul 29 16:13:56 PDT 2015 --  And again Santa Maria Police dep and all those handling his case ,fuck all you mfs. You mfs know me,some of y'all know wat I stand for.
Wed Jul 29 16:13:56 PDT 2015 --  Hi America Terrence Richardson is still not buried. To many lies in his case still. And my king is goin down with nothing but 100% truth.
Wed Jul 29 16:13:55 PDT 2015 --  All you mfs played your selfs. Terrence is dead cause you couldn't stop these boys from doing burglaries
Wed Jul 29 16:13:55 PDT 2015 --  And your trying to let the drug dealer walk and that's not going to happen. In court Ryan confessed he was the drug dealer.
Wed Jul 29 16:13:55 PDT 2015 --  They set Ryan up and Terrence went for the ride..they demanded the money after Mohammed got in the back seat. And Terrence whooped that ass.
Tue Jul 28 11:29:58 PDT 2015 --  The mom's look like a millionaire n the babies look fuck up that's why u don't have a man
Tue Jul 28 11:29:01 PDT 2015 --  I was telling my daughter that mom's usually wear the same hair style or n a ponytail n she reminded me that there r girls who dress
Tue Jul 28 08:33:11 PDT 2015 --  My girl is 41 she bout to have another baby said it's hotter than a snitch at a gangster party lolol only a true gangster can say that
Tue Jul 28 08:10:30 PDT 2015 --  Fresno girls I'm proud of u guys they fed the hungry the drug addicts see u guys soon
Mon Jul 27 15:58:47 PDT 2015 --  United states of America when u go to another country we have a ambassador it's there responsibly to get us back safe
Sat Jul 25 17:47:25 PDT 2015 --  We got Trey Songz playing and of course Chris Brown and Snoop Dogg. . .
Sat Jul 25 17:06:58 PDT 2015 --  Yes baby sister I got your grandbabies with me and we are having fun. Hold on baby sis big sister is coming
Sat Jul 25 13:37:44 PDT 2015 --  The kids that I work with r runners from cos or probation they come from drug dealer families n drug addict parents n i will protect them cu
Sat Jul 25 13:05:49 PDT 2015 --  Na na u got us fuck up n here gen the babies r trying to do the na na I'm proud of u Fresno girls. These Fresno girls my babies ur bad do ur
Sat Jul 25 12:47:20 PDT 2015 --  Oh na na we got to stop cooking we got to dance to na na whoop watch me me me na na!!
Sat Jul 25 12:35:43 PDT 2015 --  Cuz let me. Come get sum bannana pudding wit out my container.. luv Ya! Cuz I Damn sho forgot
Sat Jul 25 12:08:03 PDT 2015 --  I've met a lot of kids that are gen of drug framer like kriby and wr r gown cuz we're gangsters and gangster don't talk
Sat Jul 25 12:07:20 PDT 2015 --  Ya that's right imma ganstr but a good one I love kids d z was happening to ne as kid n I'll do everything urging to make sure kids has a ch
Sat Jul 25 11:43:58 PDT 2015 --  Fresno get off the st 11:30 the hungry let them come to u it's to hot u no how u do it come out at 8pm
Sat Jul 25 11:29:26 PDT 2015 --  11:28 and my teenagers r outta food but they got there back up they left girls at the house to cook do ur thing fees them if
Sat Jul 25 11:24:38 PDT 2015 --  Trey songz Chris Brown snoop ur the teens favorite u sud c us do the nana n dance to the shit
Sat Jul 25 11:02:29 PDT 2015 --  Bum r u hungry wineo r u hungry I don't want to hear ur story how u got Herr r u hungry
Sat Jul 25 10:58:44 PDT 2015 --  We fed them tell them god is real that a the real us that the US don't no about
Sat Jul 25 10:58:07 PDT 2015 --  Ya that's right there is a underground of ghetto that's white blk and every race come from drug addiction families n I'm there for them
Sat Jul 25 10:29:32 PDT 2015 --  I don't have to b there n Fresno or up north ti make sure my teenagers r doing eat i saw to do cuz I'm gangster n the trust me do ur thang
Sat Jul 25 10:10:13 PDT 2015 --  Ok Fresno girls the food is cooked go go through ur blockvhit he addicts up who's kids r hungry Fred them baby's love u do it thing
Sat Jul 25 09:51:37 PDT 2015 --  Tiffany I just called u ya i made banana pudding u better bring ur own container n I'm not playing no one leaves g e home with mine
Sat Jul 25 09:33:44 PDT 2015 --  Ok Fresno u all did Santa Maria where still cooking n u guys r do be love u guys hold it don't princess
Sat Jul 25 08:53:46 PDT 2015 --  O! Fresno girls have the corn bread and chil beans done. We're behind u guys but we sis the banana pudding last nite
Sat Jul 25 07:45:16 PDT 2015 --  Who's blowing up n here of course Chris Brown n sevyn streeter were gonna take it slow n easy this morning
Sat Jul 25 07:20:25 PDT 2015 --  Hi good morning time to eat home made banana pudding and let's make homemade biscuits and gravy
Fri Jul 24 07:42:49 PDT 2015 --  What does it mean to get a national award it does not mean u can pay ppl off to look good
Thu Jul 23 16:25:32 PDT 2015 --  Canada please keep your trash and your drugs there..keep your ppl out of the US ..now i understand why Justin and drake idiots with money!!!
Thu Jul 23 14:48:31 PDT 2015 --  United states put him out that's a offenses to me Terence Richardson is a hero drake cut ur dick off n let ur pussy show stay out the us
Thu Jul 23 10:49:37 PDT 2015 --  My daughter n I r talking about girls in Jail. How n the he'll do u get that big phone up your shit?
Thu Jul 23 09:58:31 PDT 2015 --  Bonjour!
Wed Jul 22 16:30:03 PDT 2015 --  We're gangsters n u have ur heart where there for u boi
Wed Jul 22 16:29:38 PDT 2015 --  To protect u help us to protect u watch ur friends
Wed Jul 22 16:29:16 PDT 2015 --  It won't stop with Chris Brown n sebum streeter go on baby boo. I no u don't no us but where here babe where here watching n trying hard
Wed Jul 22 15:48:39 PDT 2015 --  Oh Ya that's right snoop dogg is hamming at the pool with his music the kids love u snoop just wig the wer by do god Damn bad
Wed Jul 22 15:25:36 PDT 2015 --  Kashmona, jalayla and Shania ..Shania is from Compton my granda had 14 sibs and most settled in Compton n Goleta pic.twitter.com/WGF8dsWwrI
Wed Jul 22 08:33:21 PDT 2015 --  Girls Devon will be here today pic.twitter.com/V82nywrtsl
Wed Jul 22 08:28:47 PDT 2015 --  Taibsha will be doing a vedio she a a bad dancer coming soon ages here for he summer alright Chris Brown anion the ked. Up
Wed Jul 22 08:28:01 PDT 2015 --  Tanisha wig the blue n her braids is from Compton my mother's father that settles in Santa Barbara came from 14 his brothers n sis Compton
Tue Jul 21 09:39:56 PDT 2015 --  Segundo streeter n Chris Brown is bombing n her and of course snoop dogg...I won't stop
Tue Jul 21 09:07:11 PDT 2015 --  Ok kids whose the baddest? Snoop dogg
Tue Jul 21 08:56:17 PDT 2015 --  Oh ok j. Cole has tooken over n the teenage s r bumpping I've never done this before
Tue Jul 21 08:43:16 PDT 2015 --  Anita baker is singing now up in here Damn that wud 've thight to are a concert with all the famous women singerS going way back Tammy trel
Tue Jul 21 08:30:58 PDT 2015 --  Chris Brown baby boi ur out there stop getting so high pay attention study ppl especially wen ur high I'm watching u
Tue Jul 21 08:23:15 PDT 2015 --  Chris Brown baby boi ur business is ur business not always ur business partners get it love watching ur back
Tue Jul 21 08:10:47 PDT 2015 --  Whose bumping up here...bammmm Jennifer Hudson act like think like.....what u say Rick Ross
Tue Jul 21 07:32:29 PDT 2015 --  Yesterday the l ds had a ball pic.twitter.com/a4zDTF0p3u
Mon Jul 20 16:56:43 PDT 2015 --  It's really special to see kids happy, I wasn't able to be a kid when I was younger. Too many siblings to care for.
Mon Jul 20 16:55:27 PDT 2015 --  Watching the kids play in the pool having fun. So innocent, my great nephew just threw a bal at my face, thank god it was a beach ball
Sat Jul 18 18:26:25 PDT 2015 --  What's wrong mom? Friends r over n were watching u what's up mom?
Sat Jul 18 18:25:57 PDT 2015 --  Damn my mom is cooking cabbage with chicken homemade corn vread n fry gicken with mash potatoes ..she only cook when something is on ur mind
Sat Jul 18 08:13:00 PDT 2015 --  Scared straight was designed for kids that have no respect so many kids have bad parents those kids don't deserve to be judged wrongly
Fri Jul 17 08:29:14 PDT 2015 --  I no a five-year old girl who thinks she supposed too have sex
Fri Jul 17 08:28:29 PDT 2015 --  Alicia keys Monica Toni Braxton. Elle Mary j queen latdda. U can sing u need r To help the new women singers there telling kids to have sex
Fri Jul 17 07:37:45 PDT 2015 --  Ryan how did the $58 get n Terence pocket
Fri Jul 17 07:31:58 PDT 2015 --  Marian Hospital u a lie u no my address $58 trying g to say was n his pocket...I have his wallet but I'm coming to get it n the rest
Wed Jul 15 08:00:27 PDT 2015 --  Chris Brown I'm really concern babe they broke into ir house something not right watch ur friends open ur eyes u have a daughter now
Tue Jul 14 17:12:54 PDT 2015 --  A friend a mine decided to get a women...she was fine! Lol he said. Took her clothes off, he told her it looked like chitlins n reniged
Sun Jul 12 18:26:31 PDT 2015 --  pic.twitter.com/SxPsaV9DAi
Tue Jul 07 16:36:10 PDT 2015 --  Over here cuz Annie bee alwYs hooks me up when Iam good Iam here to her to get my money I love Annie bee
Tue Jul 07 16:35:03 PDT 2015 --  Hi Iam Chad I just got out. Of juvenile hall. I took my mom's car and crashed it and il never do that a gain being on punishment is no fun
Tue Jul 07 07:06:59 PDT 2015 --  pic.twitter.com/VpeQrDgAXq
Mon Jul 06 07:04:43 PDT 2015 --  That u have don't to me and my kids a policeman tell u if u walk towards me I'll fuck u up how do y go to court n the pi calls u names
Mon Jul 06 07:03:38 PDT 2015 --  Ok court day now I get to find out why it was so important for me to go in a mental hospital u will pay me Santa Maria for the abuse
Sun Jul 05 08:08:39 PDT 2015 --  Oh these bad ass kids I'm mad at two of them the look sad I can't stay mad but I still love them
Sun Jul 05 07:27:55 PDT 2015 --  Damn snoop dogg got some ni e looking legs the kids lost they mind yesterday there still aay fire crackers n u know some kids don't care
Sat Jul 04 09:05:34 PDT 2015 --  Good morning July 4 kids r excited I really don't want to but we have to ha e a party!
Wed Jul 01 22:39:02 PDT 2015 --  Mental hospital. Friends. On twitter S.m.p.d is not telling the whole truth!!and I am fighting for the whole truth
Tue Jun 30 10:46:49 PDT 2015 --  In lompoc Damn I can feel the depression here
Mon Jun 29 16:33:20 PDT 2015 --  president Santa Barbara County is a ball face lie my sn was boy the fldryf dealer my son stop the robberys with his life two home invasion
Mon Jun 29 15:50:08 PDT 2015 --  Wow dogg ur really something else this is wat Iran about good gangster snoop is a god gangster
Sun Jun 28 17:06:52 PDT 2015 --  Listening to Neyo leave you alone...."you bad...you say you bad...." Is that young Jezzy with beyond..."she said u...Ain't no good..."
Sat Jun 27 07:47:13 PDT 2015 --  A street mom door is open to all kids but not to the liars unless they repent god can work with every child
Fri Jun 26 20:26:11 PDT 2015 --  The worst pain u ever had felt worst than a heart attack that a how I felt wen my son died
Fri Jun 26 08:00:54 PDT 2015 --  o cry baby don't let no women see u doing that reminds me of some of the big heads who thinks there n love till they see another female
Thu Jun 25 12:08:50 PDT 2015 --  SnoopDogg is a thing n he said he had to pull the Guinness because he was playing superhero dog these fools did 8 robberies over the holidAy
Thu Jun 25 10:52:24 PDT 2015 --  Will keep that promise n Jesus name so get ready
Thu Jun 25 10:52:00 PDT 2015 --  Marie Agnes is standing with the trail th wig Jesus we gonna clean this mess up made to any promise to kids up north and Fresno n I
Thu Jun 25 10:51:06 PDT 2015 --  See world gangsters r not all that bad we have a heart for the truth and kids the atate fuck us over with there lies and for me Anna
Thu Jun 25 10:42:57 PDT 2015 --  Yes it's true I been a gangster since i was 7 and snoop is the one to bring the true story from la there my doggs
Thu Jun 25 10:37:31 PDT 2015 --  Mary j we jamming on u right nowyrs Santa Maria Terence is a hero everyone that knew him all y'all is going to be there
Thu Jun 25 10:33:29 PDT 2015 --  Didn't do and Jesus the greatest man in Santa Maria is Rick Keyes that is the only man I will bow down to cuz Jesus is n him
Thu Jun 25 10:32:41 PDT 2015 --  Stop to it and all of u that these niggas broke into ur place and the lady that as in ur house i want u at his funeral Terence did was Smpd
Thu Jun 25 10:31:54 PDT 2015 --  Santa Maria Terence solved the robbery that took place from Nov to Dec hr is u guys hero u guys that got ur place broke in to Terence put a
Thu Jun 25 09:55:50 PDT 2015 --  Ppl that like to buy there own sense pluz listen to ppl who no wat there talking about cuz buying ur own sense u can end up dead
Thu Jun 25 07:30:03 PDT 2015 --  Probation don't change ur paperwork now courts the papers better match with Tara Marie Richardson cos papers that came from probation r lies
Thu Jun 25 07:27:56 PDT 2015 --  Santa Maria Police Department it's on like I said everyone that played apart of my son's death is spending the rest of ur life in Jail too
Thu Jun 25 07:26:51 PDT 2015 --  Well we'll well probation Terence is a hero how bout that po. Barbara n the rest of u Ya were special cuz we rolled with Jesus see u n court
Wed Jun 24 16:34:25 PDT 2015 --  Pluz pull my record and see this mess there were women that where caught up in this whi cud have been dead my son was holding his n his mama
Wed Jun 24 16:32:49 PDT 2015 --  President Obama the ppl ha e rest until July6 I wish u cud have seen this my son deserve a metal and a d an my aob b at them up n
Wed Jun 24 08:26:33 PDT 2015 --  Santa Maria Police Department Terence deserves a reward right? For solving your robberys and I want one
Tue Jun 23 18:33:44 PDT 2015 --  Tomorrow go back to court I ha e no more respect for u guys the truth will come up I'm coo for tonight
Tue Jun 23 18:32:23 PDT 2015 --  Dude u crumble detective u showed me ur weakness Damn president Obama Santa Barbara County is under investigation go back to court 1:30
Tue Jun 23 13:20:25 PDT 2015 --  What created that situation..you did..you went to deliver weed..I told you to stop it.you killed your homie man bcus you didn't listen.
Tue Jun 23 13:18:59 PDT 2015 --  And diddnt even know his cute little street name.that's why you created this problem babe.I want you to get the same time they do love.
Tue Jun 23 13:17:59 PDT 2015 --  Okay..back at court,Ryan is not here but his statement with detectives.Ryan had addmitted of being one of the drug dealers.
Mon Jun 22 16:54:59 PDT 2015 --  pic.twitter.com/1FRkeET0i2
Sun Jun 21 01:33:25 PDT 2015 --  Chris Brown we proud of you Ya stepped up fat years, thanks special dads
Sun Jun 21 01:31:39 PDT 2015 --  Happy father's day to all those mothers that been raiseing them bbys by themselvs
Sat Jun 20 20:59:47 PDT 2015 --  pic.twitter.com/B7M5iqXl9K
Sat Jun 20 14:06:36 PDT 2015 --  Damn snoop dogg ur shit is tight babe...I mean king babe..
Fri Jun 19 21:27:26 PDT 2015 --  pic.twitter.com/qmn3ncUUeK
Fri Jun 19 21:26:56 PDT 2015 --  pic.twitter.com/kY4nzcp47y
Thu Jun 18 21:47:36 PDT 2015 --  In lompoc, niggas need to stay out a lompoc.
Wed Jun 17 08:30:58 PDT 2015 --  But she cud rock the sizzlers that will not bring back be cuz of booty booty booty
Wed Jun 17 08:29:55 PDT 2015 --  Gm I'm mad this morning I grew up being called poppies girlfriend she had no butt or a chest she was all stick
Tue Jun 16 11:38:20 PDT 2015 --  Hi gm! Does anyone know about the pantie game? The panties game is when a girl can't have a conversation n just her panties down
Mon Jun 15 23:54:53 PDT 2015 --  Yea I'm being a bitch we pay for a security guard who has a limp leg!! The kids are putting worms on my door cause. I ain't being botherd
Mon Jun 15 08:37:20 PDT 2015 --  Oh my God I keep trying to get that pic outta my head the last time i was n court the police man lied n the da call him out on it that hurt
Mon Jun 15 08:37:20 PDT 2015 --  Because your supposed to trust the Police u can do that herewho do I go to for help in case of a emergency I have to go to la or Ventura
Mon Jun 15 07:28:29 PDT 2015 --  I feel so alone but that's not true Jesus is always with me I wish the ugly thoughts n my head wud go away wen it come to probation n police
Mon Jun 15 07:26:29 PDT 2015 --  Gm sitting here thinking Bout my son he was my best friend too and my daughter Tara ever day I cry for my two babies I'm so broken right now
Mon Jun 15 04:08:55 PDT 2015 --  @Novaishipho p nice nice nice to nice babe
Sun Jun 14 17:30:26 PDT 2015 --  Sitting here listening to janken iko thinking of my Jenny Jenny really did look like her
Sun Jun 14 12:30:42 PDT 2015 --  So thug gang banger the United is not suppose to be prejudice anymore so stop the gang banging this must stop
Sun Jun 14 12:07:39 PDT 2015 --  Good morning I have a lot of kids that are mixed when kids are mixed where do they stand? My grand kids are half black and half Mexican
Sat Jun 13 14:01:50 PDT 2015 --  Have u ever seen a drunk trying to get away from a ex lover n have a kid n u think he's drunk until he see them lol
Sat Jun 13 09:22:19 PDT 2015 --  Are kids to let really help the poor kids that r being us d and abused mentally and physically belts help turn there minds around to love
Sat Jun 13 09:20:10 PDT 2015 --  If ur blk in philippe where do u fit in at whee mix all through the world. Right world? Help save the kids the thugs...hard headed....etc
Sat Jun 13 09:17:55 PDT 2015 --  Gm me and some of my homies was wondering where does a mix homies fit in at if u blk n Mexican where wud the homies fit in if u white n blk
Fri Jun 12 20:03:55 PDT 2015 --  Me and my cuz, tiffany made us a gourmet meal: chicken thighs in a garlic herb sauce ....mmm it was doo Gud. Now I'm stuffed!
Fri Jun 12 08:35:12 PDT 2015 --  The USA can we pluz focus on the kids that means the youth kids there actions are getting outta control help me save the thugs n unwanted
Thu Jun 11 10:06:14 PDT 2015 --  K let's put Monica on. Having a convo with my girls thinking about some of the old singers u guys need to come back just kicking it
Thu Jun 11 09:29:55 PDT 2015 --  And I "creep" tlc and we need Chris Brown to creep with us
Thu Jun 11 09:20:41 PDT 2015 --  Gm setting here listening to Keith sweat gotta put Mary j king babe n snoop dogg n of course baby boy Chris Brown and where u at ja rule?
Wed Jun 10 16:05:03 PDT 2015 --  Yes that's right I am the United Pentecostal and i will take this skirt off and whoop that ass in put the skirt back on
Tue Jun 09 22:24:16 PDT 2015 --  In lompoc yes their was another killing!
Tue Jun 09 10:20:16 PDT 2015 --  yes there was another murder in lompoc but don't make it a prejudice thing cuz we r so mix up here we need to be still
Fri Jun 05 17:44:58 PDT 2015 --  Oh today is Friday, and the kids r off the hook this week! :( kids can really make ur life pleasant also:)
Thu Jun 04 22:06:55 PDT 2015 --  Damnn we gettin down on Mary j blidge We dknt need no haterss
Thu Jun 04 19:50:52 PDT 2015 --  Here at my house kickin it wit some of my favorite cousins she's cooking stake and salmon, salad
Thu Jun 04 07:40:12 PDT 2015 --  How do I feel today,I give praise to my love Jesus the boldness n me is Jesus the head ppl who r liars the Lord said he had enough
Tue Jun 02 15:35:41 PDT 2015 --  Y? Cause my kids are dead..now I know Damn well I'm not crazy but i can't say that for the United states..can I....
Tue Jun 02 15:34:42 PDT 2015 --  But u have her 3ys to stay away from Chris brown.and u came and told me my son is dead..and try to put me the mental hospital
Tue Jun 02 15:33:14 PDT 2015 --  R Hats Watson the mental hospital is for..for some crazy shit!!!
Tue Jun 02 15:32:53 PDT 2015 --  The girl that broke into Chris Brown's place..how come;they did not put her in the mental hospital..
Tue Jun 02 15:21:39 PDT 2015 --  Look dad I'm trying to ask the state to reconstruct programs for bad ass kids!!I can help ..start with Jesus and introduce her to Anna b!!
Tue Jun 02 15:19:02 PDT 2015 --  I saw the video dad..baby girl is kicking ur ass that bad that u allow to be seen with her like that..and the whole world gets to see it to.
Tue Jun 02 14:08:47 PDT 2015 --  I'm not playing your nothing a hoe Kim like ur mama ur daddies got murders
Tue Jun 02 12:56:29 PDT 2015 --  Licence in my hand bitch
Tue Jun 02 12:56:10 PDT 2015 --  Michael the pi ur friends there saying fuck u be cuz of wat u did to me how u gonna make ur money I will not stop until i have ur
Tue Jun 02 12:39:35 PDT 2015 --  Mother Kardashian u no that 21 year old boy is fucking ur old ass for money to much face lifts bitch
Tue Jun 02 12:31:42 PDT 2015 --  Kardashian girls step dad look better than all u bitch how u sleep bitch
Tue Jun 02 08:34:28 PDT 2015 --  Gm yes it's true I am upc and our team is coming we stand for truth love honest the broken and hurt. And I got baddest team...Jesus
Tue Jun 02 07:35:03 PDT 2015 --  Kardashian girls ur name became famous cuz ur daddy lied for oh u lied u ain't she and a murder he help them get off ur dad was a lie
Tue Jun 02 07:03:29 PDT 2015 --  Lord why did u let me see a da tear a whole in a police man he told a lie and she broke him off a police man? A police the rep right n wrong
Mon Jun 01 15:20:00 PDT 2015 --  Still in court,I want to know the public defenders that help murders get off how do u sleep at night knowing that they committed the murder
Mon Jun 01 11:47:39 PDT 2015 --  Y'all had some big bajlors in there today I know me thing y'all see this bitch ain't play in yup gotta go back into court
Mon Jun 01 11:46:48 PDT 2015 --  That motherfucker. Michael that jumped in my face I was waiting for ass I was gonna fuck u up
Mon Jun 01 11:09:40 PDT 2015 --  I'm sitting in court Damn Damn Damn Damn Damn Damn
Sun May 31 14:46:34 PDT 2015 --  Fri,sat nights r hard! Make in sure they not smokein shit! Weres the po po? Yea days wit I'm talkin bout!
Sun May 31 14:43:55 PDT 2015 --  Balif u gunna let him get in my face n call me all kinds bitches face to face? Because if he do im a beat his ass just fyi!
Sun May 31 14:41:27 PDT 2015 --  Yes tommarro is the big day! Is private I gunna jump up in my face again? " micheal " is his name...
Fri May 29 17:45:48 PDT 2015 --  But u forgot probation Jesus is the baddest!!!!.and he will clean probation out!
Fri May 29 17:45:06 PDT 2015 --  See Jesus belong to my team!!!.. #the broken..manipulate head people who are suppose to rep United states of america
Fri May 29 17:44:03 PDT 2015 --  How can I have respect for a person that represents probation..she said that she don't need god..I bet one thing she wishes she new him now
Fri May 29 17:43:02 PDT 2015 --  There the ones that killed tarra Marie and tired to cover it up..and that's y I'm asking for a million for her death.
Fri May 29 17:41:13 PDT 2015 --  They lady called po to come down and had the nerve to tell a lie..I was able to get my papers by I also let them know that idgaf bout the po
Fri May 29 17:39:23 PDT 2015 --  So we go back Dan there nd I ask for the papers..the lady had the nerve to say i was being rude wen all I did was ask for our papers.
Fri May 29 17:38:17 PDT 2015 --  I sent my girl Kula to pick my traveling passes for me nd tan..and they denied her to pick them up..she replied u don't want me to bring her
Fri May 29 13:20:42 PDT 2015 --  Fuck isamic and Saudi Arabia
Fri May 29 13:12:32 PDT 2015 --  Fuck China
Fri May 29 08:28:29 PDT 2015 --  A life of a og a women og have to respect a real og she has to do wat he says even if she don't want to ogs in la is snoop dogg
Thu May 28 17:18:19 PDT 2015 --  He is going to show the whole world the real truth UPC we coming and were coming hard abd were down liars I got the baddest gang there is
Thu May 28 11:40:52 PDT 2015 --  The US u guys r wrong the president is cleaning up u guys bull shit n he's doing a good job get over it isn't a prejudice us country anymore
Thu May 28 11:25:30 PDT 2015 --  Probation don't change ur paperwork on me been back and forth to la why am I on probation u guys call it a trust passing they going to rip
Thu May 28 10:40:16 PDT 2015 --  Tell ur lie c u in court
Thu May 28 10:39:55 PDT 2015 --  The US I have to travel with a pass I'm on probation for no reason probation don't change ur papers work now that I guys made me n court
Thu May 28 10:23:02 PDT 2015 --  This is Jesus world n he's coming to clean it up head ppl watch my god bring. Hole n ur ass
Thu May 28 10:22:12 PDT 2015 --  State I'm telling u Jesus is the answer u walk over me n my kids Sb n Jesus is coming after u guys with truth pulling the cover over every1
Thu May 28 10:20:55 PDT 2015 --  Hi gm state ur programs have failed not allowed to say God or Jesus that's why world drug addict can't get clean they have to say higher
Wed May 27 20:31:25 PDT 2015 --  Santa Barbara County my case is looking Damn good Santa Maria Police Department and probation u fuck up so bad my case is looking so good
Wed May 27 08:28:10 PDT 2015 --  State in ur program for drug addict can u pluz tell them about Jesus cuz that's where there help is that's why there still drug addicts
Wed May 27 07:40:30 PDT 2015 --  State ur head probation do they tell lies if they do la no wonder it looks like it looks have a appt with la police talking about Sb police
Wed May 27 07:40:28 PDT 2015 --  State u need to sit down reconstruct every program that u have . cps n probation it's not ur way it's not helping its wrong it's a lie
Wed May 27 07:28:26 PDT 2015 --  State I've been walking in la so many repairs needs to be here. Wears the money really going? Your programs are not working
Wed May 27 07:28:05 PDT 2015 --  Hi gm state can we pluz put God back in our schools state can we say Jesus instead of higher power? God is the answer for all programs
Tue May 26 18:08:56 PDT 2015 --  Illegal
Tue May 26 18:08:48 PDT 2015 --  State you approved spice 3 ppl in Santa Maria has died from it n they were minors. State u try to make $ anyway u can hunh next weed Will b
Mon May 25 12:35:24 PDT 2015 --  La your foul too u did not investigation for taramarie that was my daughter. everyone that played apart of her d ath will be brought down
Sun May 24 12:29:06 PDT 2015 --  State you approved spice, it doesn't grow in the ground. And now you want to take it off cause it kills. State help me say NO to drugs!!
Sun May 24 12:26:56 PDT 2015 --  Sheesh Los Angeles, you guys are stressed out it's really bad out there! & i see the state don't give a Damn too.
Fri May 22 16:14:43 PDT 2015 --  supposed to be in la now but I can't seem to work my phone my phone act like it has a real brain. The gov. Can really hack our phones now
Thu May 21 19:54:32 PDT 2015 --  Wow I got to see one of my bros that's keenny kriby that's one of the gooids ones the la town look so sloppy what's your p with county?
Thu May 21 18:23:55 PDT 2015 --  pic.twitter.com/OpZ0tEKseE
Thu May 21 17:15:34 PDT 2015 --  Hi at the courthouse yesterday the church across the street nice pastor he's reaching out and he's on board he's reaching for the kids
Wed May 20 08:24:41 PDT 2015 --  Goodmorning..here in LA...and I'm whispering like I'm in trouble..just taking care of business.
Tue May 19 08:36:00 PDT 2015 --  Gm America my name is Anna Marie Agnes n the blossom here are dien like flys pluz help us
Mon May 18 18:17:05 PDT 2015 --  Hi someone ask what I eant for my bday on 420 n what I wanted for my bday to see my baby bro in Jail Patrick kriby he has life it's been
Mon May 18 18:16:05 PDT 2015 --  Four more kids came after this...what year was this? And which one is anna pic.twitter.com/VEAqUUvc3J
Thu May 14 08:39:58 PDT 2015 --  My only child left pic.twitter.com/KL6ALdNDwH
Thu May 14 08:06:21 PDT 2015 --  I'm a true child that sold drugs n didn't no it n it still happens today they add a new drug stop it give them a new change let's b remodels
Thu May 14 08:05:17 PDT 2015 --  World u can't step on the broken n think it's ok it's not there already broken think of the kids let's clean it up
Thu May 14 08:04:10 PDT 2015 --  So Santa Barbara u know us upc u know wat we stand for...truth n there's a lot of us n where around the world
Thu May 14 07:55:23 PDT 2015 --  Where here to take our world back
Thu May 14 07:55:11 PDT 2015 --  This is wat James Brown was talking about in his dance...that's a lot of his moves was thank u Jesus. Cz we ni wat we used to b
Thu May 14 07:50:58 PDT 2015 --  Let's Gi back to god world dlets not destroy our world pick the bible back up remember one nation under God that's why w always win
Thu May 14 07:50:10 PDT 2015 --  I am the fourth generation of the Agnes from New Mexico upc picks up the wrist in the world and turn it around that's wat Jesus does
Thu May 14 07:49:03 PDT 2015 --  Pastors....Pastors Rick Keyes a true man of god he taught me honest true love etc I'm a generation of upc
Thu May 14 07:48:10 PDT 2015 --  I'm still standing you can't take this hit u have I'm more powerful cuz I walk with Jesus the best and I was taught under the greatest
Thu May 14 07:33:45 PDT 2015 --  Hi Babe like that song
Tue May 12 15:29:43 PDT 2015 --  Wits up snoop dog!!! The kids down here say wuts up? And yes we try to be good. And I say that's something!!!
Tue May 12 13:59:55 PDT 2015 --  Like Marvin Gaye said: let's get it on! Until I realized it was Vienna sausage in a can only 2.5 "crushed my world" she said!
Tue May 12 13:57:43 PDT 2015 --  Why my girl just call me and say she was so excited to get her long lost mothersday gift......
Mon May 11 16:03:57 PDT 2015 --  I don't want nobody but u kissin on my tattoos
Mon May 11 15:34:36 PDT 2015 --  Michael private investigator that jumped in my face n called me every bitch there was is last those kind of men's hit women n dont have dick
Mon May 11 15:30:33 PDT 2015 --  Probation and the Santa Maria dep are liars . Stop running from the group homes n cps they Will not come look for u kids but me and my team
Mon May 11 15:28:52 PDT 2015 --  With roaches parent that are doin METH or doin crack cocaine not feed in there kids I still love u kids and I will always be there for u
Mon May 11 15:27:21 PDT 2015 --  A real mother cares about every body u could b poor rich or middle class u could be a kid wit wing worms a kid could live in a house wit
Sun May 10 19:45:30 PDT 2015 --  I'm sorry mothers for being mean I been a mother to so many of u guys through the years my kids the police made it clear I'm nothing just u
Sun May 10 19:16:52 PDT 2015 --  Santa Maria police dept some people say I'm a very special person Ii I see a kid in the winter in summer clothes we going to the store.
Sun May 10 19:08:05 PDT 2015 --  Mothers remember wen he kid it n the park eating dance I was 8 the summer was hotter miss my home la cu in Sb they think there's gods
Sun May 10 18:30:27 PDT 2015 --  Smpd don't call my mother up north no more my age dog me wen i was a kid n kriby
Sun May 10 16:50:10 PDT 2015 --  Thank you Serena and I love you and the kids
