Sat Aug 29 02:14:49 PDT 2015 --  The power of UNITY! #ALDUBMaiDenHeaven pic.twitter.com/2OE4nf3oOs
Fri Aug 28 17:42:50 PDT 2015 --  Yaya Dub's simplicity is Admirable. How many RT's and FAV's for our simple yet beautiful Yaya Dub #ALDUBMaiDenHeaven pic.twitter.com/EMq2ejkpOn
Fri Aug 28 18:00:33 PDT 2015 --  Hii menggay! Goodmorning Haha. *kiss* #ALDUBMaiDenHeaven @mainedcm pic.twitter.com/339ky8jj9d
Fri Aug 28 17:44:26 PDT 2015 --  TRENDING UPDATE #ALDUBMaiDenHeaven pic.twitter.com/w8eqwTOb97
Fri Aug 28 17:46:10 PDT 2015 --  Second Spot .... > #ALDUBMaiDenHeaven
Fri Aug 28 17:48:07 PDT 2015 --  Trending update : SecondSpot with six hundred k ++ tweets #ALDUBMaiDenHeaven pic.twitter.com/HOwJsbfekp
Fri Aug 28 17:48:19 PDT 2015 --  EAT YOUR BREAKFAST ALDUBNATION!PANGAT AND LAING PARTY WILL START AT NINE P.M. THANKS! #ALDUBMaiDenHeaven
Fri Aug 28 17:49:05 PDT 2015 --  #ALDUBMaiDenHeaven
Fri Aug 28 17:49:36 PDT 2015 --  Ang Loveteam nato Ay kilalang kilala na sa buong pilipinas at sa buong mundo ! #ALDUBMaiDenHeaven
Fri Aug 28 17:48:27 PDT 2015 --  Ang daming tao sa broadway #ALDUBMaiDenHeaven
Fri Aug 28 16:54:18 PDT 2015 --  Credits to me haha proud ako dito @mainedcm @officialaldub16 @MaineAlden16 @AkoSiLolaNidora #ALDUBMaiDenHeaven pic.twitter.com/kKAIE341QV
Fri Aug 28 17:19:39 PDT 2015 --  GUYS AS MUCH AS POSSIBLE PAKI COPY PASTE NALNG HT NATIN MAY NANG GUGULO NA NMAN..CAREFUL SA HT... #ALDUBMaiDenHeaven
Fri Aug 28 17:24:04 PDT 2015 --  Pls spread. #ALDUBMaiDenHeaven @officialaldub16 @AK0SIDONFRANING @SastreBarbara @FrankieArinolli @AkoSiLolaNidora pic.twitter.com/3b1C5dqwab
Fri Aug 28 17:31:06 PDT 2015 --  GRABE NA ITO!HAHAHAHA! HELLO ALDUBNATION! #ALDUBMaiDenHeaven
Fri Aug 28 17:32:16 PDT 2015 --  BEFORE EAT BULAGA,MILLION TWEETS NA!POWERTWEET PA MORE!! #ALDUBMaiDenHeaven
Fri Aug 28 17:32:02 PDT 2015 --  YESTERDAY IS GONE, TOMORROW IS A MYSTERY, TODAY IS A BLESSING. GOOD MORNING PEEPS. EXCITED FOR THE BIG DAY? #ALDUBMaiDenHeaven
Fri Aug 28 14:34:03 PDT 2015 --  Yung gusto mong yakapin ng mahigpit ung mahal mo kasooooo ang layooo nya? Hugoat pa more #ALDUBMaiDenHeaven
Fri Aug 28 14:34:59 PDT 2015 --  Ihanda na lang natin ang ating mga sarili haha #ALDUBMaiDenHeaven https://twitter.com/aldenaticsuae/status/637377588659273728 …
Fri Aug 28 14:35:48 PDT 2015 --  Magiging nerbyosa ka nyan! Tigilan ang kape! Haha #ALDUBMaiDenHeaven https://twitter.com/ofcaldub_pasig/status/637377048957157376 …
Fri Aug 28 14:36:31 PDT 2015 --  Maraming salamat po! Kayo din po dyan #ALDUBMaiDenHeaven https://twitter.com/aldenmaine4ever/status/637377325164720128 …
Fri Aug 28 14:41:46 PDT 2015 --  Walang makakapigil! Happiness overload #ALDUBMaiDenHeaven https://twitter.com/qrowenacaples/status/637379160420257793 …
Fri Aug 28 14:43:23 PDT 2015 --  Goodmorning! #ALDUBMaiDenHeaven https://twitter.com/ofcaldubmalay/status/637379752110632962 …
Fri Aug 28 15:18:11 PDT 2015 --  Anyre ang aga aga Close to half a million na , Tanong kulang natulog kyo ? Nakakaproud naman ! #ALDUBMaiDenHeaven pic.twitter.com/xh1GmxpZfz
Fri Aug 28 01:08:57 PDT 2015 --  Read and Share @allanklownz @rodriguezruby @sam_yg @MaineAlden16 @officialaldub16 #ALDUBGettingCLOSER pic.twitter.com/zfrt7PQ7jF
Fri Aug 28 00:41:07 PDT 2015 --  Getting closer to 1million tweet again guys.. Kaya pa yan.. :-) #ALDUBGettingCLOSER
Thu Aug 27 23:28:05 PDT 2015 --  Keep on tweeting guys! #ALDUBGettingCLOSER @mainedcm @aldenrichards02 pic.twitter.com/GKiqCJrESD
Thu Aug 27 23:30:51 PDT 2015 --  @reezabells Ingat kayo ate! #ALDUBGettingCLOSER
Thu Aug 27 23:12:30 PDT 2015 --  MAINEnatics with Meng..Beso pa more:) ONE FOR MAINE @mainedcm #ALDUBGettingCLOSER pic.twitter.com/1aRGlDaQKf
Thu Aug 27 23:07:30 PDT 2015 --  THE BEST TONG TATLONG TO. SLOW CLAP. #ALDUBGettingCLOSER pic.twitter.com/9AHuEaWHuX
Thu Aug 27 23:33:43 PDT 2015 --  Waaaahh #ALDUBGettingCLOSER https://twitter.com/vickibelo/status/636716395405832192 …
Thu Aug 27 21:15:17 PDT 2015 --  Winner talaga yung mga banat ni papi @sam_yg, gusto ko yung study now pabebe later. Upadated talaga sa Social Media #ALDUBGettingCLOSER
Fri Aug 28 00:00:12 PDT 2015 --  Alam na! RT @cactusberrrry: HAHAHA papi @sam_yg Maria Ozawa talaga. Iba ka. #ALDUBGettingCLOSER
Thu Aug 27 23:59:19 PDT 2015 --  TINAwanan nyo rin ba yung Calle's Angels kanina? Tuloy ang halakhakan sa @24OrasGMA. @gmanews #ALDUBGettingCLOSER pic.twitter.com/amibsDYR09
Fri Aug 28 00:01:01 PDT 2015 --  Amazing Leadership that Deals with Unity for the Best! Aba ayos! Hahaha #ALDUBGettingCLOSER @mainedcm @EatBulaga pic.twitter.com/B90jr7sCA2
Thu Aug 27 22:54:35 PDT 2015 --  Pinagkaguluhan si bae! Hahaha @aldenrichards02 #ALDUBGettingCLOSER @EatBulaga pic.twitter.com/MxwWxFnR7S
Thu Aug 27 22:56:49 PDT 2015 --  Todo na natin! #ALDUBGettingCLOSER https://twitter.com/aldubnationngrs/status/637141520353652736 …
Thu Aug 27 22:56:10 PDT 2015 --  But wait there's more! May kapatid pang isa! Ano gremlin lang ganon pag nababasa dumadami? #ALDUBGettingCLOSER
Thu Aug 27 22:58:55 PDT 2015 --  #ALDUBGettingCLOSER pic.twitter.com/AVu2uvI2yW
Thu Aug 27 22:59:48 PDT 2015 --  Oh no! Hindi pala si Lola Tinidora ang Nanay ni Yaya Dub @mainedcm Sino kaya ang tunay niyang Ina #ALDUBGettingCLOSER pic.twitter.com/ja3yzG6rVY
Thu Aug 27 23:00:07 PDT 2015 --  Lola Tinidora, nagpakita na! May rebelasyon tungkol sa pagkatao ni Yaya http://bit.ly/1NKZxvc  #ALDUBGettingCLOSER pic.twitter.com/Lyze7STWJw
Thu Aug 27 22:57:34 PDT 2015 --  SI @michaelbitoygma KAYA ANG KUKUMPLETO SA QUADRUPLETS? ABANGAN... #ALDUBGettingCLOSER pic.twitter.com/O8iYRk24zZ
Thu Aug 27 23:00:50 PDT 2015 --  STILL AT NO. ONE #ALDUBGettingCLOSER TWEET PA MORE @aldenrichards02 @mainedcm @EatBulaga @24OrasGMA pic.twitter.com/QMCuxFneWM
Thu Aug 27 22:45:49 PDT 2015 --  #ALDUBGettingCLOSER pic.twitter.com/2S1nOSLL18
Thu Aug 27 22:23:57 PDT 2015 --  @mainedcm @aldenrichards02 @allanklownz @officialaldub16 hahaha and2 na sya sakit ng tiyan ko #ALDUBGettingCLOSER pic.twitter.com/1kH7NFDixE
Thu Aug 27 22:46:51 PDT 2015 --  KALMA lang guyssss kakagising lang e sorry naman #ALDUBGettingCLOSER
Thu Aug 27 22:47:12 PDT 2015 --  #ALDUBGettingCLOSER https://twitter.com/officialaldub16/status/637138999971201024 …
Thu Aug 27 22:47:34 PDT 2015 --  Pogi Haha #ALDUBGettingCLOSER https://twitter.com/frankiearinolli/status/637122221165539328 …
Thu Aug 27 22:38:43 PDT 2015 --  WELCOME TINIDORA with her QUANDO QUANDO QUANDO! WOOOHHHHHHH! @officialaldub16 #ALDUBGettingCLOSER pic.twitter.com/FBj1M98CKy
Thu Aug 27 22:48:30 PDT 2015 --  Kahit nasa BICOL may pabebe wave padin, @aldenrichards02 @mainedcm #ALDUBGettingCLOSER pic.twitter.com/o5VKGU28xn
Thu Aug 27 22:49:04 PDT 2015 --  #ALDUBGettingCLOSER pic.twitter.com/1CxXylLYEc
Thu Aug 27 22:41:59 PDT 2015 --  PARTY PARTY!! @mainedcm @EatBulaga @AngPoetNyo @THEROGELIOS #ALDUBGettingCLOSER pic.twitter.com/UlnJjIPfvb
Thu Aug 27 22:49:14 PDT 2015 --  Parusa sa pag-iisip kung sino nga ba ang nakababata nilang kapatid na nanay ni Yaya Dub. HAHAHA @eatbulaga #ALDUBGettingCLOSER
Thu Aug 27 22:49:55 PDT 2015 --  "INGAT KA! UWI KA AGAD," @mainedcm Uwi daw agad Bae @aldenrichards02 #ALDUBGettingCLOSER pic.twitter.com/h0lDrTsY38
Thu Aug 27 22:49:17 PDT 2015 --  @MAINEnatics_OFC @officialaldub16 ALDUB NATION UPDATE: ALDUB 38.44 KATHNIEL 37.73 #ALDUBGettingCLOSER https://twitter.com/AldubFansCebu/status/636943570256068608 …
Thu Aug 27 22:50:55 PDT 2015 --  Masaya pa din kahit hindi kumpleto ang cast ng Kalyeserye. Grabe laughtrip! #ALDUBGettingCLOSER
Thu Aug 27 22:51:27 PDT 2015 --  "LOLA BICOL PA MORE PO =)" @aldenrichards02 @mainedcm Para kay Hany Go Bae! #ALDUBGettingCLOSER pic.twitter.com/lEAZsrquyr
Thu Aug 27 22:52:50 PDT 2015 --  TRENDING UPDATE: #ALDUBGettingCLOSER TOP SPOT NATIONWIDE & THIRD SPOT WORLDWIDE! WOOT-WOOOT! Calle's Angels PA MORE! pic.twitter.com/gXcHCzxeFd
Thu Aug 27 22:53:25 PDT 2015 --  Hula ko maganda na yan, maganda anak e si @mainedcm #ALDUBGettingCLOSER https://twitter.com/tinapperez/status/637139095446093825 …
Thu Aug 27 22:53:38 PDT 2015 --  CALLE'S ANGELS PA MORE! Sinong kaaway niyo? Haha, #ALDUBGettingCLOSER pic.twitter.com/AuarRbvjJm
Thu Aug 27 22:53:47 PDT 2015 --  #ALDUBGettingCLOSER pic.twitter.com/WI1JJGYTyD
Thu Aug 27 22:53:51 PDT 2015 --  woooh :) #ALDUBGettingCLOSER https://twitter.com/MaineAlden16/status/637140763948613632 …
Thu Aug 27 22:22:17 PDT 2015 --  HALA! Sinong parating??? #ALDUBGettingCLOSER
Thu Aug 27 21:37:30 PDT 2015 --  DEAR ALDUB... #ALDUBGettingCLOSER pic.twitter.com/wNrqO287lc
Thu Aug 27 20:41:39 PDT 2015 --  THE BEST REVENGE IS TO SMILE LIKE NOTHING HAPPENED. RETWEET THIS AND SPREAD LOVE NOT HATE. #ALDUBGettingCLOSER pic.twitter.com/Kzkrtswef0
Thu Aug 27 21:24:25 PDT 2015 --  putok na putok ang blush on #ALDUBGettingCLOSER https://twitter.com/senyoratidora/status/637117863396904962 …
Thu Aug 27 21:41:52 PDT 2015 --  Bulaga Pa More Cheerdance Pa More na, #ALDUBGettingCLOSER
Thu Aug 27 21:42:22 PDT 2015 --  Hahahaha! Wala e, bukas na ang tamang panahon nararamdaman namin. #ALDUBGettingCLOSER https://twitter.com/ercamllr/status/637122655959674880 …
Thu Aug 27 21:43:22 PDT 2015 --  Bulaga pa more na po! #ALDUBGettingCLOSER
Thu Aug 27 21:43:52 PDT 2015 --  ONLINE ULIT MAMAYA!GONNA ATTEND MY ECONOMICS AND PHYSICS CLASS!PUSH PA MORE ALDUBNATION! #ALDUBGettingCLOSER
Thu Aug 27 21:42:57 PDT 2015 --  No. 1 na ang ALDUB #ALDUBGettingCLOSER @MaineAlden16 @AlDubnaticssOfc @aldubnation_mnl @aldubmaiden https://twitter.com/trendinaliaPI/status/637122582613876736 …
Thu Aug 27 21:45:30 PDT 2015 --  Priceless. #ALDUBGettingCLOSER pic.twitter.com/WQogtEEjFh
Thu Aug 27 21:45:02 PDT 2015 --  Getting closer! #ALDUBGettingCLOSER pic.twitter.com/fms9BqDfqx
Thu Aug 27 21:44:20 PDT 2015 --  RT for Maine Mendoza! #ALDUBGettingCLOSER pic.twitter.com/ATDs8lOUeq
Thu Aug 27 21:43:43 PDT 2015 --  What's meant to be will always find a way. #ALDUBGettingCLOSER
Thu Aug 27 21:43:27 PDT 2015 --  I fall too fast, crash too hard, forgive too easily, and care too much. #ALDUBGettingCLOSER
Thu Aug 27 21:43:17 PDT 2015 --  ALDUB, powertweet! #ALDUBGettingCLOSER
Thu Aug 27 21:42:59 PDT 2015 --  One day, you'll be just a memory for some people. Do your best to be a good one. #ALDUBGettingCLOSER
Thu Aug 27 21:42:10 PDT 2015 --  Love doesn't need to be perfect, it just need to be true. #ALDUBGettingCLOSER
Thu Aug 27 21:41:59 PDT 2015 --  Be happy with what you have, while working for what you want. #ALDUBGettingCLOSER
Thu Aug 27 21:47:27 PDT 2015 --  Yung AlDub na lang nagpapakilig sayo. #ALDUBGettingCLOSER pic.twitter.com/kozHSI1LCN
Thu Aug 27 21:50:38 PDT 2015 --  Dimples are everything. #ALDUBGettingCLOSER pic.twitter.com/pd1yHY0HVz
Thu Aug 27 21:39:14 PDT 2015 --  He reminds me of Rico Yan @aldenrichards02 @ALDUBPILIPINAS @officialaldub16 #ALDUBGettingCLOSER pic.twitter.com/Wlggn448Cd
Thu Aug 27 21:05:09 PDT 2015 --  BELIEVE IN THE PLANS OF THE LORD!KEEP THE FAITH! #ALDUBGettingCLOSER
Thu Aug 27 20:28:55 PDT 2015 --  YOU'RE OKAY WITH THE WAY THIS IS GOING TO BE THIS IS GOING TO BE THE BEST THING WE'VE EVER SEEN #ALDUBGettingCLOSER pic.twitter.com/lRSHZ8dWkS
Thu Aug 27 19:32:04 PDT 2015 --  Top 10 'kilig' moments from KalyeSerye SEE MORE: https://shar.es/1vrQ35  via @inquirerdotnet #ALDUBGettingCLOSER pic.twitter.com/yMC1AT0g4H
Thu Aug 27 19:53:58 PDT 2015 --  Eto talaga ang bentang benta sa lahat eh! Hahahahah RT if natawa ka! #ALDUBGettingCLOSER @EatBulaga pic.twitter.com/bTcvHO0c2S
Thu Aug 27 20:00:24 PDT 2015 --  Ang gaganda lang! Haha #ALDUBGettingCLOSER pic.twitter.com/LHBOO2vrD5
Thu Aug 27 20:07:12 PDT 2015 --  From split screen to BIG SCREEN. From reel to REAL. From aldub to MAIDEN. To infinity & beyond. #ALDUBGettingCLOSER -cc
Thu Aug 27 18:11:05 PDT 2015 --  How many Rts for this its so cute ! @mainedcm @aldenrichards02 #ALDUBGettingCLOSER pic.twitter.com/FSfGLgM9jp
Thu Aug 27 18:13:15 PDT 2015 --  Selfie #ALDUBGettingCLOSER pic.twitter.com/tgKMaVD0tl
Thu Aug 27 18:14:22 PDT 2015 --  Georgeous @mainedcm #ALDUBGettingCLOSER pic.twitter.com/1W2jXOY1Vo
Thu Aug 27 19:00:22 PDT 2015 --  AlDub Fans from Middle East? Haha! Dami #ALDUBGettingCLOSER pic.twitter.com/nXW2zts42K
Thu Aug 27 19:01:05 PDT 2015 --  Sana bumalik na si Vice President! Nakakamiss yung tawa sabay sasabihin niyang "Hayy ayoko na" @allanklownz Haha! #ALDUBGettingCLOSER
Thu Aug 27 19:03:15 PDT 2015 --  TOP SPOT PA RIN #ALDUBGettingCLOSER POWER TWEET PA MORE MGA MAIDENALDUBARKADS @aldenrichards02 @mainedcm @EatBulaga pic.twitter.com/C25rKPb5Zf
Thu Aug 27 09:23:53 PDT 2015 --  Official HT: #ALDUBGettingCLOSER ALAM NA THIS!!! BAYANIHAN NA! -admin kira pic.twitter.com/4UzE2eSFBS
Thu Aug 27 15:58:13 PDT 2015 --  WE CAN'T KEEP CALM ALDUB GETTING CLOSER TO TAMANG PANAHON! PA-MAIDEN NA 'TO! #ALDUBGettingCLOSER HI @mainedcm HIHI pic.twitter.com/mqRzpL9Hcv"
Thu Aug 27 15:56:29 PDT 2015 --  Good morning AlDub Nation picture courtesy of @inquirerdotnet #ALDUBGettingCLOSER pic.twitter.com/m6Md6jqQd9
Thu Aug 27 16:10:28 PDT 2015 --  "Wherever you are, whatever you are doing, stop and smile because I am thinking of you." #ALDUBGettingCLOSER
Thu Aug 27 16:10:37 PDT 2015 --  Wherever I go, whatever I do, I carry a little part of you with me right here in the center of me heart. #ALDUBGettingCLOSER
Thu Aug 27 16:21:47 PDT 2015 --  MOVING CLOSER AND CLOSER... #ALDUBGettingCLOSER pic.twitter.com/5ZhfquKUmU
Thu Aug 27 12:01:08 PDT 2015 --  Ikaw na lang ang kulang #ALDUBGettingCLOSER pic.twitter.com/lWK1eMdOB1
Thu Aug 27 09:59:35 PDT 2015 --  Gigil pa more @mainedcm @aldenrichards02 paano pa kaya kapag dumating ang tama panahon! #ALDUBGettingCLOSER pic.twitter.com/uZFrPqAZxU
Wed Aug 26 23:23:57 PDT 2015 --  FIVE MILLION GOAL SA SABADO, PUSH NA YAN #HappyALDUBWeeksary
Wed Aug 26 23:15:35 PDT 2015 --  Kilig pa more kiss pa more totohanan pa more! @mainedcm @aldenrichards02 @EatBulaga #HappyALDUBWeeksary pic.twitter.com/EJcGg7Vr94
Wed Aug 26 23:11:27 PDT 2015 --  MALAPIT NA NAMAN TAYO MAG ONE MILLION GRABE KAYO TWEET PA MORE #HappyALDUBWeeksary
Wed Aug 26 23:06:26 PDT 2015 --  FOUR MILLION TAYO SA SABADO, MALUWAG NA NAMAN ANG EDSA, ETO NA NGA BA ANG TAMANG PANAHON #HappyALDUBWeeksary
Wed Aug 26 23:33:15 PDT 2015 --  Ccto: nuod dn si @kylienpadilla backstage! Hello po pabebe wave #HappyALDUBWeeksary pic.twitter.com/7Ip0goGFIv
Wed Aug 26 23:21:21 PDT 2015 --  So what can you say about this? When the freeze part at KALYESERYE? #HappyALDUBWeeksary pic.twitter.com/ph6A8onzFm
Wed Aug 26 23:55:29 PDT 2015 --  Kilig pa more! Hahahaha Grabe na ituuuu! @mainedcm @aldenrichards02 #HappyALDUBWeeksary pic.twitter.com/6scVWeqYrK
Wed Aug 26 23:43:39 PDT 2015 --  Pag ang mundo nyo ay umiikot lang sa inyong dalawa,imposibleng hindi magiging katotohanan. Araw araw ba naman. #ALDUBHappyWeeksary
Thu Aug 27 00:01:03 PDT 2015 --  #HappyALDUBWeeksary: Bagong hamon ni Lola, maging susi kaya sa pagtatagpo ng AlDub? http://gmane.ws/1K6jfll  pic.twitter.com/iYbJ4QoC5G
Wed Aug 26 22:50:54 PDT 2015 --  Waaahhh..!!! SUPPORTIVE NG FAMILY MENDOZA!! LOOK ALDUB NATIONS! #HappyALDUBWeeksary pic.twitter.com/eGr00t1NR5
Wed Aug 26 23:41:01 PDT 2015 --  BABALA ASAWA NI BABALU! PLEASE DO RETWEET, MAHALAGA 'TO! @EatBulaga @AngPoetNyo @mainedcm #HappyALDUBWeeksary pic.twitter.com/sArJWFRvQG
Wed Aug 26 22:47:30 PDT 2015 --  Nilalaglag na pati nila Jose at Lola Nidora yung dalawa! Ok lang yan guys! Pwede naman umamin :"> #HappyALDUBWeeksary
Thu Aug 27 00:05:34 PDT 2015 --  Alden seryoso ka ba talaga? KAY MAINE? Hahahaha! Yun yong nakakakilig eh! @mainedcm #HappyALDUBWeeksary pic.twitter.com/uRcWaFdPOV
Wed Aug 26 23:31:36 PDT 2015 --  Abangan bukas ang mangyayari. #HappyALDUBWeeksary pic.twitter.com/w5tChbspVo
Wed Aug 26 23:30:19 PDT 2015 --  Pati nga sa pagtulog ko nandun ka!! #HappyALDUBWeeksary pic.twitter.com/eYBcwcpx8d
