Sat Aug 29 01:14:28 PDT 2015 --  
Fri Aug 28 08:54:18 PDT 2015 --  K, I'm tired of my short hair now. Grow hair, grow!!
Mon Apr 27 14:40:28 PDT 2015 --  This is actually really very depressing. Lol.
Mon Apr 27 14:40:01 PDT 2015 --  Yall are KILLING me with all these weddings!! I'm officially starting a Paulina is everyone's bridesmaid fund. Pleasee yall I need donations
Mon Apr 27 09:57:04 PDT 2015 --  Feelings are stupid. And I really wish bread didn't make you fat! pic.twitter.com/kqj8DfFkZE
Mon Apr 27 06:31:59 PDT 2015 --  #Capricorn's love hard so dont play with their heart.
Sun Apr 26 20:57:50 PDT 2015 --  We are all fools in love..
Sun Apr 26 08:45:47 PDT 2015 --  SpiritualSunday pic.twitter.com/NPFGW890We
Fri Apr 24 08:59:53 PDT 2015 --  So much truth https://twitter.com/FreddyAmazin/status/591630951786143745 …
Fri Apr 24 07:42:22 PDT 2015 --  I. Need. Energy.
Fri Apr 24 07:36:45 PDT 2015 --  10 Things Romantic Love Will Never Be http://tcat.tc/1bodT4N  pic.twitter.com/QZzgrQaESv
Thu Apr 23 18:36:09 PDT 2015 --  I love having meme wars with my siblings
Thu Apr 23 15:04:56 PDT 2015 --  My skin is starting to itch for more ink!!
Thu Apr 23 12:05:31 PDT 2015 --  While signing a document, I dated it 4/23/12. The man pointed out its 2015 & asked if I wanted to go back in time... yes, I do. RIP Tia...
Thu Apr 23 08:43:11 PDT 2015 --  I love enthusiastic parents! They remind me of my dad when we were touring universities
Wed Apr 22 20:24:43 PDT 2015 --  What I love most about my short hair?? That I don't have to put it up in a ponytail over night causing a headache in the morning
Wed Apr 22 19:47:04 PDT 2015 --  Construction workers discover 43 fossilized dinosaur eggs during roadwork - http://abcn.ws/1EseuzF  pic.twitter.com/ZL8P9uWcYY
Wed Apr 22 18:23:24 PDT 2015 --  #SOC! Celebrating achievement at South Oak Cliff http://www.wfaa.com/videos/news/local/southern-dallas … /2015/04/22/celebrating-achievement-at-south-oak-cliff/26204013/
Wed Apr 22 09:03:24 PDT 2015 --  Love me some @terrycrews!!!! https://twitter.com/EW/status/590908082311532545 …
Tue Apr 21 13:15:14 PDT 2015 --  Looks like I'm going to be the girl from 27 dresses. Always, always a bridesmaid, never a bride. I'm going to go cry now... lol
Tue Apr 21 13:14:29 PDT 2015 --  If one more person asks me to be a bridesmaid this year, I'm going to lose it!
Tue Apr 21 09:59:06 PDT 2015 --  Oh jeez I think I'm in love! I NEED to make my way to Paris!!
Tue Apr 21 04:47:57 PDT 2015 --  Why is it so cold
Sun Apr 19 19:48:13 PDT 2015 --  pic.twitter.com/lvwEGt69Tm
Sat Apr 18 21:26:44 PDT 2015 --  There's always certain things, that no matter how much time passes by, they're still gonna hurt... in my feelings tonight
Sat Apr 18 08:52:47 PDT 2015 --  Just chopped off more than half the length of my hair.... some people are not going to be happy with me... lol
Fri Apr 17 07:37:16 PDT 2015 --  I hate, hate HATE dealerships. I was trying to be nice but yall done pissed me off!
Thu Apr 16 15:47:38 PDT 2015 --  I need someone to force me to go running, because right now, I'm not feeling it!
Thu Apr 16 13:18:52 PDT 2015 --  Throwin it back to the early 90's. #wesocute #mydayones #tbt #family https://instagram.com/p/1jIhvpJUJn/ 
Wed Apr 15 18:27:26 PDT 2015 --  Love how my legs are shaping up!
Wed Apr 15 08:10:28 PDT 2015 --  25 Times Disney Princesses Perfectly Summed Up Being 25 http://www.buzzfeed.com/laraparker/times-disney-princesses-perfectly-summed-up-almost-being?utm_term=.fgrNnV9k9 …
Sun Apr 12 14:59:10 PDT 2015 --  Don’t let you stop you. #betterforit http://gonike.me/bfiittw  https://amp.twimg.com/v/a1eb640a-b8c2-42e9-b4d1-49a29fa2a285 …
Sat Apr 11 21:36:19 PDT 2015 --  #Ducati #zoomzoombitches #iwastooscaredtoturniton https://instagram.com/p/1XJe9dJUHa/ 
Fri Apr 10 12:21:14 PDT 2015 --  My mind told me Whataburger for lunch but my body was like nah gurl chill that's gonna mess you up. I should've listened....
Thu Apr 09 08:09:23 PDT 2015 --  Y'all ready for this? #OITNB #SorryNotSorry https://youtu.be/njy0dFFlpAc 
Thu Apr 09 09:08:40 PDT 2015 --  I have a new found respect for people who weightlift.... Deadlifting ain't no joke!
Wed Apr 08 14:42:20 PDT 2015 --  You & I, we don't wanna be like them. We can make it to the end
Tue Apr 07 19:20:06 PDT 2015 --  Life has me like pic.twitter.com/OaXre8xVug
Mon Apr 06 13:39:51 PDT 2015 --  He said, "they sippin on that hateraid right about meow" lmfao! #zoomzoombitch #youcantridewithus
Sat Apr 04 18:07:03 PDT 2015 --  Yall, I finally found true love!! Lol #mynewbaby https://instagram.com/p/1Ev-IDJULI/ 
Fri Apr 03 21:40:12 PDT 2015 --  Oh @samsmithworld. Your voice, your talent, you. I love youuuuuuu!
Fri Apr 03 17:39:08 PDT 2015 --  It feels so good to be this happy! #thankful
Fri Apr 03 09:01:31 PDT 2015 --  " @jimmyfallon: The Evolution of Mom Dancing 2 - Special thanks to @FLOTUS! #GimmeFive #MomDance https://youtu.be/_qWuOtP9eZE  #FallonTonight"
Fri Apr 03 07:45:49 PDT 2015 --  I've officially decided to apply to NYU! Ahhhh!!! Let's see how this goes.
Fri Apr 03 07:44:49 PDT 2015 --  After being inspired by a student who is looking to continue their education in LONDON. I decided I can shoot for the starts too!
Fri Apr 03 05:52:53 PDT 2015 --  I've been soooo over this work week since Tuesday.. Thank God its Friday!!!
Thu Apr 02 19:34:48 PDT 2015 --  C'mon yall know @jimmyfallon deserved that belt #LipSyncBattle
Wed Apr 01 19:37:44 PDT 2015 --  Can my baby have a dad like this!? 17 Dads Who Would Do Anything For Their Daughters http://www.buzzfeed.com/alisoncaporimo/dad-love …
Wed Apr 01 16:53:54 PDT 2015 --  It's barely April and the A/C is already on in our house ... this is clearly a joke
Wed Apr 01 04:42:19 PDT 2015 --  Why am I so exhausted
Tue Mar 31 19:40:06 PDT 2015 --  This picture pumps me up every damn time pic.twitter.com/sL0Lvrbkme
Tue Mar 31 09:55:33 PDT 2015 --  I don't appreciate the finer things in life.
Mon Mar 30 12:01:11 PDT 2015 --  Taco Cabana customers say they were forced to eat outside http://on.wfaa.com/1bHT58K  I wish someone would tell my dad he had to eat outside.
Mon Mar 30 09:24:42 PDT 2015 --  Esta bien yo tambien soy dramatica aves pero chingao!!
Mon Mar 30 09:24:13 PDT 2015 --  Pinche dramatica
Sun Mar 29 21:56:59 PDT 2015 --  I'm in lesbian with you
Sun Mar 29 19:56:46 PDT 2015 --  #MorganisBritish!??
Sun Mar 29 19:32:45 PDT 2015 --  And Now We Wait.... #TheWalkingDead #TWDFinale pic.twitter.com/u7ve4Svdox
Sun Mar 29 19:40:57 PDT 2015 --  I CANNOT FUCKING WAIT UNTIL OCTOBER FOR THIS SHIT!! #TWDFinale
Sun Mar 29 18:41:24 PDT 2015 --  I'm not ready for this #TWDFinale
Sun Mar 29 18:36:41 PDT 2015 --  The Walking Dead is already making me hyperventilate #TWDFinale
Sun Mar 29 18:39:20 PDT 2015 --  Trap. Bad People Coming. Don’t Stay. #TWDFinale
Sun Mar 29 08:31:09 PDT 2015 --  Fearing it's always gon' be me sharing you w/all them... this song tho Wale Ft. Usher - Matrimony (Official Audio): https://youtu.be/A0PUGSh0GUU 
Fri Mar 27 20:52:15 PDT 2015 --  Blind Devotion #oneday http://www.cosmopolitan.com/sex-love/news/a38313/this-is-what-true-love-really-looks-like/ …
Fri Mar 27 06:46:36 PDT 2015 --  For whoever approaches God must believe that he exists, and that he rewards those who seek him. http://bible.com/42/heb.11.6.cpdv …
Fri Mar 27 04:35:19 PDT 2015 --  A good looking weekend... pic.twitter.com/JLQQ17FSux
Wed Mar 25 19:05:00 PDT 2015 --  I am soooooo in LOVE with Sophie Hunter's wedding dress and her baby bump!!
Wed Mar 25 18:50:11 PDT 2015 --  Between working out at The Sweat Shop and training for a half marathon, I may just die lol.
Tue Mar 24 19:36:57 PDT 2015 --  6 years is a really long time... idk that I'm ready for that kind of commitment..
Mon Mar 23 10:39:01 PDT 2015 --  The pressure is real
Sat Mar 21 13:45:06 PDT 2015 --  24 Tattooed Seniors Answer The Question: "What Will It Look Like In 40 Years?" http://bzfd.it/1EWcO0D  12&19 hot damn!!! Yall can get it!
Fri Mar 20 20:00:18 PDT 2015 --  pic.twitter.com/BzP4N2QD4t
Fri Mar 20 20:06:32 PDT 2015 --  " @BuzzFeed: If “Friends” Were A Seth MacFarlane Cartoon http://bzfd.it/1I5fJTf  pic.twitter.com/JKPh9MpaqE" god please no. I hate MacFarlane...
Fri Mar 20 17:57:34 PDT 2015 --  I feel sad for sports cars who aren't driven over the speed limit...
Fri Mar 20 08:57:00 PDT 2015 --  Our campus president is so amazing. I want to be like her when I grow up. Such a great opportunity to work with her.
Thu Mar 19 15:25:07 PDT 2015 --  I'm super duper excited and pumped to be running my first half marathon!!
Thu Mar 19 09:48:02 PDT 2015 --  Happy Happy Birthday Chanchito!! I can't believe you're 18!!!! I have watched you grow into… https://instagram.com/p/0aqJNjpUBp/ 
Wed Mar 18 04:19:07 PDT 2015 --  This is what depression really looks like http://bzfd.it/1O3BCGQ 
Tue Mar 17 18:52:40 PDT 2015 --  I need a taco emoji in my life!!
Tue Mar 17 04:50:58 PDT 2015 --  OMG! " @TheFunnyTeens: Sending prayers to my future husband, really hoping you're doing well in school cause ya girl is struggling."
Mon Mar 16 22:15:32 PDT 2015 --  pic.twitter.com/L9wqS1Tgg9
Mon Mar 16 04:53:31 PDT 2015 --  No me quiero levantar
Sun Mar 15 20:12:54 PDT 2015 --  My dad convinced me to buy a challenger, not that I needed much convincing to begin with lol.
Sun Mar 15 08:18:20 PDT 2015 --  Did Eugene lead the group to Alexandria? Check out this sneak peek before tonight's #TheWalkingDead at 9|8c. https://amp.twimg.com/v/61622103-d07d-418f-881f-18a77c4ee63b …
Sat Mar 14 05:49:16 PDT 2015 --  I am the master of my own bladder. I am the master of my own bladder...
Sat Mar 14 03:53:49 PDT 2015 --  
Fri Mar 13 19:55:47 PDT 2015 --  Can I just hide under my covers this weekend instead of doing whatever adult things I need to do?
Fri Mar 13 08:00:00 PDT 2015 --  For the fans... We heart you. #OITNB #StopDontTalkToMe https://amp.twimg.com/v/d7096af6-65a0-4480-a93f-72f51f638c7e …
Thu Mar 12 20:59:13 PDT 2015 --  "Don't get so busy making a living you forget to make a life." #wordstoliveby
Thu Mar 12 13:54:29 PDT 2015 --  Banda!!
Thu Mar 12 08:24:00 PDT 2015 --  Doggy!! The Internet Is Going Wild For This Adorable Therapy Dog With No Eyes http://www.buzzfeed.com/alanwhite/this-adorable-dog-with-no-eyes-was-saved-from-a-life-of-negl?utm_term=.graMaRkXk …
Wed Mar 11 19:12:03 PDT 2015 --  I'm so thankful my parents raised me to be a hard working woman!
Wed Mar 11 19:10:46 PDT 2015 --  It super nice to know that they have my back even if that means me leaving them in the near future.
Wed Mar 11 19:10:00 PDT 2015 --  Big boss told me today that I have the potential to be whatever I wanted in life. I love having the 110% support of my bosses.
Wed Mar 11 18:41:17 PDT 2015 --  Dancing potatoes!!!!
Wed Mar 11 12:44:49 PDT 2015 --  Today has been such a GOOD and productive day!!! But I'm ready for bed now lol.
Tue Mar 10 20:22:44 PDT 2015 --  Don't talk about it, be about it
Tue Mar 10 19:16:23 PDT 2015 --  http://thoughtcatalog.com/brianna-wiest/2013/06/30-quotes-that-will-make-you-rethink-what-love-means/ …
Tue Mar 10 12:24:28 PDT 2015 --  Oh Mr. Sun, Sun Mr. Golden Sun please shine down on me!!
Tue Mar 10 08:48:14 PDT 2015 --  #iwokeuplikethis lol jk it takes time https://instagram.com/p/0DYJWlpUKD/ 
Tue Mar 10 08:44:30 PDT 2015 --  My father always told me to avoid heartbreak, find a man who loves you more.
Mon Mar 09 17:29:56 PDT 2015 --  An Entire Town Secretly Learned Sign Language To Surprise Their Deaf Neighbor http://www.buzzfeed.com/ryanhatesthis/an-entire-town-secretly-learned-sign-language-to-surprise-th?utm_term=.nq4yn8KaK …
Mon Mar 09 17:00:56 PDT 2015 --  I'm about to lose my mind this fucking traffic makes no sense!! I hate ppl, stop being nosey and DRIVE!!! Shit.
Mon Mar 09 04:17:48 PDT 2015 --  " @FitspirationaI: One day i'm going to wake up really fit... pic.twitter.com/2cYIxhvEZw" hahaha
Mon Mar 09 04:01:47 PDT 2015 --  You haven’t seen your best days. Stir up your faith, stir up your gifts & stir up your passion.
Mon Mar 09 04:15:45 PDT 2015 --  " @wfaachannel8: Delays due to traffic switch nb 35e @ I-30. New exit ramps for I30 are @ 8th Street. Traffic slow to Beckley. 20min delay"
Sun Mar 08 22:27:23 PDT 2015 --  Boy I tell ya, as much as this man pisses me off, it's so hard not to love him. Lol. Jerk.
Sun Mar 08 21:37:39 PDT 2015 --  http://elitedaily.com/dating/pain-loving-someone-let-go/903129/ … That’s what true love does to a person — it changes you and sets your life on a different track.
Sun Mar 08 19:16:50 PDT 2015 --  Poor buttons! :(
Sun Mar 08 18:53:22 PDT 2015 --  On what planet is ONE packet of salsa enough!? If you couldn't tell I AM Mexican and love hot stuff!
Sun Mar 08 16:39:38 PDT 2015 --  Pretty much. pic.twitter.com/IWVFnuyNFU
Sat Mar 07 04:50:25 PST 2015 --  Yes, this amazing Harvard rejection letter is fake. No, that's not stopping us from cracking up: http://eonli.ne/1CCFISP 
Fri Mar 06 19:15:42 PST 2015 --  " @wfaachannel8: Police: Man killed in snow by random shooting http://on.wfaa.com/1CJS4II " so sad ...
Thu Mar 05 07:27:16 PST 2015 --  My dogs are in the yard walking around like they don't know what snow is lmao... it's quite hilarious
Wed Mar 04 22:56:30 PST 2015 --  Well that was unexpected...
Tue Mar 03 19:25:09 PST 2015 --  I need an emotional support group for the sole purpose of discussing what happens on @WalkingDead_AMC..
Sun Mar 01 11:34:23 PST 2015 --  Love, love ,love this man!!! Matthew McConaughey On The George Lopez Show http://www.latina.com/entertainment/celebrity/matthew-mcconaughey-loves-latinas-george-lopez-show …
Sat Feb 28 19:37:43 PST 2015 --  Shamy
Fri Feb 27 09:54:39 PST 2015 --  I want nothing more right at this moment than to be cuddled up in bed, warm and toasty drinking hot chocolate and reading
Wed Feb 25 12:45:53 PST 2015 --  Thank you for your responses! #ilovemybodybecause #bodylove #mybodyadvice https://vine.co/v/hlBWlu7J3zg 
Tue Feb 24 20:14:25 PST 2015 --  Eddie Ray Routh found guilty of murdering American Sniper Chris Kyle http://ti.me/18jptgA  (Michael Ainsworth—AP) pic.twitter.com/ajB2Bs3UWy
Tue Feb 24 08:35:31 PST 2015 --  THE NEW RECORD IS FINALLY HERE! "Wild Eyes" ::: http://www.tinyurl.com/MMWildEyes  Y'all mind helping me spread the word?
Sun Feb 22 20:25:26 PST 2015 --  " @ImmortalDixon: Every damn time. #TheWalkingDead pic.twitter.com/3sgJe7A2EF" yessss! :/
Sun Feb 22 20:23:19 PST 2015 --  Bruuuhhhh!! I swear @WalkingDead_AMC likes to mess with my emotions
Sun Feb 22 17:47:26 PST 2015 --  How the fuck is a textbook going to be more expensive than the actual class!! TF man!!??
Sun Feb 22 09:14:43 PST 2015 --  So I'm JUST now catching up with last week's episode of TWD and jeez I have never cried so much...
Sat Feb 21 06:39:53 PST 2015 --  
Fri Feb 20 13:41:46 PST 2015 --  #1 reason I prefer 1000x over to work with men than women... drama, drama... ima go over here and just keep to myself..
Thu Feb 19 12:12:33 PST 2015 --  32 Signs Your Boyfriend Is Andy Dwyer http://bzfd.it/1zOtBdY 
Thu Feb 19 08:53:23 PST 2015 --  I must see @KevinHart4real live!!!
Wed Feb 18 15:29:41 PST 2015 --  Like I needed more reason to love my job!!
Wed Feb 18 12:26:45 PST 2015 --  I really wanna drive down to Austin right about now!!!
Tue Feb 17 15:35:54 PST 2015 --  What to pig out to on Fat Tuesday!? Decisions, decisions...
Sun Feb 15 14:57:39 PST 2015 --  I'm so tired I forgot TWD is on tonight... this is unacceptable lol
Fri Feb 13 10:34:01 PST 2015 --  Wednesday night interlude
Wed Feb 11 21:40:26 PST 2015 --  I'm doing it. I'm signing up for my 1st ever half marathon..I think I've finally lost my mind. 13.1 miles, I'm going to make you my bitch!
Wed Feb 11 15:13:29 PST 2015 --  One of my favorite things is mail. Not like bills or junk mail, but personal mail. I love sending and receiving mail.
Tue Feb 10 11:46:13 PST 2015 --  Teen given candid advice for a job interview by Target employees returns to thank them: http://abcn.ws/1zt94vn  pic.twitter.com/NXLxYQ94uJ
Mon Feb 09 07:28:34 PST 2015 --  I'm so sore, it literally hurt to drive to work... ouch!
Mon Feb 09 05:36:14 PST 2015 --  Oh Kanye, just as I was coming around to liking you, you reminded me why I didn't like you to begin with... smh
Sun Feb 08 20:38:58 PST 2015 --  I'm not your life line. There's no room left in my life for you.
Sun Feb 08 20:36:33 PST 2015 --  Dude, you have nothing to offer me, you couldn't even help me build up my life. Because you couldn't build up yours.
Sun Feb 08 19:38:51 PST 2015 --  Forget the Grammy's can we talk about what's more important here.... @WalkingDead_AMC
Sun Feb 08 11:17:28 PST 2015 --  You guys!!!! @WalkingDead_AMC comes back on tonight!!! Whoop-Whoop
Sat Feb 07 23:00:28 PST 2015 --  Valentine's Day coming up, options are limited.. pic.twitter.com/AsvK2jKj3A
Sat Feb 07 21:09:48 PST 2015 --  Huck you are one crazy, beast of a mofo!! And I love it!!
Sat Feb 07 14:32:04 PST 2015 --  Como extrano Mexico
Sat Feb 07 09:36:10 PST 2015 --  Just found out my cousin named his little girl after me! Awe!!!
Fri Feb 06 17:32:45 PST 2015 --  Chris Pratt makes good on his Super Bowl bet against Chris Evans in the cutest hospital visit ever! http://eonli.ne/1Ffm2lB  #StarLord
Fri Feb 06 17:19:39 PST 2015 --  This is why I don't talk to people. People are crazy... and I somehow always end up in these situations... oh my life... lol
Fri Feb 06 17:05:31 PST 2015 --  I'm literally rotflmao....
Fri Feb 06 17:04:47 PST 2015 --  This fool just gonna straight up ask me to be the mother of his child... Mofo cray!!
Thu Feb 05 14:41:31 PST 2015 --  "A life worth living is one lived fearlessly" What My Father's Suicide Taught Me About Traveling Fearlessly https://www.yahoo.com/travel/what-my-fathers-suicide-taught-me-about-traveling-109609142982.html?soc_src=mags&soc_trk=tw …
Thu Feb 05 10:39:41 PST 2015 --  2-year-old girl and her pet pig share the bond of a lifetime: http://abcn.ws/1AwvaTW  pic.twitter.com/Ty9ICi683A
Wed Feb 04 11:06:25 PST 2015 --  I just fell asleep at my desk with my eyes open for 15 mins. I didn't think that was possible lol.
Tue Feb 03 11:13:11 PST 2015 --  Looks like for the next month and a half I will be getting little to no sleep. Yay! -___- lol... beware I will be one cranky person..
Tue Feb 03 08:57:56 PST 2015 --  " @YahooTech: Internet raises $150,000 for Detroit man who walks 21 miles to and from work http://yhoo.it/1yB4iN4  pic.twitter.com/hSNEYkdSHd"
Tue Feb 03 08:17:47 PST 2015 --  Even Pavlov couldn’t get a cat to do anything.
Mon Feb 02 20:33:27 PST 2015 --  "My dad's story": Dream for My Child | MetLife: http://youtu.be/3bdm4NBYxII 
Fri Jan 30 21:01:00 PST 2015 --  Y'ALL!! @simpleskin So amazing! I love, love, love it!
Fri Jan 30 08:13:23 PST 2015 --  I love my boss and coworkers though, they're so awesome! But I can already tell it's going to be an emotional day :(
Fri Jan 30 08:12:19 PST 2015 --  Just had the most emotional meeting at work so far... it's acceptable to cry at work right? No?
Thu Jan 29 15:40:46 PST 2015 --  I'm so ready to book my vacation to San Francisco! Can we leave now @isalazar06?
Tue Jan 27 12:25:25 PST 2015 --  If I am ever so blessed to have a daughter I want to name her Micaela. My husband will have no say in it! I birth her, I name her! Lol.
Tue Jan 27 08:00:59 PST 2015 --  Why are ppl always shocked when they see me driving a truck? Lol. I like big trucks and I cannot lie...
Mon Jan 26 11:57:00 PST 2015 --  blink-182 life. For life.
Mon Jan 26 20:39:53 PST 2015 --  Blink-182's Hoppus, Barker Blast 'Ungrateful, Disingenuous' Tom DeLonge http://rol.st/1tiznrI 
Mon Jan 26 19:18:39 PST 2015 --  This is exactly why we can't have nice things! I HATE that ppl don't take care of MY shit when I'm nice enough to lend it to them.. SMDH!
Mon Jan 26 17:05:24 PST 2015 --  TF 'tatted like a Mexican' supposed to mean anyways!?
Sun Jan 25 18:20:38 PST 2015 --  Parks and Recreation has me like
Sun Jan 25 13:05:32 PST 2015 --  I swore I was going to have a productive Sunday, but who was I kidding
Sat Jan 24 21:58:22 PST 2015 --  I have all 10 seasons of Friends on DVD, it's probably on TV now but I'm still watching it on Netflix lol
Sat Jan 24 21:36:30 PST 2015 --  I was the girl who always went to her dad for anything & I mean anything. I miss that... it's not the same
Sat Jan 24 14:34:37 PST 2015 --  " @TexasHumor: My favorite Spanish word this time of day is "siesta"." Mine is cena... ya hace hambre! Lol
Sat Jan 24 14:12:46 PST 2015 --  Ya puedo hablar de ti, ya puedo sonreir sin que me duela el alma..... http://youtu.be/3qXYs312b3g 
Fri Jan 23 20:34:53 PST 2015 --  What a movie! That family wasn't lucky at all they were BLESSED! #TheImpossible
Fri Jan 23 06:49:28 PST 2015 --  I woke up hoping I'd get a txt from my boss saying not to come into work b/c it had snowed. #wishfulthinking
Fri Jan 23 04:34:30 PST 2015 --  PANDA BRAWL. Allow this adorable melee to get your day started off right this AM. WATCH: http://on.fb.me/1CWmbck  pic.twitter.com/u6688OAorD
Fri Jan 23 04:36:35 PST 2015 --  Morning humor.... pic.twitter.com/3umFDTfOv5
Thu Jan 22 19:37:19 PST 2015 --  I've seen the majority of the women in my family make the SAME mistake over the years. I just hope & pray I won't fall in their footsteps...
Thu Jan 22 18:51:48 PST 2015 --  I hate group txts! Except for the ones with my idiot brothers. These fool's are ridiculous!
Thu Jan 22 18:11:40 PST 2015 --  OH MA GAHD I love @terrycrews!
Thu Jan 22 16:57:05 PST 2015 --  I rcvd TWO heart stopping txts today. "we need to talk" & "can i ask you something" Do ppl not realize how horrible & terrible those are!?
Thu Jan 22 15:26:02 PST 2015 --  Half sleeves + a wedding dress = GOALS! 23 Beautiful Brides Who Showed Off Their Tattoos With Pride http://bzfd.it/15aNuUO 
Thu Jan 22 13:04:12 PST 2015 --  I love that I still get email reminders to reapply for FAFSA. I miss the student life :(
Thu Jan 22 04:30:11 PST 2015 --  If this means trust, I don't have any pic.twitter.com/ED3EIcnnhg
Wed Jan 21 17:35:14 PST 2015 --  Preferably a Reeses peanut butter cup... Or a Kit-Kat do those even have peanut butter!? Idk but CHOCOLATE!
Wed Jan 21 17:34:05 PST 2015 --  And any combination of chocolate and peanut butter!
Wed Jan 21 17:33:36 PST 2015 --  I really REALLY want chocolate covered strawberries
Wed Jan 21 17:33:06 PST 2015 --  Yall I need some chocolate in ma life!!!!
Wed Jan 21 08:15:17 PST 2015 --  Never in a million years would I think, I'd ever drink anything that has spinach or kale in it, now I LOVE it!
Wed Jan 21 06:46:07 PST 2015 --  Yo man one of my greatest pet peeves is just straight up ignoring someone. Shit, if you don't wanna talk to me just fucking say so. BITCH!
Tue Jan 20 20:10:38 PST 2015 --  You know you have an obsession with cups, when your mom constantly gets on you for buying MORE cups. #ilovecups #cupsarecool
Tue Jan 20 17:31:35 PST 2015 --  Bitches be crazy
Tue Jan 20 15:13:43 PST 2015 --  Just waiting on Baylor Dallas! Praise the Lord!
Tue Jan 20 15:04:26 PST 2015 --  #RedVelvet
Tue Jan 20 08:25:49 PST 2015 --  I am so overwhelmed with everything going on in my life. There's always something... I may just shut down one day
Mon Jan 19 20:12:10 PST 2015 --  I didn't know Chris Kyle but I feel as if I had. God bless his family and may he forever rest in peace.
Mon Jan 19 20:10:35 PST 2015 --  MUCH, MUCH respect to our soldiers, past & present.
Mon Jan 19 15:47:48 PST 2015 --  Lolol jk https://vine.co/v/OjYpP5Vw3YT 
Mon Jan 19 09:47:56 PST 2015 --  Cantale mi Chente!!!
Sun Jan 18 21:31:45 PST 2015 --  Timing is a horrible, horrible bitch...
Sun Jan 18 16:21:51 PST 2015 --  Sometimes I really miss Nacogdoches, but then I visit and I get over it real quick lol. #SFASU #Alumna… http://instagram.com/p/yA-Yg8JUFt/ 
Sun Jan 18 00:02:53 PST 2015 --  Mmmm sweet bed come to me
Sat Jan 17 05:34:21 PST 2015 --  I love watching the sunrise. It gives me hope and peace
Fri Jan 16 15:52:11 PST 2015 --  I love my ink!!! I don't like ppl who get to know me w/o knowing I have ink & then see me differently. Like my ink makes me a bad person.
Fri Jan 16 13:39:48 PST 2015 --  " @ThoughtCatalog: To The One That Will Love Her Next http://tcat.tc/1C6p9wf " I'm in tears! SO beautiful!
Thu Jan 15 21:20:25 PST 2015 --  Tomorrow is Friday, it's pay day, it's the start of a 3 day weekend AND I'm going outta town!! It doesn't get much better than that!
Thu Jan 15 19:45:50 PST 2015 --  I love everything about #Empire!
Wed Jan 14 18:39:45 PST 2015 --  I wish I had the means to take him home with me and take care of him :(
Wed Jan 14 18:36:05 PST 2015 --  There's a dog sitting in the parking lot of the store just sitting there like he's waiting for his owner and it's breaking my heart!
Wed Jan 14 18:02:09 PST 2015 --  Fun Fact: We complain about hot weather during the summer. We complain about cold weather during the winter. We hate the weather.
Tue Jan 13 15:23:31 PST 2015 --  Tragame tierra!
Tue Jan 13 14:35:21 PST 2015 --  My heart is too small for all these feels... Seattle Dog Figures Out Bus, Regularly Rides To Dog Park Solo http://www.huffingtonpost.com/2015/01/13/seattle-dog-rides-bus-public-transit-park-black-lab_n_6463364.html …
Tue Jan 13 12:25:37 PST 2015 --  @isalazar06 23 Snapchats Only Drake Would Send http://www.buzzfeed.com/michelleregna/sad-chats?utm_term=.kkXrQ9kPeO …
Tue Jan 13 10:22:22 PST 2015 --  " @HuffingtonPost: Zooey Deschanel pregnant with her first child http://huff.to/1BXlu3I " awe! Yay!
Mon Jan 12 18:10:33 PST 2015 --  But Terry Crews though
Mon Jan 12 18:10:24 PST 2015 --  Haven't seen The Longest Yard in such a long time! Forgot how much I liked it..
Mon Jan 12 18:00:16 PST 2015 --  What’s at fault? Scientists seek cause of Irving earthquakes http://d-news.co/Hc8Gf  pic.twitter.com/wAhA0FYTIY
Mon Jan 12 17:28:46 PST 2015 --  When a girl replies with "Aww thanks", it means she's politely asking you to return to the friendzone that you tried to escape from.
Mon Jan 12 05:25:50 PST 2015 --  Yo man somethings gotta give, this not sleeping through the night shit is getting old real fast.
Sun Jan 11 20:37:05 PST 2015 --  My mom over here asking me why I don't have a boyfriend. Like so seriously too, like it's a health concern or something .
Sun Jan 11 19:15:11 PST 2015 --  YO! " @CauseWereGuys: Always send your girl cute goodnight texts pic.twitter.com/8BoKUWUEgh"
Sun Jan 11 18:33:13 PST 2015 --  When the Hispanic foods section at Walmart doesn't have any Hispanic food in it #texmexdoesntcount
Sun Jan 11 16:19:36 PST 2015 --  I really dislike when ppl tell me I look just like someone else. Can I look like my damn self.
Sun Jan 11 13:28:47 PST 2015 --  The feeling I have right now is the reason I don't do sports. I'm too emotional
Sun Jan 11 13:20:16 PST 2015 --  " @TexasHumor: I'm throwing out all of the cheese I have in my fridge right now. #DALvsGB"
Sun Jan 11 13:13:28 PST 2015 --  I still don't understand how that's not a catch. Heartbreaker. Great season @dallascowboys
Sun Jan 11 13:00:40 PST 2015 --  What a bullshit ass call!!!!!
Sun Jan 11 12:59:06 PST 2015 --  Cowboys got robbed!! Awful reversal! I'd like to add a few more adjectives, but I better refrain.
Sun Jan 11 12:23:23 PST 2015 --  This game though!
Sat Jan 10 17:20:08 PST 2015 --  ICYMI: Chris @prattprattpratt is down for sex with @JimmyKimmel which totally makes him even HOTTER --> http://on.vh1.com/146CJlM 
Sat Jan 10 16:15:30 PST 2015 --  I just wanna be your favorite, won't you let me be your favorite. You know that you need a rider...
