Tue Aug 25 09:23:41 PDT 2015 --  Hj é dia de @masterchefbr #Ansioso #GOGOGOChefs
Sun Jul 14 10:27:42 PDT 2013 --  Para os q estão acordando agora: "Tamo junto" Kkkkkkkkkkkkkkkkk SQÑ!!!!!! :/
Sun Jul 14 04:18:23 PDT 2013 --  Bom Dia! #Partiu #Trabalhar #pra #JMJ @ São João De Pirabas http://instagram.com/p/bvpDafikFv/ 
Sat Jul 13 19:51:13 PDT 2013 --  :/
Sat Jul 13 15:00:09 PDT 2013 --  Missa de envio para a #JMJ.. http://fb.me/6n4vpKRBR 
Sat Jul 13 11:49:12 PDT 2013 --  Viagem cansativa! :/ #Mas #eh #por #uma #boa #causa @ Castanhal - Pa http://instagram.com/p/bt3rxaikGW/ 
Sat Jul 13 05:16:58 PDT 2013 --  Ahhhh ta um frio tão baum pra fcar dormindo! Chauu *-*
Thu Jul 11 06:55:16 PDT 2013 --  #Vontade... :) http://fb.me/Hv6gcnr9 
Wed Jul 10 07:50:00 PDT 2013 --  Delicious! #Gordiçes #Ilove #clubesocial #pizza @ Lanche u.u http://instagram.com/p/bluF78ikBm/ 
Wed Jul 10 06:28:43 PDT 2013 --  Eh vc Lorena !!!! Kkkkkkkkkkk... :/ http://fb.me/28vYon5fG 
Wed Jul 10 06:27:21 PDT 2013 --  *-* http://fb.me/1LDanPWdJ 
Wed Jul 10 05:18:21 PDT 2013 --  Oh! :0 http://fb.me/1hyReyRVe 
Wed Jul 10 05:00:57 PDT 2013 --  http://fb.me/2x63boyMc 
Tue Jul 09 10:49:30 PDT 2013 --  #Partiu #sonin #baum http://instagram.com/p/bjd5RwikCk/ 
Tue Jul 09 10:43:19 PDT 2013 --  http://fb.me/1PvGvs1V3 
Tue Jul 09 10:41:23 PDT 2013 --  Eh tipo isso! http://fb.me/Eo9B3swv 
Tue Jul 09 10:37:22 PDT 2013 --  *-* http://fb.me/1YNGvilEE 
Tue Jul 09 10:18:59 PDT 2013 --  http://fb.me/2CeddMD3u 
Tue Jul 09 09:55:59 PDT 2013 --  Genteeee urgente'!!! Essa eh pra quem tah em belem! #Partiu #cinema #amanha?
Mon Jul 08 14:05:55 PDT 2013 --  http://fb.me/EiAdLseC 
Mon Jul 08 10:00:50 PDT 2013 --  #Partiu #shoping #cinema #GolpeDeMestre *-*
Sun Jul 07 17:25:49 PDT 2013 --  Infelizmente eh isso eh um FATO... :/ http://fb.me/1JPtBDaZX 
Sun Jul 07 17:14:59 PDT 2013 --  Affs ninguem pra me tirar desse téh dio! Alguem tem whatsapp ai?
Sun Jul 07 17:12:06 PDT 2013 --  http://fb.me/1RqeWJ4PW 
Sun Jul 07 17:11:13 PDT 2013 --  http://fb.me/2jwlKk9hH 
Sun Jul 07 16:53:21 PDT 2013 --  Aquele momento em que vc acha a resposta perfeita pra uma discursão q jah aconteçeu..... "Oh God" :|
Sun Jul 07 16:45:36 PDT 2013 --  As vezes eu acho q mal gosto pra musica eh doença! Kkkklkk. Solução: FONES DE OUVIDO... *00000*
Sun Jul 07 14:40:33 PDT 2013 --  #Momento #Lesura #Aqui uuuuhhhuuuu. :P http://instagram.com/p/beusv5ikNP/ 
Sun Jul 07 13:55:51 PDT 2013 --  http://fb.me/2fnM25LNz 
Sun Jul 07 13:47:51 PDT 2013 --  http://fb.me/2Fz7BVS7S 
Sun Jul 07 13:40:26 PDT 2013 --  http://fb.me/X8BBAxk0 
Sun Jul 07 13:40:14 PDT 2013 --  Boooolooo! http://fb.me/O1GsuSMR 
Sun Jul 07 10:55:37 PDT 2013 --  http://fb.me/2vWbdZnyD 
Sun Jul 07 10:53:13 PDT 2013 --  http://fb.me/2euhZSngf 
Sun Jul 07 10:48:48 PDT 2013 --  http://fb.me/El75FTvB 
Sun Jul 07 10:44:13 PDT 2013 --  :P http://fb.me/1BAOIVCIJ 
Sun Jul 07 10:32:45 PDT 2013 --  :/ http://fb.me/NiBducJu 
Sat Jul 06 18:43:31 PDT 2013 --  Wwwooonnn.... somos lindus >< :) http://instagram.com/p/bclvjNCkHo/ 
Sat Jul 06 13:08:23 PDT 2013 --  "Quem vai me abraçar, me comprender, me consolar? Quem vai me querer? Quem vai saber me perdoar? E quando tantas... http://fb.me/1LmxpCEMz 
Sat Jul 06 06:12:37 PDT 2013 --  Passando ótimos momentos com #ela! :) #priminha #linda http://instagram.com/p/bbPyPNCkIe/ 
Fri Jul 05 18:27:04 PDT 2013 --  Por favor se a indireta eh pra mim.... me avise tah .. porq eu ñ tenho paciência pra ficar INVESTIGANDO... 2bjs #BoaNoiti
Fri Jul 05 14:41:53 PDT 2013 --  Atentando minha priminha Gielly u.u *-* http://fb.me/2zit4tssy 
Fri Jul 05 14:20:09 PDT 2013 --  Ah! Eu tenho q me programar pra mim ter um tempo pra ñ fazer NADA! :P kkkkk #BoaNoite
Fri Jul 05 05:31:46 PDT 2013 --  Poseh neh! :( http://fb.me/FiA98U4D 
Fri Jul 05 05:22:46 PDT 2013 --  http://fb.me/4jvgFLFec 
Fri Jul 05 05:21:59 PDT 2013 --  Ehhhhh... :))))) http://fb.me/FtQ7hJtS 
Thu Jul 04 05:28:13 PDT 2013 --  Por viajar eh bom! :P
Wed Jul 03 05:00:27 PDT 2013 --  " Vc deixou saudade, vc deixoi saudade!" #Chorão #Sdds
Mon Jul 01 05:34:46 PDT 2013 --  Tipo isso.. Kkkkk.. #SQÑ http://fb.me/2sCjhbU6L 
Mon Jul 01 05:22:24 PDT 2013 --  Poseh..... :/ http://fb.me/IMqIhrfZ 
Sat Jun 29 16:29:04 PDT 2013 --  Aff justo hj a net da #oi ñ presta.. :(
Thu Jun 27 17:42:52 PDT 2013 --  Boa noite a todos... Ta xato acho q vo mimi.. #xauuu. :)
Tue Jun 25 05:27:18 PDT 2013 --  #Saudade da Escola. :(
Tue Jun 25 05:20:43 PDT 2013 --  Meu face ta mais parado do que as obras do Brasil... :/ Ai eu pergunto eh pra rir ou pra chorar... fazer oq neh! #BomDia
Sat Jun 22 13:38:15 PDT 2013 --  Simulado + ou - errei umas acertei outras em fim eh melho nem pensar #BoaTarde :/
Fri Jun 21 19:47:50 PDT 2013 --  A musica fala q a rua eh a maior aquibancada do Brasil.. porq o ingresso pro estadio ta muito caro!... http://fb.me/2brRELU9k 
Fri Jun 21 14:24:41 PDT 2013 --  Kakakakak.. ri muito .kakaka... meia hora antes dos protesto a maioria doa protestantes nem sabia pra q era o... http://fb.me/2A1J5FHYB 
Fri Jun 21 14:21:53 PDT 2013 --  Todo mundo falando do protesto q teve e do q vai ter.. Agora vamos perguntar quem estudou pro simulado... http://fb.me/2hJEjIPKJ 
Fri Jun 21 14:11:42 PDT 2013 --  Estudando feito um louco aqui (coisa q eu nunca fiz) por isso ñ to podendo reponder mensagens... Bjs! Ate o... http://fb.me/2Dydijizv 
Fri Jun 14 07:44:56 PDT 2013 --  I posted a new photo to Facebook http://fb.me/1JGIlQVQa 
Fri Jun 14 07:31:47 PDT 2013 --  #Somos um bando de #loucos http://fb.me/2n4qGeEk6 
Fri Jun 14 07:16:28 PDT 2013 --  I posted a new photo to Facebook http://fb.me/1NQTEn4iH 
Thu Jun 13 08:30:22 PDT 2013 --  #Haha Será q o face agora ta pegando hastrag? *-*
Wed Jun 12 09:21:43 PDT 2013 --  #Cansado de ficar dando bola pra gente falsa.. poxa se ñ quer falar comigo fala logo q ai eu tbm paro de falar! :/
Sun Jun 09 04:06:22 PDT 2013 --  Engraçado no comercial de camisinha o narrador fala em "valorizar a vida" ... mas será q usando camisinha nos... http://fb.me/3bDv714aK 
Sun Jun 09 04:01:08 PDT 2013 --  Parabens Mãe q hj esse nesse dia vc seja feliz! Q nada te aflinja e a paz do senhor esteja com a senhora...... http://fb.me/1JRer8dgF 
Sat Jun 08 19:56:50 PDT 2013 --  Raissa on-line.. q milagre é esse???
Sat Jun 08 04:01:42 PDT 2013 --  Hj eu acordei, me arrumei, e sai... Mas antes de fazer qual quer coisa, fui ver o mar. O mar hj esta lindo e... http://fb.me/PwAiDKtA 
Sat Jun 08 03:59:44 PDT 2013 --  Hj eu acordei, me arrumei, e sai... Mas antes de fazer qual quer coisa, fui ver o mar. O mar hj esta lindo e... http://fb.me/BgW45Tvq 
Fri Jun 07 11:37:28 PDT 2013 --  #Contabilizando meus exercicios atrazados... Ó Deus me ajuda... Vou ver se eu acabo pelo mesnos em julho.. kkkk..... http://fb.me/Vl0s8Crf 
Sun Jun 02 09:23:00 PDT 2013 --  Todo dolorido aqui... tbm dps q ter passado um final de semana inteiro jogado xbox co a tia Ellem... era de se esperar mé?! #BoaTarde
Sat Jun 01 07:11:55 PDT 2013 --  ÉH néh fazer oq! :/ http://fb.me/ItUj3rii 
Sat Jun 01 04:08:04 PDT 2013 --  "É o grupo que dá ao individuo a explicação de sua própria vida" - Émile Durkheim
Wed May 29 12:54:41 PDT 2013 --  #Dordecabeça sai de mim! :(
Mon May 27 05:44:47 PDT 2013 --  Porq ñ veio pra escola hj???
Sun May 26 14:21:42 PDT 2013 --  Tentando tirar CPF aqui.. aff o #negociozinhochato! :/
Fri May 24 08:12:52 PDT 2013 --  2Bjs pra vc vcs q perderam a aula hj e perderam novo assunto de fisica u.u... hhaha brinks..
Fri May 24 03:52:28 PDT 2013 --  Ahhhh.... Oi finalmente vc volto au normal ja tava quase entrando em depressão! Haha #SQÑ #BomDia
Thu May 23 09:52:23 PDT 2013 --  haha.. olha Netinho.. kkk intendeu?? http://fb.me/2oaa0opi0 
Thu May 23 06:52:50 PDT 2013 --  Ai eu passo uma tarde sem mecher no meu celular e TUDO aconteçe!! Aff. Fazer oq néh... :/ #BomDia
Mon May 20 10:59:12 PDT 2013 --  http://fb.me/2m785yjpp 
Sat May 18 03:51:37 PDT 2013 --  Sentindo falta de vcs aqui na convivencia de inicio de curso... :(
Fri May 17 10:58:28 PDT 2013 --  "OI" vc esta me decepcionando ñ consigo postar nada vc esta me obrigando a usar o Navega e Para! :/ rummmm
Mon May 13 12:56:28 PDT 2013 --  http://fb.me/EsOJeKPp 
Mon May 13 10:04:17 PDT 2013 --  Soneca da tarde tirada! Agora... eu com as energias recarregadas vou fazer .. huummm. ... eeehhhh... eu vou... http://fb.me/2NLdnxnZl 
Sat May 11 04:19:02 PDT 2013 --  Bom dia! Hj q Deus abençoe a todos.... :) Obs: aproveitando minha family q chegou ontem. U.u *-*
Fri May 10 08:49:34 PDT 2013 --  Haha.... :P http://fb.me/RASG0W9t 
Fri May 10 08:48:59 PDT 2013 --  Os outros anivers de pirabas ja foram melhores.. :/
Fri May 10 08:38:25 PDT 2013 --  Kkk... o cara teve um trabalhão e a mulher vem e ainda faz piada.. kkkk http://fb.me/28MfMDseE 
Fri May 10 06:02:12 PDT 2013 --  Prima quero vc vindo pra cá!!!!! :'(
Thu May 09 13:55:43 PDT 2013 --  Malhação... u.u. :D
Thu May 09 07:04:17 PDT 2013 --  Acho q vo entrar no meu orkut pra mim pegar minha fotos antigas.. :)
Wed May 08 21:24:09 PDT 2013 --  Agora minha vida esta assim estudar??!! So 1:00 da manhã.... agora ne diz... é mole???
Wed May 08 06:50:33 PDT 2013 --  Hj prova de fisica e quima... A professora boio no assunto.. haha. É Sorrir pra ñ chorar... :/
Mon May 06 09:30:49 PDT 2013 --  #Partiu gente queria tanto dar um soninho aqui. :/ ( #cansado) Mas em fim.. tenho q sair porq trabalha pra JMJ é... http://fb.me/Ajho6w1o 
Sun May 05 18:50:12 PDT 2013 --  Oooo chuvinha boa... :) #friozin
Sun May 05 17:23:05 PDT 2013 --  E dps chove.. :) http://fb.me/2iSCyXngK 
Sun May 05 14:19:46 PDT 2013 --  #Medo o face bloqueio minhas solicitações de amizade... :(
Sun May 05 14:04:32 PDT 2013 --  http://fb.me/24bm4AFh9 
Sun May 05 08:59:47 PDT 2013 --  Ja estamos providenciando! ;) http://fb.me/V7GdbQsG 
Sun May 05 06:36:02 PDT 2013 --  http://fb.me/22QoEZ0cH 
Sun May 05 06:35:18 PDT 2013 --  http://fb.me/2DBn5jn8H 
Sun May 05 06:29:14 PDT 2013 --  http://fb.me/CsE20Cij 
Sun May 05 06:13:49 PDT 2013 --  http://fb.me/1GAcnBDqe 
Sun May 05 05:52:21 PDT 2013 --  http://fb.me/232pcQPaI 
Sat May 04 18:55:13 PDT 2013 --  http://fb.me/306eYIcZJ 
Sat May 04 18:35:45 PDT 2013 --  Dayvision segunda vc vai ver!!!! Vamos ter uma conversa bem séria.. :/
Sat May 04 13:52:36 PDT 2013 --  15 U.u http://fb.me/tldXTapm 
Sat May 04 13:08:48 PDT 2013 --  http://fb.me/2yulGdXMi 
Sat May 04 12:39:38 PDT 2013 --  http://fb.me/2vPmCRz4C 
Sat May 04 08:37:02 PDT 2013 --  http://fb.me/2kUs4NbjR 
Sat May 04 08:24:55 PDT 2013 --  "Eu sei q la no fundo EU tenho medo, mas tenho que mudar longe daqui" :'-)
Fri May 03 19:08:26 PDT 2013 --  #Partiu #Mimi. Cama sua linda venha em mim! *-* (muito cansado aqui. :-/) #BoaNoite! :)
Fri May 03 08:22:57 PDT 2013 --  É Bem isso...! ;D http://fb.me/2ApZv7E4A 
Thu May 02 15:52:40 PDT 2013 --  http://fb.me/2DfswteOE 
Thu May 02 09:51:39 PDT 2013 --  ÉHhh... so q o Dayvison me acordo.. Rummm! :/ http://fb.me/2HaGmeWAi 
Wed May 01 19:11:34 PDT 2013 --  Po ta um som muito bom aqui ba arena..! :) u.u
Wed May 01 19:00:10 PDT 2013 --  Po ta um dom muito bom aqui ba arena..! :) u.u
Wed May 01 18:03:35 PDT 2013 --  Ñ Importa a minha idade sempre cantarei essa musica! Forever. Kkkkkkk. I love bob esponja.. *-* http://fb.me/15be6v9Iz 
Wed May 01 17:45:20 PDT 2013 --  Show muuuito legal aqui em pirabas. U.u. pena q a chuva espanto o povo.. :(
Wed May 01 07:04:16 PDT 2013 --  http://fb.me/2PTo6Tn6z 
Wed May 01 07:03:28 PDT 2013 --  http://fb.me/Prr3Jw3i 
Wed May 01 06:41:12 PDT 2013 --  Heeeeeelp http://fb.me/18aIXnIOE 
Wed May 01 05:58:58 PDT 2013 --  Aquele momento em que uma espécie de bate-papo acontece nos comentarios... aff.. iai vamos falar pelo bate-papo... http://fb.me/2nb0W6h48 
Tue Apr 30 09:55:57 PDT 2013 --  Partiu casa da raissa... U.u :)
Mon Apr 29 18:34:02 PDT 2013 --  Ai meu Deus e agora será q a morena foi atingida..?!!? Será q ela vai morrer!!?? E o russo vai fugir??!!... http://fb.me/H8OHqABE 
Mon Apr 29 17:45:46 PDT 2013 --  Chegando agora* #cansado/ Fui vo dormi.. #Partiu #Cama...
Sun Apr 28 19:07:52 PDT 2013 --  Saindo aquiii... #BoaNoitePessoal.
Sun Apr 28 19:06:58 PDT 2013 --  É incrivel como algumas pessoas podem ignorar totalmente a sua cultura... éhhh néh fazer oq... :/
Sun Apr 28 17:15:55 PDT 2013 --  #Ciumes aquii.. :'(
Sun Apr 28 17:11:37 PDT 2013 --  Chatiado aqui.. rummmm... pq minha mather ñ veio hj... :(
Sun Apr 28 17:10:30 PDT 2013 --  Acho q no dia das mães ... os filhos é q deveriam ganhar presentes.. por que se os filhos ñ existisem elas ñ seriam mães néh? *_* #SoAcho
Sun Apr 28 17:09:52 PDT 2013 --  Acho q no dia das mães ... os filhos é q deveriam ganhar presentes.. por que se o filho ñ existisse ela ñ seriam mãe néh? *_* #SoAcho
Sun Apr 28 17:02:58 PDT 2013 --  Acho q no dia das mães ... os filhos é q deveriam ganhar presentes.. por se os filhos ñ existisem elas ñ seriam mães néh? *_* #SoAcho
Sun Apr 28 16:57:14 PDT 2013 --  Haha.. legal essa do faustão... Ele: _"Chau" gente daqui a pouco ... tv vingançinha.... haha... adorei... :D
Sun Apr 28 11:38:14 PDT 2013 --  Égua... acordei hj e a Net da Oi ñ tava pegando... rummmm... essa oi so tem dessa... :-/
Sat Apr 27 10:25:08 PDT 2013 --  Sou um Artista! ;-) http://fb.me/1J1payA08 
Sat Apr 27 10:22:58 PDT 2013 --  Necessitando de LIVROS!!!! Aguem deseja me dar algum??? *_* :'-(
Fri Apr 26 16:39:00 PDT 2013 --  Kkkkk.. éhhh.. mas eu ja consegui arrumar uma vez. ;) http://fb.me/1ICycbZJ1 
Fri Apr 26 16:29:58 PDT 2013 --  Final de novela horrivel!!! Pelo mesnos o nando ficou com juliana... Mas em fim.. ñ gostei... rummm
Fri Apr 26 13:34:11 PDT 2013 --  #Começou #Malhação. U.U. *_____*
Fri Apr 26 08:49:35 PDT 2013 --  Muiiiiita chuva aqui.... :)
Thu Apr 25 04:41:04 PDT 2013 --  É isso ai! ;) http://fb.me/2efaaEYGR 
Wed Apr 24 19:00:15 PDT 2013 --  Eu acho q o Silvio Santos deveria pagar os premios dele com Caixas de tomates ñ com barras de ouro... kkkkkkkkkk #SoAcho
Wed Apr 24 18:58:30 PDT 2013 --  Eu ñ consigo intender esse lek... Sempre quando ta fazendo um calor infernal vara um com uma camisa polo manca... http://fb.me/2bhGxLN5u 
Wed Apr 24 18:56:10 PDT 2013 --  Eu ñ consigo intender esse lek... Sempre quando ta fazendo um falo infernar vara um gom uma camisa polo manca... http://fb.me/1ykqTHWv6 
Wed Apr 24 08:48:05 PDT 2013 --  É incrivel a minha extrema falta de habilidade pra quebrar um ovo... kkkkkkk'
Wed Apr 24 07:43:56 PDT 2013 --  Putts. assistindo um programa (ñ sei o nome kk') q os homens do teste de fidelidade pedem uma segunda chance... http://fb.me/TFBuWEP2 
Wed Apr 24 06:24:13 PDT 2013 --  O Filho: Ei pai,como foi que eu nasci? O Pai: Muito Bem filho, tínhamos de ter essa conversa um dia. _ o Que... http://fb.me/BuSyCNVN 
Wed Apr 24 06:19:31 PDT 2013 --  Kkkkkk... é bem isso... ;) http://fb.me/2YYExV3Ft 
Mon Apr 22 12:21:42 PDT 2013 --  Doi tbm quando eu coloco oleo na panela e dps eu vejo q ñ tem ovo .... :) http://fb.me/1Gn7ubefz 
Mon Apr 22 11:59:58 PDT 2013 --  Minha cara ao ver novidades tecnologicas... S2 http://fb.me/217GPhaJc 
Sun Apr 21 18:05:18 PDT 2013 --  Égua ñ sei se vai dar pra mim ir pra aula amanhã.. porq ?!!! 1° eu precizo de uma altorização pra usar... http://fb.me/2BXSdhMEu 
Sun Apr 21 16:27:35 PDT 2013 --  Caraca acabei de saber q o ciclete é feito com petroleo.... Como assim!???! Alguem pode ne explicar!!?!
Sun Apr 21 12:15:10 PDT 2013 --  Pô! So assim mesmo...! ;) http://fb.me/EABhz9Yh 
Sun Apr 21 12:12:33 PDT 2013 --  Pô! So assim mesmo...! ;) http://fb.me/2eapXMDEB 
Sun Apr 21 09:59:53 PDT 2013 --  Aaahhaaaaa finalmente um alivio... :)
Sat Apr 20 14:52:21 PDT 2013 --  Sinto q Deus está ne testando.... :'-) #BoaNoite pra vcs... :)
Sat Apr 20 11:01:45 PDT 2013 --  hj sofri um pequeno imprevisto... olha so o resultado.... Fora isso o dia ta ótimo... :( http://fb.me/Ntnf3uf6 
Sat Apr 20 03:14:14 PDT 2013 --  Gente eu tava mechendo no face ontem (no meu celular) e acabei dormindo... ai eu acodei agora com um monte de... http://fb.me/1HmluAJ3Y 
Fri Apr 19 19:08:29 PDT 2013 --  Saindo aqui. . #Boa Noite Faceados# (finalmentr um descanço) ahhhhh :)
Fri Apr 19 08:26:53 PDT 2013 --  Ooooo. vida corrida essa minha hein! :-/ ... Atrasado,Atrasado,Atrasado,..... fuiiii...
Tue Apr 16 17:32:33 PDT 2013 --  Gente o meu celular bloqueio q eu tive formatar TODO o celular... ai eu perdi TUDO tudo.. as fotos, contatos,... http://fb.me/2vAPF3FH0 
Tue Apr 16 08:05:01 PDT 2013 --  "O inocente cai e nossa alma fica lanchad* #Good Aftenoon
Tue Apr 16 02:48:40 PDT 2013 --  Hora de levantar . ..... . #BOOOOOMMM DIIIIIAAAAAAA FAAAACEEESS#
Mon Apr 15 14:07:00 PDT 2013 --  Status: :D: (entenda como quizer!)
Mon Apr 15 05:51:43 PDT 2013 --  haha.. principalmente Eu* http://fb.me/2mQ7ESidl 
Mon Apr 15 04:16:05 PDT 2013 --  Huhu... Éntão baumm. acordar segunda sem ter que acordar cedo! Ahhhhhh.. :) #BomDia
Sun Apr 14 17:21:19 PDT 2013 --  Hehe.... Volto a luz... Partiu Praça?
Sun Apr 14 16:53:03 PDT 2013 --  Falta de luz aff.. ninguem merece. :(
Sun Apr 14 08:36:04 PDT 2013 --  Status: Procurando fotos antigas pra postar.. :)
Sun Apr 14 08:29:21 PDT 2013 --  Haha... Sempre! http://fb.me/1yKiXJpMR 
Sun Apr 14 08:28:04 PDT 2013 --  "Escrevi meu nome no cimento pra alguem lembrar de mim, me pergunto no entanto porque q estou aqui" #boatarde
Sun Apr 14 06:04:10 PDT 2013 --  "Longe muito longe eu estou, vou perdendo aos poucos un pedaço do q eu sou"
Sun Apr 14 05:58:10 PDT 2013 --  haha.... kkkkk http://fb.me/IZ4KcK01 
Sun Apr 14 05:24:12 PDT 2013 --  Quem é???? *____* http://fb.me/BPM3PWBw 
Sat Apr 13 13:34:37 PDT 2013 --  I posted a new photo to Facebook http://fb.me/1Eq2xyoJ2 
Fri Apr 12 04:35:13 PDT 2013 --  :: Na aula de fisica! :-/ #chatoooo....
Fri Apr 12 04:31:54 PDT 2013 --  http://fb.me/CnpqOwIs 
Thu Apr 11 13:08:18 PDT 2013 --  Stella cade tu! Quero falar contigu* ;)...
Thu Apr 11 12:10:20 PDT 2013 --  Que horror !!!! Isso ñ existe... Donde ja se viu... ai meu Deus esse povo fala cada coisa! :( http://fb.me/2wI6CJT8V 
Thu Apr 11 11:06:05 PDT 2013 --  Meu Deus!! Está ventando muito aqui.... #MEDO. :(
Thu Apr 11 07:43:12 PDT 2013 --  http://fb.me/1QZJt9DF3 
Wed Apr 10 14:39:50 PDT 2013 --  "Haja oq hajá" :Eu nunca vou perder a aula de português porq essa foi a gota d'água... :-/
Wed Apr 10 09:00:18 PDT 2013 --  Status: Assistindo uma série muito velha q ta passando na SBT (É VELHA MAS É MUITO LEGAL),,,, ... :)
Wed Apr 10 08:04:04 PDT 2013 --  "Um sonho q se sonha só, é um sonho q se sonha só/ Um sonho que se sonha junto, é REALIDADE" #Goodaftenoon
Wed Apr 10 02:45:59 PDT 2013 --  #Descobri... que tenho taaaaaanta gente pra add no face. :/
Wed Apr 10 02:44:23 PDT 2013 --  Bom dia pessoas.. @_@ Hoje chuvinha de inicio de manhã* .... tauuummmmm baummmm.... >< saindo aqui... #partiu #escola
Tue Apr 09 13:17:45 PDT 2013 --  Almoço di ricoo* !! :-/ http://fb.me/1EuppwoAi 
Mon Apr 08 03:23:42 PDT 2013 --  Atrasado prra escola!! #Fuiii...
Sun Apr 07 16:16:34 PDT 2013 --  Hoje experimentei uma sensação novissima... : Eu, Sozinho, consegui sentir vergonha de min mesmo' Pode isso...... http://fb.me/1FXzbxtWp 
Sat Apr 06 14:43:43 PDT 2013 --  Stella cade tu.!!?!??? Ti pensando numa parada aqui mas primeiro quero falar com tigu* ...
Sat Apr 06 14:39:58 PDT 2013 --  O joguin sem graça esse do Brasil! Ai meu Deus .. acho q vo assistir a eliana... da mais futuro...
Sat Apr 06 14:38:17 PDT 2013 --  Ooooooo friozinho bãummmm... queria ficar na minha cama ate o dia acabar .... mas ñ da né.. #PatiuIgreja...... http://fb.me/2oKQrWjQM 
Sat Apr 06 14:28:12 PDT 2013 --  Minha cara ao ler isso=== :0 http://fb.me/2l249qXTI 
Sat Apr 06 12:52:10 PDT 2013 --  Ñ Pesso q seja duradouro! Mas que seja intenço em quanto dure... *_* #GoodAftenoon
Sat Apr 06 09:01:54 PDT 2013 --  Gente... esse dia estava sem net mas ja estou de volta* ;)))))))) *___* #Goodmorning
Wed Apr 03 17:04:34 PDT 2013 --  Meu Deus abençoa o meu irmão q está muito doente! :(((((
Tue Apr 02 17:27:24 PDT 2013 --  Essa historia do Teo ja ta muito ridicula ja... rummm... primeiro o homi ta com a Érica dps ele encontra a... http://fb.me/2bvRb9COO 
Tue Apr 02 08:13:23 PDT 2013 --  ;-P http://fb.me/z8FQyxLi 
Tue Apr 02 08:10:32 PDT 2013 --  #Chegandodaescola... Muito cansado! Vo comer q dps eu volto pra luta... #Boatarde
Mon Apr 01 19:29:18 PDT 2013 --  O sono me venceu!!! #FUIIIIIII
Mon Apr 01 18:44:36 PDT 2013 --  Meu Deus !!! Uma pessoa dessa so pode estar fora de si... Isso é deshumano... Barbaridade fiquei chocado com essa... http://fb.me/2izNl0aN7 
Mon Apr 01 18:24:38 PDT 2013 --  Saindo aqui galera... talvez eu entre dps, talvez.... #BOANOITE Amanhã tem aula*... aff i pior dia da semana...... http://fb.me/2jciHBOEz 
Mon Apr 01 09:38:24 PDT 2013 --  Pascoa==== Rosto cheiiiiooooo de espinhas.. #comoeusofro :-/ help me... #boatarde #Partiu #fisica
Mon Apr 01 03:04:20 PDT 2013 --  Bommmm diaaaa meu povo!!! #Partiu #Escola... :/ http://fb.me/1E811klrb 
Sun Mar 31 09:06:44 PDT 2013 --  Quem ai tem whatsapp???? (Sem nada pra fazer/ necessitando falar com alguem)
Fri Mar 29 14:32:56 PDT 2013 --  Assistindo Flor do Caribe... Agora deu! A globo ta com uma mania de deixar o povo preso.., aff parece que ta... http://fb.me/2A24vfc25 
Fri Mar 29 04:57:57 PDT 2013 --  Nossa é tão bom acordar com uma chuvinha* basica... hehe. :-D
Tue Mar 26 07:26:04 PDT 2013 --  Aula de quimica ... -_- .. #chaaaaaaata
Mon Mar 25 16:08:38 PDT 2013 --  Tipo isso q acontece aqui em pirabas... http://fb.me/1W5qk9lTW 
Mon Mar 25 08:49:50 PDT 2013 --  Fazer oq.. :-/ http://fb.me/2M8oOoLYJ 
Sat Mar 23 07:30:20 PDT 2013 --  ÉH nêh... :/ http://fb.me/1NeokfcGU 
Fri Mar 22 16:18:41 PDT 2013 --  http://fb.me/20JUNUVi9 
Fri Mar 22 16:08:21 PDT 2013 --  http://fb.me/1I500FTND 
Fri Mar 22 08:22:17 PDT 2013 --  Caraca!!! Gente é verdade isso ... (leiam a descrição da imagem...) http://fb.me/2jhDzIifS 
Thu Mar 21 19:03:02 PDT 2013 --  Case me cago de tanto rir nessa cena... kkkkk. o melhor de TODOS.. *_* http://fb.me/1inStkw8D 
Thu Mar 21 19:00:33 PDT 2013 --  Hehe.... volto a luz.. * para a noooooossaaaaa alegriaaaaa. Ninguem merece dormir no calor... mas tudo... http://fb.me/20xqOPN3N 
Tue Mar 19 03:52:44 PDT 2013 --  INJUSTIÇA!!!!! Hoje eu acordei me direcionei para o banheiro e quando eu olhei para o espelho...... http://fb.me/HMT27JJM 
Tue Mar 19 02:45:05 PDT 2013 --  Eu e fico de um jeito entre a 4 e a 5.... kkkk http://fb.me/13fBGs9qh 
Sat Mar 16 08:56:59 PDT 2013 --  " Não vou me entregar até a ultima lagrima restar "
Sat Mar 16 08:51:53 PDT 2013 --  "Poderia me apegar ao ego e abandonar esse lugar mas resolvu ricar um pouco mais" -Rosa de Saron
Fri Mar 15 09:58:32 PDT 2013 --  Escutando rosa de saron .... vesos. S2
Wed Mar 13 11:52:32 PDT 2013 --  Status Ancioso para saber quem é o novo papa!!! *_______* HABEMUS PAPAM!!!!
Wed Mar 13 07:07:17 PDT 2013 --  Haha.... descobri um app que da pra esconder as espinha... hehe. Sonho* *_*
Sun Mar 10 12:26:49 PDT 2013 --  Sei que é tarde Mas através desta, eu venho pedir uma bre Já não conheço mais minha alma Tenho saudade daqueles... http://fb.me/11rfYDcAh 
