Wed Aug 26 08:47:27 PDT 2015 --  I ate a poptart too enthusiastically and I bunt my mouth #wild
Thu Dec 04 17:29:37 PST 2014 --  When life gets you down, pick yourself back up, get into bed, and cry a lot
Thu Dec 04 16:09:56 PST 2014 --  Started freaking out because I thought I lost my watch. Its on my wrist.
Wed Dec 03 15:54:08 PST 2014 --  Thank you Apple, for single hand-idly lowering the quality standards of phone charges throughout the world #donttrytocontactme
Wed Dec 03 11:40:37 PST 2014 --  Vista camp video are out which mean I won't be doing anything until I watch every single one
Tue Dec 02 16:48:07 PST 2014 --  Currently trapped in the fiery and merciless pits of essay hell
Thu Nov 27 14:18:28 PST 2014 --  It wouldn't be a family gathering without some casual racism from my grandfather #HappyThanksgiving
Thu Nov 27 14:12:25 PST 2014 --  "All priests are bent (gay)" - my grandfather #familyfun
Thu Nov 27 13:21:11 PST 2014 --  Watches were invented in the 1500s.
Thu Nov 27 13:19:43 PST 2014 --  "I remember when watches were invented." -My mom's boyfriend
Thu Nov 27 12:51:03 PST 2014 --  Turkey Day is the best day. Happy Thanksgiving!
Wed Nov 26 10:44:38 PST 2014 --  It is much easier to clean an oven in theory than in actual execution
Tue Nov 25 13:15:41 PST 2014 --  Happy Holidays y'all pic.twitter.com/0TURxN7GnL
Tue Nov 25 06:23:29 PST 2014 --  Shoutout to @_InsomniaCoffee for the cutest gingerbread latte I've ever seen.
Mon Nov 24 11:11:28 PST 2014 --  My moms boyfriend doesn't know what thanksgiving is.
Mon Nov 24 04:25:40 PST 2014 --  You know what's a hoot? When a professor sets up a meeting with you, and then they never show up. For the third week in a row.
Thu Nov 20 18:19:29 PST 2014 --  Second time in a week I've been sent flight confirmation for a flight I did not book #what
Thu Nov 20 10:48:51 PST 2014 --  STARBUCKS IN DUNDRUM IS SELLING OFF THEIR STOCK OF PUMPKIN SPICE SYRUP SOS SOS
Thu Nov 20 07:13:54 PST 2014 --  Who designed this pic.twitter.com/GpoCP9ZnoS
Thu Nov 20 05:19:26 PST 2014 --  An entire 3 years after I became an adult I am finally registered to vote
Wed Nov 19 12:01:49 PST 2014 --  Just knocked over a candle and spilled hot wax all over my laptop #super
Wed Nov 19 11:41:00 PST 2014 --  Only one more day till I get to see @lau_alc !!!!!
Tue Nov 18 18:45:51 PST 2014 --  My tiny dog has somehow managed to occupy my entire bed. It's cool Daisy, I'll sleep on the floor.
Tue Nov 18 03:09:00 PST 2014 --  A guy that looks like a white Obama just cut me in line at the gas station
Mon Nov 17 15:49:00 PST 2014 --  Nothing worse than finishing an essay and having your relief instantly crushed by the realisation that you have 3 more essays to do
Mon Nov 17 02:23:07 PST 2014 --  Thanks Apple for making the worst computer in the world and making me 20 minutes late to class.
Thu Nov 13 04:03:09 PST 2014 --  Just got a confirmation email for a flight that I most certainly did not book? @StudentUniverse
Wed Nov 12 21:15:39 PST 2014 --  It's 5am and I am looking at pictures of dogs on the Internet.
Wed Nov 12 14:31:36 PST 2014 --  "I wash all my jumpers once a year in spring." - Moms boyfriend
Tue Nov 11 06:26:25 PST 2014 --  My moms boyfriend eats an entire Toblerone every day. Every. Single. Day.
Tue Nov 11 05:12:53 PST 2014 --  Hating ireland right now... Why is it so cold and miserable and THE RAIN NEEDS TO STOP
Tue Nov 11 03:56:45 PST 2014 --  How do you drink coffee without spilling it all over yourself? Seriously I need to know.
Fri Nov 07 12:32:50 PST 2014 --  400 words into this essay and I already want to change my name and flee the country.
Wed Nov 05 08:53:07 PST 2014 --  Today in college: There is no such thing as reality and we are all robots.
Tue Nov 04 13:42:15 PST 2014 --  I panicked in KFC and accidentally bought twice as much food as I could possibly consume
Tue Nov 04 07:23:42 PST 2014 --  Me and Daisy had the horror of seeing three dead animals on our walk today
Sat Nov 01 12:41:13 PDT 2014 --  Sinaoife just learned that popcorn is made from real corn. She's surprised.
Fri Oct 31 13:00:26 PDT 2014 --  Didn't have any red eyeshadow to do devil makeup so I used purple and now I look like a butterfly
Tue Oct 28 13:09:29 PDT 2014 --  ALL THE TAPS IN THE HOUSE JUST TURNED ON BY THEMSELVES ALL AT ONCE
Tue Oct 28 03:31:21 PDT 2014 --  Super excited to work outside in the rain all day
Mon Oct 27 01:13:44 PDT 2014 --  WIN a Luxury Spa Hamper for your dog. Retweet this post & we will select a winner at random on 29/10 9pm. Good Luck! pic.twitter.com/ORtwfauLmI
Sun Oct 26 14:30:17 PDT 2014 --  "Some of my greatest times have been hanging out with cats." - @Sinaoife
Fri Oct 24 05:09:34 PDT 2014 --  Found it pic.twitter.com/J5wcAwRI0s
Fri Oct 24 05:02:26 PDT 2014 --  I just lost an entire carton of milk how did that even happen
Wed Oct 22 11:27:15 PDT 2014 --  Always wear black to the cinema so when you spill coke all over yourself no one will notice
Wed Oct 22 07:54:14 PDT 2014 --  SOS I'm the only person that showed up to class
Sun Oct 19 15:49:40 PDT 2014 --  My 'Suggestions' section on amazon consists solely of chocolate and dog strollers
Wed Oct 15 08:58:25 PDT 2014 --  Things today has been: Awful.
Tue Oct 14 14:15:47 PDT 2014 --  Ever want to stay in your bed for the rest of your life and never have to interact with the world again
Fri Jun 20 05:01:10 PDT 2014 --  "TITS LADY HAS BRAIN CAN READ? MAIL CONFUSED. MAIL SMASH" pic.twitter.com/YaHa6hvcmR
Sun Oct 12 02:38:17 PDT 2014 --  A very large picture frame fell off my wall last night and landed on my face while I was asleep and I honestly though I was being murdered
Fri Oct 10 13:13:35 PDT 2014 --  I think im just going to make a separate twitter dedicated to all the stupid stuff my mom's boyfriend does
Fri Oct 10 13:12:47 PDT 2014 --  "The internet can't handle two laptops at once" -Mom's Boyfriend
Thu Oct 09 13:16:38 PDT 2014 --  Shoutout to @YamamoriDublin for being amazing and catering to my anti-vegetable needs
Thu Oct 09 13:08:48 PDT 2014 --  Moms boyfriend is eating sushi with a knife and fork
Thu Oct 09 09:36:59 PDT 2014 --  My moms boyfriend thinks he's fat so he's eating only cookies in an attempt to loose weight. Cookies.
Thu Oct 09 07:00:33 PDT 2014 --  My phone started playing U2 out loud by itself and I've never been so disgusted
Wed Oct 08 09:49:54 PDT 2014 --  Just saw a guy take off his shoes and walk through a puddle barefoot to avoid getting his shoes wet.
Wed Oct 08 02:55:35 PDT 2014 --  Stock up on home comforts this Autumn with a €100 Aldi voucher! For your chance to win just Retweet this! pic.twitter.com/rSQG0WU2eP
Wed Oct 08 03:23:22 PDT 2014 --  Imma let you finish, but soup is one of the greatest foods of all time. OF ALL TIME.
Wed Oct 08 02:12:03 PDT 2014 --  The gate to the estate is stuck closed. Everyone is locked in. Let the chaos unfold.
Tue Oct 07 09:04:55 PDT 2014 --  Iced coffee in October. ~You do you~
Tue Oct 07 06:08:46 PDT 2014 --  I have to write an essay about what I'm going to write my essay about. College is ridiculous.
Tue Oct 07 06:02:02 PDT 2014 --  Its actually alarming how much I blindly stumble through life
Tue Oct 07 05:17:38 PDT 2014 --  THE SEAGULLS ARE ATTACKING. I REPEAT, THE SEAGULLS ARE ATTACKING
Mon Oct 06 06:53:40 PDT 2014 --  So I'm the only one who has shown up for this class ?????
Mon Oct 06 05:32:51 PDT 2014 --  Today is a great top knot day
Mon Oct 06 04:10:30 PDT 2014 --  About to go eat the worlds loneliest sushi if anybody would like to join
Tue Sep 30 03:25:54 PDT 2014 --  Don't tweet about your paleo diet unless you're going to burn your phone and marry a wooly mammoth you piece of shit
Sat Sep 27 15:49:44 PDT 2014 --  The hotter the beverage, the more likely I am to spill it on myself
Fri Sep 26 07:25:22 PDT 2014 --  What a beautiful day to lie in bed all day and play sims
Fri Sep 26 07:16:34 PDT 2014 --  3 days till my half birthday I want a piñata
Fri Sep 26 06:41:49 PDT 2014 --  Perks of being sick am I right
Fri Sep 26 06:41:27 PDT 2014 --  Wait. Is it actually 2:40?! What. #justwokeup
Thu Sep 25 03:30:51 PDT 2014 --  Didn't have any real milk so put almond milk in my coffee. Mistake.
Thu Sep 25 01:53:58 PDT 2014 --  Of course I would get sick on my day off. Of course.
Wed Sep 24 19:09:02 PDT 2014 --  Never go on WebMD. It will tell you you're dying. Every time.
Wed Sep 24 04:02:54 PDT 2014 --  Today's outfit= socially acceptable pajamas
Mon Sep 22 07:51:29 PDT 2014 --  I have never met anyone that hates writing more than my creative writing teacher
Fri Sep 19 17:44:30 PDT 2014 --  I dont think ive ever been more upset about any celebrity breakup ever
Fri Sep 19 17:44:09 PDT 2014 --  SUGAR BEAR AND MAMA JUNE SPLIT UP. SOS. NOOOOO. THERE IS NO SUCH THING AS TRUE LOVE.
Thu Sep 18 09:10:43 PDT 2014 --  KITTENS. KITTENS EVERYWHERE pic.twitter.com/l78hHQJeYV
Thu Sep 18 09:09:07 PDT 2014 --  Got a free Tk Maxx giftcard and got a free size upgrade in starbucks. Its been a good day.
Wed Sep 17 14:29:01 PDT 2014 --  I'm sorry, but iOS 8 requires SIX GB OF FREE SPACE to download?! EXCUSE ME?!
Wed Sep 17 09:18:41 PDT 2014 --  Very first golden week of my entire college career
Wed Sep 17 07:28:45 PDT 2014 --  Guy looking at a dove: "is that a seagull?"
Tue Sep 16 15:58:04 PDT 2014 --  Ok Pitbull. That's enough.
Tue Sep 16 14:13:54 PDT 2014 --  Don't you dare tell me coffee cake is not a breakfast food.
Tue Sep 16 06:21:41 PDT 2014 --  I am a third year English major and I just spelled the word 'potato' wrong. Twice.
Mon Sep 15 15:01:01 PDT 2014 --  "Armadillos aren't real" - @Sinaoife
Sat Sep 13 19:10:10 PDT 2014 --  I have successfully worked myself into a frenzied rage trying to get this GOD AWFUL album off my phone
Sat Sep 13 18:56:28 PDT 2014 --  Hey apple, let me make my own choices. If I wanted U2 on my phone, I would have put them there. #rude
Sat Sep 13 12:22:27 PDT 2014 --  Is it inappropriate to wear a onesie to take my dog for a walk?
Sat Sep 13 10:55:34 PDT 2014 --  I love dogs soooo much
Fri Sep 12 10:43:22 PDT 2014 --  No one ever tells you how expensive adulthood is
Thu Sep 11 17:42:51 PDT 2014 --  Everything about Bruno Mars makes me uncomfortable
Thu Sep 11 16:25:53 PDT 2014 --  Something Is Coming.
Thu Sep 11 13:36:50 PDT 2014 --  I am actually ashamed of the amount of pancakes I have eaten today
Thu Sep 11 10:55:24 PDT 2014 --  My mom's boyfriend thinks that there is ACTUALLY a man that permanently lives on the moon. #manonthemoon
Wed Sep 10 17:22:26 PDT 2014 --  How parents around the world feel when theyre trying to figure out how to use Facebook is exactly how I feel trying to figure out Pinterest
Tue Sep 09 15:14:37 PDT 2014 --  The iphone 6 plus is literally just an iPad mini
Tue Sep 09 13:55:35 PDT 2014 --  How college: 1. Drink lots of coffee 2. Cry
Mon Sep 08 16:20:46 PDT 2014 --  I could write a novel about how much I love pancakes
Mon Sep 08 07:25:57 PDT 2014 --  First day of college and the only class I have isn't even on. Stressful day am I right?
Sat Sep 06 13:14:56 PDT 2014 --  "Im in the mood to watch a really bad Lindsay Lohan movie." - @Sinaoife
Fri Sep 05 10:02:49 PDT 2014 --  One year later and I now have one whole wisdom tooth. 1/4th wise. http://timehop.com/c/t:375689723227815937:829808844:7738336:38830 … pic.twitter.com/3aNJy3ZSIg
Fri Sep 05 07:05:57 PDT 2014 --  I am in a constant state of organising my closet but never actually having an organised closet.
Fri Sep 05 06:18:00 PDT 2014 --  What even is the point of cereal
Tue Sep 02 04:39:14 PDT 2014 --  Just almost got hit by a bus. Good job @dublinbusnews , just when I thought you couldn't get any worse.
Mon Sep 01 06:25:59 PDT 2014 --  After several weeks of practice I finally successfully French braided my own hair because I no longer have @erinjen24 to do it for me
Sat Aug 30 10:11:04 PDT 2014 --  This day one year ago, I made an Instagram for my dog #neverforget #stillcrazy http://timehop.com/c/t:373503016084996096:829808844:7738336:2a58a … pic.twitter.com/Zkd6jPnueO
Fri Aug 29 08:22:58 PDT 2014 --  Rush Chi Potle
Fri Aug 29 06:27:57 PDT 2014 --  So the radio blocks out the word 'pants' but not the word 'cocaine' ?????
Thu Aug 28 13:01:01 PDT 2014 --  I will finish my degree but I will always hate UCD registration.
Thu Aug 28 10:12:33 PDT 2014 --  "I text myself motivational messages." - @Sinaoife
Wed Aug 27 07:45:22 PDT 2014 --  Oh neat. More rain.
Tue Aug 26 14:10:41 PDT 2014 --  Today I went to the pool and found my grandad asleep in the hot tub.
Mon Aug 25 20:45:44 PDT 2014 --  How bad of an idea would it be to just skip on sleeping tonight?
Mon Aug 25 20:45:26 PDT 2014 --  Is there even any point in going to sleep tonight?
Mon Aug 25 17:56:42 PDT 2014 --  Check out that cute engagement announcement on Instagram though
Mon Aug 25 17:56:17 PDT 2014 --  Maybe I just arranged my dogs marriage, maybe I didn't #idid
Sun Aug 24 11:22:59 PDT 2014 --  Can I go to the gym in my onesie
Sun Aug 24 11:14:56 PDT 2014 --  Jaden Smith's twitter keeps me young
Wed Nov 13 13:20:50 PST 2013 --  If You Turned The State Of Alabama Into One Giant Farm, The Land Area Could Grow Enough Food To Support 10 billion People.
Mon Mar 03 16:59:31 PST 2014 --  Water In The Eyes And Alcohol In The Eyes Are Pretty Much The Same I Know This From First Hand Experience.
Mon Mar 03 15:55:57 PST 2014 --  For those of you that wanted to know, I found a comprehensive list of the Oscar pizza eating. #NecessaryJournalism pic.twitter.com/OgmEYUor1i
Mon Mar 03 14:18:41 PST 2014 --  Just discovered a nest made out of my hair extensions under my bed that I can only assume is the work of my dog.
Mon Mar 03 14:16:32 PST 2014 --  Just found a packet of rolo under my bed. Score.
Mon Mar 03 12:07:17 PST 2014 --  Is it Friday yet?
Mon Mar 03 05:39:21 PST 2014 --  My essay writing consists of 95% snack breaks and 5% actual essay writing.
Mon Mar 03 05:07:34 PST 2014 --  Also, coffee is 20c cheaper when you use your own cup. #blessed #excited #movingforward #coffeesmuggling #essayprocrastination
Mon Mar 03 05:00:15 PST 2014 --  I just smuggled coffee into the library. I feel like an outlaw.
Mon Mar 03 01:43:29 PST 2014 --  And so begins the week from hell. #5essays #killme
Mon Mar 03 01:40:37 PST 2014 --  Waking up in the morning is literally life's greatest struggle.
Sun Mar 02 05:13:31 PST 2014 --  Is UCD putting 5 essay deadlines in the same week cruel and unusual punishment? Can I contact the authorities?
Fri Feb 28 13:44:27 PST 2014 --  Megan's drunk. She's the only one. @MegDooge #lozzasdinner
Fri Feb 28 13:24:14 PST 2014 --  Update: Megan has finally put clothes on @MegDooge #lozzasdinner
Fri Feb 28 13:19:18 PST 2014 --  Can't stop eating garlic bread. Help. #lozzasdinner
Fri Feb 28 13:16:38 PST 2014 --  A+++ dinner from the McGill clan
Fri Feb 28 12:40:47 PST 2014 --  The garlic bread has SESAME SEEDS on it #sofancy #lozzasdinner
Fri Feb 28 12:39:55 PST 2014 --  Live tweeting @LozzaMcG birthday dinner
Thu Feb 27 12:36:32 PST 2014 --  I got a new toothbrush and it looks like a pregnancy test. pic.twitter.com/WMrh15OJRK
Thu Feb 27 10:45:54 PST 2014 --  100 days till camp! Eeeeeeeeeeepppppp
Thu Feb 27 06:18:32 PST 2014 --  WIN an #LifeProofIceProject Hoody and @LifeProof phone case! Just follow us , and RT! Closes 1900 GMT 1st March pic.twitter.com/twVUe0BTyc
Thu Feb 27 04:27:26 PST 2014 --  Apparently "Ash Wednesday Essentials" include fish fingers and Mexican wedges??? #what ??? pic.twitter.com/cwXBocDzaB
Thu Feb 27 04:01:07 PST 2014 --  My lecturers opening comment: "good job for showing up."
Thu Feb 27 03:58:57 PST 2014 --  I just road raged at a woman so hard I but my tongue and now it's bleeding #fuckUCD
Thu Feb 27 03:58:28 PST 2014 --  I'm going to sue UCD for the parking related trauma they have caused me
Thu Feb 27 03:52:44 PST 2014 --  Did you REALLY just beep me AT A RED LIGHT? REALLY? IS THIS REALLY HAPPENING?
Wed Feb 26 17:54:09 PST 2014 --  Who is Paul Simon?
Wed Feb 26 17:53:54 PST 2014 --  The Paul Simon concert happened 2 days ago. Damnit.
Wed Feb 26 17:51:32 PST 2014 --  I dont know whats going on, but ticketmaster just emailed me with 3 tickets to Paul Simon in Chicago?????
Sun Feb 23 13:23:42 PST 2014 --  How to deal with having a lot of homework due tomorrow: -take a nap -spend 4 hours on twitter -cry
Wed Feb 26 14:42:27 PST 2014 --  My jaw won't stop clicking and it is causing me to slowly loose my sanity
Wed Feb 26 12:33:15 PST 2014 --  HOW can I write an essay about something that I know nothing about?????
Wed Feb 26 09:07:03 PST 2014 --  What purpose could my wisdom teeth possibly fulfil that my other teeth have not been fulfilling for the past 20 years?
Tue Feb 25 02:25:54 PST 2014 --  How to deal with the crushing responsibilities of adulthood: Never get out if bed. Ever.
Mon Feb 24 11:25:39 PST 2014 --  How am I supposed to study when this beautiful beast is beside me? #thefattestcatintheworld pic.twitter.com/WjMNVgL6UH
Mon Feb 24 09:21:54 PST 2014 --  How can I possibly get any essays finished when there is so much napping to be done?
Sun Feb 23 19:36:10 PST 2014 --  ITS 3:30 AM I THINK SOMEONE JUST KNOCKED ON MY BEDROOM DOOR IM FREAKING OUT AM I GOING TO BE MURDERED I DONT THINK A MURDERER WOULD KNOCK
Sun Feb 23 11:22:45 PST 2014 --  cant shop watching gossip girl. help.
Sun Feb 23 09:01:22 PST 2014 --  My grandad talking about David Bowie: "He went from being a queer to a normal."
Sun Feb 23 08:55:31 PST 2014 --  "We went to go see 12 black people." -My granny talking about going to see 12 Years a Slave.
Fri Feb 21 15:00:57 PST 2014 --  WHAT A DELIGHTFULLY SPECTACULAR USE OF TIME AND RESOURCES #asshats
Fri Feb 21 14:59:41 PST 2014 --  Great idea DART for putting up maps that are ONLY IN IRISH. I'm sure ALL your customers that speak exclusively Irish will be DELIGHTED
Fri Feb 21 09:58:56 PST 2014 --  Just found one hair on my head that has SIX SPLIT ENDS ON A SINGULAR HAIR #GuinnessWorldRecord
Fri Feb 21 09:56:02 PST 2014 --  How much dried urine do you think each dart seat holds? Years and years of urine. Like a disgusting time capsule.
Fri Feb 21 08:04:10 PST 2014 --  Fancy 2 free return Dublin-London City flights on @cityjet? To enter, retweet & follow @DublinAirport. #GoCity
Thu Feb 20 13:59:28 PST 2014 --  I dropped my laptop on the ground and now the broken speaker is working again #success
Wed Feb 19 13:35:45 PST 2014 --  Pony tail crew @LozzaMcG @tazz_a pic.twitter.com/OYtmwmb9B2
Wed Feb 19 02:00:47 PST 2014 --  Just tried to put on my seatbelt. In class. At my desk. #tired
Tue Feb 18 13:37:07 PST 2014 --  RICH KIDS OF BEVERLY HILLS ISNT EVEN ABOUT KIDS THEY ARE GROWN ADULTS
