Thu Aug 13 07:41:36 PDT 2015 --  ولا تؤجل فعل الصالحات إلى غدٍ ، لعل غداً يأتي وأنت فقيد ..!!
Tue Apr 02 17:07:36 PDT 2013 --  الكلام الذي تتكلم به يعكس أفكارك ومبادئك فلا تتكلم إلا وأنت متيقن بأن هذا الكلام يعكس صورة جميلة عنك ...!!!
Tue Apr 02 17:07:13 PDT 2013 --  حقير هو من يقترب إليك عندما يفقد من يحب ، ويبتعد عنك إذا عاد إليه من يحب ! #تذكير
Tue Apr 02 17:04:13 PDT 2013 --  نحنُ آاصدِقااء لكِن ذاات ليلہ كَثُرَ فيهاا المزااح ف همَست لِي بِ ، احبك .. فَ ضحكناا و لكن لم ننام كلانا تِلك الليلہ #في_منتصف_الليل
Mon Apr 01 17:38:14 PDT 2013 --  هناك ۈجوه ماكِره , جميِله مِن الخَارج وَقبيِحہ من الداخِل , رُسمّ على جَبيِنها الكِذب , يِروي عَطشهَا النفاق , أذهَلتنِي وقَاحتُها
Mon Apr 01 17:35:42 PDT 2013 --  البعض عندماا يتحدث اتبعثرُ بين : جماال آسلوبہ وسعادتيّ وقت حديثہ ..
Mon Apr 01 17:33:44 PDT 2013 --  وما النعيم إلا عقل هادئ لآ يحتوي تفاصِل أحد .
Mon Apr 01 17:23:30 PDT 2013 --  وَالحُب يَ ساادهہ آحتواء وليس إشتهاء #خاطرة
Mon Apr 01 17:22:16 PDT 2013 --  بعض الامور جمَالھا ، ان تكون سراً ..♡ #خاطرة #متابع
Mon Apr 01 12:40:46 PDT 2013 --  الحياه أقصر من اني افكر الكلمه هذي تنكتب "ض" أو "ظ " اشوف اللي شكلها اكشخ و ادفها وبس
Sun Mar 31 16:59:10 PDT 2013 --  أحياناً أشعُر أن لا احد يفهمنـي لكن بعض الكتابات التى تنال أعجاب البعض تشعرني أن هناك اشخاصاً في هذا العالَمْ تشعُرُ بما أشعُرُ تماماً :)
Sun Mar 31 09:42:33 PDT 2013 --  ​تذكر أن الحياة تعتمد على الأحداث بنسبة 10%، 90%على طريقة تعاملك مع تلك الأحداث لذا السعيد ليس من يملك ظروفا جيدة بل من يملك أفكارا جيدة
Sun Mar 31 09:04:34 PDT 2013 --  اغضبته فضربها كففففف فعم الضباب ارجاء الغرفه من مكياجهاا ^طآولة كيرم مو وجه =)) #هههههههههههههههه
Sun Mar 31 06:40:35 PDT 2013 --  لا تبادل الكراهية بالكراهية مع احد ، احرجة بالطيب ، فيصبح بين امرين اما ان يكفيك شره ، او يخجل ويتحول إلى صديق #تستحق_ريتويت #أنت_متواضع
Sat Mar 30 19:40:55 PDT 2013 --  ريتويت اذا عرفت الفروق ال 5 .. pic.twitter.com/z8Gk3hlc53
Sun Mar 31 06:34:52 PDT 2013 --  pic.twitter.com/Nk5PARB155
Sun Mar 31 05:26:14 PDT 2013 --  شكلي لما أفوز واكون الأولى في فن رن واستناهم يجون pic.twitter.com/zV1hXudWmC
Sun Mar 31 05:23:01 PDT 2013 --  #غرد_بصوره . حتى الضب يعرف صورني كإني مـ ادري pic.twitter.com/ZdDfCw23ZF
Sun Mar 31 06:22:01 PDT 2013 --  ​ليہ البنت إذا طلعت حامل تسوي نفسها متفاجئة :O لا و اللہ ! يعني ما سويتي شي ̸*~ #هههههههههههههههه
Sat Mar 30 16:39:38 PDT 2013 --  ^تزوج الثانيه والثالثه على حسابي ‹̐› ^تزوج اللھ يلوم اللي يلومك http://p.twimg.com/Az9Z_fhCIAEnN_v.jpg …
Sat Mar 30 14:59:22 PDT 2013 --  #رسالتي_له في گل حُب ؛ هُناگ طرف أگثر حُزناً ، لأنه تولّى مُهمة إسعاد الآخر . http://twitter.com/aBKeLK/status/317774673465188352/photo/1pic.twitter.com/k1wabo5NJh 
Sat Mar 30 14:34:53 PDT 2013 --  #سوريا #ريف_دمشق قصف عنيف براجمات الصواريخ على مدينة #داريا بمعدل صاروخ بالدقيقة #syria
Sat Mar 30 05:39:55 PDT 2013 --  الحَاسّد ؛ دَائمًا قلِق يَنظر الىْ يَد غيرَهٌ لاَ ترتاحّ نفسَہُ حتىّ لوُ كانٌ اغنىّ النَاسّ ..*
Sat Mar 30 05:37:26 PDT 2013 --  حين ننجح لا نجد من يهنينا ولكن حين نخطأ نجد كل الأصابع تشير الينا ^ جعل اصبعك الكسر انت وياه !
Sat Mar 30 05:07:07 PDT 2013 --  ' ما يبيلها إلا كذا عشان مايشيلون الشحن من تلفونك pic.twitter.com/7XowmkAYzT #فصله_تايم
Fri Mar 29 18:22:48 PDT 2013 --  هااااام وعاااااجل لواء شهداء دوما يعلن مقتل الطاغية بشار الأسد شـاهد وانـشر: http://www.youtube.com/watch?v=7oipjyvqAz4&feature=share … والبيان بعد قليل بقناة الجيش الحر
Fri Mar 29 08:12:28 PDT 2013 --  أجمل ذكريات للطيبات pic.twitter.com/nFfF6OGctE
Fri Mar 22 04:51:49 PDT 2013 --  هكّذا هوَ يوم اَلجُمعه ، مُترفٌ بِ الطاَعة واَلطمأنيّنة ..
Sun Mar 24 01:28:06 PDT 2013 --  سعودي سالوه وش رايك في الجو هاليومين قال اولا احب اشكر خادم الحرمين) "شعب يدور بخشيش دايم
Mon Mar 25 03:45:15 PDT 2013 --  أنا إنسان لو كان الريموت بعيد عني ومحطوط على قناة فتافيت عادي أتعلم الطبخات ولا أقوم أجيبه ‹›
Sat Mar 23 14:44:14 PDT 2013 --  لن نجد شيئا يُعادل نعمة الصحھ #ٱلحمدللھ ,!
Sun Mar 24 03:51:01 PDT 2013 --  @q8k8 يا ابن الحلال ما يجي ! .. http://www.wata.cc/up/uploads/files/w-b649acad86.mp4 … .. ^ و الله م يجي ☹ ' ^ قسم باللہ مايجي .ههههههههههههههه
Sat Mar 23 19:46:48 PDT 2013 --  يقول خبير بريطاني : الأنثى التي تكتفي بالقليل من الكحل وأحمر الشفاه الهادئ ، هي أنثى فخمة وأنيقه ‹› - سمعتوا يااا دهانات الجزيره
Sat Mar 23 19:38:39 PDT 2013 --  صوت المآذن ، قطرات ماء الوضوء ، تراتيل الفاتحة ،عبق الفجر ، جمال لن يستوعبه النائمون ، هو حظ جميل لمن أدرك صلاة الفجر #صلاة_الفجر
Sat Mar 23 19:26:52 PDT 2013 --  الى كل بنت منسدحه على سريرها حالياً وش تتوقعين شكل الجني اللي تحت فراشك اللي يستنى رجلك تطلع برى اللحاف ويمسكها ؟
Sat Mar 23 19:23:56 PDT 2013 --  صبحكم الله بنفس طاهرة وقلوب شاكرة ، ووجوه ضاحكة، ورزقكم ربي طيب المقام وحسن الختام، وجعلكم من أحباب سيد الأنام. صباح الخير"
Sat Mar 23 12:32:30 PDT 2013 --  http://www.youtube.com/watch?v=XBAjso11seg&feature=youtube_gdata_player … اهداء لبنات الكيك
Fri Mar 22 13:00:26 PDT 2013 --  لزيادة المتابعين بسشكل سريع #تابعني وتابع من قام بالرتويت ضيفوا من يسوي #رتويت #الرجاء_الإلتزام_بالفولو_باك #لاتنسى_تابعني
Fri Mar 22 13:00:14 PDT 2013 --  والله إن المحبة ما تجي بالسهوله مثل حمل الأمانة والبنادم حملها اختلف باختلاف الوقت حلم الطفوله بعد ما كان حلم الناس تمر نخله
Fri Mar 22 06:41:52 PDT 2013 --  اصابتني لعنه حاسد فما عدت انا واسموني خيبه
Mon Jan 21 09:50:13 PST 2013 --  توصل باحثون إلى أن تناول عصير الرمان يومياً تخفف الطبقة الشحمية في البطن المترافق مع مرحلة متوسط العمر...
Mon Mar 18 16:10:29 PDT 2013 --  اطول النساء تلك التي يرتفع مقامها باخلاقها ليس بحذائها<> سجل عندك قزمه نفسيه #ههههههههههههههههههههه
Fri Mar 22 09:00:29 PDT 2013 --  الآن لمدة( 3 ساعات) لمتابعة أكثر من[ 20 الف] مغرد ماعليك إلا عمل التالي: فولو مي ريتويت فولو للي عمل الريتويت فولو باك
Wed Mar 20 14:30:46 PDT 2013 --  عمره ١٢ سنة و يكتب : اتميز بشخصيتي المنفردة و الفريدة من نوعہا ! و هو امہ تشتري لہ نفس الطقم هو و اخوه ههههههههههههههههههههههههههههههههههه
Thu Mar 21 21:44:07 PDT 2013 --  لا شكرا لا شكرا لالا شكرا لا شكرا سعودي يطلب من كنتاكي والمصري ناشب له مش عاوز تقرب الكوكيز ؟ طب سندويش بارتبلو القديد
Thu Mar 21 22:24:01 PDT 2013 --  الشرط الوحيد في كل عائله ‹›اسمعوا أنا وديتكم خل أي حد يردكم^حسبي الله ونعم الوكيل‹›^ماخلاهم يستانسون،طول الطلعة يفكرون منو بيردهم
Fri Mar 22 08:55:13 PDT 2013 --  مهما وثقت بالناس، أترك أسرارك لنفسك
Thu Mar 21 11:04:11 PDT 2013 --  لبن الطيبين pic.twitter.com/HmQ4LOBUal
Mon Mar 18 00:53:41 PDT 2013 --  معاها حق تزعل فعلاً الكاكاو زايد !! ههههههههههههههههههههههههههه pic.twitter.com/cKRFIBqKAa))
Thu Mar 21 21:19:08 PDT 2013 --  @1yl pic.twitter.com/JAQqHezRwe
Fri Mar 22 00:46:52 PDT 2013 --  صورة شلال متجمد . #صورة #صور #غرد_بصورة pic.twitter.com/hJYQRsICeu
Fri Mar 22 00:46:12 PDT 2013 --  كم من أنثى أغرقت وسادتها ليلا بالدموع و كان ذنبها الوحيد أنها أحبتوكم من رجل اغرق وسادته ليلا بالسعابيل ولا درى عنها=))
Fri Mar 22 00:44:24 PDT 2013 --  : آللهم آسترني فوق الآرض وتحت الآرض ويوم آلعرض #آللهم آمين
Thu Feb 21 08:14:44 PST 2013 --  طالب متخرج في أمريكا على يقين أن الشهاده الحقيقيه في الصلاة http://cdn.keek.com/keek/video/lzTibab … #كيك
Thu Jan 24 12:22:15 PST 2013 --  مرحبا -- حــسابي متخصص في برنامج keek رتويت + أضافه بليز
Thu Mar 21 19:42:16 PDT 2013 --  pic.twitter.com/jmMqTMRgqu
Thu Mar 21 19:34:46 PDT 2013 --  اللهمّ صلّ وسلم علی «محمد» ، اللهمّ صلّ وسلم علی «محمد» اللهمّ صلّ وسلم علی «محمد» اللهمّ صلّ وسلم علی «محمد» ، اللهمّ صلّ وسلم علی «محمد»
Thu Mar 21 19:34:36 PDT 2013 --  أربعة تؤدى الى أربعة : الصمت الى السلامة ، والبر الى الكرامة، والجود الى السيادة ، والشكر الى الزيادة
Thu Mar 21 19:32:40 PDT 2013 --  الحمد لله الذي احياني بعدما اماتني واليه النشور ،،، اصبحنا واصبح الملك لله ... #اذكار_الصباح #صباح_الخير
Thu Mar 21 13:35:46 PDT 2013 --  وإن سألوك عن الحُب .. قُل هذا هُو الحُب .. pic.twitter.com/RRp6Ew3TKZ
Thu Mar 21 12:58:40 PDT 2013 --  احسه حقد عليه pic.twitter.com/Ek8ofkhwmn
Thu Mar 21 09:10:02 PDT 2013 --  لمدة 10 دقائق ( ٢٠٠٠ ) متابع جاهزين تابعني ، رتويت للتغريدة هذي ، اعمل اضافة لكل من غرد .
Wed Mar 20 19:35:48 PDT 2013 --  §§§ العمر... §§§ pic.twitter.com/YWL0fFaBGs
Wed Mar 20 19:36:24 PDT 2013 --  pic.twitter.com/6CPoGB1u0f
Wed Mar 20 19:10:22 PDT 2013 --  ام العبيد يضرب بها الامثال في الجنووون ،، #اتمنى_اشوفها "ام العبيد"
Wed Mar 20 17:58:40 PDT 2013 --  pic.twitter.com/JfavAmrwpX
Wed Mar 20 17:59:52 PDT 2013 --  أمنيات البنات الحين يتزوجون واحد يدرس برا .. ما يبونه هو يبون البرا =))!
Wed Mar 20 17:32:15 PDT 2013 --  ليِس عليك ان تكُون كاملاً ومثالي ولستّ مُجبرًا ان تُجامل احدّ!تحدث بِ مزاجك وﻻ تهتمّ*~
Sat Jan 05 12:29:16 PST 2013 --  رتويت اذا انت من محبين السيريلاك pic.twitter.com/nokUci48
Tue Feb 05 11:09:22 PST 2013 --  صوره أمام ماكدونالدز لعائلة دخلت للعشاء وتركت الخادمة أمام الباب اتقوا الله في الخدم . http://twitter.com/BBRQ8/status/295802449191645185/photo/1pic.twitter.com/W9asSlMI 
Wed Mar 20 16:34:23 PDT 2013 --  يقولون باريس عاصمة الجمال ؟ .. وهذي وش يسمونها ! #غرد_بصورة pic.twitter.com/xqOAKRMOz5
Wed Mar 20 16:40:30 PDT 2013 --  ﷽ ﴿إِنَّ اللَّهَ وَمَلَائِكَتَهُ يصلون عَلَى النَّبِيِّ يَا أَيُّهَا الَّذِينَ آَمنوا صَلُّوا عليه وَسَلِّمُوا تَسْلِيمًا﴾
Wed Mar 20 15:43:31 PDT 2013 --  حَتى حروف الـ ( و د ا ع ) , إن عَكستها سترى شيئاً مختلفاً يوحي بنظرة التـفـاؤل..!
Wed Mar 20 13:11:21 PDT 2013 --  ارفقـوا بكبـار السن .. فـإنهم يعيشـون في زمن ليس بزمنهم تحملوا كثرة كلامهم وانتقادھم المستمر فـأنتم لا تعلمـون بماذا يشعرون
Mon Mar 11 10:19:33 PDT 2013 --  المرأة التي تفرح بالتعيين في مجلس الشورى .. مثل الطفل الصغير الي يعطيه أخوه الكبير يد بلايستيشن مفصوله!! ^ قتلني التشبيه
Thu Mar 14 01:37:19 PDT 2013 --  : بعض البنات : يدها كذا و تحطھا صورة عرض و تكتب مَ أحلل  https://pbs.twimg.com/media/A69KiSVCIAEG_VL.jpg …
Fri Mar 15 04:37:47 PDT 2013 --  ترقيم الاجانب: بالأدب اول شيء يسألها ، ار يو سنقل ؟ ، السعودي وراها عيالها و حامل و زوجها ينتظرها عند بوابه 5 ويلاحقها و يقول يا لبيه
Sat Mar 16 18:13:39 PDT 2013 --  حبيتك من صورة العرض واحلا كسره =)) http://twitter.com/Group_BrdCast/status/269197199500529664/photo/1pic.twitter.com/SrrSVZK6rk 
Wed Mar 20 14:47:14 PDT 2013 --  يله كلنا نصيح http://twitter.com/Muhmdz/status/314344591602114560/photo/1pic.twitter.com/1UG9c5xAIx 
Wed Mar 20 14:45:34 PDT 2013 --  !!! #غرد_بصورة pic.twitter.com/lNcScCyiu3
Wed Mar 20 13:39:06 PDT 2013 --  ​​تبي تحس بطعم ﺎلاجازه؟ اضبط المنبه ع الساعه 6 و ذا دق سكره باصبع رجلك الصغير المهم تهينه اهانه مَ ينساها طول عمره وﺎرجع نم
Wed Mar 20 11:45:19 PDT 2013 --  المسلسلات الكويتيہ ; ي وليدي ﺎحنا صج فغارا بس كرامتنا فوق كل شي بس عندهم فله ۈ 10 سيارات ۈلبسهم كلہ ماركات ههههههههههههههههههههههه
Wed Mar 20 11:10:09 PDT 2013 --  I'm using http://www.justunfollow.com  to track my new followers and follow them back #iosapp
Wed Mar 20 10:26:17 PDT 2013 --  برنامج الثامنه مع داوود الشريان فيحان + بدر الزيدان + عزوز + سلفر الحقوو عليهم لايفوتكم ...
Wed Mar 20 09:50:37 PDT 2013 --  مسآآآء الخ، ـيررر ،،، pic.twitter.com/cCxfEY5Wdi
Tue Mar 19 21:14:39 PDT 2013 --  I'll be using http://www.justunfollow.com  to track who unfollowed me #iosapp
Tue Mar 19 20:41:04 PDT 2013 --  --- --- والنعم بك ي الله ♡♡ pic.twitter.com/A80rqV5yTc
Tue Mar 19 20:32:16 PDT 2013 --  لن أتنآفس مع آي شخص يريد آن يأخذ مني حبيب آو صديق فَ آنا آفسح له آلمجآل لأني آؤمن بِ أن من يريدني لن يتركني آبداً ♡
Tue Mar 19 20:24:25 PDT 2013 --  pic.twitter.com/wG3pAZKiL2
Tue Mar 19 20:20:00 PDT 2013 --  اللهم اجعلني خيراً مما يظنون واغفر لي ما لا يعلمون ولا تؤاخذني بما يقولون.
Tue Mar 19 14:14:30 PDT 2013 --  مذيع ام بي سي يقول التفحيط حرام طيب والمزةّ اللي متكيه جنبك حلال
Tue Mar 19 16:48:54 PDT 2013 --  #هشتقة_فجرية pic.twitter.com/ukqFK5OVYb
Tue Mar 19 16:46:33 PDT 2013 --  #هشتقة_فجرية .. تجيها مِنّا وهي بتجيك مِنّا ، وش فينا .. صرنا نقتل الحب فينا ؟ ما نعشق إلا من يغيبون عنا ، وإذا ارجعوا قلنا : خلاص أنتهينا
Tue Mar 19 16:30:07 PDT 2013 --  Giving up is not in #Aquarius's dictionary. Once they focus on something, they will stick to it until the end
Tue Mar 19 07:42:45 PDT 2013 --  المشي بعد الأكل مباشرة يؤدي إلى سوء الهضم وإنتفاخ في البطن والحموضة
Mon Mar 18 00:53:51 PDT 2013 --  ديروا بالكم لا تقطعون الاشاره http://twitter.com/Bo_Drwsh/status/283830292211453952/photo/1pic.twitter.com/2gjM47ehNV ))
Tue Mar 19 04:03:09 PDT 2013 --  حقيقه تحدث في هذا الزمن شسوي يعني هههههههههه pic.twitter.com/c4gsamKpwV
Tue Mar 19 03:45:32 PDT 2013 --  الآن لمدة (ساعه) لزيادةعددمتابعينك بطريقة فلومي فلوباك اعمل ريتويت للتغريده هذه اضـف اللي مسوين ريتويت اضف اللي يضيفك بشكل سريع
Tue Mar 19 03:45:23 PDT 2013 --  جذي احلى pic.twitter.com/70BaiOLISH
Tue Mar 19 03:39:21 PDT 2013 --  أخي الخاطب : أول ما تدخل الحوش حط عينك على الشبابيك المظلمه !! ثق تماما ان فيه لجنة تقييم تراقبك و الأم تقول عيب عليكم .. وخروا شوي بشوف
Tue Mar 19 03:38:58 PDT 2013 --  البنات دقيقات يقدرون يميزون التغيرات لدرجة لو تغير وحده عقارب ساعتها عرفوا .. والشباب يقلون له: ياخي فيك شيء متغير ويطلع في النهاية اخوه
Tue Mar 19 03:38:18 PDT 2013 --  وووووووش سالفة القطاوه :/ ما يتهاوشون الا الفجر :| .. احس لو صار بينهم شيء بالظهر يقولون الوعد الفجريه ههههههههههههه
Mon Mar 18 22:54:48 PDT 2013 --  لزياده متابعينك بشكل سريع ضيفني@lovingCalm0 رتويت للتغريدة ضيف اللي عملو رتويت ضيف اللي يضيفك
Tue Mar 19 01:50:16 PDT 2013 --  كن في الحياه كلاعب وليس كحكم لأن الأول يبحث عن الاهداف و الاخر يبحث عن الأخطاء :)=D !^ حكمه كروية هادفه جدا ‹̐›
Mon Mar 18 20:57:26 PDT 2013 --  اللهم اعنا على ذكرك وشكرك وحسن عبادتك pic.twitter.com/aES1Vjn7nK
Mon Mar 18 09:35:30 PDT 2013 --  واحد من الشباب يقول مرة خويي يوريني صور عياله عجبوني ومن الحماس قلت له شكل أمهم خقق شهر و أنا اعتذر ‹› تحمس الرجال هههههههههه
Mon Mar 18 20:42:29 PDT 2013 --  pic.twitter.com/9VOglC2ID3
Mon Mar 18 20:36:45 PDT 2013 --  للمتواجدين لمتابعة أكثر من 14 الف مغرد ➊ فولو مي @rt_q8_ma ➋ رتويت ➌ فولو للي عمل الرتويت ➍ فولو باك ➎ اللي ما يلتزم مارح يستفيد 10
Mon Mar 18 20:13:35 PDT 2013 --  ‏بإسمك ربي وضعت جنبي وبك أرفعه،فإن امسكت نفسي فأرحمهما ، وان أرسلتها فأحفظها بما تحفظ به عبادك الصالحين
Mon Mar 18 19:51:10 PDT 2013 --  تبيع شرفها لأرضائه والبقاء بجانبه وهي بنظره تحت مسمى ( عاهره ) وان رفضت فهي ( معقده ) فعلمونا يا أسياد الغرام ما مفهوم العشق لديكم!!
Mon Mar 18 12:01:43 PDT 2013 --  الآن فرصة لزيادة عددمتابعينك بطريقة فلومي فلوباك اعمل فولومي @share3_el7ob اعمل ريتويت للتغريدة هذه اضف اللي يضيفك بشكل سريع
Thu Jan 31 06:50:59 PST 2013 --  مشروبات تقضي على الدهون المتراكمة في البطن 1 - الشاي الأخضر 2 -شاي النعناع 3 - شاي قشر الرمان 4 - شاي الزنجبيل
Thu Jan 31 06:50:52 PST 2013 --  فوائد العلك الخالي من السكر pic.twitter.com/8UJEGi4r
Mon Mar 18 19:38:34 PDT 2013 --  #أذكار_الصباح #غرد_بصوره #غرد_تغريدة_تؤجر_عليها #ريتويت #اجعلها_اخر_تغريده pic.twitter.com/VLlTIJdiyZ
Mon Mar 18 19:33:54 PDT 2013 --  ماذا قال مآلك ... #ريتويت_للتغريدة #ريتويت #حكم #درر #غرد_بصوره #غرد_تغريدة_تؤجر_عليها pic.twitter.com/JDBNwLXc7I
Mon Mar 18 18:44:48 PDT 2013 --  في اليابان المدرس يقول للطالب : نجاحگ هو نجآح اليابآن وفشلگ فشلهآ وعندنآ المدرس يقول : نجحت ولآ رسبت ماينقص من رآتبي ولآ ريآل # ضيآأع
Sat Mar 16 23:59:12 PDT 2013 --  موقع تحَليل للشخصيہ : http://www.wikise7a.com/2012/08/Dr.Phil-psycology-tests.html … يحلل تقريبا ٩٠٪ من شخصيتك #kuwait #ksa
Mon Mar 18 09:57:00 PDT 2013 --  نسمع كثيراً الصديق وقت الضيق .. أتريد تجربتها ؟! .. كن صديقاً لـ القرآن .. وسيأتيك وقت ضيقك متحدثاً شافعاً لك يوم القيامه
Sun Mar 17 15:15:29 PDT 2013 --  اذا تبي 14000 يتابعونك الان: ١-تابعني√ ٢-ريتويت لهذه التغريده√ ٣-فولو لمن يعمل ريتويت√ ٤-فولو باك للكل√ رتويت سريع ..
