Fri Aug 14 06:19:22 PDT 2015 --  నేనింతా ఒక పిడికెడు మట్టే కావచ్చు కాని కలమెత్తితే ఒక దేశపు జండా కున్నంత పొగరుంది."- శేషంద్ర
Sat Sep 29 06:16:42 PDT 2012 --  Insbot is a robotic cockroach, designed by scientists that could communicate and influence the activities of real cockroaches.
Sat Sep 29 06:16:10 PDT 2012 --  "Gulabi gang" is the name of a gang of women in India, that on call beats up abusive husbands with brooms.
Sat Sep 29 06:14:42 PDT 2012 --  According to the law of 21 states in the US, employers can refuse to give jobs to people who smoke or use tobacco products.
Sat Sep 29 06:14:07 PDT 2012 --  Every third person in North Korea is a soldier making it the largest military reserve in the world (8.2 million).
Sat Sep 29 06:13:30 PDT 2012 --  The green colour of the Incredible Hulk was a printing fault which was actually submitted in grey colour for printing.
Sat Sep 29 06:12:40 PDT 2012 --  To ensure that a pope has really died, it is a tradition to strike his head with a hammer thrice.
Sat Sep 29 06:12:15 PDT 2012 --  There are GPS shoes available that will guide you home by simply clicking the heels together.
Sat Sep 29 06:11:56 PDT 2012 --  When you're laughing so hard and you try to stop, but you look at the person and laugh again..
Sat Sep 29 06:09:50 PDT 2012 --  How to Save the World: 1) Make a document titled "The World". 2) Save it.
Sat Sep 29 06:10:55 PDT 2012 --  Girl: "I'm breaking up with you." Boy: "Ok, can I get a last hug?" *Girl hugs boy* Girl: "Wait, are you covered in glue?" Boy: "Hehe.."
Fri Sep 28 10:14:20 PDT 2012 --  If you type "illuminati" backwards, followed by '.com' in your address bar, you will be redirected to America's national security page.
Fri Sep 28 10:14:01 PDT 2012 --  Spongebob has worked at the Krusty Krab for at least 31 years.
Fri Sep 28 10:13:44 PDT 2012 --  If you are 6 feet 2 inches tall, then you are taller than 94% of the world.
Fri Sep 28 10:01:06 PDT 2012 --  Ink for your printer is literally more expensive than blood.
Fri Sep 28 09:00:27 PDT 2012 --  "I'm going to bed" .. really means .. "I'm going to lie on my bed and be on my phone."
Thu Sep 27 10:51:39 PDT 2012 --  With 21% of its population experiencing depression, France is the most depressed country in the world.
Thu Sep 27 10:51:33 PDT 2012 --  Studies show that men and women experience the same amount of emotion but women tend to be more honest about them.
Thu Sep 27 10:51:08 PDT 2012 --  Your thumb is the same length as your nose.
Thu Sep 27 08:32:34 PDT 2012 --  Chocolate lovers around the world! #ThingsThatMakeMeSmile
Thu Sep 27 08:38:21 PDT 2012 --  63% of Twitter users have a Girlfriend/Boyfriend . . . RT if you love food.
Thu Sep 27 10:49:41 PDT 2012 --  The only way to not get hurt is to not give a fuck.
Thu Sep 27 08:48:38 PDT 2012 --  From little Roger Federer to 'The Swiss Maestro'. This is where it all started: http://federernews.rogerfedererfans.com/this-is-where-it-all-started-roger-federers-early-signs-of-being-a-champion … pic.twitter.com/zaoPuT5h
Thu Sep 27 08:12:34 PDT 2012 --  Iowa, early voting starts today. You started it all four years ago, and Barack is counting on you again now. –mo
Thu Sep 27 10:23:59 PDT 2012 --  More information on the distribution of the tickets shall be shortly posted on http://www.sherlynchopra.com .
Thu Sep 27 10:25:39 PDT 2012 --  “My opponent thinks it’s fair that someone who makes $20 million a year like him pays a lower rate than a cop or a teacher who makes $50K.”
Thu Sep 27 10:46:41 PDT 2012 --  Three things in life that, once gone, never come back: TIME, WORDS, OPPORTUNITY.
Thu Sep 27 10:46:17 PDT 2012 --  Lady Gaga states that she was bullied in high school and that she was actually thrown in a garbage can at one point.
Thu Sep 27 10:35:34 PDT 2012 --  “We’ve got a new tower across the New York skyline, al Qaeda is on the path to defeat, and bin Laden is dead.”—President Obama
Thu Sep 27 10:45:38 PDT 2012 --  It's impossible to kill yourself by holding your breath.
Thu Sep 27 10:39:30 PDT 2012 --  The only thing I know for sure is that Sunny days are easier to pass than Rainy days.
Thu Sep 27 10:26:01 PDT 2012 --  Food Bed Music Twitter Mobile Phone = Perfect day.
Thu Sep 27 10:25:55 PDT 2012 --  I constantly check my phone for no reason.
Thu Sep 27 10:25:44 PDT 2012 --  U, R, 2, 6, C, I, 1, 2, 4, Q. Retweet if you get (;
Thu Sep 27 10:25:36 PDT 2012 --  How I learned to say my ABC'S: A B C D E F G H I J K elemeno P Q R S T U V W X Y Z.
Thu Sep 27 10:25:06 PDT 2012 --  Me: "Mom, I have good news!" Mom: "You got a 100 in your math test?!" Me: "Mom, I said good news, not a miracle."
Thu Sep 27 10:24:49 PDT 2012 --  Respect old people, they graduated without Google and Wikipedia!
Thu Sep 27 10:24:05 PDT 2012 --  In 1983, after 5 years of being in existence, Apple became the fastest growing company in history.
Thu Sep 27 10:23:25 PDT 2012 --  The wedding ring goes on the left ring finger, because it is the only finger with a vein that connects direct to a heart.
Thu Sep 27 10:23:06 PDT 2012 --  81% of people use music as an escape from all the negative things in their life.
Thu Sep 27 10:21:46 PDT 2012 --  Being ignored triggers a reaction in the brain that is actually similar to experiencing a physical injury.
Thu Sep 27 10:21:33 PDT 2012 --  70% of people find it easier to sleep when their cell phone is right beside them.
Thu Sep 27 10:20:42 PDT 2012 --  If you try to suppress a sneeze, you can rupture a blood vessel in your head or neck and die.
Thu Sep 27 10:20:19 PDT 2012 --  On average, Google makes about $700-$900 a second. - Happy 14th Birthday Google
Thu Sep 27 10:20:08 PDT 2012 --  In one week, the average person will learn more from Google than 4 years of high school. - Happy 14th Birthday Google
Thu Sep 27 10:18:55 PDT 2012 --  Research indicates that mosquitoes are attracted to people who have recently eaten bananas.
Thu Sep 27 10:17:53 PDT 2012 --  The word "fuck" can be used as an adverb, verb, adjective, command, and noun - Logically, it can be used almost anywhere in a sentence.
Thu Sep 27 10:17:41 PDT 2012 --  Rubbing your ears can help relieve an itchy throat.
Thu Sep 27 10:17:35 PDT 2012 --  Sea otters hold hands while sleeping so they don't drift away from each other.
Thu Sep 27 10:16:26 PDT 2012 --  *Playing game for first time* "Would you like to try the tutorial first?" Me: "No." *moments later* Me: "How the fuck do you play this?
Thu Sep 27 10:14:40 PDT 2012 --  Oh, you drink Diet Coke with your Big Mac? You must lose so much weight.
Thu Sep 27 10:13:49 PDT 2012 --  I don't see why everybody wants a white iPhone. Everyone knows the black one runs faster.
Thu Sep 27 10:13:24 PDT 2012 --  Old people at weddings always poke me and say "You're next." So, I started to do the same thing to them at funerals.
Thu Sep 27 10:12:56 PDT 2012 --  When your teacher gives you a 20 minute speech about wasting time...
Thu Sep 27 10:11:52 PDT 2012 --  Alcohol isn't a problem, it's a solution... Just ask any chemist.
Thu Sep 27 10:11:20 PDT 2012 --  We all have that one friend WHO NEEDS TO LEARN HOW TO WHISPER.
Thu Sep 27 10:10:52 PDT 2012 --  I hate it when ugly people say "I need my beauty sleep." Bitch, you need to hibernate.
Thu Sep 27 10:10:37 PDT 2012 --  Slapping your friend when you get excited about something.
Thu Sep 27 10:09:21 PDT 2012 --  Hardest job in the world: Police sketch artist in China.
Thu Sep 27 10:08:19 PDT 2012 --  I don't care if you're black, white, asian, ugly, pretty, gay or lesbian. If you're gonna be nice to me, I'm gonna be nice to you.
Thu Sep 27 10:07:52 PDT 2012 --  Student: Can I go to the bathroom? Teacher: You should've gone during the break. Student: Sorry, but I haven't planned out my pee schedule.
Thu Sep 27 10:06:53 PDT 2012 --  Life is a waste of time, time is a waste of life, so get wasted all of the time and have the time of your life!
Thu Sep 27 10:06:42 PDT 2012 --  Why do people order double cheeseburgers, large fries and then a diet coke?
Thu Sep 27 10:05:43 PDT 2012 --  A movie theatre was robbed of $200 last night. The thief took a bag of popcorn, a combo meal, and a large drink.
Thu Sep 27 10:04:00 PDT 2012 --  Jelly Belly Candy Company produces 1,250,000 jelly beans an hour.
Thu Sep 27 10:03:43 PDT 2012 --  The parents of Albert Einstein were worried that he was mentally slow because it took him a long time to learn how to speak.
Thu Sep 27 10:02:56 PDT 2012 --  An American urologist once bought Napoleon's penis for $40,000.
Thu Sep 27 10:02:40 PDT 2012 --  Over 1,000 birds a year die from smashing into windows.
Thu Sep 27 10:02:08 PDT 2012 --  The most used line in the movies is "Let's get out of here."
Thu Sep 27 10:01:56 PDT 2012 --  "Yo Mama" jokes were invented by Shakespeare.
Thu Sep 27 10:01:49 PDT 2012 --  "Hakuna Matata" literally translates to "No problem."
Thu Sep 27 10:01:30 PDT 2012 --  Today's students spend more time on homework than other students have ever in recorded history,
Thu Sep 27 10:01:27 PDT 2012 --  The postal code for Delta, Canada is V4G 1N4.
Wed Sep 26 09:44:25 PDT 2012 --  Women find men more attractive when they notice other women looking at him.
Wed Sep 26 09:44:03 PDT 2012 --  In Colorado, it is illegal for a man to marry his wife’s grandmother.
Wed Sep 26 09:43:43 PDT 2012 --  The act of kissing releases oxytocin in the brain - A hormone that strengthens the emotional bond between 2 people.
Wed Sep 26 09:42:07 PDT 2012 --  Teacher: Next Person Who Answers My Question Can Go Home Student: *Throws Paper* Teacher: Who Threw That? Student: Me Im out this
Wed Sep 26 09:41:43 PDT 2012 --  Pour up Drank Headshot Drank Sit Down Drank Stand up Drank Pass out Drank Wake up Drank Faded Drank Faded
Wed Sep 26 09:41:06 PDT 2012 --  Teacher: What's the opposite of laughing? Student: F*cking! Teacher: How's that? Student: Laughing is ha..ha..ha ,; F*cking is ah.. ah.. ah.
Wed Sep 26 09:40:16 PDT 2012 --  Girls who pretend to act stupid because they think it's cute need to be fucking slapped.
Wed Sep 26 09:38:36 PDT 2012 --  If you’re a hacker… Here’s my password ●●●●●●●●●●●●●●
Wed Sep 26 09:36:03 PDT 2012 --  Me + ☊ = Bitch I Can't Hear You
Wed Sep 26 09:35:22 PDT 2012 --  When your ex tells you "you will never find anyone like me," reply, "that's the point."
Wed Sep 26 09:34:35 PDT 2012 --  I hate being second to those i put first..
Wed Sep 26 08:09:24 PDT 2012 --  I should change my voicemail to: "Hang up and text me."
Wed Sep 26 08:08:59 PDT 2012 --  Oh, you think you're ugly? I am sorry, but you spelled attention seeking whore wrong.
Wed Sep 26 08:08:29 PDT 2012 --  U have 10 fish, 5 drown, 3 come back to life. How many fish do you have?....................stop counting smart one. Fish cant Drown
Wed Sep 26 08:08:13 PDT 2012 --  Male testicles create 10 million new sperm cells every day. That's enough to repopulate the planet in just six months.
Wed Sep 26 08:08:04 PDT 2012 --  We grow in our sleep. We wake up every morning about 8 millimetres taller. However, gravity makes us shorter during the next day.
Wed Sep 26 08:07:10 PDT 2012 --  40% of women admit that they have thrown footwear at a man. Women love shoes, so if she’s willing to hurl one at you, you know she’s pissed.
Wed Sep 26 08:06:04 PDT 2012 --  Men are actually less likely to talk dirty than women!
Wed Sep 26 08:05:31 PDT 2012 --  Every 45 seconds, a house catches on fire in the United States!
Wed Sep 26 08:04:44 PDT 2012 --  "Justin Bieber" is googled more than "Jesus".
Wed Sep 26 08:04:21 PDT 2012 --  A dairy cow can produce more milk when listening to music.
Wed Sep 26 08:04:02 PDT 2012 --  Only 30-50 of the original Apple 1 computers still exist, with originals selling for up to $50,000.
Wed Sep 26 08:03:33 PDT 2012 --  On average a man has upto 10 erections during his sleep.
Wed Sep 26 08:03:09 PDT 2012 --  35 Billion e-mails are sent each day throughout the world.
Wed Sep 26 08:02:52 PDT 2012 --  Sheryl Crow's two front teeth are fake.
Wed Sep 26 08:02:11 PDT 2012 --  Blood is such a good stain that Native Americans used it for paint.
Wed Sep 26 08:01:50 PDT 2012 --  people who text back instantly. I like that shit.
Wed Sep 26 08:01:18 PDT 2012 --  I'm not arguing. I'm just simply explaining why I'm right!
Wed Sep 26 08:01:05 PDT 2012 --  When I'm bored, nobody texts me, but when I'm busy, my phone blows up.
Wed Sep 26 08:00:48 PDT 2012 --  No microwave, bad microwave... I want the FOOD heated, NOT just the plate.
Wed Sep 26 08:00:29 PDT 2012 --  I wish my friend's houses were connected to mine by secret tunnels.
Mon Sep 24 07:35:16 PDT 2012 --  Fuck c: pic.twitter.com/Jf452tUE
Mon Sep 24 07:34:15 PDT 2012 --  Okay :( pic.twitter.com/MtlhD9kV
Tue Sep 18 23:08:44 PDT 2012 --  Happy people listen to the music, sad people listen to the lyrics.
Tue Sep 18 23:08:33 PDT 2012 --  First you care. Then you get hurt.
Tue Sep 18 11:47:28 PDT 2012 --  We’re all supposed to die in 3 months, I can’t wait.
Tue Sep 18 10:46:05 PDT 2012 --  People who are born from 1995-1999 have lived two decades, two centuries, two millenniums, and they are not even 18 years old yet.
Tue Sep 18 10:44:53 PDT 2012 --  Mosquitos don't just bite you, they also urinate on you after sucking your blood.
Tue Sep 18 10:44:25 PDT 2012 --  You see yourself 5 times more attractive in the mirror thanks to your brain.
Tue Sep 18 10:44:12 PDT 2012 --  Survey says that the most overused word of 2011-2012 is "LOL". 93% of people type it without smiling.
Tue Sep 18 10:43:42 PDT 2012 --  Theres a 90% chance one who gossips to you, will gossip behind your back.
Tue Sep 18 10:43:27 PDT 2012 --  The sudden feeling of jolt or falling experienced when you’re about to fall asleep is classified as a mild epileptic seizure.
Tue Sep 18 10:43:01 PDT 2012 --  Technically the world should have ended around 13 months ago according to the Mayan calendar because it didn't account for leap years!
Tue Sep 18 10:40:43 PDT 2012 --  After Albert Einstein died, scientists split his brain into 240 separate slides for viewing.
Tue Sep 18 10:40:19 PDT 2012 --  Calling your best friend when something crazy happens.
Tue Sep 18 10:40:02 PDT 2012 --  Mosquitoes have killed more humans than all the wars in history
Tue Sep 18 09:36:33 PDT 2012 --  The creator of the animated series 'Family Guy', Seth MacFarlane, was originally supposed to be on the plane that hit the WTC on 9/11.
Tue Sep 18 09:34:24 PDT 2012 --  In WW1, the British soldier, Henry Tandey, saved the life of a wounded german soldier, later identified as Adolf Hitler.
Tue Sep 18 09:33:44 PDT 2012 --  One way to sweeten watermelon is by actually sprinkling salt on it.
Tue Sep 18 09:33:26 PDT 2012 --  The author of the Harry Potter series, J.K. Rowling has weekly earnings of about $5 million!
Tue Sep 18 09:33:13 PDT 2012 --  The average woman cries between 30 and 64 times in the duration of one year, while the average man cries between 6 and 17 times a year only!
Tue Sep 18 09:32:53 PDT 2012 --  The gang that committed the great train robbery (£2.6 million) in 1963 England, played Monopoly with real money after looting the train.
Tue Sep 18 09:32:24 PDT 2012 --  A study was done by the University of Oklahoma in 1962 to see how much intake of LSD would make an elephant "violent and uncontrollable"
Tue Sep 18 09:29:57 PDT 2012 --  Consuming chocolate was once considered a sin during the 16th and 17th century.
Tue Sep 18 09:29:45 PDT 2012 --  Cinderella is known as Rashin Coatie in Scotland, Zezolla in Italy, and Yeh-hsien in China.
Tue Sep 18 09:29:37 PDT 2012 --  The colder the room you sleep in, the better the chances are that you'll have a bad dream.
Tue Sep 18 09:29:08 PDT 2012 --  Mosquito repellents don't repel. They hide you. The spray blocks the mosquito's sensors so they don't know your there.
Tue Sep 18 09:27:54 PDT 2012 --  The first known contraceptive was crocodile dung, used by Egyptians in 2000 B.C.
Tue Sep 18 09:27:21 PDT 2012 --  Sunlight takes about 8 minutes and 20 seconds to reach the Earth at 186,282 miles a second.
Tue Sep 18 09:27:15 PDT 2012 --  During the introduction of the iPhone in 2007, Steve Jobs used the phone to call Starbucks and order 4,000 lattes to go.
Tue Sep 18 09:26:26 PDT 2012 --  Pringles chips are named after a street in Finneytown, a tiny Cincinnati suburb.
Tue Sep 18 09:13:57 PDT 2012 --  Who else used to think Courage the Cowardly dog was the scariest show ever?
Tue Sep 18 09:13:38 PDT 2012 --  Were cool and everything but if zombies were chasing us I would trip your ass.
Tue Sep 18 09:12:21 PDT 2012 --  I would rather live a life of "oh well's" than a life of "what if's"
Tue Sep 18 09:12:06 PDT 2012 --  I believe in hate at first sight.
Tue Sep 18 09:11:25 PDT 2012 --  Sorry is one of the most useless words. No matter how many times you say it, it's never gonna reverse the damage you've done.
Tue Sep 18 09:11:13 PDT 2012 --  In February 2011, there were actually 47 real people named "Lol" in the U.S.
Tue Sep 18 09:07:41 PDT 2012 --  7 out of 10 houses in the U.S. are painted white.
Mon Sep 17 22:30:50 PDT 2012 --  Let's just stay friends = Let's never talk again.
Mon Sep 17 22:29:13 PDT 2012 --  Use yes and no once. 1) Are you gay? 2) Are you lying?
Mon Sep 17 10:07:29 PDT 2012 --  If you were to be paid $500 in pennies, you would actually have enough metal to be melted down and sold for over $1,000.
Mon Sep 17 10:06:41 PDT 2012 --  You insult me? I can handle it. You insult my best friend? You die!
Mon Sep 17 10:06:19 PDT 2012 --  Forget about your friends they don't care where we go and if they do we'll get lost in a crowd of people.
Mon Sep 17 07:34:00 PDT 2012 --  ❒ Single ❒ Taken I'm just ready for summer 2013
Mon Sep 17 07:29:03 PDT 2012 --  I do this all the time http://twitter.com/JokesPlace/status/247559968717434880/photo/1pic.twitter.com/jBL5xAyG 
Mon Sep 17 07:23:43 PDT 2012 --  Germany took 9 years of "blood and iron", & loss of tens of thousands' lives to unify 39 provinces of same race, language & religion.
Wed Sep 12 11:20:52 PDT 2012 --  iPhone 5 comes with ultra-fast wireless, including LTE
Wed Sep 12 11:20:37 PDT 2012 --  #Apple #iPhone5 is powered by the A6 chip - 2X faster CPU, 2X faster graphics, 22 per cent smaller
Wed Sep 12 11:20:27 PDT 2012 --  #Apple CEO Tim Cook announces the #iPhone5 at the event at San Francisco's Yerba Buena Centre for the Arts. pic.twitter.com/UP5HXvpF
Wed Sep 12 11:15:37 PDT 2012 --  Check out Apple iPhone's battery life (Reuters) http://yfrog.com/nvzncubj 
Wed Sep 12 11:15:15 PDT 2012 --  The iPhone 5 fucks the Samsung Galaxy 3 in every sexual position known to mankind.v
Wed Sep 12 11:14:50 PDT 2012 --  1080p video, improved video stability, face detection, you can take photos while shooting video: Phil Schiller #ht #Apple #iPhone5
Wed Sep 12 11:14:07 PDT 2012 --  finally hot iphne5 is out http://economictimes.indiatimes.com/tech/hardware/iphone-5-announced-18-thinner-20-lighter-than-apple-iphone-4s/articleshow/16372223.cms …
Wed Sep 12 11:11:35 PDT 2012 --  The #Apple #iPhone5 pic.twitter.com/0yo5m1rV
Wed Sep 12 11:10:30 PDT 2012 --  The iPhone5 in black and white (Reuters) #ht #Apple http://yfrog.com/mo1i1acj 
Wed Sep 12 11:10:08 PDT 2012 --  New #iPhone5 has three microphones instead of two. Featured on back, front and bottom (So Siri can hear you better!) http://usat.ly/Q2Ueqn 
Wed Sep 12 11:09:44 PDT 2012 --  Now you can make a FaceTime call right over the cellular network: Phil Schiller #ht #Apple #iPhone5
Wed Sep 12 11:06:42 PDT 2012 --  iPhone 5 pre-orders start on 14th September. Shipping 21st September in US, UK and others.
Wed Sep 12 10:11:05 PDT 2012 --  J. Edgar Hoover liked to fire FBI agents whose palms were sweaty when shaking hands.
Wed Sep 12 10:10:07 PDT 2012 --  The only king without a moustache in a deck of cards is the king of hearts.
Wed Sep 12 10:09:42 PDT 2012 --  The popular Christmas song “Jingle Bells” was written in 1857...for Thanksgiving.
Wed Sep 12 10:09:28 PDT 2012 --  Bruce Lee was so fast, that they actually had to slow a film down so you could see his moves.
Wed Sep 12 10:09:14 PDT 2012 --  The most expensive pen in the world costs around $730,000 and has over 800 diamonds in it.
Wed Sep 12 10:08:46 PDT 2012 --  Jimmy Carter can read 2000 words per minute.
Wed Sep 12 10:08:04 PDT 2012 --  There are 80,658,175,170,943,878,571,660,636,856,403,766,975,289,505,440,883,277,824,000,000,000,000 ways to shuffle a deck of cards!
Wed Sep 12 10:07:16 PDT 2012 --  Abraham Lincoln's son Todd was present at every presidential assassination up until Kennedy.
Wed Sep 12 10:07:04 PDT 2012 --  At least 5 people have been murdered reportedly for unfriending someone on Facebook.
Wed Sep 12 10:06:00 PDT 2012 --  Steve Jobs was dyslexic.
Wed Sep 12 10:05:30 PDT 2012 --  Voldemort means "flight of death" in French.
Wed Sep 12 10:04:56 PDT 2012 --  A person who is strongly attracted to someone’s intelligence is called a “sapiosexual.”
Wed Sep 12 10:04:27 PDT 2012 --  Having blue eyes is actually a mutation. Before the mutation occurred, all humans had brown eyes.
Wed Sep 12 10:02:49 PDT 2012 --  Google makes about $700 a second.
Wed Sep 12 10:02:04 PDT 2012 --  In France, you can legally marry a dead person.
Wed Sep 12 10:01:19 PDT 2012 --  The earth makes a complete rotation once every 23 hours, 56 minutes and 4 seconds.
Wed Sep 12 10:01:04 PDT 2012 --  In Albania, nodding your head means "no" and shaking your head means "yes."
Wed Sep 12 09:57:20 PDT 2012 --  The most expensive painting ever sold was "The Card Players" by Paul Cezanne for more than $250 million.
Wed Sep 12 09:57:03 PDT 2012 --  Nearly 40% of men do not feel confident meeting a woman for the first time.
Wed Sep 12 09:56:44 PDT 2012 --  Studies have shown that most people prefer to work with their own gender.
Wed Sep 12 09:55:58 PDT 2012 --  A man won a bet that he could have sex with 2 women for 12 hours but died shortly afterward cause he took a entire bottle of Viagra.
Wed Sep 12 09:54:55 PDT 2012 --  Approximately 1 billion people throughtout the world go to bed hungry every night.
Wed Sep 12 09:54:13 PDT 2012 --  Fruits are actually the ovaries of flowers.
Wed Sep 12 09:52:48 PDT 2012 --  Stars twinke because of turbulence in the atmosphere.
Wed Sep 12 09:52:23 PDT 2012 --  McDonald's is the world's largest toy distributor, with over 1.5 billion Happy Meal toys sent out each year.
Wed Sep 12 09:51:56 PDT 2012 --  "The Dark Knight Rises" is the only Batman movie which didn't use the Batman signal.
Wed Sep 12 09:51:19 PDT 2012 --  Humans spend about 25 years of their life sleeping.
Wed Sep 12 06:11:21 PDT 2012 --  I don’t care what your gender is, I’m calling you dude.
Wed Sep 12 06:11:14 PDT 2012 --  I love doing stupid things with my friends.
Wed Sep 12 06:10:30 PDT 2012 --  Whenever someone calls me ugly, I get super sad and hug them because I know life is really, really tough for the visually impaired.
Wed Sep 12 06:09:49 PDT 2012 --  If your girlfriend has Taylor Swift lyrics as her status, you either doing something very right or something very wrong.
Wed Sep 12 06:09:32 PDT 2012 --  Women need a reason to have sex. Men just need a place.
Wed Sep 12 06:09:12 PDT 2012 --  If you're texting 2 people at the same time, you're bitextual.
Wed Sep 12 06:08:26 PDT 2012 --  You laugh, I laugh. You cry, I cry. You jump off a bridge, I get on my boat and save your dumb ass.
Wed Sep 12 06:07:21 PDT 2012 --  My mom thinks I'm the only person who spends all day on the internet.
Wed Sep 12 06:05:01 PDT 2012 --  Lord Voldemort uses Twitter but not Facebook, because he only has followers, not friends.
Wed Sep 12 06:02:05 PDT 2012 --  Money is the number 1 thing that couples argue about.
Wed Sep 12 06:01:17 PDT 2012 --  Laughing for 15 minutes a day burns about 40 calories -- Doing this daily can help you lose about 4 pounds a year.
Wed Sep 12 06:01:13 PDT 2012 --  The average American loses their virginity at the age of 15-16.
Wed Sep 12 05:59:47 PDT 2012 --  The green pigs in the game "Angry Birds" were inspired by the swine flu.
Wed Sep 12 05:59:35 PDT 2012 --  One study suggests a cup of tea, comfortable pajamas and going to bed at exactly 10pm is the key to a perfect night's sleep.
Wed Sep 12 05:58:10 PDT 2012 --  Stress often causes headaches as a result of your blood being redirected to other parts of your body.
Wed Sep 12 05:57:47 PDT 2012 --  People do not get sick due to cold weather -- They get sick because they are indoors more often.
Wed Sep 12 05:55:43 PDT 2012 --  President Obama was known to be heavy marijuana smoker in his teen and college days. His nickname used to be "Barack Oganja".
Wed Sep 12 05:54:58 PDT 2012 --  Hardest thing ever? Controlling your laughter at serious times.
Wed Sep 12 05:53:27 PDT 2012 --  Watching a couple so in love and thinking this will never be me.
Wed Sep 12 05:53:09 PDT 2012 --  ❒Taken ❒Single Dont care anymore.
Tue Sep 11 08:27:52 PDT 2012 --  Distance doesn't ruin a relationship, doubts do.
Tue Sep 11 08:27:02 PDT 2012 --  Falling for someone you never thought you'd fall for.
Tue Sep 11 07:32:15 PDT 2012 --  "123456" is the most commonly used password worldwide, as well as the one that is cracked the most.
Tue Sep 11 07:31:51 PDT 2012 --  Ironically, slaves actually assembled the famous 'Statue of Freedom' in 1863, which sits on top of the U.S. Capitol building.
Tue Sep 11 07:31:14 PDT 2012 --  'Love' has inspired about 12% of all the graffiti found in women's toilets, and only 1% of that found in men's toilets!
Tue Sep 11 07:29:50 PDT 2012 --  The movie with the highest body count is Lord of the Rings- Return of the King in which 836 characters were killed.
Tue Sep 11 07:29:25 PDT 2012 --  At the funeral of Graham Bell, the inventor of telephone, all the telephone lines in the US and Canada were suspended for a minute.
Tue Sep 11 07:27:47 PDT 2012 --  I hate it when I'm trying to be serious, but then I accidently smile..
Tue Sep 11 07:26:50 PDT 2012 --  Teachers act fake when the principal comes in the classroom.
Tue Sep 11 07:25:15 PDT 2012 --  Regular heart beat, __/\_______/\_______. When I almost drop my phone, _/\_/\_/\_/\_/\_.
Tue Sep 11 07:23:54 PDT 2012 --  That awkward moment when you're that one friend who always gives relationship advice but is still single.
Tue Sep 11 07:23:28 PDT 2012 --  Drying only your hands, so you can reply to a text while in the shower.
Tue Sep 11 07:20:20 PDT 2012 --  Strangers think I'm quiet, my friends think I'm outgoing, my best friends know I'm insane.
Tue Sep 11 07:18:54 PDT 2012 --  Don't ever forget who was there for you when no one else was.
Tue Sep 11 07:17:17 PDT 2012 --  Rumors are carried by haters, spreaded by fools, and accepted by idiots.
Tue Sep 11 07:16:25 PDT 2012 --  "Dude, you're singing the wrong words" " No i'm not, I'm making a remix"
Tue Sep 11 07:16:15 PDT 2012 --  Men who kiss their wives in the morning live 5 years longer than men who don't.
Tue Sep 11 07:15:13 PDT 2012 --  Sitting too close to the TV will not damage your vision.
Tue Sep 11 07:14:43 PDT 2012 --  When two people talk about a person they both dislike it brings them closer.
Tue Sep 11 07:13:50 PDT 2012 --  Good liars are also better at noticing other people’s lies.
Tue Sep 11 07:13:37 PDT 2012 --  You're allowed to request the copy of the file the FBI has on you.
Tue Sep 11 07:13:15 PDT 2012 --  The hardest part is seeing the one you love with the one they love.
Tue Sep 11 07:12:44 PDT 2012 --  That moment when you're texting with your friends and you think you're replying too fast. So, you just wait for a few minutes.
Mon Sep 10 10:03:18 PDT 2012 --  Without you my life would be = "Sadday, "Moanday, "Tearsday, "Wasteday, "Thirstday, "Fightday", and "Shatterday".
Mon Sep 10 10:00:23 PDT 2012 --  You know you're ugly when you call yourself ugly and no one disagrees with you.
Mon Sep 10 09:58:44 PDT 2012 --  If Harry Potter's so magical, then why can't he fix his eye sight?
Mon Sep 10 09:53:06 PDT 2012 --  That awkward moment when you actually left your homework at home.
Mon Sep 10 09:36:57 PDT 2012 --  Just because I'm nice to you, doesn't mean I like you. It just means I'm not rude.
Mon Sep 10 09:36:25 PDT 2012 --  Steve Jobs, Mark Zuckerberg and Bill Gates = College Dropouts.
Mon Sep 10 09:35:47 PDT 2012 --  Congratulations!! You are the 100th person to view my status. To see your prize please click Control + W.
Mon Sep 10 08:51:56 PDT 2012 --  If you leave Tokyo by plane at 7:00am, you will arrive in Honolulu at approximately 4:30pm the previous day
Mon Sep 10 09:33:51 PDT 2012 --  You know what makes me smile? Your smile, your face, your jokes, your silly face expressions, everything about you and You.
Mon Sep 10 09:33:16 PDT 2012 --  Strangers can become bestfriends just as easy as bestfriends can become strangers.
Mon Sep 10 09:32:54 PDT 2012 --  Can I borrow a kiss? I promise I'll give it back.
Mon Sep 10 09:32:35 PDT 2012 --  We used to stay up late talking for hours, but now we don't even talk at all….
Mon Sep 10 09:32:12 PDT 2012 --  Teacher: "I'm calling your parents!" Age 10: OMG NO! PLEASE DON'T! Age 13: Whatever. Age 15+: Tell them I said Heyyyyy!
Mon Sep 10 09:32:01 PDT 2012 --  Some narcissists (people who are in love with themselves) seek out partners that look like themselves as they find themselves 2 attractive!
Sun Sep 09 07:41:23 PDT 2012 --  As a teenager, Barack Obama used drugs including marijuana and cocaine.
Sun Sep 09 07:06:39 PDT 2012 --  @shrutihaasan sweet,beautifull and gorgeous angel.. pic.twitter.com/dehuYikq
Sun Sep 09 06:31:49 PDT 2012 --  According to a survey, the most annoying thing said after a break up is “Can we still be friends?
