Fri Aug 28 18:35:56 PDT 2015 --  @Real_Liam_Payne happy birthday my beautiful dad
Fri Jul 24 08:13:37 PDT 2015 --  Happy birthday to my queen @mitchgrassi ! Love you!
Thu Jul 23 20:52:32 PDT 2015 --  kelly did 'beautiful disaster' and 12 year old scott got a lil misty eyed
Thu Jul 23 14:43:13 PDT 2015 --  Thanks to the boys too, we've seen and done some incredible things together, love you all !
Thu Jul 23 12:19:15 PDT 2015 --  Wowwwww 5 years 5 boys what an amazing journey I couldn't thank you all ever enough and thank you Louis Niall Harry and zayn for everything
Thu Jul 23 11:34:09 PDT 2015 --  It’s here! Your sneak peek! #MockingjayPart2 official trailer: http://hungrgam.es/mkgjy2tlr 
Thu Jul 23 00:43:41 PDT 2015 --  Kinda need to pee but not bad enough to get out of bed
Thu Jul 23 03:16:39 PDT 2015 --  Defo does get emotional watching all these videos you guys have made for the 5 years ! You guys are too good to us :)
Wed Jul 22 22:18:56 PDT 2015 --  on a good day, I'm the bad news, for the wrong girl, with the right wounds #Astoria
Wed Jul 22 21:06:05 PDT 2015 --  Astoria is officially done recording. Now @rabbitwithhorns and I just gotta mix this bitch. Start next week! Can't wait for you to hear it
Wed Jul 22 20:28:57 PDT 2015 --  space jam 2 with lebron james is gonna be awful. that's like having kanye west play morgan freeman's character in shawshank redemption
Wed Jul 22 18:14:41 PDT 2015 --  & I hope you leave feeling alive and more in love with live music than you were before
Wed Jul 22 17:50:57 PDT 2015 --  My attempt of expressing how thankful we are for you guys !
Wed Jul 22 17:50:25 PDT 2015 --  Thank you thank you thank you thank you thank you thank you thank you thank you thank you thank you thank you thank you thank you thank you
Wed Jul 22 17:49:33 PDT 2015 --  You have been by far the most incredible fanbase and nothing you do goes unnoticed . We are so lucky to have you guys ! Thanks so much :)
Wed Jul 22 17:48:23 PDT 2015 --  Every single day we are thankful for the platform that you incredible people gave us . What an amazing 5 years it's been !!
Wed Jul 22 13:16:51 PDT 2015 --  Hi it's michael again with your friendly reminder you can buy she's kinda hot on iTunes if you wanna listen to it http://5sosf.am/d4SymZ 
Wed Jul 22 08:32:38 PDT 2015 --  Yeah we're alright though ! http://5sosf.am/d4SymZ  pic.twitter.com/vwn2Lb5GDG
Tue Jul 21 22:24:31 PDT 2015 --  Tbh I think every crowd we sing to is the loudest ... I thought that was a good thing that world wide your the best fans. ? Don't you?
Tue Jul 21 15:24:26 PDT 2015 --  looking forward to the day i'm finally eccentric enough to carry an umbrella in the sun
Tue Jul 21 10:16:28 PDT 2015 --  @Nightwatch_Dan @LisaLassie29 @Nightwatch_Nick @NightwatchTitus hells yea! Dan you should make a video for twitter showing them your naenae
Sat Jul 18 09:37:56 PDT 2015 --  I would to congratulate myself on this nap I'm about to take. I'm certain it will be a success.
Fri Jul 17 22:15:12 PDT 2015 --  SHE'S KINDA HOT || ROWYSO Vegas -July17 https://vine.co/v/er2dbBjL1q5 
Fri Jul 17 18:32:30 PDT 2015 --  #SHESKINDAHOT CAME ON THE RADIO WHEN I WAS IN THE SHOWER AND I GOT SO EXCITED AND ALMOST FELL... SO WORTH IT!!
Fri Jul 17 15:01:00 PDT 2015 --  Everyone and their grandma should hear this, hope you guys love it https://m.youtube.com/watch?v=NTxtioXVZQE …
Fri Jul 17 09:21:56 PDT 2015 --  Do not judge the library by one book. Do not judge the fandom by one person
Thu Jul 16 19:27:11 PDT 2015 --  What a dream being able to perform alongside @kelly_clarkson at @RadioCity this evening! Thank you all for an unforgettable night x
Thu Jul 16 18:56:06 PDT 2015 --  6 yrs ago, we took a school trip to tour the iconic @RadioCity, & now we're ON STAGE playing for thousands. Wow. pic.twitter.com/IyNDAJE8Um
Thu Jul 16 06:45:58 PDT 2015 --  Happy birthday to an awesome dude. @Luke5SOS
Wed Jul 15 14:55:54 PDT 2015 --  once you master the art of not letting others affect your mood, you are GOLDEN
Wed Jul 15 13:09:11 PDT 2015 --  Our new single She's Kinda Hot comes out on friday! welcome to the New Broken Scene.. pic.twitter.com/wjU0uB4zJ4
Wed Jul 15 11:18:39 PDT 2015 --  http://5onthewall.com  it's going down
Wed Jul 15 11:16:43 PDT 2015 --  #5ONTHEWALL
Tue Jul 14 20:22:25 PDT 2015 --  holy shit today was exhausting. can't wait for you guys to see what we've been upto
Tue Jul 14 09:42:49 PDT 2015 --  RT FOR A DM TO HARRY STYLES FAV FOR A DM TO LUKE HEMMINGS FOLLOW FOR BOTH I FOLLOWBACK pic.twitter.com/xAek6pm9Qb #HarryBeCareful
Mon Jul 13 18:56:43 PDT 2015 --  When you meet people that just get it >
Mon Jul 13 14:02:21 PDT 2015 --  I want to live in a world where every sick child can see a doctor. https://youtu.be/vNQi8N0YxNE  #action1D
Mon Jul 13 12:08:14 PDT 2015 --  I think I was supposed to be a Taurus
Mon Jul 13 08:42:21 PDT 2015 --  doin a lil follow spree in honor of 400k! RT for a follow
Sun Jul 12 12:34:14 PDT 2015 --  @5SOS whoever tweeted this is a comedic genius. And witty.
Sun Jul 12 12:30:03 PDT 2015 --  First time I've been to breakfast with Michael... First time he's been to breakfast. pic.twitter.com/5Fu64B4MEg
Sat Jul 11 18:26:19 PDT 2015 --  First time opening for @kelly_clarkson was SO FUN!! We're so honored to be able to do this every night. Thanks, Hershey! xoxox #PxPTour
Sat Jul 11 15:14:27 PDT 2015 --  First show opening for @kelly_clarkson on the #PieceByPieceTour and I'm VERY excited.
Sat Jul 11 14:28:02 PDT 2015 --  also his name is PRENTICE how neat
Sat Jul 11 14:26:53 PDT 2015 --  today our bus driver Prentice made our beds and left a little wrapped chocolate on each of them !!!!!! #PXPTour
Sat Jul 11 08:23:28 PDT 2015 --  First show of #PxPtour w/ @kelly_clarkson! Couldn't be more excited ^___^
Fri Jul 10 16:58:39 PDT 2015 --  Feeling emotional thinking about it all , 5 years!!!? Where has the time gone !?
Fri Jul 10 16:54:50 PDT 2015 --  5 years ago today since my audition! Still an impossible thing to comprehend! Everyone who's ever supported us we can never thank you enough
Fri Jul 10 09:47:09 PDT 2015 --  Well done Louis. Five years ago today you got through to Boot Camp. What a ride you've had since then
Fri Jul 10 09:44:06 PDT 2015 --  Do something right or don't do it at all.
Wed Jul 08 12:43:56 PDT 2015 --  Seeing all my boys soon ahhhh
Tue Jul 07 21:14:17 PDT 2015 --  The critically acclaimed hungry5sos has returned... people are calling it the best game of all time. http://www.hungry5sos.com 
Tue Jul 07 16:57:01 PDT 2015 --  Yaaaaaas!! My boy @NightwatchTitus is almost officially a #Paramedic! https://twitter.com/NightwatchTitus/status/618426641191014400 …
Tue Jul 07 16:20:17 PDT 2015 --  Today's vid marks our 100th video! 1.5 MILLION subs & 130 MILLION views. Wow. THANK YOU for the endless support! pic.twitter.com/jWdKT3VlHy
Mon Jul 06 17:30:54 PDT 2015 --  Such an honour to play this role Indiana jones 6 coming to a theatre near you https://instagram.com/p/40JwlYA1RM/ 
Mon Jul 06 16:08:49 PDT 2015 --  You know it Sneaky G. RT @JoshRamsay: ian and I got real cute today in our day off pic.twitter.com/lnHmNWHuP6
Mon Jul 06 15:56:46 PDT 2015 --  @Ashton5SOS happy birthday duderoni
Mon Jul 06 10:27:20 PDT 2015 --  finally did the #DontJudgeChallenge pic.twitter.com/CKT3yYub0c
Mon Jul 06 09:39:02 PDT 2015 --  HAPPY BIRTHDAY @Ashton5SOS congratulations on being so muscular, ruggedly handsome, luscious and getting funnier every day. see you soon
Sun Jul 05 15:23:31 PDT 2015 --  Uncut version available on iTunes pic.twitter.com/OZmxoVykOj
Sun Jul 05 13:11:09 PDT 2015 --  I want @TitussBurgess to play The Plant in Little Shop one day. Someone make this happen please.
Sun Jul 05 06:01:12 PDT 2015 --  Can't believe Ive been cast for Jurassic park 5 thanks so universal, can't wait to start filming https://instagram.com/p/4wV9X4g1RP/ 
Sat Jul 04 22:42:46 PDT 2015 --  Happy 4th of July murrrrica
Sat Jul 04 12:22:38 PDT 2015 --  HAPPY BIRTHDAY AMERICA!!!
Sat Jul 04 09:43:34 PDT 2015 --  Happy Fourth of July to our lovely neighbours to the South. We're in your hood. Teach us Canadians your wonderous ways.
Sat Jul 04 08:31:28 PDT 2015 --  Happy 4th of July!
Sat Jul 04 02:58:39 PDT 2015 --  Happy 4th of July. I genuinely thought it was called #IndependenceDay, because Bill Pullman and Will Smith saved the world. I still believe.
Thu Jul 02 11:45:52 PDT 2015 --  USA USA USA!! #WomensWorldCup
Wed Jul 01 16:33:49 PDT 2015 --  I love universal studios Orlando Harry potter world I'm such a Harry potter nerd and there's no… https://instagram.com/p/4nLKYPg1UM/ 
Mon May 25 08:14:28 PDT 2015 --  "It's a little childish and stupid, but then, so is high school"
Tue Jun 09 16:56:11 PDT 2015 --  Young Leonardo DiCaprio pic.twitter.com/TJ9wSBJwIY
Wed Jun 10 18:01:01 PDT 2015 --  lol where did my clothes go https://vine.co/v/O7FJ2UKilV2 
Wed Jun 24 16:50:45 PDT 2015 --  Leo in Titanic is where he stole my heart first http://twitter.com/whiteboysheaven/status/613535555331190784/photo/1pic.twitter.com/qthDNVi36h 
Mon Jun 29 21:26:36 PDT 2015 --  Also, you look so perthect
Mon Jun 29 13:43:18 PDT 2015 --  Excited for @PTXofficial to get to @acappellacademy !!!
Sat Jun 27 14:25:18 PDT 2015 --  Twas a lot of fun! RT @mtrxnch: “ @proudhemmings: THIS FUCKING ACAPELLA BLESS YOU @mtrench pic.twitter.com/XOsYArPnjK” INSANE CHILLS FROM THIS
Sun Jun 28 07:40:14 PDT 2015 --  Blue the velociraptor is the real hero here today.
Sat Jun 27 21:36:18 PDT 2015 --  City and Colour
Sat Jun 27 16:28:18 PDT 2015 --  Think it's fair to say! I cannot wait to get into that bed of mine, feel like I haven't slept in about 6 weeks ...
Sat Jun 27 10:12:26 PDT 2015 --  @townsend_ht @NightwatchHolly @Nightwatch_Nick @NightwatchTitus Hell we are too!
Sat Jun 27 08:47:41 PDT 2015 --  Just waiting for the new season of Night watch! So pumped! @NightwatchHolly @Nightwatch_Nick @Nightwatch_Dan @NightwatchTitus
Fri Jun 26 16:17:15 PDT 2015 --  Looking forward to trying out some new stuff tonight. Not like songs, but like sweet dance moves
Thu Jun 25 21:09:15 PDT 2015 --  The fact that @TitussBurgess is from Georgia makes my heart happy
Thu Jun 25 19:38:37 PDT 2015 --  'merica
Fri May 15 13:59:46 PDT 2015 --  are you ever in that mood where you wanna spend money but you don't wanna spend your own
Sun Jun 14 11:33:59 PDT 2015 --  I won't cry for you, my mascara was too expensive.
Thu Jun 25 11:41:47 PDT 2015 --  America isn't ready for these ankles. no way. No how. #jackburton
Thu Jun 25 11:39:08 PDT 2015 --  USA bound.
Wed Jun 24 08:50:05 PDT 2015 --  I hate when i’m trying to blow out birthday candles and little kids try to do it with me excuse u it’s not ur birthday so take a step back
Thu Jun 25 11:02:02 PDT 2015 --  #tbt this was & still is one of my favorite videos @PTXofficial has ever done! http://youtu.be/UUxH1KVi84Q 
Thu Jun 25 06:10:14 PDT 2015 --  I saw my father singing along tonight to a song I wrote in my bedroom when I was 15. Thankyou for giving me a chance to make him proud.
Wed Jun 24 14:42:10 PDT 2015 --  50 shades of burned
Fri Jun 19 08:41:54 PDT 2015 --  pic.twitter.com/m7VVwmSVUb
Wed Feb 01 09:13:14 PST 2012 --  I feel like I've woken up with suddenly more facial hair and a deeper voice.. Thank you for all your lovely Birthday messages :D .xx
Mon Jun 22 08:00:15 PDT 2015 --  Evolution of Michael Jackson http://bit.ly/1fs7Y0U 
Thu May 28 18:59:40 PDT 2015 --  lmao someone in this world actually thought of this. someone in this world actually took time to make this. amazing pic.twitter.com/8hzbHo02K0
Sun May 31 14:57:24 PDT 2015 --  i still love this sommuch https://vine.co/v/OTIQQ5YZ0VH 
Fri Jun 05 12:39:59 PDT 2015 --  Y'ALL pic.twitter.com/rylkZjp5fZ
Fri Jun 05 13:38:25 PDT 2015 --  The crowd singing Zayn's part in DFWYB https://vine.co/v/eM1Ti5FJ6d6 
Fri Jun 05 01:04:26 PDT 2015 --  Having a pretty big giveaway, guys. It'll be a solo group DM with 4/4 (5sos) plus a 2/4 (1D) Rt and comment why you'd like to have it!
Wed Jun 03 15:44:47 PDT 2015 --  Fav and rt for a solo dm! Comment your fave
Tue Jun 02 07:27:07 PDT 2015 --  Can't wait to get back on the road again !
Mon Jun 01 22:33:34 PDT 2015 --  Can't get to sleep
Fri May 29 08:30:07 PDT 2015 --  Annoying pic.twitter.com/rpsTkJHDYo
Sat May 30 14:32:39 PDT 2015 --  I'm in that mood where the smallest things piss me off and I don't know why
Fri May 29 16:12:43 PDT 2015 --  When Coach Marbs catches you taking a selfie and makes fun of you for it... Thanks
Wed May 27 19:21:47 PDT 2015 --  Don't say anything just RT https://vine.co/v/hxuBv15Z3dn 
Wed May 27 11:18:22 PDT 2015 --  Summer has officially started
Wed May 27 11:16:18 PDT 2015 --  Sunny pool day > any other day
Wed May 27 09:50:47 PDT 2015 --  When lifeguards try to kick you out...
Wed May 27 08:20:14 PDT 2015 --  Passed math... Praise! Officially done with freshman year
Tue May 26 19:00:26 PDT 2015 --  RIP to my gpa/immune system/sleep schedule/bank account/life/me
Tue May 26 19:19:00 PDT 2015 --  never date a boy that doesn't look at your sassiness as a blessing
Tue May 26 19:25:07 PDT 2015 --  if i dont insult u daily, it means i dont like u
Wed May 27 00:48:06 PDT 2015 --  I want to spend the night in an ice hotel pic.twitter.com/cqnc35Sgm7
Wed May 27 06:20:29 PDT 2015 --  Only one more final until I'm no longer a freshman
Tue May 26 16:30:46 PDT 2015 --  Go bald, save money. #BlueManLifeHack
Tue May 26 06:40:01 PDT 2015 --  serving size: 4 yeah all 4 me
Tue May 26 11:40:05 PDT 2015 --  me everyday: today is not my day
Tue May 26 05:44:52 PDT 2015 --  ALL I WANT RIGHT NOW pic.twitter.com/bEWf26qC7H
Tue May 26 06:47:41 PDT 2015 --  When Michael attacks me during the show on ROWYSO tour pic.twitter.com/sV20Qx0aOL
Sat May 23 15:36:11 PDT 2015 --  Summer is coming up pic.twitter.com/aC9iOhByNA
Tue May 26 00:37:01 PDT 2015 --  Hey y'all I'm back! How about some DMs? (: fav and rt
Tue May 26 03:27:07 PDT 2015 --  You give me something to think about, that's not the shit in my head
Sun May 24 13:26:25 PDT 2015 --  Aaaannnndddd my laptop is broken. rip rip rip rip
Sun May 24 06:15:00 PDT 2015 --  Band aids don't fix bullet holes https://twitter.com/DailyDMSpree/status/602462548894580737 …
Fri May 22 12:59:32 PDT 2015 --  Fav and rt for a surprise DM (:
Wed May 06 19:05:31 PDT 2015 --  If you're having a bad day watch this video of monkeys racing pic.twitter.com/yiIhijpo2f
Sun Apr 26 08:23:51 PDT 2015 --  why is this so my parents pic.twitter.com/aDfD6xqqfX
Tue Apr 28 07:41:01 PDT 2015 --  Idc how old I am hold my shoes real quick pic.twitter.com/2zu2sFuixo
Fri May 01 06:42:55 PDT 2015 --  I WANT SUMMER I WANT TO WEAR SHORTS NO SCHOOL SWIMMING SUNNY DAYS BLASTING YOUR MUSIC LESS PEOPLE POPSICLES
Sun May 03 08:43:37 PDT 2015 --  REASONS WHY MANNY PACQUIAO WILL ALWAYS BE A CHAMPION IN MY HEART pic.twitter.com/dac2PGuPTE
Mon May 04 14:02:38 PDT 2015 --  My life in a tweet pic.twitter.com/TCU7r4tbn7
Tue May 05 10:03:19 PDT 2015 --  in the Maldives they have glowing beaches caused by planktons pic.twitter.com/hgbirfjP5E
Tue May 05 14:02:01 PDT 2015 --  one of the greatest comebacks ever pic.twitter.com/ep2HIJscbT
Tue May 05 14:31:33 PDT 2015 --  Motivation pic.twitter.com/LK9WoOH7N1
Thu May 07 11:38:00 PDT 2015 --  Someone take one for the team pic.twitter.com/MX15aXKHaj
Fri May 08 07:10:06 PDT 2015 --  my daily facial expressions pic.twitter.com/x5bXVtLvP6
Wed May 20 17:36:28 PDT 2015 --  IM BLESSING YOU WITH THIS VIDEO I MADE OF MICHAEL pic.twitter.com/ME7BtG3t4J
Wed May 20 15:23:55 PDT 2015 --  Trying to take a photo on the sly when your phones flash be like HEY LOOK WHOS TAKING A PICTURE OVER HERE EVERYONE LOOK EVWRYONE HEEYYYY -_-
Mon May 18 15:10:11 PDT 2015 --  *covers up real feelings with aggressive sarcasm*
Mon May 18 15:50:19 PDT 2015 --  if u don't sing at the top of ur lungs while driving then what do u do??????
Mon May 18 17:50:07 PDT 2015 --  i’ll probably third wheel at my own wedding
Mon May 18 21:10:02 PDT 2015 --  my new mixtape is called GPA and its about to drop
Mon May 18 21:20:01 PDT 2015 --  girls have two moods: "love me" and "whoa, don't love me that much, bye"
Mon May 18 22:00:09 PDT 2015 --  you can only bring sexy back if you have the receipt
Tue May 19 03:10:08 PDT 2015 --  me: *gives relationship advice* me: *remains single*
Tue May 19 04:01:04 PDT 2015 --  95% of the time when Im smiling at my phone it's bc of something I said, not something someone sent me. Im hilarious
Tue May 19 04:20:08 PDT 2015 --  50 shades of can't stop eating
Tue May 19 06:20:06 PDT 2015 --  me: i'm so lonely person: hey me: leave me alone
Tue May 19 08:50:10 PDT 2015 --  “you're always on your phone” well ur always on my nerves
Tue May 19 09:30:00 PDT 2015 --  50 shades of single
Tue May 19 10:20:04 PDT 2015 --  50 shades of where is bae
Tue May 19 10:40:02 PDT 2015 --  i need a 6 month vacation twice a year
Tue May 19 22:30:24 PDT 2015 --  laminate your index cards when studying. Not only does it prevent smearing, but the teardrops actually roll right off
Wed May 20 01:10:21 PDT 2015 --  reasons why I stop replying: 1. I'm busy 2. you're boring 3. I'm mad 4. you replied with one word 5. I'm on twitter 6. I'm eating
Wed May 20 02:40:03 PDT 2015 --  *wants to travel the world but has like 3 dollars*
Wed May 20 03:50:06 PDT 2015 --  things that should be allowed to be used in essays: • i shit you not • you feel me • no but get this • i’m just sayin • and yeah
Wed May 20 06:30:00 PDT 2015 --  four five seconds from giving up on school
Tue May 19 17:01:10 PDT 2015 --  Incredible @popular_payne pic.twitter.com/1c7srDUKYn
Tue May 19 16:59:31 PDT 2015 --  Fav and rt for a Calum and Ashton DM!
Tue May 19 16:53:32 PDT 2015 --  okay @NiallOfficial needs to see this so bad pic.twitter.com/EpJZMSSKnn
Tue May 19 16:48:17 PDT 2015 --  Fav and rt for a solo DM (:
Mon May 18 18:43:29 PDT 2015 --  love you guys. Night
Mon May 18 15:13:26 PDT 2015 --  NO CONTROL IS ON THE RADIO OMG @Louis_Tomlinson #ProjectNoControl
Mon May 18 14:56:58 PDT 2015 --  NOUIS AF RN
Mon May 18 13:34:00 PDT 2015 --  thank you so much for winning those awards for us, we love you so much, we had such a great time at the awards and a sickkk night after !
Mon May 18 08:30:03 PDT 2015 --  @townsend_ht Hii. Since I'm not able to DM you, I'm gonna tweet you. RT this: https://twitter.com/dailydmspree/status/600312319328055296 … if you wants the Niall chat. xx
Mon May 18 08:21:13 PDT 2015 --  But I still haven't found, what I'm looking for
Mon May 18 06:45:39 PDT 2015 --  I wanna get LOST and drive FOREVER
Sun May 17 12:51:23 PDT 2015 --  Big day and big night tonight ! VEGAS !!!!!
Sun May 17 12:50:59 PDT 2015 --  You guys have been amazing with all this ! Been following it all and very proud ! #ProjectNoControl
Sun May 17 12:20:07 PDT 2015 --  Working on the album closer. Trying for a concept that's wildly ambitious but if I pull it off, it will be insane.
Fri May 15 20:47:40 PDT 2015 --  Well tonight has been very emotional
Mon May 11 10:41:44 PDT 2015 --  serving size: 4 yeah all 4 me
Wed May 13 18:20:11 PDT 2015 --  im in the mood to receive a check for six hundred thousand dollars
Wed May 13 09:26:24 PDT 2015 --  @townsend_ht pic.twitter.com/yyYf2zCACs
Wed May 13 09:14:58 PDT 2015 --  Can school just end Friday instead?
Sat Mar 21 01:30:19 PDT 2015 --  That awkward moment when you don't understand the feeling that you're feeling.
Fri Mar 20 09:45:32 PDT 2015 --  So excited for Law and Public Safety next year!!!
Fri Mar 20 09:27:34 PDT 2015 --  Slowest Friday EVER!
Fri Mar 20 08:36:45 PDT 2015 --  Can't wait for season 2 of Nightwatch!! Its become my obsession! @Nightwatch_Dan @Nightwatch_Nick @NightwatchHolly @NightwatchTitus
Thu Mar 19 19:59:01 PDT 2015 --  Literally squealed when I saw this! Best night ever! @Nightwatch_Dan pic.twitter.com/MwCv8sSF3f
Thu Mar 19 19:55:29 PDT 2015 --  @townsend_ht Thanks!
Sat Mar 14 08:56:50 PDT 2015 --  Pet adoption at Petsmart breaks my heart. All the little dogs are loved on and the big dogs just sit there and watch everyone.
Sat Mar 14 06:53:00 PDT 2015 --  When @coltondixon is in Georgia and you're not able to go see him
Wed Mar 11 17:04:05 PDT 2015 --  I'd be lying if I said I didn't cry while listening to You'll Be In My Heart... #Disneylife
Wed Mar 11 16:19:56 PDT 2015 --  Love my children pic.twitter.com/9ZARn098fA
Wed Mar 11 07:15:34 PDT 2015 --  Edgar Allan Poe is an absolute genius
Tue Mar 10 13:28:21 PDT 2015 --  Some of the lyrics on this album are the most honest and candid ones we've ever done. Can't wait for you to hear them all for the first time
Mon Mar 09 16:12:40 PDT 2015 --  Walked into a store and bought nothing but underwear. lady definitely thought I pooped myself
Mon Mar 09 07:35:39 PDT 2015 --  Hold you tight straight through the daylight, I'm right here when you gonna realise ... that I'm your cure......
Sat Mar 07 18:58:54 PST 2015 --  It's been incredible in Atlanta at the Fox Theatre. Thank you for the all the love. Until next time, stay classy #ATL pic.twitter.com/16o5xdyPau
Fri Mar 06 18:55:37 PST 2015 --  I'm so stoked for you guys to hear Astoria. It's really turning out to have some of my best work on it. Getting so close to done! Can't wait
Fri Mar 06 10:59:34 PST 2015 --  ITS OUT WORLDWIDE “ @mtrench: #HTTZVideo is out worldwide today on @Vevo! #TGIF! Enjoy Trenchers! http://ow.ly/K1xWp !”
Fri Mar 06 10:32:51 PST 2015 --  New video out today for here's to the zeros! go, son. Go, son. What do you guys think? Did you something? http://ow.ly/K1xWp  !
Fri Mar 06 09:50:58 PST 2015 --  #HTTZVideo is out worldwide today on @Vevo! #TGIF! Enjoy Trenchers! http://ow.ly/K1xWp !
Thu Mar 05 13:00:25 PST 2015 --  https://www.youtube.com/watch?v=EYHFsZF_usU … LA GIRL MUSIC VIDEO!
Wed Mar 04 09:16:07 PST 2015 --  When a bee flies in your hair and won't come out until I shake my hair like an idiot in front of a lot of people
Sun Mar 01 10:28:30 PST 2015 --  dito RT @Melissa_Trench6: @JoshRamsay I don't trust you as a father
Sun Mar 01 19:53:51 PST 2015 --  good thing. They're not invited. RT @runawaymonster_: @JoshRamsay i'd never leave my children with you
Mon Feb 23 07:02:46 PST 2015 --  Tips for falling in love: 1. Don't
Tue Mar 03 11:34:07 PST 2015 --  I'm four five seconds from wildin
Tue Mar 03 09:36:22 PST 2015 --  Why did I even waste my tears on you?
Tue Mar 03 09:21:31 PST 2015 --  hey we were thinking maybe we should put out the Here's to the zeros video this week. How do you guys feel about friday? Good for you? OK
Mon Mar 02 15:22:22 PST 2015 --  The official video for “Here’s to the Zeros” will be premiering on @PopCrush in the USA on March 5th #HTTZVideo
Mon Mar 02 15:10:07 PST 2015 --  Band-aids don't fix bullet holes, you say sorry just for show
Mon Mar 02 15:01:27 PST 2015 --  I didn't ask for all of this
Mon Mar 02 14:54:53 PST 2015 --  Why did this have to happen? Why can't everything be good?
Fri Feb 27 09:24:11 PST 2015 --  okay what is the point of living https://vine.co/v/OxlvPzjUiE1 
Fri Feb 27 09:31:58 PST 2015 --  Imma buy that weird dress and wear it to the next award show I go to, and i'm gonna look amazing
Wed Feb 25 19:51:00 PST 2015 --  I really hope all this snow and ice can hold out just until they close school Friday. That's all!
Fri Feb 20 14:24:16 PST 2015 --  When it starts snowing, my inner 4 year old comes out
Tue Feb 17 11:33:29 PST 2015 --  This album is shaping up to be the most personal and candid one.
Tue Feb 17 11:33:12 PST 2015 --  Planning some really epic gnarly super dope cool awesome titties sweet stuff for you guys (i wish there were more flags)
Mon Feb 16 16:20:21 PST 2015 --  Man the strings sound killer. Can't wait for you all to hear it!
Mon Feb 16 16:00:13 PST 2015 --  MAKING MUSICS ALL DAY LONG pic.twitter.com/X0kNC19Bi4
Mon Feb 16 13:05:32 PST 2015 --  Recording strings at The Warehouse for a couple new tracks today. These are my favourite days. http://instagram.com/p/zLS-GHjSmP/ 
Mon Feb 16 08:48:32 PST 2015 --  When @maydayalex favorites your tweet... AMAZING
Sat Feb 14 17:23:24 PST 2015 --  Eating mcdonalds watching Netflix on valentines day. what's happened to me
Sat Feb 14 10:42:35 PST 2015 --  Happy Valentines Day! Everyone come over to my house so I can cook you a sexytime dinner.
Sat Feb 14 08:25:41 PST 2015 --  Will you be my Valentine?
Fri Feb 13 09:34:38 PST 2015 --  When your mom tells you that you need a boyfriend. Thanks mom I know
Sun Feb 08 05:21:32 PST 2015 --  Winter Jam is my favorite thing I'm the entire world
Fri Feb 06 07:49:33 PST 2015 --  everyone has that one song that releases their inner stripper don't argue with me
Sun Feb 01 14:23:17 PST 2015 --  Writing a tune with the man @JoshRamsay
Mon Feb 02 01:40:01 PST 2015 --  great day in the studio with that feisty @Luke5SOS . Wrote a keeper, hung cellphones from odd ceiling outlets, and generally caused mayhem
Mon Feb 02 09:41:07 PST 2015 --  Seeing @JoshRamsay and @Luke5SOS in the studio together is the greatest thing in my life pic.twitter.com/WXS5loFHWY
Sun Feb 01 22:15:00 PST 2015 --  pic.twitter.com/aHn91n50EE
Sun Jan 25 15:17:01 PST 2015 --  gosh being a princess is exhausting
Mon Jan 26 06:11:11 PST 2015 --  valentines day alentines day lentines day entines day ntines day tines day ines day nes day es day s day day ay ayyyy ayyyyyyyy pizza rolls
Mon Jan 26 18:54:02 PST 2015 --  never date a boy that doesn't look at your sassiness as a blessing
Tue Jan 27 18:54:00 PST 2015 --  if anyone ever tells u that u are too old for disney movies u need to get rid of them... u dont need that kind of negativity in ur life
Tue Jan 27 21:20:02 PST 2015 --  isn’t it weird that we have one hand that knows how to do everything and then one hand that just sits there like “idk how to hold a pencil"
Wed Jan 28 00:12:04 PST 2015 --  Why are middle school girls skipping the awkward stage & going straight to pretty? No no, you get braces &wear blue eyeshadow. Do your time.
Tue Jan 27 07:28:06 PST 2015 --  Why do people say hook 'em knights? We don't have hooks. That's Kell. Makes no sense
Wed Nov 26 17:37:14 PST 2014 --  *people's RT @talkaboutstupid: @JoshRamsay @Annielauralynch are you really in a position to correct peoples grammar
Sun Jan 18 20:05:56 PST 2015 --  Hate turning on the news... Nothing but violence and death. What is wrong with the world
Fri Jan 16 18:04:47 PST 2015 --  Never ever take me to Petland unless you are actually buying me a dog. Everytime I go there, I leave crying
Thu Jan 15 12:28:28 PST 2015 --  Props to the Franco parents for making hella cute babies
Tue Jan 13 11:26:54 PST 2015 --  Scott Disick is everything pic.twitter.com/59LUIcxmmi
Wed Jan 14 17:11:49 PST 2015 --  Disney never seizes to amaze me
Tue Jan 13 12:17:29 PST 2015 --  My whole health class has been spent looking at Yorkies to adopt
Tue Jan 13 12:14:30 PST 2015 --  I'm coming for you Rex! @hbrooke234 pic.twitter.com/ZKnm60BJYr
Mon Jan 12 08:47:40 PST 2015 --  Tis the season pic.twitter.com/sycTXUfj8Y
Sun Jan 11 10:42:34 PST 2015 --  Feeling 22 ooo hoo ! Ha thanks for the love x
Sun Jan 11 10:43:39 PST 2015 --  Just 6 hours left and my age is no longer cool sounding #21wentquick x
Sun Jan 11 10:49:40 PST 2015 --  It doesn't matter how many times I watch Grease I never get tired of it!!
Mon Jan 12 07:50:43 PST 2015 --  River Ridge today, River Ridge tomorrow, River Ridge forever- the ending of my valedictorian speech
Sun Jan 11 15:00:41 PST 2015 --  I think I say 'like' as much as a preppy white girl..
Mon Jan 12 07:43:52 PST 2015 --  I'm way too obsessed with counter strike.... Halp
