Thu Aug 27 12:47:25 PDT 2015 --  "Separation of church and state" is so funny because there literally isn't
Mon Jul 27 18:07:54 PDT 2015 --  "You cannot rape your spouse." -- Donald Trump's lawyer https://twitter.com/timkmak/status/625827057910607876 …
Sun Jul 26 11:11:44 PDT 2015 --  surprise your partner in bed by dying in your sleep
Mon Jul 27 16:40:15 PDT 2015 --  Kinda wanna be surgeon general of the us, but I hate politics. I'm too straight forward and will literally fight you. It happens.
Mon Jul 27 16:36:31 PDT 2015 --  " @BernieSanders is my favorite old white man" -my cousin
Mon Jul 27 16:18:02 PDT 2015 --  When you could help actual people but instead choose to sabotage people's access to safe sexual care :))) https://twitter.com/cnnbrk/status/625781909931565057 …
Mon Jul 27 13:04:40 PDT 2015 --  Spent a solid 20 minutes explaining to naomi why I love my skyrim husband in other words this fever is getting to me
Mon Jul 27 12:57:18 PDT 2015 --  "There’s nothing really for me to do except hang out for a few decades." http://onion.com/1euCF4s  pic.twitter.com/qVM3Y2nzTM
Mon Jul 27 11:15:49 PDT 2015 --  As an American #millennial, I am committed to working towards a better society until I make enough money to be part of the problem.
Mon Jul 27 11:59:32 PDT 2015 --  Seriously, realize that no matter what you're gonna have to help other people out. I'd rather buy you a condom than pay for your child
Mon Jul 27 11:58:39 PDT 2015 --  Less than a child ¯\_(ツ)_/¯ https://twitter.com/foxandfriends/status/625654221833117697 …
Mon Jul 27 06:11:36 PDT 2015 --  can you do this but with the iraq war https://twitter.com/foxandfriends/status/625654221833117697 …
Thu Sep 25 13:55:38 PDT 2014 --  Tombstone of two of the best breakdancers pic.twitter.com/i1riSYFsOo
Mon Dec 08 07:50:54 PST 2014 --  wife: its ruining date night me: its ruining date night because you're letting it ruin date night hitchhiker: just drop me off on the corner
Sun Jul 26 11:52:31 PDT 2015 --  "Swiper, no swiping!" Dora yelled. But it was too late. Her fox friend had already swiped left on Tinder, deciding Dora wasn't his type.
Sun Jul 26 21:12:31 PDT 2015 --  Fool me once, shame on you. Fool me 35 times I'm one of those idiots that's still defending Bill Cosby.
Sun Jul 26 09:59:41 PDT 2015 --  I don’t need fimem I’m not a MISANDRIST who wants to DEMONISE men by talking about domestic abuse using “facts” and “statistics” #outrageous
Sun Jul 26 02:35:13 PDT 2015 --  Male gamers who harass women online tend to be, literally, losers http://bbc.in/1Ko9lIm  #thingididntknowlastweek pic.twitter.com/ASIgkw1pCZ
Wed Jul 15 22:37:22 PDT 2015 --  [fishing with dad] "Aw dammit! I've got the line tangled up in the reel" *Jaden Smith slowly rises from the lake* "Is anything reel?"
Sat Jul 25 17:44:58 PDT 2015 --  "This country has socialism for the rich, rugged individualism for the poor." - Rev. Martin Luther King Jr. #SCLC
Sat Jul 25 17:10:31 PDT 2015 --  My phone corrected "sharknado" to ""shark bad" and it's kind of on point #Sharknado3
Sat Jul 25 16:06:59 PDT 2015 --  Boyfriend: we never go out Me: of style?
Sat Jul 25 10:45:06 PDT 2015 --  New Anti-Abortion Legislation Requires Doctors To Scale 18-Foot Wall Surrounding Clinic http://onion.com/1Osq51Y  pic.twitter.com/MvEnsuxTsM
Sat Jul 25 10:18:15 PDT 2015 --  It's important for me to ask your dad for permission to date you because we all know men should control women's dating choices.
Sat Jul 25 08:31:27 PDT 2015 --  Patron: WHY IS THERE NO TP IN THIS BATHROOM AT ALL *all other stalls are stocked and woman squeezed by me when I tried to fill said stall*
Sat Jul 25 05:08:46 PDT 2015 --  It's hard to take a bath if it meant boiling dozens of buckets of water. It wasn't a common thing. They still treated NA like cap tho (2/2)
Sat Jul 25 05:07:34 PDT 2015 --  This needs to be fact checked. Most of these seem true, but colonists were hygienic by taking sponge baths (1/2) https://twitter.com/90swomen/status/624825465329569792 …
Fri Jul 24 20:17:07 PDT 2015 --  pic.twitter.com/YLJpipsOto
Fri Jul 24 14:05:59 PDT 2015 --  Yesterday, Fox News contributor @EWErickson actually compared women to animals. Take action → http://bit.ly/1LCqr8B  pic.twitter.com/TeIAcN2OKZ
Fri Jul 24 07:39:35 PDT 2015 --  The 1st malaria vaccine has just been approved... We may eradicate malaria before we confront US gun violence https://twitter.com/medicalaxioms/status/624589208464654336 …
Fri Jul 24 05:25:35 PDT 2015 --  Rob Dyrdek: hi Chanel West Coast: HAHAHAHAHAHAHHAAHHAHAHAHAHAHAHAHAHAHAHAHAAHAHAHAHHAAHHAHAHAHAHAHAHAHAHAHAHAHAHHAAHAHHAHAHAAHAHHAHAHAHAHAH
Fri Jul 24 09:47:44 PDT 2015 --  Europe approves world's first malaria vaccine http://nbcnews.to/1SG8Vit  pic.twitter.com/Dc8YMF2jZR
Fri Jul 24 03:15:14 PDT 2015 --  Superb article by @rhiharries in @GdnHealthcare on inspirations, challenges & goals as a successful female surgeon pic.twitter.com/Qlsjz0Nu0B
Fri Jul 24 06:15:25 PDT 2015 --  Nigeria marks one year without a recorded case of polio http://bbc.in/1CUgIHV 
Thu Jul 23 19:54:38 PDT 2015 --  I R https://vine.co/v/er62YZqPjt0 
Thu Jul 23 17:39:52 PDT 2015 --  Then again. What do I know? I've never read a book. I skip English class to smoke and be lonely on my motorcycle.
Thu Jul 23 18:19:00 PDT 2015 --  If girls who are attracted to girls can control themselves around women in skirts maybe it's not the skirts that are the problem
Thu Jul 23 16:19:42 PDT 2015 --  I saw someone buying weed or maybe heroin in the brand spanking new Cumbys parking lot; no one wasted any time Hope Valleying the place up
Thu Jul 23 15:43:56 PDT 2015 --  Ugh my stupid husband in skyrim left me all by myself to finish a quest. Literally married you so you would help me ugh
Thu Jul 23 15:01:05 PDT 2015 --  if you're shy, the easiest way to talk to a girl is one letter at a time, through a ouija board, as a ghost
Thu Jul 23 15:17:32 PDT 2015 --  this is absolutely disgusting, people wonder why women are so body conscious like this is not okay pic.twitter.com/nU8SPsfbI8
Thu Jul 23 13:46:53 PDT 2015 --  Skyrim NPC: DRAGON BORN I NEED U TO DO THIS QUEST Me: lol already did it when I procrastinated the main quest line ¯\_(ツ)_/¯
Thu Jul 23 12:52:33 PDT 2015 --  "Just sit tight in your car while I take a look here and grow increasingly hostile." http://onion.com/1fpFF2T  pic.twitter.com/QeyChB80Zn
Thu Jul 23 08:11:10 PDT 2015 --  Pelosi: Let's have an investigation of those people who were trying to ensnare Planned Parenthood in a controversy which doesn't exist
Thu Jul 23 08:01:03 PDT 2015 --  There's a goth girl who randomly roams hope valley and I can't help but think that Sims was on point with NPCs
Wed Jul 22 17:36:11 PDT 2015 --  If you can't admit you are wrong, some people will die because of it.
Wed Jul 22 16:15:21 PDT 2015 --  God is always watching pic.twitter.com/d2OGU8mqjj
Wed Jul 22 14:27:45 PDT 2015 --  Dear orinthololigy sciencists: thank you for the free leg bracelet. Next time tho remember I a summer not a autumn?? Plan color accordingly.
Wed Jul 22 16:25:06 PDT 2015 --  Bernie Sanders proposes federal minimum wage of $15 an hour http://nyti.ms/1OxWipp 
Wed Jul 22 13:02:43 PDT 2015 --  I'm not trying to shade anyone, but it is my destiny to discourse on truth in such a way that all authority is simultaneously demolished.
Wed Jul 22 11:33:56 PDT 2015 --  Dad: I'm disowning you as my child Me: Can you put that in writing I might be able to get more financial aid
Wed Jul 22 10:21:18 PDT 2015 --  Can’t tell if this is anti-equal rights or pro-satan pic.twitter.com/iUFiImJwaL
Wed Jul 22 10:17:26 PDT 2015 --  And yes, over the years, my relationship with Pluto has been strictly Plutonic.
Wed Jul 22 09:07:51 PDT 2015 --  #GrowingUpWithSiblings when ur in charge and they won't listen pic.twitter.com/PPM2d376Af
Wed Jul 22 06:42:07 PDT 2015 --  Donald Trump said all of these things http://bbc.in/1RQdRpZ  pic.twitter.com/hd4Nu8Mgj5
Sun Jul 19 15:41:44 PDT 2015 --  1 in 3 girls are abused in their lifetime...u already punching us fam https://twitter.com/meninistheros/status/622823205472878593 …
Wed Jul 22 05:51:30 PDT 2015 --  pic.twitter.com/ZbTxocLm2I
Tue Jul 21 20:58:08 PDT 2015 --  Getting emails from college professors and realizing all I do is bake and eat and adventure and am really not prepared for classes
Tue Jul 21 16:46:37 PDT 2015 --  I can't wait for my first fight with Taylor Swift
Tue Jul 21 18:46:36 PDT 2015 --  Stacks of books higher than my GPA
Tue Jul 21 16:57:39 PDT 2015 --  #GrowingUpAGirl the first time you got ur period you thought you were gonna die
Mon Jul 20 20:59:35 PDT 2015 --  *drop mic* pic.twitter.com/JKV6lKeC7R
Mon Jul 20 17:18:14 PDT 2015 --  Feminism is about more than dress codes and slut shaming so don't say it's not important pic.twitter.com/mmcHjGZjev
Tue Jul 21 16:37:28 PDT 2015 --  "It's not even that nice of a golf course" -nick and his bourgeosie ways
Tue Jul 21 16:30:53 PDT 2015 --  #GrowingUpAGirl being told ur a bad influence to children when u wore a tank top to a middle school but you end up being the saludatorian
Tue Jul 21 15:55:19 PDT 2015 --  #GrowingUpAGirl not being able to play contact sports with contact bc women arent physically equal 2 men but we have higher pain tolerances?
Tue Jul 21 15:52:26 PDT 2015 --  #GrowingUpAGirl saying youre premed and still having to explain that you want to be a doctor and not a nurse
Tue Jul 21 14:52:40 PDT 2015 --  Every morning Donald Trump looks into a mirror to repeat his daily affirmation, "I own a larger mirror than this. I own the largest mirror."
Tue Jul 21 12:47:39 PDT 2015 --  #GrowingUpAGirl teacher: i need four strong boys to carry some things for me me: pic.twitter.com/z943rP0I8B
Tue Jul 21 12:38:19 PDT 2015 --  #GrowingUpAGirl your mom doesn't want to let you go out because she thinks you will be raped murdered and dumped in a canal
Tue Jul 21 09:49:49 PDT 2015 --  Will someone please arrest Donald Trump for disturbing the peace
Tue Jul 21 10:25:54 PDT 2015 --  Trap Queen is now Officially the song of Charlestown bc I just learned that the town was established in SEVENTEEN THIRTY-EIGHT
Sat Jul 18 18:50:38 PDT 2015 --  my favorite sex position: i lay u down somewhere and u stay quiet while i organize my rock collection and then go out to watch the clouds
Mon Jul 13 19:39:54 PDT 2015 --  if you're not part of the solution you're part of the precipitate
Fri Jul 10 22:20:09 PDT 2015 --  by age 25, 85% of people will have already met the person they're gonna marry so go out and introduce yourself to a bunch of scientists ASAP
Tue Jul 21 07:24:47 PDT 2015 --  If u automatically sit down in the stall next to me when all of the other 1s are open, u r basically telling me u r a barbarian & sociopath
Tue Jul 21 05:43:54 PDT 2015 --  I had a dream that someone fell and had bilateral compound tibia fractures so I had to do the jaw thrust position and splint them ¯\_(ツ)_/¯
Mon Jul 20 16:56:42 PDT 2015 --  live every week like it's shark week
Mon Jul 20 19:27:42 PDT 2015 --  It's just one of them days. pic.twitter.com/jCNikCNFYp
Mon Jul 20 17:34:13 PDT 2015 --  EARLY LOOK AT FRONT PAGE: Donald Trump's cushy life at military academy as he ducked Vietnam http://nydn.us/1TN5l8R  pic.twitter.com/Jp6buNSKWC
Mon Jul 20 17:29:38 PDT 2015 --  #GrowingUpWithSiblings when someone says that u look alike so u look at each other like pic.twitter.com/SReLrgTUBH
Wed Jul 15 13:18:37 PDT 2015 --  Why society still needs feminism. pic.twitter.com/SLgMakd99O
Mon Jul 20 17:12:57 PDT 2015 --  I grow my hair out long to show people that I am patient when in reality I am too broke to go to a hairdresser.
Mon Jul 20 16:36:14 PDT 2015 --  #growingupwithglasses "can I try your glasses on?" *rips them off your face without permission*
Fri Jul 17 18:06:14 PDT 2015 --  "we don't need feminism" pic.twitter.com/7q1YQCX9DB
Fri Jul 17 13:26:07 PDT 2015 --  Every time you wear a meninist shirt this is what you're promoting. I hope you're all proud! pic.twitter.com/ERI4ByCZL5
Thu Jul 16 20:03:40 PDT 2015 --  OMG no I just realized I lost all of my yakarma by switching phones no God no
Thu Jul 16 18:09:52 PDT 2015 --  Ya girl got a 91 on her EMT midterm, so I gotchu (unless you give birth then u dun messed up bc we haven't covered that yet)
Thu Jul 16 16:49:24 PDT 2015 --  i don’t need femsms because the anti-femisms movement attracts the smartest men pic.twitter.com/ZqgB0fMrjH
Tue Jul 14 13:20:15 PDT 2015 --  2 Ways You're Being a Total Helicopter Mom 1. you tore off your face and replaced it w/ helicopter rotors 2. you only drink helicopter fuel
Thu Jul 16 13:00:01 PDT 2015 --  I had to do a real-life parallel parking job in Providence and I only cried twice fear me I'm a real adult
Tue Jul 14 15:33:57 PDT 2015 --  #TodayKidsWillNeverKnow the #1 photo editor for our pictures pictures use to be fresh asf pic.twitter.com/e8I5X06fYQ
Sat Jul 11 15:11:36 PDT 2015 --  all-time weakest acronym pic.twitter.com/zVJxLAK0oW
Wed Jul 15 18:53:54 PDT 2015 --  Things I was supposed to do today: study for my EMT midterm Things I did not do today: study for my EMT midterm
Wed Jul 15 14:32:43 PDT 2015 --  Why are some LGBT members against bisexuals??? Like dude get allies where you can
Wed Jul 15 12:09:24 PDT 2015 --  Out of all people GoT brings back from the dead they bring back stupid caitlyn like why
Wed Jul 15 09:46:48 PDT 2015 --  AGENDA FOR SECRET DAD MEETING Burgers - when to flip? Sports were better in my day Beer tasting Teens - what the hell is wrong with them
Wed Jul 15 09:36:34 PDT 2015 --  Or you could, you know, clean like a good parent and not relate my cleanliness to my gender????? pic.twitter.com/vc21zS7OKG
Wed Jul 15 07:40:33 PDT 2015 --  I feel like my 20s will be a fun battle of seeing which will go out first, my kidneys or my liver
Wed Jul 15 06:56:42 PDT 2015 --  Oklahoma GOP Compares Food Stamp Recipients To Animals http://talkingpointsmemo.com/livewire/oklahoma-gop-food-stamps-animals … pic.twitter.com/uue7JOvd4x
Tue Jul 14 19:41:24 PDT 2015 --  saw that we finally have a complete family portrait and i jus started cryin #PlutoFlyby pic.twitter.com/Jxxa0NZE4Z
Tue Jul 14 15:42:16 PDT 2015 --  We could eliminate tuition at every public college and university in America with the $80 billion we spend each year on incarcerations.
Tue Jul 14 05:22:04 PDT 2015 --  Cooler than video games: St. Augustine Prep students get surgery experience with Cadaver Lab http://www.nj.com/cumberland/index.ssf/2015/06/cooler_than_video_games_st_augustine_prep_students.html …
Mon Jul 13 20:29:29 PDT 2015 --  It was a cruel choice that i wouldnt wish for anyone. But the game of thrones theme song won out to overture of 1812 as my ringtone.
Mon Jul 13 16:24:50 PDT 2015 --  damn girl was that labcoat expensive? because you could've gotten it 100% off at my pad
Mon Jul 13 14:43:35 PDT 2015 --  When there is science use science. When there is no science, use experience, good judgment, math, experience of others, ethics, principles.
Mon Jul 13 09:35:54 PDT 2015 --  My cat is sad because he enjoyed a chest rub then felt guilty due to socio-economic problems elsewhere in the world. pic.twitter.com/2RgL0EYe6l
Wed Jul 08 15:32:39 PDT 2015 --  [synchronized swimming] *Jeff starts to drown* ME: fucken shit Jeff *I start to drown because I'm a dedicated synchronized swimmer*
Mon Jul 13 08:43:10 PDT 2015 --  I thought I was okay after the red wedding but I was wrong and now I am sad
Sun Jul 12 18:26:00 PDT 2015 --  Taking a shower after work makes me feel like jesus reborn
Sun Jul 12 17:29:02 PDT 2015 --  When it's summer but ur lax af https://vine.co/v/evI5KdlT5Lr 
Sun Jul 12 17:01:15 PDT 2015 --  pic.twitter.com/xtID4NvjQu
Mon Sep 22 12:07:15 PDT 2014 --  [CSI at Starbucks] "Ma'am you've been robbed. Suspect is at large." Barista: At what? "At large" At what? "At venti?" OMG HOW AWFUL!!!
Sun Jul 12 13:15:49 PDT 2015 --  #PlutoFacts: In the @Disney pantheon, Mickey wears clothes & Pluto does not. Enabling Mickey (a mouse) to own Pluto (a dog).
Sun Jul 12 15:10:35 PDT 2015 --  American Horror Story: Hotel pic.twitter.com/KIKO5hx95O
Sun Jul 12 16:54:48 PDT 2015 --  I'm too afraid to say the word m*****s the yellow things for fear that accounts will follow me
Sun Jul 12 16:48:19 PDT 2015 --  One of the reasons we need feminism pic.twitter.com/Ra9aji2nkq
Sun Jun 28 19:07:46 PDT 2015 --  public service announcement: the minion movie is revisionist bullcrap. gru created the minions pic.twitter.com/U8HP1Lr5Xi
Sat Jul 11 17:11:01 PDT 2015 --  The best part of having a little sister is you can make her pump gas because you only have a sports bra on
Sat Jul 11 15:14:22 PDT 2015 --  Good recurring favorite: Customer: THERE'S PLASTIC IN MY LEMONADE Me: no that's real lemon C: WHY IS THERE LEMON IN MY LEMONADE
Sat Jul 11 15:12:33 PDT 2015 --  Customer: is this ice cream GLUTEN free? Me: idk probably if you have a bad reaction I wouldn't risk it C: WHAT DO YOU MEAN IT HAS GLUTEN
Sat Jul 11 15:10:22 PDT 2015 --  Customer: *half hour after buying, shows me half eaten lemonade* this has a lot of sugar Me: yes C: I have diabetes M: ...yes?
Sat Jul 11 09:55:11 PDT 2015 --  Spanish speaking girl asked where to find band aids and I accidentally told her to look for a Christian cross not the Red Cross ¯\_(ツ)_/¯
Fri Jul 10 08:28:31 PDT 2015 --  say that we don't need feminism again, i dare you pic.twitter.com/FJCot1kzq3
Fri Jul 10 15:36:34 PDT 2015 --  Just read a storm of swords in 12 hours because I can't be tamed thank god for people who put pdfs online u the real ruler of westeros
