Wed Aug 26 12:01:36 PDT 2015 --  AFICIÓN | Somos 9.924 abonados. ¿Te vas a perder la temporada 2015-2016? http://www.elchecf.es/-/horarios-y-puntos-de-venta-del-tour-franjiverde-24-28-de-agosto … #SiempreContigo pic.twitter.com/Os4oUzee6J
Tue May 05 09:48:23 PDT 2015 --  @JuanAnguix toda la mierda q no saquéis a la luz d la directiva de sepulcre, será vuestra mierda en un futuro. Limpieza ya sin tapujos
Sun May 03 13:53:37 PDT 2015 --  SOMOS DE PRIMERA!! Gran trabajo de los jugadores y el cuerpo técnico, encabezado por Escribá. Enhorabuena! #Todosomoselchecf
Sun May 03 13:53:24 PDT 2015 --  #ELCHE es de primera división!!!!!! pic.twitter.com/5Jbo4MWDKm
Sun May 03 13:54:26 PDT 2015 --  Una pena que coincidan un día tan triste para unos y tan felices para otros en un mismo club! Enhorabuena a ellos y nosotros VOLVEREMOS!
Sun May 03 13:59:13 PDT 2015 --  Somos de Primera
Sun May 03 13:55:44 PDT 2015 --  Felicidades @elchecfoficial ; contra viento y marea otro año en primera...
Sun May 03 14:02:11 PDT 2015 --  Grandessssssssss pic.twitter.com/hEPUnY7748
Thu Apr 30 22:10:02 PDT 2015 --  Jonathas se salió ante el Deportivo, y es el hombre de moda en Elche. http://mandapelotas.es/index.php/liga-bbva/18-perfiles/6566-jonathas-el-delantero-de-moda-en-elche …
Mon Apr 27 13:40:48 PDT 2015 --  Enhorabuena al Elche por la dimisión de Sepulcre. MUCHO ELCHE! #ElxSouDePrimera
Mon Apr 27 13:02:31 PDT 2015 --  El cambio ha sido posible gracias a vosotros. Ahora toca trabajar mucho por sacar el club adelante. Entre TODOS lo conseguiremos #muchoelche
Fri Apr 24 12:02:20 PDT 2015 --  Juan Aguix abarrota el Centro de Congresos de Elche https://www.diarioinformacion.com/elche-cf/2015/04/24/aguix-abarrota-centro-congresos-elche/1624893.html …
Thu Apr 23 06:35:17 PDT 2015 --  Madre mía, adelanta @MonserrateHdez que negocian todavía la venta a un club inversor con los mismos intermediarios del timo. ¡Gentuza!
Wed Apr 22 14:25:42 PDT 2015 --  La UEFA otra vez sin sentimientos. Abren expediente a Guardiola por la camiseta q mostró d apoyo a #JusticiaParaTopo pic.twitter.com/6E4JoRUYZ0
Wed Apr 22 10:27:57 PDT 2015 --  Hoy ni @realmadrid ni @Atleti, sino hagamos q #SalvemosAlElche sea TT @marca @PlataformaECF @JeronimoTormo #ElcheCF @MonserrateHdez
Wed Apr 22 12:17:25 PDT 2015 --  SALVEMOS AL ELCHE, SEPULCRE FUERA! !!!!
Mon Apr 20 14:06:19 PDT 2015 --  La ilusión del Elche tumba a una inoperante Real. La CRÓNICA de @Tineti_69 http://ow.ly/LSmHk  pic.twitter.com/bQVSFD7YIn
Mon Apr 20 13:55:22 PDT 2015 --  Con plantilla corta, dirigentes en los juzgados, jugadores sin cobrar... Lo que esta haciendo el @elchecfoficial es de un mérito tremendo.
Mon Apr 20 14:00:55 PDT 2015 --  @PlataformaECF donde estan los cojones para solucionar de una puta vez la situacion administrativa?
Sun Apr 19 10:34:58 PDT 2015 --  ÚLTIMA HORA: Anguix convoca a todos los aficionados para conocer su proyecto el viernes, 24A a las 21h en el Palacio de Congresos de #Elche.
Wed Apr 15 08:10:27 PDT 2015 --  Sepulcre defendió y justificó en 2013 el contrato firmado con Eventos Petxina en 2011. En 2014, lo condenó #ElcheCF pic.twitter.com/IarOfbzXhD
