Sun Aug 23 06:44:07 PDT 2015 --  George W. Bush and Dick Cheney and Army committed Treason/Espionage/Sabotage by deploying me to Iraq War. https://www.ebenefits.va.gov/sep/ecms-proxy/document/ebenefits-liferay/dynamic-content/sep/assets/downloads/Chapter_13_Agent_Orange_Claims_Development.pdf …
Thu Jul 23 08:00:54 PDT 2015 --  This is a list of most of the symptoms I had at the Plaza Ocean Club near the VA Clinic. #Daytona https://katysexposure.wordpress.com/2008/12/01/symptoms-of-mold-poisoning/ …
Thu Jul 23 07:55:16 PDT 2015 --  I guess the VA, DOD,Bush and Cheney must of known I had agent orange disabilities that's why they used mold. http://diseaseszoom.com/black-mold-pictures-symptoms-removal-health-effects-risks/ …
Thu Jul 23 07:52:52 PDT 2015 --  I was on vacation having a great time and the VA and DOD,Bush and Cheney was trying to plot to murder me. http://diseaseszoom.com/black-mold-pictures-symptoms-removal-health-effects-risks/ …
Thu Jul 23 07:47:17 PDT 2015 --  This is another murder attempt by the Department of Veterans Affairs,DOD to kill me#IcouldHaveSlippedAndFell http://paradigmchange.me/wp-content/uploads/2014/08/Role-of-Toxic-Mold-in-CFS-PDF.pdf …
Thu Jul 23 07:40:52 PDT 2015 --  I noticed very similar symptoms when I was at the Plaza Ocean Club hotel near the VA Clinic. #SpinaBifida http://blacktoxicmolds.com/mold-symptoms.php …
Thu Jul 23 06:47:44 PDT 2015 --  #SomeoneTellCNN Department Of Veterans Affairs and DOD/Army Officials must be investigated and arrested for crimes. pic.twitter.com/fE2ETfJLWN
Thu Jul 23 06:38:26 PDT 2015 --  Almost immediately when I got home returning from my vacation I stopped sneezing profusely. #VAScandal #ALS #SpinaBifida #NationalHotDogDay
Mon Jul 20 10:28:40 PDT 2015 --  Someone at the Plaza Ocean Club just tried to murder me. Their(VA,DOD,Army) plans and traps failed. #MondayMotivation pic.twitter.com/TFNaSc7hCw
Fri Jul 10 13:30:35 PDT 2015 --  I know the DOD better hope that my info wasn't hacked (data breach) cause I will press criminal charges on anyone at fault. #96B #VoteMoose
Thu Jul 09 20:44:01 PDT 2015 --  Actually Trump has a good idea to destroy their oil fields. The US should arrest Bush and Cheney for war crimes (oil) http://m.globegazette.com/news/iowa/article_2cedfdaf-f9fe-5b4d-93b2-89344de89923.html?mobile_touch=true …
