Mon Jul 13 15:09:20 PDT 2015 --  الله اكبر!! نبشركم باسلام بريطانية عبر حملة #مكة_لايف قبل قليل عبر مركزكم .. شكراً لتفاعلكم ..
Sun Oct 06 13:31:17 PDT 2013 --  #الاتحاد_عضو_في_منظمة_أول_أندية_العالم_تأسيسا : نعم نحن من أسس رياضة هذا البلد .. نحن من علمناهم أبجديات كرة القدم !
Mon Oct 07 02:16:43 PDT 2013 --  من قالوا عنه #نيجيريا هو اﻻن بين اعرق اندية العالم باختيار الفيفا #الاتحاد_عضو_في_منظمة_أول_أندية_العالم_تأسيسا
Sun Oct 06 16:33:40 PDT 2013 --  اللّه أكبر ، اللّه أكبر ، اللّه أكبر لا إله إلا اللّه اللّه أكبر ، اللّه أكبر وللّه الحَمد . - أحيوا سُنّة التكبِير .
Sun Oct 06 11:43:23 PDT 2013 --  ​تخيلوا اني هلاليه ؟. ^آنا بس تخيلت بكيت وضميت كاس اسيا ☻
Sat Oct 05 21:13:14 PDT 2013 --  . الله أكبر الله أكبر الله أكبر، لا إله إلا الله ، والله أكبر الله أكبر ولله الحمد .. احييو سنه التكبير
Sat Oct 05 21:06:29 PDT 2013 --  ♫̴... صبااحي : يبدأ بحمداللہ على ڳل شيء باسمك يَ الله نبدا هذا اليوم ' فاعطنا خيرهہ ، ۆ اكفنا شرهہ ♡ !
Sat Oct 05 16:09:20 PDT 2013 --  مابين آخرِ ساعاتِ الليل وقبل أن يتنفّس الصباح ركعات هُن أجملُ ما بِالحياة إن حافظت عليها س تشعٌر في حياتك ﺑ ارتياح ،، اوترو.
Sat Oct 05 13:22:56 PDT 2013 --  غدآ إن شاء آلله واحد ذي الحجہ لمن ﻧوى صيام العشر وذكري بہا من تحبين ♡♡*
Sat Oct 05 13:20:18 PDT 2013 --  عزيزي الهلالي املأ الفراغ التالي سلطان بن سلمان أول.........فضاء عربي مسلم
Sat Oct 05 12:15:10 PDT 2013 --  حضر يآسر فخَسسر آلههلآل ؟ مَ آججججمممملللهاااا ههههههههههههههههههههههههہَ هٌ ˛
Sat Oct 05 12:15:32 PDT 2013 --  رسميا إيقاف حكم مباراة الهلال و الرائد ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه=)) =D =)) =D
Sat Oct 05 12:07:31 PDT 2013 --  هلالي ذبح خويه ليه اسمهہّ رائد هههههههههههههههههههههههههههههههه
Wed Oct 02 09:11:38 PDT 2013 --  جوانزو يمتلك 6 بطولات وباقي له مباراة ويوصل العالميه. أعرف نادي عنده 54 بطوله وباقي محلي و هو نفسه اللي طاح الحكم و عطاه فاول هههههه
Sun Sep 29 20:44:58 PDT 2013 --  صباح التوكل على الله , صباح مابين تسبيًح وتحميًد , وأذكار , أصبحنا واصبح المُلك لله ، صباحكم وصباحنا تباشير للجنة
Sun Sep 29 01:09:11 PDT 2013 --  الهلال مثل اللي ما يحل زين بالرياضيات ويبدع بالوطنيہ ويقول انا دافور ☻ ^طبعاا الرياضيات _العالميةة والوطنيةة _ المحليةة هههههههه
Sat Sep 28 12:54:54 PDT 2013 --  #سعودية_تسرق_خمسة_بنوك_أمريكية هذه الجرائم اللي ترفع الراس
Sat Sep 28 12:17:26 PDT 2013 --  نسمع جمهور الطحالب يقول العالمية صعبة قويه و يجي الرد الزعيقي الاسوية أصعب شويه وانت بينهم تضحك وتقول الحمد لله اني#اتحادي \=D/
Sat Sep 28 11:17:28 PDT 2013 --  سامي كيف يدرب اللاعبين ؟ 　 إسمع انت طيح هنا وانت تطيح هناك و بعدين انت طيح بمكان الجزاء واذا جاء الحكم قوله سامي يسلم عليك
Sat Sep 28 07:05:02 PDT 2013 --  الأحترام : هوأجمل م يتركـه .. الإنسـان في قلوب / الآخريـن ؛$ ♡
Sat Sep 28 07:01:47 PDT 2013 --  سَعآدتِي بِقُربِك تعنِي أن لاَ حآجَة لِي بِ أحَد ' ࿔❥
Sat Sep 28 06:50:34 PDT 2013 --  إذا أردت أن تعيش سعيدا: فلا تفسر كل شيء ولا تدقق بكل شيء ولاتحلل كل شيء فإن الذين حللوا الألماس وجدوه ((فحمــا))
Sat Sep 28 06:47:30 PDT 2013 --  - يآربّ وَحدگ تدرگ مآ انتظرهہَ وَ مآ يتمناهہ قلبيُ وتعرفّ ’ أسرار ’ مستقبليُ ‘ و مآ يحملہ ليُ , فسھَل أمري وَ سخر ليَ مآ هوّ خيراً ليُ ..
Sat Sep 28 06:46:21 PDT 2013 --  شيء صعب بحرف ( آ ) آسيا *SV* ~
Sat Sep 28 06:04:00 PDT 2013 --  ​​​​⁰⁰ فيہ هلالي غرد جمهور #النصر اول مره يصلون الجمعه وهم متصدرين الدوري رد عليه نصراوي وقال له انت بيصلون عليك قبل توصل العالميه
Thu Sep 26 14:37:43 PDT 2013 --  التويجري: جمهور الهلال صنع اكبر امبراطوريه و واجهه للمملكه رد الملحم: م فشلنا بأسيا الّا واجهتكم < كواهم احرق جبهاتهم ☻ هههههههههههههه
Mon Sep 23 02:29:16 PDT 2013 --  اللهم إجعل هذا البلد آمنا مطمئنًا و سائر بلاد المسلمين ♡♡♡ دام عزك يَ بلادي'
Sun Sep 22 10:43:21 PDT 2013 --  #موطني_الاتحاد pic.twitter.com/kno4xiIhkY
Fri Sep 20 16:23:37 PDT 2013 --  اللهم ي جامع الغيم في السماء اجمع بيني وبين فرحي وسعادتي وتوفيقي وكل امر تعلم انهہ خير لي انك على كل شيء قدير  . . . .
Fri Sep 20 16:12:04 PDT 2013 --  ء ♪ استغفراللہ عدد الأحتياجّ وَفجوةَ الفراغ الناميہّ فيّ قلوبنا استغفراللہ الذيَ لا الہ الاهو الحيّ القيومَ واتوبّ اليه..♪
Tue Sep 17 11:13:10 PDT 2013 --  ⁽ صوتُگ اعزوفہ أتمنى سماعِها گُل يوم
Tue Sep 17 05:15:50 PDT 2013 --  ghnnlp## ML
Sat Sep 14 20:39:46 PDT 2013 --  ∞' آآمل جَديد ، فرصصہ جدِيدهه صفحہهَ جديدَة !’ هككذاِاَ اجععلوا يومكم فمااَ ,, مَضى قد مضىَ و اَاِنقضَى ♡♡♡ صباحكم خير
Sat Sep 14 07:50:32 PDT 2013 --  السعادھٓہ هي ان تستغفر ربگگ بالدنيا ليرحمگ بالأخرھٓہ ..'̣ أستغفرالله العظيم وأتوب إليه"
Sat Sep 07 20:35:14 PDT 2013 --  سعادة الانسآن في ثلاث الشّكر عَلى العَطيّه وٱلصَبر عَلى البليّه والاستغفار عند الخَطيّـئه أسأل الله أن يُسعـدْ قَلبِي وقلوبكم°صباااح الخير°
Sat Sep 07 15:52:20 PDT 2013 --  ○ دَع إبتسَامتكَ أولْ مَلامحكَ : فَھي لكَ صِحَة ، وَفِي ﺎلدِينْ صَدقة ، وَفِي ﺎلقَلبْ بَھاء '
Fri Sep 06 14:55:27 PDT 2013 --  - يَ الله كُن لقلوبنا الضّعيفة إذا اشتكت إذا بكت ، إذا أخذتها الدّنيا ولهت '( !
Wed Sep 04 22:19:43 PDT 2013 --  “ سُبْح ـٱنَ آلّڵـہْ وَ بِحَمْدِھ ♡ عَـدَدَ خَلْقِـہ ♡ وَ رِضَـٱ نَفْسہ ♡ وَ زِنَۃ عَرْشِـہِ ♡ وَ مِدٱدَ كَلِمٱتِه
Sun Sep 01 20:28:54 PDT 2013 --  ♡ صبأحكم راحَهہ تُخفي لكُمْ كُل حزن ۈ تبعد عنكم كل ألمْ
Tue Aug 27 18:41:22 PDT 2013 --  لاا ااِحب ان ازعج اِاحَد . . من ارااِدني ، سيجُدني *
Tue Aug 27 18:03:19 PDT 2013 --  يا رب مع أصوات دعاتك و إقبال نهارك وإدبار ليلك يارب بشرنا بهلاك بشار وجنده وحزبه اللهم اضرب الظالمين بالظالمين واخرج عبادك سالمين #سوريا
Sat Aug 24 19:01:03 PDT 2013 --  رغم اننا نؤمن أن اختيار العقل أكْثَر صواباَغالبا,,الا أنه يَصعب التخلي عن أشياء إختارتها قلوبَنا "
Fri Aug 23 05:47:41 PDT 2013 --  انا من النوع اللي يطالع المنيو 5 دقايق وآخرتها اطلب الطلب اللي من 6 سنين ماغيرته هههههههههههههههههههههههههههههههههه
Thu Aug 22 20:24:52 PDT 2013 --  أول خطوة لرقي أخلاقك أن تتعلم كيفية غض بصرك عن عيوُب الآخرين ، متذكراً أن الكمال لله وحده ..
Wed Aug 21 19:33:44 PDT 2013 --  ​استغفروا في هذا الوقت كثيرآ حتى ولو كنتم على اجهزتكم فلعلكم تدخلون تحت قوله تعالى : وَ بآلآسحآر هم يستغفرون ♡♡♡.
Wed Aug 21 19:24:01 PDT 2013 --  أنا أتحاديه آعيش بوسط متابعين اتحادين نفتخر بتشجيعنا للأتحاد نعشقه بفوزه وخسآرته الأتحاد آدمآن عشق اشتياق نبض حب انتماء وطن #الاتحاد
Wed Aug 21 18:54:24 PDT 2013 --  - ارفعو كفيكم إلى السماء وقولوا.. ياحي ياقيوم أرنا في بشار ومن عاونه عجائب قدرتك عاجلاً غير أجلاً.. #اللهم امين
Wed Aug 21 16:47:29 PDT 2013 --  *' حُزن الشّام مُبكِي ربي خذ ألم كل السوريين و بثہ في جسد بشار، شلّہ ،مزقہ ،دمره، إحرقہ ولا تبق فيه نفساً يآرببَ ..
Wed Aug 21 16:47:00 PDT 2013 --  يارب ان بشار طغى واستكبر وقتل الأبرياء من غير وجه حق ولا رحمة فأنزل عليه هلاكك بعدد مادعا الداعون انك علــىَ كل شيء قدير··
Tue Aug 20 06:55:08 PDT 2013 --  يُربكني قول : اقل سُكان الجنه نساء ! اللهم اني اعوذ بك من ذنب لا يَجعل لِي في الجنہ مكان ~
Mon Aug 19 14:07:20 PDT 2013 --  جمَيل هوْ حديثُ الأمَل يُعيِد إليْنا الحَياھ ✶̫
Mon Aug 19 14:05:02 PDT 2013 --  ٱثِق بـِ حَديثِي ، ولا ٱثِق بـِ عقُولهِم
Mon Aug 19 13:57:37 PDT 2013 --  فقط البسطاء من هم من يشعروا بالسعاده الحقيقيه
Mon Aug 19 13:57:15 PDT 2013 --  يُجْهِدون عقولَهم الفارغة للفهم ، وكلّ ما كانوا يحْتاجونه : نيّةٌ صافية !
Mon Aug 19 13:56:46 PDT 2013 --  الصداقه ليست اسم بل فعل يجهلہُ الكثير خاليہ من الأقنعہ المُزيفہ والنفاق
Sat Aug 17 20:05:32 PDT 2013 --  : عِندَمَا أتحدث عَن #أُمي ; فَ أنَا أتحدث عَن عَالم ؛ عَن دُنيَا ؛ عَن جَنةّ ؛ عَن وَطنْ كَبير ؛ وَ عَن حُب لآ يَمُوتُ أبَداً ”"
Sat Aug 17 16:43:38 PDT 2013 --  pic.twitter.com/w4IJtOCz1R
Sat Aug 17 13:53:36 PDT 2013 --  إيه على المرهه قبل الحلوهه معاك ي الاتحاد إيوهه معاك معاك ي جعلني فداا ♡
Sat Aug 17 07:22:05 PDT 2013 --  السوبر من نصيب نمور آسيا ان شاء الله
Sat Aug 17 12:27:13 PDT 2013 --  يارب فرحنا بهدف للعميد
Fri Aug 16 20:23:23 PDT 2013 --  الضيقه هي اصوات خانقه تقول لك لقد امتلأت بالذنوب ، فَ استغفر ربكَ !* استغفر الله الذي لا إله إلا هو الحي القيوم وأتوب إليه.
Thu Aug 15 10:35:40 PDT 2013 --  الفرق بين المتعه والجلطه المتعه: انك ترسل برودكاست ) نغزه ( والكـل يشك بنفسه ! الجلطه: ان المقصود يرد عليك : أنا اشهد
Mon Aug 05 19:39:14 PDT 2013 --  الشيخ / ناصر القطامي يدعو على بشار الأسد دعاء تقشعر له الآبدان !!http://cutt.us/SdVsE 
Sun Aug 04 11:31:41 PDT 2013 --  مسآء ' توديع ' االاسبوع االاخير $ ! من محطہ ةّ' _ / االخير ') "ربيّ ااعتق رقابنا وقناا عذاب ، االنار "
Fri Aug 02 23:09:46 PDT 2013 --  @sooma_aaa بعض الأصدقاء معدِناً لا يتغير .. حتىَ عندما تسوء الأجواء ؛ يزدادُ بريقاً !
Wed Jul 31 18:47:08 PDT 2013 --  وقَبوراً وُضعتَ بهاَ أحبتنآ أنِرها بَرحمتكَ يا اللہَ واجعلهَا أجملَ مَسكنّ رأتهُ أعينهَم يآربّ العالمينَ..
Tue Jul 30 11:00:27 PDT 2013 --  لا شيء : أجمل من أن يُخبرك أحدهم بأنك من غيرت حياتہ للأجمل ،!"
Tue Jul 30 09:20:33 PDT 2013 --  : كلنا نريد بلوغ ليلة القدر والعتق من النيران، لكن ربما الذنوب رانت على قلوبنا :" فلنقضي الوقت بالاستغفار لعل الله يبلغنا ما بلغ الصالحين ♡
Sat Jul 27 15:57:23 PDT 2013 --  العيب عندنا أشد من الحرام لأننا نهتم للخلق أكثر من الخالق
Sat Jul 27 15:49:34 PDT 2013 --  يعيبون الرجُل حين يعشق أنثاهُ ويُدللها وينسون أنّ الرفق بهنّ أعظمُ رجولة
Sat Jul 27 15:49:11 PDT 2013 --  و اان زعلوُ علي خير يَ طير : لاا فاقدهَ جنہ ولاا داخلہ ناار..♪' (=|
Sat Jul 27 07:30:01 PDT 2013 --  ​♡̷̷̷̷̷̷̷ لنّ اُعَآتِب آحَداً بعّد آليوّم وَ اقُولهآ بِ صِدقّ كُونُوآ كمآ تُريدُون ،،!
Sat Jul 27 07:28:16 PDT 2013 --  ذلك الجَميل الذي يهدينِي السَعادهَ ، عِند حَديثِي معّه اُريدّ اںّ اخبِرهَ انِي احببہٌ جِدًا .
Sat Jul 27 07:27:39 PDT 2013 --  أعظـم نعمة بعد الدين .. أن تنظر في وجه أمك وأبيك وهم بصحة وعافية
Sat Jul 27 01:02:26 PDT 2013 --  اي اتحادي/ة صميم رتويت*!
Wed Jul 24 10:16:26 PDT 2013 --  ♡ علىّ سِبيل القهَر سِوريا تجاوزتّ المليونْ : شهَيـد
Mon Apr 01 03:11:02 PDT 2013 --  الاتحاد الاسيوي يصدر جدول لأفضل عشرة فرق ع مستوى القاره خلال العشر سنوات الماضيه وجاء ترتيب الفرق على النحو التالي pic.twitter.com/uRzfjzm87k
Sat Jul 20 10:49:37 PDT 2013 --  صلاةُ التراَويح ،نكهةُ رمضاَن أدوُها ليكتمِل يومكم ..
Fri Jul 19 20:12:34 PDT 2013 --  صباح الااحتيااج ل جنھٓہ . . تجريَ من تحتهاا الاانهار . . لاا ۈدااع فيهاا (= ` لاا حزن لاا هم ولاا حتىّ الم !!
Fri Jul 19 17:31:39 PDT 2013 --  No0oNaSuJu اعملو سبام لهالحساب لان صاحبة الحساب توفت الله يرحمها ويعفو عنهاوفيه اغاني نبي يتوقف حسابها
Thu Jul 18 19:17:45 PDT 2013 --  ربي مع رفع أذآن فجر العاشر من رمضآن.. فجر ثاني جمعة بشهر الخير.. اسألك.. أن تحقق مافي خاطر كل صائم.. ^ #آمين ..
Thu Jul 18 19:16:52 PDT 2013 --  ذهبوا لرححلہّ طوييلہّ ،ولن نراهم ! الا باحلاامنا ولن يسمعونا الا بدعاائنا اللھم اجعل لھمّ نعيما في جنتک ♡"
Wed Jul 17 07:11:55 PDT 2013 --  تااج رااِسي جعل تااِجي مَ يميل ! نور عيني .. جعل عيني بس ٺرااِها ﺎدععي ﺎلمعبود ۈﺎلمولى ﺎلجليل .. كل مَ صليت يحفظ لي خطااِها ^ ﺎميَ  #
Wed Jul 17 07:10:28 PDT 2013 --  يارب لي شخص لآ يعلم ﺎني قصدتہ بـ دعوتگ، بعدد دقات قلبي احبه،، فلآ تحرمہ ﺎﻟراحہ ولا تحرمني منہ و اسعد قلبہ دوماً و آعطھِ ما يتمناهہ ♡♡
Wed Jul 17 06:51:57 PDT 2013 --  واققترب موعد لقانا وابتدى شوققي يزيد. #الاتحاد #n18 pic.twitter.com/LmwW3RORo7
Tue Jul 16 19:20:42 PDT 2013 --  #نوره_غازي الله يرحمها ويغفر لها ويدخلهاالفردوس الاعلى مع الابرار ويصبر اهلها وصديقاتها على فراقها
Mon Jul 15 20:56:29 PDT 2013 --  يقول أحد الحكماء : قد ينصحك شخص بأمر وهو ﻟﺂ يفعلہَ ، ليس لأنه متناقض ، بل ربّما تَمنّى لك الخير في أمر لم يستطيع فعلہَ
Mon Jul 15 16:41:02 PDT 2013 --  بشائر // ورد الآن: عشرات القتلى من الجيش الأسدي يتساقطون في حي القابون نتيجة تفجير هائل قرب محطة بنزين أدى إلى انفجارها بالكامل. #سوريا
Mon Jul 15 10:20:28 PDT 2013 --  الزوجة تسمي زوجها : أبونا ! والزوج يسمي زوجته : الأهل ! إذا مستحين من بعض ليش متزوجين !!"^-^ :D
Mon Jul 15 10:19:05 PDT 2013 --  ⁰ ​♡ كل الذين ماتوا - كانوُا يظنون انهم سيعيشون غدًا *♡̷̷̷̷̷̷̷​♡̷̷̷̷̷̷̷​'
Sun Jul 14 12:02:36 PDT 2013 --  کم هي جمیلة تلك التي تشجع #الاتحاد #
Sat Jul 13 19:38:55 PDT 2013 --  امسِكوا مَصاحِفَكُم وَ رتِلّوا جُزءً مِن آياته .. إنَ قُرآن الفجرِ كانَ مشهّودا ! ّ
Fri Jul 12 20:15:22 PDT 2013 --  *لاإله إلا الله عدد ماكان وعدد مايكون وعدد الحركات والسكون:-*
Fri Jul 12 20:14:37 PDT 2013 --  ˆ↓ ¸♡.َ . +̴ ربي ﺂحفظ ﻟي . . . ﻣن ​​ﯾريد .. ﻗرﺑي بصصدق وﺂبعد ﻋني ​ﻣن يبتسم ﺂمآﻣي ۊيطعنني ​ﻣن خلفي ♡
Fri Jul 12 20:14:18 PDT 2013 --  اللهم اكتُب لَنا مع أنفاس هذَا الصباح .. خَيراً نعمَلُه .. ورِزقاً نَكتَسِبه .. وعِلماً ننَتفعُ بِه .. صباح الخير
Fri Jul 12 12:01:20 PDT 2013 --  الدينُ صخراً لَا يهتزُ بهوَاءِ الريَاح ولا يثقبُ من سهم الرمَاح مادامَ للصخرِ ربٌ لانلتفتُ للنباح ! #سلطان_الكثيري
Fri Jul 12 11:40:54 PDT 2013 --  العريفي داعيه يسلم على يده ملايين ، والساقطين في واي فاي يقلدونه ، فرق بين الثراء والثرياء
Thu Jul 11 09:45:15 PDT 2013 --  خادمة إثيوبية تقتل طفلة طعناً بآلة حادة في شرق الرياض http://1q.cc/bnr 
Sun Jul 07 18:30:10 PDT 2013 --  على سبيل # الوفاء # محمد نور رغم كل شيء لا يزال عاشقاً للاتحاد '-
Tue Jul 09 09:18:30 PDT 2013 --  - غروب أنيقق خلفه ضيف عزيز طال إنتظآره أهلاً رمضآن*
Tue Jul 09 06:51:31 PDT 2013 --  وستبدأ أجمل ثلآثين يوم فِ السنہ مسآئكم انتظآر ترآويح الليلهہ
Mon Jul 08 16:42:39 PDT 2013 --  يَ عسانا مانفترق وَ نصوم كل عامً سوى ♡ ' H
Mon Jul 08 08:46:06 PDT 2013 --  رباه ؛ لقد إشتاقت سوريا لِـ يومٍ بدون نار يومٍ بدون حِصار يومٍ تعيشه بِأمن وأمان فلا تُبلغهم رمضان إلا وهُم أحرا""
Mon Jul 08 08:45:14 PDT 2013 --  " فِي الجَنةِ لا مَوتٌ ، لا حُزنٌ ، ولا عَذاب ، فِي الجَنةِ خُلودٌ وفَرحٌ لا يَفنَى ولا يَموت ، إلهِي ارزق مَوتانَا جَنتك مِن غَير حِساب ،!"
Mon Jul 08 08:44:51 PDT 2013 --  مساء يقترب من رائحة رمضان و تراويحه مسااااء يرافق أصوات أئمة الحرم المگي و المدني مساااء يخبرنا گم هو جميل أن ننتظر أجمل الشهور رمضان.
Mon Jul 08 08:44:04 PDT 2013 --  ..♡!* سعيده بكم جدآ فَ سيبدآ رمضآنيَ بوُجودكم معيَ ككل عـام وانتم بسـعادة ..♡
Mon Jul 08 08:40:03 PDT 2013 --  ​تواصل هطول الأمطار على جازان.. والدفاع المدني ينتشل جثة غريق http://1q.cc/bkH 
Sun Jul 07 19:11:41 PDT 2013 --  ' صصصديقـاآتيّ يَ عسانا مانفترق وَ نصوم كل عامً سوى ♡
Tue Jun 25 12:08:20 PDT 2013 --  لآ تهتم لگل شيء يوجعگ دع تلگك آلأَوجآع تموت ب قلة آهتمآمگ
Tue Jun 25 11:58:11 PDT 2013 --  ⁽ لَحظةُ جُنونْ ، عِنْدمآ يَكُونُ تنفّسي أنَفآسكِ ⁾
Sun Jun 23 10:57:57 PDT 2013 --  حساب يستحق الدعم و المتابعة شيعية سابقة هداها الله لدينه الحق @nwal0003
Sun Jun 23 05:49:01 PDT 2013 --  @fayez_malki الشاعر اللي يقول : يضيق صدري لا طروا ليلة السبت ،، ليت الليالي كلبوها ربوعي ودي أشوف شكله الحين هههههههه
Sat Jun 22 19:44:08 PDT 2013 --  ،' جزء من اَمنيتي : ان يكون‘ مٌن اَاحبهٌ دائماَا بخيرَ ”
Sat Jun 22 19:41:30 PDT 2013 --  ‏​‏​‏​‏​‏​‏​آللهہم صل وسلم على سيدنا محمد...
Wed Jun 19 15:26:55 PDT 2013 --  لاتحزن إن ضاقت بك الدنيا يوماً ما ،فربُما اشتاق الرحمن لسماع صوتك وانت تناجيه $ِ¸.
Mon Jun 17 11:55:01 PDT 2013 --  ‏​لا اريد حُب ، ولا اريد اشتياق⁰ اريد محفظةة ذَلك الرجل الذي يسسمى بالوليد بن طلال ‹!
Wed Jun 05 17:08:50 PDT 2013 --  لا أسعىَ لتحسيننّ ظنَ أحدًا بي . ♡
Wed Jun 05 17:08:24 PDT 2013 --  الأنقياء يبعثوُن بداخِلنا الراحّہ من أول لِقاء ♡
Wed Jun 05 17:08:06 PDT 2013 --  تظآهر ب آنگ بخير دآئما مهمآ عصفَت بگ آلحيآة فَ آلكتمآن آجمل ب گثير من شفقة الآخرين عليگ ..
Tue Jun 04 20:12:47 PDT 2013 --  #اغتصاب_أخت_شامية_مئة_مرة حسبي ​​​​​​آللهہ ونعم الوكيل في بشار وكل من سانده يارب عجل بنصر اخواننا السوريين
Tue Jun 04 17:06:42 PDT 2013 --  لا بأس أن نترگ إشياء جميله لأجل الجنه ⸒
Tue Jun 04 17:05:51 PDT 2013 --  الأبتعاد عن الناس فتره يكشف أشخاص رائعين و يكشف أشخاصاً خابت الآمال بهـم !
Tue Jun 04 17:04:14 PDT 2013 --  إبّتسِم بِرفّقٍ لِأجلّي فَ ابتسَامتُك تُجذِبُني إنغَماراً بِك وسّلباً إلِيك
Tue Jun 04 17:03:38 PDT 2013 --  إن كنتَ تشعر بأنكَ وحيد ف اذكر الله فأنه معك
Fri May 31 05:23:32 PDT 2013 --  حاسِبوني عنَدما أخطئ لا تذهبوا لغيريّ فَ تشَكوه منَي لِ نكنّ أكثر وضُوحاً وأقل غِيبہ
Tue May 28 15:47:54 PDT 2013 --  ‏إن فاز الاتحاد غداً سيفرح نصف سكان المملكة وإن خسر لا سمح الله سيفرح النصف الباقي ، وبكل حالاتك كبير يا عميد ! #الاتحاد
Tue May 28 14:38:57 PDT 2013 --  ٭        كون كماا تحب ♡ ف اانت آلذي ستضحك و اانت آلذي ستبكي و اانت آلذي ستتألم .. فدع كلآم النااس ! و اانظر إلى مَ تريده اانت ؛*
Tue May 28 09:39:01 PDT 2013 --  لا حول ولا قوة الابالله ،، قررت اللجنة رفض طلب الافراج وننتظر ما اذا كان باستطاعتنا التقديم مرة اخرى
Mon May 27 18:11:12 PDT 2013 --  اللهم صل وسلم على نبينا محمد
Sat May 25 15:31:37 PDT 2013 --  ٱعِيش ب مِزآجي وِ آتغافل عَن كلّ م لا آريد فَهيّ دنيآ فَانيہ ولآ شيء يستحق ৣৣ
Fri May 24 08:04:20 PDT 2013 --  اللهم صل وسلم وبارك على نبينا محمد وعلى آله وصحبه وسلم
Wed May 22 10:38:27 PDT 2013 --  ‏‏الهلال بعد هزيمة الاتحاد لم يذق طعم الفوز ويخسر بطولتين في اسبوعين ، إذا العابد أعطى لعيبة الاتحاد إجازة ، الاتحاد نساكم معنى الفوز !
Sun May 19 14:40:04 PDT 2013 --  جنكى مو
Thu May 16 06:55:22 PDT 2013 --  قلوبنا مشتاقه لصلوات التراويح ، يآرب بلغنا رمضان وأنت راض عنا .. !
Thu May 09 04:29:44 PDT 2013 --  صديقآآتـي~ ‏​‏​سَ آحبكم الى اليوم اَلذي تبكو فيهہ و تقبلوني اَخر قبلهہ ثم تغطَوني ..♡
Tue Apr 23 09:14:33 PDT 2013 --  - لايوجد من يستحق لهُ البكاءَ بالسر ؛إلا الذَي وعَدنا ان لاتمُس أعيُننا النَار إذا بكَينا من خشَيتہَ
Sat Apr 20 17:30:48 PDT 2013 --  لآ تكذب لآجل شخص .. تريده آن يعجب فيک.. ! كن على طبيعتك وستأخذ #الأفضل .. ♡ ❥❥••
Sat Apr 20 17:30:34 PDT 2013 --  بِ كُل أسفِ و نّدم ،ليتَني لمَ أعّرِف البعَض
Sat Apr 20 17:30:18 PDT 2013 --  من توهم آنني اخطأت بحقہ فَليتوهم آنني اعتذرت لہ .. ❊
Fri Apr 19 08:39:57 PDT 2013 --  اللھم اسق كل ميت تحت التراب غيثا يرتوي منہ ترابهم وتُغسل معھہ ذنوبھم اللھم إني ذگرتھم فارزقني بمن يذگرني حين تنقطع بي الاسبااب ♡♡
Fri Apr 19 08:48:51 PDT 2013 --  ~ . . ﻛُﻞ ﺷَﻲْ ﺃُﺟﻴّﺪ ﺍﻹ‌ﻛَﺘﻔَﺂﺀ ﻣِﻨﻪُ . . ﺳِﻮﻯ ﺗَﺄﻣُﻠﻲْ ﺑِﻚ.
Fri Apr 19 08:47:06 PDT 2013 --  يَ إلہّي إغمَرها برَاحة تسستوطن أععماق قلبھا#أمي ♡"
Thu Apr 18 03:10:00 PDT 2013 --  كُن آعمى لكل شيء ﻻيعجبك ، وكُن آصم لكل شيء يجرحك ، وكُن متبلد لكل شيء يؤلمك .. ♡
Tue Mar 19 04:18:24 PDT 2013 --  هنا الخبر الأكيد من الجامعه عن #وفاة_طالب_جامعة_الملك_خالد وليس كما ذكرت سبق #انتحار_طالب_في_جامعة_الملك_خالد pic.twitter.com/30iFM7Lsk1
Sun Feb 17 02:59:18 PST 2013 --  @rr204 @alsalem_sabqاللهم لاتمته الا وقد اذقته مانال رهام اضعاف مضاعفه ياحي ياقيوم اللهم انها مظلومه فانتصر لها واحفظها لحفظها كتابك
Wed Feb 13 03:42:23 PST 2013 --  #مستشفى_جازان_العام_ينقل_دم_مصاب_بالإيدز حسبي ​​​​​​آللهہ فيهم ​​​​​​آللهہ لا يسامحهم ولا يوفقهم ايش بيفيد استنفارهم الحين بيسحبو دمهامثلا
Fri Feb 08 19:46:17 PST 2013 --  • تأكَد بأن لاَ شَئ يَبقى معكْ سِوى الإحتِرام لِـ غيرَك... و لِـ ذاتكْ فگن دٱېمٱ رٱقېٱ بأخلٱقگ ..
Wed Feb 06 15:03:26 PST 2013 --  اللهُمَ إكتب لي الخير في كل خطوة و وفقني لما تحب و ترضا . . ♡
Wed Feb 06 15:29:43 PST 2013 --  في آلليل ، ينآم آلطّير وَ آلبشر وَ يبقىّ رب يٌرَاقب ، فهنيئاً لمن صلىّ وَأستغفر # صلاة_الوتر ♡
Sat Feb 02 23:47:06 PST 2013 --  عندي ملابس مدري وين عقلي يوم شريتهم !”
Mon Jan 14 12:53:51 PST 2013 --  غلطتي فـي فراقك غلطة / حكيم ، وانتظاري فـي رجوعك ! حكمه / غبي"
Mon Jan 07 17:20:45 PST 2013 --  استغفر ​​​​​​آللهہ العظيم رب العرش الكريم.،
Thu Jan 03 10:09:25 PST 2013 --  [ قلوب تريد و رب يشاء ] . . ف يا رب حقق لقلوبنا ما تريد بمشيئتك
Tue Jan 01 18:55:08 PST 2013 --  قمة العصبيه : لما تنطر احد يطلع من الحمام وفجأه يجيك برودكاست منّه!! الحبيب يتواصل من خلف الكواليس ! :)
