Sat Aug 29 09:25:52 PDT 2015 --  When the NBA starts >>> https://twitter.com/flyer_thanu2/status/637662201160069120 …
Tue Aug 25 12:33:30 PDT 2015 --  I got the job and didn't even fill out an application. Allahu Akbar
Tue Aug 25 12:32:33 PDT 2015 --  You gotta watch her take bc for 2 weeks before you do it https://twitter.com/xChryst1an/status/636257063211929600 …
Tue Aug 25 12:23:17 PDT 2015 --  i only done it once.. i be too paranoid still https://twitter.com/xChryst1an/status/636257063211929600 …
Tue Aug 25 12:31:51 PDT 2015 --  You childish for that 2nd part. RT @xChryst1an: She didn't pass the finger sniff test & labia way too long https://twitter.com/p0pson/status/636257160146497536 …
Tue Aug 25 12:22:57 PDT 2015 --  Smh. How am I a KD fan, but scared of thunder? https://twitter.com/presidentryan/status/636257301498720256 …
Tue Aug 25 12:24:42 PDT 2015 --  Cause I'm fat Melissa. Lmao RT @MelySaidWhat: @__OutKast__ lol why you eat
Tue Aug 25 12:20:23 PDT 2015 --  How you a steelers fan, but you bruise easily? FOH https://twitter.com/megantoonice/status/636251491007725569 …
Tue Aug 25 11:59:38 PDT 2015 --  Cowboy fans claim they are loyal but never even been to a damn rodeo... Smh.
Tue Aug 25 12:18:28 PDT 2015 --  Nah RT @RealityyBites: This why u gotta lie to bitches RT @WavyJay_: We're adults, I don't have time for the games. http://twitter.com/WavyJay_/status/636204104549724160/photo/1pic.twitter.com/QbbN5Q1Etw 
Tue Aug 25 12:11:14 PDT 2015 --  You gotta control the pussy. Don't let it control you. RT @StayW_Stacks: Ran across some good pussy it fucked me up
Tue Aug 25 12:10:12 PDT 2015 --  Better fix your own. Tf? RT @ThadIsReal: Foh RT @belindafcg: Ps. If I fix you a plate, that's OUR plate boo.
Tue Aug 25 12:09:05 PDT 2015 --  I mean shit. I can hold my own. I'm still gon drown though. RT @megantoonice: How're you a dolphins fan, but can't swim? Smh....
Tue Aug 25 11:52:07 PDT 2015 --  If you single and you wear a dress with no underwear, you a hoe. Who you giving easy access to? Everybody bih
Tue Aug 25 10:23:13 PDT 2015 --  the lord kept my baby boy safe, idek how many times I can pray thank you to him for that blessing.
Tue Aug 25 11:00:48 PDT 2015 --  Those not the lips we wanna see RT @SoftAsss: Lips http://twitter.com/SoftAsss/status/636226156140720128/photo/1pic.twitter.com/Y4RAfNSm7R 
Tue Aug 25 11:00:20 PDT 2015 --  Only short girls can pull this off. Tall women look like giant Elves https://twitter.com/BWyche11/status/636217012642009088 …
Tue Aug 25 10:58:16 PDT 2015 --  Allah has blessed me in ways unimaginable.
Tue Aug 25 10:45:08 PDT 2015 --  Nas - Halftime >>>>>>> RT @YngpBell_106: Young thug- Halftime >>>>>>>>>>
Tue Aug 25 10:44:31 PDT 2015 --  Thought you said porno. I'm not interested anymore. RT @WorldWideKilah: Fav if you're looking for a promo team, and you have 1k
Sun Aug 23 22:34:16 PDT 2015 --  When she says "It's complicated" just know she likes you but her X still blowing her back out at least once a week
Tue Aug 25 10:43:13 PDT 2015 --  Waaaay to early to be drunk RT @iDntWearCondoms: Ladies would Yall let a guy spit grape pop in Yall asshole for $40?
Tue Aug 25 10:41:49 PDT 2015 --  Good luck Lissie poo RT @MelySaidWhat: Got an interview next Thursday.
Tue Aug 25 10:41:03 PDT 2015 --  Honestly. I just fucking peed and I my bladder bout to burst. RT @lovexway: BUT REALLY https://twitter.com/ogemom/status/635985793841020928 …
Tue Aug 25 10:39:59 PDT 2015 --  ALLAHU AKBAR
Tue Aug 25 10:13:56 PDT 2015 --  that’s why you gotta drop your meat in her iMessage the first texts so there’s no confusion
Tue Aug 25 10:32:58 PDT 2015 --  Women: "Rape is never ok. . . Unless it's deciding between a rapist and an animal abuser."
Tue Aug 25 10:04:05 PDT 2015 --  Nigga....Ben raped a chick pic.twitter.com/CRE5lPVAVE
Tue Aug 25 10:30:55 PDT 2015 --  Meghan always get into arguments with stupid people. Never fails.
Tue Aug 25 10:13:28 PDT 2015 --  LMFAO. Like I just did, you don't even know the meaning of the word you're using. https://twitter.com/klntsugi/status/636224783420526593 …
Tue Aug 25 10:29:55 PDT 2015 --  You really think she's capable of that? Even if she was serious, how is that possible? Use ya damn brain. https://twitter.com/FauxGudas/status/636224423427747840 …
Tue Aug 25 10:12:00 PDT 2015 --  WRONG. A cause that has suddenly become fashionable or popular, and somebody claiming it, is. https://twitter.com/klntsugi/status/636224228908363776 …
Mon Dec 01 15:28:45 PST 2014 --  Any guy who likes a girl but changes his mind cuz his "boys" didn't think she was cute enough is a lame. Its what YOU think, not yo boys.
Tue Aug 25 10:11:04 PDT 2015 --  I was making a joke about cities, y'all are talking about looks. That has nothing to do with anything.. https://twitter.com/fauxgudas/status/636224175519178752 …
Tue Aug 25 10:10:10 PDT 2015 --  So you like looking like shit? *waka flocka voice* "Huh, ok" https://twitter.com/megantoonice/status/635913550150549504 …
Tue Aug 25 10:27:10 PDT 2015 --  Most Pats/Steelers fans not even from that state RT @megantoonice: You can't like a sports team that isn't in your state? Lol. Okay.
Tue Aug 25 10:09:39 PDT 2015 --  EVERYONE KNOWS THAT IF U SEND THE LAST TEXT AT NIGHT, THE OTHER PERSON IS SUPPOSE TO START THE CONVO THE NEXT DAY. THATS HOW IT WORKS. DAMN.
Tue Aug 25 10:08:13 PDT 2015 --  Because you can't live in different states and actually rep a team? Head back to the kitchen https://twitter.com/klntsugi/status/636223350960885760 …
Tue Aug 25 10:25:16 PDT 2015 --  Cowboys fans do the same though. Js RT @megantoonice: You see how upset Eagle fans are? They call names and bring up looks.
Tue Aug 25 10:24:52 PDT 2015 --  Egg whites and sugar. And unicorn cum RT @ThadIsReal: Mhmm I wonder also RT @ShortyLYTE: What are marshmallows even made from like..
Tue Aug 25 10:23:46 PDT 2015 --  Lmfao. Aww RT @MelySaidWhat: I told my aunt to bring me food and talking about I'll bring you mcdonalds. I hate mcdonalds so much.
Tue Aug 25 10:22:46 PDT 2015 --  All the black emojis cause somehow people made emojis a race issue RT @yagurlbubblez87: What emoji do you hate?
Tue Aug 25 10:21:51 PDT 2015 --  I apologize. I'm really sorry about that. RT @Nwanu: @__OutKast__ you clearly missed what I was mocking. https://twitter.com/WilhSlater/status/635949831131930624 …
Tue Aug 25 10:17:56 PDT 2015 --  You will for a long time too. RT @powerpuffgrl: netflix n chilling w myself
Tue Aug 25 10:15:19 PDT 2015 --  Doesn't matter now. You gotta move forward and deal with the consequences as they come. https://twitter.com/Pineapplediettm/status/636219714662887424 …
Tue Aug 25 10:14:05 PDT 2015 --  White people dont play about animals. They wanted that man to die for that. https://twitter.com/TrapGawdd/status/636216943318540288 …
Tue Aug 25 10:09:10 PDT 2015 --  That "My leg!" Guy RT @Vonchalant: What sponge bob character is this ? pic.twitter.com/iJTT7wFHUX
Tue Aug 25 10:08:03 PDT 2015 --  Hope you a video game was worth losing your life over. https://twitter.com/CMBogan/status/636216338625662976 …
Tue Aug 25 09:47:10 PDT 2015 --  Why not be an adult and just leave? https://twitter.com/cmbogan/status/636216338625662976 …
Tue Aug 25 09:42:44 PDT 2015 --  fat bitches always gettin diet coke like it matter
Tue Aug 25 10:04:18 PDT 2015 --  What do you wear if not jeans? RT @BWyche11: i like to rip my own jeans my way.
Tue Aug 25 10:00:03 PDT 2015 --  Shut the fuck up. https://twitter.com/Nwanu/status/636211992404062209 …
Tue Aug 25 09:56:30 PDT 2015 --  Seen too many videos of women talking to their man on the phone while cheating. Men don't answer their phone and lie https://twitter.com/RyanSHUTup/status/636212635524927488 …
Tue Aug 25 09:24:47 PDT 2015 --  I hate to say it but women are so much worse these days than men. Sad world we live in
Tue Aug 25 09:54:49 PDT 2015 --  She invented him? C'mon on now use your brain. RT @powerpuffgrl: you?????? unfortunately https://twitter.com/anti_poon/status/609623257545728001 …
Tue Aug 25 09:54:08 PDT 2015 --  Dish washer. Hot comb. Kitchen. RT @Anti_poon: Without looking it up on google... Tell me one thing that a woman invented.
Sat Aug 22 22:42:50 PDT 2015 --  it's so funny that you talk shit about everyone yet go and hangout with them like their your best friends lmao fake asf
Tue Aug 25 09:52:32 PDT 2015 --  Tru RT @KhamaelTheFirst: Skinny niggas might have more endurance during sex but they also gone use all that energy to go cheat on you ladies
Tue Aug 25 09:49:55 PDT 2015 --  Looks amazing. RT @megantoonice: What is this https://twitter.com/nwanu/status/635933076405813248 …
Tue Aug 25 09:48:33 PDT 2015 --  If you put crabs in a barrel to ensure your survival, you gon end up pulling down niggas that look just like you.
Tue Aug 25 09:47:31 PDT 2015 --  And they said by 21 I'm supposed to die, so I'm out here celebrating my post demise.
Tue Aug 25 09:47:03 PDT 2015 --  I arrived on the day Fred Hampton died. Real niggas just multiply.
Tue Aug 25 09:46:15 PDT 2015 --  "Love of money is the root of all evil" RT @FEMALEVlBES: Fav this if you love money http://Vistaleon.com  http://twitter.com/FEMALEVlBES/status/635939765364346880/photo/1pic.twitter.com/FxCW50cETu 
Tue Aug 25 09:31:28 PDT 2015 --  Right....because The Steelers quarterback who rapes women has "made up" for his wrong doings https://twitter.com/pensandstillers/status/636204752611733504 …
Tue Aug 25 09:33:19 PDT 2015 --  swing for her jaw with a swiftness https://twitter.com/meloyf93/status/636213746290003968 …
Tue Aug 25 09:30:40 PDT 2015 --  A penis avi with "we bang bottoms" in their bio just followed me ... time to use this new block button I had installed.
Tue Aug 25 09:40:51 PDT 2015 --  Spam https://twitter.com/the4orth_/status/636215209334571008 …
Tue Aug 25 09:36:15 PDT 2015 --  Dirty macking is worse than being with Team Rocket . Cuz they go above beyond than just taking yo r Pokemon . They damage the trainers rep
Tue Aug 25 09:39:05 PDT 2015 --  What's the problem? RT @OgHypeGod: ALL BLACK PEOPLE DO IS FIGHT RACISM WITH RACISM
Tue Aug 25 09:04:15 PDT 2015 --  The steroid era saved baseball at the time if we're being real
Tue Aug 25 09:06:10 PDT 2015 --  More recently I'm pretty sure the ratings on baseball go down every season. Even the World Series included
Tue Aug 25 09:16:42 PDT 2015 --  Stop messin with them lames bihh https://twitter.com/SkiMaskShawty_/status/635995479730290691 …
Tue Aug 25 09:06:20 PDT 2015 --  @aMansFaith the truest thing. Women want to be independent but forget the beauty of a family and view it as something that holds them back.
Tue Aug 25 08:29:38 PDT 2015 --  We all have different jobs to do... Just because Noah had to build a ship don't mean it's your job.. Your job might just be being a good mom
Tue Aug 25 08:09:09 PDT 2015 --  Tbh I've seen too many videos of people being extra w police, & it undermines the real injustice going on. It's sad. https://twitter.com/cheefpolo/status/636148817289609216 …
Tue Aug 25 09:13:17 PDT 2015 --  Yooooo. My ex got military benefits too. Shit gonna be clutch. https://twitter.com/ThadIsReal/status/636204957792903168 …
Tue Aug 25 08:54:16 PDT 2015 --  I legit wanna raise a son . Finna go get my ex pregnant then take him from her . She won't want to raise a kid she got from me anyway
Tue Aug 25 09:11:29 PDT 2015 --  Ion know why females wear Jordan's. They think niggas attracted to basketball shoes? Cause that's sus
Tue Aug 25 08:16:57 PDT 2015 --  Your firm resolve to follow your current agenda is your sweet ... More for Capricorn http://bit.ly/A5KmeJ 
Tue Aug 25 07:18:35 PDT 2015 --  why are y'all tryna have real drug dealer and junkie friends ? y'all really like mess and violence huh ? Jesus
Tue Aug 25 07:40:56 PDT 2015 --  Unless you both are sexually active. RT @_Ricky4Hunnid: Sex isn't necessary in a relationship
Tue Aug 25 07:15:34 PDT 2015 --  I'm not sure what's happening, but something is happening. http://www.eventbrite.com/e/joe-buddens-mid-life-crisis-tickets-18249461631 … pic.twitter.com/79oIu3FyYb
Wed Jul 29 18:10:05 PDT 2015 --  Why girls always want you to wipe the nut off them? That's not my nut anymore
