Sun Nov 16 13:30:55 PST 2014 --  A virtuous, ordinary life, striving for wisdom but never far from folly, is achievement enough.
Fri Aug 14 15:18:29 PDT 2015 --  the basilisk in the chamber of secrets was fucking worthless. zero kills. how you gonna get ZERO kills in a YEAR of terrorizing hogwarts
Thu Aug 13 15:25:20 PDT 2015 --  *middle school* person: are you gay me: pic.twitter.com/aH8TWvOmc5
Fri Aug 14 08:22:14 PDT 2015 --  #FlexinMyComplexion loving what Ghana heat is doing to my skin though pic.twitter.com/4Tl9nht5o1
Fri Aug 14 09:41:49 PDT 2015 --  #FlexinMyComplexion old selfies but good selfies pic.twitter.com/2rLNGyDoHQ
Fri Aug 14 10:27:16 PDT 2015 --  #FlexinMyComplexion just because pic.twitter.com/56R7jC5A5v
Fri Aug 14 11:19:49 PDT 2015 --  #FlexinMyComplexion pic.twitter.com/wZEQnFX9u4
Fri Aug 14 06:39:43 PDT 2015 --  A stressful relationship issue might require your immediate at... More for Capricorn http://bit.ly/A5KmeJ 
Fri Aug 14 00:05:24 PDT 2015 --  That was basically me tonight. No shame though. They all A1.
Fri Aug 14 00:03:34 PDT 2015 --  You know when you just really feeling yourself and it goes from taking cute random pics to taking full on nudes...
Mon Aug 10 08:37:45 PDT 2015 --  @SayItAintDash so you found fake ugly in her? My God HOW can you complain about misunderstanding opinions when you did the SAME THING
Thu Aug 13 19:54:45 PDT 2015 --  "What do you does" https://twitter.com/DailySexSupply/status/623754857606959104 …
Thu Aug 13 03:23:17 PDT 2015 --  Caught Masturbating pic.twitter.com/Dnu7PD3Eeg
Thu Aug 13 07:57:57 PDT 2015 --  stop trying to hijack serena's image to perpetuate your transmisogynist agenda. "how is caitlyn beautiful but serena isn't?" no correlation.
Thu Aug 13 18:07:53 PDT 2015 --  +🏽=?? “ @GuruJeremy: Darkskin women always talking about their melonmen smh stfu hoes”
Thu Aug 13 18:42:02 PDT 2015 --  I have no idea why #CancelWendyWilliamsShow is trending but oh dear lord please yes
Thu Aug 13 18:15:05 PDT 2015 --  “ @deray: AppleCare. http://vine.co/v/huHUPLnx1dg .” The extra hit does it for me every time
Thu Aug 13 06:39:56 PDT 2015 --  A cosmic wake-up call rings through on all your digital device... More for Capricorn http://bit.ly/A5KmeJ 
Wed Aug 12 23:56:21 PDT 2015 --  LMFAOOO THE TRUTH https://twitter.com/PatrickLamore/status/631719706542637056 …
Wed Aug 12 19:25:13 PDT 2015 --  First time trying Zzz Quil, let's see how it goes
Wed Aug 12 17:39:31 PDT 2015 --  LMFAOOO... I NEED AIR! pic.twitter.com/LauJVgX72P
Wed Aug 12 18:39:23 PDT 2015 --  Raven and Eddie look rough. Chelsea still cute. https://twitter.com/BigBootyCutiee_/status/631302041013391360 …
Tue Aug 11 22:30:15 PDT 2015 --  my whole life i've been the odd one out and nothing was more liberating than accepting it and not worrying what anyone else thinks
Wed Aug 12 08:49:22 PDT 2015 --  THE LAST COMMENT pic.twitter.com/J8qsCLW5w7
Wed Aug 12 17:09:33 PDT 2015 --  Sometimes I can't tell if American junk food is awesome or terrifying. pic.twitter.com/Fiay4WHdKO
Wed Aug 12 15:52:24 PDT 2015 --  @imarleneking I think you should just admit you messed up big time......
Wed Aug 12 06:39:43 PDT 2015 --  It's disconcerting if you can't complete all your work on sche... More for Capricorn http://bit.ly/A5KmeJ 
Tue Aug 11 23:34:47 PDT 2015 --  Can everyone help me spread this around until @imarleneking sees it? We deserve our answers!! #pll #FAceToFace pic.twitter.com/hraCPOodQ6
Tue Aug 11 14:06:34 PDT 2015 --  We don’t have the billionaires on our side. Will you contribute $10 today to help support the political revolution? https://secure.actblue.com/contribute/page/lets-go-bernie?refcode=ads_twitter_150811 …
Tue Aug 11 21:18:55 PDT 2015 --  I feel personally victimized by the amount of money i've spent on Ben and Jerry's this summer
Tue Aug 11 19:24:39 PDT 2015 --  Explain THIS @imarleneking https://youtu.be/5Bwva6OJDU8 
Tue Aug 11 18:29:04 PDT 2015 --  You and the other writers had YEARS to come up with -A and it's story and that's the best you could do?! @imarleneking
Tue Aug 11 18:25:04 PDT 2015 --  Like literally that was terrible. I'm so disappointed.
Tue Aug 11 18:19:58 PDT 2015 --  Literally waited YEARS for that sucky PLL finale.
Tue Aug 11 16:20:01 PDT 2015 --  Houston weather is so crazy. It was just a thousand degrees outside and now it's storming lol
Tue Aug 11 15:04:57 PDT 2015 --  pic.twitter.com/4ZmQR1jQZd
Tue Aug 11 15:00:57 PDT 2015 --  2 hour warning, Liars. Are you ready? - #FAceToFace #PLLFinale pic.twitter.com/iRgF4vpuyR
Tue Aug 11 12:15:06 PDT 2015 --  AMAZING FREE FONT REIS BY: @freegoodies_fd - #freegoodiesfordesigners DOWNLOAD FREE: http://goo.gl/hLJItu  http://slfy.co/ikt5 
Tue Aug 11 09:48:14 PDT 2015 --  That's so crazy, you can really say it three times and BOOM divorced.
Tue Aug 11 09:45:48 PDT 2015 --  India's Muslim women fight to end triple talaq law that yields instant divorce | Amrit Dhillon http://gu.com/p/4bbaf/stw 
Tue Aug 11 09:35:52 PDT 2015 --  Why conservative billionaires have started talking like Bernie Sanders: “We are creating a caste system” http://www.salon.com/2015/08/11/why_conservatives_billionaires_have_started_talking_like_bernie_sanders_we_are_creating_a_caste_system_from_which_its_almost_impossible_to_escape/ … via @Salon
Tue Aug 11 06:39:38 PDT 2015 --  Your current desire to expand your world view makes this a fan... More for Capricorn http://bit.ly/A5KmeJ 
Mon Aug 10 20:43:51 PDT 2015 --  do not defend homophobia transphobia or racism by saying "everyone has their own views" because these are not opinions at stake. it's lives.
Mon Aug 10 20:42:15 PDT 2015 --  racism is also not an opinion. neither is homophobia. don't ask me to respect your beliefs that some people don't deserve basic rights.
Mon Aug 10 13:44:39 PDT 2015 --  Deray ( @deray ) on the significance of protests. pic.twitter.com/rKptFWGWpQ
Mon Aug 10 21:02:59 PDT 2015 --  I love my people! https://twitter.com/MascotMY_Tweets/status/592396218589782016 …
Mon Aug 10 20:58:19 PDT 2015 --  Like of all the things you pay for that should be something you would want to add to...
Mon Aug 10 20:56:04 PDT 2015 --  I always see "Taxpayers shouldn't have to pay..." When it comes to possibly of getting free community college
Mon Aug 10 20:44:07 PDT 2015 --  Y'all, watch whiteness work. https://twitter.com/houstonchron/status/630711661326786560 …
Mon Aug 10 20:38:19 PDT 2015 --  Screamingggg! https://twitter.com/Bl0CkB0yTimmy/status/628607938538655744 …
Mon Aug 10 20:22:29 PDT 2015 --  I feel this on a spiritual level pic.twitter.com/VrC1rBB09A
Mon Aug 10 16:02:16 PDT 2015 --  I will NEVER forgive Rihanna for not releasing 'skin' as a single OR making a video for it.
Mon Aug 10 20:15:39 PDT 2015 --  My first time actually hearing Hit the Quan in full and I really wished I hadn't. That's the type of music y'all like?
Mon Aug 10 06:39:39 PDT 2015 --  You feel a dramatic shift in your energy today as superficial ... More for Capricorn http://bit.ly/A5KmeJ 
Sun Aug 09 19:30:18 PDT 2015 --  I know Blac Chyna ain't gonna do shit to Kylie tomorrow when she turns 18 but I'm still sitting here like pic.twitter.com/eHYFayXNvf
Sun Aug 09 12:24:48 PDT 2015 --  Timbaland plans to debut some unreleased Aaliyah music soon http://goo.gl/W1TPGK  pic.twitter.com/1r7CgvyGwq
Sun Aug 09 06:39:27 PDT 2015 --  You may be feeling under a ton of pressure today as you approa... More for Capricorn http://bit.ly/A5KmeJ 
Sat Aug 08 23:20:04 PDT 2015 --  First ever show on a beach in the blazing sun thanks for having us @ALT987fm #SantaMonicaPier pic.twitter.com/aHjj4vgkBJ
Sat Aug 08 20:53:28 PDT 2015 --  WHAT THE FUCK https://twitter.com/iiBreakNecks/status/630135540491223040 …
Sat Aug 08 20:49:09 PDT 2015 --  Watching Britney do a dance break.. Just gotta focus on the dancers. Bc she's doing something completely different.
Thu Aug 06 21:10:58 PDT 2015 --  what if Donald Trump was secretly being an asshole to show everyone how ridiculous republicans are. like it's all an elaborate ruse.
Sat Aug 08 20:47:47 PDT 2015 --  Whoa https://twitter.com/Advil/status/630181304311525376 …
Sat Aug 08 18:28:54 PDT 2015 --  I have a theory that no matter how daunting your circumstances, the universe/God will never give you more than you can handle
Sat Aug 08 18:23:36 PDT 2015 --  RT @AuraOfPinkslam: Lmfaoo. pic.twitter.com/icVJerb19k
Sat Aug 08 17:39:30 PDT 2015 --  LMAO READ THE RESPONSE https://vine.co/v/OE53LJl2Dlt 
Fri Aug 07 19:44:45 PDT 2015 --  LMAOOO. Countess Vaughn is ME Af! pic.twitter.com/IvdhoMQUcM
Sat Aug 08 06:39:31 PDT 2015 --  You could take on more than you can possibly finish because yo... More for Capricorn http://bit.ly/A5KmeJ 
Fri Aug 07 07:26:04 PDT 2015 --  When you got bread in ya lunchbox but you ain't talking bout food pic.twitter.com/rHctaL1d7m
Fri Aug 07 22:54:54 PDT 2015 --  Either you identify as man, woman, or both. Straight or LGBTQ...
Fri Aug 07 22:51:32 PDT 2015 --  All of those genders identities are from tumblr and would never be recognized from anyone other than yourself.
Fri Aug 07 22:50:13 PDT 2015 --  Mess... https://twitter.com/gnarlypug/status/629060384759107588 …
Fri Aug 07 22:46:47 PDT 2015 --  This is so sad. Rest in peace. https://twitter.com/BreakingNews/status/629890487223222272 …
Thu Nov 12 10:40:59 PST 2009 --  @TheAlexSimpson THANK YOU FOR SAYING MY ALBUM WILL BE BETTER THAN @Rihanna's BECAUSE MY TOOK 3 YEARS TO MAKE AND HERS TOOK 2 MONTHS!! XOXO
Fri Aug 07 22:42:24 PDT 2015 --  https://twitter.com/Jdiamondisme/status/629887216647471104 …
Fri Aug 07 19:50:12 PDT 2015 --  "Cooper you work at sonic" pic.twitter.com/YuNGWUBS3t
Thu Aug 06 16:45:40 PDT 2015 --  pic.twitter.com/moKMFeqLXz
Fri Aug 07 13:31:12 PDT 2015 --  @whoisjayflowers my stomach hurt from eating it all too fast sjsjxjsjkws
Fri Aug 07 13:23:48 PDT 2015 --  I would die for some Popeyes right now https://twitter.com/xicanxfag/status/629749677735325696 …
Fri Aug 07 11:54:02 PDT 2015 --  Noted https://twitter.com/darnell_foster/status/613586607162068992 …
Fri Aug 07 09:38:38 PDT 2015 --  See I knew deep down that Fantasic Four was gonna be bad
Fri Aug 07 06:39:33 PDT 2015 --  You're feeling a bit under the weather today, making it challe... More for Capricorn http://bit.ly/A5KmeJ 
Thu Aug 06 23:50:04 PDT 2015 --  Can't wait to hear new music from @kmichelle and @4everBrandy!
Thu Aug 06 23:41:33 PDT 2015 --  Brian bringing that hoeness on my TL. He knows I'm a child of God and would never do anything sexual.
Thu Aug 06 23:35:16 PDT 2015 --  that glowing "I just got dick" look! https://twitter.com/whoisjayflowers/status/629540738267656192 …
Thu Aug 06 23:37:14 PDT 2015 --  @xicanofag Must be still glowing from a few days ago I was good tonight, I went to a movie.
Thu Aug 06 23:33:02 PDT 2015 --  Me pic.twitter.com/DP7ZvGJChV
Thu Aug 06 22:53:30 PDT 2015 --  The Gift is the perfect movie for anyone who has bullied or made another's life a living hell.. What goes around comes around. Great movie!
Thu Aug 06 19:36:25 PDT 2015 --  The Gift actually got good reviews. I may watch it now.
Thu Aug 06 10:26:20 PDT 2015 --  If the government takes Marijuana off the Schedule I drug classification, it'll make way for more medical research.
Thu Aug 06 10:20:45 PDT 2015 --  Watching Cannabis For Kids: The Children Behind The Debate (FULL DOCUMENTARY) http://video.nationalgeographic.com/video/magazine/150515-ngm-medical-marijuana?gc=%2Fvideo%2Fpeople-culture&source=relatedvideo …
Thu Aug 06 09:44:26 PDT 2015 --  See-Through Solar Could Turn Windows, Phones Into Power Sources http://on.natgeo.com/1SUk6JS  via @NatGeo
Thu Aug 06 06:10:49 PDT 2015 --  On Wednesday a federal appeals panel ruled that Texas’s voter ID law violates the Voting Rights Act of 1965: http://www.nytimes.com/2015/08/06/us/appellate-panel-says-texas-id-law-broke-us-voting-rights-act.html … #VRA50
Mon Aug 03 13:02:24 PDT 2015 --  Excited to reveal my @Cosmopolitan cover! Get your copy next week! http://cosmopolitan.com/demilovato  pic.twitter.com/I0W3fK9mNm
Thu Aug 06 07:54:07 PDT 2015 --  @lil_aristotle Not trivializing anything. Just pointing out that the myth of a million soldiers dying is just that - a total lie.
Thu Aug 06 06:39:41 PDT 2015 --  You are tempted to run out on your commitments and chase more ... More for Capricorn http://bit.ly/A5KmeJ 
Wed Aug 05 21:48:13 PDT 2015 --  The indefensible Hiroshima revisionism that haunts America to this day http://flip.it/KA7pl 
Wed Aug 05 21:45:18 PDT 2015 --  I read this great 20+ page article on Hiroshima today.
Wed Aug 05 21:43:29 PDT 2015 --  Text me @xicanofag
Tue Aug 04 13:13:23 PDT 2015 --  all they do is party & lie about albums pic.twitter.com/8unP12KSHp
Wed Aug 05 21:42:16 PDT 2015 --  Lmao he told he to be quiet because he was on the phone with his baby mama. Nope not messing with niggas anymore
Wed Aug 05 21:36:33 PDT 2015 --  He cute but PETTY AS HELL https://twitter.com/xicanofag/status/629148150335299584 …
Wed Aug 05 21:29:48 PDT 2015 --  That was literally the last of the juice in the house and I didn't even get a sip. I'm so mad.
Wed Aug 05 21:26:55 PDT 2015 --  Nicki really be having pointless features sometimes. She wasn't needed for Back Together.
Wed Aug 05 16:33:19 PDT 2015 --  yall please pray for her. she's been victimized by racism. someone said she smells like bologna #bolognalivesmatter https://twitter.com/complexmag/status/629052147804598272 …
Wed Aug 05 20:16:45 PDT 2015 --  Yo this episode was the best episode omg pic.twitter.com/kSzpU2Y5Gl
Wed Aug 05 11:00:02 PDT 2015 --  CONFIRMED! A "That's So Raven" reunion special is totally happening! http://svn.tn/6010B1epE  pic.twitter.com/N2pRDE3o5A
Wed Aug 05 20:01:44 PDT 2015 --  RT @BetterWhen_WET: BET UNCUT is coming back its time pic.twitter.com/qNsP9MezJc
Wed Aug 05 20:04:11 PDT 2015 --  Watching @TheGameBET's ending makes me think of what greatness #Girlfriends' ending would've been.
Wed Aug 05 19:41:14 PDT 2015 --  When I saw Melanie, Tasha, and Kelly back together again... #TheGameBET @TiaMowry @iambdaniel @IamWendyRaquel :) pic.twitter.com/XxWWYyjmdO
Wed Aug 05 19:38:01 PDT 2015 --  Bihhhh at Kelly, Tasha, and Melanie together... pic.twitter.com/cZbn9tOHPk
Wed Aug 05 19:34:12 PDT 2015 --  BRING BACK RAP CITY AND COLLEGE HILL @BET
Wed Aug 05 19:33:14 PDT 2015 --  BET Uncut is coming back? That was my childhood. Staying up late trying to sneak and watch the videos lol
Wed Aug 05 19:20:58 PDT 2015 --  Turkey Basting Bitches lol
Wed Aug 05 19:07:09 PDT 2015 --  MELANIE IS PREGNANT OMG
Wed Aug 05 13:51:32 PDT 2015 --  #AntiIntellectBeLike RT @Donte__502: Somebody explain his logic to me cuz I'm legitimately confused pic.twitter.com/W9DSOsXOK9
Wed Aug 05 10:50:29 PDT 2015 --  Malaysian prime minister confirms debris found on Reunion Island is from missing Malaysia Airlines flight MH370 http://www.breakingnews.com/t/PKq 
Wed Aug 05 06:39:46 PDT 2015 --  You may believe that it's a smart idea to avoid your friends t... More for Capricorn http://bit.ly/A5KmeJ 
Tue Aug 04 18:07:32 PDT 2015 --  Alison didn't seem too shocked to see Charles so it must be someone well known.
Tue Aug 04 17:52:02 PDT 2015 --  Why wasn't this series based around the moms instead? they're hilarious #PLL #PrettyLittleLiars #PLLMoms
Tue Aug 04 17:47:47 PDT 2015 --  It took the girls 6 seasons to get answers, it only took #PLLMoms one episode lol @imarleneking
Tue Aug 04 17:41:13 PDT 2015 --  WHAT THE FUCK @imarleneking. DOMINIC LITERALLY MADE MY HEART STOP.
Tue Aug 04 10:45:50 PDT 2015 --  She literally could've said anythimg else but she said toilets. With the biggest confidence. That wasn't a slip up..
Tue Aug 04 10:20:17 PDT 2015 --  It's dope that both Brown and Black people are up in Kelly Osbourne's mentions like pic.twitter.com/Nu3V7ql5PY
Tue Aug 04 10:36:03 PDT 2015 --  If you kick all the blacks out of the country who will yell MUSTARD ON THE BEAT? -Kelly Osbourne
Tue Aug 04 10:35:16 PDT 2015 --  The happiest of birthdays to @willfinty! I hope you have an amazing day and i wish you the best. Cheers to another year my friend.
Tue Aug 04 06:55:57 PDT 2015 --  Rihanna is so stunning pic.twitter.com/Q22bI3WVP7
Tue Aug 04 08:26:27 PDT 2015 --  When a #Capricorn makes it to the top, we take everyone we love along with us.
Tue Aug 04 08:27:06 PDT 2015 --  CAPRICORN: STOP FORGIVING SOMEONE THAT DOES YOU WRONG EVERY SINGLE TIME. THEY DONT DESERVE YOUR FORGIVENESS. GET RID OF THEM HOE
Tue Aug 04 06:39:49 PDT 2015 --  Support comes out of left field today as friendly Venus joins ... More for Capricorn http://bit.ly/A5KmeJ 
Tue Apr 07 09:18:10 PDT 2015 --  SCREAMING pic.twitter.com/Lpx4h10Dnv
Mon Aug 03 20:30:02 PDT 2015 --  I SO MAD I'M NOT THERE OH MY https://twitter.com/JimboBleu/status/628398949490032640 …
Mon Aug 03 20:20:10 PDT 2015 --  Wishing I was at #OVOFest like pic.twitter.com/dVNEnkjKjy
Mon Aug 03 17:58:32 PDT 2015 --  Ready to lose they jobs over this video https://twitter.com/sirSLAYSalot/status/628366885055127553 …
Mon Aug 03 15:55:42 PDT 2015 --  drake's wearing the free meek mill tee right now pic.twitter.com/UQdOZDeKjz
Mon Aug 03 17:45:10 PDT 2015 --  I swear I hate her singing ass https://twitter.com/CommonBlackGirI/status/628354735154794496 …
Mon Jul 27 15:01:45 PDT 2015 --  iont think she knows what this movies about pic.twitter.com/LTw7jUaTOx
Mon Aug 03 13:08:02 PDT 2015 --  For these two brothers, Tom Brady’s birthday is something truly worth celebrating http://trib.al/ded769S  pic.twitter.com/znD38FQQvK
Mon Aug 03 16:07:26 PDT 2015 --  Me when I add an apple to whatever bad food I'm eating https://twitter.com/jakemiller/status/628340815241342976 …
Mon Aug 03 16:00:30 PDT 2015 --  Outwardly a #Capricorn seems calm and assured, but in reality our mind is never at rest.
Mon Aug 03 11:48:06 PDT 2015 --  It's a popular celebrity place, I'm sure they're not surprised https://twitter.com/fuckboybobby/status/580445547783450625 …
Mon Aug 03 01:03:03 PDT 2015 --  2:12: we talk about @Advil's amazing reaction vid 2 #dragmedown on the #ProjectUPodcast https://soundcloud.com/projectu/project-u-the-podcast-episode-5 …
Mon Aug 03 10:48:51 PDT 2015 --  tragic https://twitter.com/bruiseaurora/status/628226769632391168 …
Sat Jul 25 13:58:57 PDT 2015 --  if you're broke to take her out on a date, go hiking and eat that bitch out on the top of the mountain. be creative.
Mon Aug 03 08:45:49 PDT 2015 --  I'm taking Reggie home with me pic.twitter.com/TitSv3m7VD
Thu Jun 25 12:30:07 PDT 2015 --  Fixed it pic.twitter.com/slfcEvChsP
Sun Aug 02 22:46:02 PDT 2015 --  Bob The Savage Part 1 pic.twitter.com/SwdJE3cxgJ
Mon Aug 03 06:39:38 PDT 2015 --  It might seem as if the group process is hampering your progre... More for Capricorn http://bit.ly/A5KmeJ 
Mon Aug 03 05:16:56 PDT 2015 --  Ew https://twitter.com/_AmazingKay/status/628177107357728768 …
Mon Aug 03 04:17:50 PDT 2015 --  My Uber driver is having a full blown presidential conversation at 6 am. Sir I'm tired, please stop
Mon Aug 03 03:57:46 PDT 2015 --  I wanna be Bob when I'm old https://twitter.com/Wesamh96/status/628079310214029313 …
Sun Aug 02 22:10:35 PDT 2015 --  Lmao the fact that my crush is related to my previous two crushes. Like how the fuck
Sun Aug 02 22:00:18 PDT 2015 --  Its actually hilarious who my current straight crush is lol
Sun Aug 02 21:48:39 PDT 2015 --  As Told By Ginger was my favorite show. https://twitter.com/beyxmaraj/status/627878047069286400 …
Sun Aug 02 21:33:57 PDT 2015 --  How do people have time to party everyday and drink? Get a fucking job you loser
Sun Aug 02 21:06:17 PDT 2015 --  It's K time. Nothing else matters. https://twitter.com/kmichelle/status/628053780936835073 …
Sun Aug 02 16:37:20 PDT 2015 --  I don't see a shower or tub https://twitter.com/AdventureVibess/status/627963926265864192 …
Sat Aug 01 21:22:26 PDT 2015 --  Just because you haven't got it all figured out, doesn't mean you never will. Some day you'll look back and wonder why you ever worried.
Sun Aug 02 13:44:32 PDT 2015 --  If you stalk ur ex to see who they with just to talk about them downgrading. You're the downgrade cause clearly you don't want them happy.
Sun Aug 02 16:27:37 PDT 2015 --  I've heard it all https://twitter.com/funcoolmom/status/627928168897347584 …
Sat Aug 01 18:57:42 PDT 2015 --  "Frank where's your album?" Frank: https://vine.co/v/OXPVpt1Jbzm 
Sun Aug 02 16:15:40 PDT 2015 --  Lmfao oh my God https://twitter.com/marissaastacy/status/627686726962708480 …
Sun Aug 02 15:08:53 PDT 2015 --  A child isn't just born racist. If they grow up in a community that constantly downgrades another race they'll most likely do the same.
Sun Aug 02 16:12:31 PDT 2015 --  I'm gonna watch this https://twitter.com/EW/status/627973564004700160 …
Mon Jun 30 22:32:11 PDT 2014 --  can't even begin to build without a solid foundation, and that foundation is yourself. learn about yourself so you can start learning.
Sun Aug 02 06:39:35 PDT 2015 --  You may be uncomfortable with someone's effusive display of un... More for Capricorn http://bit.ly/A5KmeJ 
Sat Aug 01 18:50:30 PDT 2015 --  Oh hey @Advil pic.twitter.com/fNxzL7dHF6
Sat Aug 01 16:03:19 PDT 2015 --  Dr. Dre's new album "Compton" cover and track list. August 7th. pic.twitter.com/X68OXmU1fT
Sat Aug 01 08:49:01 PDT 2015 --  Lmao I can't at people wanting Nicki to leave Meek over a stupid fucking diss. If she in love, let her be in love.
Sat Aug 01 06:39:36 PDT 2015 --  You might discover your resources are stretched further than y... More for Capricorn http://bit.ly/A5KmeJ 
Fri Jul 31 22:49:35 PDT 2015 --  Yandy?? https://twitter.com/riqqioceanSUS/status/625884524623233024 …
Fri Jul 31 10:40:07 PDT 2015 --  welp, I'm just glad she won't be on K's new album. won't He do it?! pic.twitter.com/iUYLqTEWJR
Fri Jul 31 06:58:23 PDT 2015 --  Uber Driver Places @Teairra_Mari Under Citizen’s Arrest For Stealing iPhone Charger https://shar.es/1sPySW  pic.twitter.com/CecZfNsdsZ
Fri Jul 31 07:52:08 PDT 2015 --  Chicken fingers turn to twitter fingers pic.twitter.com/EQLwa3cWTJ
Thu Jul 30 23:07:24 PDT 2015 --  Not sure if you're aware, but student loan debt exceeds credit card debt in America. It's around $1.2 trillion.
Thu Jul 30 21:13:16 PDT 2015 --  Because the average college student graduates with $33,000 in loans and the federal minimum wage is $7.25/hr? pic.twitter.com/obtW1Pyyge
Fri Jul 31 09:05:03 PDT 2015 --  damn, ciara got 87 million reasons not to leave russell wilson now. touchdown.
Fri Jul 31 07:09:52 PDT 2015 --  An 18 month old Palestinian child was burnt to death http://www.latimes.com/world/middleeast/la-fg-palestinian-child-burnt-to-death-20150730-story.html …
Fri Jul 31 06:39:41 PDT 2015 --  Your current financial condition may seem rather unstable toda... More for Capricorn http://bit.ly/A5KmeJ 
Fri Jul 31 05:45:37 PDT 2015 --  Drag Me Down is really good!
Thu Jul 30 21:16:18 PDT 2015 --  Wait...so yall attacking Lil Kim for laughing...but wasnt yall just doing the same thing? Yall moody asses pic.twitter.com/z2htTA6e1v
Thu Jul 30 20:46:44 PDT 2015 --  I never listened Frank Ocean's first album...
Thu Jul 30 20:37:53 PDT 2015 --  Stop this https://twitter.com/Whataburger/status/626959149075595264 …
Thu Jul 30 20:23:48 PDT 2015 --  I swear they lying. We'll see.
Thu Jul 30 20:22:15 PDT 2015 --  WAIT https://twitter.com/DatPiff/status/626942780561096704 …
Thu Jul 30 20:18:50 PDT 2015 --  WHY IS THIS SO TRUE https://twitter.com/CreepGawddess/status/626938455076012032 …
Thu Jul 30 20:18:23 PDT 2015 --  I can't lie that studio cut in Meek's diss
Thu Jul 30 19:50:07 PDT 2015 --  Me after listening to "I wanna know" pic.twitter.com/NxlCXRMZaz
Thu Jul 30 19:56:10 PDT 2015 --  pic.twitter.com/449sfQa0AM
Thu Jul 30 19:43:36 PDT 2015 --  This is dope! https://twitter.com/CDotDrew/status/626945512302718976 …
Thu Jul 30 19:35:41 PDT 2015 --  I hope I get the chance to meet @ThatKidDillon one day.
Thu Jul 30 19:12:25 PDT 2015 --  I hope you're ready for season 2! #HTGAWM returns September 24th! #TGIT #TBT pic.twitter.com/XXjwwdvecb
Thu Jul 30 09:37:21 PDT 2015 --  she is my hero lmao im also transfinancial pic.twitter.com/QZ1Ny1s6rl
Thu Jul 30 19:02:50 PDT 2015 --  *Get On Your Knees https://twitter.com/NICKIMINAJ/status/626924605265981440 …
Thu Jul 30 17:22:11 PDT 2015 --  Got bitten by a dog today. On my life I wanted to kill that little bitch. pic.twitter.com/8zHnqrzhH1
Thu Jul 30 15:40:46 PDT 2015 --  Peasant Top?! https://twitter.com/lachicamercedes/status/626100720232574976 …
Thu Jul 30 14:08:07 PDT 2015 --  sorry for appropriating white culture in my last two tweets #cultureisnotacostume
Thu Jul 30 13:31:17 PDT 2015 --  This deer moves its lips but it sounds like #gibberish https://vine.co/v/eXjJMbZDL0a 
Wed Jul 22 14:52:46 PDT 2015 --  raven also thought putting cheese in a hot air vent was a good idea so I won't be listening to her any time soon https://twitter.com/saintheron/status/623662514341974017 …
Thu Jul 30 09:33:55 PDT 2015 --  Is there a record for the amount peed by a dog, cause I'm almost sure this one dog topped it.
Thu Jul 30 08:53:00 PDT 2015 --  This bitch said Henna is a trend. I wanna fight her so bad. I swear.
Thu Jul 30 08:52:41 PDT 2015 --  Cause white people invented cloth? And since when are skinny jeans and shirts culture? https://twitter.com/leen0k/status/626694366959149056 …
Thu Jul 30 08:10:56 PDT 2015 --  but brown people are the ones who make jeans and t-shirts... so either way we win, stay pressed tho https://twitter.com/leen0k/status/626694366959149056 …
Thu Jul 30 06:50:00 PDT 2015 --  A charity aiming to provide clean water to poverty-stricken areas in Pakistan http://www.gofundme.com/batulfoundation  Please donate!!! pic.twitter.com/HfLiTTvW7V
Thu Jul 30 06:39:59 PDT 2015 --  Your ego may lose its sense of proportion now as others encour... More for Capricorn http://bit.ly/A5KmeJ 
Tue Jul 21 08:27:07 PDT 2015 --  i hope your insides find time to smile
Wed Jul 29 20:14:54 PDT 2015 --  Windows 10 is so awesome
Wed Jul 29 19:47:53 PDT 2015 --  When your crush starts following you, and you just spam your feed with all your A1 selfies hoping they'll see. We all do it....
Wed Jul 29 18:35:19 PDT 2015 --  I love your mindset. @ThatKidDillon
Wed Jul 29 18:25:11 PDT 2015 --  http://smarturl.it/BadGirlsEP 
Wed May 06 16:22:27 PDT 2015 --  14-year-old girl raped in Somalia. Instead of arresting suspect police raped her again & again http://bit.ly/1JRc0wk  pic.twitter.com/f9FQuFw6dl
