Fri Aug 28 22:07:11 PDT 2015 --  I just can't.
Sat Apr 25 17:11:44 PDT 2015 --  Hey everyone. Go vote for Ty on his awesome video he entered into a contest! #TGProductions http://www.rode.com/myrodereel/watch/entry/90 …
Sat Apr 25 16:09:17 PDT 2015 --  #HairShowReady. #Egyptian. #PUMPED pic.twitter.com/sESsssqjtj
Sat Apr 25 15:05:27 PDT 2015 --  I just wanted to thank my two beautiful models for taking the time to help me out this weekend! My… https://instagram.com/p/16f4bpF2oG/ 
Wed Apr 22 14:57:43 PDT 2015 --  Saw a hair donut sitting on my back seat and thought it was a legit donut just in case you were wondering what type of day I'm having
Wed Apr 22 12:55:30 PDT 2015 --  "Life sucks because you live and then you just die" quoted by my 8 year old cousin yesterday
Tue Apr 21 09:18:38 PDT 2015 --  Who's coming with me pic.twitter.com/VD9avrxN1k
Sun Apr 19 10:21:21 PDT 2015 --  I don't even remember the last time i had a 4 hour work day. Haha
Fri Apr 17 09:56:29 PDT 2015 --  Come do my makeup for me so I know it's real....more like do I don't have to get out of bed
Fri Apr 17 08:41:39 PDT 2015 --  I always forget how ugly tattoos are while healing
Thu Apr 16 21:36:42 PDT 2015 --  After days like today I just need an all over body massage #exhausted
Thu Apr 16 20:09:44 PDT 2015 --  I did something insane tonight at school YOLO am I right https://instagram.com/p/1j3jKGl2k8/ 
Thu Apr 16 15:09:06 PDT 2015 --  I literally can't hide anything because my facial expressions show exactly how I'm feeling #TheStruggleIsReal
Wed Apr 15 17:38:59 PDT 2015 --  #5 pic.twitter.com/db5u7TSP2Z
Wed Apr 15 17:34:08 PDT 2015 --  #tattoo number five super happy with the end result!! Slowly gettin this sleeve done!! Also… https://instagram.com/p/1hA8kgF2oo/ 
Mon Apr 13 09:23:29 PDT 2015 --  Forever trying to hold a regular pair of scissors like my cutting shears #CosmetologyStudentProbz
Sun Apr 12 20:56:31 PDT 2015 --  I need someone to come play in this rain with me please
Sat Apr 11 08:06:05 PDT 2015 --  Cost of Living, 1938 pic.twitter.com/6uKBXb39Qc
Sun Apr 12 17:28:38 PDT 2015 --  I ask boyfriend to connect stand to the tv and he just PLACES screws into the hole instead of actually screwing in! pic.twitter.com/TyrCmGw5fZ
Sun Apr 12 17:18:00 PDT 2015 --  My dog just walked into my room. Farted. And then walked out.. What the hell
Sun Apr 12 15:04:35 PDT 2015 --  Dexter is Life
Sun Apr 12 15:09:46 PDT 2015 --  WHO CAN IDENTIFY THIS MAN?!?!? Whoever wins gets a soda pic.twitter.com/x300lFTgTk
Sun Apr 12 14:08:41 PDT 2015 --  Next tat in 3 days
Sun Apr 12 13:47:17 PDT 2015 --  I'll pay you to come clean my room
Sat Apr 11 21:21:21 PDT 2015 --  Bought a swim suit from Victoria secret today first purchase from that store...ever lol
Sat Apr 11 20:08:40 PDT 2015 --  I get to sleep in tomorrow
Sat Apr 11 18:21:28 PDT 2015 --  How do all these bitches have shows/ careers doing nothing but eating..Traveling ..and taste testing... And where to I apply?!?!?
Fri Apr 10 18:56:14 PDT 2015 --  No matter what time of day it is or how full I am. Cereal always sounds good
Fri Apr 10 06:56:35 PDT 2015 --  Forever trying but just can't be a morning person
Thu Apr 09 21:12:24 PDT 2015 --  I love getting long cute mushy text messages
Thu Apr 09 13:16:15 PDT 2015 --  Can i not school again but still get hours for it
Thu Apr 09 08:12:13 PDT 2015 --  Ready for a fun photo shoot with @tylersempire
Wed Apr 08 12:25:18 PDT 2015 --  "I love living in tornado alley" - said no one EVER
Tue Apr 07 20:51:57 PDT 2015 --  No one has ever said they dislike ADTR.
Mon Apr 06 13:04:57 PDT 2015 --  pic.twitter.com/HbIJe5Opv2
Sat Apr 04 15:46:59 PDT 2015 --  Why did I delete my sims app? I'm upset
Sat Apr 04 14:59:48 PDT 2015 --  My type of Easter Egg Hunt... pic.twitter.com/I1DrCeHFWj
Thu Apr 02 09:06:02 PDT 2015 --  Receptionists at this office bitchy as fuck. Jesus
Thu Apr 02 08:58:55 PDT 2015 --  First dr appt without a parent. Am I a big kid now?
Wed Apr 01 22:00:24 PDT 2015 --  No one ever said love was easy!!
Wed Apr 01 09:40:28 PDT 2015 --  Animal cruelty case investigated by #MulvanePolice after students allegedly bought chicken & ran over several times pic.twitter.com/riEWbEG76k
Wed Apr 01 19:39:48 PDT 2015 --  Did this fun triangular graduation with some fun disconnects on this adorable little girl tonight … https://instagram.com/p/09MMuFIWYD/ 
Tue Mar 31 16:48:11 PDT 2015 --  @Licia_Lynn people with psychological issues like that are why serial killers are a thing.
Tue Mar 31 16:00:25 PDT 2015 --  WHO THE FUCK BUYS BABY CHICKS TO BURN THEM FOR FUN??
Mon Mar 30 09:00:30 PDT 2015 --  Forever using work as my gym since I don't have Time to go to one lunges on the way to the beds.. Squat position while cleaning the bed
Mon Mar 30 06:40:25 PDT 2015 --  In a constant battle with @AustynAustyn with my bae and for the next couple months... He wins #nervousAboutBae
Mon Mar 30 06:36:07 PDT 2015 --  My love comes home today and is here for an entire week
Sun Mar 29 15:56:37 PDT 2015 --  I don't think I hate anything more in this world than late tanners
Sun Mar 29 08:39:57 PDT 2015 --  “ @Lizzy_Hampton: Friendly reminder that the last ten percent of your drink is mostly saliva. :)” @tylersempire this is why I don't drink it
Sat Mar 28 10:12:15 PDT 2015 --  I just enjoy the fact that it's nice enough out that I can wear shorts to work
Fri Mar 27 01:05:13 PDT 2015 --  So excited for season 3 pic.twitter.com/TBl5oMFRI3
Fri Mar 27 22:02:19 PDT 2015 --  Bitches on house hunters with a 2.5 million dollar Budget for their VACATION HOME #wut
Fri Mar 27 21:52:35 PDT 2015 --  Wherever there are fruit loops you know it's going to be a party
Fri Mar 27 20:28:59 PDT 2015 --  My question is why dont the main characters hair look rough with regrowth in the walking dead..I know you dye that shit why isnt it showing
Thu Mar 26 21:01:58 PDT 2015 --  Started Dexter again a few days ago. I know I'll get to the end and get mad at how it ended again... It'll be worth it though #Obsessed
Thu Mar 26 20:44:01 PDT 2015 --  When a client is super happy with her cut and won't stop saying how much she loves it >> #ThatsWhyIDoThis #LoveWhatIDo #Practice
Thu Mar 26 12:40:43 PDT 2015 --  What's really annoying though is how they keep rebuilding these stupid large speed bumps at work even though they keep getting destroyed
Thu Mar 26 12:16:28 PDT 2015 --  He will open it one day.. pic.twitter.com/4sHYbmHX1Y
Wed Mar 25 05:32:20 PDT 2015 --  What do you know... This house is falling apart!
Tue Mar 24 22:18:05 PDT 2015 --  Aaaaand now I can't sleep.
Tue Mar 24 21:55:02 PDT 2015 --  I'm on the brink of a complete breakdown...
Tue Mar 24 20:45:08 PDT 2015 --  Did I really just tweet that
Tue Mar 24 20:43:59 PDT 2015 --  You know it's real when you send bae snap videos of you pooping instead of just pics
Tue Mar 24 18:04:42 PDT 2015 --  Trying to make conversation with awkward client "you like getting perms I take it?" *blank stare*....ok... #Mylifeisawkward
Tue Mar 24 10:11:35 PDT 2015 --  Went camping during a thunderstorm last night. 'Twas an adventure watched it all in a tent. #Adventures
Mon Mar 23 17:35:02 PDT 2015 --  This is why I have trust issues pic.twitter.com/2z0hVOmCVt
Mon Mar 23 09:07:04 PDT 2015 --  How to people manage to get their tanning lotion on the wall clear up by the ceiling? I don't understand. Lol
Sun Mar 22 14:29:57 PDT 2015 --  Thinking about Dexter like http://vine.co/v/OXva6O32gup 
Sun Mar 22 20:00:04 PDT 2015 --  Everyone is still all caught up in the stupid sports and I'm over here like OH SHIT because of #TheWalkingDead
Sun Mar 22 17:52:23 PDT 2015 --  I'll draw the shades and close the door. Everything's not alright and I would rather....
Sun Mar 22 16:18:42 PDT 2015 --  WHAT THE FUCK ARE THOSE? pic.twitter.com/4fgt0zVZc8
Sun Mar 22 14:28:23 PDT 2015 --  In need of a deep tissue foot massage please. Any volunteers?
Sun Mar 22 14:16:11 PDT 2015 --  Room clean Laundry done Bills paid
Sun Mar 22 11:38:48 PDT 2015 --  Should be going to a concert tonight but no
Sat Mar 21 23:00:08 PDT 2015 --  WUT WUZ THAT?!?!?
Sat Mar 21 21:40:32 PDT 2015 --  Family night at the drive in
Sat Mar 21 09:25:16 PDT 2015 --  Set my alarm for 9pm instead of am now I feel like a bum for just now waking up
Fri Mar 20 19:17:07 PDT 2015 --  Wish I was going to the #TakeActionTour on Sunday
Fri Mar 20 19:14:17 PDT 2015 --  Take me to see insurgent so I know it's real
Fri Mar 20 19:01:42 PDT 2015 --  I have a weakness for Mexican food
Fri Mar 20 14:14:29 PDT 2015 --  My boyfriend said "I need to creep on your Twitter more because you're hilarious" ..yeah I know
Fri Mar 20 11:52:15 PDT 2015 --  Haven't jammed to @issues in a while. This is a good time
Thu Mar 19 18:30:21 PDT 2015 --  The Dexter Finale had me like pic.twitter.com/gmyKfEqPsM
Fri Mar 20 09:26:54 PDT 2015 --  Just watched the last episode of #OITNB not sure what I'm going to do with my life till season 3
Thu Mar 19 21:01:13 PDT 2015 --  Just want to take a second to recognize how on-FLEEK my eyebrows were this day. Also how adorable my sis is pic.twitter.com/pXilWkKnX8
Thu Mar 19 20:48:57 PDT 2015 --  Let me give you an ombre balayage so I know it's real
Thu Mar 19 13:38:05 PDT 2015 --  On a more positive note. About to get my next tattoo priced and hopefully scheduled
Thu Mar 19 13:36:51 PDT 2015 --  Being indecisive on my lipstick color today #TheStruggle #FirstWorldProbz
Wed Mar 18 17:52:24 PDT 2015 --  When your trying to workout to get a summer body pic.twitter.com/nQMCy6aImS
Tue Mar 17 20:00:49 PDT 2015 --  Helped my girl @danielleeeex0 with this beautiful ombre today! Turned out beautiful!! #pmts… https://instagram.com/p/0WmrmToWaD/ 
Sun Mar 15 18:00:20 PDT 2015 --  I just want a spring break like everyone else
Sun Mar 15 11:58:43 PDT 2015 --  Wanting to play with baby orangutan but zoo keeper is ruining my life
Fri Mar 13 19:08:12 PDT 2015 --  Binge watching @OITNB #ImObsessed
Thu Mar 12 21:20:48 PDT 2015 --  I get to sleep in tomorrow
Thu Mar 12 14:12:43 PDT 2015 --  I'd say it's a passion pit type of day
Thu Mar 12 12:57:42 PDT 2015 --  I keep kind of thinking about shaving part of my head then stop and realize I wouldn't be able to pull it off and I'd just look like a fool
Tue Mar 10 18:49:24 PDT 2015 --  Nothing is more annoying than when a parent screams at her children in public chill bro
Tue Mar 10 07:59:27 PDT 2015 --  I just gotta get some coffee in my system and I should be good to go for the day
Mon Mar 09 12:30:17 PDT 2015 --  When you have more money in the bank than you thought you did >>>
Mon Mar 09 07:16:16 PDT 2015 --  Please let today go by extremely fast
Sun Mar 08 17:06:35 PDT 2015 --  Had a good day with these two boobs @ full day of adventures https://instagram.com/p/z_HlroF2rK/ 
Sat Mar 07 17:53:00 PST 2015 --  Didn't think I would like orange is the new black but I actually love it
Sat Mar 07 10:48:26 PST 2015 --  Every time i go to a car wash there is a mile long line I just want my car clean lol
Sat Mar 07 09:33:19 PST 2015 --  Middle fingers up if you don't give a fuck! pic.twitter.com/zg1CzMZ1WH
Sat Jan 19 11:40:42 PST 2013 --  Two months ago started dating this beautiful girl. @Licia_Lynn pic.twitter.com/28XY1wpf
