Sat Aug 29 13:52:43 PDT 2015 --  My song : @camerondallas pic.twitter.com/zFdHHnPFWB
Fri Aug 07 10:39:25 PDT 2015 --  El CCME es libertad. Hacer posible lo imposible. Cumplir sueños. El mío: DEMI LOVATO #CCMELovers @Tony__Aguilar RT!! pic.twitter.com/LJwZeI0MoR
Tue Aug 18 05:04:25 PDT 2015 --  ✯
Fri Aug 07 05:21:46 PDT 2015 --  Necesito abrazarla y decirle cuanto la quiero más que nada @CocaCola_es #CCMELovers pic.twitter.com/OHchMa00h8
Tue Aug 18 04:12:24 PDT 2015 --  When you feel like giving up, remember why you held on for so long in the first place
Tue Aug 18 03:21:42 PDT 2015 --  You are so beautiful Camerina @camerondallas LYSM pic.twitter.com/8EESf3yFrQ
Tue Aug 18 03:19:51 PDT 2015 --  Ahahahaha tu matas-me Amo-te @camerondallas !! LYSM ! pic.twitter.com/mmHfHxAE2B
Mon Aug 17 10:55:46 PDT 2015 --  Got to see Taylor, Hayes, Nash, Shawn, Jack J, Jack G, Aaron, & mahogany yesterday, so glad we all got to hangout at once.
Mon Aug 17 01:19:43 PDT 2015 --  Shawn is such a legend. Literally a sea of people at his show tonight. (Ft. The top of Gilinskys Head) pic.twitter.com/oQ0KTOt9ZB
Tue Aug 18 01:46:12 PDT 2015 --  X https://instagram.com/p/6hL1ILHKi7/ 
Tue Aug 18 01:44:25 PDT 2015 --  Me and Cam have played this online game every night before bed for at least an hour this past week
Tue Aug 18 01:21:50 PDT 2015 --  He's the most adorable and cute human being @camerondallas pic.twitter.com/mR1NDJBJm3
Tue Aug 18 01:10:00 PDT 2015 --  Good morning Cam @camerondallas C A M E R O N D A L L A S
Tue Aug 18 01:06:28 PDT 2015 --  Make my happy please and follow me @camerondallas ! Please bby. Please. you are my sunshine please!!! Lysm pic.twitter.com/MERcF8OyDx
Tue Aug 18 01:03:49 PDT 2015 --  Please follow me Cam! I love you so much. Make my wish come true 20x. Please bby. I need your follow. @camerondallas pic.twitter.com/Zbc6BjTS5I
Mon Aug 17 16:51:52 PDT 2015 --  @taylorcaniff did you forget about the follow spree haha
Mon Aug 17 16:52:04 PDT 2015 --  Good post-workout munch with the good lad that is @eazzyryder :) https://instagram.com/p/6gOs-qOLXC/ 
Mon Aug 17 16:51:45 PDT 2015 --  @GraysonDolan Hey I have school in 3 days wouldn't you mind to be my teacher in every subject ? pic.twitter.com/bugtS74tWL
Mon Aug 17 12:35:50 PDT 2015 --  @CalvinHarris you clearly didn't understand what I just said either
Sat Jul 25 09:31:24 PDT 2015 --  maior inimigo de um fã pic.twitter.com/fre5IMsnfD
Mon Aug 17 16:48:28 PDT 2015 --  You make me wanna
Mon Aug 17 16:45:46 PDT 2015 --  Just wrapped up a long shoot bout to post a sneak on my Instagram - @HayesGrier
Mon Aug 17 16:45:59 PDT 2015 --  You are perfects @camerondallas @SierraDallas follow me please babies I love you( both) pic.twitter.com/coevrRzYNH
Mon Aug 17 16:42:13 PDT 2015 --  i don't smoke cigarettes. it was just for the photoshoot. that shit is nasty af.
Mon Aug 17 15:29:07 PDT 2015 --  Desert shoot today
Mon Aug 17 15:25:40 PDT 2015 --  Naaaaaaaassssssshhhhh pleaseeeeeee follloooooooww meeeeeeeeeeee @Nashgrier
Mon Aug 17 15:24:18 PDT 2015 --  Nash me please. I rt your last twitte !!! Please bby @Nashgrier
Mon Aug 17 15:22:50 PDT 2015 --  Nash. Please bby follow me. Make my wish come true. And come to Portugal Please. I love you. pic.twitter.com/x2n6PvfK65
Mon Aug 17 15:16:06 PDT 2015 --  no corras en el aeropuerto te vas a caer
Mon Aug 17 15:20:58 PDT 2015 --  Please bby Naaash @Nashgrier follow me. I rt your last twitte
Sun Aug 16 17:27:21 PDT 2015 --  CAUSE I CAN https://twitter.com/cocoakookie/status/633071868929572865 …
Sun Aug 16 17:30:51 PDT 2015 --  Brilliant to chat with @NashGrier again! Can't wait to see his upcoming film. #TeenChoice pic.twitter.com/wPd1DzrVci
Sun Aug 16 18:52:17 PDT 2015 --  People in the 90's dressed 10x more free than they do now. It's bullshit media like you that hold them back today https://twitter.com/e_fashionpolice/status/633062146008461317 …
Sun Aug 16 19:27:06 PDT 2015 --  Kangaroo Jack >
Sun Aug 16 19:29:58 PDT 2015 --  Aye! Congrats to my boy @camerondallas see you soon? 🏼
Sun Aug 16 19:40:08 PDT 2015 --  For real though don't ever feel like you need to live up to social standards
Mon Aug 17 11:57:50 PDT 2015 --  They say USA is the land of the free but with the amount of scrutiny & judgment that our society/media live by, nothing seems free about it
Mon Aug 17 13:17:41 PDT 2015 --  WHOS READY TO SEE MY FIRST EVER VIDEO I DIRECTED w/ @beraofficial @JackJackJohnson @jackgilinsky @JakeFoushee @sammywilk @HayesGrier & more?
Mon Aug 17 13:21:00 PDT 2015 --  Subscribe to my channel to be notified when it's up! http://YOUTUBE.COM/GRIERNASH  There will be a huge following spree with the video release!
Mon Aug 17 13:24:37 PDT 2015 --  ready to see the video @Nashgrier directed already :)
Mon Aug 17 15:17:13 PDT 2015 --  RT my last tweet for a follow! 🏼️
Mon Aug 17 15:03:16 PDT 2015 --  chillin wit the one and only @kyzeman
Fri Aug 07 05:34:26 PDT 2015 --  @CocaCola_es @Tony__Aguilar #CCMELovers por favor necesito ganar pic.twitter.com/q8yMSYzJRm
Mon Aug 17 14:58:29 PDT 2015 --  Tomorrow after school i'm going to the nursing home alone, to give elderly people fruits and vegetables just to see their adorable smiles
Fri Aug 07 07:27:05 PDT 2015 --  Significa mucho para mí esta oportunidad, espero que pueda hacerse realidad algún día. #CCMELovers @CocaCola_es pic.twitter.com/YISMVga0N7
Mon Aug 17 14:58:05 PDT 2015 --  @HelenaStyles24 Hey! Can you help me pls? I need meet Demi. Just RT the link/ srry if I send it bfore >>> https://twitter.com/oh_mykat/status/629660035078062080 … <3
Mon Aug 17 14:56:56 PDT 2015 --  only color i see is green.
Mon Aug 17 14:45:22 PDT 2015 --  And I honestly don't care what people say, or if they try to argue.. Unless you are an unsigned musician, you just don't understand.
Sat Aug 08 06:35:04 PDT 2015 --  Daría todo por ella... Agradecería que deis RT a esto, gracias @CocaCola_es #CCMELovers pic.twitter.com/T7jsIpfaFr
Fri Aug 07 07:53:03 PDT 2015 --  Que por una vez no nos separe ningún kilómetro #CCMELovers @CocaCola_es pic.twitter.com/B4GqhUfi9M
Mon Aug 17 14:52:09 PDT 2015 --  @HelenaStyles24 hey cutie can you please RT im trying to meet jacob and it would help a lot https://twitter.com/_sunshinehood/status/629666569736585216 …
Mon Aug 17 14:50:38 PDT 2015 --  I'm done. I hate you much @camerondallas why you don't follow me. ???? I love you. Please Bby. You are my life. Please please
Mon Aug 17 14:46:34 PDT 2015 --  Please Cam. You are online. Please bby. Follow me. Make my wish come true. Please please. I love you so much please pic.twitter.com/x2kfwvkhfH
Mon Aug 17 14:44:26 PDT 2015 --  Cam follow me please. I love you so much. Please follow me. Make my wish come true. @camerondallas
Mon Aug 17 14:43:23 PDT 2015 --  59 SECONDS || RT for 300 free follows only if you have my notifs on
Mon Aug 17 14:42:30 PDT 2015 --  Or never had to fight for a chance in the industry and therefore don't understand.
Sat Aug 08 05:21:56 PDT 2015 --  take me into HIS loving arms #CCMELovers @CocaCola_es pic.twitter.com/1PLy9sLY1r
Mon Aug 17 14:40:31 PDT 2015 --  . @SmiSavannah didn't see it but I followed you (:
Mon Aug 17 14:37:32 PDT 2015 --  I remember the feeling when I finally managed to have my music on iTunes.. But when I had to save my busking money up to pay someone for it
Mon Aug 17 14:38:14 PDT 2015 --  I remember my guitar being stolen aged 15, and being petrified that I couldn't afford another one. I remember the struggle my parents..
Mon Aug 17 14:38:52 PDT 2015 --  i wasted so much time on you
Fri Aug 07 04:55:50 PDT 2015 --  POR FAVOR, DAR RT Y OS LOS AGRADECERÉ TODA LA VIDA #CCMELovers pic.twitter.com/izXy9mW76N
Mon Aug 17 14:31:34 PDT 2015 --  Hi Bry can you please follow me. ??????? I love you. You are a great photograph please @BryantEslava
Mon Aug 17 14:27:53 PDT 2015 --  next time @ me @ShawnMendes
Mon Aug 17 14:26:51 PDT 2015 --  Can't stand crazy ass drivers that make me fear for my life. Like chill this is a residential neighbourhood not the freakin Autobahn.
Mon Aug 17 14:23:03 PDT 2015 --  . @Sarah_Hyland & @MaiaMitchell had the best twinning moment at the #TeenChoiceAwards! See it: http://bit.ly/1LftJft  pic.twitter.com/9BMfWGmA6e
Sun Aug 16 14:33:41 PDT 2015 --  Love this Shuttersong creation. You guys are inspiring. Last day to enter for free trip. http://ssn.gs/contest  http://a.sso.ng/1/4f8a0ebd1a77 
Sun Aug 16 20:32:19 PDT 2015 --  My lips are purple.
Sun Aug 16 22:56:17 PDT 2015 --  What a performance @ShawnMendes. You did such amazing job & I am truly inspired by you. Keep doin your thing!! Love you man.
Mon Aug 17 13:08:38 PDT 2015 --  When I'm with you:) https://vine.co/v/epj6DqllxOt 
Mon Aug 17 14:15:41 PDT 2015 --  I care about you way more than you think
Mon Aug 17 14:03:20 PDT 2015 --  your dad is just sitting at the table eating and listening like
Mon Aug 17 13:56:31 PDT 2015 --  my mom told me one time she thought chayanne was hot.. mom why did you have to tell me that
Fri Aug 07 12:23:54 PDT 2015 --  Es difícil si, pero no imposible. Me han enseñado a luchar por lo que quiero, y eso hago #CCMELovers @CocaCola_es pic.twitter.com/wZSVkDxMLY
Mon Aug 17 13:55:12 PDT 2015 --  Lost Lyrics - Shawn Mendes http://youtu.be/b5nZQqW7M7U 
Mon Aug 17 13:51:14 PDT 2015 --  fav this if you ever hold the hairbrush and pretend you have a mic while singing
Sun Aug 16 13:20:57 PDT 2015 --  Daily loop. Mind my high notes they are non existent. pic.twitter.com/57n9h5A02P
Sun Aug 16 22:15:54 PDT 2015 --  ....chipotle, saying ama and real life stuff
Sun Aug 16 22:22:57 PDT 2015 --  kk getting off Twitter for the night, going back on instagram gtgtgtgtg 🏼
Mon Aug 17 11:23:15 PDT 2015 --  Unfollowing someone on social media doesn't define your friendship in person. Remember that.
Mon Aug 17 13:12:07 PDT 2015 --  me hahaha https://twitter.com/prin9898/status/633368774524059648 …
Mon Aug 17 13:43:49 PDT 2015 --  Photo taken by me/ for Interview Magazine x @Nashgrier pic.twitter.com/G49DxK3Phz
Mon Aug 17 13:45:55 PDT 2015 --  i wanna watch "laura" but it's not on
Mon Aug 17 13:46:47 PDT 2015 --  laura no esta, laura se fue
Mon Aug 17 02:04:39 PDT 2015 --  Be true to yourself
Mon Aug 17 13:42:36 PDT 2015 --  Hi Nutella can you please follow me. I love you so much my prince. Please. Make my wish come true. @camerondallas pic.twitter.com/YQPS2egb4A
Sun Aug 16 20:43:52 PDT 2015 --  Great time at the #TCAs with good friends this afternoon ! Congrats Cam! pic.twitter.com/nlQHY22NMJ
Sun Jul 05 18:20:32 PDT 2015 --  "More than machinery, we need humanity. More than cleverness, we need kindness & gentleness." Tell us your story! http://highschooltrailblazer.com 
Sun Jul 05 18:26:41 PDT 2015 --  You guys R the best! We're so lucky! If U havent voted yet, help #FakingIt win Fandom of the Year #FandomAwards: http://on.mtv.com/1Igb6Z8 
Wed Jul 08 10:09:25 PDT 2015 --  Keep submitting your selfies at http://highschooltrailblazer.com  and tell us how you are making a difference at your high school for a chance to win!
Fri Jul 17 16:09:20 PDT 2015 --  Don't forget to vote for #FakingIt for #ChoiceSummerTVShow and @GreggSulkin for #ChoiceSummerTVStarMale at the #TeenChoice Awards!
Sat Jul 18 12:38:35 PDT 2015 --  Have you voted for @GreggSulkin for #ChoiceSummerTVStarMale at the #TeenChoice Awards!? There's still time!! Be like Nike, 'JUST DO IT!'
Sun Jul 19 20:43:00 PDT 2015 --  Theres still time:) Vote @mtvfakingit for #teenchoice #choicesummertvshow & @greggsulkin for #choicesummertvstarmale pic.twitter.com/gE6ZmBc5nv
Fri Jul 24 21:56:50 PDT 2015 --  The final season of @nbcparenthood is on Hulu....AND let the crying commence 🏻🏻 #dontbugme #imwiththebravermans
Sat Jul 25 13:02:37 PDT 2015 --  Love has the kind of power criticism only wishes it had.
Mon Jul 27 19:23:05 PDT 2015 --  I get to work w/ the best peeps around. Sneak peak pic of season 2B @mtvfakingit starts Aug 31st! Who is excited?! pic.twitter.com/Sj4pp6zndV
Thu Aug 13 19:37:20 PDT 2015 --  "If our heads are full and our hearts are empty we'll just tip over."
Sat Aug 15 11:19:21 PDT 2015 --  Spent the morning in bed cuddling with my husband watching grey's and drinking coffee. #lifeisgood #happysaturday
Sun Aug 16 15:15:13 PDT 2015 --  Good luck @mtvfakingit and @greggsulkin at the #TeenChoiceAwards2015!! Wish I could be there!
Mon Aug 17 09:32:00 PDT 2015 --  to the person who hit me on the freeway last week & kept driving #iforgiveyou. Don't hit &run folks. Not cool. #imokbutmycarisnot #LA
Mon Aug 17 13:35:57 PDT 2015 --  My#mcm for pretty obvious reasons. #donthurtem #hothubbs https://instagram.com/p/6f4Qm2KzYy/ 
Fri Aug 07 04:54:20 PDT 2015 --  Necesito abrazar a Jacob y decirle lo mucho que le quiero y darle las gracias por todo. @JacobWhitesides #CCMELovers pic.twitter.com/F1Q8YEdoL0
Fri Aug 07 06:34:14 PDT 2015 --  Por favor, es la unica oportunidad que tengo. @CocaCola_es #CCMElovers pic.twitter.com/60QOKd8qRS
