Thu Aug 27 08:25:30 PDT 2015 --  The weather at Gillette is going to be on point for Saturday's show 🏻 #CountryFest
Sat Mar 29 08:24:54 PDT 2014 --  Probably won't make it through the first two periods of the bruins game cause I'm a lightweight pussy now and get drunk off 4 bud lights
Fri Mar 28 15:51:05 PDT 2014 --  @DanDell24 no but you did tell me you wanted to burn our apartment down last Saturday soo #lovehaterelationship
Fri Mar 28 15:39:34 PDT 2014 --  Save me some of that seaweed #newfavoritefood @RachaelMelanson
Fri Mar 28 15:31:49 PDT 2014 --  Drinking beers with my soon to be roommate again while I consider what the hell I'm gonna do tonight in this beautiful town of Wilmington
Fri Mar 28 09:22:30 PDT 2014 --  Cause I don't have to be me till Monday
Thu Mar 27 12:43:59 PDT 2014 --  Nothing better than coming home to destroy my parents fridge
Wed Mar 26 16:06:45 PDT 2014 --  Thoughts and Prayers go out to all members of the Boston Fire Department Family. #BostonStrong
Tue Mar 25 18:30:22 PDT 2014 --  Man I can't wait to go to Vegas
Tue Mar 25 08:47:20 PDT 2014 --  Even though the best country songs get extremely overplayed I don't get sick of them like I do other genres of music #yadig
Mon Mar 24 06:22:17 PDT 2014 --  I feel like I'm gonna pass away any minute now
Sun Mar 23 12:36:38 PDT 2014 --  Bought brand new boat shoes last week and stepped in a giant pile of mud with them on last night #absolutelydestroyed #sicklife
Sat Mar 22 07:53:16 PDT 2014 --  What the fuck are we doing here @club_bonica @Mr_Flantastic_ pic.twitter.com/j3SCggIVtB
Sat Mar 22 06:35:25 PDT 2014 --  @DanDell24 he's in Joe's room.... Joe found him sleeping on the floor of the kitchen with a roll of paper towels as a pillow lmao
Sat Mar 22 06:04:21 PDT 2014 --  Has anyone seen Kevin Flanagan? Either got kidnapped or is passed out in an alley way somewhere
Fri Mar 21 22:38:06 PDT 2014 --  Baby a 280 lb llama can't stop me @club_bonica
Fri Mar 21 16:49:04 PDT 2014 --  You know it's gonna be a good night with the LDC when @Mr_Flantastic_ asks if I still have the flights #weouthere
Fri Mar 21 15:14:21 PDT 2014 --  Nothing more annoying than that guy who sees you at dinner and decides it's a good time to ask you every question about your life #spoiler
Fri Mar 21 12:26:09 PDT 2014 --  Cut myself shaving and my whole chin looks like I rubbed it on sandpaper for hours
Thu Mar 20 10:47:52 PDT 2014 --  Zac Brown band at Fenway this summer and Jason Aldean two weeks later at the comcast center , whose with me?
Thu Mar 20 10:19:52 PDT 2014 --  BIG NEWS! BIG NEWS! RT @NECntryMusic BREAKING: @zacbrownband to play Fenway Park on June 28th. Tix go on sale on March 29th at 10AM!
Thu Mar 20 09:32:00 PDT 2014 --  And let the degening begin #MarchMadness #DougieMcBuckets
Thu Mar 20 04:59:28 PDT 2014 --  Give me Friday
Tue Mar 18 11:12:23 PDT 2014 --  can't wait for that feeling of stepping out onto the golf course for the first time this spring #lockandloadbaby
Tue Mar 18 06:24:31 PDT 2014 --  It takes two days after the weekend to feel back to my normal self #canthang
Mon Mar 17 08:20:21 PDT 2014 --  Running until I sweat every oz. of alcohol out of my system
Sun Mar 16 18:00:54 PDT 2014 --  Everyone and their mother is going to do absolutely nothing at work tomorrow #uselessmonday
Sun Mar 16 09:03:47 PDT 2014 --  Getting pickled at coogans @n_grassa3
Sun Mar 16 08:05:12 PDT 2014 --  Boston to drink with a bunch of drunks for Joey Bruno's 21st
Sat Mar 15 21:07:37 PDT 2014 --  Happy birthday to my favorite roommate @joeyB_316 u my nigga
Sat Mar 15 17:06:39 PDT 2014 --  Were goin to the black lobster tonight right? @ItsMyGuy
Thu Mar 13 19:37:41 PDT 2014 --  A well-placed Patriots source: "Browner wants to be in NE, I think we are close, but it's a tough deal to do because of suspension, etc."
Thu Mar 13 11:36:58 PDT 2014 --  If there's one city I could blow up it would be Lowell..I can't drive two feet without someone crossing the street in front of me
Wed Mar 12 11:04:43 PDT 2014 --  Well looks like the broncos and Seahawks are both going to the Super Bowl again .. Broncos are making some serious power moves on defense
Wed Mar 12 10:47:31 PDT 2014 --  Haha just found this on Facebook from the bar crawl #coolkids @DerekSneed pic.twitter.com/DjTkb0BNoQ
Tue Mar 11 12:47:44 PDT 2014 --  Wearing a brand new suit makes me feel important
Sun Mar 09 09:24:04 PDT 2014 --  Chicken shack is absolutely unreal
Sat Mar 08 04:16:37 PST 2014 --  Hydrating up
Fri Mar 07 20:38:57 PST 2014 --  7 am wake up call #irishpubchallenge
Tue Mar 04 08:25:08 PST 2014 --  I hope the good people of boston are ready for team L.D.C to win the pub crawl this weekend @rsearles175 @Mr_Flantastic_
Mon Mar 03 05:06:16 PST 2014 --  Two day hangover is in full effect
Sun Mar 02 14:21:11 PST 2014 --  I am so hungry but I honestly don't have the energy to even get off of my couch it's pathetic
Sun Mar 02 07:17:30 PST 2014 --  Cops came last night but guess what? pic.twitter.com/5yHY5xroSL
Sat Mar 01 09:26:43 PST 2014 --  Picking dumb ass @Mr_Flantastic_ up from the train station cause he's a drunk
Sat Mar 01 08:10:41 PST 2014 --  Good luck to my blackest roommate at today's game @n_grassa3 #ballsoharduniversity
Sat Mar 01 07:08:39 PST 2014 --  Well my family just left to go to the Bahamas for a week and I wasn't invited so who wants to come over and drink all day with me?
Wed Feb 26 07:52:48 PST 2014 --  I feel like everyone I know is sick or has been sick this past week
Tue Feb 25 17:50:02 PST 2014 --  How can u not like Blake Shelton the guy gets absolutely hammered before every one of his concerts and each voice episode and still kills it
Tue Feb 25 16:41:09 PST 2014 --  Cooked dinner with a recipe from the food network and I couldn't be any more proud of myself #bomb.com
Tue Feb 25 08:58:48 PST 2014 --  Tailgate party playlist on spotify is where it's at #trustme
Mon Feb 24 07:53:19 PST 2014 --  It's 10:50 and it's a god damn zoo at market basket #everymanforthemselves
Sun Feb 23 19:01:19 PST 2014 --  Everybody wanna be famous...ain't no one wanna put the work in.
Sun Feb 23 10:43:44 PST 2014 --  A weekend off of drinking does wonders to my body and mind
Sat Feb 22 13:44:52 PST 2014 --  Golden ginger sushi is phenomenal
Sat Feb 22 11:33:42 PST 2014 --  I walk into the kitchen and my mom is crushing expired prescriptions down the sink because she's afraid someone will get them in the trash?
Sat Feb 22 11:17:13 PST 2014 --  I wanna take a trip to wahlburgers right now to see what all the hype is
Sat Feb 22 09:49:57 PST 2014 --  I have no responsibilities today and it feels great
Fri Feb 21 04:40:19 PST 2014 --  Mr Tildsley is at the gym absolutely throwing around weights like it's nothing.. Now I know why it was so easy to toss sully in 6th grade
Thu Feb 20 11:21:02 PST 2014 --  This girls gold medal game is far more exciting than the NBA
Tue Feb 18 07:43:09 PST 2014 --  It's crazy how good I feel after getting a good nights sleep
Mon Feb 17 07:18:10 PST 2014 --  I should delete my twitter.. And myself from this earth
Sun Feb 16 22:44:44 PST 2014 --  @master_p33 we just got the shit kicked out of us by a couple of chicks it was hysterical
Sun Feb 16 22:54:23 PST 2014 --  Dylan just got beat up by a girl tonight
Sun Feb 16 13:31:51 PST 2014 --  L.D.C we out here @club_bonica @rsearles175 @DerekSneed @master_p33
Sun Feb 16 11:09:36 PST 2014 --  So college right now #socollege
Sun Feb 16 05:38:30 PST 2014 --  Anyone wanna go to bagel town?
Sat Feb 15 07:16:05 PST 2014 --  Throw Kane out there to end it
Sat Feb 15 07:11:46 PST 2014 --  How do you not use Kane , Parise, or Kessell?
Thu Feb 13 17:28:58 PST 2014 --  Beers for the old mans birthday @Mr_Flantastic_
Thu Feb 13 14:26:53 PST 2014 --  Can't wait for your birthday party at laser quest this weekend @Mr_Flantastic_
Thu Feb 13 04:49:41 PST 2014 --  I gotta go to campus and watch a shitty movie instead of watching the game #USA!!!USA!!!USA!!!
Tue Feb 11 15:03:44 PST 2014 --  John Mayer came on the radio at work and I forgot how many jams he's made
Tue Feb 11 05:36:50 PST 2014 --  Good morning my twitter friends
Mon Feb 10 19:22:53 PST 2014 --  I'm not drinking until I go to Monday night raw at the td garden in March, whose in? #youcantseeme
Mon Feb 10 17:52:22 PST 2014 --  Took way too much pre workout and I feel like my heart is gonna explode through my chest
Mon Feb 10 11:03:37 PST 2014 --  Just saw an elderly man in traffic with his dentures hanging out of his mouth like it was a mouth guard #hedontgiveafuck
Sun Feb 09 18:40:58 PST 2014 --  Haven't felt this awful after drinking in my entire life
Sun Feb 09 10:45:38 PST 2014 --  Not drinking for 3 years
Sat Feb 08 15:40:08 PST 2014 --  .KyleAlbanese @DanDell24 GUY'S >>BC>>OLDING UP SO FAR IN THIS DUKE GAME>>OUR BUDDY DANNY AINGE SITTING COURTSIDE WATCHING JABARRI PARKER
Sat Feb 08 13:52:49 PST 2014 --  Kevin Crowe just told me he doesn't wear underwear anymore
Fri Feb 07 18:58:48 PST 2014 --  The things I would do to represent the USA in the Olympics #unreal #America
Mon Feb 03 16:07:50 PST 2014 --  Just saw little punk 12 year olds at the movies and made me think of how nasty I thought I was in 6th grade meeting girls at the movies.
Mon Feb 03 15:36:34 PST 2014 --  Dinner and a movie with my big gay friend @biggaymurph
Mon Feb 03 10:40:57 PST 2014 --  My grocery shopping skills are on point #bargainhunter
Mon Feb 03 10:34:28 PST 2014 --  Ya so when can I go golfing?
Sun Feb 02 19:01:51 PST 2014 --  #EsuranceSave30
Sun Feb 02 09:16:07 PST 2014 --  If you think the broncos are winning this game... Well your just dumb. Seahawks all day slime
Sat Feb 01 20:13:58 PST 2014 --  Flan just gave me a wet willy and I couldn't be any more upset right now
Sat Feb 01 13:12:45 PST 2014 --  Taking my talents to Boston tonight and giving it the good old college try
Sat Feb 01 12:02:02 PST 2014 --  All I want is to be at the cape with a fat plate of steamers and an ice cold beer right on the beach with my friends
Sat Feb 01 10:27:08 PST 2014 --  Honestly fuck flappy bird
Sat Feb 01 10:13:46 PST 2014 --  Thornton just got rocked #hatetoseeit
Fri Jan 31 18:17:12 PST 2014 --  Salem with the Ssu legend @DanDell24 #coolboyyyyy
Fri Jan 31 09:29:23 PST 2014 --  Old school 50 was such a thug
Fri Jan 31 08:03:13 PST 2014 --  @DanDell24 hey thanks for the unfollow
Tue Jan 28 11:34:27 PST 2014 --  My lips are so chapped it hurts to crack a smile
Mon Jan 27 06:19:18 PST 2014 --  @DanDell24 formerly known as cool dan is now to be referred to as Rain Dan
Sun Jan 26 08:14:48 PST 2014 --  Anyone wanna join me and @rsearles175 at Foxwoods tonight to gamble and get rich? Got a free room cause I'm a degen.
Sat Jan 25 14:26:18 PST 2014 --  I wish there was a smokey bones closer to my house #bomb.com
Fri Jan 24 09:46:29 PST 2014 --  Just found out the whole season of angry boys is on demand #firedup
Wed Jan 22 13:39:32 PST 2014 --  Happy birthday Nstar boy free room at Foxwoods for your birthday this weekend? #yuppp @rsearles175
Wed Jan 22 07:22:57 PST 2014 --  “ @DanDell24: Just went on a serious groupon tear” what'd you stock up on tampons and panti liners? Oooooo burn
Wed Jan 22 07:19:56 PST 2014 --  Just went on a serious groupon tear
Mon Jan 20 18:45:38 PST 2014 --  haven't been this excited to go to sleep in a long time
Mon Jan 20 10:52:17 PST 2014 --  apparently I've been sitting in traffic for two hours cause some moron drove a dump truck through the guard rail and into the water
Sun Jan 19 17:51:52 PST 2014 --  Rhode Island is the most pathetic excuse of a state
Sun Jan 19 17:24:03 PST 2014 --  En route to Foxwoods with @club_bonica to get rich with hurricane melrose
Sun Jan 19 10:05:24 PST 2014 --  Absolutely terrible feeling seeing that u sent about 10 snap chats last night to at least 30 people and not a damn clue what they were
Sun Jan 19 09:35:49 PST 2014 --  @Mr_Flantastic_ #hot #shot @DanDell24
Sun Jan 19 08:57:01 PST 2014 --  Threw snowballs at cars last night with the Murphy brothers and I honestly haven't had that much fun since I used to do that in 6th grade
Sat Jan 18 18:38:44 PST 2014 --  Bawstahn
Sat Jan 18 14:50:00 PST 2014 --  Boston with hurricane melrose @biggaymurph @MikeYen11 @SteveJonathan @paulcapaldo @chrispoke74 @GregPoke @Swift_McVay @justinbieber
Sat Jan 18 10:52:00 PST 2014 --  Just witnessed an old man throw down his weights look into the mirror roll up his sleeve and kiss his bicep #legend
Sat Jan 18 08:44:22 PST 2014 --  Just slept for 14 hours and I'm actually kinda pissed off about it
Fri Jan 17 12:47:03 PST 2014 --  anyone wanna go to Foxwoods tomorrow? Because I do.
Thu Jan 16 18:44:54 PST 2014 --  @DanDell24 @Mr_Flantastic_ ...yea but she's got a fat ass though
Thu Jan 16 18:13:37 PST 2014 --  I think the guy at flex appeal sold me cocaine in a bottle because I took a pre workout 3 hours ago and I still can't sit still...
Tue Jan 14 10:26:03 PST 2014 --  Ya so Foxwoods just sent me a letter informing me that they would like to give me two free nights stay at the MGM Grand Tower #LetsGetRich
Sun Jan 12 14:34:05 PST 2014 --  I can't believe @DanDell24 still tries to pick up girls in AIM chat rooms. Look out for Dellisola245 on the prowl #tocatchapredator
Sun Jan 12 13:29:40 PST 2014 --  When @DanDell24 mom drives she still makes him sit in the backseat #dweeb
Sun Jan 12 08:53:59 PST 2014 --  San Diego SuperChargers #Bolts
Sat Jan 11 20:15:04 PST 2014 --  #Patriots QB Tom Brady has been a starting QB for 12 #NFL seasons. He has reached the AFC Championship game 7 times. Yes, more than half.
Sat Jan 11 17:35:57 PST 2014 --  Rocco's for the pats game cuz why the fuck not #townies
Sat Jan 11 16:37:51 PST 2014 --  Fun fact of the day: @DanDell24 snitched on me and got me suspended in middle school #peopledontforget
Sat Jan 11 11:41:14 PST 2014 --  I need a LeGarrette Blount jersey before the game starts tonight #fatboyblount
Fri Jan 10 18:58:22 PST 2014 --  Just got an amber alert on my phone and it scared the fucking shit out of me
Fri Jan 10 06:02:19 PST 2014 --  I hope the entire north shore blows up I've been sitting in shitty traffic on 128 for over an hour now
Fri Jan 10 04:35:48 PST 2014 --  Holy duncaroos it's Friday!!!
Thu Jan 09 18:01:23 PST 2014 --  Apple needs to figure out a way to allow you to leave a group text whenever u want
Thu Jan 09 09:38:55 PST 2014 --  Is this you on Salem states website? haha @MikeMurphysMind pic.twitter.com/v5rppjd46i
Wed Jan 08 17:51:38 PST 2014 --  @DanDell24 I would beat him worse than when @Mr_Flantastic_ beat up Alan Michael #urbestfriend
Wed Jan 08 05:45:18 PST 2014 --  So out of it this morning I was in the dunkins drive thru and got up to the window and realized I forgot to even order my food
Tue Jan 07 10:00:37 PST 2014 --  Just got a flu shot on my lunch break and with my shitty luck lately I'll get the flu by the end of the day
Mon Jan 06 17:25:51 PST 2014 --  AUBURN BABY !!!!!!
Sun Jan 05 14:01:54 PST 2014 --  Green Bay all f_kkin day slime Ride or die
Sun Jan 05 14:05:14 PST 2014 --  @DanDell24 @Mr_Flantastic_ only superheroes get laid during the week
Sun Jan 05 14:03:44 PST 2014 --  Might as well give it a good old college try again in 5 days @biggaymurph @Mr_Flantastic_
Sun Jan 05 09:42:20 PST 2014 --  Salem bound #5hazel
Sun Jan 05 07:33:40 PST 2014 --  feed me bagel world
Sat Jan 04 11:04:54 PST 2014 --  I literally might pass away from working outside today
Sat Jan 04 07:02:36 PST 2014 --  Happy birthday high school cool boy @fitzwittitz
Fri Jan 03 10:38:07 PST 2014 --  There's literally 500 people at the gym and it's extremely annoying
Thu Jan 02 17:12:31 PST 2014 --  I know most people love being snowed in but I absolutely hate sitting around and doing nothing all day
Wed Jan 01 16:33:20 PST 2014 --  My moms home made chicken noodle soup is unbelievable #lovebeinghome
Wed Jan 01 15:00:29 PST 2014 --  I wish I had a jacuzzi to rot away in all day
Wed Jan 01 09:49:44 PST 2014 --  My entire body feels like I just went 12 rounds with Tyson #alcoholsucks #bringprohibitionback
Sun Dec 29 21:34:20 PST 2013 --  Woke up and projectiled vomit everywhere and can't fall back asleep
Sun Dec 29 13:17:15 PST 2013 --  Well hey why not have a couple casuals for the pats game @rsearles175 @DanDell24
Sun Dec 29 08:13:53 PST 2013 --  If i called u last night and left a "vassup I'm wicked gay" voicemail please disregard that
Sun Dec 29 08:09:24 PST 2013 --  Going to church and reevaluating my life decisions @Mr_Flantastic_
Sun Dec 29 07:28:38 PST 2013 --  If I had it my way Salem, Massachusetts would be blown off the map
Sun Dec 29 06:07:58 PST 2013 --  Woke up to pretty boy @MIKE_BRENT and puke boy @SIEGEL_adam puking all over my stairs
Sat Dec 28 14:25:27 PST 2013 --  Wings and beers at smokey bones with @Mr_Flantastic_ http://bomb.com 
Sat Dec 28 13:44:50 PST 2013 --  Is it socially acceptable to wear Tommy Hilfiger anymore?
Wed Dec 25 17:09:47 PST 2013 --  Merry Christmas to my Salem state homies I miss you guys! @biggaymurph @DanDell24 @GregWasylak @cbates3 @Swift_McVay #96Broadway #tomSemire
Wed Dec 25 07:51:56 PST 2013 --  Shout out to all those little kids in Michigan whose thief mother bought them $800 worth of toys at Toys R Us off my debit card. MerryXmas!!
Tue Dec 24 08:33:00 PST 2013 --  Special shout out to @kevin_salines @biggaymurph and the rest of hurricane melrose for a nice $500 bucks #fantasyfootballchamp #scrubs
Mon Dec 23 06:28:25 PST 2013 --  Another year of leaving Christmas shopping to the last minute #nevergonnalearn
Sun Dec 22 06:36:34 PST 2013 --  What a glorious feeling it is to wake up on a Sunday not hungover with a full day of #drinking #gambling and #football ahead of you
Sat Dec 21 16:35:05 PST 2013 --  Absolutely hilarious watching the bruins game and seeing @Mr_Flantastic_ every time the puck goes in the bruins zone
Fri Dec 20 19:18:59 PST 2013 --  Being able to sleep in tomorrow morning might be the best feeling in the world
Fri Dec 20 09:47:14 PST 2013 --  @club_bonica @DanDell24 @mscola33 look at this group of losers pic.twitter.com/va3nLINmyj
Fri Dec 20 07:24:27 PST 2013 --  Perks of working at Anhueser-Busch #freebooze pic.twitter.com/5UwSKZ6CXY
Wed Dec 18 09:51:17 PST 2013 --  I just won $636 million. RT and I'll pick a random RTer and I'll make one of you a millionare too. Good luck pic.twitter.com/BfLRnOOGfz
Wed Dec 18 11:06:52 PST 2013 --  Colin Murphy just pulled a chick move and got a hot cup with his iced coffee #bitch
Tue Dec 17 15:58:50 PST 2013 --  Can't wait to get home from work and watch a movie with a nice egg nog and rum mixie
Tue Dec 17 12:34:15 PST 2013 --  Don't know what's worse 1. The fact that I'm working outside and can't feel my face or 2. Having to drive back to Salem tonight after work.
Tue Dec 17 06:53:57 PST 2013 --  sweatpants on top of sweatpants and sweatshirts on top of sweatshirts and three pairs of socks.. I refuse to get sick at work.
Mon Dec 16 17:42:58 PST 2013 --  Still haven't bought my family Christmas gifts yet...
Sun Dec 15 08:47:15 PST 2013 --  Driveway is clean. Pancake and fantasy football live time, gotta get my fanduel team finalized.
Sun Dec 15 08:28:04 PST 2013 --  Did my good deed of the day and snowblowed my neighbors driveway #goodkarma
Sun Dec 15 07:29:48 PST 2013 --  Couldn't be more excited to gamble my whole bank account on today's games
Sat Dec 14 11:11:25 PST 2013 --  @MIKE_BRENT @DanDell24 shutup faggot... And tell your faggot friend @SIEGEL_adam he can shutup too
Fri Dec 13 14:45:39 PST 2013 --  Anyone wanna do alcohol tonight?
Thu Dec 12 17:20:12 PST 2013 --  @DanDell24 Bev dell is a saint
Thu Dec 12 17:13:45 PST 2013 --  Gotta love coming home from work and having dinner already made for you #lovebeinghome
Wed Dec 11 15:00:39 PST 2013 --  Best response of the night @Mr_Flantastic_ @DanDell24 pic.twitter.com/CnewpGGRNB
Wed Dec 11 14:52:51 PST 2013 --  Eating dinner next to the legend himself #bobryan #aroundthehorn
Wed Dec 11 14:37:43 PST 2013 --  A little pregame at the fours pic.twitter.com/9IZ5KLimJh
Wed Dec 11 13:58:05 PST 2013 --  Celtics game with my niggas @joeyB_316 @MikeMurphysMind @Pazaletes @t_conigs234 @justinbieber
Wed Dec 11 07:40:31 PST 2013 --  You sure your in the right class? pic.twitter.com/PmwOhwkslG
Tue Dec 10 19:29:29 PST 2013 --  I wonder what model Adam Levine decides to take home tonight after the fashion show #toughlife
Tue Dec 10 19:05:46 PST 2013 --  Adriana Lima is the hottest bitch on the tv #handsdown #noquestionsasked
Tue Dec 10 18:18:18 PST 2013 --  Hopefully come 10 o clock my numbers come out on the mega millions drawing and I win 300 million dollars and buy everyone I like cool shit
Tue Dec 10 12:46:39 PST 2013 --  How am I supposed to read an entire book in 1 day when the only book I've ever read was Hatchet for fifth grade summer reading #riddlemethat
Tue Dec 10 12:25:36 PST 2013 --  Have any of you kind people went to a cultural event and wrote a paper on it? If so I am literally begging for it #ihavemoney #rockbottom
Tue Dec 10 12:06:04 PST 2013 --  Library from now until I contemplate suicide because my dumb ass forgot a term project is due tomorrow not next Wednesday
Tue Dec 10 10:57:09 PST 2013 --  This kid sitting in front of me in class is rocking his high school varsity football jacket #giveitupbro
Mon Dec 09 15:42:12 PST 2013 --  Certified http://bomb.com  pic.twitter.com/SPZSd0E0pV
Sun Dec 08 17:08:25 PST 2013 --  Pretty sure that kid working at outtakes put poison in my wrap @joeyB_316
Sat Dec 07 18:06:45 PST 2013 --  College boy #fakelife
Sat Dec 07 18:32:11 PST 2013 --  Just passed out for the last 5 hours ....
Sat Dec 07 10:01:56 PST 2013 --  Day drink 5 hazel at salem ma free keg and pizza rolls
Fri Dec 06 11:49:28 PST 2013 --  LAST day of shooting WORKAHOLICS Season Four!!! New episodes 4 yo azz NEXT MONTH.
Fri Dec 06 08:50:28 PST 2013 --  In class and I look over to see @biggaymurph connecting the dots on his notebook like a 3 year old
Fri Dec 06 06:56:23 PST 2013 --  Every time I watch your snapchat story it gets better and better @fitzwittitz
Thu Dec 05 21:39:24 PST 2013 --  @MIKE_BRENT kid aren't you in Vegas get off twitter #faggot
Thu Dec 05 17:31:00 PST 2013 --  On a serious note I'm a better quarterback than chad henne #guyblows
Thu Dec 05 12:05:53 PST 2013 --  Hitting the gym then hitting the booze #shittyweek
Thu Dec 05 09:39:13 PST 2013 --  Foxwoods for New Years? Yupppp
Thu Dec 05 06:48:07 PST 2013 --  Breakfast of champions pic.twitter.com/1MN2N6Z0LH
Wed Dec 04 19:06:42 PST 2013 --  Learning about snow cannons and thrill drills on this lovely Wednesday night #GirlCode @RachaelMelanson @GregWasylak @amanda_marie024
Wed Dec 04 16:55:07 PST 2013 --  Watching the pup for the night #doggiedaycare
Wed Dec 04 12:01:18 PST 2013 --  Happy 21st enjoy your day homie @Captain_Peltier
Tue Dec 03 17:57:29 PST 2013 --  Honestly if I was Jacoby Ellsbury I would do the exact same thing #yankeesaregangsta
Tue Dec 03 16:36:28 PST 2013 --  Im going to crush about 5 trays of sushi at the library
Tue Dec 03 12:28:21 PST 2013 --  Movie and a nap before hitting the library all night
Tue Dec 03 08:33:33 PST 2013 --  Feed me winter break
Mon Dec 02 15:55:58 PST 2013 --  I think it's time to go grocery shopping when all I've had to eat today was two eggs and about 5 clementines
Mon Dec 02 12:12:11 PST 2013 --  Rotting away in my bed until i can muster up the energy to do something active #Thanksgivingfuckedme
Sun Dec 01 17:52:42 PST 2013 --  I haven't been this tired in my entire life
Sat Nov 30 17:39:42 PST 2013 --  Boston for the night with my ninjas @rsearles175 @Mr_Flantastic_ @FJSorrentino @DerekSneed @justinbieber
Sat Nov 30 13:28:53 PST 2013 --  My dad serious with this 12 foot snowman? pic.twitter.com/ByWxO5Mq81
Sat Nov 30 12:40:37 PST 2013 --  Why am I doing this to myself? pic.twitter.com/OCBK7SmyOI
Sat Nov 30 10:41:40 PST 2013 --  At least I get to enjoy a nice 2 hours of daylight today .....
Sat Nov 30 10:32:19 PST 2013 --  My phone is all fucked up I'm just getting texts from 3 days ago?
Sat Nov 30 06:21:28 PST 2013 --  so does anyone know where big gay murph is? @biggaymurph
Sat Nov 30 06:19:40 PST 2013 --  Me and @DanDell24 are going to saint Dorothy's at 1 o'clock if anyone wants to come
Sat Nov 30 05:21:47 PST 2013 --  Once again got kicked out of a Boston bar because @DanDell24 blacked out and pissed in the girls bathroom
Sat Nov 30 04:57:49 PST 2013 --  "The destination of this train is off a cliff hopefully" @DanDell24
Sat Nov 30 04:53:18 PST 2013 --  Contemplating jumping in front of the train at north station right now @rsearles175
Fri Nov 29 16:10:59 PST 2013 --  Bawston for the night with my niggas @biggaymurph @rsearles175
Fri Nov 29 08:04:24 PST 2013 --  If I even look at a turkey right now I'll probably throw up
Thu Nov 28 13:58:20 PST 2013 --  Wait a minute.... The raiders have a black punter?
Thu Nov 28 13:00:51 PST 2013 --  I fucking love thanksgiving #booze #football #myfamilythathatesme and #gambling
Tue Nov 26 18:22:31 PST 2013 --  probably going to fire my phone off the wall when my alarm goes off at 4:30 #problemsolved
Tue Nov 26 15:12:36 PST 2013 --  Have fun working the midshift tomorrow buddy old pal @MIKE_BRENT #rockpileallday
Tue Nov 26 11:09:45 PST 2013 --  I'll be 2 1/2 weeks sober tomorrow so I'm rewarding myself the only way I know how.....by getting way too drunk and ruining thanksgiving!!!
Tue Nov 26 11:01:16 PST 2013 --  There's not many things in this life than coming home to a fridge stocked of http://bomb.com  food selections #happyasfuckrightnow
Tue Nov 26 10:45:52 PST 2013 --  Well if we're considered brothers now can I have a grand? #moneybagsjr.
Tue Nov 26 10:29:00 PST 2013 --  I wanna know who in my family put your picture on my fridge #gettingtakendownimmediately @rsearles175 pic.twitter.com/R0JR8BU4kA
Tue Nov 26 05:50:00 PST 2013 --  Ya win some ya lose some
Mon Nov 25 16:38:25 PST 2013 --  Never been happier in my life to get home take a hot shower make a mixie and watch a movie #yadig
Mon Nov 25 12:54:39 PST 2013 --  Would of been nice to know I was working outside today .. I literally think I have frostbite in all of my fingers and toes #notexaggerating
Mon Nov 25 12:39:46 PST 2013 --  @joeyB_316 ima call you big daddy and suck your dick
Mon Nov 25 06:50:54 PST 2013 --  I feel like a chick saying this but I can't wait to go to the gym tonight after work. Probably ate the equivalent of 40 pizzas this weekend
Sun Nov 24 18:12:52 PST 2013 --  If you put up pictures of Christmas trees or anything related to Christmas on social media before thanksgiving... I can't be friends with u.
Sun Nov 24 17:39:49 PST 2013 --  Chris Bruno when asked why he isn't watching the game in joes room with us, "I dunno I don't like that thing (walks away)" #stoneybalogna
Sun Nov 24 16:43:48 PST 2013 --  I want the pats to win just as much as the next guy but if gronk gets less than 8 points then I win 500 buckaroos #justsayin
Fri Nov 08 17:25:59 PST 2013 --  Who's the better player? RT for Brian Scalabrine FAV for LeBron James pic.twitter.com/bHcmnHJC7Q
Sat Nov 23 19:48:09 PST 2013 --  Suck brick kid!
Sat Nov 23 10:14:33 PST 2013 --  Puppy wants to watch a movie pic.twitter.com/TQeQjFr0fe
Fri Nov 22 19:23:04 PST 2013 --  Just watched the puppy lick up her own piss in the kitchen #gangstapup
Fri Nov 22 15:48:06 PST 2013 --  Losing my UNOs virginity
Fri Nov 22 11:58:43 PST 2013 --  Don't plan on getting out of my bed all day #rottingaway
Fri Nov 22 10:04:46 PST 2013 --  I would do unforgivable dirty things to get tickets for the pats game on Sunday ... Pretty much the same as the Super Bowl #manningvsbrady
Fri Nov 22 08:34:14 PST 2013 --  At the bank cause some scum stole my debit card information and bought 800 bucks worth of toys at Toys R Us with it
Thu Nov 21 20:47:38 PST 2013 --  I see you pickled onion I see you
Thu Nov 21 12:37:37 PST 2013 --  @biggaymurph @DanDell24 hahahahahahahahahahaha
Tue Nov 19 15:56:06 PST 2013 --  Reading until my eyes fall out
Tue Nov 19 15:06:57 PST 2013 --  You know that Chris Bruno is going to be a serial killer when this is how much peanut butter he puts on a pb&j pic.twitter.com/BAYRhLdhEY
Tue Nov 19 08:19:18 PST 2013 --  This price is right episode is absolutely nutty right now #winnerswin
Tue Nov 19 07:02:02 PST 2013 --  Poems are not beautiful and cute their fucking confusing and dumb. Say what you have to say
Tue Nov 19 05:50:14 PST 2013 --  I have literally just been laying in my bed contemplating getting up for the last two hours #cantsleep
Mon Nov 18 19:21:14 PST 2013 --  @vicTORIous_xo @desireesavoia you forgot @DanDell24 and yeah #werethethreebestfriendsthanyonecanhave
