Sat Aug 29 02:09:43 PDT 2015 --  GN WORLD
Sun Jul 19 10:50:00 PDT 2015 --  How do u tell someone to start a conversation with u so u dont have to
Sun Jul 19 12:26:56 PDT 2015 --  #GrowingUpWithMyName people compared me to some random word in a different language that's thane same as my name but means something else
Sun Jul 19 12:28:00 PDT 2015 --  #GrowingUpWithMyName people would compare it to a location on the earth
Sun Jul 19 12:28:37 PDT 2015 --  *wakes up super late in the day*
Sun Jul 19 12:00:31 PDT 2015 --  i may be ugly but at least nevermind my personality sucks too
Sun Jul 19 11:49:43 PDT 2015 --  Feelin GREAT
Fri Jul 17 18:11:02 PDT 2015 --  #GrowingUpWithStrictParents when your friends make last minute plans and you can't go bc it takes 2 business days to convince your parents.
Sat Jul 18 20:03:02 PDT 2015 --  #GrowingUpWithStrictParents tryna decide if you wanna ask to go out on Friday or Saturday night cause you know they won't say yes to both
Sat Jul 18 21:32:00 PDT 2015 --  #GrowingUpWithStrictParents Where are you going? Who’s gonna be there? Are there going to be adults there? Let me talk to their parents
Sat Jul 18 21:40:04 PDT 2015 --  #GrowingUpWithStrictParents *10:30 "Hey come over" "I cant it's too late" "Just ask" DO U THINK MY DAD IS GONNA LET ME GO OUT AT THIS HOUR
Fri Jul 17 01:14:36 PDT 2015 --  #GrowingUpWithStrictParents when someone texts u at 10 pm asking if you can hang out pic.twitter.com/CU8YjoNGia
Fri Jul 17 01:26:59 PDT 2015 --  #GrowingUpWithStrictParents me: hey can I go to a party my parents: pic.twitter.com/rsuyhUXAjH
Fri Jul 17 01:19:14 PDT 2015 --  #GrowingUpWithStrictParents me: can i go to my friends house? mom: let me talk to their parents first me: pic.twitter.com/w6H2kOP3M9
Sat Jul 18 15:28:26 PDT 2015 --  so close to 300k on my new YouTube https://m.youtube.com/user/taylorcaniffofficial …
Sat Jul 18 15:21:06 PDT 2015 --  Looking awkward in photos as usual
Sat Jul 18 14:44:18 PDT 2015 --  Hayes is so funny I really can't explain to you
Sat Jul 18 14:36:58 PDT 2015 --  One of those "ehh" days for me
Sat Jul 11 02:26:45 PDT 2015 --  My snapchat is evadancer94 if you wanted to hear me sing a power ballad about my teeth.
Sat Jul 11 04:11:50 PDT 2015 --  Why are all the cute boys 16?
Tue Jul 14 13:44:42 PDT 2015 --  I need the ocean. pic.twitter.com/AyJnaYvYtx
Sat Jul 18 00:38:07 PDT 2015 --  Go on an adventure soon, okay? :)
Fri Jul 17 12:45:12 PDT 2015 --  "money cant buy happiness" i think you’re using money wrong
Wed Jul 15 10:56:03 PDT 2015 --  #GrowingUpSkinny people telling you you gone blow away when it's windy outside
Sat Jul 18 14:06:04 PDT 2015 --  I will travel everywhere, just wait on it
Wed Jul 15 14:38:05 PDT 2015 --  #GrowingUpSkinny your parents make you take vitamins because "you're not eating enough" -_-
Thu Jul 16 10:14:42 PDT 2015 --  #GrowingUpSkinny being called anorexic
Thu Jul 16 13:31:02 PDT 2015 --  #growingupskinny thinking my body was ugly because "men like meat not bones" even though it was so hard to gain weight
Thu Jul 16 13:47:09 PDT 2015 --  #growingupskinny "I wish I was your size" said the girl/women that just told you, you need meat on your bones.
Sat Jul 18 03:31:16 PDT 2015 --  #GrowingUpSkinny "be careful it's windy, you might fly away" Me: pic.twitter.com/yfKfnuNX3m
Sat Jul 18 06:19:18 PDT 2015 --  The clothes I had when I was 10 still fit me. #GrowingUpSkinny
Sat Jul 18 06:58:35 PDT 2015 --  #GrowingUpSkinny no matter how much u eat , u wont gain at all
Wed Jul 15 17:41:17 PDT 2015 --  #GrowingUpSkinny when ppl act like u can't be insecure about your weight because ur not fat pic.twitter.com/TbX6Z1eVtb
Thu Jul 16 12:56:11 PDT 2015 --  #growingupskinny always seeing quotes about real women having curves and meat on them and bones are for dogs pic.twitter.com/D4m2fENDFi
Sat Jul 18 11:15:29 PDT 2015 --  #GrowingUpSkinny when you had these in every pair of jeans that you owned pic.twitter.com/jgYT8SlgpK
Sat Jul 18 12:14:30 PDT 2015 --  #GrowingUpSkinny "do you even eat" "you need to eat more" "go eat a burger" "your legs are like sticks" "are you anorexic" "bag of bones"
Sat Jul 18 13:00:50 PDT 2015 --  #GrowingUpSkinny "Are you anorexic?" Actually I eat like a full grown man, sorry I have a fast metabolism.
Sat Jul 18 12:55:51 PDT 2015 --  Whatcha gon do with all the junk, all that junk inside that trunk!
Sat Jul 18 11:31:47 PDT 2015 --  You don't mess with an Avenger. See #AntMan in theaters today! https://amp.twimg.com/v/c4006e16-8adf-435c-a72e-7ef12a06d920 …
Sat Jul 18 08:54:55 PDT 2015 --  2k was here
Sat Jul 18 04:35:10 PDT 2015 --  Big
Sat Jul 18 04:00:06 PDT 2015 --  Arriveremo al punto che @DecarliLeonardo scriverà un altro libro e io dovrò ancora comprare il primo. Aiutatemi.
Sat Jul 18 03:49:47 PDT 2015 --  Having fun with #ClumsyNinja for iPhone! Join me now for FREE! http://nmgam.es/cn-trep 
Sat Jul 18 01:44:08 PDT 2015 --  When the power of love overcomes the love of power the world will be at peace
Sat Jul 18 01:45:33 PDT 2015 --  "Do a little dance. Make a little love. Get down tonight"
Fri Jul 17 14:24:44 PDT 2015 --  Also got verified on vine! Woo
Fri Jul 17 13:38:16 PDT 2015 --  @ReallyCody pic.twitter.com/HHj6StXeiO
